交通大学	3-72489-S
人畜共患症	4-14730-S
人畜共患症 人畜共患症	4-14730-B
人盡其才 人尽其才	4-14809-B
人盡其材 人尽其材	4-14927-B
人祸	4-15084-S
人禍 人祸	4-15084-B
人种	4-15132-S
人称	4-15184-S
人称代词	4-15256-S
人種 人种	4-15132-B
人稱 人称	4-15184-B
人稱代詞 人称代词	4-15256-B
人穷志短	4-15336-S
人窮志短 人穷志短	4-15336-B
人类	4-18357-S
人类免疫缺陷病毒	4-18418-S
人类基因组计划	4-18553-S
人类学	4-18659-S
人类学家	4-18716-S
人精	4-15449-S
人精 人精	4-15449-B
人給家足 人给家足	4-15677-B
人纔	4-15763-S
人纔 人纔	4-15763-B
人给家足	4-15677-S
人群	4-15814-S
人群 人群	4-15814-B
人肉搜索	4-15855-S
人肉搜索 人肉搜索	4-15855-B
人臣	4-15975-S
人臣 人臣	4-15975-B
人行区	4-16039-S
人行區 人行区	4-16039-B
人行地下通道	4-16103-S
人行地下通道 人行地下通道	4-16103-B
人行横道	4-16202-S
人行橫道 人行横道	4-16202-B
人行道	4-16279-S
人行道 人行道	4-16279-B
人證物證 人证物证	4-16333-B
人证物证	4-16333-S
人財兩空 人财两空	4-16429-B
人質 人质	4-16552-B
人财两空	4-16429-S
人质	4-16552-S
人跡罕 人迹罕	4-16593-B
人身	4-16688-S
人身 人身	4-16688-B
人身权	4-16747-S
人身權 人身权	4-16747-B
人車混行 人车混行	4-16815-B
人车混行	4-16815-S
人迹罕	4-16593-S
人选	4-17631-S
人造	4-16900-S
人造 人造	4-16900-B
人造丝	4-17039-S
人造卫星	4-17160-S
人造天体	4-16963-S
人造天體 人造天体	4-16963-B
人造絲 人造丝	4-17039-B
人造纖維 人造纤维	4-17088-B
人造纤维	4-17088-S
人造衛星 人造卫星	4-17160-B
人造語言 人造语言	4-17237-B
人造语言	4-17237-S
人道	4-17332-S
人道 人道	4-17332-B
人道主义	4-17476-S
人道主義 人道主义	4-17476-B
人道救援	4-17558-S
人道救援 人道救援	4-17558-B
人選 人选	4-17631-B
人間 人间	4-17697-B
人間地獄 人间地狱	4-17753-B
人間天堂 人间天堂	4-17927-B
人间	4-17697-S
人间地狱	4-17753-S
人间天堂	4-17927-S
人际	4-18030-S
人际关系	4-18096-S
人際 人际	4-18030-B
人際關系 人际关系	4-18096-B
人頭 人头	4-18177-B
人頭獅身 人头狮身	4-18240-B
人頭稅 人头税	4-18303-B
人類 人类	4-18357-B
人類免疫缺陷病毒 人类免疫缺陷病毒	4-18418-B
人類基因組計劃 人类基因组计划	4-18553-B
人類學 人类学	4-18659-B
人類學家 人类学家	4-18716-B
人馬 人马	4-18786-B
人馬座 人马座	4-18858-B
人馬臂 人马臂	4-18952-B
人马	4-18786-S
人马座	4-18858-S
人马臂	4-18952-S
人體 人体	4-19033-B
人體器官 人体器官	4-19076-B
人體解剖 人体解剖	4-19142-B
人體解剖學 人体解剖学	4-19210-B
人高馬大 人高马大	4-19289-B
人高马大	4-19289-S
人魚 人鱼	4-19358-B
人魚小姐 人鱼小姐	4-19415-B
人鱼	4-19358-S
人鱼小姐	4-19415-S
人龍 人龙	4-19496-B
人龙	4-19496-S
亿	6-54735-S
亿万	6-54784-S
亿万富豪	6-54838-S
什	4-19581-S,43-15530-S
什 什	4-19581-B
什一奉献	4-19629-S
什一奉獻 什一奉献	4-19629-B
什么	43-16504-S
什么事	43-16571-S
什么人	43-16627-S
什么时候	43-16745-S
什么是	43-16689-S
什么样	43-16818-S
什么的	43-16884-S
什叶	4-19744-S
什叶派	4-19803-S
什菜	4-19693-S
什菜 什菜	4-19693-B
什葉 什叶	4-19744-B
什葉派 什叶派	4-19803-B
什邡	4-19867-S
什邡 什邡	4-19867-B
什麼	4-19932-S
什麼 什麼	4-19932-B
什麽	4-19989-S
什麽 什麽	4-19989-B
什麽時候	4-20046-S
什麽時候 什麽時候	4-20046-B
仁	4-20136-S
仁 仁	4-20136-B
仁义	4-21316-S
仁人志士	4-20172-S
仁人志士 仁人志士	4-20172-B
仁化	4-20300-S
仁化 仁化	4-20300-B
仁化县	4-20377-S
仁化縣 仁化县	4-20377-B
仁和县	4-20466-S
仁和縣 仁和县	4-20466-B
仁壽 仁寿	4-20535-B
仁寿	4-20535-S
仁川	4-20600-S
仁川 仁川	4-20600-B
仁布	4-20665-S
仁布 仁布	4-20665-B
仁德乡	4-20724-S
仁德鄉 仁德乡	4-20724-B
仁怀	4-21080-S
仁怀县	4-21145-S
仁愛 仁爱	4-20799-B
仁愛區 仁爱区	4-20852-B
仁愛鄉 仁爱乡	4-20921-B
仁慈	4-20996-S
仁慈 仁慈	4-20996-B
仁懷 仁怀	4-21080-B
仁懷縣 仁怀县	4-21145-B
仁武乡	4-21241-S
仁武鄉 仁武乡	4-21241-B
仁爱	4-20799-S
仁爱乡	4-20921-S
仁爱区	4-20852-S
仁義 仁义	4-21316-B
仂	4-21362-S
仂 仂	4-21362-B
仃	4-21397-S
仃 仃	4-21397-B
仄	4-21426-S
仄 仄	4-21426-B
仄声	4-21551-S
仄径	4-21506-S
仄徑 仄径	4-21506-B
仄聲 仄声	4-21551-B
仅	6-49828-S
仅仅	6-49869-S
仅次于	6-49950-S
仆	4-21662-S,6-50852-S
仆 仆	4-21662-B
仆人	6-50881-S
仆役	6-50921-S
仆街	6-50960-S
仇	4-21698-S,4-21767-S
仇 仇	4-21698-B,4-21767-B
仇人	4-21812-S
仇人 仇人	4-21812-B
仇怨	4-21852-S
仇怨 仇怨	4-21852-B
仇恨	4-21917-S
仇恨 仇恨	4-21917-B
仇敌	4-21975-S
仇敵 仇敌	4-21975-B
仈	4-22014-S
仈 仈	4-22014-B
仉	4-22046-S
仉 仉	4-22046-B
今	4-22096-S
今 今	4-22096-B
今世	4-22156-S
今世 今世	4-22156-B
今儿	4-22208-S
今兒 今儿	4-22208-B
今古文	4-22245-S
今古文 今古文	4-22245-B
今后	4-22497-S
今天	4-22394-S
今天 今天	4-22394-B
今年	4-22453-S
今年 今年	4-22453-B
今後 今后	4-22497-B
今文經 今文经	4-22577-B
今文經學 今文经学	4-22670-B
今文经	4-22577-S
今文经学	4-22670-S
今日	4-22774-S
今日 今日	4-22774-B
今昔	4-22812-S
今昔 今昔	4-22812-B
今晚	4-22881-S
今晚 今晚	4-22881-B
今晨	4-22922-S
今晨 今晨	4-22922-B
今朝	4-22969-S
今朝 今朝	4-22969-B
今村	4-23022-S
今村 今村	4-23022-B
今生	4-23079-S
今生 今生	4-23079-B
今譯 今译	4-23124-B
今译	4-23124-S
今非昔比	4-23224-S
今非昔比 今非昔比	4-23224-B
今音	4-23396-S
今音 今音	4-23396-B
介	4-23492-S
介 介	4-23492-B
介之推	4-23544-S
介之推 介之推	4-23544-B
介于	4-23857-S
介休	4-23616-S
介休 介休	4-23616-B
介入	4-23677-S
介入 介入	4-23677-B
介子	4-23732-S
介子 介子	4-23732-B
介意	4-23787-S
介意 介意	4-23787-B
介於 介于	4-23857-B
介电常数	4-24346-S
介系詞 介系词	4-23925-B
介系词	4-23925-S
介紹 介绍	4-23979-B
介绍	4-23979-S
介詞 介词	4-24050-B
介词	4-24050-S
介質 介质	4-24094-B
介質訪問控制 介质访问控制	4-24140-B
介質訪問控制層 介质访问控制层	4-24245-B
介质	4-24094-S
介质访问控制	4-24140-S
介质访问控制层	4-24245-S
介電常數 介电常数	4-24346-B
介面	4-24424-S
介面 介面	4-24424-B
仍	4-24468-S
仍 仍	4-24468-B
仍旧	4-24555-S
仍然	4-24511-S
仍然 仍然	4-24511-B
仍舊 仍旧	4-24555-B
从	24-9829-S,24-9875-S,24-9945-S
从一而终	24-9982-S
从不	24-10099-S
从业	24-11732-S
从业人员	24-11787-S
从中	24-10138-S
从事	24-10189-S
从事研究	24-10279-S
从今	24-10372-S
从今以后	24-10418-S
从优	24-10756-S
从前	24-10832-S
从化	24-10887-S
从去年	24-10953-S
从命	24-11014-S
从善如流	24-11114-S
从外表来看	24-11253-S
从头	24-12223-S
从头到尾	24-12277-S
从头到脚	24-12369-S
从容	24-11368-S
从容不迫	24-11421-S
从小	24-11491-S
从属	24-11552-S
从心所欲	24-11598-S
从未	24-11692-S
从来	24-10484-S
从来不	24-10575-S
从来没	24-10625-S
从来没有	24-10676-S
从此	24-11893-S
从江	24-11960-S
从没	24-12029-S
从而	24-12093-S
从那时侯	24-12139-S
仏	4-24632-S
仏 仏	4-24632-B
仑	5-21606-S,21-44360-S
仑背乡	21-44428-S
仓	5-51848-S
仓促	5-51916-S
仓储	5-51957-S
仓库	5-52010-S
仓皇	5-52070-S
仓皇出逃	5-52126-S
仓颉	5-52225-S,5-52268-S
仓鼠	5-52311-S
仔	4-24677-S,4-24718-S
仔 仔	4-24677-B,4-24718-B
仔姜	4-24859-S
仔畜	4-24754-S
仔畜 仔畜	4-24754-B
仔細 仔细	4-24801-B
仔细	4-24801-S
仔薑 仔姜	4-24859-B
仕	4-24905-S
仕 仕	4-24905-B
他	4-24939-S
他 他	4-24939-B
他人	4-24967-S
他人 他人	4-24967-B
他们	4-25028-S
他们自己	4-25064-S
他们都	4-25126-S
他們 他们	4-25028-B
他們自己 他们自己	4-25064-B
他們都 他们都	4-25126-B
他妈	4-25180-S
他媽 他妈	4-25180-B
他山之石可以攻玉	4-25249-S
他山之石可以攻玉 他山之石可以攻玉	4-25249-B
他用	4-25526-S
他用 他用	4-25526-B
他自己	4-25569-S
他自己 他自己	4-25569-B
他迁	4-25618-S
他遷 他迁	4-25618-B
仗	4-25681-S
仗 仗	4-25681-B
仗义	4-26032-S
仗义执言	4-26114-S
仗义疏财	4-26250-S
仗势	4-25777-S
仗势欺人	4-25829-S
仗勢 仗势	4-25777-B
仗勢欺人 仗势欺人	4-25829-B
仗恃	4-25931-S
仗恃 仗恃	4-25931-B
仗火	4-25990-S
仗火 仗火	4-25990-B
仗義 仗义	4-26032-B
仗義執言 仗义执言	4-26114-B
仗義疏財 仗义疏财	4-26250-B
仗腰	4-26405-S
仗腰 仗腰	4-26405-B
付	4-26481-S
付 付	4-26481-B
付之一叹	4-26525-S,4-26631-S
付之一嘆 付之一叹	4-26525-B
付之一歎 付之一叹	4-26631-B
付之一炬	4-26737-S
付之一炬 付之一炬	4-26737-B
付之一笑	4-26876-S
付之一笑 付之一笑	4-26876-B
付之丙丁	4-26987-S
付之丙丁 付之丙丁	4-26987-B
付之东流	4-27235-S
付之度外	4-27069-S
付之度外 付之度外	4-27069-B
付之東流 付之东流	4-27235-B
付出	4-27352-S
付出 付出	4-27352-B
付托	4-27391-S
付托 付托	4-27391-B
付方	4-27437-S
付方 付方	4-27437-B
付梓	4-27502-S
付梓 付梓	4-27502-B
付款	4-27569-S
付款 付款	4-27569-B
付清	4-27614-S
付清 付清	4-27614-B
付給 付给	4-27685-B
付给	4-27685-S
付諸 付诸	4-27729-B
付諸東流 付诸东流	4-27788-B
付诸	4-27729-S
付诸东流	4-27788-S
付賬 付账	4-27857-B
付账	4-27857-S
付錢 付钱	4-27913-B
付钱	4-27913-S
仙	4-27959-S
仙 仙	4-27959-B
仙人	4-27991-S
仙人 仙人	4-27991-B
仙人掌	4-28057-S
仙人掌 仙人掌	4-28057-B
仙人掌果	4-28111-S
仙人掌果 仙人掌果	4-28111-B
仙台	4-28182-S
仙台 仙台	4-28182-B
仙后座	4-28249-S
仙后座 仙后座	4-28249-B
仙境	4-28321-S
仙境 仙境	4-28321-B
仙女	4-28366-S
仙女 仙女	4-28366-B
仙女座	4-28405-S
仙女座 仙女座	4-28405-B
仙女座大星云	4-28475-S
仙女座大星雲 仙女座大星云	4-28475-B
仙女座星系	4-28602-S
仙女座星系 仙女座星系	4-28602-B
仙女星座	4-28689-S
仙女星座 仙女星座	4-28689-B
仙女星系	4-28782-S
仙女星系 仙女星系	4-28782-B
仙姑	4-28858-S
仙姑 仙姑	4-28858-B
仙客來 仙客来	4-28917-B
仙客来	4-28917-S
仙居	4-28970-S
仙居 仙居	4-28970-B
仙山	4-29034-S
仙山 仙山	4-29034-B
仙山琼阁	4-29091-S
仙山瓊閣 仙山琼阁	4-29091-B
仙桃	4-29187-S,4-29279-S
仙桃 仙桃	4-29187-B,4-29279-B
仙桃市	4-29356-S
仙桃市 仙桃市	4-29356-B
仙游	4-29724-S
仙游县	4-29783-S
仙王座	4-29444-S
仙王座 仙王座	4-29444-B
仙童	4-29514-S
仙童 仙童	4-29514-B
仙草	4-29564-S
仙草 仙草	4-29564-B
仙逝	4-29656-S
仙逝 仙逝	4-29656-B
仙遊 仙游	4-29724-B
仙遊縣 仙游县	4-29783-B
仚	4-29854-S
仚 仚	4-29854-B
仝	4-29884-S
仝 仝	4-29884-B
仞	4-29921-S
仞 仞	4-29921-B
仟	4-29953-S
仟 仟	4-29953-B
仟悔	4-30015-S
仟悔 仟悔	4-30015-B
仡	4-30078-S
仡 仡	4-30078-B
代	4-30112-S
代 代	4-30112-B
代之以	4-30250-S
代之以 代之以	4-30250-B
代代相传	4-30348-S
代代相傳 代代相传	4-30348-B
代价	4-30474-S
代價 代价	4-30474-B
代写	4-30836-S
代利斯	4-30551-S
代利斯 代利斯	4-30551-B
代办	4-33720-S
代县	4-32832-S
代号	4-33018-S
代名詞 代名词	4-30600-B
代名词	4-30600-S
代填	4-30652-S
代填 代填	4-30652-B
代孕	4-30716-S
代孕 代孕	4-30716-B
代客泊車 代客泊车	4-30769-B
代客泊车	4-30769-S
代寫 代写	4-30836-B
代扣	4-30925-S
代扣 代扣	4-30925-B
代拿买特	4-30999-S
代拿買特 代拿买特	4-30999-B
代数	4-31068-S
代数几何	4-31458-S
代数几何学	4-31530-S
代数函数	4-31109-S
代数函数论	4-31194-S
代数和	4-31294-S
代数基本定理	4-31351-S
代数式	4-31613-S
代数拓扑	4-31675-S
代数方程	4-31756-S
代数曲线	4-31853-S
代数曲面	4-31924-S
代数流行	4-31997-S
代数簇	4-32070-S
代数量	4-32139-S
代數 代数	4-31068-B
代數函數 代数函数	4-31109-B
代數函數論 代数函数论	4-31194-B
代數和 代数和	4-31294-B
代數基本定理 代数基本定理	4-31351-B
代數幾何 代数几何	4-31458-B
代數幾何學 代数几何学	4-31530-B
代數式 代数式	4-31613-B
代數拓撲 代数拓扑	4-31675-B
代數方程 代数方程	4-31756-B
代數曲線 代数曲线	4-31853-B
代數曲面 代数曲面	4-31924-B
代數流行 代数流行	4-31997-B
代數簇 代数簇	4-32070-B
代數量 代数量	4-32139-B
代替	4-32204-S
代替 代替	4-32204-B
代替者	4-32278-S
代替者 代替者	4-32278-B
代沟	4-32332-S
