朾 朾 [01\[ tíng\]]	to bump
李清照 李清照 [01\[ lǐ qīng zhào\]]	li qingzhao (1084-c. 1151)
李滄 李沧 [01\[ lǐ cāng\]]	licang district of qingdao city 青島市|青岛市
李滄區 李沧区 [01\[ lǐ cāng qū\]]	licang district of qingdao city 青島市|青岛市
李漁 李渔 [01\[ lǐ yú\]]	li yu (1611-c. 1680)
李澤楷 李泽楷 [01\[ lǐ zé kǎi\]]	richard li
李煜 李煜 [01\[ lǐ yù\]]	li yu (c. 937-978)
李玟 李玟 [01\[ lǐ wén\]]	coco lee
李瑞環 李瑞环 [01\[ lǐ ruì huán\]]	li ruihuan
李登輝 李登辉 [01\[ lǐ dēng huī\]]	lee teng-hui (1923-)
李白 李白 [01\[ lǐ bái\]]	li bai (701-762)
李百藥 李百药 [01\[ lǐ bǎi yào\]]	li baiyao (565-648)
李約瑟 李约瑟 [01\[ lǐ yuē sè\]]	joseph needham
李綠園 李绿园 [01\[ lǐ lǜ yuán\]]	li lüyuan (1707-1790)
李維 李维 [01\[ lǐ wéi\]]	titus livius or livy (59 bc-17 ad)
李維史陀 李维史陀 [01\[ lǐ wéi shǐ tuó\]]	lévi-strauss (social anthropologist)
李纓 李缨 [01\[ lǐ yīng\]]	li ying (1963-)
李约瑟 李约瑟 [01\[ lǐ yuē sè\]]	joseph needham (1900-1995)
李群 李群 [01\[ lǐ qún\]]	lie group (math.)
李翱 李翱 [01\[ lǐ áo\]]	li ao (774-836)
李肇星 李肇星 [01\[ lǐ zhào xīng\]]	li zhaoxing (prc foreign minister)
李肈 李肇 [01\[ lǐ zhào\]]	li zhao (c. 800)
李自成 李自成 [01\[ lǐ zì chéng\]]	li zicheng (1605-1645)
李英儒 李英儒 [01\[ lǐ yīng rú\]]	li yingru (1913-1989)
李賀 李贺 [01\[ lǐ hè\]]	lihe (790-816)
李贄 李贽 [01\[ lǐ zhì\]]	li zhi (1527-1602)
李遠哲 李远哲 [01\[ lǐ yuǎn zhé\]]	yuan t. lee
李鐵 李铁 [01\[ lǐ tiě\]]	li tie;?water margin character
李長春 李长春 [01\[ lǐ cháng chūn\]]	li changchun (1944-)
李開復 李开复 [01\[ lǐ kāi fù\]]	lee kai-fu (1961-)
李陵 李陵 [01\[ lǐ líng\]]	li ling (-74 bc)
李雪健 李雪健 [01\[ lǐ xuě jiàn\]]	li xuejian
李靖 李靖 [01\[ lǐ jìng\]]	li jing
李顯龍 李显龙 [01\[ lǐ xiǎn lóng\]]	lee hsien loong
李鴻章 李鸿章 [01\[ lǐ hóng zhāng\]]	li hung-chang or li hongzhang (1823-1901)
李鵬 李鹏 [01\[ lǐ péng\]]	li peng (1928-)
李麗珊 李丽珊 [01\[ lǐ lì shān\]]	lee lai shan
杏 杏 [01\[ xìng\]]	apricot
杏仁 杏仁 [01\[ xìng rén\]]	almond;apricot
杏仁豆腐 杏仁豆腐 [01\[ xìng rén dòu fu\]]	almond junket
杏子 杏子 [01\[ xìng zi\]]	apricot
杏林 杏林 [01\[ xìng lín\]]	forest of apricot trees;fig. honorific term for fine doctor (cf dr dong feng 董奉
杏林區 杏林区 [01\[ xìng lín qū\]]	xinglin district of xiamen city 廈門市|厦门市 (renamed haicang district 海滄區|海沧区 in 2003)
杏樹 杏树 [01\[ xìng shù\]]	apricot tree
杏花 杏花 [01\[ xìng huā\]]	apricot blossoms
杏花村 杏花村 [01\[ xìng huā cūn\]]	village in shaanxi province
材 材 [01\[ cái\]]	material;timber;variant of 才
材料 材料 [01\[ cái liào\]]	material;data;makings;stuff
材料學 材料学 [01\[ cái liào xué\]]	material science
材料科學 材料科学 [01\[ cái liào kē xué\]]	materials science
材積 材积 [01\[ cái jī\]]	volume
村 村 [01\[ cūn\]]	village
村上・春樹 村上・春树 [01\[ cūn shàng · chūn shù\]]	murakami haruki (1949-)
村子 村子 [01\[ cūn zi\]]	village
村山富市 村山富市 [01\[ cūn shān fù shì\]]	tomiichi murayama (former prime minister of japan)
村民 村民 [01\[ cūn mín\]]	villager
村莊 村庄 [01\[ cūn zhuāng\]]	village;hamlet
村落 村落 [01\[ cūn luò\]]	village
村鎮 村镇 [01\[ cūn zhèn\]]	hamlet (place)
村長 村长 [01\[ cūn zhǎng\]]	village chief;village head
杓 杓 [01\[ biāo\]]	(star)
杓 杓 [01\[ sháo\]]	ladle
杓子 杓子 [01\[ sháo zi\]]	scoop
杓球場 杓球场 [01\[ sháo qiú chǎng\]]	golf course
杕 杕 [01\[ dì\]]	lone-standing tree
杖 杖 [01\[ zhàng\]]	a staff;a rod;cane;walking stick
杖頭木偶 杖头木偶 [01\[ zhàng tóu mù ǒu\]]	a form of puppet theater
杗 杗 [01\[ máng\]]	ridge-pole in roof
杙 杙 [01\[ yì\]]	post for tethering animals
杜 杜 [01\[ dù\]]	birchleaf pear (tree);to stop;to prevent;to restrict;fabricate;surname du
杜仲 杜仲 [01\[ dù zhòng\]]	eucommia (a kind of rubber tree)
杜伊斯堡 杜伊斯堡 [01\[ dù yī sī bǎo\]]	duisburg (germany)
杜口 杜口 [01\[ dù kǒu\]]	to remain silent
杜口裹足 杜口裹足 [01\[ dù kǒu guǒ zú\]]	to frightened to move or speak
杜塞 杜塞 [01\[ dù sè\]]	to stop;to block
杜塞爾多夫 杜塞尔多夫 [01\[ dù sāi ěr duō fū\]]	düsseldorf (germany)
杜威 杜威 [01\[ dù wēi\]]	du wei (1982-)
杜宇 杜宇 [01\[ dù yǔ\]]	cuckoo;same as 杜鵑鳥|杜鹃鸟
杜尚別 杜尚别 [01\[ dù shàng bié\]]	dushanbe (capital of tajikistan)
杜布羅夫尼克 杜布罗夫尼克 [01\[ dù bù luó fū ní kè\]]	dubrovnik (city in croatia)
杜康 杜康 [01\[ dù kāng\]]	du kang
杜拜 杜拜 [01\[ dù bài\]]	dubai
杜撰 杜撰 [01\[ dù zhuàn\]]	to fabricate;to make sth up;invented
杜本內 杜本内 [01\[ dù běn nèi\]]	dubonnet (name);dubonnet (red vermouth aperitif wine)
杜松子酒 杜松子酒 [01\[ dù sōng zǐ jiǔ\]]	gin
杜棃 杜梨 [01\[ dù lí\]]	birchleaf pear (tree)
杜氏腺 杜氏腺 [01\[ dù shì xiàn\]]	dufour gland (produces female sex hormone in bees)
杜氏腺體 杜氏腺体 [01\[ dù shì xiàn tǐ\]]	dufour gland (produces female sex hormone in bees)
杜漸防萌 杜渐防萌 [01\[ dù jiān fáng méng\]]	to nip in the bud
杜牧 杜牧 [01\[ dù mù\]]	du mu (803-852) tang dynasty poet
杜甫 杜甫 [01\[ dù fǔ\]]	du fu (712-770)
杜甫草堂 杜甫草堂 [01\[ dù fǔ cǎo táng\]]	du fu's thatched cottage in chengdu
杜秋娘歌 杜秋娘歌 [01\[ dù qiū niáng gē\]]	song of lady du qiu
杜絕 杜绝 [01\[ dù jué\]]	put an end to
杜荀鶴 杜荀鹤 [01\[ dù xún hè\]]	du xunhe (846-904)
杜莎夫人 杜莎夫人 [01\[ dù suō fū ren\]]	madame tusseaud's (waxworks)
杜蘅 杜蘅 [01\[ dù héng\]]	asarum forbesii (wild ginger plant)
杜衡 杜衡 [01\[ dù héng\]]	asarum forbesii (wild ginger plant)
杜邦 杜邦 [01\[ dù bāng\]]	dupont
杜門 杜门 [01\[ dù mén\]]	to close the door (also fig.)
杜門不出 杜门不出 [01\[ dù mén bù chū\]]	to shut the door and remain inside;fig. to cut off contact
杜鵑 杜鹃 [01\[ dù juān\]]	cuckoo (also written 杜鵑鳥|杜鹃鸟);indian azalea (also written 杜鵑花|杜鹃花)
杜鵑啼血 杜鹃啼血 [01\[ dù juān tí xuè\]]	the cuckoo cries blood;fig. plaintive lament
杜鵑座 杜鹃座 [01\[ dù juān zuò\]]	tucana (constellation)
杜鵑花 杜鹃花 [01\[ dù juān huā\]]	azalea
杜鵑鳥 杜鹃鸟 [01\[ dù juān niǎo\]]	cuckoo
杝 杝 [01\[ yí\]]	(tree)
杞 杞 [01\[ qǐ\]]	(willow);name of a feudal state
杞人憂天 杞人忧天 [01\[ qǐ rén yōu tiān\]]	the man of qii fears the sky falling (成语 saw); groundless fears
杞國 杞国 [01\[ qǐ guó\]]	the state of qii in modern qi county 杞縣|杞县
杞縣 杞县 [01\[ qǐ xiàn\]]	qi county in henan
束 束 [01\[ shù\]]	to bind;bunch;bundle;classifier for bunches
束之高閣 束之高阁 [01\[ shù zhī gāo gé\]]	tied up in a bundle on a high shelf;to put sth on the back burner;no longer a high priority
束帶 束带 [01\[ shù dài\]]	band;belt;loincloth;cummerbund
束手 束手 [01\[ shù shǒu\]]	to have one's hands tied;helpless;unable to do anything about it
束手就擒 束手就擒 [01\[ shù shǒu jiù qín\]]	hands tied and waiting to be captured
束手就斃 束手就毙 [01\[ shù shǒu jiù bì\]]	hands tied and expecting the worst
束手待斃 束手待毙 [01\[ shù shǒu dài bì\]]	hands tied and expecting the worst
束手待死 束手待死 [01\[ shù shǒu dài sǐ\]]	hands tied and expecting the worst
束手無策 束手无策 [01\[ shù shǒu wú cè\]]	lit. to have one's hands bound and be unable to do anything about it (成语 saw); fig. helpless in the face of a crisis
束狹 束狭 [01\[ shù xiá\]]	narrow (of waterway);a bottleneck
束緊 束紧 [01\[ shù jǐn\]]	gird;tighten
束縛 束缚 [01\[ shù fù\]]	bind;to restrict;to tie;to commit;fetters
束脩 束脩 [01\[ shù xiū\]]	payment for private tutor
束腰 束腰 [01\[ shù yāo\]]	girdle
束裝 束装 [01\[ shù zhuāng\]]	to bundle up (one's possessions for a journey)
束身 束身 [01\[ shù shēn\]]	to bind oneself;submission
束髮 束发 [01\[ shù fà\]]	to bind one's hair;headband
杪 杪 [01\[ miǎo\]]	the limit;tip of branch
杭 杭 [01\[ háng\]]	surname hang;hangzhou
杭丁頓舞蹈症 杭丁顿舞蹈症 [01\[ háng dīng dùn wǔ dào zhèng\]]	huntingdon's disease
杭州 杭州 [01\[ háng zhōu\]]	hangzhou prefectural city and capital of zhejiang province in southeast china
杭州市 杭州市 [01\[ háng zhōu shì\]]	hangzhou prefectural city and capital of zhejiang province in southeast china
杭州灣 杭州湾 [01\[ háng zhōu wān\]]	hangzhou bay
杭錦後旗 杭锦后旗 [01\[ háng jǐn hòu qí\]]	(n) hangjinhouqi (place in inner mongolia)
杭錦旗 杭锦旗 [01\[ háng jǐn qí\]]	(n) hangjin qi (place in inner mongolia)
杯 杯 [01\[ bēi\]]	cup;classifier for drinks: glass
杯墊 杯垫 [01\[ bēi diàn\]]	a mug cushion;a beer mat
杯子 杯子 [01\[ bēi zi\]]	cup;glass
杯弓蛇影 杯弓蛇影 [01\[ bēi gōng shé yǐng\]]	lit. to see a bow reflected in a cup as a snake (成语 saw); fig. unnecessary suspicions;overly fearful
杯托 杯托 [01\[ bēi tuō\]]	a saucer
杯水車薪 杯水车薪 [01\[ bēi shuǐ chē xīn\]]	lit. a cup of water on a burning cart of firewood (成语 saw); fig. an utterly inadequate measure
杯盤狼藉 杯盘狼藉 [01\[ bēi pán láng jí\]]	cups and dishes in complete disorder (成语 saw); after a riotous drinking party
杯葛 杯葛 [01\[ bēi gě\]]	to boycott
杯酒釋兵權 杯酒释兵权 [01\[ bēi jiǔ shì bīng quán\]]	to dismiss military hierarchy using wine cups;cf song founding emperor song taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces
東 东 [01\[ dōng\]]	east;host (i.e. sitting on east side of guest);landlord;surname dong
東一榔頭西一棒子 东一榔头西一棒子 [01\[ dōng yī láng tóu xī yī bàng zi\]]	banging away clumsily in all directions with no overall vision
東中國海 东中国海 [01\[ dōng zhōng guó hǎi\]]	east china sea
東亞 东亚 [01\[ dōng yà\]]	east asia
東亞銀行 东亚银行 [01\[ dōng yà yín háng\]]	bank of east asia
東交民巷 东交民巷 [01\[ dōng jiāo mín xiàng\]]	a street to the south of the forbidden city that was the legation quarter during the boxer uprising
東京 东京 [01\[ dōng jīng\]]	tōkyō
東京帝國大學 东京帝国大学 [01\[ dōng jīng dì guó dà xué\]]	tokyo imperial university (renamed tokyo university after 1945)
東京灣 东京湾 [01\[ dōng jīng wān\]]	tōkyō bay
東倒西歪 东倒西歪 [01\[ dōng dǎo xī wāi\]]	to lean unsteadily from side to side (成语 saw); to sway
東光 东光 [01\[ dōng guāng\]]	(n) dongguang (place in hebei)
東勝 东胜 [01\[ dōng shèng\]]	(n) dongsheng (city in inner mongolia)
東勢鄉 东势乡 [01\[ dōng shì xiāng\]]	(n) tungshih (village in taiwan)
東勢鎮 东势镇 [01\[ dōng shì zhèn\]]	(n) tungshih (town in taiwan)
東北 东北 [01\[ dōng běi\]]	northeast
東北大學 东北大学 [01\[ dōng běi dà xué\]]	northeastern university (liaoning)
東北方 东北方 [01\[ dōng běi fāng\]]	northeast;northeastern
東北虎 东北虎 [01\[ dōng běi hǔ\]]	amur tiger
東區 东区 [01\[ dōng qū\]]	east zone;east end;east district (of taiwanese town)
東半球 东半球 [01\[ dōng bàn qiú\]]	the eastern hemisphere;the old world
東南 东南 [01\[ dōng nán\]]	southeast
東南亞 东南亚 [01\[ dōng nán yà\]]	southeast asia
東南亞國 东南亚国 [01\[ dōng nán yà guó\]]	southeast asia
東南亞國家聯盟 东南亚国家联盟 [01\[ dōng nán yà guó jiā lián méng\]]	asean (association of southeast asian nations)
東南大學 东南大学 [01\[ dōng nán dà xué\]]	southeast university
東南部 东南部 [01\[ dōng nán bù\]]	southeast part
東印度公司 东印度公司 [01\[ dōng yìn dù gōng sī\]]	east india company
東台 东台 [01\[ dōng tái\]]	(n) dongtai (city in jiangsu)
東君 东君 [01\[ dōng jūn\]]	lord of the east
東吳 东吴 [01\[ dōng wú\]]	eastern wu (222-280);the southern state of wu during the three kingdoms period
東周 东周 [01\[ dōng zhōu\]]	eastern zhou (770-221 bc)
東坡肘子 东坡肘子 [01\[ dōng pō zhǒu zi\]]	dongpo pork shoulder
東城區 东城区 [01\[ dōng chéng qū\]]	dongcheng county level district of beijing municipality
東太平洋 东太平洋 [01\[ dōng tài píng yáng\]]	east pacific
東太平洋隆起 东太平洋隆起 [01\[ dōng tài píng yáng lóng qǐ\]]	east pacific rise (a mid-oceanic ridge stretching from california down to antarctica)
東奔西走 东奔西走 [01\[ dōng bēn xī zǒu\]]	to run this way and that (成语 saw); to rush about busily;to bustle about
東奔西跑 东奔西跑 [01\[ dōng bēn xī pǎo\]]	to run this way and that (成语 saw); to rush about busily;to bustle about
東安 东安 [01\[ dōng ān\]]	(n) dong'an (place in hunan)
東家 东家 [01\[ dōng jiā\]]	master (i.e. employer);landlord;boss
東密德蘭 东密德兰 [01\[ dōng mì dé lán\]]	east midlands
東寧 东宁 [01\[ dōng níng\]]	(n) dongning (place in heilongjiang)
東山 东山 [01\[ dōng shān\]]	(n) dongshan (place in fujian)
東山再起 东山再起 [01\[ dōng shān zài qǐ\]]	lit. to return to office after living as a hermit on mount dongshan (成语 saw); fig. to make a comeback
東山鄉 东山乡 [01\[ dōng shān xiāng\]]	(n) tungshan (village in taiwan)
東岸 东岸 [01\[ dōng àn\]]	the east bank
東嶽 东岳 [01\[ dōng yuè\]]	mt tai 泰山 in shandong
東川 东川 [01\[ dōng chuān\]]	(n) dongchuan (city in yunnan)
東巴文化 东巴文化 [01\[ dōng bā wén huà\]]	dongba culture of the nakhi ethnic minority of lijiang 麗江|丽江 in northwest yunnan
東帝汶 东帝汶 [01\[ dōng dì wèn\]]	east timor (officially democratic republic of timor-leste)
東平 东平 [01\[ dōng píng\]]	(n) dongping (place in shandong)
東引鄉 东引乡 [01\[ dōng yǐn xiāng\]]	(n) tungyin (village in taiwan)
東張西望 东张西望 [01\[ dōng zhāng xī wàng\]]	to look in all directions (成语 saw)
東征 东征 [01\[ dōng zhēng\]]	punitive expedition to the east
東征西怨 东征西怨 [01\[ dōng zhēng xī yuàn\]]	war on all sides (成语 saw); fighting from all four quarters
東征西討 东征西讨 [01\[ dōng zhēng xī tǎo\]]	war on all sides (成语 saw); fighting from all four quarters
東德 东德 [01\[ dōng dé\]]	(former) east germany
東方 东方 [01\[ dōng fāng\]]	the east;eastern countries
東方三博士 东方三博士 [01\[ dōng fāng sān bó shì\]]	the magi;the three wise kings from the east in the biblical nativity story
東方日報 东方日报 [01\[ dōng fāng rì bào\]]	oriental daily news
東方紅 东方红 [01\[ dōng fāng hóng\]]	the east is red (dongfanghong)
東方馬腦炎病毒 东方马脑炎病毒 [01\[ dōng fāng mǎ nǎo yán bìng dú\]]	eastern equine encephalitis (eee) virus
東方黎族自治縣 东方黎族自治县 [01\[ dōng fāng lí zú zì zhì xiàn\]]	dongfang lizu autonomous county in hainan
東昌 东昌 [01\[ dōng chāng\]]	dongchang district of tonghua city 通化市
東昌區 东昌区 [01\[ dōng chāng qū\]]	dongchang district of tonghua city 通化市
東明 东明 [01\[ dōng míng\]]	(n) dongming (place in shandong)
東晉 东晋 [01\[ dōng jìn\]]	the eastern jin dynasty (317-420)
東條 东条 [01\[ dōng tiáo\]]	tojo hideki (1884-1948)
東條英機 东条英机 [01\[ dōng tiáo yīng jī\]]	tojo hideki (1884-1948)
東歐 东欧 [01\[ dōng ōu\]]	eastern europe
東歐平原 东欧平原 [01\[ dōng ōu píng yuán\]]	east european plain
東正教 东正教 [01\[ dōng zhèng jiào\]]	eastern orthodox church
東江 东江 [01\[ dōng jiāng\]]	dongjiang river
東河鄉 东河乡 [01\[ dōng hé xiāng\]]	(n) tungho (village in taiwan)
東洋 东洋 [01\[ dōng yáng\]]	eastern world
東洋鬼 东洋鬼 [01\[ dōng yáng guǐ\]]	foreign devil;wartime term of abuse for japanese
東洋鬼子 东洋鬼子 [01\[ dōng yáng guǐ zi\]]	foreign devil;wartime term of abuse for japanese
東洲 东洲 [01\[ dōng zhōu\]]	dongzhou district of fushun city 撫順市|抚顺市
東洲區 东洲区 [01\[ dōng zhōu qū\]]	dongzhou district of fushun city 撫順市|抚顺市
東海 东海 [01\[ dōng hǎi\]]	east china sea
東海岸 东海岸 [01\[ dōng hái ān\]]	east coast
東海艦隊 东海舰队 [01\[ dōng hǎi jiàn duì\]]	east sea fleet
東港鎮 东港镇 [01\[ dōng gǎng zhèn\]]	(n) tungkang (town in taiwan)
東湖 东湖 [01\[ dōng hú\]]	donghu district of nanchang city 南昌市
東湖區 东湖区 [01\[ dōng hú qū\]]	donghu district of nanchang city 南昌市
東溝 东沟 [01\[ dōng gōu\]]	(n) donggou (place in liaoning)
東漢 东汉 [01\[ dōng hàn\]]	eastern or later han dynasty
東漢末 东汉末 [01\[ dōng hàn mò\]]	the last years of eastern han;the breakup of the han dynasty around 200 ad
東漢末年 东汉末年 [01\[ dōng hàn mò nián\]]	the last years of eastern han;the breakup of the han dynasty around 200 ad
東烏珠穆沁旗 东乌珠穆沁旗 [01\[ dōng wū zhū mù qìn qí\]]	(n) dongwuzhumuqin qi (place in inner mongolia)
東營 东营 [01\[ dōng yíng\]]	dongying prefecture level city in shandong
東營市 东营市 [01\[ dōng yíng shì\]]	dongying prefecture level city in shandong
東現漢紀 东现汉纪 [01\[ dōng xiàn hàn jì\]]	records of the eastern han
東疆 东疆 [01\[ dōng jiāng\]]	east of xinjiang
東盟 东盟 [01\[ dōng méng\]]	asean (association of southeast asian nations)
東直門 东直门 [01\[ dōng zhí mén\]]	dongzhimen neighborhood of beijing
東石鄉 东石乡 [01\[ dōng shí xiāng\]]	(n) tungshih (village in taiwan)
東突 东突 [01\[ dōng tū\]]	abbr. for 東突厥斯坦解放組織|东突厥斯坦解放组织 east turkestan liberation organization etlo
東突厥斯坦 东突厥斯坦 [01\[ dōng tū jué sī tǎn\]]	east turkestan;historical term for xinjiang
東突厥斯坦伊斯蘭運動 东突厥斯坦伊斯兰运动 [01\[ dōng tū jué sī tǎn yī sī lán yùn dòng\]]	east turkestan islamic movement etim
東突厥斯坦解放組織 东突厥斯坦解放组织 [01\[ dōng tū jué sī tǎn jiě fàng zǔ zhī\]]	east turkestan liberation organization etlo (xinjiang dissident group)
東突組織 东突组织 [01\[ dōng tū zǔ zhī\]]	abbr. for 東突厥斯坦解放組織|东突厥斯坦解放组织 east turkestan liberation organization etlo
東經 东经 [01\[ dōng jīng\]]	longitude east
東緬高原 东缅高原 [01\[ dōng miǎn gāo yuán\]]	eastern myanmar plateau
東羅馬帝國 东罗马帝国 [01\[ dōng luó mǎ dì guó\]]	eastern roman empire or byzantium (395-1453)
東至 东至 [01\[ dōng zhì\]]	(n) dongzhi (place in anhui)
東芝 东芝 [01\[ dōng zhī\]]	toshiba
東茅草蓋 东茅草盖 [01\[ dōng máo cǎo gài\]]	thatched roof
東莞 东莞 [01\[ dōng guǎn\]]	dongguan prefecture level city in guangdong
東莞市 东莞市 [01\[ dōng guǎn shì\]]	dongguan prefecture level city in guangdong
東華三院 东华三院 [01\[ dōng huá sān yuàn\]]	tung wah group of hospitals
東蘭 东兰 [01\[ dōng lán\]]	(n) donglan (place in guangxi)
東西 东西 [01\[ dōng xī\]]	east and west
東西 东西 [01\[ dōng xi\]]	thing;stuff;person
東西半球 东西半球 [01\[ dōng xī bàn qiú\]]	east and west hemispheres
東西周 东西周 [01\[ dōng xī zhōu\]]	eastern zhou (1046-771 bc) and western zhou (770-221 bc)
東西方 东西方 [01\[ dōng xī fāng\]]	east-west
東觀漢記 东观汉记 [01\[ dōng guān hàn jì\]]	history of later han dynasty
東討西征 东讨西征 [01\[ dōng tǎo xī zhēng\]]	war on all sides (成语 saw); fighting from all four quarters
東豐 东丰 [01\[ dōng fēng\]]	dongfeng county in liaoyuan 遼源|辽源
東豐縣 东丰县 [01\[ dōng fēng xiàn\]]	dongfeng county in liaoyuan 遼源|辽源
東道 东道 [01\[ dōng dào\]]	host
東道主 东道主 [01\[ dōng dào zhǔ\]]	host;official host (e.g. venue for games or a conference)
東遼 东辽 [01\[ dōng liáo\]]	dongliao county in liaoyuan 遼源|辽源
東遼縣 东辽县 [01\[ dōng liáo xiàn\]]	dongliao county in liaoyuan 遼源|辽源
東邊 东边 [01\[ dōng bian\]]	east;east side;eastern part;to the east of
東邊兒 东边儿 [01\[ dōng biān 5r\]]	erhua variant of 東邊|东边
東部 东部 [01\[ dōng bù\]]	the east;the eastern part
東部時間 东部时间 [01\[ dōng bù shí jiān\]]	(us) eastern (standard) time;est
東鄉 东乡 [01\[ dōng xiāng\]]	dongxiang or east village (place name);donxiang ethnic minority;dongxiang county in fuzhou 撫州|抚州
東鄉族 东乡族 [01\[ dōng xiāng zú\]]	donxiang nationality of gansu province
東鄉族自治縣 东乡族自治县 [01\[ dōng xiāng zú zì zhì xiàn\]]	dongxiangzu autonomous county in gansu
