scissors, shears.	forfex
slanting.	obliquus
slantingly.	fastigate
slaughter, massacre.	occidio
slave.	mancipium
sleep.	somnus
sleepily, drowsily.	somniculose
sleepy, drowsy.	somniculosus
slight.	neglectum
slopes.	proclivia
sloping.	cubans
slothful.	socors
slow of mind, stolid.	stolidus
slow, late, tardy.	tardus
slowly, bit by bit, gradually, by degrees.	sensim
slowly, calmly, cooly, deliberately.	lente
slowness, sluggishness / apathy.	lentitudo
sluggish.	hebes
sluggish.	segnis
sluggish.	tardus
sly.	subdolus
slyly, deceitfuly.	dolose
small bag, small purse, little sack.	folliculus
small coin, gift.	stips, stipis
small host.	phalangula
small lamb, lambkin.	agnellus
small piece of flesh.	caruncula
small spring, little fountain.	fonticulus
small, little.	parvus minor minimus
small, puny.	migrus
smaller, less, slighter.	minor
smelly, stinking.	foetidus
