violently.	ingruenter
which, what, that.	qui, quae, que, quod
which? what?.	quinam quaenam quenam quodnam
whichever of the two you wish.	uterlibet
whichever of the two.	utercumque
while, as long as, until.	dum
whim, caprice, violent desire, passionate longing.	libido
whip, scourge.	flagello
whirling motion, whirlwind, whirlpool.	turbo
whirlpool.	charybdis
whirlpool.	gurges
white, snowy.	niveus
white.	albus
who, what.	quisnam, quidnam
whoever, whatever, whatsoever, anything at all.	quicquid
whoever, whatever, whatsoever, anything at all.	quisquis
whole octave.	diapason
whole, entire, complete, all.	totus
whole, safe.	solidus
whole, untouched, unhurt, undamaged /complete, entire.	integer
whore	meretrix, -icis (f.)[Noun]
whores	meretrices, -ium (f.)[Noun]
why even, in fact, moreover.	quin etiam
why so?.	quid ita
why, wherefore.	cur
why?.	quianam
why?.	quiane
wicked, accursed, evil.	maleficus
wicked, accursed, infamous, criminal.	scelestus
wicked.	profanus
wickedly, with evil intent.	male
wickedness, insincerity, . prevarication, injustice, wrong	tortitudo
wickedness.	malignitas
wide, broad, long / willing, obliging, favorable.	prolixus
wide, spacious /later, postponed / lax, loose, relaxed.	laxus
widely, loosely / unrestrained.	laxe
widely.	laxe
widen, extend, enlarge / undo, relax.	laxo
wideness, expansiveness, roominess.	laxitas
widowhood.	viduatus
wife, spouse.	uxor
wild animal.	fera
wild boar.	aper
wild grape vine.	labrusca
wild, unrestrained, unchecked, unbridled.	effrenus
wildness, savageness.	feritas
will, purpose.	voluntas
willing.	voluntarius
willingly, of one's own accord, unaided.	sponte
willingly, with pleasure.	libenter
willingly.	volutarie
win over, reconcile, unite /cause.	concilio
wind, rumor, favor.	ventus
window shutter.	luminare, luminaris
window.	fenestra
wine-drinking, intoxication, drunkenness.	crapula
wine.	vinum
wing.	pennae
wing/armpit/naval squadron /part of line of battle /sails, oars.	ala
winged with sails.	velivola
winged, flying /inconstant, unreliable/ flighty.	volaticus
winged, flying /swift, rapid /fleeting, transitory.	volatilis
