relief.	solamen
sailor.	nauta
sale /closing of a bargain.	venditio
salt, wit.	sal, salis
salty, witty.	salsus
salvation-giving.	salutifer
salve, balm, ointment.	unguentum
satifying.	expletio
satire.	satura
savage, wild, untamed, undomesticated.	efferus
savage, wild.	torva
savagely, furiously.	rabiose
savageness.	ferocitas
save	servare[Verb]
save, except for.	salvifico, salvo
saves	servat[Verb]
savior	salvator[Noun]
say, sing in verse, speak.	for
scabby, rough.	scaber
scabrous, rough.	scabrosus
scale.	lanx
scales.	libra
scantiness, emptiness, loneliness.	infrequentia
scanty, meager.	modicus
scanty, thin, uncrowded /infrequent /thinly populated.	infrequens
scarcely, hardly, with difficulty, barely.	vix
scarcely.	parcius
scarcity, poverty.	inopia
scatter, strew, spread.	spargo, sparsi, sparsum
scattered about /indiscriminately.	passim
Scheldt.	Scaldus
scholar, learned man / adj. learned, literary.	philologus
scholar, learned one, schoolboy.	scholasticus
school /elite troop of soldiers.	schola
