慧	25-51234-S
憲章派 宪章派	25-57680-B
憶 忆	25-57775-B
憸	25-57805-S
憸 憸	25-57805-B
憺	25-57846-S
憺 憺	25-57846-B
憾	25-57874-S
憾 憾	25-57874-B
憾恨	25-57903-S
憾恨 憾恨	25-57903-B
懂	25-57946-S
懂 懂	25-57946-B
懂事	25-57991-S
懂事 懂事	25-57991-B
懂得	25-58057-S
懂得 懂得	25-58057-B
懂行	25-58125-S
懂行 懂行	25-58125-B
懃	25-58178-S
懃 懃	25-58178-B
懅	25-58222-S
懅 懅	25-58222-B
懆	25-58259-S
懆 懆	25-58259-B
懇 恳	25-58293-B
懇切 恳切	25-58323-B
懇求 恳求	25-58372-B
懇辭 恳辞	25-58426-B
懈	25-58489-S
懈 懈	25-58489-B
懈弛	25-58525-S
懈弛 懈弛	25-58525-B
懈怠	25-58577-S
懈怠 懈怠	25-58577-B
懈惰	25-58628-S
懈惰 懈惰	25-58628-B
懈气	25-58672-S
懈氣 懈气	25-58672-B
應 应	25-58735-B,25-58764-B
應付 应付	25-58821-B
應付帳款 应付帐款	25-58874-B
應力 应力	25-58949-B
應力場 应力场	25-58997-B
應和 应和	25-59056-B
應城 应城	25-59135-B
應對 应对	25-59201-B
應得 应得	25-59263-B
應徵 应征	25-59304-B
應急 应急	25-59392-B
應急出口 应急出口	25-59449-B
應急待命 应急待命	25-59519-B
應急措施 应急措施	25-59593-B
應急照射 应急照射	25-59666-B
應急狀態 应急状态	25-59741-B
應戰 应战	25-59815-B
應收帳款 应收帐款	25-59894-B
應有 应有	25-59974-B
應有盡有 应有尽有	25-60015-B
應激性 应激性	25-60102-B
應用 应用	25-60177-B
應用層 应用层	25-60251-B
應用平台 应用平台	25-60316-B
應用數學 应用数学	25-60395-B
應用物理 应用物理	25-60472-B
應用科學 应用科学	25-60543-B
應用程式 应用程式	25-60615-B
應用程式介面 应用程式介面	25-60705-B
應用軟件 应用软件	25-60825-B
應用軟體 应用软体	25-60905-B
應當 应当	25-60983-B
應答 应答	25-61034-B
應縣 应县	25-61076-B
應聘 应聘	25-61133-B
應聘者 应聘者	25-61189-B
應許 应许	25-61254-B
應試教育 应试教育	25-61307-B
應該 应该	25-61422-B
應該說 应该说	25-61477-B
應變 应变	25-61555-B
應運而生 应运而生	25-61640-B
應邀 应邀	25-61749-B
應酬 应酬	25-61816-B
懊	25-61900-S
懊 懊	25-61900-B
懊丧	25-61931-S
懊喪 懊丧	25-61931-B
懊恼	25-62053-S
懊悔	25-61994-S
懊悔 懊悔	25-61994-B
懊惱 懊恼	25-62053-B
懋	25-62105-S
懋 懋	25-62105-B
懌 怿	25-62151-B
懍 懔	25-62188-B
懐	25-62215-S
懐 懐	25-62215-B
懑	25-62430-S
懒	25-63363-S
懒人	25-63390-S
懒办法	25-63858-S
懒得	25-63435-S
懒得搭理	25-62266-S
懒得搭理 懒得搭理	25-62266-B
懒怠	25-63506-S
懒惰	25-63544-S
懒散	25-63587-S
懒汉	25-63696-S
懒洋洋	25-63643-S
懒腰	25-63751-S
懒虫	25-63792-S
懒驴上磨屎尿多	25-63967-S
懒鬼	25-64168-S
懔	25-62188-S
懟 怼	25-62368-B
懠	25-62403-S
懠 懠	25-62403-B
懣 懑	25-62430-B
懤	25-62463-S
懤 懤	25-62463-B
懥	25-62494-S
懥 懥	25-62494-B
懦	25-62524-S
懦 懦	25-62524-B
懦夫	25-62561-S
懦夫 懦夫	25-62561-B
懦弱	25-62600-S
懦弱 懦弱	25-62600-B
懨 恹	25-62647-B
懫	25-62688-S
懫 懫	25-62688-B
懮	25-62746-S
懮 懮	25-62746-B
懮慮 懮虑	25-62785-B
懮虑	25-62785-S
懰	25-62840-S
懰 懰	25-62840-B
懲 惩	25-62879-B
懲前毖後 惩前毖后	25-62921-B
懲戒 惩戒	25-63111-B
懲罰 惩罚	25-63170-B
懲罰性 惩罚性	25-63233-B
懲辦 惩办	25-63288-B
懵	25-63333-S
懵 懵	25-63333-B
懶 懒	25-63363-B
懶人 懒人	25-63390-B
懶得 懒得	25-63435-B
懶怠 懒怠	25-63506-B
懶惰 懒惰	25-63544-B
懶散 懒散	25-63587-B
懶洋洋 懒洋洋	25-63643-B
懶漢 懒汉	25-63696-B
懶腰 懒腰	25-63751-B
懶蟲 懒虫	25-63792-B
懶辦法 懒办法	25-63858-B
懶驢上磨屎尿多 懒驴上磨屎尿多	25-63967-B
懶鬼 懒鬼	25-64168-B
懷 怀	25-64220-B
懷仁 怀仁	25-64296-B
懷來 怀来	25-64360-B
懷來縣 怀来县	25-64423-B
懷俄明 怀俄明	25-64493-B
懷俄明州 怀俄明州	25-64545-B
懷化 怀化	25-64609-B
懷化市 怀化市	26-0-B
懷古 怀古	26-84-B
懷妊 怀妊	26-168-B
懷孕 怀孕	26-222-B
懷安 怀安	26-303-B
懷寧 怀宁	26-365-B
懷念 怀念	26-430-B
懷恨 怀恨	26-512-B
懷才不遇 怀才不遇	26-590-B
懷抱 怀抱	26-779-B
懷敵意 怀敌意	26-895-B
懷柔 怀柔	26-946-B
懷柔區 怀柔区	26-1017-B
懷璧其罪 怀璧其罪	26-1115-B
懷疑 怀疑	26-1333-B
懷疑派 怀疑派	26-1412-B
懷胎 怀胎	26-1466-B
懷舊 怀旧	26-1509-B
懷舊感 怀旧感	26-1584-B
懷裡 怀里	26-1649-B
懷遠 怀远	26-1696-B
懷鄉 怀乡	26-1761-B
懷錶 怀表	26-1806-B
懷集 怀集	26-1854-B
懸 悬	26-1919-B
懸垂 悬垂	26-1966-B
懸壺濟世 悬壶济世	26-2010-B
懸岩 悬岩	26-2123-B
懸崖 悬崖	26-2163-B
懸崖勒馬 悬崖勒马	26-2206-B
懸念 悬念	26-2360-B
懸掛 悬挂	26-2415-B
懸殊 悬殊	26-2491-B
懸浮 悬浮	26-2576-B
懸浮物 悬浮物	26-2647-B
懸疑 悬疑	26-2745-B
懸盪 悬荡	26-2787-B
懸空 悬空	26-2840-B
懸空寺 悬空寺	26-2882-B
懸索橋 悬索桥	26-2986-B
懸而未決 悬而未决	26-3050-B
懸賞 悬赏	26-3147-B
懺 忏	26-3198-B
懺悔 忏悔	26-3248-B
懼 惧	26-3362-B
懼怕 惧怕	26-3391-B
懼高症 惧高症	26-3435-B
懽	26-3507-S
懽 懽	26-3507-B
懾 慑	26-3538-B
懿	26-3611-S
懿 懿	26-3611-B
懿旨	26-3650-S
懿旨 懿旨	26-3650-B
戀 恋	26-3701-B
戀人 恋人	26-3758-B
戀愛 恋爱	26-3809-B
戀戀不捨 恋恋不舍	26-3884-B
戀母情結 恋母情结	26-3958-B
戀童癖 恋童癖	26-4030-B
戀腳癖 恋脚癖	26-4086-B
戀腳癖者 恋脚癖者	26-4143-B
戁	26-4214-S
戁 戁	26-4214-B
戄	26-4249-S
戄 戄	26-4249-B
戆	26-4300-S
戇 戆	26-4300-B
戈	26-4339-S
戈 戈	26-4339-B
戈兰高地	26-4855-S
戈壁	26-4377-S
戈壁 戈壁	26-4377-B
戈壁沙漠	26-4422-S
戈壁沙漠 戈壁沙漠	26-4422-B
戈壁滩	26-4486-S
戈壁灘 戈壁滩	26-4486-B
戈壁荒滩	26-4540-S
戈壁荒灘 戈壁荒滩	26-4540-B
戈尔	26-4685-S
戈尔巴乔夫	26-4744-S
戈斯拉尔	26-4627-S
戈斯拉爾 戈斯拉尔	26-4627-B
戈爾 戈尔	26-4685-B
戈爾巴喬夫 戈尔巴乔夫	26-4744-B
戈蘭高地 戈兰高地	26-4855-B
戉	26-4922-S
戉 戉	26-4922-B
戊	26-4973-S
戊 戊	26-4973-B
戊午	26-5083-S
戊午 戊午	26-5083-B
戊型肝炎	26-5155-S
戊型肝炎 戊型肝炎	26-5155-B
戊子	26-5222-S
戊子 戊子	26-5222-B
戊寅	26-5295-S
戊寅 戊寅	26-5295-B
戊巴比妥鈉 戊巴比妥钠	26-5366-B
戊巴比妥钠	26-5366-S
戊戌	26-5462-S
戊戌 戊戌	26-5462-B
戊戌六君子	26-5536-S
戊戌六君子 戊戌六君子	26-5536-B
戊戌变法	26-5949-S
戊戌政变	26-5663-S
戊戌政變 戊戌政变	26-5663-B
戊戌維新 戊戌维新	26-5808-B
戊戌维新	26-5808-S
戊戌變法 戊戌变法	26-5949-B
戊申	26-6116-S
戊申 戊申	26-6116-B
戊辰	26-6190-S
戊辰 戊辰	26-6190-B
戊醇	26-6258-S
戊醇 戊醇	26-6258-B
戋	26-14401-S
戌	26-6304-S
戌 戌	26-6304-B
戌狗	26-6355-S
戌狗 戌狗	26-6355-B
戍	26-6395-S
戍 戍	26-6395-B
戍卒	26-6426-S
戍卒 戍卒	26-6426-B
戍守	26-6475-S
戍守 戍守	26-6475-B
戍角	26-6518-S
戍角 戍角	26-6518-B
戍边	26-6574-S
戍邊 戍边	26-6574-B
戎	26-6685-S
戎 戎	26-6685-B
戎事	26-6760-S
戎事 戎事	26-6760-B
戎事倥偬	26-6811-S
戎事倥傯 戎事倥偬	26-6811-B
戎机	26-6907-S
戎機 戎机	26-6907-B
戎甲	26-6968-S
戎甲 戎甲	26-6968-B
戎行	26-7020-S
戎行 戎行	26-7020-B
戎衣	26-7079-S
戎衣 戎衣	26-7079-B
戎装	26-7129-S
戎裝 戎装	26-7129-B
戎車 戎车	26-7181-B
戎车	26-7181-S
戎馬 戎马	26-7232-B
戎馬生涯 戎马生涯	26-7293-B
戎马	26-7232-S
戎马生涯	26-7293-S
戏	26-20876-S
戏仿	26-20919-S
戏剧	26-20969-S
戏剧化	26-21019-S
戏剧家	26-21072-S
戏剧性	26-21135-S
戏弄	26-21187-S
戏曲	26-21231-S
戏法	26-21276-S
戏耍	26-21319-S
戏言	26-21358-S
戏说	26-21428-S
戏说剧	26-21675-S
戏谑	26-21747-S
戏院	26-21816-S
成	26-7394-S
成 成	26-7394-B
成串	26-7498-S
成串 成串	26-7498-B
成为	26-10713-S
成书	26-10232-S
成交	26-7549-S
成交 成交	26-7549-B
成交价	26-7624-S
成交價 成交价	26-7624-B
成亲	26-11964-S
成人	26-7727-S
成人 成人	26-7727-B
成仁	26-7768-S
成仁 成仁	26-7768-B
成仙	26-7827-S
成仙 成仙	26-7827-B
成份	26-7882-S
成份 成份	26-7882-B
成体	26-12714-S
成何体统	26-7966-S
成何體統 成何体统	26-7966-B
成像	26-8053-S
成像 成像	26-8053-B
成全	26-8098-S
成全 成全	26-8098-B
成分	26-8222-S
成分 成分	26-8222-B
成功	26-8268-S
成功 成功	26-8268-B
成功感	26-8323-S
成功感 成功感	26-8323-B
成功的男人后面必有一个奉献的女人	26-8394-S
成功的男人後面必有一個奉獻的女人 成功的男人后面必有一个奉献的女人	26-8394-B
成功鎮 成功镇	26-8643-B
成功镇	26-8643-S
成千上万	26-8722-S
成千上萬 成千上万	26-8722-B
成县	26-11294-S
成反比	26-8821-S
成反比 成反比	26-8821-B
成吉思汗	26-8910-S
成吉思汗 成吉思汗	26-8910-B
成员	26-9059-S
成员国	26-9102-S
成品	26-8990-S
成品 成品	26-8990-B
成員 成员	26-9059-B
成員國 成员国	26-9102-B
成因	26-9164-S
成因 成因	26-9164-B
成圈	26-9212-S
成圈 成圈	26-9212-B
成報 成报	26-9256-B
成天	26-9311-S
成天 成天	26-9311-B
成套	26-9381-S
成套 成套	26-9381-B
成安	26-9465-S
成安 成安	26-9465-B
成家	26-9529-S
成家 成家	26-9529-B
成就	26-9585-S
成就 成就	26-9585-B
成年	26-9671-S
成年 成年	26-9671-B
成年人	26-9713-S
成年人 成年人	26-9713-B
成年者	26-9773-S
成年者 成年者	26-9773-B
成心	26-9826-S
成心 成心	26-9826-B
成报	26-9256-S
成效	26-9895-S
成效 成效	26-9895-B
成敗 成败	26-9945-B
成文	26-9999-S
成文 成文	26-9999-B
成文法	26-10052-S
成文法 成文法	26-10052-B
成方儿	26-10105-S
成方兒 成方儿	26-10105-B
成書 成书	26-10232-B
成本	26-10305-S
成本 成本	26-10305-B
成果	26-10355-S
成果 成果	26-10355-B
成武	26-10421-S
成武 成武	26-10421-B
成汉	26-10564-S
成渝	26-10487-S
成渝 成渝	26-10487-B
成漢 成汉	26-10564-B
成災 成灾	26-10643-B
成灾	26-10643-S
成為 成为	26-10713-B
成熟	26-10771-S
成熟 成熟	26-10771-B
成田	26-10818-S
成田 成田	26-10818-B
成田机场	26-10916-S
成田機場 成田机场	26-10916-B
成百上千	26-10998-S
成百上千 成百上千	26-10998-B
成真	26-11117-S
成真 成真	26-11117-B
成立	26-11178-S
成立 成立	26-11178-B
成組 成组	26-11229-B
成縣 成县	26-11294-B
成績 成绩	26-11352-B
成组	26-11229-S
成绩	26-11352-S
成群	26-11425-S
成群 成群	26-11425-B
成群結隊 成群结队	26-11496-B
成群结队	26-11496-S
成药	26-11587-S
成藥 成药	26-11587-B
成虫	26-11663-S
成蟲 成虫	26-11663-B
成行	26-11713-S
成行 成行	26-11713-B
成衣	26-11772-S
成衣 成衣	26-11772-B
成見 成见	26-11825-B
成規 成规	26-11894-B
成親 成亲	26-11964-B
成见	26-11825-S
成规	26-11894-S
成語 成语	26-12014-B
成语	26-12014-S
成象	26-12087-S
成象 成象	26-12087-B
成败	26-9945-S
成都	26-12157-S
成都 成都	26-12157-B
成都市	26-12279-S
成都市 成都市	26-12279-B
成長 成长	26-12412-B
成長率 成长率	26-12474-B
成长	26-12412-S
成长率	26-12474-S
成骨	26-12533-S
成骨 成骨	26-12533-B
成骨不全症	26-12595-S
成骨不全症 成骨不全症	26-12595-B
成體 成体	26-12714-B
成龍 成龙	26-12777-B
成龙	26-12777-S
我	26-12833-S
我 我	26-12833-B
我人	26-12862-S
我人 我人	26-12862-B
我们	26-12897-S
我们自己	26-12948-S
我們 我们	26-12897-B
我們自己 我们自己	26-12948-B
我国	26-13009-S
我國 我国	26-13009-B
我愛你 我爱你	26-13059-B
我爱你	26-13059-S
我的	26-13111-S
我的 我的	26-13111-B
我等	26-13149-S
我等 我等	26-13149-B
我自己	26-13188-S
我自己 我自己	26-13188-B
戒	26-13243-S
戒 戒	26-13243-B
戒严	26-13441-S
戒严令	26-13505-S
戒備 戒备	26-13288-B
戒備森嚴 戒备森严	26-13370-B
戒嚴 戒严	26-13441-B
戒嚴令 戒严令	26-13505-B
戒坛	26-13562-S
戒壇 戒坛	26-13562-B
戒备	26-13288-S
戒备森严	26-13370-S
戒子	26-13636-S
戒子 戒子	26-13636-B
戒律	26-13672-S
戒律 戒律	26-13672-B
戒心	26-13736-S
戒心 戒心	26-13736-B
戒忌	26-13788-S
戒忌 戒忌	26-13788-B
戒惧	26-13905-S
戒慎	26-13852-S
戒慎 戒慎	26-13852-B
戒懼 戒惧	26-13905-B
戒指	26-13945-S
戒指 戒指	26-13945-B
戒毒	26-13991-S
戒毒 戒毒	26-13991-B
戒烟	26-14084-S
戒煙 戒烟	26-14084-B
戒絕 戒绝	26-14136-B
戒绝	26-14136-S
戒規 戒规	26-14205-B
戒规	26-14205-S
戒酒	26-14267-S
戒酒 戒酒	26-14267-B
戒除	26-14346-S
戒除 戒除	26-14346-B
戔 戋	26-14401-B
戕害	26-14437-S
戕害 戕害	26-14437-B
或	26-14482-S
或 或	26-14482-B
或多或少	26-14536-S
或多或少 或多或少	26-14536-B
或是	26-14605-S
或是 或是	26-14605-B
或称	26-14665-S
或稱 或称	26-14665-B
或者	26-14733-S
或者 或者	26-14733-B
或許 或许	26-14792-B
或许	26-14792-S
戗	26-15493-S
戗风	26-15587-S
战	26-16674-S
战乱	26-16723-S
战争	26-19060-S
战争与和平	26-19235-S
战争罪	26-19109-S
战争罪行	26-19166-S
战事	26-16771-S
战俘	26-16814-S
战兢	26-16913-S
战况	26-18755-S
战列舰	26-16974-S
战利品	26-17031-S
战力	26-17083-S
战功	26-17169-S
战区	26-17286-S
战友	26-17361-S
战后	26-18381-S
战团	26-18010-S
战国	26-17428-S
战国七雄	26-17501-S
战国时代	26-17598-S
战国末	26-17746-S
战国末年	26-17817-S
战国策	26-17900-S
战地	26-18073-S
战场	26-18118-S
战壕	26-18166-S
战壕热	26-18215-S
战士	26-18272-S
战备	26-16863-S
战役	26-18330-S
战战兢兢	26-18491-S
战斗	26-20484-S
战斗力	26-20537-S
战斗机	26-20599-S
战斗群	26-20662-S
战斗者	26-20766-S
战斗舰	26-20819-S
战旗	26-18644-S
战无不胜	26-18920-S
战术	26-20186-S
战术导弹	26-20228-S
战术核武器	26-20301-S
战机	26-18703-S
战栗	26-18438-S
战法	26-18805-S
战火	26-18856-S
战犯	26-19354-S
战略	26-19401-S
战略夥伴	26-19445-S
战略家	26-19520-S
战略性	26-19579-S
战略核力量	26-19636-S
战略核武器	26-19727-S
战略轰炸机	26-19817-S
战略防御倡议	26-19902-S
战祸	26-20017-S
战线	26-20067-S
战胜	26-17233-S
战舰	26-20132-S
战败	26-18596-S
战车	26-20390-S
战马	26-20441-S
戚	25-53033-S,26-14838-S
戚 戚	26-14838-B
戚繼光 戚继光	26-14879-B
戚继光	26-14879-S
戛	26-14934-S
戛 戛	26-14934-B
戛然	26-14979-S
戛然 戛然	26-14979-B
戛納 戛纳	26-15074-B
戛纳	26-15074-S
戟	26-15122-S
戟 戟	26-15122-B
戠	26-15167-S
戠 戠	26-15167-B
戡	26-15223-S
戡 戡	26-15223-B
戢	26-15259-S
戢 戢	26-15259-B
戣	26-15305-S
戣 戣	26-15305-B
戤	26-15335-S
戤 戤	26-15335-B
戥	26-15384-S
戥 戥	26-15384-B
戦	26-15442-S
戦 戦	26-15442-B
戧 戗	26-15493-B
戧風 戗风	26-15587-B
戩 戬	26-15650-B
截	26-15700-S
截 截	26-15700-B
截塔	26-15754-S
截塔 截塔	26-15754-B
截夺	26-15811-S
截奪 截夺	26-15811-B
截尾	26-15854-S
截尾 截尾	26-15854-B
截拳道	26-15932-S
截拳道 截拳道	26-15932-B
截断	26-16021-S
截斷 截断	26-16021-B
截止	26-16066-S
截止 截止	26-16066-B
截然	26-16175-S
截然 截然	26-16175-B
截獲 截获	26-16239-B
截瘫	26-16308-S
截癱 截瘫	26-16308-B
截程序	26-16362-S
截程序 截程序	26-16362-B
截線 截线	26-16415-B
截线	26-16415-S
截肢	26-16467-S
截肢 截肢	26-16467-B
截至	26-16511-S
截至 截至	26-16511-B
截获	26-16239-S
戬	26-15650-S
戭	26-16571-S
戭 戭	26-16571-B
戮	26-16599-S
戮 戮	26-16599-B
戯	26-16625-S
戯 戯	26-16625-B
戰 战	26-16674-B
戰亂 战乱	26-16723-B
戰事 战事	26-16771-B
戰俘 战俘	26-16814-B
戰備 战备	26-16863-B
戰兢 战兢	26-16913-B
戰列艦 战列舰	26-16974-B
戰利品 战利品	26-17031-B
戰力 战力	26-17083-B
戰功 战功	26-17169-B
戰勝 战胜	26-17233-B
戰區 战区	26-17286-B
戰友 战友	26-17361-B
戰國 战国	26-17428-B
戰國七雄 战国七雄	26-17501-B
戰國時代 战国时代	26-17598-B
戰國末 战国末	26-17746-B
戰國末年 战国末年	26-17817-B
戰國策 战国策	26-17900-B
戰團 战团	26-18010-B
戰地 战地	26-18073-B
戰場 战场	26-18118-B
戰壕 战壕	26-18166-B
戰壕熱 战壕热	26-18215-B
戰士 战士	26-18272-B
戰役 战役	26-18330-B
戰後 战后	26-18381-B
戰慄 战栗	26-18438-B
戰戰兢兢 战战兢兢	26-18491-B
戰敗 战败	26-18596-B
戰旗 战旗	26-18644-B
戰機 战机	26-18703-B
戰況 战况	26-18755-B
戰法 战法	26-18805-B
戰火 战火	26-18856-B
戰無不勝 战无不胜	26-18920-B
戰爭 战争	26-19060-B
戰爭罪 战争罪	26-19109-B
戰爭罪行 战争罪行	26-19166-B
戰爭與和平 战争与和平	26-19235-B
戰犯 战犯	26-19354-B
戰略 战略	26-19401-B
戰略夥伴 战略夥伴	26-19445-B
戰略家 战略家	26-19520-B
戰略性 战略性	26-19579-B
戰略核力量 战略核力量	26-19636-B
戰略核武器 战略核武器	26-19727-B
戰略轟炸機 战略轰炸机	26-19817-B
戰略防御倡議 战略防御倡议	26-19902-B
戰禍 战祸	26-20017-B
戰線 战线	26-20067-B
戰艦 战舰	26-20132-B
戰術 战术	26-20186-B
戰術導彈 战术导弹	26-20228-B
戰術核武器 战术核武器	26-20301-B
戰車 战车	26-20390-B
戰馬 战马	26-20441-B
戰鬥 战斗	26-20484-B
戰鬥力 战斗力	26-20537-B
戰鬥機 战斗机	26-20599-B
戰鬥群 战斗群	26-20662-B
戰鬥者 战斗者	26-20766-B
戰鬥艦 战斗舰	26-20819-B
戲 戏	26-20876-B
戲仿 戏仿	26-20919-B
戲劇 戏剧	26-20969-B
戲劇化 戏剧化	26-21019-B
戲劇家 戏剧家	26-21072-B
戲劇性 戏剧性	26-21135-B
戲弄 戏弄	26-21187-B
戲曲 戏曲	26-21231-B
戲法 戏法	26-21276-B
戲耍 戏耍	26-21319-B
戲言 戏言	26-21358-B
戲說 戏说	26-21428-B
戲說劇 戏说剧	26-21675-B
戲謔 戏谑	26-21747-B
戲院 戏院	26-21816-B
戳	26-21857-S
戳 戳	26-21857-B
戳不住	26-21949-S
戳不住 戳不住	26-21949-B
戳个儿	26-22081-S
戳份儿	26-22028-S
戳份兒 戳份儿	26-22028-B
戳個兒 戳个儿	26-22081-B
戳儿	26-22132-S
戳兒 戳儿	26-22132-B
戳刺感	26-22179-S
戳刺感 戳刺感	26-22179-B
戳力	26-22252-S
戳力 戳力	26-22252-B
戳咕	26-22323-S
戳咕 戳咕	26-22323-B
戳壁脚	26-22403-S
戳壁腳 戳壁脚	26-22403-B
戳子	26-22490-S
戳子 戳子	26-22490-B
戳得住	26-22537-S
戳得住 戳得住	26-22537-B
戳心灌髓	26-22608-S
戳心灌髓 戳心灌髓	26-22608-B
戳搭	26-22673-S
戳搭 戳搭	26-22673-B
戳破	26-22722-S
戳破 戳破	26-22722-B
戳祸	26-22774-S
戳禍 戳祸	26-22774-B
戳穿	26-22827-S
戳穿 戳穿	26-22827-B
戳穿試驗 戳穿试验	26-22898-B
戳穿试验	26-22898-S
戳脊梁	26-22970-S
戳脊梁骨	26-23057-S
戳脊樑 戳脊梁	26-22970-B
戳脊樑骨 戳脊梁骨	26-23057-B
戳記 戳记	26-23154-B
戳记	26-23154-S
戴	26-23202-S
戴 戴	26-23202-B
戴上	26-23278-S
戴上 戴上	26-23278-B
戴勝 戴胜	26-23332-B
戴名世	26-23388-S
戴名世 戴名世	26-23388-B
戴安娜	26-23457-S
戴安娜 戴安娜	26-23457-B
戴安娜王妃	26-23512-S
戴安娜王妃 戴安娜王妃	26-23512-B
戴尔	26-23704-S
戴有色眼鏡 戴有色眼镜	26-23583-B
戴有色眼镜	26-23583-S
戴爾 戴尔	26-23704-B
戴盆望天	26-23741-S
戴盆望天 戴盆望天	26-23741-B
戴綠帽子 戴绿帽子	26-23858-B
戴綠頭巾 戴绿头巾	26-23950-B
戴維斯 戴维斯	26-24074-B
戴維斯 琳.戴维斯	42-58699-S
戴維斯杯 戴维斯杯	26-24148-B
戴維營 戴维营	26-24252-B
戴维斯	26-24074-S,42-58699-S
戴维斯杯	26-24148-S
戴维营	26-24252-S
戴绿头巾	26-23950-S
戴绿帽子	26-23858-S
戴胜	26-23332-S
戴高乐	26-24308-S
戴高樂 戴高乐	26-24308-B
戶 户	26-24381-B
戶主 户主	26-24426-B
戶口 户口	26-24480-B
戶口制 户口制	26-24601-B
戶口制度 户口制度	26-24682-B
戶口簿 户口簿	26-24773-B
戶告人曉 户告人晓	26-24834-B
戶均 户均	26-24985-B
戶外 户外	26-25035-B
戶樞不蠹 户枢不蠹	26-25075-B
