圣母	51-47806-S
坚贞不屈	16-5684-S
坚贞不渝	16-5787-S
坚韧	16-5888-S
坚韧不拔	16-5950-S
坛	16-32058-S
坝	16-35808-S
坞	16-21341-S
坟	16-30577-S
坟丘	16-30607-S
坟墓	16-30647-S
坠	16-25846-S
坠入	16-25899-S
坠机	16-25958-S
坠毁	16-26006-S
坠落	16-26054-S
坡	15-52282-S
坡 坡	15-52282-B
坡度	15-52309-S
坡度 坡度	15-52309-B
坡道	15-52354-S
坡道 坡道	15-52354-B
坤	15-52420-S
坤 坤	15-52420-B
坤甸	15-52475-S
坤甸 坤甸	15-52475-B
坦	15-52524-S
坦 坦	15-52524-B
坦佩雷	15-52577-S
坦佩雷 坦佩雷	15-52577-B
坦克	15-52650-S
坦克 坦克	15-52650-B
坦克車 坦克车	15-52706-B
坦克车	15-52706-S
坦博拉	15-52772-S
坦博拉 坦博拉	15-52772-B
坦噶尼喀	15-52822-S
坦噶尼喀 坦噶尼喀	15-52822-B
坦噶尼喀湖	15-52913-S
坦噶尼喀湖 坦噶尼喀湖	15-52913-B
坦承	15-53006-S
坦承 坦承	15-53006-B
坦桑尼亚	15-53082-S
坦桑尼亞 坦桑尼亚	15-53082-B
坦然	15-53145-S
坦然 坦然	15-53145-B
坦然无惧	15-53195-S
坦然無懼 坦然无惧	15-53195-B
坦率	15-53274-S
坦率 坦率	15-53274-B
坦白	15-53339-S
坦白 坦白	15-53339-B
坦荡	15-53402-S
坦蕩 坦荡	15-53402-B
坦誠 坦诚	15-53464-B
坦誠相見 坦诚相见	15-53526-B
坦诚	15-53464-S
坦诚相见	15-53526-S
坦途	15-53640-S
坦途 坦途	15-53640-B
坨	15-53691-S
坨 坨	15-53691-B
坩	15-53738-S
坩 坩	15-53738-B
坩埚	15-53769-S
坩堝 坩埚	15-53769-B
坪	15-53811-S
坪 坪	15-53811-B
坪林乡	15-53842-S
坪林鄉 坪林乡	15-53842-B
坫	15-53921-S
坫 坫	15-53921-B
坭	15-53962-S
坭 坭	15-53962-B
坯	15-53987-S
坯 坯	15-53987-B
坰	15-54028-S
坰 坰	15-54028-B
坱	15-54072-S
坱 坱	15-54072-B
坳	15-54123-S
坳 坳	15-54123-B
坴	15-54171-S
坴 坴	15-54171-B
坵	15-54214-S
坵 坵	15-54214-B
坷	15-54248-S
坷 坷	15-54248-B
坻	15-54305-S,15-54347-S
坻 坻	15-54305-B,15-54347-B
坼	15-54379-S
坼 坼	15-54379-B
垂	15-54430-S
垂 垂	15-54430-B
垂下	15-54536-S
垂下 垂下	15-54536-B
垂体	15-55790-S
垂危	15-54583-S
垂危 垂危	15-54583-B
垂头丧气	15-55683-S
垂幕	15-54659-S
垂幕 垂幕	15-54659-B
垂悬分词	15-54699-S
垂懸分詞 垂悬分词	15-54699-B
垂挂	15-54804-S
垂掛 垂挂	15-54804-B
垂杨柳	15-54861-S
垂楊柳 垂杨柳	15-54861-B
垂死	15-54919-S
垂死 垂死	15-54919-B
垂死挣扎	15-54958-S
垂死掙扎 垂死挣扎	15-54958-B
垂涎三尺 垂涎叁尺	15-55030-B
垂涎叁尺	15-55030-S
垂直	15-55148-S
垂直 垂直	15-55148-B
垂直和短距起落飛機 垂直和短距起落飞机	15-55205-B
垂直和短距起落飞机	15-55205-S
垂直搜索	15-55361-S
垂直搜索 垂直搜索	15-55361-B
垂直線 垂直线	15-55465-B
垂直线	15-55465-S
垂直起落飛機 垂直起落飞机	15-55525-B
垂直起落飞机	15-55525-S
垂釣 垂钓	15-55640-B
垂钓	15-55640-S
垂頭喪氣 垂头丧气	15-55683-B
垂體 垂体	15-55790-B
垃圾	15-55867-S
垃圾 垃圾	15-55867-B
垃圾堆	15-55904-S
垃圾堆 垃圾堆	15-55904-B
垃圾桶	15-55959-S
垃圾桶 垃圾桶	15-55959-B
垃圾电邮	15-56285-S
垃圾筒	15-56014-S
垃圾筒 垃圾筒	15-56014-B
垃圾箱	15-56068-S
垃圾箱 垃圾箱	15-56068-B
垃圾車 垃圾车	15-56124-B
垃圾车	15-56124-S
垃圾邮件	15-56199-S
垃圾郵件 垃圾邮件	15-56199-B
垃圾電郵 垃圾电邮	15-56285-B
垄	16-35480-S
垄断	16-35514-S
垄断贩卖	16-35583-S
垆	16-34356-S
型	15-56395-S
型 型	15-56395-B
型号	15-56580-S
型快閃記憶體 型快闪记忆体	15-56447-B
型快闪记忆体	15-56447-S
型状	15-56537-S
型狀 型状	15-56537-B
型號 型号	15-56580-B
垒	16-34196-S
垒固	16-34245-S
垒球	16-34285-S
垓	15-56627-S
垓 垓	15-56627-B
垔	15-56658-S
垔 垔	15-56658-B
垕	15-56741-S
垕 垕	15-56741-B
垗	15-56769-S
垗 垗	15-56769-B
垚	15-56802-S
垚 垚	15-56802-B
垛	15-56843-S,15-56883-S
垛 垛	15-56843-B,15-56883-B
垝	15-56910-S
垝 垝	15-56910-B
垞	15-56944-S
垞 垞	15-56944-B
垟	15-56977-S
垟 垟	15-56977-B
垠	15-57032-S
垠 垠	15-57032-B
垢	15-57059-S
垢 垢	15-57059-B
垣	15-57095-S
垣 垣	15-57095-B
垣曲	15-57123-S
垣曲 垣曲	15-57123-B
垤	15-57185-S
垤 垤	15-57185-B
垦	16-30729-S
垦利	16-30766-S
垦荒	16-30828-S
垩	16-6916-S
垫	16-23847-S
垫付	16-23886-S
垫圈	16-23936-S,16-23995-S
垫子	16-24047-S
垫平	16-24091-S
垫底儿	16-24146-S
垫支	16-24247-S
垫料	16-24311-S
垫款	16-24378-S
垫江	16-24432-S
垫片	16-24501-S
垫肩	16-24543-S
垫背	16-24591-S
垫脚	16-24712-S
垫脚石	16-24770-S
垫补	16-24915-S
垫被	16-24872-S
垫高	16-25016-S
垭	15-64228-S
垮	15-57221-S
垮 垮	15-57221-B
垮台	15-57309-S
垮塌	15-57252-S
垮塌 垮塌	15-57252-B
垮臺 垮台	15-57309-B
垲	16-15361-S
垿	15-57374-S
垿 垿	15-57374-B
埀	15-57488-S
埀 埀	15-57488-B
埂	15-57544-S
埂 埂	15-57544-B
埃	15-57590-S
埃 埃	15-57590-B
埃克托	15-57630-S
埃克托 埃克托	15-57630-B
埃博拉病毒	15-57686-S
埃博拉病毒 埃博拉病毒	15-57686-B
埃及	15-57761-S
埃及 埃及	15-57761-B
埃叙	15-58781-S
埃塔	15-57798-S
埃塔 埃塔	15-57798-B
埃塞俄比亚	15-57859-S
埃塞俄比亞 埃塞俄比亚	15-57859-B
埃夫伯里	15-57929-S
埃夫伯里 埃夫伯里	15-57929-B
埃奥罗斯	15-58019-S
埃奧羅斯 埃奥罗斯	15-58019-B
埃尔	15-59360-S
埃尔多安	15-59409-S
埃尔帕索	15-59506-S
埃尔朗根	15-59574-S
埃尔朗根纲领	15-59655-S
埃尔福特	15-59801-S
埃尔维斯・普雷斯利	15-59873-S
埃尔金	15-60001-S
埃尔金大理石	15-60055-S
埃居	15-58103-S
埃居 埃居	15-58103-B
埃布罗	15-58146-S
埃布罗河	15-58220-S
埃布羅 埃布罗	15-58146-B
埃布羅河 埃布罗河	15-58220-B
埃弗頓 埃弗顿	15-58304-B
埃弗顿	15-58304-S
埃德加	15-58402-S
埃德加 埃德加	15-58402-B
埃德加・愛倫・坡 埃德加・爱伦・坡	15-58457-B
埃德加・斯諾 埃德加・斯诺	15-58576-B
埃德加・斯诺	15-58576-S
埃德加・爱伦・坡	15-58457-S
埃德蒙頓 埃德蒙顿	15-58671-B
埃德蒙顿	15-58671-S
埃拉特	15-58734-S
埃拉特 埃拉特	15-58734-B
埃敘 埃叙	15-58781-B
埃斯库多	15-58824-S
埃斯库罗斯	15-58902-S
埃斯庫多 埃斯库多	15-58824-B
埃斯庫羅斯 埃斯库罗斯	15-58902-B
埃格尔松	15-58997-S
埃格爾松 埃格尔松	15-58997-B
埃森	15-59076-S
埃森 埃森	15-59076-B
埃森納赫 埃森纳赫	15-59114-B
埃森纳赫	15-59114-S
埃涅阿斯	15-59189-S
埃涅阿斯 埃涅阿斯	15-59189-B
埃涅阿斯紀 埃涅阿斯纪	15-59247-B
埃涅阿斯纪	15-59247-S
埃爾 埃尔	15-59360-B
埃爾多安 埃尔多安	15-59409-B
埃爾帕索 埃尔帕索	15-59506-B
埃爾朗根 埃尔朗根	15-59574-B
埃爾朗根綱領 埃尔朗根纲领	15-59655-B
埃爾福特 埃尔福特	15-59801-B
埃爾維斯・普雷斯利 埃尔维斯・普雷斯利	15-59873-B
埃爾金 埃尔金	15-60001-B
埃爾金大理石 埃尔金大理石	15-60055-B
埃特納火山 埃特纳火山	15-60146-B
埃特纳火山	15-60146-S
埃琳娜	15-60240-S
埃琳娜 埃琳娜	15-60240-B
埃米尔	15-60295-S
埃米爾 埃米尔	15-60295-B
埃菲尔铁塔	15-60341-S
埃菲爾鐵塔 埃菲尔铁塔	15-60341-B
埃裡溫 埃里温	15-60417-B
埃迪卡拉	15-60488-S
埃迪卡拉 埃迪卡拉	15-60488-B
埃里温	15-60417-S
