yīn sī tǎn	25-33076-S
yīng jí lì hǎi xiá	54-1782-B
yīng jí shā	54-1863-B
yīng jí zhuàng tài	25-59741-B
yīng jí zhào shè	25-59666-B
yīng jùn	54-1680-B
yīng jī	33-19992-S
yīng jī xìng	25-60102-B
yīng liàn	5-22489-S
yīng lián bāng	54-4325-B
yīng lián hé wáng guó	17-33389-S,54-4242-B
yīng lián jūn	31-11801-S
yīng lì	9-30867-S
yīng lǐ	54-4691-B
yīng lǔ sù dēng	46-10035-S
yīng míng	54-3621-B
yīng mǔ	54-4130-B
yīng niǎo	70-58394-B
yīng pài	71-1554-B
yīng rú	33-5566-S
yīng shì gǎn lǎn qiú	54-3330-B
yīng shí	11-48814-S,54-4168-B
yīng shí jiān	11-48873-S
yīng shòu	2-76432-S
yīng shān	54-3265-B
yīng shōu zhàng kuǎn	25-59894-B
yīng shǔ gē lún bǐ yà	54-3061-B
yīng shǔ wéi ěr jīng qún dǎo	54-3153-B
yīng sù	50-50256-B
yīng sù zhǒng zi	50-50295-B
yīng sū zǐ	18-55228-B
yīng tán	71-1597-B
yīng tán shì	71-1672-B
yīng táo	35-17649-B
yīng táo yuán	35-17690-B
yīng tè wǎng	54-4054-B
yīng tè ěr	54-4005-B
yīng wén	54-3568-B
yīng wén duì zhào	2-79777-S
yīng wǔ	27-10677-S,40-3572-S,55-47388-S,71-2437-B
yīng wǔ luó	71-2660-B
yīng wǔ rè	71-2578-B
yīng wǔ xué shé	71-2477-B
yīng xiàn	25-61076-B
yīng xióng	18-22261-S,19-13525-S,31-39692-S,40-48544-S,54-4815-B
yīng xióng jì niàn bēi	4-13039-S
yīng xióng shì	54-4856-B
yīng xióng suǒ jiàn lüè tóng	54-4910-B
yīng xióng zhuàn	7-22100-S,20-36367-S
yīng xiān bì	54-1550-B
yīng xiān zuò	54-1480-B
yīng xǔ	25-61254-B
yīng yì	54-4562-B
yīng yòu ér	18-62300-B
yīng yǒng	54-1723-B
yīng yǒu	25-59974-B
yīng yǒu jìn yǒu	25-60015-B
yīng yǔ	54-4423-B
yīng yǔ rè	54-4475-B
yīng zhuǎ fān zi quán	71-1758-B
yīng zhōng	46-9975-S
yīng zuò	17-55473-S
yīng zuǐ xīng yún	71-1466-B
yīng ér	18-62164-B
yō	13-41276-S,13-56440-B
yōng	2-70760-S,6-32300-B,6-52291-S,8-29314-S,14-23625-B,16-23809-B,16-31991-B,17-17052-S,22-40444-S,23-3359-B,23-16215-B,25-51782-B,29-17491-B,36-3332-S,40-17465-B,44-22452-B,49-18333-S,52-51939-B,56-2745-S,63-14672-B,63-20215-S,63-31740-B,64-10586-S,64-57194-B,66-15815-S,66-60715-S,66-61745-B,67-6918-B,69-20305-B
yōng bào	29-17705-B
yōng cái	23-3831-B
yōng dài	29-17649-B
yōng guān	21-18537-S
yōng hù	29-17852-B
yōng hù zhě	29-17907-B
yōng jǐ	29-17757-B
yōng lù	23-3876-B
yōng lù lù	23-3758-S
yōng lù wú néng	23-3934-B
yōng níng	63-14706-B
yōng rén	23-3398-B
yōng rén lǐng bān	6-32442-B
yōng rén zì rǎo	23-3448-B
yōng róng	66-61792-B
yōng róng dà dù	66-61855-B
yōng sè	29-17600-B
yōng sú	23-3568-B
yōng sú huà	23-3689-B
yōng sú zuò pǐn	23-3623-B
yōng sāi tōng zhī	9-19084-S,61-66444-S
yōng yí huàn	69-11675-S,69-11878-S
yōng yī	23-4014-B
yōng yōng lù lù	23-3758-B
yōng yǒu	29-17799-B
yōng zhēng	66-61919-B
yōng zhī bèi	22-40512-S
yōng zhǒng	52-51980-B
yōng ér shàng	1-9857-S
yōu	6-57087-B,7-33940-S,8-6370-S,8-52980-S,9-35627-S,12-53856-S,13-10499-B,13-33678-S,22-54963-B,24-3030-S,24-10756-S,25-7747-B,25-7961-S,25-49691-S,25-53727-B,29-22916-S,29-22974-S,29-43395-B,32-17116-S,32-17315-S,32-19322-S,35-16538-B,51-39026-B,54-56857-S,63-36022-B,66-48009-S,71-8855-B
yōu bì kǒng jù	22-55361-B
yōu bì kǒng jù zhèng	22-55430-B
yōu chóu	25-53910-B
yōu diǎn	6-58702-B
yōu děng	6-58305-B
yōu fú	22-55167-B
yōu guān	19-7317-S,24-61541-S,29-43479-B
yōu gē	6-58025-B
yōu gǔ	22-55317-B
yōu huà	6-57585-B,32-19371-S
yōu huàn	25-53850-B
yōu huì	6-57768-B
yōu huì dài kuǎn	6-57876-B
yōu huì quàn	6-57824-B
yōu hòu	6-57660-B
yōu jiǔ	25-7796-B,35-52380-S
yōu jìng	22-55081-B,22-55642-B
yōu liáng	6-58456-B
yōu líng	22-55583-B
yōu líng zài ōu zhōu yóu dàng	1-2375-S
yōu lǜ	25-53958-B,25-62785-B
yōu mò	22-55709-B
yōu mò gǎn	22-55756-B
yōu měi	6-58401-B
yōu shèng	6-57482-B
yōu shì	5-1535-S,6-57534-B
yōu shāng	25-53757-B
yōu shēn	22-55244-B
yōu shēng xué	6-58132-B
yōu tiān	33-10940-S
yōu wài huàn	7-28483-S
yōu wò	6-58064-B
yōu wú lǜ	40-52604-S
yōu xiàn	29-43425-B
yōu xiào yìng	58-9152-S
yōu xián	25-8164-B
yōu xiù	6-58250-B
yōu xiān	6-57128-B
yōu xiān chéng gòu quán	6-57171-B
yōu xiān gǔ	6-57321-B
yōu xiān rèn gǔ quán	6-57381-B
yōu yuè	6-58601-B
yōu yáng	25-8108-B
yōu yì	6-58187-B
yōu yù	6-58501-B,25-54058-B
yōu yù yào	27-4600-S
yōu yù zhèng	25-54107-B
yōu yú	6-57985-B
yōu yōu	25-7961-B,25-49691-S
yōu yǎ	6-58655-B,22-55512-B
yōu zhuó	25-54015-B
yōu zhì	6-58550-B
yōu zhōu	22-55006-B
yōu zāi yóu zāi	25-7846-B
yōu àn	22-55129-B
yū	27-39569-S,30-64836-B,38-43987-B,44-16456-B,46-54454-S,48-23253-B,49-14198-B,54-38065-B,61-43065-B
yū fū zǐ	61-43389-B
yū fǔ	61-43839-B
yū guàn	38-44221-B
yū huí	61-43169-B
yū huí bēn xí	61-43243-B
yū huǎn	61-43769-B
yū jiàn	61-43889-B
yū jiǎn suān	54-38284-B
yū jī	38-44291-B
yū jū	61-43447-B
yū kuò	61-44182-B
yū lùn	61-44049-B
yū mó	61-43720-B
yū nè	61-43967-B
yū ní	38-44112-B
yū qì	61-43618-B
yū qīng	44-16810-B
yū qū	61-43556-B
yū rú	61-43101-B
yū shāng	44-16569-B
yū sè	38-44054-B
yū xuè	44-16700-B
yū xuè bān	38-44348-B
yū yuǎn	61-44137-B
yū zhuō	61-43504-B
yū zhì	38-44160-B,44-16612-B,61-43658-B
yū zhí	61-43335-B
yūn	18-17820-B,31-58148-B,36-37740-B,45-46399-S,50-25553-B,56-25196-S,60-2582-B,68-37562-S,68-37759-S,68-38341-S
yūn dǎo	31-58288-B
yūn jué	31-58373-B
yūn tóu	31-58808-B
yūn tóu zhuàn xiàng	31-58847-B
yūn xuàn	31-58604-B
yǎ	6-58655-S,8-6053-S,8-29788-S,11-10486-S,13-64168-B,14-9735-S,14-32946-S,17-39509-S,20-11090-S,21-1797-S,21-14585-S,22-55512-S,30-31452-S,30-58049-S,32-5516-S,37-14854-S,37-17787-S,37-62219-S,39-23199-S,40-40169-S,40-40282-S,41-43419-S,45-23708-S,48-49045-S,51-40624-S,54-10110-S,57-568-S,65-45891-S,66-54229-B,69-43967-S,70-23628-S
yǎ ba	13-64250-B
yǎ bīn sī kè	60-60401-S
yǎ diǎn	66-54399-B
yǎ diǎn nà	66-54459-B
yǎ diǎn wèi chéng	66-54509-B
yǎ dé	9-8114-S
yǎ dān dì mào	66-54258-B
yǎ fǎ	66-55626-B
yǎ fǎ gǎng	66-55678-B
yǎ guān	2-36099-S
yǎ gè	66-54639-B
yǎ gè bó	66-54683-B
yǎ gè shū	66-54749-B
yǎ gé	66-56125-B
yǎ gē	66-55410-B
yǎ gǔ	13-64427-B
yǎ hé	21-14621-S
yǎ hǔ	66-56021-B
yǎ jiā dá	66-54589-B
yǎ jiāng	66-55561-B
yǎ jù	13-64199-B
yǎ kè	66-54353-B
yǎ luó yú	66-55920-B
yǎ líng	13-64376-B
yǎ lóng jiāng	66-55861-B
yǎ lǔ zàng bù dà xiá gǔ	66-56196-B
yǎ lǔ zàng bù jiāng	66-56357-B
yǎ míng	42-48359-S
yǎ měi zú	66-55967-B
yǎ nuò shí	66-56058-B
yǎ nà	45-13184-S
yǎ qū	53-64319-S
yǎ rén	43-1882-S,52-2408-S
yǎ shì zhèng	7-19803-S,59-10824-S
yǎ shān	14-9800-S
yǎ shān mài	14-9873-S
yǎ shēng	14-33013-S
yǎ shū	57-20894-S
yǎ sī	66-55112-B
yǎ sū tái	40-38696-S
yǎ tú	57-23883-S
yǎ wéi kè	67-22233-S
yǎ wēi	66-54830-B
yǎ wēn dé	66-55736-B
yǎ xiāng	17-39606-S
yǎ yuè	66-55268-B
yǎ zhī táng	2-19765-S
yǎ zú	37-48860-S,37-62282-S,57-17540-S
yǎ ān	66-54869-B
yǎ ān dì qū	66-54939-B
yǎ ān shì	66-55031-B
yǎ ēn dé	66-55197-B
yǎ ěr tǎ	66-55814-B
yǎn	1-11646-S,1-11876-S,1-53665-S,2-32250-S,2-45780-S,3-6677-S,6-5177-B,6-12224-S,6-45782-S,6-60216-B,7-22979-B,7-61418-S,8-22458-S,9-29563-B,10-7295-S,10-38846-S,10-40116-B,10-50363-S,11-37303-B,11-51270-S,12-35457-S,14-19854-S,14-34495-B,16-41764-S,17-3431-S,17-49913-S,18-0-B,19-5874-S,19-59513-S,20-53569-S,20-59121-S,21-49914-B,23-24589-B,24-35993-S,24-59507-S,25-16644-B,26-16571-B,26-31348-B,26-54741-S,28-31517-S,28-32094-S,28-33225-B,28-47146-B,29-21742-S,29-25394-S,29-58738-S,30-18562-S,30-18740-S,30-33968-S,32-32825-S,33-30805-S,34-23528-B,34-31245-S,34-40471-S,37-3770-S,37-4545-B,37-9394-S,37-17269-S,39-6611-B,39-40299-S,39-45300-B,40-7232-S,41-8979-S,42-58564-B,43-13108-B,44-42975-S,45-22933-S,45-37795-S,45-46159-S,45-47686-B,45-54520-S,45-58745-S,46-43152-S,47-1075-S,50-6407-S,50-38303-S,50-48972-S,50-51348-B,51-13460-S,51-20352-S,51-24413-S,51-60827-S,52-6247-S,54-55087-S,55-13992-S,56-7241-B,56-35596-B,56-45281-S,57-6080-S,57-40237-S,58-54821-S,59-54339-S,60-12749-S,61-181-S,61-14698-S,61-26020-S,62-66787-S,63-28118-B,63-61891-S,64-19595-S,64-37950-S,65-10348-S,65-21023-S,65-26124-S,65-38634-S,65-39891-S,66-40038-B,66-42134-S,66-52440-S,67-7839-S,67-30034-S,67-43960-S,67-53850-S,67-56769-S,68-26235-S,68-29595-S,68-35284-S,68-51650-S,69-9296-S,69-22882-S,69-31111-B,70-36549-B,70-45689-B,71-46181-B,71-50781-B,71-61260-S,71-63422-B
yǎn 5r	20-64100-S,21-17770-S,35-57409-S,50-49095-S
yǎn biàn	39-47005-B,56-36147-B
yǎn bái	45-50275-B
yǎn bì	23-68264-S
yǎn bù jiàn wéi jìng	45-47760-B
yǎn bā bā	45-48880-B
yǎn bō	39-46055-B,45-49679-B
yǎn bō shì	39-46138-B
yǎn bǐng	45-49507-B
yǎn chuān cháng duàn	45-51055-B
yǎn chà	45-48823-B
yǎn chàng	39-45624-B
yǎn chàng huì	39-45700-B
yǎn chán	45-52440-B
yǎn chéng	63-28151-B
yǎn chéng chuān	45-49182-B
yǎn chóng	45-51798-B
yǎn chī	45-50566-B
yǎn chū	21-51148-S,39-45381-B
yǎn cáng	28-33740-B
yǎn diàn tú	45-52293-B
yǎn diǎn	45-52675-B,54-55186-S
yǎn duō	24-36346-S
yǎn dà	24-36427-S
yǎn dài	45-51872-B
yǎn dòng	45-48467-B
yǎn dòng jì lù	45-48592-B
yǎn dòng jì shù	45-48514-B
yǎn dǐ	45-48950-B
yǎn dǐ xia	45-49024-B
yǎn er	24-36222-S
yǎn fáng	45-49273-B
yǎn fáng shuǐ	45-49347-B
yǎn fú	45-50905-B
yǎn fēng	45-52361-B
yǎn fū	17-41123-S
yǎn guò láo	45-52119-B
yǎn guān chá	52-6304-S
yǎn guāng	45-48142-B
yǎn guāng duǎn	45-48184-B
yǎn gài	28-33669-B
yǎn gé	45-49571-B
yǎn gāo shǒu dī	45-52491-B
yǎn huà	39-45520-B
yǎn huā	68-37983-S
yǎn huā liáo luàn	45-51618-B
yǎn hóng	45-51244-B
yǎn hù	28-33799-B
yǎn hǎo	24-36561-S
yǎn jing	45-50667-B
yǎn jiàn	45-51918-B
yǎn jiè	45-50232-B,65-39967-S
yǎn jiān	45-48722-B
yǎn jiǎn	1-54446-S,1-61951-S,45-50786-B
yǎn jiǎng	21-10621-S,39-46945-B,44-33825-S
yǎn jiǎo mó	45-51963-B
yǎn jì	39-45998-B
yǎn jìn	39-47060-B
yǎn jìng	17-61695-S,26-23583-S,45-52174-B,66-47454-S
yǎn jìng shé	45-52242-B
yǎn jí shì	61-26099-S
yǎn jù	39-45470-B
yǎn jīng	29-25932-S,45-46221-S
yǎn jīng zhuō má què	65-27791-S
yǎn kuàng	45-50617-B
yǎn kàn	45-50516-B
yǎn kē xué	45-50998-B
yǎn liàn	33-59052-S,39-46396-B
yǎn lián	45-51180-B
yǎn liǎo shì	30-18920-S
yǎn lán	70-52547-S
yǎn lèi	45-49724-B
yǎn lì	45-48366-B
yǎn lùn	17-49991-S
yǎn lǐ chū xī shī	25-12113-S
yǎn mào jīn xīng	45-48245-B
yǎn mái	28-33416-B
yǎn mù	45-50479-B
yǎn nǎ	50-58338-S
yǎn páng guān	8-22548-S
yǎn pí	45-50325-B,63-63146-S,66-67783-S
yǎn pí 5r	63-63270-S
yǎn pí zi	45-50364-B
yǎn pí zi qiǎn	45-50412-B
yǎn qián	15-36089-S,45-48320-B
yǎn qiú	45-50129-B
yǎn qí xī gǔ	6-5300-B
yǎn qù	45-35301-S
yǎn rán	6-60257-B
yǎn rè	45-49837-B
yǎn rén ěr mù	28-33271-B
yǎn shuō	39-46832-B
yǎn shuō zhě	39-46885-B
yǎn shè	56-35666-B
yǎn shèng gōng	56-35927-B
yǎn shèng gōng fǔ	56-36026-B
yǎn shén	45-50827-B
yǎn shì	28-33851-B,39-46269-B
yǎn shí	45-49407-B
yǎn shú	45-49770-B
yǎn shāo	45-49619-B
yǎn shēng	45-50170-B,56-35711-B
yǎn shēng gōng jù	64-15251-S
yǎn shēng wù	56-35814-B
yǎn shī	6-5246-B
yǎn shǐ	45-48774-B
yǎn shǔ	71-50808-B
yǎn suàn	39-46325-B
yǎn sè	45-51442-B
yǎn sè sù céng hēi sè sù liú	45-51507-B
yǎn sè zé	30-19021-S
yǎn tiào	45-52014-B
yǎn tiào dòng	45-52065-B
yǎn tǐ	28-33917-B
yǎn wō	45-51137-B
yǎn wǔ	39-46201-B
yǎn xià	45-47712-B
yǎn xiàn	45-51338-B
yǎn xiào	45-36667-S
yǎn xiāng kàn	12-7042-S
yǎn xiǎo	24-36648-S
yǎn xì	39-45913-B
yǎn xí	39-46652-B,60-63272-S
yǎn yuán	18-21235-S,32-18492-S,39-45563-B,43-67686-S,67-30105-S
yǎn yào	45-51686-B
yǎn yào shuǐ	45-51742-B
yǎn yì	1-33134-S,20-33982-S,35-52701-S,36-19893-S,39-46445-B,39-46555-B,39-46726-B,66-38905-S
yǎn yì fǎ	39-46495-B
yǎn yì quān	39-46774-B
yǎn yóu xì	57-45783-S
yǎn yùn	45-49460-B
yǎn yā	45-48669-B
yǎn yūn	68-37759-S
yǎn yǐng	45-49126-B
yǎn zhào	45-51388-B
yǎn zhèng	22-36960-S
yǎn zhēng zhēng	45-50704-B
yǎn zhě	11-68209-S
yǎn zhōng	45-47904-B
yǎn zhōng cì	45-47953-B
yǎn zhōng dīng	45-48047-B
yǎn zhōu	7-22914-B
yǎn zhū	44-43026-S,45-49886-B
yǎn zhū 5r	44-43087-S,45-49927-B
yǎn zhū zi	45-50028-B
yǎn zhǒng	71-52242-S
yǎn zòu	39-45771-B
yǎn zòu zhě	39-45850-B
yǎn àn	68-37864-S
yǎn ěr	28-33457-B
yǎn ěr dào líng	28-33509-B
yǎng	2-19663-S,4-39637-B,4-56651-S,5-23637-S,5-41679-S,5-42850-S,5-49996-S,6-65293-S,10-5072-S,11-36581-S,13-48566-S,15-66439-S,18-5207-S,18-28871-S,19-64898-S,26-56571-S,27-14263-S,28-53601-S,28-53643-S,29-14717-S,29-43254-S,29-53419-S,30-5577-S,30-11029-S,36-3540-S,36-32100-B,36-34216-S,38-38683-S,39-27787-S,40-55802-S,41-32473-S,41-52633-S,43-30742-S,44-13534-B,44-20293-S,44-21706-B,44-32009-S,45-52925-S,45-60365-S,49-32784-S,50-49223-S,52-32900-S,53-15920-S,53-16961-S,55-4753-S,56-8287-S,56-60200-S,58-40257-S,60-4054-S,64-3272-S,68-6565-B,68-35471-S,69-6718-S,69-7029-S,69-10328-B,69-18699-S,69-45904-S
yǎng bìng	69-11569-B
yǎng bó zàng	11-29964-S
yǎng bù liáng	41-32530-S
yǎng bā	17-24300-S
yǎng bīng	69-10572-B
yǎng chéng	69-10956-B
yǎng chéng rén	29-14781-S
yǎng chǎng	69-7079-S
yǎng cán yè	69-12890-B
yǎng céng	39-27828-S,53-17007-S
yǎng dì	69-10666-B
yǎng fèi	60-4126-S
yǎng fèn	69-10623-B
yǎng fù	69-11350-B
yǎng fēng	69-12832-B
yǎng guāng	4-39684-B
yǎng guāng dà jīn tǎ	4-39737-B
yǎng gē	36-32208-B
yǎng gēn	36-34771-S
yǎng gēn lí zǐ	36-34841-S
yǎng huo	69-11213-B
yǎng huà	36-32273-B,36-34286-S
yǎng huà dàn	1-13458-S,3-37658-S
yǎng huà guàn	36-32433-B
yǎng huà guī	3-37792-S
yǎng huà gài	36-32518-B,36-34524-S
yǎng huà gǒng	49-12541-S
yǎng huà jiǎ	36-34619-S
yǎng huà jì	27-5759-S,36-32315-B
yǎng huà liú	3-37870-S
yǎng huà lǚ	36-32636-B,36-34696-S
yǎng huà měi	36-32751-B
yǎng huà měng	3-38296-S
yǎng huà nà	36-34433-S
yǎng huà tài	3-38139-S
yǎng huà tàn	1-13526-S,3-37944-S
yǎng huà tàn gé lí	3-38014-S
yǎng huà wù	3-37730-S,36-32383-B,36-34367-S,36-35312-S,62-46497-S
yǎng huà wù méi	70-5195-S
yǎng huà xīn	36-32695-B
yǎng huà yóu	3-38211-S,36-32577-B
yǎng huà èr dàn	1-13362-S
yǎng huà èr fán	3-51330-S
yǎng huì	68-13305-S
yǎng huā	69-12505-B
yǎng hàn	69-11278-B
yǎng hán liàng	56-26118-S
yǎng hé gān suān	52-33096-S
yǎng hé táng	52-32946-S
yǎng hé táng hé suān	11-38190-S,52-33014-S
yǎng hòu hé	9-18085-S
yǎng hòu zàng	55-20465-S
yǎng hǔ shāng shēn	69-12555-B
yǎng hǔ yí huàn	69-12695-B
yǎng jià zhí	41-32647-S
yǎng jiā	69-10809-B
yǎng jiā hú kǒu	69-10881-B
yǎng jiān	18-40181-S
yǎng jī	15-66528-S
yǎng jī chǎng	69-12948-B
yǎng jīng xù ruì	69-12081-B
yǎng liàng	10-23343-S
yǎng liào	69-11033-B
yǎng lài	4-40539-B
yǎng lí zǐ	36-34925-S
yǎng lín	1-37089-S
yǎng lǎo	69-12215-B
yǎng lǎo bǎo xiǎn	69-12273-B
yǎng lǎo jīn	69-12348-B
yǎng lǎo yuàn	69-12401-B
yǎng mù	4-40313-B
yǎng mǐn	15-66666-S
yǎng mǔ	69-11173-B
yǎng nǚ	69-10759-B
yǎng pǐn	41-32722-S
yǎng quē chuī guǎn	36-32919-B
yǎng qì	36-32873-B,49-32852-S
yǎng qǐ	3-38372-S
yǎng rán liào	38-54033-S
yǎng shuǐ	66-66756-S
yǎng sháo	4-40584-B
yǎng sháo wén huà	4-40687-B
yǎng shù zhī	43-5994-S
yǎng shēng	69-11390-B
yǎng shēng fǎ	69-11509-B
yǎng shēng xī	4-56724-S
yǎng tiān	4-39837-B
yǎng tuō táng hé suān	52-33202-S
yǎng wàng	4-40356-B
yǎng wò qǐ zuò	4-40458-B
yǎng wù méi tǐ	62-46561-S
yǎng wū	4-39910-B
yǎng wū xīng tàn	4-39986-B
yǎng wū zhù shū	4-40149-B
yǎng xiào yìng	36-32812-B
yǎng xué	41-32780-S
yǎng xìng	5-47670-S
yǎng xī lín	43-40606-S
yǎng xī lín jīn pú jūn	27-6920-S
yǎng yang	44-13575-B
yǎng yè	15-66587-S
yǎng yù	69-12460-B
yǎng yú chí	69-13007-B
yǎng yú gāng	69-13060-B
yǎng yōng yí huàn	69-11675-B,69-11878-B
yǎng yǐ quē jù	36-32132-B
yǎng yǐ wán	43-5923-S
yǎng yǒng	4-40412-B
yǎng zhèng	50-49282-S
yǎng zhí	69-11090-B
yǎng zhě	5-42907-S,29-45696-S,69-7147-S
yǎng zá qǐ	3-38422-S
yǎng ér fáng lǎo	69-10433-B
yǎng ōu	23-57995-S
yǎo	13-28629-B,33-26561-B,35-60116-B,45-40089-B,47-54496-B,47-54568-B,47-54931-B,53-21323-B,61-9878-S,69-53307-B,70-37347-S,71-192-B,71-56384-S
yǎo jiáo	13-28881-B
yǎo jǐn yá guān	13-29180-B
yǎo rén gǒu 5r bù lù chǐ	13-28660-B
yǎo shuǐ	53-21354-B
yǎo shí nián pà jǐng shéng	1-8019-S
yǎo wén jiáo zì	13-28961-B
yǎo wú rén yān	33-26608-B
yǎo yá	13-29102-B
yǎo yī kǒu	11-45562-S
yǐ	1-69262-S,1-75472-S,2-6989-S,2-8746-S,3-15093-B,3-28724-S,4-30250-S,4-35588-B,5-2269-S,5-63231-B,5-63856-S,6-19454-B,8-2567-S,9-51084-S,12-11107-S,13-19952-S,15-51364-S,16-8728-S,22-2077-B,22-64450-S,23-48108-S,24-6618-S,25-55055-S,26-27629-S,26-30953-B,26-55871-S,27-9619-S,29-4397-S,31-2437-B,31-13560-S,34-24915-B,34-32498-S,43-34103-S,43-39169-S,44-45885-S,45-63015-B,49-49250-S,50-48138-S,51-35207-S,53-39716-B,53-65913-B,54-42826-S,56-12026-B,56-12262-S,56-15405-S,56-19755-B,57-45188-S,58-18644-S,58-33549-S,60-32193-S,60-58120-S,61-8801-S,61-16167-S,61-25038-S,61-31475-B,61-49927-B,61-51811-S,64-18142-B,66-21486-S,67-11273-S,68-523-S,68-45071-B,69-60195-S,70-51314-B,71-56525-B
yǐ biàn	4-35965-B
yǐ bǎi jì	30-19938-S
yǐ cháng	16-52920-S
yǐ chéng sú	51-17687-S
yǐ chéng xìng	51-17791-S
yǐ chéng xíng	22-2212-B
yǐ chún	3-17043-B
yǐ chún suān	3-17114-B
yǐ chǐ gōng	12-32666-S
yǐ chǒu	3-15219-B
