gibbs free energy	53-11296-B
give shade of a tree etc	22-58518-S
give some of your valuable attention to my task	8-56820-S
give sth and get sth in return	28-46041-B
give sth in return	14-55832-S
give support to	28-54024-S
give thanks	46-55009-S,53-19910-S
give the alarm	16-12225-S
give the correct time	16-10969-B
give the game away	67-46603-S,67-48446-S
give the same story	20-47690-S
give them a rich funeral	55-20465-S
give to	43-47251-B
give to an inferior	59-57066-S
give to higher authority	1-45851-S
give to poorer relative	13-13292-S,59-56571-S
give to sb else	61-21012-S
give to the departed	61-60180-S
give to the needy	59-56256-S,59-56398-S
give to the poor	64-36020-S,66-22240-S
give unnecessary details	60-2445-S
give up	2-16430-S,18-40821-B,26-14346-S,27-70995-B,28-6535-B,28-6935-S,29-7006-S,29-52137-S,31-40189-S,35-57269-S,37-60178-S,41-63235-S,50-54410-S,50-54719-B
give up a bad habit	26-14136-S
give up and stop bothering	53-6985-S
give up drinking	26-14267-S
give up drug	9-67380-S,26-13991-S
give up evil and return to good	29-46523-S
give up evil and return to virtue	34-18667-S
give up evil temporarily	30-24969-S
give up evil ways and return to virtue	1-49098-S
give up halfway	10-60913-B
give up hope	17-50257-S
give up life for righteousness 成语 saw	28-6998-S
give up one s seat	59-13817-S
give up one s seat for sb	59-13886-S
give up smoking	26-14084-S
give vent	26-67505-S
give vent to anger	8-40330-S,37-59628-S,37-59937-S,37-59991-S,37-60046-S,44-30671-S
give voice	8-44089-S
give way in an argument	1-64728-S
give way in the face of superior strength	61-62965-S
given	1-6575-B,11-60273-B,49-49293-B
given 	6-5916-B
given after death of emperor	23-7306-S
given as a token	56-46364-S
given birth twice	3-39255-S
given by the bride s family to the groom	18-57752-S
given circumstances	35-3044-S
given free as courtesy	60-2946-B
given leave to sue	61-59708-B
given name	2-42782-B,2-83692-S
given name of mencius	61-5763-B
given name of qing emperor xianfeng 咸豐 咸丰	18-8061-B
given names	38-41347-S,42-1383-S,47-6286-S,64-58763-S
given number	6-65002-S
given on a happy occasion esp wedding	14-8955-S
given outstanding service	9-50354-S
given price at auction	27-29187-S
given rhyme	68-18068-S
given side	57-30229-S
given to children as new year present	16-33225-S
given to lust	18-29386-B
given to lust for women	59-39608-B
given to reward loyal general or vassal of new dynasty or state	65-31873-S
given tune	16-22204-S
given wings	28-43836-S
given year	22-47342-B
giver	60-2736-B
gives of their best	4-14809-S,4-14927-S
gives one authority over the whole country	18-49081-S
gives red dye	68-11120-S
gives their own view	12-29502-S
gives thought to others	54-54120-S
giving	22-15789-S,25-52958-B
giving access to benefits e g a diploma as a pass to a career	62-12819-S
giving advice	58-40537-S
giving bearer plenipotentiary powers	1-49910-S,21-7081-S
giving details	58-26240-S
giving oneself airs	53-13585-B
giving succor to the enemy	9-61525-B
giving up	36-43354-S,39-33050-S,39-33298-S,46-17444-S
gizzard	52-12904-B,52-19671-B
gjøvik city in oppland	49-6397-B
glabella	45-36757-B
glabra	55-9329-S
glacial	8-18477-B
glacial acetic acid	8-19869-B
glacial epoch	8-18028-B
glacial sediment	8-19326-B
glaciated	8-19769-B
glacier	8-17679-B,8-19260-S
glad	14-6828-B,70-21176-B
glad and diligent	68-46983-B
glad eye	31-63228-S
glad tidings	14-9327-B
glad to be back in one s proper surroundings	18-32123-B
glade	37-25450-B
gladiator	57-46723-B
gladly endure hardships for a noble cause	43-13312-B
gladly humble expr 	51-57365-S
gladness	35-31997-B
glamor	53-46279-B,70-33753-B
glamor model in bikini	60-1079-S
glamorous	48-1289-S,53-46154-B,59-22499-B,68-51650-B
glanca	35-17073-S
glance	1-15570-B,26-4249-S,30-36648-S,45-17560-S,45-49679-S,45-52361-S,45-54258-S,45-59104-S,45-59248-B,45-60127-B,45-62208-B,59-54339-S,61-26020-S,65-57695-S
glance at	45-57335-S
glance back	11-56330-S,14-56940-S
glance back 成语 saw	51-13678-S
glance fearfully	45-61952-S
glance in passing	60-15016-S
glance strike at an angle	28-20564-S
glance through	38-35549-S
glance through and check	51-21683-S
glance 成语 saw	1-15116-S,32-46433-S
glances at	45-36367-S
glances with sb	45-16891-S,45-35301-S
glancing knock	30-67114-B
glancing to left and right 成语 saw	21-59763-B
gland	1-64514-S,1-64514-S,3-23333-S,7-26547-S,13-56983-S,16-44592-S,24-63110-S,36-7972-S,36-56875-S,38-40965-S,38-41035-S,38-42989-S,43-21960-S,43-40809-S,43-40991-S,44-66062-S,52-41856-S,52-45465-B,52-45694-S,53-29485-S,69-29742-S,69-29742-S,71-6201-S
gland in cheek	52-41856-S
gland produces female sex hormone in bees	33-9374-S,33-9469-S
gland producing external secretion e g saliva	16-44592-B
gland producing internal secretion	7-26547-B
gland under tongue	53-29485-S
glandarius	33-29124-S
glanders	71-51820-B
glands	9-33528-S,22-36960-S,38-29483-S,44-19584-S,44-66062-S,52-36674-S
glands at the base of the skull	15-55790-S,52-39165-S
glands in female mammals producing progesterone	71-25014-S
glandulifera	33-40337-S,34-31819-S
glans	71-63752-B
glare	23-42694-B,40-29597-S,41-8979-B
glare at	24-53521-S,45-32645-B
glare of lights	45-46479-B
glaring eyes	24-53379-S
glasgow	33-65919-B
glass	2-22102-S,27-34205-S,29-49226-S,33-13274-S,33-13388-B,42-41680-B,42-41979-B,43-3165-B,46-40175-S,64-40116-S,64-49392-S
glass cover of oil lamp	41-25659-B
glass fiber	42-42192-B
glass fragment	46-32965-B
glass household vessel	30-34774-S
glass reinforced plastic	42-42269-B
glass tube	42-42139-B
glass tumbler	42-42084-B
glasses	26-23202-S,26-23583-S
glasses together	20-51330-S
glassware	30-34774-B,41-26595-S
glauca	35-10774-S,35-11154-S
glaucoma	67-53850-B
glaxosmithkline	54-57537-B
glaze	43-3165-S
glaze of porcelain	63-52456-B
glaze on china	37-29033-S
glazed tile	43-12954-B,46-29749-B
glazed tile pagoda	42-57650-B
glazed tile used on roof of palaces	42-57580-B
glazed tower of minaret	42-57650-B
glaziers	37-42816-S
gleam	1-18123-B
gleam of light	4-4227-B
glean	27-54179-S
gleanings used as gossip	27-54589-B
gleditsia sinensis	34-12897-S,44-58696-S,44-58771-S
glee	35-31997-B
glen	42-9256-B
glial cell	46-60539-B
glial cell provide support to neuron	46-60618-B
glib	37-22161-B
glib repartee	70-28718-B,70-28797-B
glide fly	39-29236-S
glider	39-29343-B
glimmer	24-17872-B,41-13254-B
glimmer of light	45-61721-S
glimmering	41-13254-B
glimpse	1-15570-B
glimpse of something hidden	66-48482-B
glimpse that reveals the whole	18-49633-S
glint	65-25373-S,65-26266-B
glissando	39-30093-B
glisten	65-24589-S
glistening	65-26656-B
glistening plumage of birds	51-19864-B
glistening teardrops	38-42792-B
glistening yellow	71-21269-B
glitter	4-4436-B,41-33012-S,64-26571-S
glitter of gems	42-58564-B
glitter of light	65-25373-B
glittering	45-54258-B,65-26656-B
glittering jewels	42-58865-B
glittering jewels to delight the eye 成语 saw	42-58917-B
glittering light	31-55771-B
glittering screen refers to television	41-13556-S
gln	59-15608-S
global	7-36312-B,7-38792-B,7-39016-B,30-16999-B,62-11735-B
global climate	7-39211-B
global context	7-36364-B
global development an environmental think tank	7-39469-S
global economy	2-40713-B
global navigation satellite system	33-67448-S
global navigation satellite system glonass	7-39609-S
global positioning system gps	7-38905-B,43-6504-B,56-37661-B
global restaurants incl pizza hut and kfc	44-51731-S,44-51840-S
global trade	2-41450-B
global warming	2-41378-B,7-39281-B,7-39375-B
global warming prc usage	7-39804-B
global warming taiwan and hong kong usage	7-39069-B
globalization	7-38846-B
globalize	60-39169-B
globalnaya navigatsionaya satelinaya sistema or global navigation satellite system glonass	7-39609-B
globalnaya navigatsionaya satelitnaya sistema or global navigation satellite system	33-67448-S
globe	15-24501-B,15-42856-B,42-52196-B
globe award	64-12923-S
globular protein	42-52248-B
globulin	42-52685-B,43-39938-S
globulus	34-4720-S
glonass	7-39609-S
glonass globalnaya navigatsionaya satelitnaya sistema or global navigation satellite system	33-67448-B
gloom	16-14332-B,22-55129-B
gloom of the grave	47-44442-S
gloomy	4-68278-B,25-47649-B,26-67041-B,31-46582-S,31-60422-B,31-61759-B,40-26040-B,66-24709-B,66-26162-B,70-30501-B
gloomy and cold	66-23715-B
gloomy forest	71-30815-S
gloria section of catholic mass	34-41435-B
glorify	9-56647-B
glorious	13-30711-B,16-37632-B,31-38633-B,32-2393-B,34-41757-B,41-33-B,41-4547-B,41-23468-B,41-32943-B,41-34140-B,51-24327-B,61-13879-B,61-14059-B
glorious achievement 成语 saw	59-19624-B
glorious chinese past	10-4717-S
glorious deed	9-49355-B
glorious splendor 成语 saw	64-13284-S
glory	5-64058-S,7-10273-S,7-13250-B,9-48159-B,12-54992-S,14-4431-S,16-26315-S,18-45581-S,20-43546-S,33-51993-B,34-40777-B,34-40870-B,34-41800-B,34-41899-S,35-61223-S,36-49842-S,37-25839-S,41-64174-S,41-64358-S,47-46922-S
glory and splendor	34-41846-B
gloss over	28-33851-S,30-31813-S
glossaries and commentaries on classic texts	57-64837-S
glossary	19-4940-B,60-43956-S
glossy	7-10798-B,39-29018-B
glossy black	37-23999-B
glossy of silk	49-19916-B
glottal stop	14-4916-B
glove	26-32234-B,50-13327-S,61-3379-S
glove puppetry	22-17450-B
glove with sb to nefarious ends	42-10744-S
gloves	65-61341-S
glow	31-45609-S,41-1718-B,41-17168-S,41-23256-B
glow stick	41-13464-B
glow worm	56-12562-B,56-22465-B
glowering	24-53379-B
glowing spirits 成语 saw	46-61946-S
glowing with health and vigor	46-62079-B,48-56025-B
glowstick	41-13464-B
glowworm	56-12742-B
gloydius shedaoensis	55-59876-S,71-31824-S
glu	47-36813-S
glucocorticosteroid corticosteroid hormone secreted by the adrenal cortex	48-61196-B
glucosamine	36-33418-B,54-57772-B
glucosamine c6h13no5	36-33509-B,54-58746-B
glucose c6h12o6	54-57703-B,54-58687-B
glucose injection that caused medical scandal	35-22291-S
glucoside	36-37582-S,43-15498-B,48-61381-B
glue	27-51903-S,48-59703-B,52-47825-B,52-48939-B,52-49394-S,70-47081-S,71-27496-B
glue of lovers	18-31353-S
glue or ointment to a surface	30-19248-S
glue used in traditional chinese medicine	66-11455-S
glued joint	52-48832-S
glued 成语 saw	5-50462-S
gluon elementary particle	52-48464-B
glutamate msg	13-15687-S
glutamic acid glu	47-36813-B
glutamine gln	59-15608-B
glutinosa	15-46799-S,31-52174-S
glutinous	71-27496-B,71-28178-B
glutinous millet	71-26485-B
glutinous rice	49-862-S,71-28118-B
glutton	51-31616-B,59-38818-B,59-39997-B,69-20480-B
gluttonous	14-43505-B,69-18493-B,69-20363-B,69-20871-B
gluttonously	52-20869-S
gluttony	59-38776-B
gluttony 成语 saw	42-5473-S
gly	43-14405-S
glycerin used in antifreeze	3-39163-B
glycerine	2-43558-B,43-14531-B
glycine gly	43-14405-B
glycogen	48-60861-B
glycol	1-24533-S,2-43629-S,3-15288-B,3-39163-S,3-43318-B,43-39256-S
glycol c2h4 oh 2 antifreeze	3-15288-S
glycolic acid c2h4o3	3-17114-B
glycolipid	48-61531-B
glycoprotein	48-61425-B
glycoside	54-5266-B
glyph	19-4615-B
glyph the shape of a character or symbol in a particular typeface	19-5113-B
gm	68-63808-S
gms	17-25713-S,17-25828-S
gmt	33-66764-B,33-67124-S
gnash one s teeth in anger	8-63761-S,24-53438-S
gnaw	13-21378-B,13-27859-B,13-29102-B,13-57329-B,13-57398-S,14-31660-S,14-40428-B,14-45178-B,71-55592-B,71-56286-B,71-56345-B,71-56384-B
gnawing regret	27-13065-S
gneiss	21-35995-B
gnosticism	12-15410-B
go	1-399-S,1-18851-S,4-35506-S,4-43038-S,5-17800-S,8-35452-S,8-35452-S,9-9255-S,9-19956-S,11-37465-S,13-44550-S,14-12039-S,15-22077-S,16-50977-S,19-44987-S,20-49554-S,21-26320-S,23-64862-S,26-63885-S,29-6068-S,29-48426-S,29-48528-S,29-51844-S,29-52883-S,30-59124-S,33-54403-S,40-62269-S,43-50049-S,46-27126-S,47-812-S,50-54410-S,56-30633-S,60-9375-S,60-15262-S,60-15313-S,60-53587-S,62-45148-S,63-53080-S,69-54700-B
go about	61-34549-S
go about with one s nose in the air	45-16023-S
go abroad	8-37398-S,11-37907-S,68-60959-S
go abroad as ambassador	8-35035-S
go again	11-41630-S
go against	26-25938-B,55-36085-S,61-65778-S,62-55617-S,62-55942-S,62-58609-S,68-19696-B
go against one way traffic regulation	61-68100-S
go against orders	62-55687-S
go against the tide 成语 saw	5-60574-S,61-68194-S
go against the trend	61-67581-S
go against the wind	61-68766-S
go ahead whatever happens of an arrangement or plan	67-23076-S
go all out for sth at risk of one s life	27-52050-S
go along with	1-68053-S
go and return	24-12792-S
go arm in arm with a girl	12-44261-S
go around	21-51802-S,24-30070-B,42-9744-S,45-11086-S,48-51328-S,50-40656-S,62-69147-B
go ashore	1-49098-S
go at that	27-21200-S
go away	39-35081-B,60-9375-S,62-67199-B,67-8589-S
go away from one s present position	16-44425-S
go back	11-27977-S,14-54252-S,14-54730-B,35-53185-S,61-49390-S
go back and forth	23-61936-S,23-62912-S
go back on a deal	11-48269-S,51-21590-S
go back on a marriage contract	59-62577-S
go back on one s word	11-45809-S,52-18252-B,69-4081-S
go back on one s words	26-21358-B
go back to one s roots	35-54338-S
go back to the source	28-31185-S,61-67716-S
go bad	59-11720-B
go bald	58-57844-S
go bankrupt	5-54933-S,5-60303-S,5-61933-S,46-18456-S
go begging	3-21308-B,57-61825-S
go between	2-83535-B,17-63406-S,18-55654-B,18-55718-B,23-30269-S,28-3173-S,28-3227-S,47-52177-S,60-49329-B
go between between prospective marriage partners etc	5-35188-S,6-14702-S
go between e g marriage broker	42-716-S
go between marital	18-55819-B
go beyond	8-33733-S,60-24297-S,62-34674-S
go beyond one s authority	60-27241-S
go beyond one s bounds	19-24484-S
go beyond the bounds of one s job	60-27460-S
go beyond the sacrificial altar and take over the kitchen 成语 saw	60-25771-S
go bump in the night	18-35174-S,70-34080-S
go by car	15-51874-S
go by surface transport	66-34155-S
go by taxi	26-47068-S
go by way of	61-29699-B
go carefully	62-26522-B
go chinese board game	23-24625-S
go crazy	44-31944-B
go dining	12-26900-S
go down	1-57993-S,1-58841-S,1-64037-S,4-53149-S,16-27077-S,39-1189-S
go down in history	61-6989-S
go down in history 成语 saw	12-54992-S
go dutch	1-0-S
go easy	24-11368-B
go everywhere	60-36340-S
go far	62-63022-S
go flat of a tire	29-7752-S
go for	24-10189-B
go for a spin in the fresh air	7-23398-S
go for a walk	30-8880-S,39-17990-S
go for it	5-2623-B
go forward	1-46533-S,9-24921-S,62-29311-S
go forward one stage at a time	62-60067-S
go from house to house	27-68047-S
go from one state to another	68-51240-S
go getter	32-40024-B
go halves or fifty fifty	3-32094-B
go head to head see who is best	1-21651-S
go home	5-55092-S,38-7004-S
go home in a ceremonial procession	26-49604-S
go home to one s native country	35-53793-S
go home to their provinces	33-13968-S
go home to visit one s family	28-23841-S
go hungry	27-69366-S,69-14151-S
go hunting as winter sport in former times	42-8385-S
go in	62-29270-S
go in a direction	23-61667-S
go in for	28-57082-S
go in reverse	5-61660-S
go into	1-45053-S,62-28956-S
go into battle	1-56969-S,8-39709-S
go into battle and kill the enemy	1-57023-S
go into effect	43-21095-S
go into exile	8-34335-S,61-64888-S
go into exile from prison	3-65766-S
go into hiding	10-40420-S,55-30767-S,55-31791-B,60-57871-S
go into opposition	1-63844-S
go into shock	4-55440-S
go into the records	61-6989-S
go mad	44-31944-B
go of sth	29-7006-S
go off like a rocket	69-63889-S
go off the beaten track	42-21881-B
go off the stage	1-58915-S,1-62445-S
go offline	1-62210-S
go on	1-58841-S
go on a business trip	8-39092-S
go on a diet	48-30317-S
go on a hunger strike	49-47900-S
go on a journey	8-46514-S,10-2332-B
go on a personal punitive expedition	20-38922-S
go on a pleasure trip	39-53233-S
go on a punitive expedition	23-64462-S
go on a trip	61-20798-S
go on an inspection tour	21-51695-B
go on foot	35-42951-S,60-14020-S
go on holiday	4-55377-B,22-63628-B
go on long campaign	23-63037-S
go on stage	43-67686-S
go on stage in the theater	1-47362-S
go on strike	50-54614-B
go on to do sth	28-27616-S
go on with	50-42557-S,50-43216-S
go one s hold	29-51844-S
go one step beyond the prescribed limit	2-13180-S
go online	1-54954-S
go onto the streets	1-55423-S
go or chess	2-69412-S,2-76608-S,19-41235-S
go or shogi	34-20060-S
go out	8-12784-S,8-33733-S,8-36212-S,8-37873-S,16-44425-S
go out and come in	8-35281-S
go out hunting	8-41996-S
go out into society	38-34479-S
go out of bounds	8-37314-S
go out of bounds sport	8-42958-S
go out of business	35-25037-S
go out of fire	41-11433-S,41-11531-S,41-11623-S
go out of the door	8-46514-S
go outdoors for physical exercise	8-39893-S
go over	62-42853-S,62-43905-S
go pale in panic 成语 saw	69-62143-S
go personally to consult subordinates of a high official	52-56490-S
go personally to the place	52-56650-S
go player	13-1024-S
go round	10-37134-B,31-999-S,61-16853-S
go round a curve	27-30701-S
go seigen go player	13-1024-B
go shopping	59-45440-S
go sight seeing	62-38106-S
go sightseeing	62-37645-S
go slow as a form of strike	24-56753-B
go so far	2-26586-S
go so far as to	21-18970-B,47-63289-S,53-18367-S
go soft at the knees	44-34643-S
go somewhere else	60-14514-S
go steady and strike hard in fighting	47-42888-S
go the same way	12-51845-S
go the wrong way	61-68100-S
go through	35-53066-S,49-59064-B,49-62340-S,62-6773-S,62-12525-S
go through fire and water	8-42238-S
go through the formalities	60-11473-S
go through the motions	23-30388-S
go through unhindered	62-12666-S
go to	18-6862-B
go to a fair	60-29213-S
go to and fro	23-61534-B,23-62912-S,62-35444-B
go to bed	1-49435-B,19-30164-B,21-9540-S,45-55428-S
go to bed with sb	5-6695-S,56-32501-S
go to beijing	62-28637-S
go to distant parts	62-63661-S
go to hell	6-50960-B
go to jail	7-25134-B
go to market	60-29213-S
go to pot	1-60832-S
go to sb for help or protection	27-948-S
go to school	1-48535-S,17-64969-S,21-10836-S
go to school for the first time as a child	7-24504-S
go to sea	1-61411-S
go to sleep	19-28831-B,45-55428-S
go to taiwan	11-38388-S
go to the countryside	1-63784-S
go to the dogs	54-50114-S
go to the office	1-54024-S
go to the opera	52-583-S
go to the toilet	13-8755-S,30-61708-S
go to the toilet euphemism	32-9087-S
go to the trouble of traveling a long distance	2-34985-B
go to visit a superior	58-12294-S
go to war	26-40760-S
go to war on sb	29-47168-S
go to work	1-54024-S
go together	8-0-S
go together with sb	49-4569-S
go too far	60-19872-S
go underground	61-21327-S
go unpunished	2-1747-S
go up	1-45053-S,1-47043-S,1-50130-B,10-53465-S,44-23325-B,60-53253-B,66-46134-B
go up or go down	16-27077-S
go up stairs one by one	27-54034-S
go up to heaven or down to hades	1-48356-S
go up to the moon	44-24034-B
go upstairs	1-51004-S
go upstream	37-36708-B,39-23573-B,61-59008-S
go upward	1-53760-B
go when at one s peak	11-42837-S
go where the crowds are for excitement	45-39002-S
go with	60-37298-S
go with current	39-51914-B
go with fashion	68-838-B
