werther	50-4199-B
what s more	8-9933-B
what s one s own and what s another s	1-71497-S
what s right and wrong	31-38042-S
what s the time	22-58266-B
what s to be done	24-52014-B
what s up	24-51745-B,24-52074-B,58-62952-S
what s what	2-31022-S,58-63478-S
what s wrong	24-51745-B
what sb feels or knows etc in his bones derog 	70-0-B
what sb is capable of	26-29624-B
what sb is driving at	2-21497-S
what sb is thinking	25-25890-B
what sb really means to say	11-70502-B
what sb said	58-15688-B
what sb says	52-278-S,52-1335-S,71-2477-S
what sort	43-16818-B
what sth amounts to	12-37520-S
what the future holds	9-24666-S
what the heart wishes	24-7608-S
what they used to be	4-23224-S
what time	16-54928-B,22-57762-B,22-58216-B,43-16745-S
what to do	32-46573-S,40-53763-S,48-32362-S,51-31657-S
what to do next	9-24821-S,41-42625-S
what to do under given circumstances	35-3044-B
what to do 成语 saw	2-21606-S,26-36384-S
what way	18-30145-B
what we suggest	32-20104-S
what went wrong	24-51745-B
what who	2-29762-S
what would be normal	6-11306-S
what you call it	13-19119-S,13-19275-S
what you earn	64-4838-S
what you get wysiwyg	26-29765-S
what you lose on the swings	11-59061-B
what you lose on the swings you gain on the roundabouts	29-39887-B
what you re doing	62-40561-S
what you see is what you get wysiwyg	26-29765-B
what you think	24-31251-S
what you want to say	1-67379-S,1-67577-S
whatever	2-12003-B,2-29762-B,4-41870-B,8-28944-B,18-28713-B,24-51944-S,40-61882-B,40-62147-B
whatever for	3-23991-B,3-25831-B,22-52277-B,22-53187-B
whatever happens i m still sure it s right	11-50532-B
whatever happens of an arrangement or plan	67-23076-S
whatever methods you can	14-62332-S
whatever next	26-7966-B
whatever one pleases	40-32406-S
whatever people suggest	57-31944-S
whatever reason	2-21039-S
whatever the current outlook	68-27332-S
whatever you like	24-11598-B
whatsoever	4-41870-B,36-16346-S
wheat	21-2901-B,47-31471-B,67-5517-S,71-11086-B,71-11952-B
wheat flour	44-50128-B
wheat 成语 saw	2-32857-S
wheel	7-42107-S,21-48898-S,21-62283-S,29-539-S,29-539-S,29-30840-S,30-62091-S,46-12393-S,46-12393-S,49-25918-S,51-23432-S,52-19085-S,54-52630-S,60-59152-S,60-60212-S,61-5156-S,61-5225-B,61-15406-B,61-15962-B,61-16565-S,61-16958-S,61-17150-S,61-18375-S,61-20261-B,61-20288-S,69-55939-S,69-56276-S,71-55328-S
wheel accommodating the axle archaic	35-10685-S
wheel archaic	61-20322-S
wheel band	61-14457-B,61-17065-B
wheel comes full circle	49-36835-S,62-27819-S
wheel drive	7-42153-S,14-53251-S
wheel hub	61-16811-B
wheel of fortune	68-55421-S
wheel of fortune turns	68-55336-S
wheel of life in buddhism	37-34796-S
wheel rut	61-32144-B
wheel spoke	61-19656-B
wheel without spokes	61-6663-B
wheel worker	30-70453-S
wheelbarrow	21-1321-B
wheelchair	61-16167-B
wheeler dealer	5-59148-B
wheels	61-31242-S
wheels and caterpillar treads	10-56844-S
wheezing	13-18679-B,13-18736-B
when	5-2586-B,16-54928-B,16-58430-B,22-57762-B,22-58216-B,31-38708-B,32-9669-B,37-52595-B,43-16745-B,43-64373-B,44-59199-B
when 	32-15821-S
when a lazy donkey is turning a grindstone	25-63967-S
when all is said and done	9-9555-B,35-54520-B,39-38702-B,43-55088-B,47-44284-S
when an embryo can implant in the womb	71-25112-S
when asleep	16-52134-S
when at one s peak	11-42837-S
when both are in humble circumstances	45-29737-S
when counting or listing	66-21915-S
when critically ill 成语 saw	44-9959-S
when danger arises 成语 saw	52-57896-S
when decking out a bride	65-40767-S
when driving	9-26648-S,41-5162-S
when emperor tours	60-50181-S
when gambling with dice	12-30721-S
when haggling	63-9606-S
when he is fresh and strike him when he is tired and withdraws	63-6163-S
when he is tired and withdraws	63-6163-S
when heaven and earth were split apart in the creation	65-32969-S
when hungry	69-4546-B,69-19767-B
when i get around to it	1-3921-B
when ill	24-42190-S
when in rome	60-14360-B
when in trouble	27-12591-S,52-57896-S
when it is too late	52-60441-S
when it s convenient	5-28400-B
when it was founded	29-54644-S
when least expected 成语 saw	8-35671-S
when needed	35-37919-S
when night falls	6-26698-B
when not ill	40-57763-S
when one grass burns the other grass sighs 成语 saw	53-50755-S,53-50932-S
when one is wretched	22-63768-S
when one most needs it	67-15570-S
when one player scores three goals	22-33042-S
when one s errors are pointed out	51-57365-S
when one s predestined life span is up	16-38519-S
when river downstream freezes more than upstream	8-26032-S
when shooting	23-33410-S
when spelling out numbers	22-53269-S,37-57313-S
when sth is ready etc	48-17869-S
when subj arrives at a location or time	9-9327-B
when submitting a tender	34-56307-S
when the common form 俗字 differs	35-40641-S
when the melon is ripe	43-8964-B
when the moment comes	9-9687-B
when the root is firm	32-61746-B
when the same character has more than one reading	43-63443-S
when the time comes	21-19401-B
when the tree topples the monkeys scatter 成语 saw	34-60376-B
when to come and when to leave	62-31481-S
when to come or leave 成语 saw	2-21818-S
when to leave	62-31481-S
when traveling	67-47360-S
when unconscious	31-26901-S
when will it stop	4-47461-B
when wining and dining 成语 saw	63-40681-S
when writing chinese character	48-16962-S
when you can t eat them	14-14139-S,58-33016-S
when you come or go	8-35452-S
when you don t	2-10783-S
when you drink water	69-6139-S,69-6299-S
when you enter a village	7-25850-B
whence	5-2269-B,5-3005-B
whenever	16-54928-B,36-6259-B,36-6447-B,40-62014-B
where	5-2368-B,5-3005-B,13-45170-B,13-45537-B,13-45705-B,18-11059-B,32-9669-B,40-44121-B,41-40463-B
where an exam takes place	51-32633-S
where convicts are counted and verified	71-42111-S
where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
where it comes from	5-19626-S
where it was before	11-35517-B
where once was mulberry fields 成语 saw	39-25878-S
where one has lived long	19-25778-S
where one holds a post	4-43321-S
where one is	16-46404-S
where one s qi resides	3-2991-S
where one stands	56-44877-S
where people gather	32-22746-S
where pulse is taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
where small streams flow into a large one	39-44141-S
where sth comes from	8-44687-B
where sth finally settles	35-53885-S
where sth has got to	54-55608-S
where supreme bestows books	18-61681-S
where the crowds are for excitement	45-39002-S
where the other leaves off	13-2280-S
where the two sides slide horizontally past one another	60-10388-S
where there is a will	32-32994-B
where there is injustice	2-7425-B
where things are heading	18-30395-S
where tigers crouch and dragons coil 成语 saw	55-47824-S,55-47958-S
where vegetation grows	55-3418-S
whereabouts	1-62649-B,1-62694-S,11-37772-B,26-27829-B,56-35050-B
whereabouts i e where sth has got to	54-55608-B
whereabouts unknown	2-21158-B
whereas	65-6700-B
whereas man struggles upwards	36-41067-S
wherefore	5-2545-B
wherein	15-34246-B
wherever	13-45170-B,13-45537-B,13-45705-B,40-62076-B
wherever you go	8-35452-S
wherever you like	66-43312-S
whether 	40-61803-S
whether it can support a crop	16-25259-S
whether it s right or wrong doesn t make a lot of difference	11-50697-B
whether one wants to or not	68-45248-B
whether or not	31-37730-B,31-37810-B,52-27216-B
whether reality lives up to its reputation	12-55691-B
whether sb	32-22157-S
whether sth is right or wrong	70-11362-B
whether the tripods are light or heavy 成语 saw	13-63687-S
whether to believe what one reads in the news	45-41030-S
whether to laugh or cry	13-46829-S
whetstone	11-29038-B,46-13654-B,46-15444-B,46-22501-B,46-30333-S,46-30390-B,46-40123-B
whetstone for honing knives	46-38528-B,49-31991-B
which	5-2129-B,13-44889-B,13-45037-B,13-45083-B,13-45130-B,19-15996-B,43-16571-B,63-15895-B,66-43086-S
which a branch is grafted	46-15561-S
which a character explains his own role	53-4294-S
which a character is arranged in a traditional chinese dictionary	63-23984-S
which buddha to burn incense to 成语 saw	28-34984-S
which chickens roost	34-39939-S
which coins are strung	50-47944-S
which course to follow 成语 saw	40-53763-S
which day of the week	31-30345-B
which eats its mother	42-16496-S
which editions are printed	41-45143-S
which grain may be stored in damp climates	48-4191-S
which have been thrown into disorder	29-11584-S
which holds 30 pecks i e approx 3 kg dry measure	22-25796-S
which interrogative	13-44993-B
which is slightly sour and astringent	35-15119-S
which is tightly rolled up	55-6896-S
which liu bei 劉備 刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
which no good or service is required in return	61-26637-S
which number	16-56133-B
which of two you want	58-21543-S
which one can prosecute or sue sb	61-59773-S
which person	43-16627-B
which resembles jade	42-60719-S
which returns after branching	36-57349-S
which rice was boiled	39-31240-S
which russia agreed to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
which the sun never sets	17-61367-S
which transforms statements into questions that indicate doubt or surprise	13-28388-S
which two lines meet	3-71517-S
which type is set	49-21870-S
which was sprinkled on doors and vessels	56-30445-S
which zhao yun 趙雲 赵云 charges seven times through the ranks of cao cao s armies	65-12079-S
whichever	4-41870-B
whichever one fancies	4-44163-S
whichever way	1-48356-S
while	1-399-S,1-621-S,1-10572-S,1-10572-S,1-10684-S,1-10765-S,1-10849-S,1-10931-S,1-11022-S,1-11145-S,1-22098-S,6-21269-S,6-21906-S,10-56150-S,10-61611-S,11-27977-B,18-26382-S,21-3528-S,21-5226-S,21-21974-S,43-67403-B,48-17482-S,53-21211-S,62-43013-S,66-41878-B,68-21088-S
while accomplishing little	10-5907-S
while admitting minor ones	63-7636-S
while ago	68-21088-S
while away	38-31601-S
while back	53-40533-S
while before	32-15821-S
while concealing their faults	66-47842-S
while cowardly at heart	53-44218-S
while declining to meet a visitor	58-56403-S
while doing	35-34678-B
while doing it	21-9408-B,66-43847-B
while doing sth	2-48825-B
while doing sth else	68-23489-S
while flattering another	59-13125-S,59-13375-S
while holding back differences 成语 saw	36-53676-S
while in high spirits	3-13938-B
while living	43-18533-B
while living in peace	21-18378-B
while longer	25-50428-S
while not deserving it	38-55532-S
while offering sacrifice to the departed	13-46093-S
while one can	62-64661-S
while others are not looking	31-63228-B
while out doing sth else	68-26850-B
while playing pipes	13-6199-S
while playing the xiao 箫 mouth organ	13-298-S,13-6329-S
while preparing for a big effort	69-12081-S
while protecting the common people	20-44160-S
while reading	62-3416-S
while reading a book	35-62276-S
while some hope is left	1-72767-S
while stealing a bell 成语 saw	28-33509-S
while still alive	4-17753-S
while still alive e g skinned alive	37-65223-B
while still on the stem	19-4107-S
while studying	10-9175-S
while talking 成语 saw	27-58611-S,27-58821-S
while the iron is hot	3-13005-S
while transmitting	15-34081-B
while unable to live up to them	45-52491-S
while unable to reach a decision	41-327-S
while weak inside 成语 saw	53-44218-S
while writing a book 成语 saw	4-40149-S
while you can	31-38833-S
while you re ahead	62-64661-S
whim	24-38896-S,24-64903-S
whimper	14-24286-B
whims	65-67692-S
whimsical	58-17874-B
whine	13-33080-S,13-46469-S,44-31258-B
whine of geese 成语 saw	13-33136-S
whinny of a horse	14-32823-S,14-33154-S
whip	28-53410-S,34-24008-B,48-25111-B,68-8502-S,68-8556-B,68-8593-B,68-8877-S
whip cannot reach 成语 saw	68-9087-S
whip or lash	68-8502-S
whip round	8-34882-S
whip scar	68-8740-B
whip three times	30-46964-S
whip with bamboo strips	48-5782-S
whipworm	68-9042-B
whir	13-18178-B
whirl	24-59946-S,31-612-S
whirl around	30-70230-S
whirl one s arm	28-11721-B
whirl 成语 saw	24-30982-S
whirling dance	31-327-B
whirlpool	30-70808-B,37-49384-B,37-63094-B,39-2993-B,39-51993-B
whirlwind	28-7869-S,31-1842-B,42-11462-B,68-59375-B,68-61751-B,68-61978-B,68-62247-B,68-62292-B
whirlwind drive	68-62197-B
whirlwind hosea 8 7	25-21703-S
whirlwind kick martial arts	31-1895-B
whirlwind somersault in gymnastics or martial arts	30-70288-B
whisk	27-18385-B
whisker	49-14768-B
whiskers	36-13665-B,70-25145-B,70-27715-S,70-28180-B
whisky	18-45846-B,18-45896-B
whisper	8-60594-S,13-10443-B,13-14848-B,13-14918-S,13-15164-S,13-15207-S,13-27606-S,13-48658-B,13-53415-S,14-26619-S,14-43770-S,47-59896-S,51-39932-B,51-67727-B,58-5974-S,66-16016-S
whisper sweet nothings to one another	11-28395-S
whispered	4-67227-B
whispering	13-10260-B
whispering in a low voice 成语 saw	13-10341-B
whispering sound	14-26660-B
whispers	20-69577-S
whistle	11-67817-B,13-5230-B,13-18626-B,13-43975-S,13-44112-S,13-44272-S,14-31884-S,37-1017-S
whistle blower	13-8976-B
whistle made of reed	48-13721-B
whistling sound	13-44154-B
whit sunday	16-281-S,51-52794-S
whit sunday christian festival celebrating the holy spirit	51-49306-B
white	3-22769-S,3-22890-S,13-46203-S,14-20908-S,32-39151-S,38-54784-S,39-15414-S,39-57400-S,39-57400-S,41-4940-S,41-46770-S,44-35806-B,44-42651-B,44-43840-S,44-44410-B,44-44603-S,44-44856-S,44-46185-S,44-47685-S,44-62961-B,44-63064-S,44-63101-B,44-63240-S,44-64043-B,44-64111-B,44-64220-B,44-64340-B,48-47146-B,48-47747-B,49-14296-B,49-20557-S,55-3641-S,55-60710-S,64-28031-S,67-16825-S,68-48685-B,71-31673-S
white aconite	44-47449-B
white aconite used in traditional chinese medicine	44-47495-S
white agate	50-26080-B
white ant	44-45885-B
white area	44-37069-B
white arsenic	44-43337-B
white bandits	44-37022-B
white banner and yellow battle ax 成语 saw	44-39629-B
white bear	44-41876-B
white belly	69-54645-S
white blood cell	2-71653-S,14-24687-S,14-24802-S,20-61786-S,44-43997-B,44-45988-B
white book	44-42701-B
white box with ventilated sides	44-57296-S
white cement	44-41066-B
white cloth	44-38881-S
white cloud	44-47752-B
white coal	44-41800-B
white cogon flower like fire 成语 saw	18-31059-S
white collar	44-48187-B
white color of the dawn sky	70-37879-S
white cooked rice	48-52070-B
white crane	44-49839-B
white crane martial art	44-49883-S
white crane ridge at fuling	44-49972-B
white dew	44-47994-S
white diarrhea	44-42326-B
white dwarf	44-43167-B
white edged morning glory	41-64358-B
white esp bright white teeth of youth or white hair of old age	44-63136-B
white eyebrow chinese martial art	44-42873-S
white face	44-44330-B,69-51423-S
white fish e g galaxias maculatus and salangichthys microdon	64-29543-S
white flag	44-39839-B
white gem	42-58294-B
white ghost	44-49649-B
white granulocyte blood cell	48-48396-B
white hair	44-49606-B
white hair and grey sunken cheeks 成语 saw	44-63362-B
white hair of old age	44-63136-S
white haired	70-56982-B
white haired girl 1950	44-40772-S
white hairs of old age 成语 saw	44-48302-S,44-48490-S
white head of hair	44-63293-B
white heat	44-41933-B,44-42048-B
white horse	69-55761-B
white horse temple in luoyang	44-49140-S
white hot	44-41990-S
white house	35-7046-S,44-38411-B
white house spokesperson	63-8824-S,71-12369-S
white in tv screen setup	20-51591-S
white interior	12-60756-S
white iron	44-37163-B
white jade worn on belt	42-48458-B
white legs	69-56994-S
white lie	14-3491-B
white line road markings	44-44067-B
white lotus flower	44-45192-B
white lotus society	44-45192-B,44-45295-B
white man and woman	44-36211-B
white mane	66-62052-S
white marble	39-50663-B
white marble used for building and sculpting	39-50663-S
white mica	44-36147-B
white movement	44-46632-B
white mucous stool	44-42326-S
white mushroom	64-28524-B
white night	44-38230-B
white of snow etc	44-64070-B
white of the eye	44-43026-B,45-50275-B,68-7529-S
white paint from dried fish guts	70-37879-B
white paper e g containing proposals for new legislation	44-42701-B
white peppercorn	44-44269-B
white pheasant	66-63210-S
white phosphorus	44-43478-B
white picture	14-20981-S,14-21078-S
white poplar	64-28077-B
white poplar populus bonatii	44-40320-B
white porcelain	67-57634-S
white pottery of shang dynastry 16 11th century bc	44-47599-B
white quartz	43-7562-B
white race	44-43584-S,44-44465-S
white rice wine	44-36065-S,44-39021-S
white russia	44-36545-B
white shark carcharodon carcharias	17-28783-S
white sheen	64-29288-S
white silk	49-14296-B,50-26041-S
white snake	44-45687-S,44-45687-S
white spirit	44-46725-B
white steed flits past a crack 成语 saw	44-49349-S
white stone	46-12453-B
white striped chalcedony	50-46040-S
white sugar	44-43784-S
white teeth and bright eyes 成语 saw	44-63558-B
white teeth and vermilion lips 成语 saw	44-63675-B
white teeth of youth or white hair of old age	44-63136-S
white teeth symbol of youth and beauty	44-63484-B
white teeth 成语 saw	56-1834-S
white terror	44-44536-B
white tiger chinese constellation	44-45585-B
white tv	71-31749-S
white vinegar	44-46818-B
white water raft	40-16287-B
white wax	44-45935-B
white wine	63-48867-B
white 成语 saw	68-45759-S
whitebait	64-29543-S
whiteboard	44-40396-B
whitefish	44-49694-B
whitehall	44-39103-B
whiten	39-43375-S
whitener	16-27300-B,44-43682-B
whitening agent	16-27300-B
whiteout	3-22825-B
whites of eyes	45-35031-S
whitewash	15-37237-B,16-6916-S,33-114-B,48-47146-B
whitewash wall	16-15864-B
whither	12-62164-B
whitlow	44-19517-B
whitsuntide	51-49427-B
whittle	9-44848-B
whittle away	38-31601-S
whiz	13-18626-B
who	2-29762-S,2-41105-S,2-41953-S,5-2233-B,9-4270-S,13-45083-B,13-45130-B,19-15996-B,43-16504-B,43-16627-B,54-23924-S,58-34029-B
who 1960s uk rock band	58-34132-S
who agrees with anything	18-27661-S
who always gets good breaks	22-51829-S
who are 	32-36651-S
who are economically and politically marginalized	23-36508-S
who are successful in the imperial examinations	22-47473-S
who arrived in europe from 600 ad and took over france	37-33275-S
who attend after work lit spare time college	34-33513-S
who become friends in hospital	44-9300-S
who benefits	11-63102-S
who buys low and sell high	5-59148-S
who can derive benefit from any situation	21-58371-S
who can engineer and see through a project	58-50561-S
who changes school	61-22623-S
who come after	31-45470-S
who comes from a particular place	4-11602-S
who commits crimes	35-55601-S
who complains	26-57865-S
who conspires against the state	18-24874-S,18-25354-S
who could have thought that	25-25118-B
who crashes through a barrier	65-53182-S
who declined to employ confucius	70-40248-S
who died	35-59140-S
who died unjustly	8-15304-S
who disagree	58-18993-S
who does not deserve it	62-69674-S
who doesn t do any work	19-40415-S
who doesn t know that	54-24271-S
who don t believe in magic harry potter	71-14880-S
who dresses up as teenager	51-25429-S
who enter school	7-24611-S
who feel	32-32698-S
who fell down a well 成语 saw	27-667-S,54-49049-S
who fixes leaky pots	64-47547-S
who flew to the moon	18-59702-S
who follow on	23-67756-S
who follows a villain	42-7539-S
who gabbles unintelligibly	50-45617-S
who goes out to work	26-43566-S,26-43662-S
who happens to be on hand for an errand	5-28478-S
who has given birth twice	3-39255-S
who has given outstanding service	9-50354-S
who has made the pilgrimage to mecca	13-37531-S
who has mastered the sutras	37-31142-S
who has passed away	12-61-S
who has significantly helped sb else	25-1582-S
who have plenty cannot understand how the suffering of others	69-7875-S
who helps sb harm people	60-12458-S
who induces labor	6-31551-S
who is about the age of one s mother	4-58819-S
who is above the law	23-46265-S
who is alienated	62-60192-S
who is always falling ill	44-8935-S
who is best	1-21651-S
who is bullied	11-62358-S
who is down	27-667-S,54-49049-S
who is not extravagant	54-24351-S
who is paying a visit	32-24712-S
who is right	48-19242-S,60-13634-S
who is right and wrong 成语 saw	41-39989-S
who isn t	54-24002-S
who jumps a year	60-44892-S
who knows	58-34217-S
who knows what the future holds	9-24666-B
who leads prayer in a muslim mosque	4-49673-S
who leads the prayers in a muslim mosque	4-52557-S
who left china for taiwan before the founding of prc in 1949	11-38388-S,11-38513-S
who lives by begging or stealing	44-21243-S
who looks drenched and bedraggled	54-50315-S
who made up the 西夏 dynasty	71-45467-S
who marries for a second time	3-35372-S
who monopolizes the mike at karaoke party hegemon 霸 of the microphone 麥克風 麦克风	71-12985-S
who parrots sb	6-39161-S
who pretends to have high moral standards	6-5571-S
who produces a piece of work for sb else to pass off as their own	34-44394-S
who relies on specious arguments	58-15309-S
who remains unmarried	19-22116-S
who seeks advancement by any means	18-43086-S
who served as qing court painter for 50 years	63-21240-S
who steals a whole land gets promoted to marquis	47-59704-S
who studies viruses	44-10996-S
who styled himself chuang wang one in jiugongshan 九宫山 nature reserve	65-52647-S
who sublets	3-35240-S,3-35813-S
who suffers damage	11-60965-S
who tags along	60-37876-S
who takes an exam for sb else	34-44394-S
who talks big	17-29393-S
who tamed the floods	17-29797-S
who turned into bird jingwei 精衛 精卫 after drowning	18-19721-S
who turns out to be useless	64-27180-S
who use their heads	32-32698-S
who uses the subject s face for his prognostication	45-27646-S
who wanders abroad and does not return	36-38454-S
who was the designated successor to emperor guangxu until the boxer uprising	39-18770-S
who were a branch of the eastern hu people inhabiting the valley of the xar murun river in the upper reaches of the liaohe river	18-6031-S
who would have thought	58-34217-B
who you can seek advice	22-26153-S
whoever	40-61953-B
