inverted reflection in water	5-58169-B
iodide	46-27086-B,46-29171-S,46-29233-S
iodide nai	46-29109-S
iodine	29-51109-S
iodine i	46-29077-B
ion	63-44942-S,66-25883-S,66-36799-S,67-9368-B,67-38992-B
ion battery	64-38946-S
ion exchange	67-9403-B
ion exchanger	15-24319-S
ion oh	36-34841-S,36-34925-S
ion phys 	35-39708-S,59-32515-S
ionic bond chem 	67-9471-B
ionization chamber	67-39048-B
ionization radiation	67-39167-B
ionized e g gas	67-38992-B
ionizing particle in cloud chamber	67-19360-S
ionosphere	16-27175-B,67-39111-B
iota greek letter ιι	49-4723-B
iou	5-65010-B,5-65097-B,5-65370-B,6-399-B,19-5247-B,32-51562-B
iowa	25-33524-B,53-47140-B
iowa state of us	56-42859-B
iowa us state	25-33466-B,25-34227-B,53-47083-B
ip	50-10434-B
ipecac	12-60310-B
ipo	69-22634-S
ipoh city in malaysia	24-57018-B
ipomoea aquatica	36-46073-S,47-46922-S,55-17373-S,55-17441-S
ipomoea batatas	43-15161-B
ipso facto	3-30175-B
iptv prc media network	54-16408-B,54-16479-B
iq intelligence quotient	31-56784-B
ir	64-32435-S
iraklion	58-49168-S
iran	4-47399-S,4-49752-B,17-4379-S,24-29267-S,26-39336-S,26-39423-S
iraq	4-48756-B,11-15865-S,22-4737-S,22-7747-S,22-54436-S,22-60405-S,22-60479-S,40-36363-S,40-36961-S,49-15681-S
iraq from 2006	69-34254-S
iraq oil for food program	46-7903-B
iraq or iran	4-47399-S
iraqi ayatollah	57-17755-S
iraqi city	11-14593-S,13-37326-S,29-2220-S
irascible	24-58064-B,24-59884-B,32-559-B,36-29813-B
irascible temperament	70-24323-S
ireland	10-31483-S,25-36244-B,25-36360-S
iridium ir	64-32435-B
irigaray psychoanalyst	4-51455-B
iris	53-62494-S,55-57384-B
iris and orchid	53-51283-S
iris chang 1968 2004	23-41036-B
iris chang 張純如 张纯如	10-66418-S
iris flower	70-53239-B
irises and orchids 成语 saw	53-51398-S
irish baile choitín	59-28864-S
irish banshee	14-13628-S,14-13737-S
irish person	25-36294-B
irish republican army	25-36455-B
irksome	25-24594-B
irkutsk	4-50326-B
iron	14-56863-S,23-9993-S,32-39292-S,40-41602-S,41-1245-S,41-11754-S,41-17014-S,41-17272-S,41-17272-S,41-17310-S,41-30416-S,43-30519-S,44-37163-S,44-47336-S,57-46390-S,64-22825-S,64-31327-B,64-42926-S,64-49640-S,64-50372-S,64-58982-S,65-1076-S,65-3798-S,65-5066-S,65-6031-S,65-6031-S,71-32741-S
iron and steel	35-47876-S
iron and steel engineering institute	64-41678-S
iron arrow	64-41028-B
iron bar down to a fine needle 成语 saw	46-39515-S
iron bell used to mark time	71-37621-B
iron cauldron	70-30790-B
iron chain	65-5152-S
iron chancellor	65-4509-B
iron clothes	41-30510-S
iron cooking pot	65-5016-B
iron corner of anvil	57-45447-S
iron curtain	65-2991-B
iron defense	64-22862-B
iron fe	65-2202-B
iron fist in a velvet glove	50-13327-S
iron fist of the state	65-4451-B
iron foundry	41-1293-B
iron golf club	65-3706-B
iron gray as a horse	69-51086-B
iron hand in a velvet glove	61-3379-S
iron hoof of the oppressor	65-4845-B
iron is hot	3-13005-S
iron ore	60-7329-S,65-4132-B,65-4176-B
iron out difficulties	10-24711-S
iron panel	65-3311-B
iron pellet	21-1605-B
iron pillar	64-40490-B
iron plate	65-3507-S,65-3618-S
iron plate for fast grilling japanese teppan	65-3311-S
iron plate japanese teppanyaki	65-3407-S
iron point	65-7468-S
iron pot	64-50614-B,70-30848-S
iron rice bowl	65-5278-S
iron rice bowl 鐵飯碗 铁饭碗 for sth better but more risky	1-61411-S
iron ring	65-3905-S
iron rod	64-40490-B,65-3756-B
iron shovel	33-26730-B
iron silicate mg	35-428-S
iron sulfide cufes2	53-9828-S
iron wire	65-4295-B
iron 成语 saw	30-38655-S
ironclad	65-3952-B
ironed	48-15129-S
ironic remark	11-54091-B
ironical remarks	27-67334-S
ironing board	41-30561-B
irons	52-44088-S,64-59257-S
ironware	65-2478-B
irony	11-54091-B,11-54144-B,11-54182-B,11-54230-B,58-47284-B
irradiate	41-7210-B
irradiation	4-67612-S,16-48849-S,61-19703-B
irrational	40-56946-B
irrationally	23-45173-S
irrawaddy delta in south myanmar burma	4-50102-B
irrawaddy or ayeyarwaddy river	4-50019-B,4-50230-B,5-25366-B
irreconcilable	1-70704-S
irreconcilable as ice and hot coals	8-18928-S
irreconcilable differences	10-6945-B,58-23057-B
irreconcilable division	25-1415-B
irrefutable	68-46005-B
irrefutable argument	2-14219-B
irregular	2-28663-B,6-59933-B,11-38732-B,18-56785-B,44-115-B,62-58369-B,67-10513-B,71-56023-B
irregular customer	30-7882-B
irregular heart beat	24-33297-B
irregular pearl	43-3870-B
irregular quadrilateral	2-28817-B
irregular teeth	71-56488-B
irregularly	2-5375-B,59-8067-S
irrelevant	2-20331-S,2-27181-B,27-68938-S,27-69095-S
irrelevant answer	48-21628-B
irrelevant nonsense	65-45615-B
irremediable	1-76770-B
irresistible	2-26023-B
irresistible force	10-7096-S,46-19108-S
irresolute	5-10643-B,5-50758-B,6-54690-B,23-60254-B,23-66257-B,24-9632-B,24-12757-B,24-17660-B,25-56693-B,60-54121-B
irrespective	1-71362-B
irresponsible	2-31616-B
irresponsible criticism	18-32412-S
irresponsible patter	52-21663-B
irresponsible remarks	3-27503-S
irresponsible talk	45-58847-B
irresponsibly	18-33871-S,45-58465-S,45-58537-S
irreverent	2-13314-B,61-10193-B
irreversible	1-77534-B,1-77588-B
irrevocably	4-27235-S
irrigate	37-2824-S,37-3188-S,39-15558-B,40-57-S,40-17511-B,40-17838-S
irrigation	15-46724-S,15-57544-S,26-25829-S,31-33990-S,47-15431-S
irrigation canal	39-18280-B
irrigation project in han to tang times on huai river 淮河 in modern anhui	53-49480-S
irrigation system	40-17884-S,67-32121-S
irrigation works	36-38999-B,36-39147-B
irritability biol 	25-41717-B
irritable	24-58064-B,24-59884-B,25-60102-B,32-559-B,42-5092-B
irritant	52-14589-S
irritant agent	9-13274-B
irritate	9-13198-S,25-24594-S
irritate sb	30-13650-S
irritate throat etc	41-14374-S
irritated	25-24798-B
irritating	9-13440-B
irtysh river	68-44046-B
irun city in basque region of spain	4-47530-B
is	1-10370-S,1-74575-S,2-18977-S,2-20835-S,3-21532-S,4-1399-S,11-23816-S,12-11032-S,16-46404-S,21-9859-S,31-37688-B,32-29282-S
is 	11-31262-S,14-63676-S,43-16689-S,64-196-S
is a great honor to meet you	58-63234-S
is a great honor to meet you and i regret it is not sooner	58-63301-S
is a matter for your own effort	3-29873-S
is a pity	12-13172-S
is a shortcut to a ministerial job 成语 saw	49-35175-S
is a will	32-32994-S
is able	52-27300-B
is about the age of one s mother	4-58819-S
is about to collapse	11-22956-S
is about to happen	24-22943-S
is above the law	23-46265-S
is absolutely essential to follow the above instruction	8-60451-S
is accomplished	17-38441-S
is actually happening	20-13902-S
is actually intended	57-55739-S
is affiliated with	26-28197-S
is against the idea	51-11461-S
is alienated	62-60192-S
is all powerful	64-16565-S,64-44742-S
is allowed to wear depending on social status	9-11388-S
is already outstanding 成语 saw	48-54764-S
is already settled upon	32-47262-S
is always falling ill	44-8935-S
is always greener on the other side of the fence	62-5116-S
is an east wind 成语 saw	12-8147-S
is an honor to have you	7-12879-S
is an impregnable stronghold 成语 saw	45-53076-S
is arranged in a traditional chinese dictionary	63-23984-S
is as bad as not enough 成语 saw	62-47207-S
is as good as in former times	4-23224-S
is ashamed of	31-62120-S
is assured 成语 saw	47-43080-S
is at stake	59-62271-S
is at the center of the universe	31-6971-S
is at the perilous peak proverb	40-63881-S
is believing	44-55966-S
is best	1-21651-S
is better than hearing a hundred times 成语 saw	44-55966-S
is better than hearing from many others	44-55966-S
is better than war war	7-5376-S
is better to travel hopefully than to arrive	6-65579-S,60-41196-S,62-47875-S
is bewildered by five colors 成语 saw	45-18895-S
is blocked	35-41702-S
is born of blue	67-53906-S
is bound to happen	10-7735-B
is bound to win 成语 saw	13-31364-S
is bullied	11-62358-S
is but a dream 成语 saw	4-14549-S
is called	11-24960-B
is capable of	26-29624-S
is caused by catastrophic events such as the biblical flood	40-27683-S
is commonly used for english t shirt	25-643-S
is commonly used in malaysia and indonesia	65-44538-S
is comparable with	18-56914-B
is concerned	20-51102-S
is considered to be	11-24960-B
is convinced	11-68289-S
is dead	35-57830-S
is deep in one s heart	52-25928-S
is defined to be	11-24960-B
is difficult to treat	68-31567-S
is distant and the flow is long 成语 saw	39-16104-S
is done	1-4444-S,48-8442-S
is done and can t be changed	43-28366-S,43-28618-S
is down	27-667-S,54-49049-S
is driving at	2-21497-S
is due	52-58365-S
is faced with grim reality	2-28312-S
is fake	19-16033-S
is false	55-51276-S
is fiercer than a tiger 成语 saw	53-65325-S
is firm	32-61746-S
is for to	43-38556-S
is forearmed	52-24832-S
is fresh and strike him when he is tired and withdraws	63-6163-S
is genuine	45-41690-S
is going on	2-13880-S
is going smoothly	68-26932-S
is going very well	11-49457-S
is grafted	46-15561-S
is grafted onto rootstock	28-27236-S
is great	50-51633-S
is happening	37-9879-S
is hard to escape the dragnet of the law	67-13531-S
is hard to escape the net of justice	37-32825-S
is hard to fill 成语 saw	25-1415-S
is hard to forecast	9-24666-S
is hard to swallow	53-43202-S
is heading in	53-33694-S
is hopeless	44-8690-S
is hot	3-13005-S
is important that 	64-196-S
is impossible	37-10510-S
is impossible if you have the will	25-31263-S
is in sb s hands	26-35976-S
is in the home old view	45-27748-S
is injustice	2-7425-S
is it possible	32-22432-B,52-26751-B,52-27216-B
is it right	20-46470-B
is it the butterfly dreaming of zhuangzi 	54-21172-S
is it worth the trouble	5-2860-B,5-2928-B
is jealous of genius	17-45840-S
is kept secret among the hierarchy	7-27757-S
is known so far	45-39502-S
is left	1-72767-S
is like a dragon	5-19976-S
is likely	30-35114-S
is long	11-50697-S
is long 成语 saw	5-18148-S,39-16104-S
is lovely	39-36527-S
is misused	38-36525-S
is more beautiful than the outcome	62-47875-S
is more common	14-15186-S
is more than the sum of its parts	33-65584-S,33-66177-S
is more usual	51-42092-S
is more wretched than apathy	13-32621-S
is motion popular saying with many possible interpretations	43-18976-S
is named but not numbered on ethnic calendar	47-47706-S
is necessary	60-2445-S
is next to godliness	40-1179-S
is nice to meet you finally	45-30751-S
is no difference	37-10160-S
is no good	35-41702-S
is no harm in	2-4317-S
is no lack of	1-66158-S
is no need	5-2419-S
is no need to boast about one s treasures 谚语 proverb 	32-31814-S
is no need to do sth	37-10330-S
is no one who doesn t know that	54-24271-S
is no one who is not extravagant	54-24351-S
is no point in crying over spilt milk	31-4488-S
is no substitute for obedience 成语 saw	25-4160-S
is none	50-50762-S
is none who	54-23924-S
is none who isn t	54-24002-S
is not	2-14339-B,26-48362-S
is not as bad as an uncaring heart	13-32621-S
is not completely clear	2-3302-S
is not extravagant	54-24351-S
is not in vain 成语 saw	12-53496-S
is not omnipotent	64-16697-S
is not sooner	58-63301-S
is not the case	8-3920-S
is not to say that	2-10441-S
is nothing	37-10413-S
is nothing better	40-47106-S
is nothing to be done	37-10903-S,37-11887-S
is nothing to pardon	13-45846-S
is now cooked 成语 saw	43-28366-S,43-28618-S
is obvious that 	12-13367-S
is obvious to everyone	12-25246-S
is of wide benefit 成语 saw	66-57782-S
is off	27-21200-S
is on one s mind	6-46755-S,6-49335-S
is only possible with diligence	34-32835-S
is openly voiced	24-63809-S,24-64159-S
is or isn t	31-37730-B,31-37810-B
is othewise perfect	51-1654-S
is out	62-20413-S
is over	1-63029-S,62-48136-S
is oversubscribed	60-24794-S,60-24871-S
is paying a visit	32-24712-S
is power	45-64342-S
is precious	20-31887-S
is precious in war	8-2664-S
is precisely or exactly as stated	21-9715-S
is prepared 成语 saw	45-47760-S
is progfitable 成语 saw	65-31013-S
is prosperous and the people live in peace	15-11308-S
is proverbially three times its radius	13-10784-S
is quiet	32-8741-S
is ready	65-8348-S
is ready etc	48-17869-S
is realized	16-52920-S
is reasonable to say that 	27-63045-S
is red dongfanghong	33-19288-S
is red 東方紅 东方红	29-64167-S
is reported	29-23754-S
is reported as 	29-23683-B
is reported that	29-24117-S
is required for a meal	64-6462-S
is required in return	61-26637-S
is required 成语 saw	16-59492-S
is responsible for completing	10-14586-S,10-14710-S
is revealed 成语 saw	45-43737-S
is right	17-48022-S,29-24599-S,32-44290-S,48-19242-S,60-13634-S
is right and act courageously 成语 saw	57-30610-S
is right and wrong 成语 saw	41-39989-S
is right or wrong	70-11362-S
is ripe	43-8964-S
is ripe to settle accounts	47-14532-S
is said	6-39978-S,29-24718-S,58-16150-S
is said and done	9-9555-S,35-54520-S,39-38702-S,43-55088-S,47-44284-S,49-36490-S
is said during a conversation	1-7612-S
is said that	29-24937-S
is self evident	2-29084-S
is set	49-21870-S
is short	20-57125-S
is slightly sour and astringent	35-15119-S
is so familiar one can do it with one s hand tied behind one s back	69-49464-S
is so poor	55-20034-S
is someone there	32-29640-S
is spoken about it	71-37209-S
is still	68-54634-S
is still unclear 	45-16626-S
is strength revolutionary slogan and popular song of 1943	15-28946-S
is sure to fail	69-36642-S
is sure to obtain	47-43010-S,47-43294-S
is swollen	26-48362-S
is taboo	44-55024-S
is taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
is terrified by the moon	13-1091-S
is that so	13-43941-S
is the case	12-16433-S
is the fashion to	53-22708-S
is the god of the people 成语 saw	36-19315-S
is the key to the past	42-49700-S
is the mother of success proverb	17-65717-S
is the number one productive force from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
is the sincerest form of respect	25-4160-S
is the sole criterion for judging truth item from deng xiaoping theory	20-15514-S
is there	24-33952-S
is there for all to see	32-36896-B,32-37053-B
is thicker than water	56-27146-S
is thinking	25-25890-S
is thus clear	12-16433-S
is tightly rolled up	55-6896-S
is tired and withdraws	63-6163-S
is to abet	18-40105-S
is to be treasured	1-6909-S
is to know one s ignorance the book of rites 禮記 礼记	19-18527-S
is to nurture an evildoer 成语 saw	18-40181-S
is to say	3-21588-S
is told	52-1666-S
is too bizarre	40-49341-S
is too deceitful	8-369-S
is too late	52-60441-S
is treated	62-35623-S
is true	45-26779-S,58-20384-S
is true and what is fake	19-16033-S
is true and what is false	55-51276-S
is truly 	45-42729-S
is turning a grindstone	25-63967-S
is under siege	8-2245-S
is under way	44-53683-S
is unfamiliar	4-14639-S
is unfamiliar or not yet studied	43-19956-S,43-29555-S,43-29785-S
is unfavorable 成语 saw	31-41957-S
is unfit to drink	25-22170-S
is up	16-38519-S,37-9879-S
is vanished like the wind	23-61825-S
is very simple	11-31168-S
is vital for our bodies to function aristotle 	43-18976-S
is wandering	60-12826-S,60-12898-S,60-36014-S
is weak	9-44949-S
is well suited	45-31947-S
is what you get wysiwyg	26-29765-S
is willing but the flesh is weak	9-44949-S
is worse than his bite	67-22549-S
is worse than useless in practice cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-S
is worth an ounce of gold 俗谚 common saying	1-6909-S
is worthless	55-52848-S
is wretched	22-63768-S
is wrong	1-14500-S
is wrong after insisting it is right	32-44290-S
is wrong should be	48-13836-S
is your name	59-42419-S
isaac newton 1642 1727	41-49376-S,53-48614-S
isaac son of abraham	4-37534-B
isaiah	4-38928-S,5-25071-B,32-3585-S
isaiah catholic transliteration	5-24986-B
isallobar line of equal pressure gradient	48-19315-B
isatis indigotica indigo woad plant	54-14237-B
isatis indigotica used in traditional chinese medicine	33-31149-S
isatis tinctoria woad	54-29425-B
iscariot with his 30 pieces of silver in matthew 27 7	56-27338-S
isdn	16-817-S,30-17072-B,30-17210-B,49-63673-B
ishihara jintarō 1932 	46-4433-B
isinglass	46-9844-S,70-47081-B
islam	4-19744-S,4-19803-S,4-49079-B,4-49212-B,36-13973-S,43-10512-S,62-59448-S,65-65973-S,71-11673-S
islamabad capital of pakistan	4-49127-B
islamic	38-64015-B
islamic association	2-53940-S
islamic calendar introduced to yuan china by jamal al din 紮馬剌丁 扎马剌丁	54-45055-B
islamic clergyman	66-12172-S
islamic conference	4-49272-S
islamic empire formed after the death of the prophet mohammed 穆罕默德 in 632	13-40703-S
islamic faith	14-55784-B
islamic group	45-40437-S
islamic jihad palestinian armed faction	4-49395-B
islamic minority living across china	14-56113-S
islamic movement etim	33-22547-S
islamic mythology	35-58882-S
islamic scripture	12-5185-S,12-16043-S
islamic version of abraham 亞伯拉罕 亚伯拉罕	31-27342-S
island	2-82443-S,4-8820-S,10-70449-S,11-10525-S,11-10703-S,12-20792-S,16-40513-S,17-16572-S,18-52195-S,19-57478-S,20-57790-S,21-6006-S,21-29726-S,21-36092-S,21-38644-S,21-38710-S,21-40357-B,22-6785-S,22-15190-S,22-25386-S,22-65803-S,23-31993-S,24-15008-S,25-34522-S,25-34596-S,30-39204-S,31-18419-S,32-14161-S,32-14289-S,32-63150-S,35-15213-S,35-15341-S,37-13919-S,37-62884-B,38-16439-S,38-18214-B,39-19851-S,40-9398-S,40-20774-S,43-9482-S,46-42408-S,47-15594-S,49-19667-S,50-2357-S,50-57816-S,50-57872-S,51-44791-S,53-33374-S,54-17442-S,55-39143-S,56-31302-S,57-22781-S,58-49706-S,64-46857-S,64-46972-S,64-47116-S,64-47283-S,65-54794-S,66-6135-S,66-6383-S,67-43339-S,69-27171-S,69-38487-S
island and mainland	43-7744-S
island and us military base in the indian ocean	61-51021-S
island arc geol 	51-10865-B
island effect i e large city centers are hotter	41-18566-S
island i e large city centers are hotter	15-61983-S,41-18485-S
island in aegean	9-67489-S,9-67572-S
island in bohai sea 渤海 off lüshun 旅順 旅顺 on the tip of the liaoning peninsula	55-59737-S
island in carribean sea	49-16991-S
island in eastern sea	55-7529-S
island in indian ocean	43-49365-S
island in indonesia	14-2117-S,22-4179-S,22-4237-S
island in shantou prefecture 汕頭 汕头	11-1590-S
island in south korea	40-9522-S
island in southwest pacific	30-32169-S
island in the aegean sea	34-6519-S
island in the heilongjiang or amur river	17-26572-S,29-14233-S,71-31920-S
island in the philippines	34-19365-S
island in the south china sea	71-18556-S
island in the yellow sea	9-41284-S
island including haiti and the dominican republic	4-48873-S
island nation	21-40386-B
island of bali	22-9480-B,22-9899-B
island of borneo	9-59411-S
island of indonesia	41-36983-S,41-37104-S
island province in south china	38-17063-S,38-17178-S
island viper gloydius shedaoensis	55-59876-S,71-31824-S
islands	3-64374-S,8-66607-S,9-56056-S,9-58798-S,9-60129-S,10-36525-S,10-36612-S,10-68590-S,11-354-S,11-412-S,12-41194-S,16-1517-S,19-33286-S,19-33467-S,21-6641-S,21-40433-B,22-22238-S,22-65882-S,30-41106-S,37-32978-S,38-18666-S,40-1741-S,40-1797-S,42-57362-S,47-2851-S,49-26306-S,49-27520-S,51-6499-S,51-10803-S,53-33099-S,53-33231-S,54-3153-S,55-41935-S,55-42027-S,55-42130-S,57-19256-S,64-19797-S,65-37368-S,67-9597-S,67-42379-S,69-37437-S,69-40005-S,69-40542-S,69-40793-S
islands also known as falkland islands	69-40005-S
islands between taiwan and okinawa administered by japan	64-19918-S
islands by hainan	57-13694-S
islands chain between kamchatka and hokkaido	10-48863-S,10-49057-S,23-204-S
islands ecuador	9-56158-S
islands in eastern sea	30-61348-S
islands in pacific	69-43587-S
islands in southwest pacific	26-29467-S
islands incl okinawa	38-4916-S
islands japanese name for diaoyu islands	21-6641-S
islands of japan	14-47457-S
islands off fujian	69-40486-S
islands off the fujian coast	64-16882-S,64-16961-S
islands trailing 2250 km southwest of alaska almost down to kamtchatka	66-9774-S
islands under japanese administration	42-57362-S
isle	20-63632-B
isles	1-72399-S
islet	15-54305-B,21-49129-B,37-18037-B,38-66622-B,66-34638-B
ism	3-7234-B,13-54577-B,25-17103-B
isn t	2-48077-S,31-37730-S,31-37810-S,54-24002-S
isn t everything	64-16697-S
isn t that so	2-14563-B
isn t worth it	1-71998-S
iso	15-17311-B
isoalloxazine name of organic chemical	43-60648-B
isobar	12-52493-S
isobar line of equal pressure	48-18216-B
isogamete	12-46287-B
isogamy	12-52427-B
isolate	5-13741-B,19-13343-B,49-47493-S,66-41111-S
isolated	19-13343-B,22-55642-B,40-54041-B,49-26044-B
isolated and stubborn	1-8894-B
isolated and without help	19-13391-B,19-14020-B
isolated case	1-65339-S
isolated details	12-8499-S
isolated example	41-55884-B
isolated from the world	2-42702-B,66-40679-B
isolated region	19-13010-B
isolation	14-42338-S
isoleucine ile	43-60280-B
isomer	12-45856-B,43-62082-B
isomer fatty acid from hydrogenated oil	11-47741-S
isomers in organic chemistry	11-47670-S,68-23749-S
isometric	5-40686-B
isometry	5-40759-S
isomorphism	12-46228-B
isoperimetric	48-18004-B
isoperimetric inequality	48-18053-S
isoprene	43-61539-B
isoprene rubber	43-61599-B
isoroku 1884 1943	21-29933-S
isotope	12-17163-S,12-45660-B,29-49885-S,56-54816-S,63-61034-S,63-61105-S
isotopic separation	12-45712-B
isp	14-61191-B
israel	4-35588-S,4-38565-B,4-38685-S,8-29788-S,38-20806-S,51-42009-S,65-22502-S,66-55678-S
israel and egypt	17-34511-S
israel and her arab neighbors	7-67631-S,60-4870-S
israel egypt	4-36634-B
israel national security service	61-33295-S
israel syria	4-37588-B
israeli	4-38614-B
israeli port	66-55626-S
israeli soldiers	4-39186-B
israelite	4-38614-B,22-19669-B
issac name	5-25129-B
issue	6-14557-S,6-57381-S,8-5239-S,9-35763-S,13-63299-B,14-63603-B,15-22270-S,16-516-S,19-23521-S,19-23521-S,26-40322-S,28-36446-S,28-37216-S,30-9380-B,32-67437-S,41-8618-S,41-62314-S,44-23325-S,44-25775-S,44-26230-S,44-28686-S,44-33455-B,44-33738-S,48-28499-S,49-50978-S,52-10768-S,58-22389-S,58-34950-B,61-53301-S,62-18478-S,63-48930-S,64-63-S,68-31807-B,68-31874-S,68-31947-S,68-32056-B,69-22343-S,69-23012-S
issue a declaration	44-33899-S
issue a document	48-40576-S
