wei3 xiong2	40-50156-S
wei4 liao3	32-56000-B
wei4 liao4	58-36552-S
wei4 liu4	15-32492-S
wei4 lun4 wen2	19-16850-S
wei4 mei3 si1 jiu3	13-15748-B
wei4 mian3	32-56503-B,56-37092-B
wei4 ming4	45-26684-S
wei4 neng2	32-59161-B
wei4 pin3	58-36487-S
wei4 pu3	19-30990-S
wei4 qi4	67-25095-S
wei4 qian1 zi4 zhe3	32-58841-B
wei4 qie1 xiang4 liang4	14-16838-S
wei4 qu3	32-57403-B
wei4 qu3 qi1	32-57463-B
wei4 r5	4-9728-S,20-48035-S,60-10611-S,60-35558-S
wei4 rou4 zhi1	58-36706-S
wei4 shan1 jie2 ban3	32-56708-B
wei4 shen1	38-34571-S
wei4 shen2 me5	40-32055-B,40-32960-B
wei4 shen4 nong2	40-24183-S
wei4 sheng1	5-52832-S,7-56340-S,56-37908-B
wei4 sheng1 bu4	56-38392-B
wei4 sheng1 fang2 yi4	56-38521-B
wei4 sheng1 guan1 yuan2	56-37969-B
wei4 sheng1 jian1	56-38455-B
wei4 sheng1 jin1	56-38044-B
wei4 sheng1 she4 bei4	56-38316-B
wei4 sheng1 shu3	56-38105-B
wei4 sheng1 tao2 ci2	56-38598-B
wei4 sheng1 yong4 zhi3	56-38170-B
wei4 sheng1 zhi3	56-38241-B
wei4 shi2 dai4	15-34009-S
wei4 shi4	2-81412-S,56-37285-B,56-38728-B
wei4 shou4 jing1	32-56988-B
wei4 shu4	2-49356-S
wei4 shui3	39-5151-B
wei4 su4	12-17163-S,12-45660-S,12-52493-S,29-49885-S,56-54816-S
wei4 su4 fen1 li2	12-45712-S
wei4 suan1	52-16250-B
wei4 sui4	32-59210-B
wei4 suo1	43-48142-B
wei4 teng2	52-16091-B
wei4 ti2 ji2	32-58461-B
wei4 tian2 hai3	48-57976-S
wei4 ting1 zhong4	12-28335-S
wei4 tong4	52-16204-B
wei4 tu2	4-66419-B
wei4 wan2 cheng2	32-57718-B
wei4 wang2	62-52905-S
wei4 wang2 ren2	32-56080-B
wei4 wang3 lu4	30-17210-S,30-20194-S
wei4 wang3 luo4	49-63673-S
wei4 wei2	55-11417-B
wei4 wen2	32-2964-S,51-57206-S
wei4 wen4	25-51534-B
wei4 wu3 qi4	65-63296-S
wei4 wu3 zhuang1	32-58564-B
wei4 xi4 tong3	7-38905-S,43-6504-S,56-37661-S
wei4 xiang1 tou2	53-16426-S
wei4 xiang4 liang4	14-16928-S
wei4 xin4 hao4	30-20124-S
wei4 xing1	4-17160-S,36-30739-S,49-17678-S,56-37398-B,57-43056-S,62-7590-S
wei4 xing1 cheng2	56-37583-B
wei4 xing1 dao3 hang2 xi4 tong3	7-39609-S
wei4 xing1 dian4 shi4	56-37772-B
wei4 xing1 ding4 wei4 xi4 tong3	56-37661-B
wei4 xing1 tu2	56-37450-B
wei4 xing1 tu2 xiang4	56-37510-B
wei4 yan2	52-16048-B
wei4 yang1	32-57318-B
wei4 yang2	32-59120-B
wei4 yang3	36-3540-S,69-18699-B
wei4 ye4	52-16002-B
wei4 yi1	40-24412-S,56-10659-S
wei4 yi2	4-66720-B
wei4 yi3 dai4	55-50775-S
wei4 ying2 he2 yue1	17-34511-S
wei4 you3	9-20489-S,32-2844-S
wei4 you3 de5	9-20559-S
wei4 yu2	4-66558-B
wei4 yu3	58-52281-B
wei4 yu3 chou2 mou2	32-59309-B
wei4 yuan2	4-66330-B,10-44077-S,10-48146-S
wei4 yuan2 yi3 tai4 wang3 luo4	10-44140-S
wei4 yuan2 yi3 tai4 wang3 luo4 lian2 meng2	10-44256-S
wei4 yuan2 zu3	4-66368-B
wei4 zhao3 dao4	32-58297-B
wei4 zhe2 xian4	32-58392-B
wei4 zhe3	28-2919-S
wei4 zhe5	2-10441-S,25-28597-S
wei4 zhi1	32-58739-B,58-36646-S
wei4 zhi1 fu2 wu4 qi4	23-12946-S
wei4 zhi1 shu4	32-58780-B
wei4 zhi4	15-16123-S,32-60955-S,64-26714-S
wei4 zhi4 ke3 fou1	32-59024-B
wei4 zhi4 xiao4 ying4	4-66826-B
wei4 zhi5	4-66774-B,6-17396-S,67-38151-S
wei4 zhu3 yi4	32-60852-S
wei4 zi5	4-66467-B
wei5	52-49844-S
wen	1-14325-S,1-45579-S,2-806-S,2-1747-S,2-9764-S,2-22757-S,2-25579-S,2-72138-S,3-6837-S,3-45085-S,3-51832-S,4-10214-S,4-22245-S,4-65964-S,4-66051-S,4-68368-S,5-7087-S,5-32267-S,5-37650-S,5-43280-S,5-47922-S,5-64954-S,6-38994-S,7-118-S,7-16767-S,7-36896-S,7-39281-S,7-60170-S,8-29866-S,8-64111-B,9-20103-S,9-41111-S,9-57944-S,11-8882-S,11-10353-S,11-11092-S,11-20222-S,11-33318-S,11-45730-S,11-54824-S,12-2290-S,12-20391-S,13-6761-B,13-8255-S,13-10096-B,13-28185-S,13-62452-B,14-49300-S,14-55911-S,15-1826-S,15-19258-S,15-60417-S,16-48170-S,17-47315-S,18-1489-S,18-8875-S,19-13786-S,19-16850-S,19-17261-S,19-21091-S,19-31813-S,19-56360-S,20-20916-S,20-44933-S,22-3757-S,22-20039-S,22-21757-S,22-29127-S,22-31696-S,22-38684-S,22-43731-S,23-26720-S,23-28977-S,24-4508-S,24-8318-S,24-27032-S,24-67643-S,25-33035-S,25-46988-S,25-51534-S,26-9999-S,26-29570-S,26-29869-S,26-64943-B,26-65795-S,27-20707-S,27-50559-S,27-60931-S,27-63216-S,28-25374-S,28-25713-S,28-38230-S,28-61572-B,29-16065-S,29-24876-S,30-497-S,30-8414-S,30-25365-B,30-30985-S,30-32918-S,30-40774-S,30-54060-S,31-7134-S,31-9426-S,31-24015-S,31-40793-S,31-59640-S,32-2964-S,32-31582-S,32-35262-S,32-48019-S,32-64147-S,33-18297-S,33-45711-S,34-4395-S,34-14424-S,34-14859-S,34-17416-S,34-56568-S,35-9332-S,35-27963-S,35-34776-S,35-36906-S,36-5648-S,36-16582-S,36-29013-S,36-41244-S,37-5033-S,37-7204-S,37-31926-S,37-40935-S,37-46939-S,39-19358-B,39-49662-S,39-57789-S,42-33629-S,42-35236-S,42-35975-S,42-37493-B,42-43810-S,43-7468-B,43-42322-S,43-61823-S,44-3863-S,44-17954-B,44-19377-S,44-27087-S,44-39498-S,44-46332-S,45-1277-S,45-10618-S,45-19833-S,46-28454-S,47-9812-S,47-40993-B,47-41463-B,47-63006-S,48-18979-S,48-20560-S,48-21628-S,48-38991-S,48-41671-S,48-59209-S,49-14386-B,49-14566-B,49-58927-S,50-23761-S,50-30094-S,50-37304-S,50-38650-S,50-53210-S,50-58647-S,50-61239-S,51-37424-S,51-56383-B,51-57206-S,51-67318-S,52-1213-S,52-1335-S,52-27997-S,52-56490-S,53-1402-S,53-3894-S,53-16095-S,53-24599-S,53-59527-S,54-3568-S,54-24271-S,54-34101-S,54-58287-S,54-63322-S,55-24901-S,55-30969-S,55-52633-S,55-57681-B,56-14536-S,56-54471-S,56-54569-S,57-17664-S,57-20550-S,57-27197-S,57-30720-S,57-38266-S,57-60933-S,58-945-S,58-12108-S,58-25663-S,58-31989-S,58-34449-S,58-42573-S,58-44338-S,59-2711-S,59-6702-S,59-9227-S,59-26438-B,59-59775-S,60-17526-S,60-26729-S,60-27064-S,60-30592-S,61-19748-B,61-20192-B,61-24943-S,61-56577-S,62-33391-S,62-44078-S,62-54485-S,62-65455-S,63-48742-S,63-53299-S,63-59529-S,63-61716-S,64-6842-S,64-10649-S,64-31884-S,65-804-S,65-38724-S,65-50367-B,65-50745-B,66-3070-S,66-12072-S,66-32759-S,67-4886-S,67-13320-S,67-17673-B,68-12332-S,68-17495-S,68-38439-S,68-49168-S,68-62895-S,69-20682-S,69-32334-S,69-32787-S,70-8006-S,70-17400-S,70-37021-S,70-40841-S,70-46007-B,70-46542-B,71-37209-S
wen Da xue	69-26806-S
wen Hai	22-25442-S
wen Mei guo	58-1090-S
wen Wang	25-17795-S
wen Zhou kan	30-54319-S,30-55278-S
wen ai	39-23096-B
wen an	13-62691-B
wen ban	2-72277-S
wen bao	39-23292-B
wen ben	30-28816-B,60-21083-S
wen ben biao ji yu yan	60-21389-S
wen ben chuan shu xie ding	60-21138-S
wen ben chuan song xie yi	60-21263-S
wen bi	30-30262-B
wen bi shi	43-61942-S
wen bian	47-41507-B
wen biao	8-66950-S,29-35066-S,39-22090-B,41-18209-S,70-8147-S
wen bu	47-43239-B
wen bu qu	8-53913-S
wen bu ru yi jian	44-55966-S
wen bu sheng	30-31290-B
wen bu wen	2-25579-S
wen cao sheng quan	47-43080-B
wen ceng	16-27175-S,59-10340-S
wen cha	39-20815-B
wen chang yu	30-28370-B
wen che	61-20221-B
wen chu	29-54775-S,30-55137-S,51-56769-B
wen chu ban zong shu	30-54170-S
wen chuan tong xun she	15-16789-S
wen chuang	39-21210-B
wen chuang wai shi	7-47401-S
wen chui	51-33463-S
wen chui shi	51-33522-S
wen cun	39-19979-B
wen da	13-62928-B,47-42888-S,51-57506-B
wen dai	10-34258-S,39-21162-B
wen dai ci	44-3957-S
wen dan wei	17-47416-S
wen dang	30-28862-B,47-43366-B
wen dao	13-63251-B,22-25386-S,51-56854-B
wen de	66-55736-S
wen de he ke	39-21552-B
wen di	9-5303-S,20-45227-S,23-21266-S,39-49741-S,45-11228-S,58-12152-S,61-58233-S
wen di Liu heng	39-49826-S
wen di shi	11-14808-S
wen ding	2-22807-S,13-63360-B,47-42261-B
wen ding du	47-42418-B
wen ding qi liu	2-22860-S
wen ding qing zhong	13-63687-B
wen ding tang	47-42329-B
wen ding wu jia	47-42538-B
wen ding xing	47-42482-B,65-15519-S
wen ding zhong yuan	13-63511-B
wen dong wu	59-10247-S
wen du	20-51709-S,29-34998-S,38-21296-S,39-21313-B,41-18086-S,49-46499-S
wen du biao	39-21430-B
wen du ji	39-21486-B
wen du ti du	39-21357-B
wen duan zi	58-62591-S
wen dui zhao	2-79777-S
wen duo shi	11-9379-S
wen fa	2-11153-S,26-10052-S,30-29544-B
wen fa bu hui	30-54655-S,30-54737-S
wen fa yan ren	30-54819-S
wen fang shi	58-1019-S
wen fang si bao	30-28129-B
wen feng	69-50763-S
wen feng bu dong	30-31671-B,49-15396-B
wen feng er dong	51-57662-B
wen feng sang dan	51-57577-B
wen fu li	55-52717-S
wen gang	62-54554-S
wen gao	30-30090-B,30-54894-S
wen ge	30-31595-B
wen gong	59-26477-B
wen gong zuo zhe	30-54513-S
wen gu	47-41796-B
wen gu er zhi xin	39-21826-B
wen gu zhi xin	39-21725-B
wen guan	12-47846-S
wen guang bo	2-72190-S
wen gui ding	31-24075-S
wen guo jia shi yan shi	22-18780-S
wen guo ze xi	51-57365-B
wen hai tun	20-24361-S
wen hao	13-62617-B,13-62980-B
wen he	13-6794-B,39-19612-B
wen he pai	39-19721-B
wen he xing	39-19666-B
wen hou	13-62542-B,39-19541-B,47-41745-B
wen hua	3-59418-S,4-40687-S,12-2386-S,13-63129-B,25-21577-S,30-26004-B,33-18153-S,35-20777-S,53-42172-S,57-17981-S,60-39632-S,71-58777-S
wen hua chong ji	30-26459-B
wen hua chuan tong	30-26141-B
wen hua de jiao liu	30-26376-B
wen hua gong	30-26315-B
wen hua jiao liu	30-26067-B
wen hua xie hui	54-2456-S
wen hua yi chan	2-39540-S,30-26530-B
wen hua yi chan di	2-39641-S
wen hua zhang ai	30-26603-B
wen huo	47-43294-B
wen ji	23-26799-S,30-31500-B,70-8212-S
wen ji zhe	30-55213-S
wen jian	30-25626-B,35-3188-S,47-41583-B,60-20901-S,67-28349-S
wen jian ce yi	70-8057-S
wen jian chuan shu xie ding	60-20957-S
wen jian fu wu qi	30-25739-B
wen jian ge shi	30-25815-B
wen jian jia	30-25674-B
wen jian suo	7-36942-S
wen jiang	55-25494-S
wen jiang xue hai	30-29469-B
wen jiao zi	13-28961-S
wen jie	30-54591-S
wen jie zi	58-32031-S
wen jie zi zhu	58-32094-S
wen jing	4-22577-S,30-31548-B,47-43621-B
wen jing xue	4-22670-S
wen jiu meng	63-61797-S
wen ju	30-25882-B,44-4041-S
wen ju shang	30-25949-B
wen ke	30-29979-B
wen ke lao	27-23350-S
wen ke zu zi zhi qi	63-28837-S
wen kong zhi	4-24140-S,18-56285-S
wen kong zhi ceng	4-24245-S
wen lao shi	58-25719-S
wen le jian	14-9089-S
wen li	49-14630-B
wen lian	2-58971-S,30-30362-B,47-43427-B
wen liang	58-1247-S
wen liu	20-45872-S,49-14518-B
wen lu	13-63200-B,49-15196-B
wen lu:	49-15010-B
wen lu: r	49-15124-B
wen luan	9-35415-S,49-14469-B
wen mang	10-58278-S,30-29934-B
wen mei ti	30-54393-S
wen men	21-42255-S
wen ming	7-46500-S,12-2450-S,30-28452-B,41-54961-S,51-56937-B,53-26540-S,62-49230-S
wen ming he jing shen wen ming	41-54961-S
wen ming hua	30-28517-B
wen ming xia er	51-57006-B
wen na	27-23420-S,47-43010-B
wen ni ya	30-41525-S
wen nuan	14-34182-S,39-21995-B
wen ping	30-28019-B
wen ping heng	2-22935-S
wen po	47-42210-B
wen qi	24-67698-S
wen qi dong	58-34486-S
wen qiang ji	11-9483-S
wen qiang shi	11-9608-S
wen qing mo mo	39-21634-B
wen qing wu	63-59624-S
wen qu	21-42155-S
wen quan	39-22475-B
wen quan cheng	39-22542-B
wen re	39-22817-B
wen re liu	70-17450-S
wen ren	30-25447-B,51-56722-B
wen rou	39-22034-B
wen ru Tai shan	47-42076-B
wen ru jie	50-37370-S
wen ruan ni	30-36530-S
wen san bu zhi	1-4844-S
wen sen	30-42531-S
wen sen te he Ge lin na ding si	51-47289-S
wen she	2-59198-S,32-49987-S
wen she hui xue ke	4-10390-S
wen she ke	4-10497-S
wen shen	3-51918-S,30-31127-B,44-18044-B,49-15310-B
wen sheng	47-41640-B
wen sheng yi	32-46090-S
wen shi	13-62481-B,30-8459-S,30-26676-B,30-31813-B,39-20055-B,47-42693-B,49-15538-B,55-60259-S
wen shi fei qi chu cun	39-20099-B
wen shi qi ti	39-20279-B
wen shi xiao ying	39-20204-B
wen shi yan shi	22-18929-S
wen shu	30-28658-B
wen shu chu li	30-28746-B
wen shu ru fa	2-72436-S
wen shun	39-23246-B
wen si	12-22467-S,30-39325-S,49-14768-B
wen si bu dong	49-14823-B
wen si ji	54-25358-S,54-40264-S
wen si r	49-14938-B
wen suo wei wen	51-57206-B
wen tai	17-47359-S,47-42752-B,49-30160-S
wen tai li lun	47-42798-B
wen tan	30-26732-B
wen ti	1-44714-S,2-39416-S,8-5239-S,8-37116-S,13-63299-B,14-43080-S,16-516-S,17-10158-S,19-23521-S,22-30352-S,22-32093-S,31-51611-S,32-48109-S,33-56323-S,37-9259-S,57-51000-S,62-18478-S,64-63-S
wen tie	47-43504-B
wen tuo	47-42166-B
wen wang	2-59285-S,11-10106-S,30-55005-S,32-38393-S,51-4325-S
wen wen ti	22-30352-S
wen wu	26-37237-S,30-28912-B,30-29584-B
wen wu bai guan	30-28963-B
wen wu jian ding wei yuan hui	15-5708-S
wen wu ju	15-5591-S
wen wu shuang quan	30-29047-B
wen wu wei yuan hui	15-5463-S
wen xi	2-72350-S,16-48230-S,39-23044-B,51-57154-B
wen xi Mi ma	62-53762-S
wen xian	30-29648-B,54-6290-S
wen xian xue	30-29691-B
wen xin	39-23382-B
wen xin wu kui	13-62847-B
wen xin you kui	13-62764-B
wen xing	2-23012-S
wen xu	39-22780-B
wen xuan	30-31168-B
wen xuan wo jie gou	39-17334-S
wen xue	2-58697-S,4-10335-S,17-47497-S,30-27144-B,30-54458-S,36-12374-S,39-23144-B
wen xue bo shi	30-27188-B
wen xue da cheng	17-47552-S
wen xue jia	17-47644-S,30-27326-B
wen xue jiang	30-27392-B,54-7606-S,58-49970-S
wen xue shi	30-27260-B
wen xue yi shu jie lian he hui	2-58773-S
wen xun	13-63082-B,39-23446-B,51-57314-B
wen ya	30-31452-B,39-19922-B,39-23199-B,47-42029-B
wen yan	30-30934-B,55-60196-S
wen yan wen	30-30985-B
wen yi	30-30813-B,44-18003-B
wen yi zai dao	30-25497-B
wen yi zhi shi	51-56550-B
wen yin	49-15351-B
wen yu	1-34952-S
wen yun dong	12-2515-S
wen zha wen da	47-42888-B
wen zhai	30-28212-B,59-6631-S
wen zhang	17-21518-S,30-30163-B,49-14720-B,55-57752-B
wen zhe	58-1190-S
wen zhen	14-57174-S
wen zhi	30-30468-B,30-36474-S,50-18516-S
wen zhi bin bin	30-31047-B
wen zhong	47-43565-B
wen zhong ping mian	15-69165-S
wen zhu	30-30212-B
wen zhu bo	30-54098-S
wen zhu yi	4-10272-S,37-15893-S
wen zi	2-73055-S,17-26443-S,27-20782-S,27-53242-S,30-26855-B,34-29942-S,35-57630-S,38-49493-S,38-56474-S,43-42438-S,55-57712-B,56-44700-S,59-23551-S,68-37410-S
wen zi dang	30-27090-B
wen zi gai ge	30-27008-B
wen zi xue	30-26955-B
wen zi you	30-55062-S
wen zong	30-27523-B
wen zu	30-54952-S
wen zu zhi	51-58750-S
wen zuo diao yu tai	47-41835-B
wen · Hai ding	30-40858-S
wen · He ding	30-40945-S
wen1	3-51832-S,4-68368-S,5-37650-S,7-39281-S,9-41111-S,15-60417-S,19-56360-S,22-31696-S,22-38684-S,24-67643-S,31-59640-S,36-29013-S,39-19358-B,44-17954-B,48-18979-S,51-37424-S,55-24901-S,58-31989-S,59-26438-B,61-19748-B,61-20192-B,62-65455-S,63-61716-S,64-6842-S,69-32787-S,70-8006-S,70-17400-S,70-46007-B,70-46542-B
wen1 ai3	39-23096-B
wen1 bao3	39-23292-B
wen1 biao1	8-66950-S,29-35066-S,39-22090-B,41-18209-S
wen1 biao3	70-8147-S
wen1 ceng2	16-27175-S,59-10340-S
wen1 cha1	39-20815-B
wen1 che1	61-20221-B
wen1 chuang2	39-21210-B
wen1 cun2	39-19979-B
wen1 dai4	10-34258-S,39-21162-B
wen1 de2	66-55736-S
wen1 de2 he2 ke4	39-21552-B
wen1 dong4 wu4	59-10247-S
wen1 du4	20-51709-S,29-34998-S,38-21296-S,39-21313-B,41-18086-S,49-46499-S
wen1 du4 biao3	39-21430-B
wen1 du4 ji4	39-21486-B
wen1 du4 ti1 du4	39-21357-B
wen1 gong1	59-26477-B
wen1 gu4 er2 zhi1 xin1	39-21826-B
wen1 gu4 zhi1 xin1	39-21725-B
wen1 he2	39-19612-B
wen1 he2 pai4	39-19721-B
wen1 he2 xing4	39-19666-B
wen1 hou4	39-19541-B
wen1 ji4	70-8212-S
wen1 jian3 ce4 yi2	70-8057-S
wen1 jiang1	55-25494-S
wen1 jie3 zi4	58-32031-S
wen1 jie3 zi4 zhu4	58-32094-S
wen1 jiu4 meng4	63-61797-S
wen1 ke4 zu2 zi4 zhi4 qi2	63-28837-S
wen1 nuan3	39-21995-B
wen1 qi4	24-67698-S
wen1 qing2 mo4 mo4	39-21634-B
wen1 quan2	39-22475-B
wen1 quan2 cheng2	39-22542-B
wen1 re4	39-22817-B
wen1 re4 liu2	70-17450-S
wen1 rou2	39-22034-B
wen1 shen2	3-51918-S,44-18044-B
wen1 shi4	39-20055-B
wen1 shi4 fei4 qi4 chu3 cun2	39-20099-B
wen1 shi4 qi4 ti3	39-20279-B
wen1 shi4 xiao4 ying4	39-20204-B
wen1 shun4	39-23246-B
wen1 si1 ji1	54-25358-S,54-40264-S
wen1 xi2	39-23044-B
wen1 xin1	39-23382-B
wen1 xu4	39-22780-B
wen1 xue4	39-23144-B
wen1 xun4	39-23446-B
wen1 ya1	39-19922-B
wen1 ya3	39-23199-B
wen1 yi4	44-18003-B
