world economic forum wef	62-54232-S,62-54331-S
worry	5-14348-B,9-4360-S,19-27130-S,24-31104-B,24-35599-S,25-7000-B,25-8213-B,25-27395-B,25-53958-S,28-38984-B,29-22837-S,29-22916-S,29-22974-B,41-26476-S,41-63593-S,41-63899-S,42-2594-S,45-34109-S,49-2198-S,53-31131-S,54-54068-B,55-54728-B,57-54266-S,59-46851-S,65-37595-S,66-48009-S
worry about	1-74575-S,2-27535-S,25-24303-B,25-27443-B,28-19578-S,29-21369-S,68-49305-S
worry about being late	54-53988-S
worry about conditions or responsibilities	17-8188-S
worry about sth	44-29076-S
worry and dispel melancholy 成语 saw	38-30133-S
worry deeply about sth	41-63646-S
worry unduly over minor matters	30-37613-S
worry unnecessarily	32-17116-S,32-17315-S
worrying	14-4972-B,25-54015-B,29-48664-S
worse	12-49865-S,25-53456-S,32-7441-B,40-19642-S,40-19806-S,43-14967-S,59-7697-S,70-11102-S
worse by inappropriate action	27-13649-S
worse in a bad situation	67-15405-S
worse than	2-34618-S
worse than a dog or pig	59-26028-B
worse than his bite	67-22549-S
worse than useless in practice cf zhao kuo 趙括 赵括 leading an army of 400	49-21294-S
worsen	25-19613-B
worship	5-22179-S,6-21347-S,14-61034-S,18-4374-S,20-42833-B,21-41912-S,26-62739-S,27-44654-B,27-46017-S,27-46158-B,27-46771-S,30-11563-S,32-64887-S,45-60536-S,46-65278-B,47-8271-B,48-35918-S,60-40777-S
worship a god	11-39470-S
worship ancestors	46-52402-B
worship buddha	27-44799-S,41-28007-S
worship ceremony for the dead	23-27034-S
worship heaven and earth	27-45442-S
worship of foreign goods and ideas	21-42451-S
worship piously	30-11276-S
worship service	21-41968-B
worship the river first	7-4355-S
worshipped by a religious sect	30-1093-S
worshipped by fans	30-1093-S
worshipper	21-42040-B
worst	17-4218-S,17-4218-S,32-20229-B,32-20229-S,33-11667-S,33-11757-S,33-11847-S,34-39785-S,36-8681-S
worst comes to worst	17-4218-S
worst of it	12-27678-S
worst sorrow is not as bad as an uncaring heart	13-32621-S
worth	1-68967-S,2-32486-S,6-3964-S,6-4215-S,6-52957-B
worth a second look	51-37085-S
worth an ounce of gold 俗谚 common saying	1-6909-S
worth celebrating	6-4334-B
worth doing	2-6805-S,17-21195-S,17-21298-S
worth head hunting	4-9911-S,4-10590-S
worth hearing a hundred times	44-56185-B
worth it	1-71998-S,8-64983-S,8-65084-B
worth keeping	5-37073-B
worth listening to	11-64224-B
worth noting that 	6-4623-S
worth one thousand in gold 成语 saw	1-20949-S,10-51965-S
worth reading	45-39856-B
worth reading a hundred times	44-57449-S
worth seeing	45-39856-B
worth the effort	8-64873-B
worth the money spent	8-14623-S,8-15181-S
worth the trip	8-14545-S
worth the trouble	5-2860-S,5-2928-S
worth while	21-21974-B
worthless	2-22668-B,16-10185-S,16-10185-S,40-57417-B,55-52848-S,57-34947-S,57-35067-S
worthless manuscript	27-40426-S
worthless minerals mixed in with coal or ore	46-11264-S,46-11369-S
worthless part	48-62926-B
worthless person	41-11986-B,52-51463-B
worthless stuff	47-22072-B
worthless thing	30-5825-S
worthwhile	2-27385-S,8-14445-S,8-65300-B,12-36550-B,42-2306-S
worthwhile all around 成语 saw	45-18541-S,45-18691-S
worthwhile often in rhetorical questions	42-2423-B,42-2509-B
worthwhile trip	2-27385-S
worthy	12-55250-B,57-31345-S,59-58369-B,63-38485-B
worthy of	2-10536-S,20-49649-S
worthy of being afraid of	18-28296-B
worthy of congratulations	6-4334-B
worthy of respect	6-4444-B
worthy person	59-57890-B
worthy prospects 成语 saw	9-50813-S
worthy 成语 saw	30-12092-S
would appear	45-37281-S
would be better	54-25308-S
would be better 	20-19358-S
would be better to	2-3996-S,20-16690-B
would be impolite	11-28067-S
would be normal	6-11306-S
would expect or what would be normal	6-11306-S
would have it	2-6920-S
would have thought	58-34217-S
would not hurt a fly	47-15074-B
would prefer	20-19358-B
would prefer to go without than accept shoddy option	20-19187-B
would prefer to or not to 	20-16690-S
would rather	20-16690-B,20-20459-B
would rather 	20-19358-B
would rather agree to x than y	25-16073-B
would smell as sweet	42-40891-S
would wish	9-44949-S
wound	6-43335-B,6-43607-B,9-8754-S,9-12506-S,9-34508-S,9-35266-B,9-35950-S,9-36940-S,20-32606-S,27-19607-S,44-18273-S,50-26631-S,59-31295-B,59-31295-S,60-2232-S,69-57793-S
wound e g electric generator	2-47062-S
wound to close up and heal	23-50902-S
wounded	6-44648-S,6-44807-S,35-56832-S,59-31295-B,61-9752-S
wounded and captured	6-43494-B
wounded by an arrow 成语 saw	6-44103-S
wounded in an accident etc	11-59971-B
wounded or damaged person	6-44103-S
wounded person	6-43652-B,6-44927-B
wounded soldiers	6-45155-B
wounding complaints	62-58447-B
wounds	44-52450-S
woven	20-5346-S
woven bamboo ladle	48-4044-S
woven cloth	50-40028-B
woven cloth from caldicot	11-13288-S
woven fabric	50-14188-S
woven fabric with single colored woof but many colored warp	49-62468-B
woven fabric with single woof but colored warp	49-61894-B
woven grass mat	48-35874-S
woven in fabric	31-62771-S
woven mat	22-26908-B,55-4805-B
woven material	50-40128-B
woven silk	49-55458-S
wrack one s brains	49-48591-S
wrangle	11-69657-B,41-39886-S
wrangling	58-61262-B
wrap	10-13136-S,20-34062-S,22-22066-S,54-63810-S,57-8044-S,57-8552-S
wrap a corpse	57-3545-S
wrap and bind	56-56342-S
wrap around	29-17491-S,57-3511-B
wrap fire	49-21694-S
wrap one s arm around used to describe the girth of a tree trunk	12-34246-S
wrap round	50-45316-S
wrap sth in a bag	56-60349-S
wrap up	10-15122-B,10-17276-S,10-18370-B,20-69208-B
wrapped in cloth	10-18031-S,56-52545-S
wrapped in leaves	48-52159-S
wrapped in leaves and boiled	48-52215-S
wrapped in red as a gift	49-8543-S
wrapper	10-13136-B,10-16743-B,10-18031-S,44-64624-S
wrapping	10-16743-B,18-9605-S
wrapping paper	10-18308-B
wrappings	49-55984-S
wrath	24-51519-B
wrathful	29-5370-B
wreak havoc	52-4011-B
wreath	53-54883-B
wreathe	26-9212-B
wreck	28-65261-B,46-17186-B,47-2099-S,48-63066-S,48-63181-S
wreckage	35-64000-B
wrecker	68-46718-B
wren	71-465-S,71-501-B,71-671-S
wrench	26-55316-B,26-55362-B,49-18513-S,56-14040-B
wrestle	27-51538-S,28-53196-S,28-64004-B,34-304-S,57-46679-S,60-38819-B
wrestling	24-5558-S,28-63589-B,28-63656-S,28-64004-B,28-64058-B,45-29324-S,57-44307-B,57-44946-S
wretch	14-12922-S,38-55224-B,39-8428-B
wretched	4-66159-B,8-24790-B,22-63768-S,25-46765-B,42-11201-B
wretched looking tramp who lives by begging or stealing	44-21243-S
wretched plight	8-25101-S
wretched poverty	47-57029-B
wretched sight	25-47372-B
wretched situation	25-47228-B
wretched than apathy	13-32621-S
wretched wind and rain	68-58500-B
wriggle	56-6676-S,56-7567-B,56-20778-S,56-20923-B
wriggle as a worm	56-5497-B
wright name	59-62829-B
wright s stain used in studying blood	42-62057-B,42-62153-B
wring	26-54070-S,29-28415-B,49-48548-S
wrinkle	29-4443-B,45-1111-S,45-1277-B,45-1319-S,50-25471-B
wrinkled	45-1111-B,60-50238-B
wrinkled face of the elderly	51-34746-B
wrinkled up	45-1319-B
wrinkles	49-15010-B,49-15196-B
wrinkles of the skin	70-37021-B
wrist	26-35265-B,26-35336-B,28-6100-S,52-38773-B,52-38801-S
wrist 	26-35385-B
wrist compass	26-35440-B
wrist in traditional chinese medicine	20-31604-S,20-31707-S
wrist method of painting	55-53836-S
wrist over the radial artery where pulse is taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
wrist watch	26-36743-B
wrist watch or pocket watch	64-49171-S
writ	4-35295-B
write	5-47277-S,6-13941-S,9-35019-S,20-23367-S,28-36152-S,28-49770-S,29-16016-B,32-10485-S,37-29006-B,48-14946-S,48-17041-S,50-19552-B,50-21160-S,54-53309-S,54-53485-S,54-55844-S,62-40701-S
write a book	54-54621-S
write a book advancing one s theory 成语 saw	54-54670-S
write a footnote	58-19675-B,58-61840-B
write a letter	20-23500-S
write a letter to the authorities	1-50319-S
write a play	50-19701-S
write a poem using another poem s rhymes	35-43442-S
write about	58-44076-B
write and direct a play	50-19945-S
write as if from the mouth of sb	29-27198-S
write as substitute for sb	4-30836-S
write at a tremendous speed	18-18601-S
write back	14-54564-B
write badly	16-18840-S,16-18931-S
write characters	20-23551-S
write characters in simplified form	48-36990-S
write data in a box on a questionnaire or web form	16-21799-S
write down	9-40106-B,20-23398-S,46-27368-S,57-67370-B
write for a bit then give up	31-40189-S
write freely	5-45830-S
write from memory	71-35696-B,71-36146-S,71-36198-S,71-36393-S
write home about	2-32250-S,22-43165-S
write in a free style	28-49862-S
write in fits and starts	31-40189-S
write in the style of some author	29-27198-S
write into	61-6989-S
write off	16-12506-B,57-29381-S,64-33781-S,64-34128-S
write off at one stroke	1-16636-S
write one s first poem	65-40237-S
write or compose	48-14041-S
write or draw with a brush	28-49770-S
write out a medical prescription	65-29583-S
write the title of a book on a label	68-43145-S
write to sb	20-23901-B
write without basis	3-26689-S
write words to a tune	51-20816-S
write wrong character	44-35806-S
writer	4-30836-S,5-6980-B,5-7300-S,5-8751-B,9-42526-S,12-5589-S,30-27326-B,43-8162-S,48-15373-S,48-15791-S,56-49417-S
writer from japanese mangaka	39-53030-S
writer or artist	7-42451-S
writer ouyang xiu 欧阳修	24-28215-S
writes	48-14170-S
writing	4-53731-S,7-4599-S,7-52488-S,9-953-S,12-57711-S,17-30874-S,18-20998-S,19-4690-S,20-1985-S,20-23445-B,20-23659-S,20-23731-S,21-24292-S,21-24292-S,24-1683-S,24-45307-S,27-11522-S,27-39702-S,27-40010-S,27-40143-S,27-53092-S,29-24320-S,29-66257-S,30-25365-B,30-26855-B,30-30262-B,31-9875-S,31-24075-S,32-5401-S,32-12385-S,34-36433-B,38-35409-S,41-4987-S,42-45428-S,43-50974-S,44-39325-S,45-36126-S,47-14119-S,48-8302-S,48-14707-B,48-15438-S,48-15718-S,48-15845-S,48-15964-S,48-16567-S,48-16736-S,48-16835-S,48-31881-S,48-31965-S,48-32148-B,48-41567-B,50-37370-S,50-44933-S,50-45125-S,53-20047-S,54-53792-S,54-55844-B,54-56302-S,55-45775-S,58-6692-S,58-25359-S,59-2759-S,60-12458-S,60-49385-S,60-53455-S,61-6752-S,62-22510-S,65-28766-S,66-3070-S,66-44776-S,66-57324-S,66-61619-S,67-6477-S,70-6328-S,70-8726-S,70-9788-S,70-50856-S,71-39964-S
writing a book 成语 saw	4-40149-S
writing around 1900	70-54425-S
writing as opposed to block capitals	62-20844-S
writing brush	16-29255-B,36-14898-B,48-14041-B,48-15290-S,48-16736-S
writing brush of weasel bristle	42-10255-B
writing brush or pencil	48-14813-S
writing by rustic or illiterate	43-61942-S
writing carved on rocks	21-49789-S
writing chinese character	48-16962-S
writing desk	20-23603-B
writing for taking dictation from beyond the grave	26-56230-S
writing from the western han former han	38-47146-S
writing humble expr 	27-40296-S,27-40426-S
writing in seal script	48-31522-B
writing instrument	18-1320-S
writing into a literary gem	71-41263-S,71-42567-S
writing laws	31-24015-S
writing materials before paper	48-2561-S
writing midway	61-14783-S
writing numbers to a base	62-28709-S
writing numbers to base 2	3-42499-S
writing on the blackboard	33-30021-B
writing or painting	61-14783-S
writing or speech	23-46757-S
writing paper	5-46029-B,19-55266-S
writing practice	4-45729-S
writing sb s errors or misconceptions	69-47057-S
writing skill	48-17041-B
writing slips in ancient times joined together to form whole scrolls	48-3099-S
writing strips arch 	32-11403-S
writing style	30-26855-B,66-51705-S
writing symbol	32-10604-B
writing system	27-53242-S,30-27008-S,56-44700-S
writing tablet	32-11118-B,36-40793-S
writing the great seal script 大篆	12-22222-S
writing tone	48-16510-S
writing with fancy phrases	16-6537-S
writing with literary allusions	61-24943-S
writing 古文	24-13666-S
writings	16-44349-S,51-23026-S,54-53485-B,66-62548-S,66-62664-S
writings or legends	12-66253-S
writings 成语 saw	65-9381-S
written	13-64573-S,16-48170-S,26-9999-B,48-17041-B,54-8547-S,57-66192-B
written account	57-67370-B
written across one s face	24-52432-S,24-52537-S
written and mispronounced character	44-38335-S
written article	46-19461-S
written article explaining a moral	30-25497-B
written at the end of letter from sb of lower status to higher status	30-11777-S
written authorization	32-12454-B
written calculation	48-15718-B
written character	9-3636-S
written charge in court in former times	20-54513-B
written charm	48-5931-B
written chinese	26-12014-S
written comments from higher authorities	26-57311-B
written composition	61-36855-B
written confirmation of a debt	5-65010-B,5-65097-B
written description of emotions	26-67216-S
written down from memory	61-59555-S
written evidence	51-34439-S
written exam	45-9841-S
written examination	48-16411-B
written form	48-17041-S
written form for the same word	43-61823-S
written guarantee etc	32-12385-B
written guī jīng piàn 硅晶片	46-11579-S
written guī piàn 硅片	46-11804-S
written history	32-5401-S
written in a forceful hand	7-24933-B
written in black and white	44-43840-B
written in blood	56-24227-S
written in one s own blood	56-25322-S
written in plain language	22-41826-B
written instructions	26-56782-S
written invitation	58-42849-B,58-42961-B
written items chapter	48-31881-S
written jesus christ 耶穌基督 耶稣基督	15-70441-S
written jiao1 mu4 膠木 胶木	67-31060-S
written language	30-26855-B,32-10673-B,32-12549-B,55-30969-S,60-26729-S,60-27064-S
written message	61-22753-S
written nai3 氬	36-24494-S
written permission	32-12454-B
written pledge	19-5247-B
written polemics	48-15079-B
written r y in current slang	4-7915-B
written style	44-2218-S
written summary of a meeting	49-3358-B
written to follow a line of argument	68-26054-B
written translation	48-16642-B
written vertically down the sides of a doorway	20-54845-S
written works	20-23445-B
written xian1 氙	36-31968-S
written zào jiá 皂莢 皂荚	34-12897-S
written 三疊紀 三叠纪	1-43159-S
written 中南半島 中南半岛	2-51862-S,11-19831-S
written 乙醇	63-40405-S
written 二惡英 二恶英	3-35158-S
written 二疊紀 二叠纪	3-41884-S
written 五瘟神	3-55948-S
written 五胡十六國 五胡十六国	10-44624-S
written 交流	3-71963-S
written 人盡其才 人尽其才	4-14927-S
written 伊麗莎白 伊丽莎白	4-51197-S,4-51299-S
written 伽羅瓦理論 伽罗瓦理论	4-63941-S
written 來復槍 来复枪	5-18723-S
written 來福槍 来福枪	5-17932-S
written 供血	28-4324-S
written 保鏢 保镖	5-40606-S
written 倫敦 伦敦	14-45072-S
written 僱員 雇员	66-60766-S
written 元勳 元勋	6-61125-S
written 充飢 充饥	7-810-S
written 光宗耀祖	34-40912-S
written 全球暖化 in taiwan	7-39804-B
written 全球變暖 全球变暖 in prc	7-39069-B
written 公升	10-52837-S
written 冤孽	8-14769-S
written 凄婉	8-24546-S
written 凌夷	66-30672-S
written 前列腺	29-35161-S
written 加州理工學院 加州理工学院	9-54406-S
written 動盪 动荡	10-1868-S
written 北京週報 北京周报	10-25805-S
written 千里送鵝毛 千里送鹅毛	10-51192-S
written 周轉 周转	62-27973-S
written 周邊 周边	62-28248-S
written 呫嗶 呫哔	13-15284-S
written 哈博羅內 哈博罗内	14-28259-S
written 哈密瓜	13-40128-S
written 哪裡 哪里	13-45537-S
written 哭喪著臉 哭丧着脸	13-46279-S
written 哺乳動物 哺乳动物	13-48354-S
written 啦啦隊 啦啦队	27-23084-S
written 嘆息 叹息	35-26802-S
written 嘎嘎	13-16541-S
written 圓珠筆 圆珠笔	11-32539-S
written 坐落	22-64991-S
written 垃圾郵件 垃圾邮件	15-56285-S
written 多米尼加 多米尼加	16-58480-S,16-61690-S
written 多采	16-57827-S
written 奇數 奇数	14-18423-S
written 孔子	19-2670-S
written 孟加拉	34-39670-S
written 孫子兵法 孙子兵法	19-15636-S
written 定製 定制	57-57503-S
written 家俱	6-29954-S
written 尤克里里琴	40-34991-S
written 尿素	52-35386-S
written 巴厘	21-38710-S
written 座標 坐标	22-64630-S
written 座標 座标	22-64550-S
written 座落	15-51590-S
written 弧度	23-37127-S,23-37184-S
written 彙編 汇编	10-38994-S
written 微安培	24-18635-S
written 急躁	24-58064-S
written 情急之下	25-13805-S
written 托辭 托辞	57-65614-S
written 抱頭鼠竄 抱头鼠窜	27-14086-S
written 指手畫腳 指手画脚	27-58611-S
written 振振有詞 振振有词	27-70599-S
written 揣在懷裡 揣在怀里	28-51877-S
written 搋在懷裡 搋在怀里	28-47788-S
written 搜索引擎	28-56008-S
written 摻和 掺和	29-33325-S
written 摻雜 掺杂	29-33487-S
written 撐桿跳 撑杆跳	29-5863-S
written 撐桿跳高 撑杆跳高	29-5957-S
written 數據 数据	30-21941-S
written 數週 数周	30-20569-S
written 文風不動 文风不动	49-15396-S
written 新聞周刊 新闻周刊	30-55278-S
written 旋渦 旋涡	39-51993-S
written 日圓 日圆	31-5265-S
written 星相圖 星相图	31-31779-S
written 曠古未有 旷古未有	32-2964-S
written 曲	71-13276-S
written 書札 书札	32-10016-S
written 曼哈頓 曼哈顿	32-14161-S
written 曼徹斯特 曼彻斯特	32-14058-S
written 服輸 服输	4-54767-S
written 杜鵑花 杜鹃花	33-10466-S
written 杜鵑鳥 杜鹃鸟	33-10466-S
written 松石	33-27386-S
written 格式塔	33-66177-S
written 桅杆	34-3877-S
written 梅雨	67-41470-S
written 榴槤 榴梿	34-42559-S
written 榴槤果 榴梿果	34-42664-S
written 榴蓮 榴莲	34-42363-S
written 榴蓮果 榴莲果	34-42468-S
written 機槍 机枪	35-5768-S
written 歧視 歧视	21-34372-S
written 歸於 归于	35-53228-S
written 死不瞑目	35-55881-S
written 比索 bi3 suo3	27-11742-S
written 氨基葡萄糖	54-58746-S
written 氨基酸	52-26327-S
written 沒精打彩 没精打彩	37-11464-S
written 沒藥 没药	32-60139-S
written 洛磯山 洛矶山	37-55776-S
written 浮屠	38-13080-S
written 涂	21-46632-S
written 涂山	21-46688-S
written 混蛋 混蛋	39-8428-S
written 清脆 清脆	61-11836-S
written 渾 浑	38-52788-S
written 渾水摸魚 浑水摸鱼	38-54113-S
written 滑冰	39-17720-S
written 漂泊	68-60710-S
written 漂流	68-60802-S
written 漂浮	68-60888-S
written 激盪 激荡	40-5693-S
written 炮兵	46-16037-S
written 炮轟	46-16371-S
written 烏克麗麗	21-7812-S
written 熒光屏 荧光屏	56-12603-S
written 爬行動物 爬行动物	41-37887-S
written 爬行類 爬行类	41-37686-S
written 特徵值 特征值	32-63715-S
written 特徵向量 特征向量	32-63813-S
written 玄狐	64-27836-S
written 珍珠	45-43360-S
written 生米煮成熟飯 生米煮成熟饭	43-28366-S
written 申斥	43-44762-S
written 當舖 当铺	43-68216-S
written 當鋪 当铺	43-67983-S
written 疾風勁草 疾风劲草	44-7881-S
written 盡快 尽快	6-56173-S
written 直升機 直升机	45-22389-S
written 直流	14-17643-S
written 真珠	42-43276-S
written 眾所周知 众所周知	45-53282-S
written 睪酮 睾酮	45-57600-S
written 矽末病	46-4134-S,46-6616-S,46-6768-S,46-11677-S,46-21918-S,46-39103-S
written 矽肺病	71-32451-S
written 社論 社论	46-50361-S
written 神經元 神经元	46-59235-S
written 積穀防飢 积谷防饥	47-40041-S
written 粘膠 粘胶	71-28390-S
written 精雕細刻 精雕细刻	48-53267-S
written 糊涂	52-21978-S
written 糊涂虫	52-22051-S
written 約翰一書 约翰一书	49-7183-S
written 約翰三書 约翰三书	49-7064-S
written 約翰二書 约翰二书	49-7550-S
written 約莫 约莫	49-5229-S
written 紋風不動 纹风不动	30-31671-S
written 結草銜環 结草衔环	49-44177-S
written 統一碼 统一码	14-16453-S,54-44141-S
written 緣分 缘分	50-19004-S
written 纍墜 累坠	50-45125-S
written 纍贅 累赘	50-44933-S
written 羅曼史 罗曼史	50-59078-S
written 聚酯	51-55279-S
written 聽小骨 听小骨	52-2202-S
written 茜草	54-13093-S
written 菸鹼 菸碱	54-38171-S
written 蕩漾 荡漾	45-14418-S
written 蝸牛 蜗牛	56-9335-S
written 血紅蛋白 血红蛋白	56-29068-S
written 衝擊波 冲击波	37-13055-S
written 託詞 托词	26-52601-S
written 質鋪 质铺	59-60831-S
written 贊同	59-14611-S
written 踺子	60-48727-S
written 輕機槍 轻机枪	61-10872-S
written 輕脆 轻脆	38-64354-S
written 辨別 辨别	61-37298-S
written 辭典 辞典	58-9232-S
written 迪斯科	44-59127-S
written 週轉金 周转金	13-14167-S
written 達賴喇嘛 达赖喇嘛	62-55396-S
written 違強陵弱 违强陵弱	62-56679-S
written 那裡 那里	63-17499-S
written 酒吧	63-39416-S
written 重機槍 重机枪	63-60867-S
written 重砲 重炮	63-62139-S
written 銀元 银元	37-52148-S,64-25702-S,64-27452-S
written 銀圓 银圆	64-25395-S
written 開發週期 开发周期	65-39358-S
written 關於 关于	65-53775-S
written 阿司匹林	66-5070-S
written 阿諾·施瓦辛格 阿诺·施瓦辛格	12-22092-S
written 陵夷	8-25848-S
written 雇用	6-52378-S
written 雨過天晴	67-15029-S
written 雷鬼	67-23766-S
written 霍金	67-43836-S
written 革蘭氏陰性 革兰氏阴性	33-67971-S
written 領導人 领导人	4-35073-S
written 鳴謝 鸣谢	64-31977-S
written 鴕鳥 鸵鸟	69-50514-S
written 鹽酸 盐酸	36-34998-S
wrong	1-14500-S,2-6288-B,2-7269-B,2-19917-S,5-60574-S,8-13548-B,8-34132-S,8-39014-S,8-41336-S,9-12562-S,20-954-B,20-37489-S,20-46470-S,23-24450-S,24-51745-S,24-51745-S,31-37910-S,31-37967-S,31-38042-S,32-4298-B,33-31753-S,37-11989-S,37-52753-S,43-43667-S,43-44630-S,44-54922-S,46-21289-S,61-68194-S,64-47626-B,65-18384-S,67-62839-B,68-45759-S,70-11362-S,71-31673-S
wrong after insisting it is right	32-44290-S
wrong based on public opinion 成语 saw	31-38042-S
wrong character	44-35806-S
wrong doesn t make a lot of difference	11-50697-S
wrong doings	15-65918-S
wrong number	26-49957-S
wrong repeated becomes right 成语 saw	47-40710-S
wrong road	35-49835-B
wrong should be	48-13836-S
wrong side	52-18854-S
wrong step causes thousand hatred 成语 saw	1-6114-S
wrong step in life	17-67840-S,60-49749-S
wrong time 成语 saw	43-18074-S
wrong turn	8-41336-S
wrong turning	8-39014-S
wrong way	61-68100-S
wrong way round back to front	5-61773-S
wrong 成语 saw	41-39989-S
wrongdoing	40-12828-B
wrongdoing with equanimity	19-22883-S
wronged	8-14445-B,18-41608-S,18-41608-S,21-19597-S,27-12969-S
wrongly	4-38004-S,14-33858-S,64-48067-S
wrongly written and mispronounced character	44-38335-B
wrongly written character	9-3636-S
wrongs	7-58035-S
wrought	64-50234-B
wrought iron	41-17014-B,64-50372-B
wry face	70-32006-B
wry mouth	14-5866-S,35-50000-B
wto	2-42233-S,7-23888-S
wto in 2003	7-23888-S
wto in doha	16-55024-S
wto world trade organization	2-41626-B,2-42418-B
wu	4-52755-S,6-60354-S,12-69194-S,12-69308-S,19-15454-S,19-15493-S,21-62621-S,35-43569-S,37-5286-S,40-34336-S,63-31490-S,65-52272-S
wu 140 60 bc	55-39976-S
wu 222 280	33-16548-S
wu 496 bc	13-1250-S,13-1328-S,65-52064-S,65-52120-S
wu an city in hebei	35-45869-S
wu and tail in chu 成语 saw	13-2280-S
wu and yue in the same boat 成语 saw	13-1745-B
wu and yue traditional rivals	13-1945-S
wu bangguo	13-2225-B
wu cheng en 1500 1582	13-584-B
wu county in jiangsu	13-1447-B
wu ding c 14th century bc	35-43618-B
wu during the three kingdoms period	33-16548-S
wu from 6th century bc	65-52176-S
wu guanzheng	13-173-B
wu han 1909 1969	13-776-B
wu is terrified by the moon	13-1091-S
wu jianren 1867 1910	13-2158-B
wu jingzi 1701 1754	13-652-B
wu kingdom during spring and autumn period	69-16668-S
wu mengchao	13-116-B
wu of han 漢武帝 汉武帝	21-63021-S
wu of the han dynasty 141 87 bc	39-50212-S
wu of zhou	13-13077-S
wu of zhou 1043	13-13008-S
wu of zhou1 overthrows tyrant zhou4 of shang	35-47974-S
wu on the changjiang river yangtze by the three gorges	21-62735-S
wu or from south china more generally	13-2063-S
wu renchen 1628 1689	12-69528-B
wu renchen 吳任臣 吴任臣	10-45456-S
wu river in hunan and guangdong	35-47347-S,35-49086-S
wu river 武水	40-16033-S,40-16119-S
wu she 522 bc	4-52863-B
wu shihuo 7th century	35-45311-B
wu shihuo 武士彟	23-53561-S
wu song	35-47306-B
wu state in south china	13-0-B
wu tingfang 1842 1922	4-52971-B
