北票 北票	10-34601-B
十干 十干	10-46715-B
十年	10-46790-S
十年 十年	10-46790-B
十幾 十几	10-46834-B
十幾個月 十几个月	10-46896-B
十成	10-46983-S
十成 十成	10-46983-B
十戒	10-47029-S
十戒 十戒	10-47029-B
十月	10-47092-S
十月 十月	10-47092-B
十月革命	10-47145-S
十月革命 十月革命	10-47145-B
十萬 十万	10-47219-B
十萬位 十万位	10-47269-B
十萬火急 十万火急	10-47375-B
十角形	10-47460-S
十角形 十角形	10-47460-B
十誡 十诫	10-47514-B
十诫	10-47514-S
十足	10-47564-S
十足 十足	10-47564-B
十边形	10-47836-S
十进位	10-47656-S
十进位法	10-47715-S
十进制	10-47784-S
十進位 十进位	10-47656-B
十進位法 十进位法	10-47715-B
十進制 十进制	10-47784-B
十邊形 十边形	10-47836-B
十項 十项	10-47890-B
十項全能 十项全能	10-47957-B
十项	10-47890-S
十项全能	10-47957-S
千	10-48026-S,68-9904-S
千 千	10-48026-B
千万	10-50179-S
千丝万缕	10-50019-S
千位	10-48058-S
千位 千位	10-48058-B
千位元	10-48146-S
千位元 千位元	10-48146-B
千克	10-48200-S
千克 千克	10-48200-B
千军万马	10-50654-S
千千万万	10-48242-S
千千萬萬 千千万万	10-48242-B
千卡	10-48337-S
千卡 千卡	10-48337-B
千变万轸	10-50420-S
千叶	10-50262-S
千叶县	10-50301-S
千吨	10-48438-S
千吨级核武器	10-48480-S
千周	10-48389-S
千周 千周	10-48389-B
千噸 千吨	10-48438-B
千噸級核武器 千吨级核武器	10-48480-B
千头万绪	10-52421-S
千奇百怪	10-48569-S
千奇百怪 千奇百怪	10-48569-B
千字節 千字节	10-48678-B
千字节	10-48678-S
千家万户	10-48731-S
千家萬戶 千家万户	10-48731-B
千层面	10-48808-S
千層面 千层面	10-48808-B
千岛列岛	10-48863-S
千岛湖	10-49000-S
千岛群岛	10-49057-S
千島列島 千岛列岛	10-48863-B
千島湖 千岛湖	10-49000-B
千島群島 千岛群岛	10-49057-B
千差万别	10-49194-S
千差萬別 千差万别	10-49194-B
千帕	10-49269-S
千帕 千帕	10-49269-B
千年	10-49318-S
千年 千年	10-49318-B
千年前	10-49364-S
千年前 千年前	10-49364-B
千斤頂 千斤顶	10-49432-B
千斤顶	10-49432-S
千方百計 千方百计	10-49504-B
千方百计	10-49504-S
千瓦	10-49579-S
千瓦 千瓦	10-49579-B
千真万确	10-49646-S
千真萬確 千真万确	10-49646-B
千碱基对	10-52662-S
千禧年	10-49771-S
千禧年 千禧年	10-49771-B
千秋万代	10-49827-S
千秋萬代 千秋万代	10-49827-B
千篇一律	10-49903-S
千篇一律 千篇一律	10-49903-B
千米	10-49976-S
千米 千米	10-49976-B
千絲萬縷 千丝万缕	10-50019-B
千經萬卷 千经万卷	10-50098-B
千经万卷	10-50098-S
千萬 千万	10-50179-B
千葉 千叶	10-50262-B
千葉縣 千叶县	10-50301-B
千裡眼 千里眼	10-50363-B
千變萬軫 千变万轸	10-50420-B
千赫	10-50498-S
千赫 千赫	10-50498-B
千赫兹	10-50541-S
千赫茲 千赫兹	10-50541-B
千足虫	10-50598-S
千足蟲 千足虫	10-50598-B
千軍萬馬 千军万马	10-50654-B
千載難逢 千载难逢	10-50849-B
千载难逢	10-50849-S
千辛万苦	10-51005-S
千辛萬苦 千辛万苦	10-51005-B
千里	10-51090-S
千里 千里	10-51090-B
千里寄鵝毛 千里寄鹅毛	10-51192-B
千里寄鹅毛	10-51192-S
千里眼	10-50363-S
千里达和多巴哥 千里達和多巴哥	10-51395-B
千里送鵝毛 千里送鹅毛	10-51499-B
千里送鹅毛	10-51499-S
千里達和多巴哥	10-51395-S
千金	10-51659-S
千金 千金	10-51659-B
千金一掷	10-51803-S
千金一擲 千金一掷	10-51803-B
千金一諾 千金一诺	10-51965-B
千金一诺	10-51965-S
千金难买	10-52099-S
千金難買 千金难买	10-52099-B
千鈞一發 千钧一发	10-52209-B
千钧一发	10-52209-S
千阳	10-52354-S
千陽 千阳	10-52354-B
千頭萬緒 千头万绪	10-52421-B
千鳥淵國家公墓 千鸟渊国家公墓	10-52554-B
千鸟渊国家公墓	10-52554-S
千鹼基對 千碱基对	10-52662-B
卄	10-52743-S
卄 卄	10-52743-B
卅	10-52773-S
卅 卅	10-52773-B
卆	10-52801-S
卆 卆	10-52801-B
升	10-52837-S,31-19686-S,66-19892-S
升 升	10-52837-B
升任	66-19925-S
升值	31-19726-S
升华	10-53686-S
升天	10-52974-S
升天 升天	10-52974-B
升学	10-53030-S
升學 升学	10-53030-B
升息	10-53096-S
升息 升息	10-53096-B
升旗	10-53154-S
升旗 升旗	10-53154-B
升旗仪式	10-53220-S
升旗儀式 升旗仪式	10-53220-B
升格	10-53297-S
升格 升格	10-53297-B
升汞	10-53349-S
升汞 升汞	10-53349-B
升空	10-53408-S
升空 升空	10-53408-B
升級 升级	10-53465-B
升結腸 升结肠	10-53581-B
升级	10-53465-S
升结肠	10-53581-S
升華 升华	10-53686-B
升调	31-19786-S
升起	10-53806-S
升起 升起	10-53806-B
升迁	10-53866-S
升遷 升迁	10-53866-B
升降	31-19897-S
升降机	31-19954-S
升高	31-20018-S
午	10-53920-S
午 午	10-53920-B
午前	10-53976-S
午前 午前	10-53976-B
午后	10-54108-S
午夜	10-54022-S
午夜 午夜	10-54022-B
午宴	10-54062-S
午宴 午宴	10-54062-B
午後 午后	10-54108-B
午覺 午觉	10-54150-B
午觉	10-54150-S
午飯 午饭	10-54204-B
午餐	10-54242-S
午餐 午餐	10-54242-B
午餐会	10-54289-S
午餐會 午餐会	10-54289-B
午饭	10-54204-S
午馬 午马	10-54341-B
午马	10-54341-S
卉	10-54379-S
卉 卉	10-54379-B
半	10-54408-S
半 半	10-54408-B
半世紀 半世纪	10-54480-B
半世纪	10-54480-S
半个	10-55042-S
半中腰	10-54536-S
半中腰 半中腰	10-54536-B
半乳糖血症	10-54597-S
半乳糖血症 半乳糖血症	10-54597-B
半人馬 半人马	10-54678-B
半人馬座 半人马座	10-54741-B
半人马	10-54678-S
半人马座	10-54741-S
半以上	10-54821-S
半以上 半以上	10-54821-B
半价	10-55085-S
半保留复制	10-54881-S
半保留複製 半保留复制	10-54881-B
半信半疑	10-54975-S
半信半疑 半信半疑	10-54975-B
半個 半个	10-55042-B
半價 半价	10-55085-B
半公开	10-55184-S
半公斤	10-55129-S
半公斤 半公斤	10-55129-B
半公開 半公开	10-55184-B
半决赛	10-58969-S
半劳动力	10-55258-S
半勞動力 半劳动力	10-55258-B
半半拉拉	10-55396-S
半半拉拉 半半拉拉	10-55396-B
半吊子	10-55471-S
半吊子 半吊子	10-55471-B
半响	10-61611-S
半圆	10-55562-S
半圆仪	10-55607-S
半圆形	10-55662-S
半圓 半圆	10-55562-B
半圓儀 半圆仪	10-55607-B
半圓形 半圆形	10-55662-B
半场	10-55796-S
半坡村	10-55722-S
半坡村 半坡村	10-55722-B
半場 半场	10-55796-B
半壁江山	10-55868-S
半壁江山 半壁江山	10-55868-B
半复赛	10-57624-S
半夏	10-55941-S
半夏 半夏	10-55941-B
半夜	10-55991-S
半夜 半夜	10-55991-B
半夜三更	10-56059-S
半夜三更 半夜三更	10-56059-B
半天	10-56150-S
半天 半天	10-56150-B
半失业	10-56226-S
半失業 半失业	10-56226-B
半官方	10-56313-S
半官方 半官方	10-56313-B
半导体	10-56635-S
半导体探测器	10-56692-S
半封建	10-56373-S
半封建 半封建	10-56373-B
半封建半殖民地	10-56431-S
半封建半殖民地 半封建半殖民地	10-56431-B
半導體 半导体	10-56635-B
半導體探測器 半导体探测器	10-56692-B
半小时	10-56789-S
半小時 半小时	10-56789-B
半履带	10-56844-S
半履帶 半履带	10-56844-B
半山区	10-56948-S
半山區 半山区	10-56948-B
半岛	10-57018-S
半岛和东方航海	10-57103-S
半岛国际学校	10-57237-S
半岛电视台	10-57353-S
半島 半岛	10-57018-B
半島和東方航海 半岛和东方航海	10-57103-B
半島國際學校 半岛国际学校	10-57237-B
半島電視台 半岛电视台	10-57353-B
半工半讀 半工半读	10-57442-B
半工半读	10-57442-S
半年	10-57537-S
半年 半年	10-57537-B
半开化	10-61224-S
半开半关	10-61283-S
半开门	10-61349-S
半开门儿	10-61424-S
半径	10-57583-S
半徑 半径	10-57583-B
半復賽 半复赛	10-57624-B
半成品	10-57681-S
半成品 半成品	10-57681-B
半截	10-57797-S
半截 半截	10-57797-B
半截衫	10-57850-S
半截衫 半截衫	10-57850-B
半拉	10-57908-S
半拉 半拉	10-57908-B
半排出期	10-57945-S
半排出期 半排出期	10-57945-B
半推半就	10-58009-S
半推半就 半推半就	10-58009-B
半数	10-58153-S
半数以上	10-58207-S
半數 半数	10-58153-B
半數以上 半数以上	10-58207-B
半文盲	10-58278-S
半文盲 半文盲	10-58278-B
半斤八两	10-58336-S
半斤八兩 半斤八两	10-58336-B
半旗	10-58453-S
半旗 半旗	10-58453-B
半无限	10-59078-S
半日制学校	10-58495-S
半日制學校 半日制学校	10-58495-B
半日工作	10-58595-S
半日工作 半日工作	10-58595-B
半月	10-58665-S
半月 半月	10-58665-B
半月刊	10-58708-S
半月刊 半月刊	10-58708-B
半条命	10-58778-S
半條命 半条命	10-58778-B
半死	10-58847-S
半死 半死	10-58847-B
半殖民地	10-58901-S
半殖民地 半殖民地	10-58901-B
半決賽 半决赛	10-58969-B
半流体	10-59024-S
半流體 半流体	10-59024-B
半点	10-61685-S
半無限 半无限	10-59078-B
半熟練 半熟练	10-59136-B
半熟练	10-59136-S
半球	10-59195-S
半球 半球	10-59195-B
半瓶醋	10-59239-S
半瓶醋 半瓶醋	10-59239-B
半生	10-59301-S
半生 半生	10-59301-B
半白	10-59352-S
半白 半白	10-59352-B
半真半假	10-59406-S
半真半假 半真半假	10-59406-B
半票	10-59500-S
半票 半票	10-59500-B
半空中	10-59562-S
半空中 半空中	10-59562-B
半翅目	10-59631-S
半翅目 半翅目	10-59631-B
半职	10-59713-S
半職 半职	10-59713-B
半胱氨酸	10-59761-S
半胱氨酸 半胱氨酸	10-59761-B
半脫產 半脱产	10-59833-B
半脱产	10-59833-S
半自动	10-59956-S
半自動 半自动	10-59956-B
半自耕农	10-60015-S
半自耕農 半自耕农	10-60015-B
半衰期	10-60110-S
半衰期 半衰期	10-60110-B
半裸体	10-60165-S
半裸體 半裸体	10-60165-B
半規則 半规则	10-60219-B
半規管 半规管	10-60276-B
半視野 半视野	10-60340-B
半规则	10-60219-S
半规管	10-60276-S
半视野	10-60340-S
半路	10-60401-S
半路 半路	10-60401-B
半路出家	10-60459-S
半路出家 半路出家	10-60459-B
半身像	10-60553-S
半身像 半身像	10-60553-B
半軸 半轴	10-60635-B
半載 半载	10-60689-B
半輩子 半辈子	10-60732-B
半轴	10-60635-S
半载	10-60689-S
半辈子	10-60732-S
半边	10-61003-S
半边天	10-61065-S
半透明	10-60793-S
半透明 半透明	10-60793-B
半途	10-60866-S
半途 半途	10-60866-B
半途而废	10-60913-S
半途而廢 半途而废	10-60913-B
半邊 半边	10-61003-B
半邊天 半边天	10-61065-B
半長軸 半长轴	10-61160-B
半长轴	10-61160-S
半開化 半开化	10-61224-B
半開半關 半开半关	10-61283-B
半開門 半开门	10-61349-B
半開門兒 半开门儿	10-61424-B
半音	10-61514-S
半音 半音	10-61514-B
半音程	10-61556-S
半音程 半音程	10-61556-B
半響 半响	10-61611-B
半點 半点	10-61685-B
卌	10-61733-S
卌 卌	10-61733-B
卍	10-61757-S
卍 卍	10-61757-B
华	54-31526-S,54-31593-S
华东	54-34211-S
华东师范大学	54-34256-S
华东理工大学	54-34362-S
华严宗	54-32811-S
华严经	54-32946-S
华严经大方广佛	54-33076-S
华中	54-31659-S
华为	54-34766-S
华丽	54-36530-S
华亭	54-31708-S
华人	54-31771-S
华佗	54-31836-S
华侨	54-31877-S
华侨中学	54-31928-S
华侨大学	54-32068-S
华侨报	54-32010-S
华兴会	54-35929-S
华北	54-32142-S
华北事变	54-32187-S
华北平原	54-32289-S
华南	54-32364-S
华南理工大学	54-32412-S
华南虎	54-32525-S
华县	54-35683-S
华商报	54-32586-S
华商晨报	54-32664-S
华国锋	54-33251-S
华坪县	54-33316-S
华夏	54-33388-S
华威大学	54-33447-S
华宁	54-33762-S
华安	54-33528-S
华容	54-33589-S
华容道	54-33652-S
华尔兹	54-34819-S
华尔街	54-34875-S
华尔街日报	54-34930-S
华山	54-33826-S
华府	54-33878-S
华彩	54-33942-S
华拳	54-34010-S
华文	54-34101-S
华族	54-34166-S
华氏	54-34487-S
华氏度	54-34531-S
华池	54-34593-S
华沙	54-34654-S
华法林	54-34714-S
华特	54-35014-S
华盛顿	54-35058-S
华盛顿州	54-35152-S
华盛顿时报	54-35227-S
华盛顿特区	54-35324-S
华盛顿邮报	54-35427-S
华纳兄弟	54-35523-S
华纳音乐集团	54-35594-S
华罗庚	54-35739-S
华美	54-35808-S
华而不实	54-35869-S
华蓥	54-36061-S
华表	54-36125-S
华裔	54-36211-S
华诞	54-36298-S
华语	54-36357-S
华里	54-36406-S
华阴	54-36468-S
协	10-63795-S
协会	10-64628-S
协作	10-63863-S
协力	10-63921-S
协办	10-65465-S
协助	10-63976-S
协同	10-64032-S
协同作用	10-64100-S
协和	10-64189-S
协商	10-64305-S
协奏	10-64386-S
协奏曲	10-64443-S
协定	10-64495-S
协方差	10-64559-S
协理	10-64686-S
协管	10-64761-S
协管员	10-64867-S
协约	10-64939-S
协约国	10-65017-S
协议	10-65409-S
协调	10-65121-S
协调世界时	10-65194-S
协调人	10-65294-S
协调员	10-65351-S
卑	10-61788-S
卑 卑	10-61788-B
卑下	10-61842-S
卑下 卑下	10-61842-B
卑劣	10-61884-S
卑劣 卑劣	10-61884-B
卑南乡	10-61988-S
卑南族	10-61938-S
卑南族 卑南族	10-61938-B
卑南鄉 卑南乡	10-61988-B
卑尔根	10-62229-S
卑微	10-62065-S
卑微 卑微	10-62065-B
卑怯	10-62112-S
卑怯 卑怯	10-62112-B
卑污	10-62170-S
卑污 卑污	10-62170-B
卑爾根 卑尔根	10-62229-B
卑賤 卑贱	10-62279-B
卑贱	10-62279-S
卑躬屈節 卑躬屈节	10-62332-B
卑躬屈膝	10-62423-S
卑躬屈膝 卑躬屈膝	10-62423-B
卑躬屈节	10-62332-S
卑辞厚币	10-62560-S
卑辞厚礼	10-62653-S
卑辭厚幣 卑辞厚币	10-62560-B
卑辭厚禮 卑辞厚礼	10-62653-B
卑鄙	10-62742-S
卑鄙 卑鄙	10-62742-B
卑鄙齷齪 卑鄙龌龊	10-62808-B
卑鄙龌龊	10-62808-S
卑陋齷齪 卑陋龌龊	10-62946-B
卑陋龌龊	10-62946-S
卒	10-63085-S,10-63125-S
卒 卒	10-63085-B,10-63125-B
卓	10-63158-S
卓 卓	10-63158-B
卓兰镇	10-63493-S
卓尼	10-63206-S
卓尼 卓尼	10-63206-B
卓有成效	10-63267-S
卓有成效 卓有成效	10-63267-B
卓溪乡	10-63352-S
卓溪鄉 卓溪乡	10-63352-B
卓著	10-63429-S
卓著 卓著	10-63429-B
卓蘭鎮 卓兰镇	10-63493-B
卓資 卓资	10-63567-B
卓资	10-63567-S
卓越	10-63637-S
卓越 卓越	10-63637-B
卓越網 卓越网	10-63740-B
卓越网	10-63740-S
協 协	10-63795-B
協作 协作	10-63863-B
協力 协力	10-63921-B
協助 协助	10-63976-B
協同 协同	10-64032-B
協同作用 协同作用	10-64100-B
協和 协和	10-64189-B
協商 协商	10-64305-B
協奏 协奏	10-64386-B
協奏曲 协奏曲	10-64443-B
協定 协定	10-64495-B
協方差 协方差	10-64559-B
協會 协会	10-64628-B
協理 协理	10-64686-B
協管 协管	10-64761-B
協管員 协管员	10-64867-B
協約 协约	10-64939-B
協約國 协约国	10-65017-B
協調 协调	10-65121-B
協調世界時 协调世界时	10-65194-B
協調人 协调人	10-65294-B
協調員 协调员	10-65351-B
協議 协议	10-65409-B
協辦 协办	10-65465-B
单	14-16186-S,14-16236-S,14-16290-S
单一	14-16326-S
单一合体字	14-16375-S
单一码	14-16453-S
单于	14-16536-S,14-18581-S
单亲	14-21515-S
单亲家庭	14-21562-S
单人床	14-16629-S
单人间	14-16687-S
单价	14-17181-S
单位	14-16752-S
单位切向量	14-16838-S
单位向量	14-16928-S
单位根	14-16999-S
单体	14-22763-S
单侧	14-17128-S
单倍体	14-17057-S
单元	14-17228-S
单元频率	14-17321-S
单克隆抗体	14-17391-S
单击	14-18308-S
单县	14-20785-S
单口相声	10-65555-S
单口相聲 单口相声	10-65555-B
单句	14-17534-S
单向	14-17592-S
单向电流	14-17643-S
单套	14-17744-S
单子	14-17788-S
单子叶	14-17833-S
单字	14-17942-S
单宁酸	14-18014-S
单层塔	14-18067-S
单峰驼	14-18133-S
单意	14-18188-S
单打	14-18256-S
单据	14-18353-S
单数	14-18423-S
单方面	14-18524-S
单晶硅棒	14-18674-S
单曲	14-18758-S
单月	14-18805-S
单杠	14-19203-S
单板机	14-18864-S
单极	14-19032-S
单枞	14-17477-S
单枪匹马	14-19073-S
单核细胞增多症	14-18929-S
单模	14-19285-S
单模光纤	14-19329-S
单源多倍体	14-19404-S
单片机	14-19531-S
单独	14-19609-S
单班课	14-19671-S
单用	14-19749-S
单相	14-19798-S
单相思	10-65654-S
单相思 单相思	10-65654-B
单眼	14-19854-S
单程	14-19942-S
单端孢霉烯类毒素	14-19994-S
单端孢霉烯类毒素中毒症	14-20110-S
单簧管	14-20268-S
单糖	14-20324-S
单纯	14-20373-S
单纯疱疹	14-20432-S
单纯疱疹病毒	14-20511-S
单细胞	14-20616-S
单细胞生物	14-20696-S
单胞藻	14-20844-S
单色	14-20908-S
单色照片	14-20981-S
单色画	14-21078-S
单行	14-21164-S
单行本	14-21272-S
单行线	14-21348-S
单行道	14-21407-S
单衣	14-21467-S
单词	14-21639-S
单词产生器模型	14-21676-S
单调	14-21779-S
单质	14-21824-S
单身	14-21908-S
单身汉	14-21972-S
单车	14-22040-S
单轨	14-22086-S
单边	14-22215-S
单边主义	14-22260-S
单连接站	14-22132-S
单铬	14-22329-S
单链	14-22372-S
单院	14-22468-S
单音节	14-22526-S
单音词	14-22598-S
单韵母	14-22659-S
单项	14-22716-S
卖	59-58412-S
卖主	59-58442-S
卖傻	59-58482-S
卖力	59-58551-S
卖国	59-58609-S
卖国主义	59-58672-S
