and print	8-66094-S,50-19782-S
and raise children	43-18403-S,45-27748-S
and ranging	51-66513-S
and rash	44-2738-S
and ratify	57-29018-S
and rattle	67-50190-S
and raw	8-24150-S
and rays	61-4252-S
and raze the fields 成语 saw	16-3723-S
and ready method	34-37599-S
and ready to concede	24-34053-S
and realistic	20-11970-S
and reality	12-55691-S
and reap the whirlwind hosea 8 7	25-21703-S
and reappear	8-40837-S
and reason things out	29-29425-S
and reason 成语 saw	6-43703-S,62-56364-S,62-56484-S
and rebirth buddh 	61-15889-S
and receive it	36-53974-S
and reckless	56-23305-S
and recognition 成语 saw	9-49014-S
and recognize	61-38102-S
and recommend	28-29587-S
and reconsider a judgment	63-57908-S
and record	28-22744-S
and recover completely	44-13300-S
and recruit	27-32939-S
and rectify	33-53423-S
and rectify qi4 traditional chinese medicine	13-24971-S,44-2929-S
and recuperate	7-606-S
and red flowers	33-50499-S
and redeem	29-65090-S
and reds	18-25983-S
and reduce outflow 成语 saw	65-38362-S
and reducing methods in acupuncture	56-57611-S
and refined	18-60435-S,55-42821-S
and reform commission	15-6250-S
and refreshing	38-39422-S
and refreshing autumn weather	47-16466-S
and refreshments	69-6527-S
and refuse to acknowledge progress	29-60588-S
and refuse to see sb	27-31520-S
and regulations	57-32380-S
and reject custom 成语 saw	62-57612-S
and relations	60-13767-S
and relations with israel	65-22502-S
and relatives	57-38156-S
and relaxed	68-61155-S
and reliable	47-43427-S,58-16852-S
and remain idle	69-8637-S
and remain inside	33-10354-S
and remorse	25-43742-S
and remote village	63-30234-S
and renewal	32-8196-S
and reorganize army units etc	12-36652-S
and reorganize military	4-55993-S
and repaired	30-24532-S
and replace	11-58918-S,29-11028-S
and reports	56-43705-S
and repulsive esp character or action	10-62808-S,10-62946-S
and reputation	24-29131-S
and rescue	28-56282-S
and research	51-33894-S
and research section	30-3702-S
and research workers	58-38748-S
and resent	25-24717-S
and resentful	25-54403-S
and resolute	36-65858-S
and resource	52-50903-S
and respect	25-35235-S
and respected	22-48171-S
and respectful	43-54589-S
and respiratory syndrome prrs	55-29502-S
and rest euphemism for compulsory retirement of old cadres	67-8787-S
and restaurant business	63-39552-S
and restrict	35-13257-S
and retain it	28-40718-S
and retina	52-30200-S
and return	24-12792-S
and return to good	29-46523-S
and return to the farm	57-51402-S
and return to the rites 成语 saw	7-15935-S
and return to virtue	1-49098-S,34-18667-S
and reunions	25-10455-S
and reuse	27-19534-S
and reveals its white interior	12-60756-S
and review	20-23229-S
and revise	20-21584-S,20-22772-S
and rewards as part of political re education	29-55557-S
and rhymed parts for recitation and singing often on buddhist themes	59-9227-S
and rice	70-37466-S
and rich	59-35490-S
and rich 成语 saw	29-32260-S
and riches	10-51659-S
and ridiculous	14-12226-S
and right	21-58105-S
and right hands	21-58286-S
and right hook boxing	21-58180-S
and right side of a split chinese character	6-12656-S
and right 成语 saw	21-59763-S
and righteous	24-46777-S
and rime	69-21839-S
and rise	38-32953-S
and rising tone	1-55021-S
and rivers	21-30915-S
and roast over a low fire tea	40-44917-S
and robs guests esp in traditional fiction	65-44346-S,71-29935-S
and robust	45-67096-S
and rocks as opposed to waterproof dam of clay or concrete	15-30371-S
and rocks in one s heart 成语 saw	37-28572-S
and roll music	28-54435-S
and romantic writing around 1900	70-54425-S
and rotten	67-41123-S
and round	15-24176-S
and rugged	6-55145-S
and ruin it	71-42276-S
and rule strategy	8-57472-S
and run away	38-5317-S
and russia	2-49713-S,21-13261-S,66-10077-S,71-34241-S
and russian mainland	68-9759-S
and ruth	5-31589-S
and ruthless	51-30940-S
and sacrifice	56-24227-S
and sacrifice to avoid disasters i e traditional superstitions	46-51920-S
and sad	12-14731-S
and sagacity	26-37964-S
and salangichthys microdon	64-29543-S
and salary raise 成语 saw	9-53632-S,9-53840-S
and sale of goods	62-42149-S
and sales	5-23367-S
and sallow	25-56192-S
and salty taste	71-3944-S
and satisfactory	47-34681-S
and save	45-33326-S,45-33672-S
and save life and property	29-16485-S
and save on spending	65-38362-S
and say one s piece	24-57906-S
and scenic spots	12-54548-S
and scrape	10-62332-S
and scraping	71-42951-S
and scraping to curry favor	10-62423-S,18-23465-S
and sculpting	39-50663-S
and se	42-59588-S
and se sing in harmony	42-59713-S
and se 琴瑟	50-44309-S
and sea	21-31102-S
and seal off the country	65-29378-S
and seaport in guangxi	10-33873-S
and search engine	59-15535-S
and search for the right word 成语 saw	65-28766-S
and second tones in classical chinese	22-37104-S
and second tones of classical chinese	22-44181-S
and second 成语 saw	8-56936-S
and secondary causes	14-61865-S
and security	17-58016-S
and see	5-18624-S,27-47573-S
and see far 成语 saw	44-25630-S,70-18635-S
and see stars	45-18211-S,68-37562-S,68-37668-S
and see the mountain	65-43447-S
and see the rice	13-6454-S
and see the sun 成语 saw	29-12887-S
and see through a project	58-50561-S
and see who is right	48-19242-S,60-13634-S
and seek	28-2631-S
and seek fame 成语 saw	62-56008-S
and seeking to repay the kindness 成语 saw	25-40891-S
and sees	26-29869-S
and seize	26-63885-S,26-64333-S
and select	51-21683-S
and self important	53-13585-S
and self sacrifice	51-13357-S
and selfconfident 成语 saw	42-56035-S
and selfish	16-54802-S
and sell	5-62129-S,27-31142-S,28-55578-S
and sell at a profit	5-61061-S
and sell at a profit derog 	5-56009-S
and sell e g at a fair	21-22886-S
and sell high	5-59148-S
and sell into slavery	28-20357-S
and seller	3-43167-S
and selling	5-54933-S,59-45498-S
and selling on speculation	27-2399-S,27-2529-S
and semi colonial the official marxist description of china in the late qing and under the guomindang	10-56431-S
and send it to someone	26-64725-S
and send out in large quantities	12-64813-S
and sending off	28-28306-S
and senior	40-49224-S
and sensibilities	25-15960-S
and sensibility	42-54929-S
and sentences	58-9331-S
and sentimental of poetry or art	12-66079-S
and serious	58-29644-S
and serious character	52-43686-S
and servant	3-3929-S
and serve the rich and powerful by literary hack work etc	22-36210-S
and set the helm 成语 saw	57-31761-S
and set your sails 成语 saw	57-31576-S
and setting of the sun	8-40837-S
and seven mortal forms in daoism	1-44864-S
and sevens	3-25990-S,14-46630-S,36-62511-S,40-34381-S
and several other species	70-46132-S
and sewed again from topside	27-10238-S
and sex	69-3732-S,69-3795-S
and sex 成语 saw	37-6297-S
and shaanxi	21-32866-S,21-33122-S
and shade	68-51088-S
and shadow	23-54390-S
and shallow	45-66714-S
and shallow knowledge or skill	38-57325-S
and shallow learning 成语 saw	26-38019-S
and shame	23-4899-S
and shandong	39-2716-S
and shanghai	4-3501-S
and shanghai banking corporation hsbc	10-39292-S,10-39377-S
and shanghai express rail link projected	4-3555-S
and shanxi	17-60647-S
and share alike	3-32094-S
and sharp tongued	59-35300-S
and sharply	31-66895-S
and shi siming 史思明	19-25182-S
and shining ebony	71-43478-S
and shooting	69-52330-S
and shops	65-7374-S
and short	61-6276-S,61-6520-S
and shortfall	69-17074-S
and shot firearm	40-21807-S
and shoulder	27-11961-S
and shoulders above the competition	42-18285-S
and shout battle cries 成语 saw	28-54024-S
and shout with praise 成语 saw	27-29594-S
and shouting	1-16401-S
and show no mercy	14-41978-S
and show no mercy 成语 saw	11-52620-S,61-30250-S
and show to others	8-43223-S
and shrill	8-24353-S
and shuttlecock	33-30977-S
and siberia	66-8313-S
and sichuan	29-1325-S,29-1401-S,66-51143-S
and sickle flag of ussr	65-1542-S
and sides	61-4992-S
and sigh	32-46573-S
and sign a treaty etc	48-40985-S
and sign of the zodiac	4-18858-S,17-48344-S,17-52028-S,17-53515-S,17-53685-S,19-56272-S,20-30085-S,20-35330-S,21-32007-S,21-62194-S,29-2280-S,36-44417-S,41-50966-S,42-15900-S,44-44128-S,55-49665-S,64-12676-S,66-65107-S,67-2679-S,70-36200-S
and significant text	11-71169-S
and silk	22-14900-S
and silk textiles	22-14900-S
and silk writing materials before paper	48-2561-S
and silver	64-16147-S
and simple	34-60263-S,48-36629-S,49-20294-S
and simplified characters	68-11304-S
and since	9-21785-S
and sincere	58-29524-S
and sincerely willing	24-32792-S
and sincerely 成语 saw	1-16116-S,58-29012-S
and sing loudly 成语 saw	23-28297-S
and singapore	33-44038-S
and singer	35-26625-S
and singing often on buddhist themes	59-9227-S
and single	66-67396-S
and sink	51-22167-S,51-22861-S
and sink the boats 成语 saw	46-20447-S
and six modes tonal system of cantonese and other southern languages	3-20412-S
and sixes when gambling with dice	12-30721-S
and size up the situation	20-21684-S
and skill	13-33582-S
and slander	59-13475-S
and slanders	38-6458-S
and sleep late 成语 saw	16-52636-S
and sleep together 成语 saw	27-15313-S
and slender	39-56460-S
and slice iron 成语 saw	30-38655-S
and slick in establishing social relations	7-53432-S
and slippers muddled together 成语 saw	21-26320-S
and slipshod work	48-49824-S
and slow	32-54780-S
and sluggish	8-22308-S
and sly	15-24062-S
and smacking one s lips 成语 saw	71-42826-S
and small	17-13210-S,21-61775-S,46-1305-S,46-1305-S
and small lanes	17-34347-S
and smash	46-27680-S
and smashed 成语 saw	29-39612-S
and smelt metal	66-31120-S
and smooth	6-65171-S,10-12225-S,22-43424-S,50-25942-S
and smooth talking	37-22161-S
and sneak away like a rat 成语 saw	27-13948-S,27-14086-S
and snow	8-17381-S,66-17186-S
and so	51-34842-B
and so on	3-11071-B,14-497-B,43-16884-B,48-17202-B,58-47968-S
and so on 	48-19052-B
and soar 成语 saw	21-22490-S
and sociable person	53-61249-S
and social conditions 成语 saw	15-38707-S
and social customs of a place	68-54143-S
and social sciences	4-10390-S,4-10497-S
and socialist	6-25510-S
and soft	39-22034-S,41-35858-S
and soft as water	33-44372-S
and soil	36-39715-S
and sold into slavery during western colonialism	28-20430-S
and soldier	30-29047-S
and soldiers	20-36718-S
and solid	41-51388-S,48-49097-S,66-52918-S
and solstice	8-57572-S
and solve	46-20049-S
and solve disputes 成语 saw	28-18376-S
and song	30-43553-S,34-27348-S,37-25193-S,53-27889-S
and song 907 960	3-46892-S
and song 960 1279 dynasties	13-51031-S
and song associated with classical writing 古文	24-13666-S
and song dynasties	9-2344-S
and song dynasty	6-35052-S
and song dynasty provincial governor	48-28795-S
and song prose	13-51115-S
and song times	62-50334-S
and song 舊五代史 旧五代史	34-9151-S
and sonorous voice	20-23988-S,38-61576-S
and sons	1-41113-S
and sophisticated	21-6254-S
and sorrows	12-49865-S,12-50029-S,25-10455-S,54-12564-S
and sorry	25-43742-S
and sorts	12-29339-S
and soul	1-8617-S,7-36688-S,23-55133-S,60-6677-S
and soul into a book	4-40149-S
and soul separated 成语 saw	70-33233-S
and soul upside down 成语 saw	46-62766-S
and sound	19-26284-S,20-46773-S,22-39254-S
and sound set phrase	19-30831-S
and sour	43-17753-S,48-61576-S
and sour fish	48-61761-S
and sour meat pork	13-26729-S
and sour pork	43-17803-S,48-61624-S,48-61688-S
and sour sauce	63-45661-S
and sour shredded potato	63-45485-S
and sour soup	63-45578-S
and south	10-67507-S,65-59356-S
and south america	10-67708-S
and south korea	10-67776-S,32-49852-S,33-31376-S,68-12479-S
and south of liaoning province	63-5011-S,63-5309-S
and south poles	7-46127-S,15-43340-S
and southeast asia	6-30016-S,6-30093-S,11-3288-S
and southern dynasties 420 589	10-67556-S
and southern song 1128 1279	7-44185-S
and sowing	6-29433-S
and space administration	15-5023-S,51-3475-S,51-3886-S,51-6048-S
and speechless	14-39516-S,23-37900-S
and spend accordingly 成语 saw	64-4838-S
and spicy shredded pork	70-38807-S
and spicy soup	63-45578-S
and spill blood 成语 saw	14-29882-S
and spirits exorcism	66-22685-S
and spiritual	23-55133-S
and spiritual culture	41-54961-S
and spit out	61-14872-S
and splendor	34-41846-S
and spoil the child	18-40181-S
and spontaneous	41-42819-S
and spotless	39-57326-S
and sprain a limb	60-47301-S
and spread	39-27592-S
and sprinkle ink	28-49862-S
and square	30-61117-S
and stability	60-41398-S,62-49468-S
and stable 成语 saw	14-49300-S
and staff	27-49873-S
and stalagmites	39-33663-S
and stamp one s feet 成语 saw	28-8706-S
and stand exposed	30-186-S
and start afresh 成语 saw	25-7300-S,29-46263-S
and start over again	32-7818-S
and starting	31-40596-S
and starts	31-40189-S
and state in malaysia	69-33746-S
and statues	20-42393-S
and steady	19-31813-S,47-41583-S
and steel	35-47876-S
and steel engineering institute	64-41678-S
and steep	21-33956-S,70-14151-S
and stem	52-36090-S
and stick	61-3379-S
and stick in a needle 成语 saw	57-30450-S
and stiff	27-71150-S
and still alive 成语 saw	3-19538-S
and still the drums 成语 saw	6-5300-S
and still water	39-65261-S
and stinking weeds 成语 saw	55-46040-S
and stint on materials 成语 saw	6-22696-S
and stir	27-28723-S
and stirring	25-9552-S
and stocky build	41-12379-S,55-47709-S
and stone	42-31434-S
and stones	37-17311-S,37-43597-S
and stop bothering	53-6985-S
and stop one s ears	65-28278-S
and stout	46-1712-S,46-36805-S
and straight	9-64342-S,28-149-S
and straight e g tree trunks	70-14151-S
and straight of trees	35-2104-S
and straightforward	24-31251-S,41-42163-S,59-24926-S
and straightforward style of writing	44-39325-S
and strategy	66-53249-S
and strength	9-66067-S
and stress	68-56092-S
and strike hard in fighting	47-42888-S
and strike him when he is tired and withdraws	63-6163-S
and stripes	53-56482-S
and stripes us flag	53-56344-S
and strive to become stronger	53-5523-S
and stroke	29-14020-S
and stroke count	48-14366-S
and strong	4-19289-S,52-11144-S,54-5588-S,55-2760-S,70-32739-S
and strongly built	31-18486-S
and struck as a xylophone	50-20522-S
and structure	23-55692-S
and stubborn	1-8894-S,25-32204-S,61-43335-S
and student	30-2008-S
and studies 成语 saw	13-33678-S
and study	46-14614-S,46-14665-S
and stuffy	25-11212-S
and stupefied 成语 saw	18-31896-S
and stupid	25-31652-S
and sturdy	70-33093-S
and sturdy horses	8-1381-S
and sub clauses in formal document	34-14675-S
and substantial	16-4293-S
and succession	18-61539-S
and such	3-11071-B,33-42059-S
and suck	53-31645-S
and suffer the consequence	53-796-S
and suffer the consequences	42-39839-S
and suffering 成语 saw	9-36214-S
and sufficient condition	7-387-S
and suffix	58-10961-S
and summer solstice 夏至	31-11650-S
and summon the rain 成语 saw	13-19755-S
and sung	58-31630-S
and sunny weather	31-55373-S
and supervise esp state officials promoting agriculture	10-11529-S
and support	61-18044-S
and support the weak 成语 saw	64-36020-S
and surely	47-42888-S
and surname	18-40671-S
and suspicions	44-4129-S,44-5095-S
and swallow	41-29798-S
and swallow know the will of the great swan 成语 saw	41-29558-S
and swallow s congratulation 成语 saw	41-29877-S
and swarthy	71-28941-S
and sweat	56-25389-S,56-26253-S
and swift	9-64292-S,41-43068-S
and swindler	36-59905-S
and swire hong kong banking giant	17-56902-S
and swollen	49-12321-S
and sword	30-29047-S
and sword 成语 saw	42-59084-S
and sympathize	70-7253-S
and symptoms of a disease	34-53242-S
and syria	59-29203-S
and tab forming a carpenter s joint	11-17563-S,34-40388-S
and tabbed joint	8-32638-S
and tackle	39-29616-S
and tactics	8-1794-S
and tail	69-21791-S
and tail in chu 成语 saw	13-2280-S
and taiwan	2-79425-S,39-6384-S
and taiwan pr xie3	56-23774-S
and tajikistan	22-23513-S
and take	3-70505-S,52-26957-S
and take advantage of the situation	57-31576-S,57-31761-S
and take away	27-0-S
and take care of	33-46754-S
and take his place 成语 saw	8-10853-S
and take into custody	27-38554-S
and take over the kitchen 成语 saw	60-25771-S
and talent 成语 saw	24-26725-S
and talented	24-26652-S
and talk of love 成语 saw	58-41353-S
and tang	7-68057-S,66-38905-S
and tang dynasties 618 907	66-38828-S
and tang 唐 dynasties	15-48042-S
and tasty	41-42026-S
and teach	10-11106-S
and tear	28-52792-S,38-30347-S,46-39420-S,46-40689-S,51-37182-S
and tears	56-26909-S
and technology	10-66858-S,15-12245-S,47-17424-S,47-17802-S,47-18646-S,47-18700-S,54-34362-S,69-27689-S
and technology beijing	10-27289-S
and technology information center cdstic	2-56276-S
and technology is the number one productive force from 1978 speech by deng xiaoping 鄧小平 邓小平 introducing the four modernizations 四個現代化 四个现代化 	47-17500-S
and technology of china	67-28548-S
and tedious	8-12677-S
and teeth	11-70754-S
and teeth 成语 saw	13-49325-S,13-49428-S
and telecommunications	63-26487-S
and telegraph	15-20795-S
and telephone	31-9740-S
and television	23-59660-S
and ten kingdoms period between tang and song 907 960	3-46892-S
and ten schools of thought	58-48139-S
and tender	47-30582-S
and tender as a mother	14-41879-S
and tender of food	52-12565-S
and tenon	65-11213-S
and tenon slot and tab forming a carpenter s joint	11-17563-S,34-40388-S
and tens of thousands	26-8722-S
and tens 成语 saw	1-1470-S
and test	39-4441-S
and tested medical prescription	69-58445-S
and testes	11-25797-S
and testes of fur seal used in traditional chinese medicine	52-46758-S
and text messages	7-49126-S
and that 成语 saw	33-17135-S,33-17266-S
and the bear s paw	70-38048-S,70-38138-S
and the bill settled	7-47929-S
and the billows 成语 saw	3-14744-S
and the birds of the air	68-63289-S,68-64468-S
and the book of history 書經 书经	58-14140-S
and the chinese communist party	15-2382-S
and the dominican republic	4-48873-S
and the dying	23-26799-S
and the eight nation military invasion	22-62270-S
and the fall of the qing dynasty	35-47133-S
and the fisherman catches both	71-1127-S,71-1255-S
and the flesh	52-39036-S
and the flow is long 成语 saw	39-16104-S
and the fury novel by william faulkner 威廉·福克納 威廉·福克纳	14-11034-S
and the good	30-12092-S,59-57929-S
and the grenadines	51-47289-S,64-10708-S
and the guangxi warlord faction	55-12433-S
and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
and the holy spirit	56-11272-S
and the incidental	32-64546-S
and the inside	56-46148-S
and the loads on it	29-22680-S
and the moon	12-66079-S
and the moon reflected in the lake 成语 saw	64-58033-S
and the northern warlord government of china	2-81022-S
and the northern warlords	3-37345-S
and the ordinary people	32-49052-S
and the patient s condition	61-38497-S
and the pearl river delta	36-55200-S
and the people	59-1395-S
and the people dead 成语 saw	19-63585-S
and the people live in peace	15-11308-S
and the people satisfied	15-38707-S
and the people usually in opposition	59-1311-S
and the province around it	38-16900-S
and the roots follow	27-34604-S
and the roots follow 成语 saw	27-33444-S,27-34788-S
and the sahara	34-6885-S
and the sea of grief	39-26437-S
and the sea 成语 saw	21-31655-S
and the seasons traditional chinese medicine concept	68-24243-S
and the south sandwich islands	10-68590-S
and the tiger behind 成语 saw	9-20196-S
and the ungrateful wolf by ma zhongxi 馬中錫 马中锡	2-70137-S
and the us	17-58728-S
and the vladivostok area ruled by the ming dynasty	18-22766-S
and the warring states 1122 265 bc	71-53443-S
and the whole body moves	41-62858-S
and the wild boar rushes 成语 saw	42-9857-S
and the world in premodern japan	55-44758-S
and the wounded	6-44807-S
and then	32-34551-S,52-2471-B
and then grow	38-32953-S
and then what follows next	62-30296-B
and thick foliage	55-12952-S
and thin	5-49731-S
and thirst	69-4753-S
and thousands	26-10998-S
and thread	64-19132-S
and threatening	8-21423-S
and three strategies 三略	7-69782-S
and three weak beats in a measure of music four beats in the bar 成语 saw	1-11876-S
and thriftily	14-62332-S
and throat	51-40013-S,71-51098-S
and through	24-29757-S,62-9964-S,62-12017-S
and thus	21-10204-B
and tianjin	4-3447-S
and tianshan	39-17466-S
and tianshan ranges	39-17075-S
and tibet	21-50494-S,27-25491-S,39-27004-S,67-58264-S
and tibetan autonomous prefecture in qinghai	38-23728-S,38-23818-S,38-23920-S
and tidy	3-56157-S,3-56796-S,30-15430-S,32-35058-S
and time	47-51548-S
and tips off one s hat 成语 saw	24-53585-S
and tired of sth	52-49979-S
and tissues in the thorax between the lungs	50-31136-S
and title	58-45427-S
and to deceive oneself	53-7215-S
and tobago	10-51395-S,41-61137-S,57-20622-S
and today	4-22812-S
and toil	56-26253-S
and tomb	46-63350-S
and tone	68-17732-S,68-18525-S
and tongue tied 成语 saw	23-37900-S
and tongue 成语 saw	11-67198-S
and took over france	37-33275-S
and torrents 成语 saw	54-45956-S
and tough	7-1603-S,41-48207-S
and town in central tibet	43-8227-S
and towns	15-62845-S
and trade	59-34174-S
and trade commission setc	15-6652-S
and tragic	12-14731-S,25-9552-S
and train	30-16449-S,69-45904-S
and train animals	58-40331-S
and tram stop	6-17761-S
and transform phlegm traditional chinese medicine	42-55747-S
and translator	1-40603-S,1-40699-S,42-27170-S
and trap	61-55961-S
and treacherous person	42-6380-S
and treacherous rapids 成语 saw	47-57091-S
and treasures traditional expression of good will	27-43713-S
and treat	8-55184-S,58-5082-S
and treat everyone as an enemy	54-14773-S
and treatment	58-5138-S
and treatment based on an overall analysis of the illness and the patient s condition	61-38497-S
and treatment in traditional chinese medicine	61-36050-S
and trees	40-52025-S,53-57108-S
and trembling in fear	42-63262-S
and trepidation	26-18491-S
and trepidation 成语 saw	58-29127-S
and tribulations	25-8471-S,43-14967-S
and tribulations of a long journey	54-45956-S
and tribulations 成语 saw	16-5477-S
and trite	66-29129-S
and troubled	47-57313-S
and true	24-46487-S
and true events	45-40686-S
and truly	44-59011-S
and trusses	34-36879-S
and try out	58-39426-S
and try 成语 saw	11-42837-S
and tsarist russia	2-49566-S
and tumble	38-53932-S
and turkey	25-36644-S
and turn	11-44209-S
and turn it to gold 成语 saw	71-41263-S,71-42567-S
and turn of road or river	50-45954-S
and turn over a new leaf	44-14453-S
and turn sleeplessly	51-20885-S
and turning	45-11591-S
and turning like a sheep s intestine	51-684-S
and turning 成语 saw	27-30867-S,32-5906-S,61-23153-S
and turns	1-13726-S,37-38754-S
and turns 成语 saw	21-39900-S
and tweedledee	10-58336-S
and two or four handles	48-35521-S
and typha orientalis	55-422-S
and unable to act rationally	37-13185-S,56-39708-S
and unable to adapt 成语 saw	37-42671-S
and unable to see where things are heading	18-30395-S
and unable to show one s face	40-49086-S
and unadorned	6-55091-S,48-37343-S,59-60455-S
and unafraid	31-18365-S
and unalterable	17-52669-S
and unbridled	42-4430-S
and unbroken	50-12425-S
and unchanging as the universe	17-54414-S
and unchanging 成语 saw	16-5684-S
and unclear	34-58890-S
and uncommon	42-43683-S
and unconstrained	59-24781-S,60-34302-S,60-34750-S,60-35009-S
and unconstrained 成语 saw	25-7846-S
and uncontrollable	7-2919-S
and unconventional in life style	68-55732-S
and unconventional written style	44-2218-S
and unconventional 成语 saw	25-6841-S
and undaunted	15-53195-S
and undefiled	33-28238-S
and under the guomindang	10-56431-S
and understand everything 成语 saw	58-62318-S
and understand half 成语 saw	1-15758-S
and uneasy	25-43892-S
and uneducated	47-64774-S
and unequal treaty rights	29-45849-S
and uneven	21-39009-S
and unexpected disaster 成语 saw	68-62435-S
and unfeeling	25-47875-S
and unfettered	30-9935-S
and unhindered	68-25041-S
and unhurried	48-33679-S
and uniformly priced	49-53638-S
and unimaginary	14-49300-S
and uninhabited 成语 saw	33-26608-S,39-7372-S,54-18048-S
and universities	70-19391-S
and unjust alike	55-46040-S
and unknown server	23-12946-S
and unmatched 成语 saw	42-17783-S
and unmeasurable 成语 saw	38-48264-S
and unphathomable 成语 saw	53-43799-S
and unpleasant person	14-12922-S
and unprecedented event	51-57206-S
and unrealistic view	61-43889-S
and unreasonable	56-23375-S
and unreliable	69-36642-S
and unrestrained	18-7131-S
and unrestrained of a person s appearance	40-15755-S
and unscruplous	51-30940-S
and unscrupulous	31-25668-S
and untied	28-54220-S
and unwarranted declaration	18-33345-S
and unwilling to compromise	70-38547-S
and unwilling to leave it	19-25778-S
and unwilling to separate	67-11707-S,67-12366-S,67-12493-S
and unyielding	16-3887-S,16-5950-S
and unyielding character	6-33125-S
and unyielding 成语 saw	16-4405-S
and upright	7-9855-S,9-64593-S,16-4968-S
and upright of large building	45-62121-S
and upright 成语 saw	38-65905-S
and us military base in the indian ocean	61-51021-S
and us navy equivalent	38-24745-S,38-24841-S,38-25086-S
and use	27-16709-S,63-764-S
and use the able 成语 saw	4-44001-S
and usher in good	28-45128-S,40-5307-S
and vacuous person	47-46836-S
and valuable	12-58760-S
and valuables	59-33210-S
and varied	16-61038-S,49-24133-S,50-37015-S
and variegated	7-9305-S
and varieties	12-30199-S
and vast	32-3424-S,65-37319-S
and vega stars	41-49228-S
and vega where cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
and vegetables	55-6576-S,70-43468-S
and vehicles	38-55416-S
and veins in general	52-30078-S
and venerate the worthy 成语 saw	30-12092-S
and verified	71-42111-S
and verify	69-58933-S,71-42040-S
and vermilion lips 成语 saw	44-63675-S
and versality	58-62127-S
and very tricky	45-11370-S
and vessels	56-30445-S
and vicious	25-22390-S
and victory is assured 成语 saw	47-43080-S
and video games	67-29055-S
and vigor	46-61946-S,46-62079-S,48-56025-S
and vigorous	25-29605-S,39-57075-S,56-26017-S
and vigorous momentum	18-31059-S
and vigorous step	31-18788-S
and vine plants	43-9296-S
and vinegar	41-33712-S
and violate justice 成语 saw	24-45369-S
and violent	56-23305-S,61-44383-S
and violent attack	47-53375-S
and violent thunderclaps 成语 saw	31-30531-S,31-30686-S
and virtue	9-48592-S
and virtuous	38-41347-S,69-64681-S
and virtuous ancestors	7-6270-S
and virtuous relatives	54-6678-S
and virtuous woman possibly sarcastic or sneering	38-41508-S
and visions in a bubble 成语 saw	17-2526-S
and vital breath	56-25929-S
and vivacious	60-51163-S
and vladivostok area	18-22880-S
and voroshilov 伏羅希洛夫 伏罗希洛夫	40-37804-S
and voting	8-39378-S
and wade rivers 成语 saw	32-159-S
and wagons for an expedition	23-64756-S
and waist of a bear	55-47709-S
and wait 成语 saw	27-47573-S
and waiting	30-16343-S
and waiting for action	23-30388-S
and waiting to be captured	33-11573-S
and wander from place to place	38-7236-S
and wandering about	38-7364-S
