重劍 重剑	63-56555-B
重氫 重氢	63-61034-B
重水	63-61105-S
重水 重水	63-61105-B
重水反应堆	63-61196-S
重水反應堆 重水反应堆	63-61196-B
重水生产	63-61292-S
重水生產 重水生产	63-61292-B
重沓	63-61376-S
重沓 重沓	63-61376-B
重油	63-61431-S
重油 重油	63-61431-B
重洋	63-61476-S
重洋 重洋	63-61476-B
重活	63-61528-S
重活 重活	63-61528-B
重活儿	63-61573-S
重活兒 重活儿	63-61573-B
重活化剂	63-61648-S
重活化劑 重活化剂	63-61648-B
重温	63-61716-S
重温旧梦	63-61797-S
重溫 重温	63-61716-B
重溫舊夢 重温旧梦	63-61797-B
重演	63-61891-S
重演 重演	63-61891-B
重災 重灾	63-61986-B
重災區 重灾区	63-62038-B
重灾	63-61986-S
重灾区	63-62038-S
重炮	63-62139-S,63-63403-S
重炮 重炮	63-62139-B
重点	64-2746-S,64-2820-S
重物	63-62217-S
重物 重物	63-62217-B
重犯	63-62260-S
重犯 重犯	63-62260-B
重獲 重获	63-62318-B
重现	63-62370-S
重現 重现	63-62370-B
重生	63-62418-S
重生 重生	63-62418-B
重用	63-62463-S
重用 重用	63-62463-B
重申	63-62531-S
重申 重申	63-62531-B
重男輕女 重男轻女	63-62586-B
重男轻女	63-62586-S
重疊 重叠	63-62749-B
重病	63-62845-S
重病 重病	63-62845-B
重病特护	63-62897-S
重病特护区	63-62968-S
重病特護 重病特护	63-62897-B
重病特護區 重病特护区	63-62968-B
重症	63-63074-S
重症 重症	63-63074-B
重眼皮	63-63146-S
重眼皮 重眼皮	63-63146-B
重眼皮儿	63-63270-S
重眼皮兒 重眼皮儿	63-63270-B
重砲 重炮	63-63403-B
重碳酸鈣 重碳酸钙	63-63454-B
重碳酸钙	63-63454-S
重算	63-63542-S
重算 重算	63-63542-B
重組 重组	63-63609-B
重結晶 重结晶	63-63664-B
重组	63-63609-S
重结晶	63-63664-S
重罚	63-63783-S
重罚不用	63-63836-S
重罪	63-63727-S
重罪 重罪	63-63727-B
重罰 重罚	63-63783-B
重罰不用 重罚不用	63-63836-B
重聽 重听	63-63950-B
重臂	63-64002-S
重臂 重臂	63-64002-B
重臣	63-64082-S
重臣 重臣	63-64082-B
重荷	63-64164-S
重荷 重荷	63-64164-B
重获	63-62318-S
重複 重复	63-64222-B
重複啟動效應 重复启动效应	63-64279-B
重複節 重复节	63-64385-B
重複語境 重复语境	63-64460-B
重要	64-0-S
重要 重要	64-0-B
重要問題 重要问题	64-63-B
重要性	64-138-S
重要性 重要性	64-138-B
重要的是	64-196-S
重要的是 重要的是	64-196-B
重要问题	64-63-S
重覆	64-307-S
重覆 重覆	64-307-B
重覆性	64-348-S
重覆性 重覆性	64-348-B
重視 重视	64-405-B
重视	64-405-S
重評 重评	64-477-B
重話 重话	64-539-B
重譯 重译	64-610-B
重讀 重读	64-777-B
重评	64-477-S
重译	64-610-S
重话	64-539-S
重读	64-777-S
重負 重负	64-834-B
重責 重责	64-911-B
重负	64-834-S
重责	64-911-S
重足而立	64-984-S
重足而立 重足而立	64-984-B
重蹈	64-1093-S
重蹈 重蹈	64-1093-B
重蹈覆轍 重蹈覆辙	64-1165-B
重蹈覆辙	64-1165-S
重身子	64-1307-S
重身子 重身子	64-1307-B
重載 重载	64-1376-B
重载	64-1376-S
重辣	64-1435-S
重辣 重辣	64-1435-B
重辦 重办	64-1486-B
重農 重农	64-1540-B
重返	64-1640-S
重返 重返	64-1640-B
重迭	64-1687-S
重迭 重迭	64-1687-B
重述	64-1783-S
重述 重述	64-1783-B
重造	64-1855-S
重造 重造	64-1855-B
重逢	64-1902-S
重逢 重逢	64-1902-B
重重	64-1967-S
重重 重重	64-1967-B
重量	64-2039-S
重量 重量	64-2039-B
重量級 重量级	64-2083-B
重量级	64-2083-S
重金	64-2142-S
重金 重金	64-2142-B
重金属	64-2218-S
重金屬 重金属	64-2218-B
重鎮 重镇	64-2276-B
重镇	64-2276-S
重開 重开	64-2327-B
重阳	64-2372-S
重阳节	64-2422-S
重陽 重阳	64-2372-B
重陽節 重阳节	64-2422-B
重霄	64-2483-S
重霄 重霄	64-2483-B
重音	64-2547-S
重音 重音	64-2547-B
重音節 重音节	64-2596-B
重音节	64-2596-S
重頭戲 重头戏	64-2667-B
重點 重点	64-2746-B,64-2820-B
野	64-2877-S
野 野	64-2877-B
野人	64-2946-S
野人 野人	64-2946-B
野兔	64-2992-S
野兔 野兔	64-2992-B
野兽	64-3932-S
野叟曝言	64-3028-S
野叟曝言 野叟曝言	64-3028-B
野史	64-3127-S
野史 野史	64-3127-B
野外	64-3205-S
野外 野外	64-3205-B
野外放养	64-3272-S
野外放養 野外放养	64-3272-B
野孩子	64-3371-S
野孩子 野孩子	64-3371-B
野小茴	64-3425-S
野小茴 野小茴	64-3425-B
野径	64-3479-S
野徑 野径	64-3479-B
野心	64-3549-S
野心 野心	64-3549-B
野战	64-3619-S
野战军	64-3674-S
野戰 野战	64-3619-B
野戰軍 野战军	64-3674-B
野火	64-3729-S
野火 野火	64-3729-B
野營 野营	64-3838-B
野牛	64-3894-S
野牛 野牛	64-3894-B
野猫	64-4470-S
野獸 野兽	64-3932-B
野甘蓝	64-3983-S
野甘藍 野甘蓝	64-3983-B
野生	64-4068-S
野生 野生	64-4068-B
野生动物	64-4122-S
野生動物 野生动物	64-4122-B
野生猫	64-4190-S
野生貓 野生猫	64-4190-B
野禽	64-4244-S
野禽 野禽	64-4244-B
野花	64-4281-S
野花 野花	64-4281-B
野草	64-4325-S
野草 野草	64-4325-B
野营	64-3838-S
野蛮	64-4363-S
野蛮人	64-4417-S
野蠻 野蛮	64-4363-B
野蠻人 野蛮人	64-4417-B
野貓 野猫	64-4470-B
野顛茄 野颠茄	64-4510-B
野颠茄	64-4510-S
野餐	64-4592-S
野餐 野餐	64-4592-B
野馬 野马	64-4631-B
野马	64-4631-S
野鴨 野鸭	64-4673-B
野鸭	64-4673-S
量	64-4742-S,64-4777-S
量 量	64-4742-B,64-4777-B
量体温	64-6842-S
量体裁衣	64-6912-S
量体重	64-7098-S
量入为出	64-4838-S
量入為出 量入为出	64-4838-B
量具	64-5014-S
量具 量具	64-5014-B
量刑	64-5065-S
量刑 量刑	64-5065-B
量力	64-5164-S
量力 量力	64-5164-B
量力而行	64-5225-S
量力而行 量力而行	64-5225-B
量化逻辑	64-5398-S
量化邏輯 量化逻辑	64-5398-B
量变	64-6786-S
量器	64-5470-S
量器 量器	64-5470-B
量子	64-5541-S
量子 量子	64-5541-B
量子力学	64-5583-S
量子力學 量子力学	64-5583-B
量子场论	64-5656-S
量子場論 量子场论	64-5656-B
量子沫	64-5735-S
量子沫 量子沫	64-5735-B
量尺寸	64-5810-S
量尺寸 量尺寸	64-5810-B
量度	64-5879-S
量度 量度	64-5879-B
量才录用	64-5925-S
量才錄用 量才录用	64-5925-B
量杯	64-6087-S
量杯 量杯	64-6087-B
量瓶	64-6165-S
量瓶 量瓶	64-6165-B
量程	64-6246-S
量程 量程	64-6246-B
量筒	64-6324-S
量筒 量筒	64-6324-B
量綱 量纲	64-6409-B
量纲	64-6409-S
量腹	64-6462-S
量腹 量腹	64-6462-B
量規 量规	64-6545-B
量规	64-6545-S
量角器	64-6610-S
量角器 量角器	64-6610-B
量計 量计	64-6667-B
量詞 量词	64-6707-B
量變 量变	64-6786-B
量计	64-6667-S
量词	64-6707-S
量體溫 量体温	64-6842-B
量體裁衣 量体裁衣	64-6912-B
量體重 量体重	64-7098-B
釐 厘	64-7168-B
釐清 厘清	64-7204-B
釐米 厘米	64-7274-B
金	64-7316-S
金 金	64-7316-B
金三角	64-7346-S
金三角 金三角	64-7346-B
金丝猴	64-13694-S
金丝雀	64-13788-S
金乌	64-12529-S
金乡	64-15821-S
金代	64-7424-S
金代 金代	64-7424-B
金伯利岩	64-7481-S
金伯利岩 金伯利岩	64-7481-B
金元券	64-7553-S
金元券 金元券	64-7553-B
金光閃爍 金光闪烁	64-7649-B
金光闪烁	64-7649-S
金兰	64-14614-S
金兰谱	64-14685-S
金刚	64-7716-S
金刚山	64-7756-S
金刚座	64-7828-S
金刚总持	64-8027-S
金刚手菩萨	64-7939-S
金刚萨埵	64-8095-S
金剛 金刚	64-7716-B
金剛山 金刚山	64-7756-B
金剛座 金刚座	64-7828-B
金剛手菩薩 金刚手菩萨	64-7939-B
金剛總持 金刚总持	64-8027-B
金剛薩埵 金刚萨埵	64-8095-B
金匠	64-8162-S
金匠 金匠	64-8162-B
金华	64-14293-S
金华地区	64-14367-S
金华市	64-14463-S
金华火腿	64-14548-S
金县	64-13838-S
金发	64-17797-S
金口河区	64-8207-S
金口河區 金口河区	64-8207-B
金史	64-8291-S
金史 金史	64-8291-B
金合欢	64-8359-S
金合歡 金合欢	64-8359-B
金国汗	64-8410-S
金圆券	64-8562-S
金國汗 金国汗	64-8410-B
金圓券 金圆券	64-8562-B
金坛	64-8860-S
金城鎮 金城镇	64-8658-B
金城镇	64-8658-S
金堂	64-8736-S
金堂 金堂	64-8736-B
金塔	64-8801-S
金塔 金塔	64-8801-B
金壇 金坛	64-8860-B
金大中	64-8922-S
金大中 金大中	64-8922-B
金天翮	64-8980-S
金天翮 金天翮	64-8980-B
金子	64-9047-S
金子 金子	64-9047-B
金字塔	64-9083-S
金字塔 金字塔	64-9083-B
金宁乡	64-9191-S
金宇中	64-9133-S
金宇中 金宇中	64-9133-B
金寧鄉 金宁乡	64-9191-B
金寨	64-9271-S
金寨 金寨	64-9271-B
金寨县	64-9348-S
金寨縣 金寨县	64-9348-B
金属	64-9437-S
金属板	64-9476-S
金属棒	64-9532-S
金属破片	64-9587-S
金属线	64-9651-S
金属薄片	64-9707-S
金属键	64-9767-S
金屬 金属	64-9437-B
金屬板 金属板	64-9476-B
金屬棒 金属棒	64-9532-B
金屬破片 金属破片	64-9587-B
金屬線 金属线	64-9651-B
金屬薄片 金属薄片	64-9707-B
金屬鍵 金属键	64-9767-B
金山	64-9826-S
金山 金山	64-9826-B
金山乡	64-9951-S
金山寺	64-9892-S
金山寺 金山寺	64-9892-B
金山鄉 金山乡	64-9951-B
金峰乡	64-10031-S
金峰鄉 金峰乡	64-10031-B
金川	64-10111-S
金川 金川	64-10111-B
金州区	64-10178-S
金州區 金州区	64-10178-B
金币	64-10339-S
金帐汗国	64-10253-S
金帳汗國 金帐汗国	64-10253-B
金幣 金币	64-10339-B
金平	64-10381-S
金平 金平	64-10381-B
金平区	64-10458-S
金平區 金平区	64-10458-B
金库	64-10545-S
金庫 金库	64-10545-B
金庸	64-10586-S
金庸 金庸	64-10586-B
金成	64-11239-S
金文	64-10649-S
金文 金文	64-10649-B
金斯敦	64-10708-S
金斯敦 金斯敦	64-10708-B
金日成	64-10807-S
金日成 金日成	64-10807-B
金昌	64-10904-S
金昌 金昌	64-10904-B
金昌市	64-10979-S
金昌市 金昌市	64-10979-B
金星	64-11065-S
金星 金星	64-11065-B
金星人	64-11165-S
金星人 金星人	64-11165-B
金晟 金成	64-11239-B
金本位	64-11283-S
金本位 金本位	64-11283-B
金枪鱼	64-11410-S
金桔	64-11341-S
金桔 金桔	64-11341-B
金槍魚 金枪鱼	64-11410-B
金橘	64-11460-S
金橘 金橘	64-11460-B
金正日	64-11500-S
金正日 金正日	64-11500-B
金正男	64-11596-S
金正男 金正男	64-11596-B
金毛狗	64-11655-S
金毛狗 金毛狗	64-11655-B
金永南	64-11746-S
金永南 金永南	64-11746-B
金沙	64-11855-S
金沙 金沙	64-11855-B
金沙江	64-11918-S
金沙江 金沙江	64-11918-B
金沙萨	64-11977-S
金沙薩 金沙萨	64-11977-B
金沙鎮 金沙镇	64-12048-B
金沙镇	64-12048-S
金泉	64-12122-S
金泉 金泉	64-12122-B
金泳三	64-12187-S
金泳三 金泳三	64-12187-B
金湖	64-12246-S
金湖 金湖	64-12246-B
金湖鎮 金湖镇	64-12307-B
金湖镇	64-12307-S
金溪	64-12379-S
金溪 金溪	64-12379-B
金溪县	64-12448-S
金溪縣 金溪县	64-12448-B
金烏 金乌	64-12529-B
金牌	64-12632-S
金牌 金牌	64-12632-B
金牛座	64-12676-S
金牛座 金牛座	64-12676-B
金玉	64-12766-S
金玉 金玉	64-12766-B
金玉良言	64-12821-S
金玉良言 金玉良言	64-12821-B
金球奖	64-12923-S
金球獎 金球奖	64-12923-B
金瓯	64-13071-S
金瓶梅	64-12988-S
金瓶梅 金瓶梅	64-12988-B
金甌 金瓯	64-13071-B
金田起义	64-13110-S
金田起義 金田起义	64-13110-B
金石良言	64-13181-S
金石良言 金石良言	64-13181-B
金矿	64-13430-S
金碧輝煌 金碧辉煌	64-13284-B
金碧辉煌	64-13284-S
金礦 金矿	64-13430-B
金秀瑤族自治縣 金秀瑶族自治县	64-13475-B
金秀瑶族自治县	64-13475-S
金紅石 金红石	64-13604-B
金絲猴 金丝猴	64-13694-B
金絲雀 金丝雀	64-13788-B
金縣 金县	64-13838-B
金红石	64-13604-S
金缽 金钵	64-13884-B
金翅	64-13954-S
金翅 金翅	64-13954-B
金翅雀	64-14026-S
金翅雀 金翅雀	64-14026-B
金色	64-14109-S
金色 金色	64-14109-B
金茂大厦	64-14148-S
金茂大廈 金茂大厦	64-14148-B
金菇	64-14216-S
金菇 金菇	64-14216-B
金華 金华	64-14293-B
金華地區 金华地区	64-14367-B
金華市 金华市	64-14463-B
金華火腿 金华火腿	64-14548-B
金蘭 金兰	64-14614-B
金蘭譜 金兰谱	64-14685-B
金融	64-14827-S
金融 金融	64-14827-B
金融危机	64-14887-S
金融危機 金融危机	64-14887-B
金融市场	64-14959-S
金融市場 金融市场	64-14959-B
金融改革	64-15034-S
金融改革 金融改革	64-15034-B
金融时报	64-15106-S
金融時報 金融时报	64-15106-B
金融系統 金融系统	64-15178-B
金融系统	64-15178-S
金融衍生工具	64-15251-S
金融衍生工具 金融衍生工具	64-15251-B
金融風波 金融风波	64-15353-B
金融风波	64-15353-S
金裡奇 金里奇	64-15441-B
金角湾	64-15499-S
金角灣 金角湾	64-15499-B
金边	64-15754-S
金迷紙醉 金迷纸醉	64-15617-B
金迷纸醉	64-15617-S
金邊 金边	64-15754-B
金鄉 金乡	64-15821-B
金酒	64-15889-S
金酒 金酒	64-15889-B
金里奇	64-15441-S
金針 金针	64-15926-B
金針菇 金针菇	64-15997-B
金針菜 金针菜	64-16078-B
金銀 金银	64-16147-B
金銀塊 金银块	64-16196-B
金銀花 金银花	64-16249-B
金銀銅鐵錫 金银铜铁锡	64-16305-B
金錢 金钱	64-16390-B
金錢不能買來幸福 金钱不能买来幸福	64-16439-B
金錢萬能 金钱万能	64-16565-B
金錢豹 金钱豹	64-16644-B
金錢非萬能 金钱非万能	64-16697-B
金鐘 金钟	64-16837-B
金针	64-15926-S
金针菇	64-15997-S
金针菜	64-16078-S
金钟	64-16837-S
金钱	64-16390-S
金钱万能	64-16565-S
金钱不能买来幸福	64-16439-S
金钱豹	64-16644-S
金钱非万能	64-16697-S
金钵	64-13884-S
金银	64-16147-S
金银块	64-16196-S
金银花	64-16249-S
金银铜铁锡	64-16305-S
金門 金门	64-16882-B
金門島 金门岛	64-16961-B
金门	64-16882-S
金门岛	64-16961-S
金阳	64-17205-S
金陵	64-17051-S
金陵 金陵	64-17051-B
金陵大学	64-17128-S
金陵大學 金陵大学	64-17128-B
金陽 金阳	64-17205-B
金雞納 金鸡纳	64-17270-B
金雞納樹 金鸡纳树	64-17349-B
金雞納霜 金鸡纳霜	64-17439-B
金領 金领	64-17510-B
金額 金额	64-17606-B
金领	64-17510-S
金额	64-17606-S
金飾 金饰	64-17666-B
金饰	64-17666-S
金馬獎 金马奖	64-17714-B
金马奖	64-17714-S
金髮 金发	64-17797-B
金魚 金鱼	64-17835-B
金鱼	64-17835-S
金鸡纳	64-17270-S
金鸡纳树	64-17349-S
金鸡纳霜	64-17439-S
金黃 金黄	64-17876-B
金黃色 金黄色	64-17932-B
金黄	64-17876-S
金黄色	64-17932-S
金龜 金龟	64-17988-B
金龜子 金龟子	64-18030-B
金龟	64-17988-S
金龟子	64-18030-S
釓 钆	64-18105-B
釔 钇	64-18142-B
釕 钌	64-18173-B
釗 钊	64-18209-B
釘 钉	64-18259-B
釘子 钉子	64-18287-B
釘書針 钉书针	64-18329-B
釘死 钉死	64-18382-B
釘耙 钉耙	64-18423-B
釘螺 钉螺	64-18473-B
釙 钋	64-18519-B
釜	64-18560-S
釜 釜	64-18560-B
釜山	64-18597-S
釜山 釜山	64-18597-B
針 针	64-18658-B
針對 针对	64-18702-B
針對性 针对性	64-18812-B
針氈 针毡	64-18868-B
針法 针法	64-18929-B
針灸 针灸	64-18969-B
針砭 针砭	64-19075-B
針線 针线	64-19132-B
針織 针织	64-19196-B
針葉 针叶	64-19255-B
針葉林 针叶林	64-19309-B
針葉樹 针叶树	64-19374-B
針鋒相對 针锋相对	64-19426-B
針鼢 针鼢	64-19553-B
針鼴 针鼹	64-19595-B
釣 钓	64-19637-B
釣竿 钓竿	64-19689-B
釣魚 钓鱼	64-19735-B
釣魚島 钓鱼岛	64-19797-B
釣魚用具 钓鱼用具	64-19856-B
釣魚臺 钓鱼台	64-19918-B
釤 钐	64-20039-B
釦 扣	64-20076-B
釦子 扣子	64-20105-B
釧 钏	64-20143-B
釩 钒	64-20186-B
釩鉀鈾礦石 钒钾铀矿石	64-20219-B
釪	64-20297-S
釪 釪	64-20297-B
釬	64-20344-S
釬 釬	64-20344-B
釭	64-20389-S
釭 釭	64-20389-B
釱	64-20442-S
釱 釱	64-20442-B
釳	64-20481-S
釳 釳	64-20481-B
釵 钗	64-20577-B
釷 钍	64-20608-B
釸	64-20642-S
釸 釸	64-20642-B
釹 钕	64-20671-B
釺	65-1962-S
釺 钎	64-20707-B
釺子 钎子	64-20786-B
鈀 钯	64-20865-B
鈁 钫	64-20899-B
鈃	64-20934-S
鈃 鈃	64-20934-B
鈄 钭	64-20980-B
鈆	64-21028-S
鈆 鈆	64-21028-B
鈇	64-21055-S
鈇 鈇	64-21055-B
鈈 钚	64-21080-B
鈉 钠	64-21116-B
鈊	64-21147-S
鈊 鈊	64-21147-B
鈌	64-21180-S
鈌 鈌	64-21180-B
鈍 钝	64-21212-B
鈍角 钝角	64-21247-B
鈐 钤	64-21294-B
鈑 钣	64-21336-B
鈒	64-21385-S
鈒 鈒	64-21385-B
鈔 钞	64-21416-B
鈔票 钞票	64-21472-B
鈕 钮	64-21542-B
鈕帶 钮带	64-21583-B
鈞 钧	64-21646-B
鈣 钙	64-21702-B
鈣化 钙化	64-21735-B
鈣質 钙质	64-21790-B
鈥 钬	64-21863-B
鈦 钛	64-21898-B
鈧 钪	64-21932-B
鈬	64-21967-S
鈬 鈬	64-21967-B
鈮 铌	64-22017-B
鈰 铈	64-22049-B
鈳 钶	64-22083-B
鈴 铃	64-22114-B
鈴木 铃木	64-22150-B
鈴聲 铃声	64-22190-B
鈴鐺 铃铛	64-22269-B
鈷 钴	64-22316-B
鈸 钹	64-22347-B
鈹 铍	64-22376-B
鈺 钰	64-22410-B
鈽 钸	64-22443-B,64-22476-B
鈾 铀	64-22526-B
鈾濃縮 铀浓缩	64-22560-B
鈿 钿	64-22624-B,64-22664-B
鉀 钾	64-22704-B
鉀駱 钾骆	64-22738-B
鉄	64-22775-S
鉄 鉄	64-22775-B
鉅 钜	64-22825-B
鉅防 钜防	64-22862-B
鉅額 巨额	64-22958-B
鉆	64-23023-S
鉆 鉆	64-23023-B
鉈 铊	64-23055-B
鉉 铉	64-23088-B
鉋 刨	64-23160-B
鉋子 刨子	64-23235-B
鉋床 刨床	64-23272-B
鉌	64-23331-S
鉌 鉌	64-23331-B
鉍 铋	64-23363-B
鉏	64-23395-S
鉏 鉏	64-23395-B
鉑 铂	64-23421-B
鉕 钷	64-23454-B
鉗 钳	64-23491-B
鉗子 钳子	64-23623-B
鉚 铆	64-23676-B
鉚勁兒 铆劲儿	64-23707-B
鉚工 铆工	64-23775-B
鉚接 铆接	64-23836-B
鉚釘 铆钉	64-23883-B
鉛 铅	64-23923-B
鉛山 铅山	64-23954-B
鉛山縣 铅山县	64-24031-B
鉛帶 铅带	64-24120-B
鉛球 铅球	64-24166-B
鉛礦 铅矿	64-24227-B
鉛筆 铅笔	64-24272-B
鉛管工 铅管工	64-24319-B
鉞 钺	64-24374-B
鉢 钵	64-24406-B
鉤 钩	64-24495-B
鉤子 钩子	64-24534-B
鉤端螺旋體病 钩端螺旋体病	64-24570-B
鉥	64-24663-S
鉥 鉥	64-24663-B
鉦 钲	64-24692-B
鉨	64-24741-S
鉨 鉨	64-24741-B
鉬 钼	64-24794-B
鉭 钽	64-24829-B
鉱	64-24863-S
鉱 鉱	64-24863-B
鉲	64-24915-S
鉲 鉲	64-24915-B
鉴	65-6307-S
鉴于	65-6700-S
鉴别	65-6418-S
鉴定	65-6484-S
鉴定委员会	65-6555-S
鉴戒	65-6658-S
鉴真	65-6764-S
鉴真和尚	65-6828-S
鉴赏	65-6914-S
鉶	64-24944-S
鉶 鉶	64-24944-B
鉸 铰	64-24985-B
鉸鏈 铰链	64-25040-B
鉺 铒	64-25081-B
鉻 铬	64-25114-B
鉼	64-25147-S
鉼 鉼	64-25147-B
鉾	64-25176-S
鉾 鉾	64-25176-B
鉿 铪	64-25204-B
銀 银	64-25236-B
銀丹 银丹	64-25268-B
銀亮 银亮	64-25337-B
銀元 银元	64-25395-B
銀兩 银两	64-25499-B
銀匠 银匠	64-25612-B
銀器 银器	64-25659-B
銀圓 银圆	64-25702-B
銀壇 银坛	64-25806-B
銀婚 银婚	64-25881-B
銀子 银子	64-25956-B
銀屏 银屏	64-26000-B
銀屑 银屑	64-26073-B
銀川 银川	64-26127-B
銀川市 银川市	64-26176-B
銀州 银州	64-26236-B
銀州區 银州区	64-26323-B
銀幕 银幕	64-26420-B
銀幣 银币	64-26465-B
銀座 银座	64-26512-B
銀晃晃 银晃晃	64-26571-B
銀本位 银本位	64-26634-B
銀本位制 银本位制	64-26714-B
銀杏 银杏	64-26805-B
銀杯 银杯	64-26909-B
銀根 银根	64-26962-B
銀條 银条	64-27012-B
銀樅 银枞	64-27057-B
銀樓 银楼	64-27115-B
銀樣鑞槍頭 银样鑞枪头	64-27180-B
銀河 银河	64-27350-B
銀河系 银河系	64-27403-B
銀洋 银洋	64-27452-B
銀海 银海	64-27542-B
銀漢 银汉	64-27617-B
銀燕 银燕	64-27690-B
銀牌 银牌	64-27762-B
銀狐 银狐	64-27836-B
銀獎 银奖	64-27935-B
銀瓶 银瓶	64-27983-B
銀白 银白	64-28031-B
銀白楊 银白杨	64-28077-B
銀盤 银盘	64-28148-B
銀票 银票	64-28214-B
銀箔 银箔	64-28298-B
銀紅 银红	64-28342-B
銀絲族 银丝族	64-28409-B
銀耳 银耳	64-28524-B
銀色 银色	64-28614-B
銀苔 银苔	64-28661-B
銀葉 银叶	64-28747-B
銀行 银行	64-28791-B
銀行卡 银行卡	64-28830-B
銀行存款 银行存款	64-28894-B
銀行家 银行家	64-29005-B
銀行業 银行业	64-29057-B
銀行業務 银行业务	64-29109-B
銀製 银制	64-29171-B
銀質獎 银质奖	64-29219-B
銀輝 银辉	64-29288-B
銀針 银针	64-29349-B
銀錠 银锭	64-29431-B
銀錢 银钱	64-29478-B
銀魚 银鱼	64-29543-B
銀點 银点	64-29672-B
銃 铳	64-29813-B
銅 铜	64-29852-B
銅仁 铜仁	64-29885-B
銅仁地區 铜仁地区	64-29958-B
銅像 铜像	64-30042-B
銅匠 铜匠	64-30096-B
銅器 铜器	64-30143-B
銅山 铜山	64-30200-B
銅川 铜川	64-30267-B
銅川市 铜川市	64-30363-B
銅板 铜板	64-30470-B
銅梁 铜梁	64-30516-B
銅牌 铜牌	64-30585-B
銅管樂器 铜管乐器	64-30632-B
銅鑼 铜锣	64-30706-B
銅鑼灣 铜锣湾	64-30747-B
銅鑼鄉 铜锣乡	64-30805-B
銅陵 铜陵	64-30883-B
銅陵市 铜陵市	64-30958-B
銅鼓 铜鼓	64-31044-B
銅鼓縣 铜鼓县	64-31108-B
銍	64-31184-S
銍 銍	64-31184-B
銎	64-31213-S
銎 銎	64-31213-B
銑 铣	64-31251-B
銓 铨	64-31288-B
銕	64-31327-S
銕 銕	64-31327-B
銖 铢	64-31360-B
銘 铭	64-31426-B
銘刻 铭刻	64-31465-B
銘心刻骨 铭心刻骨	64-31519-B
銘心鏤骨 铭心镂骨	64-31701-B
銘文 铭文	64-31884-B
銘言 铭言	64-31930-B
銘謝 铭谢	64-31977-B
銚 铫	64-32091-B,64-32137-B
銛	64-32184-S
