煆 煆 [01\[ yā\]]	raging fire
煙台 烟台 [01\[ yān tái\]]	yantai prefecture level city in shandong
煙台地區 烟台地区 [01\[ yān tái dì qū\]]	(n) yantai district (district in shandong)
煙台市 烟台市 [01\[ yān tái shì\]]	yantai prefecture level city in shandong
煙囪 烟囱 [01\[ yān cōng\]]	chimney
煙圈 烟圈 [01\[ yān quān\]]	smoke ring
煙塵 烟尘 [01\[ yān chén\]]	smoke and dust;air pollution
煙幕 烟幕 [01\[ yān mù\]]	smokescreen;fig. a diversion
煙徑 烟径 [01\[ yān jìng\]]	misty lane
煙捲兒 烟卷儿 [01\[ yān juǎn 5r\]]	cigarette
煙槍 烟枪 [01\[ yān qiāng\]]	opium pipe
煙民 烟民 [01\[ yān mín\]]	smokers
煙海 烟海 [01\[ yān hǎi\]]	the vast ocean
煙消雲散 烟消云散 [01\[ yān xiāo yún sàn\]]	disappear;vanish like smoke in thin air
煙火 烟火 [01\[ yān huǒ\]]	smoke and fire;fireworks
煙灰 烟灰 [01\[ yān huī\]]	cigarette ash
煙灰缸 烟灰缸 [01\[ yān huī gāng\]]	ashtray
煙癮 烟瘾 [01\[ yān yǐn\]]	the urge to smoke;tobacco addiction
煙缸 烟缸 [01\[ yān gāng\]]	ashtray
煙花 烟花 [01\[ yān huā\]]	fireworks;prostitute (esp. in yuan theater)
煙花債 烟花债 [01\[ yān huā zhài\]]	involved in a love affair
煙花場 烟花场 [01\[ yān huā chǎng\]]	brothel (esp. in yuan theater)
煙花女 烟花女 [01\[ yān huā nǚ\]]	prostitute (esp. in yuan theater)
煙花寨 烟花寨 [01\[ yān huā zhài\]]	brothel (esp. in yuan theater)
煙花巷 烟花巷 [01\[ yān huā xiàng\]]	red-light district
煙花市 烟花市 [01\[ yān huā shì\]]	(esp. in yuan theater)
煙花柳巷 烟花柳巷 [01\[ yān huā liǔ xiàng\]]	red-light district
煙花簿 烟花簿 [01\[ yān huā bù\]]	catalog of prostitutes (esp. in yuan theater)
煙花粉黛 烟花粉黛 [01\[ yān huā fěn dài\]]	woman;prostitute;love-making;literary or theatrical form in tang
煙花繚亂 烟花缭乱 [01\[ yān huā liáo luàn\]]	(set phrase) dazzling
煙花行院 烟花行院 [01\[ yān huā xíng yuàn\]]	brothel (esp. in yuan theater)
煙花陣 烟花阵 [01\[ yān huā zhèn\]]	brothel (esp. in yuan theater)
煙花風月 烟花风月 [01\[ yān huā fēng yuè\]]	refers to love-making (成语 saw)
煙草 烟草 [01\[ yān cǎo\]]	tobacco
煙葉 烟叶 [01\[ yān yè\]]	leaf tobacco
煙袋 烟袋 [01\[ yān dài\]]	tobacco pipe
煙酸 烟酸 [01\[ yān suān\]]	niacin (vitamin b3);3-pyridinecarboxylic acid c6h5no2;nicotinic acid
煙霞 烟霞 [01\[ yān xiá\]]	haze
煙霧 烟雾 [01\[ yān wù\]]	smoke;mist;vapor;smog;fumes
煙霧劑 烟雾剂 [01\[ yān wù jì\]]	an aerosol spray
煙鬼 烟鬼 [01\[ yān guǐ\]]	heavy smoker;chain smoker
煙鹼 烟碱 [01\[ yān jiǎn\]]	nicotine
煚 煚 [01\[ jiǒng\]]	fire
煜 煜 [01\[ yù\]]	brilliant;glorious
煝 煝 [01\[ mèi\]]	be radiant;flaming;drought
煞 煞 [01\[ shā\]]	decrease;tighten
煞 煞 [01\[ shà\]]	baleful;bring to a stop;very
煞住 煞住 [01\[ shā zhù\]]	to brake;to stop;to forbid
煞尾 煞尾 [01\[ shā wěi\]]	to finish off;to wind up
煞性子 煞性子 [01\[ shā xìng zi\]]	to vent anger
煞氣 煞气 [01\[ shā qì\]]	a leak
煞白 煞白 [01\[ shà bái\]]	deathly white
煞筆 煞笔 [01\[ shā bǐ\]]	to stop one's pen;to break off writing;final remarks (at the end of a book or article)
煞賬 煞账 [01\[ shā zhàng\]]	to settle an account
煞車 煞车 [01\[ shā chē\]]	to brake (when driving)
煞風景 煞风景 [01\[ shā fēng jǐng\]]	to damage beautiful scenery;fig. to spoil the fun
煟 煟 [01\[ wèi\]]	radiance of fire
煠 煠 [01\[ yè\]]	to fry in fat or oil;to scald
煢 茕 [01\[ qióng\]]	alone;desolate
煤 煤 [01\[ méi\]]	coal
煤儲量 煤储量 [01\[ méi chǔ liàng\]]	coal reserves
煤屑 煤屑 [01\[ méi xiè\]]	cinder
煤層 煤层 [01\[ méi céng\]]	a coal bed;a coal seam
煤層氣 煤层气 [01\[ méi céng qì\]]	coalbed methane
煤氣 煤气 [01\[ méi qì\]]	coal gas;gas
煤油 煤油 [01\[ méi yóu\]]	kerosene
煤渣 煤渣 [01\[ méi zhā\]]	slack
煤灰 煤灰 [01\[ méi huī\]]	soot
煤炭 煤炭 [01\[ méi tàn\]]	coal
煤焦油 煤焦油 [01\[ méi jiāo yóu\]]	coal tar
煤球 煤球 [01\[ méi qiú\]]	charcoal briquette
煤田 煤田 [01\[ méi tián\]]	a coalfield
煤礦 煤矿 [01\[ méi kuàng\]]	coal mine
煤箱 煤箱 [01\[ méi xiāng\]]	coal box
煥 焕 [01\[ huàn\]]	brilliant;lustrous
煥然一新 焕然一新 [01\[ huàn rán yī xīn\]]	to look completely new (成语 saw); brand new;changed beyond recognition
煥發 焕发 [01\[ huàn fā\]]	sudden blooming or display of brilliance; flash; spark
煦 煦 [01\[ xù\]]	warm
煦暖 煦暖 [01\[ xù nuǎn\]]	to warm;warming
煦煦 煦煦 [01\[ xù xù\]]	warm
照 照 [01\[ zhào\]]	according to;in accordance with;to shine;to illuminate;to reflect;photograph
照亮 照亮 [01\[ zhào liàng\]]	to illuminate;to light up;lighting
照例 照例 [01\[ zhào lì\]]	as a rule;as usual;usually
照像機 照像机 [01\[ zhào xiàng jī\]]	camera
照原樣 照原样 [01\[ zhào yuán yàng\]]	to copy;to follow the original shape;faithful restoration
照單全收 照单全收 [01\[ zhào dān quán shōu\]]	to accept without question;to take sth at face value
照壁 照壁 [01\[ zhào bì\]]	a screen wall across the gate of a house (for privacy)
照妖鏡 照妖镜 [01\[ zhào yāo jìng\]]	magic mirror for revealing goblins;fig. way of seeing through a conspiracy
照射 照射 [01\[ zhào shè\]]	shine;irradiate
照常 照常 [01\[ zhào cháng\]]	(business etc) as usual
照度 照度 [01\[ zhào dù\]]	illumination (i.e. intensity of light)
照得 照得 [01\[ zhào dé\]]	seeing that
照應 照应 [01\[ zhào yìng\]]	to correlate with;to correspond to
照應 照应 [01\[ zhào ying\]]	to look after;to take care of;to attend to
照抄 照抄 [01\[ zhào chāo\]]	to copy word-for-word
照搬 照搬 [01\[ zhào bān\]]	to copy;to imitate
照料 照料 [01\[ zhào liào\]]	to tend;to take care of sb
照明 照明 [01\[ zhào míng\]]	lighting;illumination
照明彈 照明弹 [01\[ zhào míng dàn\]]	a flare;a very light
照映 照映 [01\[ zhào yìng\]]	to shine;to illuminate
照會 照会 [01\[ zhào huì\]]	a diplomatic note;letter of understanding or concern exchanged between governments
照本宣科 照本宣科 [01\[ zhào běn xuān kē\]]	a wooden word-by-word reading
照樣 照样 [01\[ zhào yàng\]]	as before;(same) as usual
照準 照准 [01\[ zhào zhǔn\]]	request granted (formal usage in old document);to aim (gun)
照片 照片 [01\[ zhào piàn\]]	photo;photograph;picture
照片子 照片子 [01\[ zhào piàn zi\]]	x-ray photo
照片底版 照片底版 [01\[ zhào piàn dǐ bǎn\]]	a photographic plate
照理 照理 [01\[ zhào lǐ\]]	usually;in the normal course of events
照登 照登 [01\[ zhào dēng\]]	to publish unaltered
照發 照发 [01\[ zhào fā\]]	to provide as before;unaltered provision;an authorised issue
照直 照直 [01\[ zhào zhí\]]	directly;straight;straight ahead;straightforward
照相 照相 [01\[ zhào xiàng\]]	take a photograph
照相機 照相机 [01\[ zhào xiàng jī\]]	camera
照看 照看 [01\[ zhào kàn\]]	to look after;to attend to;to have in care
照眼 照眼 [01\[ zhào yǎn\]]	glare;dazzling
照章 照章 [01\[ zhào zhāng\]]	according to the regulations
照管 照管 [01\[ zhào guǎn\]]	to look after;to provide for
照耀 照耀 [01\[ zhào yào\]]	shine;illuminate
照舊 照旧 [01\[ zhào jiù\]]	as before;as in the past
照葫蘆畫瓢 照葫芦画瓢 [01\[ zhào hú lu huà piáo\]]	lit. to draw a painting inside a gourd (成语 saw); fig. a model;a world in a nutshell
照說 照说 [01\[ zhào shuō\]]	normally;ordinarily speaking
照護 照护 [01\[ zhào hù\]]	care;treatment (e.g. nursing care);to look after
照貓畫虎 照猫画虎 [01\[ zhào māo huà hǔ\]]	lit. drawing a tiger using a cat as a model (成语 saw); fig. to pretend to do sth without understanding it
照辦 照办 [01\[ zhào bàn\]]	to follow the rules;to do as instructed;to play by the book;to comply with a request
照顧 照顾 [01\[ zhào gu\]]	to take care of;to show consideration;to attend to;to look after
煨 煨 [01\[ wēi\]]	simmer;to roast in ashes
煩 烦 [01\[ fán\]]	to feel vexed;to bother;to trouble;superfluous and confusing;edgy
煩悶 烦闷 [01\[ fán mēn\]]	anguish
煩惱 烦恼 [01\[ fán nǎo\]]	agonize;agony;annoyance;upset;vexation;worries
煩擾 烦扰 [01\[ fán rǎo\]]	bother
煩死了 烦死了 [01\[ fán sǐ le\]]	to annoy to death
煩瑣 烦琐 [01\[ fán suǒ\]]	tedious;convoluted;fiddly;pedantic
煩躁 烦躁 [01\[ fán zào\]]	jittery;twitchy;fidgety
煩雜 烦杂 [01\[ fán zá\]]	many and dissorderly;muddled
煬 炀 [01\[ yáng\]]	molten;smelt
煮 煮 [01\[ zhǔ\]]	to cook;to boil
煮熟 煮熟 [01\[ zhǔ shóu\]]	boil
煮蛋 煮蛋 [01\[ zhǔ dàn\]]	boiled egg
煮開 煮开 [01\[ zhǔ kāi\]]	to boil (vegetables)
煲 煲 [01\[ bāo\]]	pot or saucepan;to boil;cook or heat
煸 煸 [01\[ biān\]]	to stir-fry before broilng or stewing
煻 煻 [01\[ táng\]]	to warm;to toast
煽 煽 [01\[ shān\]]	fan into a flame;incite
煽動 煽动 [01\[ shān dòng\]]	to incite;to instigate
煽動性 煽动性 [01\[ shān dòng xìng\]]	provocative
煽動顛覆國家政權 煽动颠覆国家政权 [01\[ shān dòng diān fù guó jiā zhèng quán\]]	incitement to subvert state power (criminal charge used to gag free speech)
煽動顛覆國家罪 煽动颠覆国家罪 [01\[ shān dòng diān fù guó jiā zuì\]]	crime of conspiring to overthrow the state
煽陰風 煽阴风 [01\[ shān yīn fēng\]]	to raise an ill wind
熀 熀 [01\[ huǎng\]]	dazzle
熄 熄 [01\[ xī\]]	to extinguish;to put out (fire);to quench;to stop burning;to go out (of fire
熄滅 熄灭 [01\[ xī miè\]]	to stop burning;to go out (of fire);to die out;extinguished
熄火 熄火 [01\[ xī huǒ\]]	to stop burning;to go out (of fire
熄燈 熄灯 [01\[ xí dēng\]]	turn out the lights;lights out
熅 熅 [01\[ yùn\]]	to iron
熇 熇 [01\[ kǎo\]]	dry
熉 熉 [01\[ yún\]]	(yellow color)
熊 熊 [01\[ xióng\]]	bear;to scold;to rebuke;brilliant light;to shine brightly;surname xiong
熊倪 熊倪 [01\[ xióng ní\]]	ni xiong
熊包 熊包 [01\[ xióng bāo\]]	worthless person;good-for-nothing
熊市 熊市 [01\[ xióng shì\]]	bear market
熊成基 熊成基 [01\[ xióng chéng jī\]]	xiong chengji (1887-1910)
熊掌 熊掌 [01\[ xióng zhǎng\]]	bear paw (as food)
熊本 熊本 [01\[ xióng běn\]]	kumamoto
熊熊 熊熊 [01\[ xióng xióng\]]	raging;flaming
熊猴 熊猴 [01\[ xióng hóu\]]	assamese macaque
熊腰虎背 熊腰虎背 [01\[ xióng yāo hǔ bèi\]]	waist of a bear and back of a tiger;tough and stocky build
熊蜂 熊蜂 [01\[ xióng fēng\]]	bumblebee
熊貓 熊猫 [01\[ xióng māo\]]	panda
熊貓館 熊猫馆 [01\[ xióng māo guǎn\]]	panda exhibition hall
熏 熏 [01\[ xūn\]]	to smoke;scent;fumigate
熏制 熏制 [01\[ xūn zhì\]]	to smoke;to cure over a fire
熏染 熏染 [01\[ xūn rǎn\]]	to exert a gradual influence;to nurture;a corrupting influence
熏烤 熏烤 [01\[ xūn kǎo\]]	to smoke;to cure over a wood fire
熏衣草 熏衣草 [01\[ xūn yī cǎo\]]	lavender
熏陶 熏陶 [01\[ xūn táo\]]	nurturing (i.e. assimilate some branch of culture);seeped in
熏陶成性 熏陶成性 [01\[ xūn táo chéng xìng\]]	(成语 saw) nurture makes second nature;good habits come by long assimilation
熏風 熏风 [01\[ xūn fēng\]]	warm south wind
熒 荧 [01\[ yíng\]]	polyeonatum officinale;glimmer;glimmering;dazzling;perplexed
熒光 荧光 [01\[ yíng guāng\]]	fluorescence
熒光屏 荧光屏 [01\[ yíng guāng píng\]]	fluorescent screen;tv screen
熒光棒 荧光棒 [01\[ yíng guāng bàng\]]	glow stick;glowstick;light stick;lightstick
熒屏 荧屏 [01\[ yíng píng\]]	the glittering screen (refers to television)
熔 熔 [01\[ róng\]]	to smelt;fuse
熔化 熔化 [01\[ róng huà\]]	melt (metals)
熔化點 熔化点 [01\[ róng huà diǎn\]]	melting point
熔岩 熔岩 [01\[ róng yán\]]	lava
熔岩流 熔岩流 [01\[ róng yán liú\]]	lava flow
熔岩湖 熔岩湖 [01\[ róng yán hú\]]	lava lake
熔岩穹丘 熔岩穹丘 [01\[ róng yán qióng qiū\]]	magma dome
熔渣 熔渣 [01\[ róng zhā\]]	slag (smelting)
熔漿 熔浆 [01\[ róng jiāng\]]	magma;molten lava
熔礦爐 熔矿炉 [01\[ róng kuàng lú\]]	furnace
熔融 熔融 [01\[ róng róng\]]	to melt;to fuse
熔融岩漿 熔融岩浆 [01\[ róng róng yán jiāng\]]	magma;molten lava
熔解 熔解 [01\[ róng jiě\]]	fusion
熔點 熔点 [01\[ róng diǎn\]]	melting point
熗 炝 [01\[ qiàng\]]	to stir-fry then cook with sauce and water;to boil food briefly then dress with soy etc;to choke;to irritate (throat etc)
熗 熗 [01\[ qiàng\]]	cook in soy
熘 熘 [01\[ liū\]]	quick-fry;sim. to stir-frying
熙 熙 [01\[ xī\]]	prosperous;splendid
熙壤 熙壤 [01\[ xī rǎng\]]	restless
熙熙壤壤 熙熙壤壤 [01\[ xī xī rǎng rǎng\]]	variant of 熙熙攘攘
熙熙攘攘 熙熙攘攘 [01\[ xī xī rǎng rǎng\]]	bustling
熛 熛 [01\[ biāo\]]	blaze;flame flaring
熟 熟 [01\[ shú\]]	cooked (of food);ripe (of fruit);mature (of seeds);familiar;skilled;done;colloquial pr. shou2
熟人 熟人 [01\[ shú rén\]]	acquaintance;friend
熟人熟事 熟人熟事 [01\[ shú rén shú shì\]]	familiar
熟化 熟化 [01\[ shú huà\]]	to cure;to mature
熟地 熟地 [01\[ shú dì\]]	cultivated land;in chinese medicine
熟字 熟字 [01\[ shú zì\]]	familiar words;known chinese character
熟客 熟客 [01\[ shú kè\]]	frequent visitor
熟思 熟思 [01\[ shú sī\]]	deliberation
熟悉 熟悉 [01\[ shú xī\]]	to be familiar with;to know well
熟慮 熟虑 [01\[ shú lǜ\]]	careful thought
熟手 熟手 [01\[ shú shǒu\]]	skilled person;an experienced hand
熟料 熟料 [01\[ shú liào\]]	worked material;chamotte (refractory ceramic material)
熟無熟手 熟无熟手 [01\[ shú wú shú shǒu\]]	not to notice a familiar sight;blind to sth
熟睡 熟睡 [01\[ shú shuì\]]	asleep;sleeping soundly
熟知 熟知 [01\[ shú zhī\]]	acquaintance
熟石灰 熟石灰 [01\[ shú shí huī\]]	slaked lime;hydrated lime
熟石膏 熟石膏 [01\[ shú shí gāo\]]	plaster of paris;calcined gypsum
熟稔 熟稔 [01\[ shú rěn\]]	quite familiar with sth
熟絲 熟丝 [01\[ shú sī\]]	silk raw material (prepared by boiling in soap)
熟練 熟练 [01\[ shú liàn\]]	practiced;proficient;skilled;skillful
熟習 熟习 [01\[ shú xí\]]	to understand profoundly;well-versed;skillful;practised;to have the knack
熟能生巧 熟能生巧 [01\[ shú néng shēng qiǎo\]]	with familiarity you learn the trick (成语 saw); practise makes perfect
熟荒 熟荒 [01\[ shú huāng\]]	abandoned land
熟菜 熟菜 [01\[ shú cài\]]	cooked food (ready to eat)
熟記 熟记 [01\[ shú jì\]]	to learn by heart;to memorize
熟語 熟语 [01\[ shóu yǔ\]]	idiom
熟諳 熟谙 [01\[ shú ān\]]	to know sth fluently;well-versed
熟識 熟识 [01\[ shú shi\]]	to be well acquainted with;to know know well
熟路 熟路 [01\[ shú lù\]]	familiar road;beaten track
熟道 熟道 [01\[ shú dào\]]	familiar road;well-trodden path
熟道兒 熟道儿 [01\[ shú dào 5r\]]	familiar road;well-trodden path
熟鐵 熟铁 [01\[ shú tiě\]]	wrought iron
熟門熟路 熟门熟路 [01\[ shú mén shú lù\]]	familiar
熟食 熟食 [01\[ shú shí\]]	cooked food
熠 熠 [01\[ yì\]]	to glow;flash
熤 熤 [01\[ yì\]]	(person)
熨 熨 [01\[ yù\]]	reconciled;smooth
熨 熨 [01\[ yùn\]]	an iron;to iron
熨斗 熨斗 [01\[ yùn dǒu\]]	(an) iron
熬 熬 [01\[ āo\]]	to boil;stew;to simmer
熬 熬 [01\[ áo\]]	endure;to boil
熬夜 熬夜 [01\[ áo yè\]]	stay up late or all night
熬煎 熬煎 [01\[ áo jiān\]]	suffering;torture
熯 熯 [01\[ hàn\]]	to dry with fire
熰 熰 [01\[ ōu\]]	great drough;heat
熱 热 [01\[ rè\]]	heat;to heat up;fervent;hot (of weather);warm up
熱中子 热中子 [01\[ rè zhōng zǐ\]]	thermal neutron
熱乎乎 热乎乎 [01\[ rè hū hū\]]	nice and warm
熱傳導 热传导 [01\[ rè chuán dǎo\]]	heat transfer;thermal conduction
熱函 热函 [01\[ rè hán\]]	enthalpy;heat content (thermodynamics)
熱切 热切 [01\[ rè qiè\]]	fervent
熱力 热力 [01\[ rè lì\]]	heat
熱力學 热力学 [01\[ rè lì xué\]]	thermodynamics
熱力學溫度 热力学温度 [01\[ rè lì xué wēn dù\]]	thermodynamic temperature (temperature above absolute zero)
熱力學溫標 热力学温标 [01\[ rè lì xué wēn biāo\]]	thermodynamic temperature scale (in degrees kelvin
熱容 热容 [01\[ rè róng\]]	thermal capacity
熱對流 热对流 [01\[ rè duì liú\]]	heat convection
熱導 热导 [01\[ rè dǎo\]]	thermal conduction
熱島 热岛 [01\[ rè dǎo\]]	heat island (i.e. large city centers are hotter)
熱島效應 热岛效应 [01\[ rè dǎo xiào yìng\]]	heat island effect (i.e. large city centers are hotter)
熱帶 热带 [01\[ rè dài\]]	tropic;tropical
熱帶雨林 热带雨林 [01\[ rè dài yǔ lín\]]	tropical rain forest
熱帶風暴 热带风暴 [01\[ rè dài fēng bào\]]	tropical storm
熱帶魚 热带鱼 [01\[ rè dài yú\]]	tropical fish
熱度 热度 [01\[ rè dù\]]	temperature
熱得快 热得快 [01\[ rè de kuài\]]	immersion heater;electric heater for liquid
熱心 热心 [01\[ rè xīn\]]	enthusiasm;zeal;zealous;zest;enthusiastic;ardent;warmhearted
熱忱 热忱 [01\[ rè chén\]]	ardor;enthusiastic
熱情 热情 [01\[ rè qíng\]]	cordial;enthusiastic;passion;passionate;passionately
熱愛 热爱 [01\[ rè ài\]]	to love ardently;to adore
熱成層 热成层 [01\[ rè chéng céng\]]	thermosphere
熱捧 热捧 [01\[ rè pěng\]]	a craze;a popular wave;a hit with the public
熱插拔 热插拔 [01\[ rè chā bá\]]	hot swapping
熱望 热望 [01\[ rè wàng\]]	aspire
熱核反應堆 热核反应堆 [01\[ rè hé fǎn yìng duī\]]	thermal reactor
熱核武器 热核武器 [01\[ rè hé wǔ qì\]]	fusion weapon;thermonuclear weapon
熱核聚變反應 热核聚变反应 [01\[ rè hé jù biàn fǎn yìng\]]	thermonuclear fusion reaction
熱機 热机 [01\[ rè jī\]]	heat engine
熱氣 热气 [01\[ rè qì\]]	steam;heat
熱氣球 热气球 [01\[ rè qì qiú\]]	hot air balloon
熱水 热水 [01\[ rè shuǐ\]]	hot water
熱水器 热水器 [01\[ rè shuǐ qì\]]	water heater
熱水澡 热水澡 [01\[ rè shuǐ zǎo\]]	hot bath of shower
熱水瓶 热水瓶 [01\[ rè shuǐ píng\]]	thermos bottle;vacuum bottle
熱水袋 热水袋 [01\[ rè shuǐ dài\]]	hot water bottle;hot-water bag
熱河 热河 [01\[ rè hé\]]	rehe province during the qing dynasty
熱浪 热浪 [01\[ rè làng\]]	a heatwave
熱淚 热泪 [01\[ rè lèi\]]	hot tears
熱淚盈眶 热泪盈眶 [01\[ rè lèi yíng kuàng\]]	eyes brimming with tears of excitement (成语 saw);extremely moved
熱源 热源 [01\[ rè yuán\]]	heat source
熱潮 热潮 [01\[ rè cháo\]]	upsurge;popular craze
熱炒熱賣 热炒热卖 [01\[ rè chǎo rè mài\]]	lit. to sell hot food freshly cooked; fig. to teach what one has just learned;enthusiasm of the new convert
熱烈 热烈 [01\[ rè liè\]]	warm (welcome etc)
熱焓 热焓 [01\[ rè hán\]]	enthalpy;heat content (thermodynamics)
熱燙 热烫 [01\[ rè tàng\]]	to burn
熱爾韋 热尔韦 [01\[ rè ěr wéi\]]	gervais (name);paul gervais (1816-1879)
熱狗 热狗 [01\[ rè gǒu\]]	hot dog
熱病 热病 [01\[ rè bìng\]]	fever;pyrexia
熱痙攣 热痉挛 [01\[ rè jìng luán\]]	heat cramps
熱線 热线 [01\[ rè xiàn\]]	hotline (communications link)
熱能 热能 [01\[ rè néng\]]	heat energy
熱脈衝 热脉冲 [01\[ rè mài chōng\]]	thermal pulse
熱腸 热肠 [01\[ rè cháng\]]	warm hearted
熱茶 热茶 [01\[ rè chá\]]	hot tea
熱處理 热处理 [01\[ rè chǔ lǐ\]]	hot treatment (e.g. of metal)
熱血 热血 [01\[ rè xuè\]]	hot blood;warm-blooded (animal);endothermic (physiology)
熱衷 热衷 [01\[ rè zhōng\]]	to feel strongly about;obsession
熱補 热补 [01\[ rè bǔ\]]	hot patching (of insulating material in a furnace);hot patching (runtime correction in computing)
熱誠 热诚 [01\[ rè chéng\]]	devotion;fervor
熱賣品 热卖品 [01\[ rè mài pǐn\]]	hot-selling property
熱身 热身 [01\[ rè shēn\]]	to warm oneself
熱身賽 热身赛 [01\[ rè shēn sài\]]	exhibition game
熱輻射 热辐射 [01\[ rè fú shè\]]	thermal radiation
熱連球菌 热连球菌 [01\[ rè lián qiú jūn\]]	streptococcus thermophilus
熱那亞 热那亚 [01\[ rè nà yà\]]	genoa
熱量 热量 [01\[ rè liàng\]]	heat;how hot;quantity of heat;calorific value
熱量單位 热量单位 [01\[ rè liàng dān wèi\]]	thermal unit;unit of heat
熱門 热门 [01\[ rè mén\]]	popular;hot;in vogue
熱門貨 热门货 [01\[ rè mén huò\]]	goods in great demand
熱門音樂 热门音乐 [01\[ rè mén yīn yuè\]]	popular or hot music
熱電 热电 [01\[ rè diàn\]]	pyroelectric;piezo-electric effect
熱電廠 热电厂 [01\[ rè diàn chǎng\]]	thermoelectric power plant
熱風 热风 [01\[ rè fēng\]]	hot wind;hot air
熱飲 热饮 [01\[ rè yǐn\]]	hot drink
熱鬧 热闹 [01\[ rè nao\]]	bustling with noise and excitement;lively
熱點 热点 [01\[ rè diǎn\]]	hot spot;point of special interest
熲 熲 [01\[ jiǒng\]]	blaze
熳 熳 [01\[ màn\]]	to spread
熵 熵 [01\[ shāng\]]	entropy
熸 熸 [01\[ jiān\]]	extinguish (of fire)
熹 熹 [01\[ xī\]]	bright;warm
熾 炽 [01\[ chì\]]	flame;blaze
熾烈 炽烈 [01\[ chì liè\]]	burning fiercely;flaming;blazing
熾熱 炽热 [01\[ chì rè\]]	glow
熾熱火山雲 炽热火山云 [01\[ chì rè huǒ shān yún\]]	nuée ardente;hot cloud of volcanic ash
熿 熿 [01\[ huáng\]]	brilliant
燀 燀 [01\[ chǎn\]]	make a fire
燁 烨 [01\[ yè\]]	blaze of fire;glorious
燂 燂 [01\[ qián\]]	to heat;to scorch
燃 燃 [01\[ rán\]]	burn;combustion
燃放 燃放 [01\[ rán fàng\]]	to light;to set off (firecrackers etc)
燃料 燃料 [01\[ rán liào\]]	fuel
燃料元件細棒 燃料元件细棒 [01\[ rán liào yuán jiàn xì bàng\]]	fuel pins
燃料循環 燃料循环 [01\[ rán liào xún huán\]]	fuel cycle
燃料油 燃料油 [01\[ rán liào yóu\]]	fuel oil
燃料組合 燃料组合 [01\[ rán liào zǔ hé\]]	fuel fabrication
燃料芯塊 燃料芯块 [01\[ rán liào xīn kuài\]]	fuel pellets
燃料處理廠 燃料处理厂 [01\[ rán liào chù lǐ chǎng\]]	fuel processing plant
燃料電池 燃料电池 [01\[ rán liào diàn chí\]]	fuel cell
燃油 燃油 [01\[ rán yóu\]]	fuel oil
燃油艙 燃油舱 [01\[ rán yóu cāng\]]	oil tank (of ship)
燃煤 燃煤 [01\[ rán méi\]]	coal fuel
燃煤鍋爐 燃煤锅炉 [01\[ rán méi guō lú\]]	coal burning boiler
燃燈佛 燃灯佛 [01\[ rán dēng fó\]]	dipamkara buddha
燃燒 燃烧 [01\[ rán shāo\]]	combustion;flaming;kindle
燃燒瓶 燃烧瓶 [01\[ rán shāo píng\]]	molotov cocktail
燃素說 燃素说 [01\[ rán sù shuō\]]	phlogiston theory
燃耗 燃耗 [01\[ rán hào\]]	to consume fuel;to burn up
燃點 燃点 [01\[ rán diǎn\]]	ignition point (temperature);combustion point
燄 焰 [01\[ yàn\]]	flame
燄火 焰火 [01\[ yàn huǒ\]]	fireworks
