to a relief effort	28-3905-S
to assault	9-46681-B,29-16242-B,42-2184-B,56-31513-B
to assemble	27-51727-B,27-52496-B,27-52912-B,32-21986-B,45-30497-B,49-37832-B,50-31603-B,55-20807-B,57-903-B,66-58111-B
to assemble and disassemble	56-60821-B
to assemble by agreement	49-8170-B
to assemble of a group of people	51-56244-B
to assemble the multitude	12-36105-S
to assemble together	51-53646-B
to assent	5-41921-B
to assert	43-43962-B,43-44556-B,51-66436-B,66-29553-B,66-29699-B
to assess	4-59603-B,4-59757-B,4-59984-B,13-35053-B,51-34039-B,58-7115-B,58-7204-B
to assess an entire lot	4-59538-B
to assess one s capabilities and act accordingly 成语 saw	64-5225-B
to assess one s income and spend accordingly 成语 saw	64-4838-B
to assess punishment	64-5065-B
to assess sb s capabilities and employ him accordingly 成语 saw	64-5925-B
to assess the head and discuss the feet 成语 saw	13-35409-S,58-8413-S
to assign	4-41235-B,4-43564-B,8-59002-B,9-38983-B,9-39578-B,38-350-B,59-59451-B
to assign a task to different people	8-56156-B
to assign a task to sb	3-72180-B
to assign an essay topic	13-20450-B
to assign corvée duties forced labor	29-37996-B
to assign sb to a job	38-498-B
to assign to a class	35-53472-B
to assimilate	13-3615-B,29-34075-B
to assimilate a minority	56-10270-B
to assist	6-58763-B,9-60871-B,10-63795-B,22-35285-B,22-35549-B,26-55788-B,26-55923-B,28-50876-B,29-63233-B,29-63960-B,60-3328-B,61-8644-B,61-8868-B
to assist in managing e g traffic police or crowd control	10-64761-B
to associate	3-68253-B,51-61549-B
to associate with	4-52755-B
to associate with sb	1-74575-S
to assume	6-7565-B,24-33033-B,58-1937-B
to assume a form	13-8106-B
to assume a working position	43-64648-B
to assume leadership of large army	28-19435-B
to assume office	11-23816-B
to assume office of	29-22506-B
to assume responsibility etc	26-61353-B
to assume sb s name and take his place 成语 saw	8-10853-B
to assume the air of a functionary	26-42825-B,26-42953-B
to assume wrongly	4-38004-B
to assure	5-38699-B
to astonish	4-34194-B,67-40986-B
to astonish people with a miraculous feat	69-59540-B
to atone for a crime	27-10328-B
to atrophy of muscle or organ	54-42088-B
to attach	62-22000-B,66-15092-B,66-15676-B
to attach importance to sth	64-405-B
to attach most importance to	40-31748-B
to attach oneself to	5-25850-B
to attack	4-54853-B,23-29475-S,23-29630-S,23-31361-S,23-63037-B,26-45023-B,29-32950-B,29-47116-B,29-47168-B,29-47554-B,57-12180-B,57-12267-B
to attack and destroy	29-19793-B,35-64900-B
to attack for a long time without success	3-9385-B
to attack from an unexpected direction	61-43243-B
to attack in force	9-46681-B
to attack it 成语 saw	51-11461-S
to attack of wind	13-6624-B
to attack on a grand scale	17-17476-B
to attack one another	20-50705-B
to attack sb	23-62670-B
to attack verbally or in writing	27-11522-B
to attain	62-52737-B
to attain a formal title	35-34509-B
to attain gradually	69-45442-B
to attain perfection 成语 saw	53-21047-B
to attain private ends by abusing public position	6-6513-B
to attempt	14-30302-B,58-12612-B
to attempt a comeback	63-59343-B
to attempt all tasks at once	1-9428-B
to attempt the impossible	4-36415-B
to attempt to convince	10-10918-B
to attempt to find an opportunity to speak	14-30023-B
to attempt vainly	18-32881-B
to attend	8-39260-B,61-62148-S
to attend a banquet etc	60-15313-B
to attend a meeting as a nonvoting delegate	8-66669-B
to attend a ritual	57-43365-B
to attend class	1-55853-B
to attend class or university	1-45053-B
to attend college	36-53867-B
to attend court	52-0-B
to attend school	1-48535-B
to attend school on a temporary basis	6-1337-B
to attend simultaneously to two or more things	8-7004-B
to attend to	23-41105-B,30-35196-B,41-7507-B,41-8902-B,41-9849-B,68-48720-B
to attend to some business	24-45796-S
to attenuate	56-48218-B
to attract	23-27332-B,27-43566-B,29-13274-B,58-24226-B
to attract attention	23-27595-B,23-27695-B
to attract interest	13-3314-B
to attract jade 成语 saw	27-27976-S
to attract one another	45-27349-B
to audit	20-22646-B,20-22839-B,57-29219-B
to audit and determine	57-29018-B
to audit and write off	57-29381-B
to audition	68-3156-B
to augment	16-27508-B
to authenticate	58-20665-B,58-21727-B,62-12819-B
to authorise	57-28945-B
to authority	35-19262-S
to authorize	28-12434-B
to autograph	48-40267-B
to avail oneself of	3-12362-B
to avenge	16-8663-B,25-1673-S
to avenge private wrongs	7-58035-S
to aver	43-43352-B
to avert	63-6085-B
to avert disaster	10-25111-B
to avoid	4-36027-S,7-20160-B,7-20381-S,7-21419-B,9-46036-S,12-14454-S,14-57954-B,24-42452-S,28-32176-B,43-20252-B,45-34037-B,60-57979-B,63-5989-B,63-6085-B,63-7797-B,67-11634-S
to avoid arousing suspicions	23-28488-B
to avoid as taboo	8-61472-B
to avoid by all means	8-61472-B
to avoid difficulties	57-47508-B
to avoid disasters i e traditional superstitions	46-51920-S
to avoid embarassment or ridicule	57-48138-S
to avoid esp responsibility	28-30146-B
to avoid evil	63-7092-B
to avoid evil spirits	63-7582-B
to avoid immorality	39-57461-B
to avoid mentioning	58-46829-B
to avoid rain	15-61126-S
to avoid sb out of dislike	18-58779-B
to avoid sth as taboo	26-13788-B
to avoid sth essential because of a slight risk	14-59606-B
to avoid the strong and attack the weak 成语 saw	62-56679-B,62-56839-B
to avoid work	6-22628-B
to await	32-51064-B
to await eagerly	45-49182-B
to await expectantly	32-51455-B
to await job assignment term used only in mainland china	23-65093-B
to awake sb from ignorance	13-65580-B
to awaken	12-9782-B,43-33750-B,57-41330-B,63-47987-B
to awaken from a dream	69-60389-B
to award	28-11844-B,28-11963-B
to award a bonus	8-57164-B
to award a medal	68-32002-B
to award a prize	28-12482-B,68-32266-B
to award an honor	14-28383-B,28-12177-B
to awe	67-40173-B
to b	60-43346-S
to babble in one s sleep	58-22943-B
to babble like an idiot 成语 saw	58-26363-B
to back	6-17865-S,29-38198-B,29-38505-B
to back down	17-71542-S
to back out of a promise	11-48269-B,51-21590-B
to back sb up	4-26405-B,30-14214-B
to back up sb	5-5478-B
to baffle	51-10348-B,61-54283-B
to bail i e scoop water	26-25878-B,53-21354-B
to bail out	60-44482-B
to bake	40-26387-B,40-41116-B,40-44749-B,40-44859-B,41-26069-B
to bake e g mineral ore	40-44989-B
to balance	58-36030-B
to balance an account	32-22101-B
to balance career and family	8-7004-B
to balance resources	27-71043-B
to bale out water	26-66194-B
to ban	33-46621-B
to banish from one s thoughts	50-52785-B
to banish to an army post	7-544-B
to banish to penal servitude	7-0-B
to bank up the roots of plants	55-10048-B
to banter	26-21747-B,58-53108-B,58-53282-B,62-3929-B
to bar the way	29-32782-B,65-64122-B
to bare	56-50298-B,57-11440-B
to bare one s fangs	13-15469-B,71-55865-B
to bare one s teeth	71-55807-B
to bare the feet	26-49060-B
to bargain	59-3100-B,63-9606-B
to bargain face to face	68-3564-B
to barge	35-9909-B
to barge into	29-25510-B
to bark	12-66223-B,14-25731-B
to bark out a sound	12-9248-B
to base	26-51252-B
to base 2	3-42499-S
to base a work on some model	5-24153-B
to base oneself on	25-54949-B
to bash one s head against a brick wall	65-9835-B,65-10101-B
to bask in the light	37-25839-B
to bat	29-19847-B
to bathe	37-52715-B,37-53649-B,38-14685-B
to bathe the body and cleanse virtue 成语 saw	40-1179-B
to battle	26-20484-B
to bawl	12-30629-B,12-30965-B
to bawl out	13-16248-B,44-14860-B
to be	2-10536-S,3-8758-B,3-9075-B,4-8271-S,4-23224-S,4-33907-S,5-7962-S,6-13941-B,7-64306-S,8-10643-S,9-27601-S,11-24960-S,11-24960-S,19-7568-B,21-26938-B,21-26938-S,23-62124-S,31-37688-B,32-29282-B,37-8668-S,40-31590-B,41-40600-B,42-14860-S,43-64373-B,43-67281-S,48-24185-S,53-12747-S,57-35492-S
to be 	2-3499-S
to be a benefit to	57-2661-B
to be a burden on	27-37342-B
to be a drag on sb	27-36036-B
to be a gift to the opposite sex	53-437-S
to be a good son or daughter	19-9985-B
to be a great man	40-55615-S
to be a guest or visitor	6-14891-B
to be a hindrance	46-42841-B
to be a horse 成语 saw	27-61419-S
to be a hypocrite and hide behind florid rhetoric	42-39217-B
to be a noise in the world	66-52093-B
to be a nosy parker	48-27373-B
to be a proponent of an idea or school of thought	6-2278-B
to be a school primer for writing the great seal script 大篆	12-22222-S
to be a soldier	43-66014-B
to be a stage in the development of chinese characters	17-42351-S
to be a suspect in a crime	38-34816-B
to be a thief	5-9037-B
to be able to	7-14418-B
to be able to endure it	24-42924-B
to be able to help	68-9087-S
to be able to pay	29-37486-B
to be able to read aloud fluently	1-47086-B
to be able to take care of	62-43541-B
to be able to talk to	58-41200-B
to be able to tell people apart	58-19786-B
to be able to use	43-34789-B
to be about to	11-24429-B
to be about to materialize	32-37493-B
to be absorbed in sth	7-24233-B
to be admired	59-13621-B
to be affected by	54-53041-B
to be afraid	19-59182-B,24-53832-B,25-16715-B,26-3391-B
to be afraid of strangers of small children	24-53874-B
to be agonized	45-57212-B
to be alert	59-1945-B
to be alert for	59-1003-B
to be alive	15-33689-B
to be all smiles	45-36667-B
to be all the rage	68-59064-S
to be allergic	62-45556-B
to be amazed	12-28115-B
to be ambitious	32-32892-B
to be ambushed	62-35835-B
to be angry at	14-24176-B
to be annexed	38-44887-B
to be anxious	29-22837-B,42-2594-B
to be apart	60-37049-B,60-37246-B
to be appointed to a post	69-21075-S
to be appointed to high office	11-59582-B,28-12015-B
to be arrested	56-51985-B
to be ashamed	25-48704-B,51-10244-B
to be ashamed into anger	25-24885-B
to be assessed as	58-7690-B
to be astonished	58-14718-B
to be at a loss	17-65460-B
to be at a standstill	60-46913-B
to be at ease	29-51762-B
to be at fault	35-53731-S
to be at sixes and sevens	14-46630-B
to be at wits end	1-17121-B
to be attached	66-15092-B
to be attached to	66-51629-B
to be attended to	3-30760-S
to be awake	63-47987-B
to be aware	25-30258-B,45-63058-B
to be back in one s proper surroundings	18-32123-S
to be barbed	22-28143-B
to be based on	25-54808-B
to be bashful	19-59758-B
to be beaten	27-68293-B
to be bent on	21-18593-B
to be blessed	32-37772-B
to be blind	45-58745-B
to be bloated	52-35556-B
to be born	8-33872-S,8-42192-B,43-17960-B,54-49235-B,58-23772-B,66-17361-B
to be brave enough to	9-66297-B
to be bumpy	8-32707-S
to be burdened	52-16358-B
to be buried alive as sacrifice together with husband or superior	35-60577-B
to be buried with or next to dead person of deceased s partner	66-23279-B
to be called	2-10536-S,12-9012-B,12-9073-B
to be called by god	54-62220-B
to be captivated	70-33462-B
to be captured	33-11573-S
to be careful	20-64039-B,65-21023-B
to be cautious or vigilant	28-41051-B
to be censored	4-67354-S
to be certain	52-13173-B
to be chattersome	12-7520-B
to be choked	11-12694-B
to be chosen	7-25787-B
to be clean without seeing how it is prepared 成语 saw	45-47760-S
to be clear about	31-21867-B
to be clear about the facts	39-65717-B
to be clever	53-214-S
to be close to	6-26869-B,66-15092-B
to be cocky	51-20499-B
to be completely ignorant about	1-14213-B
to be completely perfect	10-44446-S
to be concerned	29-22916-B
to be confronted with	68-2948-B
to be congenial	58-41200-B
to be connected	32-38738-B
to be connected to electricity grid	62-15552-B
to be considerate	24-35993-S
to be considered worthless	57-35067-B
to be contaminated	38-27152-B
to be contrary to	62-58307-B
to be convinced	5-45049-B,46-33123-B
to be convinced until one is faced with grim reality	2-28312-S
to be crestfallen	15-55683-B
to be criticized	27-68229-B,27-69292-B
to be cuckolded by one s wife	26-23858-B
to be dead	2-2228-B,37-8668-B
to be deadlocked	6-52752-B
to be debated	28-40037-S
to be deeply affected	38-45164-B
to be defeated	17-65653-B,26-45462-B
to be delighted with oneself	61-1406-B
to be denied	2-5988-S
to be dependent on	5-25786-B,5-63421-B
to be dependent upon sb	6-26358-B
to be desired	19-36533-S,19-38287-S
to be determined	36-65967-B
to be diagonally opposite to	30-36050-B
to be different	9-3200-S,34-52931-S
to be difficult to bear	67-11834-B
to be difficult to protect	67-11553-B
to be discouraged	36-31582-B
to be disgraced	42-48732-B
to be displeased with them	26-43949-S
to be divide by	66-21486-B
to be divorced from one s wife or husband	67-9281-B
to be divulged	1-76291-S
to be dizzy and see stars	45-18211-B
to be done	3-30760-S,24-52014-S,37-10903-S,37-11887-S,44-55698-S
to be done by a certain date	40-32619-B
to be done with it	3-28194-B
to be done with sth	42-38601-B
to be done with this world	3-28325-B
to be drawn into	28-7583-B
to be drunk with	66-31809-B
to be dumb	13-64250-B
to be duty bound	59-40996-B
to be effective	29-53474-S
to be elected as	7-25787-B
to be emperor	26-62489-S
to be employed	22-52555-B
to be employed at	11-64162-B
to be enchanted	7-25655-B
to be enchanted by	61-53436-B
to be engrossed in work	15-61237-B
to be enough	17-2140-B
to be enraged	36-24927-B,43-22119-B
to be enthralled	7-25357-B
to be entranced	7-25357-B
to be entrusted with	57-65349-B
to be eradicated	49-47723-B
to be excused	13-8755-S,30-12502-S
to be executed	4-54720-B,30-38074-B
to be exiled	38-1742-B
to be expert in	29-18563-B
to be faced with problems	68-3030-B
to be facing us	43-66144-B
to be fair	29-29808-B
to be faithful	59-8430-S
to be familiar with	41-15394-B,58-21789-B
to be familiar with the situation	45-63634-B
to be fascinated	7-25655-B
to be fashionable for awhile	68-59064-B
to be fast asleep	37-6811-B
to be fastidious	13-5675-S
to be fearful	7-23581-B
to be fed up with	52-49979-B
to be fired	40-29355-B
to be first	41-38018-S
to be first and fearing to be last 成语 saw	41-38100-S
to be first or second best 成语 saw	30-19551-S
to be first to do sth	27-66550-B
to be first to rise in revolt	44-35196-B
to be flexible and take advantage of the situation	57-31576-B,57-31761-B
to be flustered	26-32946-B
to be followed	2-32595-S
to be fond of	14-6828-B,14-8386-B,14-8566-B,18-26190-B,25-32320-B,25-33666-B
to be fooled	1-54246-B
to be forced to	12-7894-B
to be forced to drink a forfeit	30-12804-S
to be forgotten	36-51258-S
to be free	37-8720-B,62-193-B
to be frightened	14-39828-B,69-59319-B
to be full	69-8881-B
to be full after eating	69-8467-B
to be full of	6-65122-B,20-6536-B
to be full of emotion	69-7394-B
to be full of zest	53-25213-B
to be furious	67-40063-B
to be going to	57-24601-B
to be good at	6-17990-B,29-18149-B,29-18563-B
to be good at sth	57-31457-B
to be gradually influenced	38-27152-B
to be gratified	35-22385-B
to be greedy in getting money	59-39679-B
to be happy	14-6828-B
to be happy when one s errors are pointed out	51-57365-B
to be hard on sb	8-48844-B
to be highly successful	17-7761-B
to be hit by a gun	2-73813-B
to be hit by a natural calamity	11-62616-B
to be hospitalized	5-696-B,7-26020-B
to be humiliated	8-46220-B,17-68293-B
to be hungry	69-13907-B
to be idle	62-36982-B
to be ill	44-16328-B
to be ill matched	7-16812-S
to be immensely proud of oneself	24-8132-B
to be impartial	29-29808-B
to be in	15-33424-B,55-48615-B
to be in a coma	31-26990-B
to be in a flurry	26-32946-B
to be in a position of	55-48615-B
to be in a state of emergency	13-9076-B
to be in adversity	60-57175-B
to be in charge of	48-25144-B,59-32156-B
to be in charge of something specific	20-40812-B
to be in command of	49-53928-B
to be in demand	60-9660-B
to be in exile overseas	38-1818-B
to be in favor of	29-38198-B
to be in front	68-33459-B
to be in full swing	21-23049-B
to be in hospital	5-696-B
to be in love	58-41519-B
to be in love with	25-32435-B
to be in misery	53-67551-B
to be in need	6-55047-B
to be indebted to sb	26-61603-B
to be indebted to sb for care	26-61662-B
to be indecisive	23-60349-B
to be indifferent	40-53688-B
to be infatuated with	61-54414-B,66-31809-B
to be infected by	37-26026-B
to be informed	24-7691-B
to be intimate or close	45-63273-B
to be invisible	45-37665-B
to be involved	38-34409-B
to be involved in	28-7583-B
to be jealous of	24-42295-B
to be jealous of a rival in a love affair	41-40268-B
to be just about to	52-55987-B
to be just like	35-39187-B
to be keen on	25-33666-B
to be killed	50-55018-B,62-36014-B
to be killed for a righteous cause	21-10411-B
to be kind and love one another 成语 saw	45-31023-B
to be last 成语 saw	41-38100-S
to be laughing and playing	18-60891-B
to be lazy	6-22837-B,6-22899-B
to be like	18-26605-B,52-8166-B
to be like sth	32-31437-B
to be limited to	12-8674-B
to be located	26-27829-B
to be located at	4-66509-B,4-66558-B
to be located of a building	15-51590-B,22-64991-B
to be loud and clear	26-14979-B
to be lovely	56-60983-S
to be loyal to one s friends and generous to the needy	4-26250-B
to be loyal to one s love	59-31500-S
to be made a scapegoat	52-18967-B
to be mentioned in the same breath	1-76013-S,32-57086-S
to be mindful	60-11720-B
to be missed	35-2239-S
to be more at ease	18-26927-B
to be murdered	62-35766-B
to be named	11-58040-B
to be narrowly partisan	71-44310-B
to be naughty oblique reference to taboo subject of sex	5-6695-B
to be netted of fish	1-54817-B
to be no match for sb	26-40554-B
to be number one best or worst	34-39785-B
to be of importance	46-42841-B
to be of one mind	71-53758-B
to be of use	68-20593-B
to be often exaggeratedly or falsely	55-55525-S
to be on duty	1-54024-B
to be on good terms with	20-57602-B
to be on guard	26-16913-B
to be on hand for an errand	5-28478-S
to be on pins and needles	64-18868-B
to be on show	21-22089-B
to be on the internet	1-54817-B
to be on the scene	15-34404-B
to be on the verge of	11-24429-B
to be one s unshrinkable responsibility	59-40996-B
to be operated on	65-30283-S
to be opposed to	11-47096-B
to be opposite	20-46157-B
to be orderly	32-32140-B
to be orphaned of one s father	14-13017-B
to be out of stock	30-59340-B
to be out of the question	58-40710-B
to be out of touch	52-34464-B
to be outdone by	2-34618-S
to be over	19-36468-B
to be over the limit	60-21670-B
to be overdue	62-46395-B
to be overwhelmed by new experiences and luxurious surroundings	9-41574-S
to be overwhelmed with work or things to study	6-48408-S
to be painted into a corner	60-11844-B
to be part of	21-27542-B
to be parted by death	35-56967-B
to be partial	6-12224-B
to be partial to	12-61824-B
to be poisoned	2-74674-B
to be pooh poohed	2-1907-S
to be poor	13-46717-S
to be popular	68-57086-B
to be positive that	46-33123-B
to be practical and realistic	20-11970-B
to be pregnant	19-4199-B,19-58916-B
to be present	15-34404-B
to be promoted by a fluke	22-51683-B
to be prompted by a sudden impulse	24-38896-B
to be proud of oneself	53-15765-B
to be proud of sth in a good way	53-14210-B
to be published	13-62481-B
to be published of art	68-991-B
to be punished	42-22947-B,47-43702-B
to be punished 成语 saw	50-51879-S
to be pushed around	2-3706-S
to be ready	30-16223-S,39-16571-B
to be ready to do sth	52-12974-B
to be really busy	24-45932-B
to be really frightened	14-39977-B
to be reborn	8-9302-B,24-15144-B
to be reborn in buddhism	61-25676-B
to be reborn in christianity	8-33872-B
to be reduced to begging	38-45409-B
to be reflected in	70-8393-B
to be related	32-38738-B
to be relevant	32-40649-B
to be relieved of a job	11-27594-B
to be rescued	42-23813-B
to be responsible for	59-31940-B
to be reunited	64-1902-B
to be rich in	20-6536-B
to be rising	45-38926-S
to be rude	13-52607-B
to be ruthless to be a great man	40-55615-S
to be sacked	28-8264-B
to be said about it	2-9460-S
to be satisfied	25-38666-B
to be scared	19-59182-B,69-59319-B
to be scared out of one s wits	14-40106-B
to be seated	15-51215-B,59-13817-B
to be seen	1-69809-S,2-28081-S
to be seen in company	27-54996-S
to be sent on a diplomatic mission	8-35035-B
to be settled	3-29331-S
to be severely criticized	27-68576-S
to be shocked	12-28115-B
to be short of	50-48457-B,50-48766-B
to be situated	15-51590-B,22-64991-B
to be situated at	4-66558-B,55-48615-B
to be skunked game	7-13958-B
to be sleepless all night	24-29453-B
to be smart	53-684-S
to be sold	64-34045-B
to be sold out	59-58786-B
to be solemn	29-58954-S
to be spat on in the face and let it dry by itself	13-57103-B
to be startled	12-28115-B
to be sth	57-29437-S
to be sth positive	53-3820-S
to be strong in	6-17990-B
to be struck by a brainwave	67-52093-B
to be sufficient	60-32150-B
to be suitable	62-65245-B
to be suitable easy enough for reading aloud	1-47086-B
to be sure	46-33123-B,46-33291-B,52-13173-B
to be sure to	8-60451-S,10-3627-B
to be taken	28-34105-S,58-43304-S
to be taken as an example	2-32595-S
to be taken as authoritative	2-32595-S
to be taken dissolved in boiling water of chinese herbal medicine	37-12890-B
to be taken in solution	37-13401-S
to be taken prisoner	21-9661-B
to be taken too seriously	18-33654-S
to be taken up later in speech or writing	24-1683-S
to be tangled up with	17-71892-B
to be the first	28-61896-S
to be the first to begin a quarrel	61-61265-B
to be the first to do sth	69-21322-B
to be the most beautiful	48-1209-S
to be the most glamorous	48-1289-S
to be the spitting image of	43-55349-B
to be the target of an attack	27-68512-B
to be thought of	24-36427-S
to be to blame	59-32156-B
to be too inquistive about other people s business	48-27373-B
to be totally dispersed crowd	30-9434-B
to be treasured	1-6909-S,12-17047-B
to be trifled with	2-3706-S
to be true	5-43674-S,21-27422-S,46-33798-S,58-60446-S
to be unable	25-1039-S,25-1203-S
to be unable to	1-70049-B
to be unable to breathe	14-6268-B
to be unable to breathe easily	14-6193-B
to be unable to pay	29-37401-B
to be undertaken	44-55698-S
to be unduly humble 成语 saw	18-33530-B
to be unintelligible	2-21497-B
to be united in action	35-43302-B
to be unoccupied	65-45092-B
to be unrelated	37-10832-B
to be unsure	27-54768-B
to be untrue	12-66933-S
to be up to a task	10-4026-B
to be up to the mark	62-47729-B
to be used for	6-13941-B,43-34157-B
to be used to	51-18382-B
to be useless	64-27180-S
to be valued at	4-59450-B
to be versed in	58-46992-B
to be very angry	36-28669-B
to be very much in love	11-28395-B
to be very safe	4-62330-S
to be very scared and on edge	28-39022-S
to be weary of	11-36248-B
to be well acquainted with	41-16739-B
to be widely known as	54-55279-B
to be willing to part with sth	28-6873-B
to be windy	68-59579-B
to be with	12-46183-B
to be without food and clothing	37-9148-S
to be woken by sth	69-63414-B
to be worried	25-53910-B
to be worth	6-3964-B,6-4215-B
to be yellow emperor 黃帝 黄帝 and four of his sons zhuan xu 顓頊 颛顼	3-49838-S
to beam	53-44443-B
to beam with joy	14-7954-B,14-9247-B
to bear	10-3774-S,11-59260-B,12-27529-B,24-42557-S,25-45713-B,26-23202-B,26-60379-B,26-60830-B,38-29712-B,43-29051-B,43-30742-B,46-41073-S,49-57716-S,52-12779-B,59-31102-B,61-7368-B,67-11834-S,67-13045-S
to bear a burden	59-31587-B
to bear a grudge against	25-16419-B
to bear a heavy responsibility	27-64562-B
to bear and raise children	43-18403-B
to bear fruit	49-39832-B,49-40860-B,49-41989-B
to bear give birth	43-31059-B
to bear hardships and work hard 成语 saw	9-15402-B
to bear heavy responsibilities through a long struggle cf confucian analects	4-44306-S
to bear heavy responsibility	34-9844-S,34-22757-S
to bear humiliation to save one s skin 成语 saw	24-42815-B,24-43744-B
to bear in mind	58-59180-B
to bear one s cross	12-68624-B,54-12879-B
to bear or support	12-26340-S
to bear patiently	66-47524-B
to bear seeds of plant	49-40749-B
to bear sth	19-65223-S
to bear the burden of office willingly	4-42558-B
to bear the weight	26-62259-B
to bear the weight of a building	29-38117-B
to bear the weight of the upper storeys in architecture	26-62620-B
to bear witness	5-8975-B
to beat	10-3774-B,24-42505-B,26-40322-B,26-45462-B,27-29107-B,27-29414-B,27-50496-B,27-50616-B,28-8541-B,28-8600-B,28-62775-B,60-4216-B,60-44409-B,60-44559-B,71-47772-B
to beat a dog	26-46649-B
to beat a dog and bully its owner	26-46744-B
to beat a drum	26-50869-B,30-13589-B,30-14328-B
to beat a gong	30-13650-S
to beat about the bush	27-30867-B,61-23153-B
to beat back	29-20015-B
to beat clothes in washing	34-20755-S
to beat comfortably	47-41640-B,47-43080-B
to beat in a knock out tournament	8-38622-S
to beat it	29-8340-B
to beat milk	26-42445-S
to beat nearby drum	30-14214-S
to beat one s chest	28-8650-B
to beat one s chest and stamp one s feet 成语 saw	28-8706-B
to beat sb	30-13589-B
to beat the breast	29-23334-B
to beat the powerful from a position of weakness	4-37233-B
to beat time by slapping one s thighs	28-53309-B
to beat to death	26-46076-B
to beat up	27-49482-B
to beat with a stick but offer a carrot	18-48850-B
to beaver away despite difficulties	53-67037-B
to beckon	27-40966-B
to become	6-13941-B,26-10713-B,40-31590-B,41-40600-B,59-8600-B
to become a buddhist monk or nun	8-38288-S
to become a cadre e g a promotion from shopfloor	61-22951-B
to become a daoist	7-25719-B
to become a daoist immortal	5-48520-S
to become a government employee	6-14800-B
to become a member	9-51435-B
to become a member of an alliance or union	9-58460-B
to become accustomed to sth through long practice	51-17687-B
to become addicted	1-54327-B
to become agitated	44-29144-B
to become airsick	31-58484-B
to become as light as a feather and ascend to heaven	51-15546-B
to become as one	26-44126-B
to become aware	57-41330-B
to become aware of	25-43043-B
to become blind	17-65900-B
to become clear by precipitation of impurities	39-65837-B
to become corrupt	52-37307-B
to become deformed	59-8131-B
to become depraved	16-30333-B
to become devaluated	59-44436-B
to become different	59-6936-B
to become dominant	24-7106-B
to become drunk	63-40906-B
to become due	21-19307-B
to become emperor by the grace of heaven	11-60608-B
to become enemies	49-40025-B
to become enemies 成语 saw	11-51777-B
to become engaged	58-3439-B
to become estranged	44-3249-B
to become excited with	61-53436-B
to become exhausted	49-30859-B
to become extinct	39-26327-B
to become famous	28-44682-B
to become fashionable	68-57086-B
to become fat	60-51846-B
to become forgotten	63-2703-B
to become gangrenous	52-37602-B
to become hostile	51-22690-B
to become immortal	26-7827-B
to become impoverished	46-18456-B
to become inexorably mixed up	60-45420-S
to become inspired	53-25213-S
to become invalid	5-6552-B
to become involved for the first time	38-35685-B
to become lost in a fog 成语 saw	16-30454-S
to become man and wife	63-37495-B
to become master of the universe	67-49095-S
to become moldy	44-35639-B
to become more intense esp of shortcoming	59-9647-B
to become more serious every day	60-25601-B
to become more urgent	9-55710-B
to become neighbors	28-60797-B
to become notorious	28-44682-B
to become partner	28-58887-B
to become popular	53-22708-B,60-13424-B
to become pregnant	11-60824-B,11-64291-B
to become prettier of child	8-44147-B
to become reconciled	13-21773-B,13-21826-B
to become rich	53-19241-B
to become rigid or inflexible in opinions	46-25169-S
to become strong 成语 saw	44-27477-S
to become stronger	53-5463-S,53-5523-S
to become submerged	66-22958-B
to become successful and well known	67-47540-B
to become suddenly popular	47-59051-B
to become thin	38-31454-B
to become unconcious	31-58288-B
to become warmer	59-9483-S
to become wealthy by extortion	51-54543-B
to become well known	8-36799-B
to bed	1-49435-S,19-30164-S,21-9540-S,45-55428-S
to bed with sb	5-6695-S,56-32501-S
to befall	52-56269-B,62-66430-B
to beg	3-21269-B,17-63500-B,57-63777-B
to beg for food	3-21355-B,57-62473-B,57-63378-B
to beg for food or money	57-28106-B
to beg for mercy	57-63833-B
to beg for pity	3-21220-B
to beg forgiveness	58-43182-B
to beg humbly	26-44717-B,26-49445-B
to beg while playing pipes	13-6199-B
to beg while playing the xiao 箫 mouth organ	13-298-B,13-6329-B
to begging	38-45409-S
to begin	7-24870-B,28-10196-B,31-20072-B,53-25526-B,58-53434-B
to begin a lecture	65-42387-B
to begin a quarrel	61-61265-S
to begin an undertaking	9-36743-B
to begin shooting a film or tv show	65-37869-B
to begin to feel scared	44-29288-B
to begin to take shape	32-37493-B
to begin work of a factory or engineering operation	65-33866-B
to beginners	13-65580-S
to begrudge	25-16913-B,28-6629-B
to beguile with false stories	58-4804-B
to behave affectedly	5-5628-B
to behave as	40-31590-B,41-40600-B
to behave informally as equals	27-6453-B
to behave like a fool	3-26746-B
to behave sincerely	48-34128-B
to behave with integrity	6-14428-B
to behead	9-15831-B,35-61271-B
to behold	31-54951-S,41-42892-S,45-15041-S,45-15174-S,57-41556-B
to beijing	62-28637-S
to belch	14-35994-B
to belch on a full stomach	69-7607-B
to believe	4-38004-B,5-42791-B,5-45049-B,25-25039-B,41-63504-S,58-21041-B
to believe firmly	16-3283-B,38-48492-B,48-33321-B,58-20384-B,58-20989-B
to believe firmly without any doubt 成语 saw	38-48544-B
to believe in sth	5-43385-B
to believe one s own lies	53-7215-B
to believe something to be true	5-43674-B
to believe sth	2-31739-S
to believe what one hears	51-69346-B
to believe what one reads in the news	45-41030-S
to believe whatever people suggest	57-31944-B
to belittle	21-641-B,23-62670-B,46-895-B,59-44571-B
to belittle sb	3-51262-S
to bellow	13-16097-B,13-27784-B
to bellow one s grievances	12-9313-B
