鷇 鷇 [01\[ kòu\]]	fledglings
鹵化物 卤化物 [01\[ lǔ huà wù\]]	halide (i.e. fluoride
鹵化銀 卤化银 [01\[ lǔ huà yín\]]	silver halide (usually chloride) used to fix photos
鹵屬 卤属 [01\[ lǔ shǔ\]]	halogen (i.e. fluorine f 氟
鹵族 卤族 [01\[ lǔ zú\]]	halogen (i.e. fluorine f 氟
鹵水 卤水 [01\[ lǔ shuǐ\]]	brine;bittern
鹵田 卤田 [01\[ lǔ tián\]]	a saltpan
鹵素 卤素 [01\[ lǔ sù\]]	halogen (i.e. fluorine f 氟
鹵莽 卤莽 [01\[ lǔ mǎng\]]	waste land;crass and hot-headed
鹵質 卤质 [01\[ lǔ zhì\]]	alkalinity
鹸 鹸 [01\[ jiǎn\]]	variant of 鹼|碱
鹹 咸 [01\[ xián\]]	salted;salty
鹹水湖 咸水湖 [01\[ xián shuǐ hú\]]	salt lake
鹹津津 咸津津 [01\[ xián jīn jīn\]]	nice and salty (taste)
鹹津津兒 咸津津儿 [01\[ xián jīn jīn 5r\]]	erhua variant of 鹹津津|咸津津
鹹海 咸海 [01\[ xián hǎi\]]	aral sea
鹹澀 咸涩 [01\[ xián sè\]]	salty and bitter;acerbic
鹹絲絲 咸丝丝 [01\[ xián sī sī\]]	slightly salty
鹹絲絲兒 咸丝丝儿 [01\[ xián sī sī 5r\]]	erhua variant of 鹹絲絲|咸丝丝
鹹菜 咸菜 [01\[ xián cài\]]	salted vegetables;pickles
鹹鏡南道 咸镜南道 [01\[ xián jìng nán dào\]]	hamgyungnam-do province in northeast north korea
鹹陽橋 咸阳桥 [01\[ xián yáng qiáo\]]	xianyang bridge
鹹鴨蛋 咸鸭蛋 [01\[ xián yā dàn\]]	salted duck egg
鹹鹽 咸盐 [01\[ xián yán\]]	(colloq.) salt;table salt
鹺 鹾 [01\[ cuó\]]	brine;salt
鹼 碱 [01\[ jiǎn\]]	base (chem.);alkali;soda
鹼化 碱化 [01\[ jiǎn huà\]]	to make basic (i.e. alkaline
鹼土 碱土 [01\[ jiǎn tǔ\]]	alkaline soil
鹼土金屬 碱土金属 [01\[ jiǎn tǔ jīn shǔ\]]	alkaline earth (i.e. beryllium be 鈹|铍
鹼基 碱基 [01\[ jiǎn jī\]]	nucleotide (in nucleic acid)
鹼基互補配對 碱基互补配对 [01\[ jiǎn jī hù bǔ pèi duì\]]	complementary base pairing e.g. adenine a 腺嘌呤 pairs with thymine t 胸腺嘧啶 in dna)
鹼基對 碱基对 [01\[ jiǎn jī duì\]]	base pair (bp) consisting of two complementary nucleotides (adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna)
鹼基配對 碱基配对 [01\[ jiǎn jī pèi duì\]]	base pairing (e.g. adenine a 腺嘌呤 pairs with thymine t 胸腺嘧啶 in dna);base pair
鹼度 碱度 [01\[ jiǎn dù\]]	alkalinity
鹼式鹽 碱式盐 [01\[ jiǎn shì yán\]]	alkali salt (soda
鹼性 碱性 [01\[ jiǎn xìng\]]	alkaline
鹼性土 碱性土 [01\[ jiǎn xìng tǔ\]]	alkaline soil
鹼性塵霧 碱性尘雾 [01\[ jiǎn xìng chén wù\]]	alkali fumes
鹼性巖 碱性岩 [01\[ jiǎn xìng yán\]]	basic rock;mafic rock (with less silicon and more magnesium
鹼性藍 碱性蓝 [01\[ jiǎn xìng lán\]]	alkali blue
鹼性金屬 碱性金属 [01\[ jiǎn xìng jīn shǔ\]]	alkali metal (the first column of the periodic table
鹼斑 碱斑 [01\[ jiǎn bān\]]	alkali spot
鹼法紙漿 碱法纸浆 [01\[ jiǎn fǎ zhǐ jiāng\]]	alkali pulp
鹼腺 碱腺 [01\[ jiǎn xiàn\]]	alkali gland
鹼荒 碱荒 [01\[ jiǎn huāng\]]	saline waste land
鹼試法 碱试法 [01\[ jiǎn shì fǎ\]]	alkali test
鹼金屬 碱金属 [01\[ jiǎn jīn shǔ\]]	alkali metal (the first column of the periodic table
鹽 盐 [01\[ yán\]]	salt
鹽井 盐井 [01\[ yán jǐng\]]	(n) yanjing (place in tibet)
鹽亭 盐亭 [01\[ yán tíng\]]	(n) yanting (place in sichuan)
鹽城 盐城 [01\[ yán chéng\]]	yancheng prefecture level city in jiangsu
鹽城市 盐城市 [01\[ yán chéng shì\]]	yancheng prefecture level city in jiangsu
鹽埔鄉 盐埔乡 [01\[ yán bù xiāng\]]	(n) yanpu (village in taiwan)
鹽埕區 盐埕区 [01\[ yán chéng qū\]]	(n) yancheng (area in taiwan)
鹽山 盐山 [01\[ yán shān\]]	(n) yanshan (place in hebei)
鹽水鎮 盐水镇 [01\[ yán shuǐ zhèn\]]	(n) yanshui (town in taiwan)
鹽池 盐池 [01\[ yán chí\]]	yanchi county in ningxia;a saltpan
鹽池縣 盐池县 [01\[ yán chí xiàn\]]	yanchi county in ningxia
鹽津 盐津 [01\[ yán jīn\]]	(n) yanjin (place in yunnan)
鹽湖城 盐湖城 [01\[ yán hú chéng\]]	salt lake city
鹽源 盐源 [01\[ yán yuán\]]	(n) yanyuan (place in sichuan)
鹽灘 盐滩 [01\[ yán tān\]]	salt flats;salt lake
鹽田 盐田 [01\[ yán tián\]]	saltpan
鹽田 盐田 [01\[ yán tián\]]	yantian district of shenzhen city 深圳市
鹽田區 盐田区 [01\[ yán tián qū\]]	yantian district of shenzhen city 深圳市
鹽邊 盐边 [01\[ yán biān\]]	(n) yanbian (place in sichuan)
鹽酸 盐酸 [01\[ yán suān\]]	hydrochloric acid hcl
鹽酸克侖特囉 盐酸克仑特罗 [01\[ yán suān kè lún tè luō\]]	clenbuterol chloride
鹽酸鹽 盐酸盐 [01\[ yán suān yán\]]	(chem.);chloride;hydrochloride
鹽鹵 盐卤 [01\[ yán lǔ\]]	brine
鹽鹼 盐碱 [01\[ yán jiǎn\]]	saline and alkaline (earth)
鹽鹼地 盐碱地 [01\[ yán jiǎn dì\]]	saline soil
鹽鹼濕地 盐碱湿地 [01\[ yán jiǎn shī dì\]]	a saltmarsh
鹿 鹿 [01\[ lù\]]	deer
鹿兒島 鹿儿岛 [01\[ lù ér dǎo\]]	kagoshima
鹿寨 鹿寨 [01\[ lù zhài\]]	(n) luzhai (place in guangxi)
鹿港鎮 鹿港镇 [01\[ lù gǎng zhèn\]]	(n) lukang (town in taiwan)
鹿特丹 鹿特丹 [01\[ lù tè dān\]]	rotterdam (city in the netherlands)
鹿肉 鹿肉 [01\[ lù ròu\]]	venison
鹿草鄉 鹿草乡 [01\[ lù cǎo xiāng\]]	(n) lutsao (village in taiwan)
鹿谷鄉 鹿谷乡 [01\[ lù gǔ xiāng\]]	(n) luku (village in taiwan)
鹿豹座 鹿豹座 [01\[ lù bào zuò\]]	camelopardalis (constellation)
鹿邑 鹿邑 [01\[ lù yì\]]	(n) luyi (place in henan)
鹿野鄉 鹿野乡 [01\[ lù yě xiāng\]]	(n) luyeh (village in taiwan)
麀 麀 [01\[ yōu\]]	female deer
麂 麂 [01\[ jǐ\]]	moschus chinensis
麃 麃 [01\[ biāo\]]	to weed
麄 麄 [01\[ cū\]]	variant of 粗
麇 麇 [01\[ jūn\]]	hornless deer
麈 麈 [01\[ zhǔ\]]	leader of herd;stag
麋 麋 [01\[ mí\]]	moose;river bank;surname mi
麋鹿 麋鹿 [01\[ mí lù\]]	elk
麌 麌 [01\[ wú\]]	stag;herd
麐 麐 [01\[ lín\]]	female of chinese unicorn
麑 麑 [01\[ ní\]]	fawn
麒 麒 [01\[ qí\]]	mythical unicorn
麒麟 麒麟 [01\[ qí lín\]]	chinese unicorn
麒麟座 麒麟座 [01\[ qí lín zuò\]]	monoceros (constellation)
麓 麓 [01\[ lù\]]	foot of a hill
麗 丽 [01\[ lí\]]	korea
麗 丽 [01\[ lì\]]	beautiful
麗佳娜 丽佳娜 [01\[ lí jiā nà\]]	regina (name)
麗水 丽水 [01\[ lí shuǐ\]]	lishui prefecture level city in zhejiang
麗水地區 丽水地区 [01\[ lì shuǐ dì qū\]]	(n) lishui district (district in zhejiang)
麗水市 丽水市 [01\[ lí shuǐ shì\]]	lishui prefecture level city in zhejiang
麗江 丽江 [01\[ lì jiāng\]]	lijiang prefecture level city in northwest yunnan
麗江古城 丽江古城 [01\[ lì jiāng gǔ chéng\]]	lijiang old town (in yunnan)
麗江地區 丽江地区 [01\[ lì jiāng dì qū\]]	lijiang prefecture in northwest yunnan
麗江市 丽江市 [01\[ lì jiāng shì\]]	lijiang prefecture level city in northwest yunnan
麗江納西族自治縣 丽江纳西族自治县 [01\[ lì jiāng nà xī zú zì zhì xiàn\]]	lijiang naxi autonomous county in yunnan
麗麗 丽丽 [01\[ lì lì\]]	lili (panda name)
麚 麚 [01\[ jiā\]]	buck;stag
麛 麛 [01\[ mí\]]	fawn;young of animals
麝 麝 [01\[ shè\]]	musk deer (moschus moschiferus);also called 香獐子
麝牛 麝牛 [01\[ shè niú\]]	musk ox
麝香 麝香 [01\[ shè xiāng\]]	musk
麝香石竹 麝香石竹 [01\[ shè xiāng shí zhú\]]	carnation
麝香草 麝香草 [01\[ shè xiāng cǎo\]]	thyme
麟 麟 [01\[ lín\]]	female unicorn
麟洛鄉 麟洛乡 [01\[ lín luò xiāng\]]	(n) linlo (village in taiwan)
麟經 麟经 [01\[ lín jīng\]]	another name for the spring and autumn annals 春秋
麟遊 麟游 [01\[ lín yóu\]]	linyou county in shaanxi)
麟遊縣 麟游县 [01\[ lín yóu xiàn\]]	linyou county in shaanxi
麤 麤 [01\[ cū\]]	coarse;rough;rude
麥 麦 [01\[ mài\]]	wheat;barley;oats;surname mai;transliteration of mac-
麥乳精 麦乳精 [01\[ mài rǔ jīng\]]	malt milk extract
麥克 麦克 [01\[ mài kè\]]	mike (a person's name)
麥克斯韋 麦克斯韦 [01\[ mài kè sī wéi\]]	maxwell (name);james clerk maxwell (1831-1879)
麥克維 麦克维 [01\[ mài kè wéi\]]	(timothy) mcveigh
麥克阿瑟 麦克阿瑟 [01\[ mài kè ā sè\]]	general douglas macarthur (1880-1964)
麥克風 麦克风 [01\[ mài kè fēng\]]	microphone (loan word)
麥凱恩 麦凯恩 [01\[ mài kǎi ēn\]]	mccain (name);john mccain (1936-)
麥加 麦加 [01\[ mài jiā\]]	mecca (the holiest city of islam)
麥司卡林 麦司卡林 [01\[ mài sī kǎ lín\]]	mescaline
麥哲倫 麦哲伦 [01\[ mài zhé lún\]]	magellan (1480-1521)
麥地那 麦地那 [01\[ mài dì nà\]]	medina (muslim holy city in saudi arabia)
麥子 麦子 [01\[ mài zi\]]	wheat
麥寮鄉 麦寮乡 [01\[ mài liáo xiāng\]]	(n) mailiao (village in taiwan)
麥德林 麦德林 [01\[ mài dé lín\]]	medellin
麥德龍 麦德龙 [01\[ mài dé lóng\]]	metro supermarket chain (originally german)
麥片 麦片 [01\[ mài piàn\]]	oatmeal;rolled oats
麥當勞 麦当劳 [01\[ mài dāng láo\]]	macdonald or mcdonald (name);mcdonald’s (fast food company)
麥科裡 麦科里 [01\[ mài kē lǐ\]]	(mike) mccurry (white house spokesperson)
麥納麥 麦纳麦 [01\[ mài nà mài\]]	manama (capital city of bahrain)
麥耞 麦耞 [01\[ mài jiā\]]	flail;to thresh (using a flail)
麥肯錫 麦肯锡 [01\[ mài kěn xī\]]	mackenzie;mckinsey
麥芽 麦芽 [01\[ mài yá\]]	malt
麥芽糖 麦芽糖 [01\[ mài yá táng\]]	maltose (sweet syrup)
麥蓋提 麦盖提 [01\[ mài gě tí\]]	(n) maigaiti (place in xinjiang)
麥道 麦道 [01\[ mài dào\]]	mcdonnell douglas (plane company)
麥酒 麦酒 [01\[ mài jiǔ\]]	ale
麥阿密 麦阿密 [01\[ mài ā mì\]]	miami
麥霸 麦霸 [01\[ mài bà\]]	person who monopolizes the mike at karaoke party (hegemon 霸 of the microphone 麥克風|麦克风)
麥香堡 麦香堡 [01\[ mài xiāng bǎo\]]	big mac hamburger (taiwan)
麩 麸 [01\[ fū\]]	bran
麮 麮 [01\[ qù\]]	porridge
麰 麰 [01\[ móu\]]	barley
麴 麴 [01\[ qū\]]	yeast;aspergillus (includes many common molds);surname qu;now sometimes written 曲
麵 面 [01\[ miàn\]]	flour;noodles
麵兒 面儿 [01\[ miàn er\]]	cover;outside
麵包 面包 [01\[ miàn bāo\]]	bread
麵包師傅 面包师傅 [01\[ miàn bāo shī fù\]]	baker
麵包渣 面包渣 [01\[ miàn bāo zhā\]]	breadcrumbs
麵包皮 面包皮 [01\[ miàn bāo pí\]]	crust
麵包車 面包车 [01\[ miàn bāo chē\]]	van for carrying people;taxi minibus
麵條 面条 [01\[ miàn tiáo\]]	noodles
麵條兒 面条儿 [01\[ miàn tiáo 5r\]]	erhua variant of 麵條|面条
麵粉 面粉 [01\[ miàn fěn\]]	flour
麵糊 面糊 [01\[ miàn hú\]]	starchy;floury and without fiber
麵糊 面糊 [01\[ miàn hù\]]	flour paste
麵糰 面团 [01\[ miàn tuán\]]	dough
麵類 面类 [01\[ miàn lèi\]]	noodle dishes (on menu)
麻 麻 [01\[ má\]]	(to have) pins and needles;tingling;hemp;sesame;numb;to bother;surname ma
麻城 麻城 [01\[ má chéng\]]	(n) macheng (place in hubei)
麻婆豆腐 麻婆豆腐 [01\[ má pó dòu fǔ\]]	ma po tofu;stir-fried beancurd in chili sauce
麻子 麻子 [01\[ má zi\]]	pockmark
麻將 麻将 [01\[ má jiàng\]]	mahjong
麻將牌 麻将牌 [01\[ má jiàng pái\]]	mahjong tile
麻州 麻州 [01\[ má zhōu\]]	abbr. for massachusetts
麻布 麻布 [01\[ má bù\]]	sackcloth
麻木 麻木 [01\[ má mù\]]	numb
麻栗坡 麻栗坡 [01\[ má lì pō\]]	(n) malipo (place in yunnan)
麻江 麻江 [01\[ má jiāng\]]	(n) majiang (place in guizhou)
麻油 麻油 [01\[ má yóu\]]	sesame oil
麻煩 麻烦 [01\[ má fan\]]	trouble;troublesome
麻瓜 麻瓜 [01\[ má guā\]]	muggles;people who don't believe in magic (harry potter)
麻生太郎 麻生太郎 [01\[ má shēng tài láng\]]	asō tarō (1940-)
麻疹 麻疹 [01\[ má zhěn\]]	measle
麻痹 麻痹 [01\[ má bì\]]	paralysis;palsy;numbness;to benumb
麻瘢 麻瘢 [01\[ má bān\]]	pock mark
麻省理工學院 麻省理工学院 [01\[ má shěng lǐ gōng xué yuàn\]]	massachusetts institute of technology (mit)
麻紗 麻纱 [01\[ má shā\]]	linen or cotton fabric
麻絮 麻絮 [01\[ má xù\]]	hemp wadding
麻花 麻花 [01\[ má huā\]]	fried dough twist (crisp snack food made by deep-frying plaited dough);worn out or worn smooth (of clothes)
麻藥 麻药 [01\[ má yào\]]	anesthetic
麻衣 麻衣 [01\[ má yī\]]	hemp garment
麻袋 麻袋 [01\[ má dài\]]	burlap (a fibre made of jute)
麻豆鎮 麻豆镇 [01\[ má dòu zhèn\]]	(n) matou (town in taiwan)
麻醉 麻醉 [01\[ má zuì\]]	anesthesia;fig. to poison (sb's mind)
麻醉劑 麻醉剂 [01\[ má zuì jì\]]	narcotic
麻醉學 麻醉学 [01\[ má zuì xué\]]	anesthetics
麻醉藥 麻醉药 [01\[ má zuì yào\]]	anesthetic;narcotic;chloroform
麻醉藥品 麻醉药品 [01\[ má zuì yào pǐn\]]	narcotic
麻醬 麻酱 [01\[ má jiàng\]]	sesame paste
麻醬 麻醬 [01\[ má jiàng\]]	sesame paste (sauce)
麻陽 麻阳 [01\[ má yáng\]]	mayang miaozu autonomous county in hunan
麻雀 麻雀 [01\[ má què\]]	sparrow;mahjong
麻風 麻风 [01\[ má fēng\]]	leprosy;hansen's disease
麻風病 麻风病 [01\[ mā fēng bìng\]]	leprosy;hansen's disease
麻黃 麻黄 [01\[ má huáng\]]	ephedra
麼 么 [01\[ me\]]	suffix
麽 么 [01\[ ma\]]	interrogative final particle
麽 麽 [01\[ me\]]	variant of 麼|么
麾 麾 [01\[ huī\]]	signal flag;to signal
麿 麿 [01\[ mǒ\]]	japanese kokuji 國字|国字
黃 黄 [01\[ huáng\]]	yellow;sulfur;surname huang or hwang
黃以靜 黄以静 [01\[ huáng yǐ jìng\]]	wong yee ching or flossie wong-staal (1947-) hong kong american virologist
黃信 黄信 [01\[ huáng xìn\]]	huang xin (character in the water margin
黃克強 黄克强 [01\[ huáng kè jiàng\]]	pseudonym of huang xing 黃興|黄兴
黃南州 黄南州 [01\[ huáng nán zhōu\]]	huangnan tibetan autonomous prefecture in qinghai
黃南藏族自治州 黄南藏族自治州 [01\[ huáng nán zàng zú zì zhì zhōu\]]	huangnan tibetan autonomous prefecture in qinghai
黃原膠 黄原胶 [01\[ huáng yuán jiāo\]]	xanthan;xanthanate gum (polysaccharide food additive used as a thickener)
黃原酸鹽 黄原酸盐 [01\[ huáng yuán suān yán\]]	xanthate
黃嘌呤 黄嘌呤 [01\[ huáng biāo líng\]]	xanthine
黃土 黄土 [01\[ huáng tǔ\]]	loess (yellow sandy soil typical of north china)
黃土地 黄土地 [01\[ huáng tǔ dì\]]	the yellow earth (of china)
黃土地貌 黃土地貌 [01\[ huáng tǔ dì mào\]]	loess landform
黃土高原 黄土高原 [01\[ huáng tǔ gāo yuán\]]	loess plateau of northwest china
黃埔 黄埔 [01\[ huáng pǔ\]]	harbor in guangdong;whampoa
黃埔軍校 黄埔军校 [01\[ huáng pǔ jūn xiào\]]	whampoa military academy
黃宗羲 黄宗羲 [01\[ huáng zōng xī\]]	huang zongxi (1610-1695)
黃山 黄山 [01\[ huáng shān\]]	mt huang;yellow mountains;huangshan prefecture level city centered around huangshan mountains in south anhui
黃山市 黄山市 [01\[ huáng shān shì\]]	huangshan prefecture level city centered around huangshan mountains in south anhui
黃岡 黄冈 [01\[ huáng gāng\]]	huanggang prefecture level city in hubei
黃岡市 黄冈市 [01\[ huáng gāng shì\]]	huanggang prefecture level city in hubei
黃岩 黄岩 [01\[ huáng yán\]]	(n) huangyan (city in zhejiang)
黃岩島 黄岩岛 [01\[ huáng yán dǎo\]]	huangyan island (in the south china sea)
黃島 黄岛 [01\[ huáng dǎo\]]	huangdao district of qingdao city 青島市|青岛市
黃島區 黄岛区 [01\[ huáng dǎo qū\]]	huangdao district of qingdao city 青島市|青岛市
黃州 黄州 [01\[ huáng zhōu\]]	(n) huangzhou (city in hubei);hwangju in north korea
黃巢 黄巢 [01\[ huáng cháo\]]	huang chao (-884)
黃巢起義 黄巢起义 [01\[ huáng cháo qǐ yì\]]	huang chao peasant uprising 875-884 in late tang
黃巾 黄巾 [01\[ huáng jīn\]]	refers to the yellow turbans peasant uprising at the end of later han (from 184)
黃巾之亂 黄巾之乱 [01\[ huáng jīn zhī luàn\]]	the yellow turbans peasant uprising at the end of later han (from 184)
黃巾民變 黄巾民变 [01\[ huáng jīn mín biàn\]]	the yellow turbans peasant uprising at the end of later han (from 184)
黃巾起義 黄巾起义 [01\[ huáng jīn qǐ yì\]]	yellow turbans peasant uprising at the end of later han (from 184)
黃巾軍 黄巾军 [01\[ huáng jīn jūn\]]	the army of yellow turbans
黃帝 黄帝 [01\[ huáng dì\]]	yellow emperor
黃帝族 黄帝族 [01\[ huáng dì zú\]]	tribes under the yellow emperor
黃平 黄平 [01\[ huáng píng\]]	(n) huangping (place in guizhou)
黃庭堅 黄庭坚 [01\[ huáng tíng jiān\]]	huang tingjian (1045－1105)
黃建南 黄建南 [01\[ huáng jiàn nán\]]	john huang (democratic party fundraiser)
黃忠 黄忠 [01\[ huáng zhōng\]]	huang zhong (-220)
黃斑 黄斑 [01\[ huáng bān\]]	macula lutea (anat.
黃昏 黄昏 [01\[ huáng hūn\]]	dusk;evening;nightfall
黃曲霉毒素 黄曲霉毒素 [01\[ huáng qǔ méi dú sù\]]	aflatoxins
黃梅 黄梅 [01\[ huáng méi\]]	(n) huangmei (place in hubei)
黃水 黄水 [01\[ huáng shuǐ\]]	citrine (orange or yellow quartz sio2);yellow water;name of river in henan
黃水晶 黄水晶 [01\[ huáng shuǐ jīng\]]	citrine (orange or yellow quartz sio2 as a semiprecious stone)
黃河 黄河 [01\[ huáng hé\]]	yellow river or huang he
黃河大合唱 黄河大合唱 [01\[ huáng hé dà hé chàng\]]	yellow river oratorio (1939) by xian xinghai 冼星海
黃河流域 黄河流域 [01\[ huáng hé liú yù\]]	the yellow river basin
黃油 黄油 [01\[ huáng yóu\]]	butter
黃泉 黄泉 [01\[ huáng quán\]]	the yellow springs;the chinese equivalent of hades or hell
黃浦 黄浦 [01\[ huáng pǔ\]]	the main river through shanghai;name of a district in shanghai
黃浦區 黄浦区 [01\[ huáng pǔ qū\]]	huangpu district
黃浦江 黄浦江 [01\[ huáng pǔ jiāng\]]	huangpu river (in shanghai)
黃海 黄海 [01\[ huáng hǎi\]]	yellow sea
黃滔 黄滔 [01\[ huáng tāo\]]	huang tao (840-911)
黃澄澄 黄澄澄 [01\[ huáng dèng dèng\]]	glistening yellow
黃熱病 黄热病 [01\[ huáng rè bìng\]]	yellow fever
黃熱病毒 黄热病毒 [01\[ huáng rè bìng dú\]]	yellow fever virus
黃父鬼 黄父鬼 [01\[ huáng fù guǐ\]]	huang fugui
黃牌 黄牌 [01\[ huáng pái\]]	(sport) violation warning sign;yellow card
黃牛 黄牛 [01\[ huáng niú\]]	ox;cattle;scalper of tickets etc;to fail to show up;to break a promise
黃牛票 黄牛票 [01\[ huáng niú piào\]]	scalped tickets
黃玉 黄玉 [01\[ huáng yù\]]	topaz
黃瓜 黄瓜 [01\[ huáng guā\]]	cucumber
黃疸 黄疸 [01\[ huáng dǎn\]]	jaundice
黃石 黄石 [01\[ huáng shí\]]	huangshi prefecture level city in hubei
黃石公 黄石公 [01\[ huáng shí gōng\]]	huang shigong (qin and early han)
黃石市 黄石市 [01\[ huáng shí shì\]]	huangshi prefecture level city in hubei
黃種人 黄种人 [01\[ huáng zhòng rén\]]	yellow race
黃膠 黄胶 [01\[ huáng jiāo\]]	yellow gum;xanthanate gum (polysaccharide food additive used as a thickener)
黃興 黄兴 [01\[ huáng xīng\]]	huang xing (1874-1916)
黃色 黄色 [01\[ huáng sè\]]	yellow;pornographic
黃色炸藥 黄色炸药 [01\[ huáng sè zhà yào\]]	trinitrotoluene (tnt)
黃花 黃花 [01\[ huáng huā\]]	virgin;orange day lily (hemerocallis fulva);chrysanthemum
黃花女 黄花女 [01\[ huáng huā nǚ\]]	maiden;virgin
黃花崗 黄花岗 [01\[ huáng huā gǎng\]]	huanghuagang (chrysanthemum hill) in guangzhou
黃花崗七十二烈士 黄花岗七十二烈士 [01\[ huáng huā gāng qī shí èr liè shì\]]	the seventy two martyrs of the huanghuagang uprising of 23rd april 1911
黃花崗起義 黄花岗起义 [01\[ huáng huā gǎng qǐ yì\]]	huanghuagang uprising of 23rd april 1911 in guangzhou
黃花幼女 黄花幼女 [01\[ huáng huā yòu nǚ\]]	maiden;virgin
黃花閨女 黄花闺女 [01\[ huáng huā guī nǚ\]]	maiden;virgin
黃花魚 黄花鱼 [01\[ huáng huā yú\]]	yellow croaker (fish);corvina
黃荳 黄豆 [01\[ huáng dòu\]]	soy bean
黃薑 黄姜 [01\[ huáng jiāng\]]	turmeric
黃蜂 黄蜂 [01\[ huáng fēng\]]	wasp
黃褐色 黄褐色 [01\[ huáng hé sè\]]	tan;tawny
黃賓虹 黄宾虹 [01\[ huáng bīn hóng\]]	huang binhong
黃赤色 黄赤色 [01\[ huáng chì sè\]]	golden colored;yellow red
黃道 黄道 [01\[ huáng dào\]]	the ecliptic (the plane of the solar system)
