颸 颸	68-59699-B
风格	68-55093-S
风档玻璃	68-55132-S
风气	68-55210-S
风水	68-55283-S
风水轮流	68-55336-S
风水轮流转	68-55421-S
风沙	68-55548-S
风波	68-55611-S
风洞	68-55685-S
风流	68-55732-S
风流云散	68-55959-S
风流债	68-55887-S
风浪	68-56031-S
风湿	68-56153-S
风湿性关节炎	68-56198-S
风湿热	68-56299-S
风潮	68-56092-S
风灾	68-56359-S
风物	68-56430-S
风琴	68-56478-S
风瘫	68-56544-S
风筝	68-56618-S
风箱	68-56659-S
风能	68-56862-S
风范	68-56703-S
风行	68-57086-S
风调	68-57169-S
风调雨顺	68-57227-S
风貌	68-57339-S
风起云涌	68-57465-S
风起潮涌	68-57392-S
风趣	68-57539-S
风车	68-57597-S
风速	68-57649-S
风邪	68-57693-S
风采	68-57782-S
风险	68-57855-S
风险与收益的关系	68-57982-S
风险投资	68-57910-S
风雨	68-58137-S
风雨凄凄	68-58500-S
风雨同舟	68-58218-S
风雨如晦	68-58368-S
风雨无阻	68-58576-S
风霜	68-58952-S
风靡	68-59019-S
风靡一时	68-59064-S
风韵	68-59179-S
风骨	68-59260-S
飏	68-59793-S
飑	68-59375-S
飒	68-59408-S
飓	68-59625-S
飓风	68-59656-S
飕	68-59901-S
飕飕	68-59955-S
飘	68-60224-S
飘举	68-61380-S
飘动	68-60256-S
飘卷	68-60309-S
飘尘	68-60355-S
飘带	68-60426-S
飘忽	68-60477-S
飘扬	68-60589-S
飘拂	68-60539-S
飘散	68-60641-S
飘泊	68-60710-S
飘洒	68-61074-S
飘流	68-60802-S
飘浮	68-60888-S
飘海	68-60959-S
飘渺	68-61006-S
飘然	68-61155-S
飘移	68-61338-S
飘荡	68-61241-S
飘落	68-61443-S
飘蓬	68-61528-S
飘逸	68-61592-S
飘零	68-61660-S
飘风	68-61751-S
飘飘	68-61808-S
飘飘然	68-61851-S
飙	68-61978-S
飙升	68-62011-S
飙口水	68-62063-S
飙涨	68-62126-S
飙车	68-62197-S
飙风	68-62247-S
飚	68-62292-S
飛 飞	68-62406-B
飛來橫禍 飞来横祸	68-62435-B
飛出 飞出	68-62535-B
飛刀 飞刀	68-62579-B
飛利浦 飞利浦	68-62648-B
飛利浦公司 飞利浦公司	68-62713-B
飛升 飞升	68-62785-B
飛吻 飞吻	68-62895-B
飛地 飞地	68-62943-B
飛天 飞天	68-63029-B
飛奔 飞奔	68-63079-B
飛將軍 飞将军	68-63147-B
飛彈 飞弹	68-63248-B
飛征 飞征	68-63289-B
飛快 飞快	68-63424-B
飛揚 飞扬	68-63487-B
飛昇 飞升	68-63529-B
飛機 飞机	68-63639-B
飛機場 飞机场	68-63680-B
飛機艙門 飞机舱门	68-63733-B
飛機餐 飞机餐	68-63808-B
飛沫 飞沫	68-63870-B
飛沫傳染 飞沫传染	68-63966-B
飛沫四濺 飞沫四溅	68-64076-B
飛漲 飞涨	68-64157-B
飛盤 飞盘	68-64227-B
飛短流長 飞短流长	68-64268-B
飛碟 飞碟	68-64413-B
飛禽走獸 飞禽走兽	68-64468-B
飛紅 飞红	68-64591-B
飛翔 飞翔	68-64634-B
飛舞 飞舞	68-64673-B
飛船 飞船	68-64739-B
飛艇 飞艇	68-64792-B
飛虎隊 飞虎队	68-64834-B
飛蛾投火 飞蛾投火	69-0-B
飛蝗 飞蝗	69-150-B
飛蟲 飞虫	69-200-B
飛行 飞行	69-239-B
飛行員 飞行员	69-289-B
飛行記錄 飞行记录	69-349-B
飛行記錄儀 飞行记录仪	69-443-B
飛行記錄器 飞行记录器	69-533-B
飛越 飞越	69-623-B
飛躍 飞跃	69-664-B
飛躍道 飞跃道	69-705-B
飛身翻騰 飞身翻腾	69-760-B
飛輪海 飞轮海	69-835-B
飛雪 飞雪	69-890-B
飛馬座 飞马座	69-935-B
飛馳 飞驰	69-1002-B
飛魚 飞鱼	69-1052-B
飛魚座 飞鱼座	69-1096-B
飛鳥 飞鸟	69-1162-B
飛鳥時代 飞鸟时代	69-1201-B
飛鴿 飞鸽	69-1302-B
飛鷹 飞鹰	69-1370-B
飛黃騰達 飞黄腾达	69-1410-B
飛龍 飞龙	69-1596-B
飞	68-62406-S
飞出	68-62535-S
飞刀	68-62579-S
飞利浦	68-62648-S
飞利浦公司	68-62713-S
飞升	68-62785-S,68-63529-S
飞吻	68-62895-S
飞地	68-62943-S
飞天	68-63029-S
飞奔	68-63079-S
飞将军	68-63147-S
飞弹	68-63248-S
飞征	68-63289-S
飞快	68-63424-S
飞扬	68-63487-S
飞机	68-63639-S
飞机场	68-63680-S
飞机舱门	68-63733-S
飞机餐	68-63808-S
飞来横祸	68-62435-S
飞沫	68-63870-S
飞沫传染	68-63966-S
飞沫四溅	68-64076-S
飞涨	68-64157-S
飞盘	68-64227-S
飞短流长	68-64268-S
飞碟	68-64413-S
飞禽走兽	68-64468-S
飞红	68-64591-S
飞翔	68-64634-S
飞舞	68-64673-S
飞船	68-64739-S
飞艇	68-64792-S
飞虎队	68-64834-S
飞虫	69-200-S
飞蛾投火	69-0-S
飞蝗	69-150-S
飞行	69-239-S
飞行员	69-289-S
飞行记录	69-349-S
飞行记录仪	69-443-S
飞行记录器	69-533-S
飞越	69-623-S
飞跃	69-664-S
飞跃道	69-705-S
飞身翻腾	69-760-S
飞轮海	69-835-S
飞雪	69-890-S
飞马座	69-935-S
飞驰	69-1002-S
飞鱼	69-1052-S
飞鱼座	69-1096-S
飞鸟	69-1162-S
飞鸟时代	69-1201-S
飞鸽	69-1302-S
飞鹰	69-1370-S
飞黄腾达	69-1410-S
飞龙	69-1596-S
食	69-1654-S,69-1697-S
食 食	69-1654-B,69-1697-B
食人	69-1726-S
食人 食人	69-1726-B
食人鯊 食人鲨	69-1819-B
食人鲨	69-1819-S
食品	69-1913-S
食品 食品	69-1913-B
食品安全	69-1972-S
食品安全 食品安全	69-1972-B
食品摊	69-2039-S
食品攤 食品摊	69-2039-B
食品药品监督局	69-2105-S
食品药品监督管理局	69-2233-S
食品藥品監督局 食品药品监督局	69-2105-B
食品藥品監督管理局 食品药品监督管理局	69-2233-B
食堂	69-2371-S
食堂 食堂	69-2371-B
食慾 食欲	69-2417-B
食指	69-2458-S
食指 食指	69-2458-B
食槽	69-2502-S
食槽 食槽	69-2502-B
食欲	69-2417-S
食油	69-2542-S
食油 食油	69-2542-B
食火雞 食火鸡	69-2587-B
食火鸡	69-2587-S
食物	69-2675-S
食物 食物	69-2675-B
食物中毒	69-2712-S
食物中毒 食物中毒	69-2712-B
食物及药品管理局	69-2785-S
食物及藥品管理局 食物及药品管理局	69-2785-B
食物油	69-2929-S
食物油 食物油	69-2929-B
食物鏈 食物链	69-2993-B
食物链	69-2993-S
食用	69-3048-S
食用 食用	69-3048-B
食疗	69-3117-S
食療 食疗	69-3117-B
食盐	69-4473-S
食管	69-3216-S
食管 食管	69-3216-B
食粮	69-3260-S
食糧 食粮	69-3260-B
食肉	69-3308-S
食肉 食肉	69-3308-B
食肉动物	69-3365-S
食肉動物 食肉动物	69-3365-B
食肉寝皮	69-3430-S
食肉寢皮 食肉寝皮	69-3430-B
食肉目	69-3615-S
食肉目 食肉目	69-3615-B
食肉类	69-3668-S
食肉類 食肉类	69-3668-B
食色	69-3732-S
食色 食色	69-3732-B
食色性也	69-3795-S
食色性也 食色性也	69-3795-B
食草动物	69-3934-S
食草動物 食草动物	69-3934-B
食蚁兽	69-3999-S
食蟻獸 食蚁兽	69-3999-B
食言	69-4081-S
食言 食言	69-4081-B
食譜 食谱	69-4210-B
食谱	69-4210-S
食道	69-4271-S
食道 食道	69-4271-B
食道癌	69-4314-S
食道癌 食道癌	69-4314-B
食醋	69-4375-S
食醋 食醋	69-4375-B
食量	69-4421-S
食量 食量	69-4421-B
食鹽 食盐	69-4473-B
飢 饥	69-4518-B
飢不擇食 饥不择食	69-4546-B
飢寒交迫 饥寒交迫	69-4610-B
飢渴 饥渴	69-4753-B
飢荒 饥荒	69-4802-B
飢餓 饥饿	69-4842-B
飣	69-4893-S
飣 飣	69-4893-B
飥	69-4953-S
飥 飥	69-4953-B
飧	69-4982-S
飧 飧	69-4982-B
飨	69-20748-S
飩 饨	69-5011-B
飪 饪	69-5049-B
飫 饫	69-5104-B
飭 饬	69-5145-B
飯 饭	69-5203-B
飯局 饭局	69-5255-B
飯店 饭店	69-5308-B
飯廳 饭厅	69-5359-B
飯桌 饭桌	69-5427-B
飯桶 饭桶	69-5474-B
飯碗 饭碗	69-5520-B
飯糰 饭团	69-5601-B
飯菜 饭菜	69-5670-B
飯類 饭类	69-5708-B
飯食 饭食	69-5763-B
飯館 饭馆	69-5801-B
飯館兒 饭馆儿	69-5846-B
飲 饮	69-5902-B
飲品 饮品	69-5930-B
飲宴 饮宴	69-5972-B
飲料 饮料	69-6041-B
飲水 饮水	69-6090-B
飲水思源 饮水思源	69-6139-B
飲水機 饮水机	69-6221-B
飲流懷源 饮流怀源	69-6299-B
飲用 饮用	69-6382-B
飲用水 饮用水	69-6452-B
飲茶 饮茶	69-6527-B
飲酒 饮酒	69-6623-B
飲食 饮食	69-6670-B
飲食療養 饮食疗养	69-6718-B
飴 饴	69-6780-B
飶	69-6807-S
飶 飶	69-6807-B
飼 饲	69-6846-B
飼料 饲料	69-6892-B
飼槽 饲槽	69-6937-B
飼草 饲草	69-6984-B
飼養 饲养	69-7029-B
飼養場 饲养场	69-7079-B
飼養者 饲养者	69-7147-B
飽 饱	69-7198-B
飽以老拳 饱以老拳	69-7247-B
飽受 饱受	69-7338-B
飽含 饱含	69-7394-B
飽和 饱和	69-7470-B
飽和脂肪酸 饱和脂肪酸	69-7513-B
飽嗝兒 饱嗝儿	69-7607-B
飽嘗 饱尝	69-7677-B
飽學 饱学	69-7772-B
飽滿 饱满	69-7831-B
飽漢不知餓漢飢 饱汉不知饿汉饥	69-7875-B
飽私囊 饱私囊	69-8034-B
飽經滄桑 饱经沧桑	69-8131-B
飽經風霜 饱经风霜	69-8223-B
飽覽 饱览	69-8339-B
飽讀 饱读	69-8415-B
飽足 饱足	69-8467-B
飽食終日 饱食终日	69-8525-B
飽食終日無所用心 饱食终日无所用心	69-8637-B
飽餐 饱餐	69-8816-B
飽餐一頓 饱餐一顿	69-8881-B
飾 饰	69-8964-B
飾品 饰品	69-9122-B
飾巾 饰巾	69-9190-B
飾帶 饰带	69-9249-B
飾演 饰演	69-9296-B
飾物 饰物	69-9351-B
飾詞 饰词	69-9403-B
飾邊 饰边	69-9450-B
飾釘 饰钉	69-9502-B
飾面 饰面	69-9541-B
餀	69-9600-S
餀 餀	69-9600-B
餂	69-9635-S
餂 餂	69-9635-B
餃 饺	69-9667-B
餃子 饺子	69-9718-B
餃子館 饺子馆	69-9771-B
餃餌 饺饵	69-9835-B
餅 饼	69-9911-B
餅乾 饼干	69-9969-B
餅子 饼子	69-10026-B
餅肥 饼肥	69-10082-B
餅鐺 饼铛	69-10132-B
餅餌 饼饵	69-10179-B
餇	69-10225-S
餇 餇	69-10225-B
餈	69-10253-S
餈 餈	69-10253-B
餉 饷	69-10290-B
養 养	69-10328-B
養兒防老 养儿防老	69-10433-B
養兵 养兵	69-10572-B
養分 养分	69-10623-B
養地 养地	69-10666-B
養女 养女	69-10759-B
養家 养家	69-10809-B
養家糊口 养家糊口	69-10881-B
養成 养成	69-10956-B
養料 养料	69-11033-B
養殖 养殖	69-11090-B
養母 养母	69-11173-B
養活 养活	69-11213-B
養漢 养汉	69-11278-B
養父 养父	69-11350-B
養生 养生	69-11390-B
養生法 养生法	69-11509-B
養病 养病	69-11569-B
養癰貽患 养痈贻患	69-11675-B
養癰遺患 养痈遗患	69-11878-B
養精蓄銳 养精蓄锐	69-12081-B
養老 养老	69-12215-B
養老保險 养老保险	69-12273-B
養老金 养老金	69-12348-B
養老院 养老院	69-12401-B
養育 养育	69-12460-B
養花 养花	69-12505-B
養虎傷身 养虎伤身	69-12555-B
養虎遺患 养虎遗患	69-12695-B
養蜂 养蜂	69-12832-B
養蠶業 养蚕业	69-12890-B
養雞場 养鸡场	69-12948-B
養魚池 养鱼池	69-13007-B
養魚缸 养鱼缸	69-13060-B
餌 饵	69-13124-B
餌雷 饵雷	69-13156-B
餍	69-20833-S
餐	69-13214-S
餐 餐	69-13214-B
餐具	69-13245-S
餐具 餐具	69-13245-B
餐厅	69-13455-S
餐室	69-13303-S
餐室 餐室	69-13303-B
餐巾	69-13348-S
餐巾 餐巾	69-13348-B
餐巾紙 餐巾纸	69-13388-B
餐巾纸	69-13388-S
餐廳 餐厅	69-13455-B
餐桌	69-13501-S
餐桌 餐桌	69-13501-B
餐桌盐	69-13561-S
餐桌盐 餐桌盐	69-13561-B
餐牌	69-13617-S
餐牌 餐牌	69-13617-B
餐車 餐车	69-13655-B
餐车	69-13655-S
餐飲 餐饮	69-13705-B
餐館 餐馆	69-13745-B
餐饮	69-13705-S
餐馆	69-13745-S
餑 饽	69-13790-B
餑餑 饽饽	69-13824-B
餒 馁	69-13878-B
餓 饿	69-13907-B
餓死 饿死	69-13947-B
餓殍 饿殍	69-13988-B
餓殍載道 饿殍载道	69-14036-B
餓肚子 饿肚子	69-14151-B
餓莩 饿莩	69-14213-B
餓莩載道 饿莩载道	69-14261-B
餓莩遍野 饿莩遍野	69-14376-B
餔 哺	69-14489-B
餕 馂	69-14523-B
餕餡 馂馅	69-14578-B
餖	69-14640-S
餖 餖	69-14640-B
餗	69-14675-S
餗 餗	69-14675-B
餘 余	69-14715-B
餘 馀	69-14886-B
餘下 余下	69-14926-B
餘切 余切	69-14968-B
餘割 余割	69-15021-B
餘勇可賈 余勇可贾	69-15072-B
餘地 余地	69-15193-B
餘姚 余姚	69-15238-B
餘孽 余孽	69-15315-B
餘干 余干	69-15447-B
餘干縣 余干县	69-15518-B
餘年 余年	69-15601-B
餘弦 余弦	69-15656-B
餘弧 余弧	69-15707-B
餘怒 余怒	69-15756-B
餘悸 余悸	69-15802-B
餘慶 余庆	69-15848-B
餘數 余数	69-15911-B
餘數定理 余数定理	69-15967-B
餘杭 余杭	69-16043-B
餘江 余江	69-16106-B
餘江縣 余江县	69-16180-B
餘熱 余热	69-16266-B
餘燼 余烬	69-16310-B
餘留 余留	69-16348-B
餘留事務 余留事务	69-16443-B
餘留無符號數 余留无符号数	69-16516-B
餘皇 余皇	69-16668-B
餘碼 余码	69-16778-B
餘糧 余粮	69-16868-B
餘緒 余绪	69-16916-B
餘緖 余绪	69-16995-B
餘缺 余缺	69-17074-B
餘者 余者	69-17128-B
餘角 余角	69-17181-B
餘量 余量	69-17274-B
餘錢 余钱	69-17356-B
餘集 余集	69-17403-B
餘震 余震	69-17494-B
餘音 余音	69-17552-B
餘黨 余党	69-17600-B
餚	69-17670-S
餚 餚	69-17670-B
餛 馄	69-17711-B
餛飩 馄饨	69-17749-B
餞 饯	69-17789-B
餟	69-17838-S
餟 餟	69-17838-B
餡 馅	69-17896-B
餡兒 馅儿	69-17939-B
餡兒餅 馅儿饼	69-17996-B
餡餅 馅饼	69-18094-B
餤	69-18152-S
餤 餤	69-18152-B
餧	69-18185-S
餧 餧	69-18185-B
館 馆	69-18229-B
館陶 馆陶	69-18272-B
餩	69-18335-S
餩 餩	69-18335-B
餪	69-18362-S
餪 餪	69-18362-B
餫	69-18411-S
餫 餫	69-18411-B
餬	69-18449-S
餬 餬	69-18449-B
餮	69-18493-S
餮 餮	69-18493-B
餱	69-18547-S
餱 餱	69-18547-B
餲	69-18584-S
餲 餲	69-18584-B
餳 饧	69-18626-B
餵 喂	69-18669-B
餵養 喂养	69-18699-B
餺	69-18751-S
餺 餺	69-18751-B
餼 饩	69-18782-B
餽	69-18835-S
餽 餽	69-18835-B
餾 馏	69-18872-B,69-18963-B
餾分 馏分	69-19050-B
餿 馊	69-19151-B
饁	69-19197-S
饁 饁	69-19197-B
饃 馍	69-19254-B
饅 馒	69-19303-B
饅頭 馒头	69-19339-B
饇	69-19410-S
饇 饇	69-19410-B
饈 馐	69-19457-B
饉 馑	69-19490-B
饋 馈	69-19543-B
饋贈 馈赠	69-19585-B
饌 馔	69-19636-B
饎	69-19676-S
饎 饎	69-19676-B
饐	69-19711-S
饐 饐	69-19711-B
饑 饥	69-19739-B
饑不擇食 饥不择食	69-19767-B
饑寒交迫 饥寒交迫	69-19831-B
饑荒 饥荒	69-19974-B
饒 饶	69-20015-B
饒平 饶平	69-20058-B
饒恕 饶恕	69-20125-B
饒河 饶河	69-20176-B
饒陽 饶阳	69-20242-B
饔	69-20305-S
饔 饔	69-20305-B
饕	69-20363-S
饕 饕	69-20363-B
饕餮	69-20417-S
饕餮 饕餮	69-20417-B
饕餮之徒	69-20480-S
饕餮之徒 饕餮之徒	69-20480-B
饕餮大餐	69-20564-S
饕餮大餐 饕餮大餐	69-20564-B
饕餮紋 饕餮纹	69-20682-B
饕餮纹	69-20682-S
饗 飨	69-20748-B
饘	69-20797-S
饘 饘	69-20797-B
饜 餍	69-20833-B
饞 馋	69-20871-B
饞言 馋言	69-20912-B
饟	69-20954-S
饟 饟	69-20954-B
饥	69-4518-S,69-19739-S
饥不择食	69-4546-S,69-19767-S
饥寒交迫	69-4610-S,69-19831-S
饥渴	69-4753-S
饥荒	69-4802-S,69-19974-S
饥饿	69-4842-S
饧	69-18626-S
饨	69-5011-S
饩	69-18782-S
饪	69-5049-S
饫	69-5104-S
饬	69-5145-S
饭	69-5203-S
饭厅	69-5359-S
饭团	69-5601-S
饭局	69-5255-S
饭店	69-5308-S
饭桌	69-5427-S
饭桶	69-5474-S
饭碗	69-5520-S
饭类	69-5708-S
饭菜	69-5670-S
饭食	69-5763-S
饭馆	69-5801-S
饭馆儿	69-5846-S
饮	69-5902-S
饮品	69-5930-S
饮宴	69-5972-S
饮料	69-6041-S
饮水	69-6090-S
饮水思源	69-6139-S
饮水机	69-6221-S
饮流怀源	69-6299-S
饮用	69-6382-S
饮用水	69-6452-S
饮茶	69-6527-S
饮酒	69-6623-S
饮食	69-6670-S
饮食疗养	69-6718-S
饯	69-17789-S
饰	69-8964-S
饰品	69-9122-S
饰巾	69-9190-S
饰带	69-9249-S
饰演	69-9296-S
饰物	69-9351-S
饰词	69-9403-S
饰边	69-9450-S
饰钉	69-9502-S
饰面	69-9541-S
饱	69-7198-S
饱以老拳	69-7247-S
饱受	69-7338-S
饱含	69-7394-S
饱和	69-7470-S
饱和脂肪酸	69-7513-S
饱嗝儿	69-7607-S
饱学	69-7772-S
饱尝	69-7677-S
饱汉不知饿汉饥	69-7875-S
饱满	69-7831-S
饱私囊	69-8034-S
饱经沧桑	69-8131-S
饱经风霜	69-8223-S
饱览	69-8339-S
饱读	69-8415-S
饱足	69-8467-S
饱食终日	69-8525-S
饱食终日无所用心	69-8637-S
饱餐	69-8816-S
饱餐一顿	69-8881-S
饲	69-6846-S
饲养	69-7029-S
饲养场	69-7079-S
饲养者	69-7147-S
饲料	69-6892-S
饲槽	69-6937-S
饲草	69-6984-S
饴	69-6780-S
饵	69-13124-S
饵雷	69-13156-S
饶	69-20015-S
饶平	69-20058-S
饶恕	69-20125-S
饶河	69-20176-S
饶阳	69-20242-S
饷	69-10290-S
饺	69-9667-S
饺子	69-9718-S
饺子馆	69-9771-S
饺饵	69-9835-S
饼	69-9911-S
饼子	69-10026-S
饼干	69-9969-S
饼肥	69-10082-S
饼铛	69-10132-S
饼饵	69-10179-S
饽	69-13790-S
饽饽	69-13824-S
饿	69-13907-S
饿死	69-13947-S
饿殍	69-13988-S
饿殍载道	69-14036-S
饿肚子	69-14151-S
饿莩	69-14213-S
饿莩载道	69-14261-S
饿莩遍野	69-14376-S
馀	69-14886-S
馁	69-13878-S
馂	69-14523-S
馂馅	69-14578-S
馄	69-17711-S
馄饨	69-17749-S
馅	69-17896-S
馅儿	69-17939-S
馅儿饼	69-17996-S
馅饼	69-18094-S
馆	69-18229-S
馆陶	69-18272-S
馈	69-19543-S
馈赠	69-19585-S
馊	69-19151-S
馋	69-20871-S
馋言	69-20912-S
馍	69-19254-S
馏	69-18872-S,69-18963-S
馏分	69-19050-S
馐	69-19457-S
馑	69-19490-S
馒	69-19303-S
馒头	69-19339-S
馔	69-19636-S
馕	69-20997-S
馕 馕	69-20997-B
首	69-21025-S
首 首	69-21025-B
首任	69-21075-S
首任 首任	69-21075-B
首位	69-21148-S
首位 首位	69-21148-B
首例	69-21194-S
首例 首例	69-21194-B
首先	69-21253-S
首先 首先	69-21253-B
首创	69-21322-S
首创者	69-21413-S
首創 首创	69-21322-B
首創者 首创者	69-21413-B
首办	69-23512-S
首发	69-23012-S
首字母	69-21496-S
首字母 首字母	69-21496-B
首字母縮寫 首字母缩写	69-21555-B
首字母缩写	69-21555-S
首季	69-21663-S
首季 首季	69-21663-B
首富	69-21723-S
首富 首富	69-21723-B
首尔	69-22973-S
首尾	69-21791-S
首尾 首尾	69-21791-B
首尾音	69-21839-S
首尾音 首尾音	69-21839-B
首席	69-21899-S
首席 首席	69-21899-B
首席代表	69-21954-S
首席代表 首席代表	69-21954-B
首席執行官 首席执行官	69-22031-B
首席大法官	69-22103-S
首席大法官 首席大法官	69-22103-B
首席执行官	69-22031-S
首席法官	69-22204-S
首席法官 首席法官	69-22204-B
首府	69-22273-S
首府 首府	69-22273-B
首日封	69-22343-S
首日封 首日封	69-22343-B
首映	69-22407-S
首映 首映	69-22407-B
首映式	69-22516-S
首映式 首映式	69-22516-B
首次	69-22582-S
首次 首次	69-22582-B
首次公开招股	69-22634-S
首次公開招股 首次公开招股	69-22634-B
首次注視時間 首次注视时间	69-22742-B
首次注视时间	69-22742-S
首歌	69-22844-S
首歌 首歌	69-22844-B
首演	69-22882-S
首演 首演	69-22882-B
首爾 首尔	69-22973-B
首發 首发	69-23012-B
首相	69-23078-S
首相 首相	69-23078-B
首脑	69-23150-S
首脑会晤	69-23224-S
首脑会议	69-23298-S
首腦 首脑	69-23150-B
首腦會晤 首脑会晤	69-23224-B
首腦會議 首脑会议	69-23298-B
首要	69-23390-S
首要 首要	69-23390-B
首輪 首轮	69-23443-B
首轮	69-23443-S
首辦 首办	69-23512-B
首选	69-23592-S
首選 首选	69-23592-B
首邑	69-23691-S
首邑 首邑	69-23691-B
首都	69-23755-S
首都 首都	69-23755-B
首都剧场	69-23803-S
首都劇場 首都剧场	69-23803-B
首都国际机场	69-23892-S
首都國際機場 首都国际机场	69-23892-B
首都机场	69-24007-S
首都機場 首都机场	69-24007-B
首都經貿大學 首都经贸大学	69-24120-B
首都经贸大学	69-24120-S
首都領地 首都领地	69-24242-B
首都领地	69-24242-S
首長 首长	69-24376-B
首长	69-24376-S
首音	69-24428-S
首音 首音	69-24428-B
首頁 首页	69-24468-B
首領 首领	69-24587-B
首页	69-24468-S
首领	69-24587-S
首飾 首饰	69-24638-B
首饰	69-24638-S
馗	69-24694-S
馗 馗	69-24694-B
馘	69-24742-S
馘 馘	69-24742-B
香	69-24798-S
香 香	69-24798-B
香会	69-25636-S
香几	69-24889-S
香几 香几	69-24889-B
香包	69-24970-S
香包 香包	69-24970-B
香叶	69-30444-S
香味	69-25062-S
香味 香味	69-25062-B
香囊	69-25127-S
香囊 香囊	69-25127-B
香娇玉嫩	69-25173-S
香嬌玉嫩 香娇玉嫩	69-25173-B
香子兰	69-25248-S
香子蘭 香子兰	69-25248-B
香山	69-25320-S
香山 香山	69-25320-B
香山区	69-25391-S
香山區 香山区	69-25391-B
香巢	69-25469-S
香巢 香巢	69-25469-B
香料	69-25566-S
香料 香料	69-25566-B
香會 香会	69-25636-B
香木	69-25693-S
香木 香木	69-25693-B
香格裡拉 香格里拉	69-25740-B
香格里拉	69-25740-S
香案	69-25836-S
香案 香案	69-25836-B
香榭丽舍	69-25891-S
香榭丽舍大街	69-25981-S
香榭麗舍 香榭丽舍	69-25891-B
香榭麗舍大街 香榭丽舍大街	69-25981-B
香槟	69-26153-S
香槟酒	69-26205-S
香橙	69-26092-S
香橙 香橙	69-26092-B
香橼	69-26261-S
香檳 香槟	69-26153-B
香檳酒 香槟酒	69-26205-B
香櫞 香橼	69-26261-B
香气	69-26308-S
香氣 香气	69-26308-B
香水	69-26366-S
香水 香水	69-26366-B
香河县	69-26418-S
香河縣 香河县	69-26418-B
香油	69-26490-S
香油 香油	69-26490-B
香泡树	69-26549-S
香泡樹 香泡树	69-26549-B
香波	69-26629-S
香波 香波	69-26629-B
香液	69-26711-S
香液 香液	69-26711-B
香港	69-26760-S
香港 香港	69-26760-B
香港中文大学	69-26806-S
香港中文大學 香港中文大学	69-26806-B
香港交易所	69-26919-S
香港交易所 香港交易所	69-26919-B
香港人	69-27015-S
香港人 香港人	69-27015-B
香港大学	69-27086-S
香港大學 香港大学	69-27086-B
香港岛	69-27171-S
香港島 香港岛	69-27171-B
香港工会联合会	69-27235-S
香港工會聯合會 香港工会联合会	69-27235-B
香港文化中心	69-27364-S
香港文化中心 香港文化中心	69-27364-B
香港湿地公园	69-27472-S
香港濕地公園 香港湿地公园	69-27472-B
香港理工大学	69-27577-S
香港理工大學 香港理工大学	69-27577-B
香港电台	69-28540-S
香港科技大学	69-27689-S
香港科技大學 香港科技大学	69-27689-B
香港紅十字會 香港红十字会	69-27813-B
香港红十字会	69-27813-S
香港脚	69-27913-S
香港腳 香港脚	69-27913-B
香港警察	69-27976-S
香港警察 香港警察	69-27976-B
香港貿易發展局 香港贸易发展局	69-28071-B
香港贸易发展局	69-28071-S
香港足球总会	69-28196-S
香港足球總會 香港足球总会	69-28196-B
香港金融管理局	69-28307-S
香港金融管理局 香港金融管理局	69-28307-B
香港銀行公會 香港银行公会	69-28427-B
