魏晉 魏晋	70-34881-B
魛 魛	70-39496-B
魟	70-39529-S,70-39563-S
魟 魟	70-39529-B,70-39563-B
魣	70-39597-S
魣 魣	70-39597-B
魣魚 魣鱼	70-39624-B
魣鱼	70-39624-S
魦	70-39661-S
魦 魦	70-39661-B
魨	70-39696-S
魨 魨	70-39696-B
魬	70-39730-S
魬 魬	70-39730-B
魯 鲁	70-39769-B
魯人 鲁人	70-39874-B
魯佛爾宮 鲁佛尔宫	70-39967-B
魯凱族 鲁凯族	70-40031-B
魯卬 鲁昂	70-40079-B
魯史 鲁史	70-40126-B
魯君 鲁君	70-40248-B
魯國 鲁国	70-40330-B
魯國人 鲁国人	70-40421-B
魯子敬 鲁子敬	70-40511-B
魯山 鲁山	70-40597-B
魯德維格 鲁德维格	70-40658-B
魯棒 鲁棒	70-40739-B
魯棒性 鲁棒性	70-40785-B
魯汶 鲁汶	70-40841-B
魯班 鲁班	70-40926-B
魯甸 鲁甸	70-40965-B
魯畢克方塊 鲁毕克方块	70-41027-B
魯肅 鲁肃	70-41116-B
魯莽 鲁莽	70-41196-B
魯菜 鲁菜	70-41259-B
魯賓 鲁宾	70-41308-B
魯迅 鲁迅	70-41377-B
魯鈍 鲁钝	70-41428-B
魴 鲂	70-41486-B
魵	70-41530-S
魵 魵	70-41530-B
魷 鱿	70-41559-B
魷魚 鱿鱼	70-41592-B
鮀	70-41630-S
鮀 鮀	70-41630-B
鮃 鲆	70-41659-B
鮆	70-41706-S
鮆 鮆	70-41706-B
鮌 鲧	70-41734-B
鮍 鲏	70-41760-B
鮎 鲇	70-41799-B
鮐 鲐	70-41870-B
鮑 鲍	70-41945-B
鮑勃・馬利 鲍勃・马利	70-41987-B
鮑羅丁 鲍罗丁	70-42071-B
鮑羅廷 鲍罗廷	70-42161-B
鮑耶 鲍耶	70-42263-B
鮑魚 鲍鱼	70-42321-B
鮒 鲋	70-42361-B
鮓	70-42394-S
鮓 鮓	70-42394-B
鮚 鲒	70-42431-B
鮞 鲕	70-42460-B
鮠	70-42497-S
鮠 鮠	70-42497-B
鮦	70-42562-S
鮦 鮦	70-42562-B
鮨	70-42595-S
鮨 鮨	70-42595-B
鮨科	70-42680-S
鮨科 鮨科	70-42680-B
鮪 鲔	70-42810-B
鮫 鲛	70-42867-B
鮭	70-42896-S
鮭 鮭	70-42896-B
鮭 鲑	70-42925-B
鮭魚 鲑鱼	70-42960-B
鮮 鲜	70-43005-B,70-43034-B
鮮卑 鲜卑	70-43066-B
鮮味 鲜味	70-43118-B
鮮明 鲜明	70-43158-B
鮮紅 鲜红	70-43219-B
鮮美 鲜美	70-43273-B
鮮艷 鲜艳	70-43317-B
鮮花 鲜花	70-43380-B
鮮血 鲜血	70-43428-B
鮮貨 鲜货	70-43468-B
鮶	70-43570-S
鮶 鮶	70-43570-B
鮸	70-43612-S
鮸 鮸	70-43612-B
鮿	70-43671-S
鮿 鮿	70-43671-B
鯀	70-43712-S
鯀 鯀	70-43712-B
鯁 鲠	70-43757-B
鯄	70-43808-S
鯄 鯄	70-43808-B
鯆	70-43852-S
鯆 鯆	70-43852-B
鯇 鲩	70-43890-B
鯈	70-43918-S
鯈 鯈	70-43918-B
鯉 鲤	70-43960-B
鯉魚 鲤鱼	70-43986-B
鯊 鲨	70-44022-B
鯊魚 鲨鱼	70-44050-B
鯔 鲻	70-44088-B
鯔魚 鲻鱼	70-44136-B
鯕	70-44171-S
鯕 鯕	70-44171-B
鯖 鲭	70-44212-B
鯗 鲞	70-44251-B
鯙	70-44298-S
鯙 鯙	70-44298-B
鯛 鲷	70-44344-B
鯠	70-44386-S
鯠 鯠	70-44386-B
鯡 鲱	70-44453-B
鯡魚 鲱鱼	70-44491-B
鯢 鲵	70-44531-B
鯤 鲲	70-44588-B
鯥	70-44638-S
鯥 鯥	70-44638-B
鯧 鲳	70-44688-B
鯨 鲸	70-44745-B
鯨目 鲸目	70-44774-B
鯨魚 鲸鱼	70-44830-B
鯨魚座 鲸鱼座	70-44869-B
鯪 鲮	70-44935-B
鯪魚 鲮鱼	70-45018-B
鯪鯉 鲮鲤	70-45056-B
鯪鯉甲 鲮鲤甲	70-45137-B
鯪鯉科 鲮鲤科	70-45229-B
鯫 鲰	70-45292-B
鯰 鲇	70-45345-B
鯸	70-45416-S
鯸 鯸	70-45416-B
鯽 鲫	70-45447-B
鯽魚 鲫鱼	70-45492-B
鯿 鳊	70-45536-B
鰆	70-45565-S
鰆 鰆	70-45565-B
鰈 鲽	70-45611-B
鰉 鳇	70-45656-B
鰋	70-45689-S
鰋 鰋	70-45689-B
鰍 鳅	70-45719-B
鰒 鳆	70-45747-B
鰓 鳃	70-45794-B
鰓弓 鳃弓	70-45830-B
鰓裂 鳃裂	70-45954-B
鰛	70-46007-S
鰛 鰛	70-46007-B
鰜	70-46048-S
鰜 鰜	70-46048-B
鰟 鳑	70-46091-B
鰟鮍 鳑鲏	70-46132-B
鰣 鲥	70-46221-B
鰤	70-46264-S
鰤 鰤	70-46264-B
鰥 鳏	70-46320-B
鰦	70-46351-S
鰦 鰦	70-46351-B
鰨 鳎	70-46430-B
鰩 鳐	70-46463-B
鰭 鳍	70-46496-B
鰮 鳁	70-46542-B
鰱 鲢	70-46572-B
鰱魚 鲢鱼	70-46623-B
鰲 鳌	70-46668-B
鰳 鳓	70-46713-B
鰶	70-46758-S
鰶 鰶	70-46758-B
鰷 鲦	70-46799-B
鰹 鲣	70-46846-B
鰻 鳗	70-46876-B
鰻魚 鳗鱼	70-46924-B
鰼	70-46960-S
鰼 鰼	70-46960-B
鰽	70-46995-S
鰽 鰽	70-46995-B
鰾 鳔	70-47025-B
鰾膠 鳔胶	70-47081-B
鱀	70-47136-S
鱀 鱀	70-47136-B
鱄	70-47243-S
鱄 鱄	70-47243-B
鱆	70-47300-S
鱆 鱆	70-47300-B
鱆魚 鱆鱼	70-47331-B
鱆鱼	70-47331-S
鱈 鳕	70-47373-B
鱈魚 鳕鱼	70-47423-B
鱉 鳖	70-47459-B
鱉甲 鳖甲	70-47488-B
鱉裙 鳖裙	70-47534-B
鱎	70-47576-S
鱎 鱎	70-47576-B
鱐	70-47606-S
鱐 鱐	70-47606-B
鱒 鳟	70-47638-B
鱒魚 鳟鱼	70-47689-B
鱓	70-47727-S
鱓 鱓	70-47727-B
鱔 鳝	70-47769-B
鱔魚 鳝鱼	70-47811-B
鱖 鳜	70-47848-B
鱖魚 鳜鱼	70-47882-B
鱗 鳞	70-47928-B
鱗傷 鳞伤	70-47967-B
鱗片 鳞片	70-48052-B
鱗甲 鳞甲	70-48104-B
鱗翅 鳞翅	70-48158-B
鱗翅目 鳞翅目	70-48289-B
鱗莖 鳞茎	70-48419-B
鱘 鲟	70-48458-B
鱘魚 鲟鱼	70-48506-B
鱟 鲎	70-48547-B
鱠	70-48579-S
鱠 鱠	70-48579-B
鱣	70-48623-S
鱣 鱣	70-48623-B
鱧 鳢	70-48673-B
鱨	70-48721-S
鱨 鱨	70-48721-B
鱭 鲚	70-48752-B
鱮	70-48786-S
鱮 鱮	70-48786-B
鱵	70-48835-S
鱵 鱵	70-48835-B
鱷 鳄	70-48877-B
鱷棃 鳄梨	70-48917-B
鱷魚 鳄鱼	70-48974-B
鱸 鲈	70-49024-B
鱸魚 鲈鱼	70-49058-B
鱺 鲡	70-49100-B
鱼	70-36581-S
鱼与熊掌	70-38048-S
鱼与熊掌不可兼得	70-38138-S
鱼丸	70-36607-S
鱼叉	70-36649-S
鱼台	70-36689-S
鱼夫	70-36751-S
鱼头	70-38547-S
鱼子	70-36799-S
鱼子酱	70-36851-S
鱼尾	70-36902-S
鱼尾板	70-36943-S
鱼尾纹	70-37021-S
鱼排	70-37097-S
鱼水情	70-37140-S
鱼池	70-37230-S
鱼池乡	70-37271-S
鱼沉雁杳	70-37347-S
鱼竿	70-37422-S
鱼米之乡	70-37466-S
鱼类	70-38630-S
鱼类学	70-38669-S
鱼粉	70-37543-S
鱼缸	70-37630-S
鱼网	70-37585-S
鱼翅	70-37691-S
鱼翅汤	70-37733-S
鱼肚	70-37792-S
鱼肚白	70-37879-S
鱼肝油	70-37991-S
鱼舱	70-38339-S
鱼船	70-38270-S
鱼钩	70-38408-S
鱼雷	70-38450-S
鱼雷艇	70-38490-S
鱼饵	70-38766-S
鱼饼	70-38724-S
鱼香肉丝	70-38807-S
鱼骨	70-38931-S
鱼鳍	70-38972-S
鱼鳔	70-39007-S
鱼鳞	70-39053-S
鱼鹰	70-39097-S
鱼鼓	70-39180-S
鱼龙	70-39301-S
鱼龙混杂	70-39346-S
鱿	70-41559-S
鱿鱼	70-41592-S
鲁	70-39769-S
鲁人	70-39874-S
鲁佛尔宫	70-39967-S
鲁凯族	70-40031-S
鲁史	70-40126-S
鲁君	70-40248-S
鲁国	70-40330-S
鲁国人	70-40421-S
鲁子敬	70-40511-S
鲁宾	70-41308-S
鲁山	70-40597-S
鲁德维格	70-40658-S
鲁昂	70-40079-S
鲁棒	70-40739-S
鲁棒性	70-40785-S
鲁毕克方块	70-41027-S
鲁汶	70-40841-S
鲁班	70-40926-S
鲁甸	70-40965-S
鲁肃	70-41116-S
鲁莽	70-41196-S
鲁菜	70-41259-S
鲁迅	70-41377-S
鲁钝	70-41428-S
鲂	70-41486-S
鲅	70-49125-S
鲅 鲅	70-49125-B
鲅魚圈 鲅鱼圈	70-49163-B
鲅魚圈區 鲅鱼圈区	70-49260-B
鲅鱼圈	70-49163-S
鲅鱼圈区	70-49260-S
鲆	70-41659-S
鲇	70-41799-S,70-45345-S
鲈	70-49024-S
鲈鱼	70-49058-S
鲋	70-42361-S
鲍	70-41945-S
鲍勃・马利	70-41987-S
鲍罗丁	70-42071-S
鲍罗廷	70-42161-S
鲍耶	70-42263-S
鲍鱼	70-42321-S
鲎	70-48547-S
鲏	70-41760-S
鲐	70-41870-S
鲑	70-42925-S
鲑鱼	70-42960-S
鲒	70-42431-S
鲔	70-42810-S
鲕	70-42460-S
鲚	70-48752-S
鲛	70-42867-S
鲜	70-43005-S,70-43034-S
鲜卑	70-43066-S
鲜味	70-43118-S
鲜明	70-43158-S
鲜红	70-43219-S
鲜美	70-43273-S
鲜艳	70-43317-S
鲜花	70-43380-S
鲜血	70-43428-S
鲜货	70-43468-S
鲞	70-44251-S
鲟	70-48458-S
鲟鱼	70-48506-S
鲠	70-43757-S
鲡	70-49100-S
鲢	70-46572-S
鲢鱼	70-46623-S
鲣	70-46846-S
鲤	70-43960-S
鲤鱼	70-43986-S
鲥	70-46221-S
鲦	70-46799-S
鲧	70-41734-S
鲨	70-44022-S
鲨鱼	70-44050-S
鲩	70-43890-S
鲫	70-45447-S
鲫鱼	70-45492-S
鲭	70-44212-S
鲮	70-44935-S
鲮鱼	70-45018-S
鲮鲤	70-45056-S
鲮鲤甲	70-45137-S
鲮鲤科	70-45229-S
鲰	70-45292-S
鲱	70-44453-S
鲱鱼	70-44491-S
鲲	70-44588-S
鲳	70-44688-S
鲵	70-44531-S
鲷	70-44344-S
鲸	70-44745-S
鲸目	70-44774-S
鲸鱼	70-44830-S
鲸鱼座	70-44869-S
鲻	70-44088-S
鲻鱼	70-44136-S
鲽	70-45611-S
鳁	70-46542-S
鳃	70-45794-S
鳃弓	70-45830-S
鳃裂	70-45954-S
鳄	70-48877-S
鳄梨	70-48917-S
鳄鱼	70-48974-S
鳅	70-45719-S
鳆	70-45747-S
鳇	70-45656-S
鳊	70-45536-S
鳌	70-46668-S
鳍	70-46496-S
鳎	70-46430-S
鳏	70-46320-S
鳐	70-46463-S
鳑	70-46091-S
鳑鲏	70-46132-S
鳓	70-46713-S
鳔	70-47025-S
鳔胶	70-47081-S
鳕	70-47373-S
鳕鱼	70-47423-S
鳖	70-47459-S
鳖甲	70-47488-S
鳖裙	70-47534-S
鳗	70-46876-S
鳗鱼	70-46924-S
鳜	70-47848-S
鳜鱼	70-47882-S
鳝	70-47769-S
鳝鱼	70-47811-S
鳞	70-47928-S
鳞伤	70-47967-S
鳞片	70-48052-S
鳞甲	70-48104-S
鳞翅	70-48158-S
鳞翅目	70-48289-S
鳞茎	70-48419-S
鳟	70-47638-S
鳟鱼	70-47689-S
鳢	70-48673-S
鳥 鸟	70-49367-B
鳥兒 鸟儿	70-49395-B
鳥卵 鸟卵	70-49432-B
鳥嘌呤 鸟嘌呤	70-49478-B
鳥嘴 鸟嘴	70-49547-B
鳥屋 鸟屋	70-49586-B
鳥巢 鸟巢	70-49629-B
鳥松鄉 鸟松乡	70-49676-B
鳥槍 鸟枪	70-49757-B
鳥槍換炮 鸟枪换炮	70-49821-B
鳥機 鸟机	70-49956-B
鳥澡盆 鸟澡盆	70-50017-B
鳥獸 鸟兽	70-50071-B
鳥獸散 鸟兽散	70-50129-B
鳥疫 鸟疫	70-50208-B
鳥疫衣原體 鸟疫衣原体	70-50252-B
鳥盡弓藏 鸟尽弓藏	70-50338-B
鳥瞰 鸟瞰	70-50420-B
鳥禽 鸟禽	70-50489-B
鳥窩 鸟窝	70-50528-B
鳥篆 鸟篆	70-50573-B
鳥籠 鸟笼	70-50662-B
鳥糞 鸟粪	70-50706-B
鳥羽 鸟羽	70-50761-B
鳥胺酸 鸟胺酸	70-50801-B
鳥蟲書 鸟虫书	70-50856-B
鳥語花香 鸟语花香	70-50916-B
鳥道 鸟道	70-51070-B
鳥銃 鸟铳	70-51155-B
鳥類 鸟类	70-51202-B
鳥類學 鸟类学	70-51242-B
鳦	70-51314-S
鳦 鳦	70-51314-B
鳧 凫	70-51352-B
鳩 鸠	70-51399-B
鳩摩羅什 鸠摩罗什	70-51464-B
鳲	70-51540-S
鳲 鳲	70-51540-B
鳳 凤	70-51574-B
鳳仙花 凤仙花	70-51618-B
鳳凰 凤凰	70-51758-B
鳳凰座 凤凰座	70-51802-B
鳳凰縣 凤凰县	70-51873-B
鳳台 凤台	70-51947-B
鳳城 凤城	70-52010-B
鳳尾魚 凤尾鱼	70-52092-B
鳳山 凤山	70-52144-B
鳳岡 凤冈	70-52241-B
鳳慶縣 凤庆县	70-52308-B
鳳林鎮 凤林镇	70-52381-B
鳳梨 凤梨	70-52456-B
鳳爪 凤爪	70-52499-B
鳳眼蘭 凤眼兰	70-52547-B
鳳縣 凤县	70-52607-B
鳳翔 凤翔	70-52665-B
鳳陽 凤阳	70-52734-B
鳴 鸣	70-52799-B
鳴叫 鸣叫	70-52840-B
鳴槍 鸣枪	70-52892-B
鳴禽 鸣禽	70-52950-B
鳴角鴞 鸣角鴞	70-52993-B
鳴謝 鸣谢	70-53065-B
鳴鳥 鸣鸟	70-53152-B
鳶 鸢	70-53198-B
鳶尾花 鸢尾花	70-53239-B
鳷	70-53298-S
鳷 鳷	70-53298-B
鳻	70-53357-S
鳻 鳻	70-53357-B
鴃	70-53395-S
鴃 鴃	70-53395-B
鴄	70-53424-S
鴄 鴄	70-53424-B
鴆 鸩	70-53455-B
鴆羽 鸩羽	70-53553-B
鴇 鸨	70-53644-B
鴇母 鸨母	70-53692-B
鴈	70-53753-S
鴈 鴈	70-53753-B
鴉 鸦	70-53786-B
鴉片 鸦片	70-53812-B
鴉片戰爭 鸦片战争	70-53851-B
鴉雀無聲 鸦雀无声	70-53951-B
鴎	70-54122-S
鴎 鴎	70-54122-B
鴒	70-54171-S
鴒 鴒	70-54171-B
鴕 鸵	70-54207-B
鴕鳥 鸵鸟	70-54237-B
鴗	70-54279-S
鴗 鴗	70-54279-B
鴛 鸳	70-54319-B
鴛鴦 鸳鸯	70-54356-B
鴛鴦蝴蝶 鸳鸯蝴蝶	70-54425-B
鴛鴦蝴蝶派 鸳鸯蝴蝶派	70-54593-B
鴝 鸲	70-54734-B
鴞	70-54763-S
鴞 鴞	70-54763-B
鴟 鸱	70-54795-B
鴠	70-54827-S
鴠 鴠	70-54827-B
鴢	70-54871-S
鴢 鴢	70-54871-B
鴣 鸪	70-54900-B
鴥	70-54953-S
鴥 鴥	70-54953-B
鴦 鸯	70-54988-B
鴨 鸭	70-55025-B
鴨嘴獸 鸭嘴兽	70-55051-B
鴨子 鸭子	70-55104-B
鴨子湯 鸭子汤	70-55139-B
鴨綠江 鸭绿江	70-55191-B
鴯 鸸	70-55246-B
鴰 鸹	70-55271-B
鴳	70-55300-S
鴳 鴳	70-55300-B
鴴 鸻	70-55328-B
鴴科 鸻科	70-55358-B
鴷	70-55420-S
鴷 鴷	70-55420-B
鴻 鸿	70-55453-B
鴻圖 鸿图	70-55507-B
鴻圖大計 鸿图大计	70-55605-B
鴻溝 鸿沟	70-55688-B
鴻章 鸿章	70-55837-B
鴻門宴 鸿门宴	70-55915-B
鴻雁 鸿雁	70-55979-B
鴻鹄 鸿鹄	70-56024-B
鴽	70-56062-S
鴽 鴽	70-56062-B
鴿 鸽	70-56099-B
鴿子 鸽子	70-56132-B
鴿房 鸽房	70-56169-B
鵀	70-56241-S
鵀 鵀	70-56241-B
鵁	70-56270-S
鵁 鵁	70-56270-B
鵂 鸺	70-56318-B
鵑 鹃	70-56344-B
鵒 鹆	70-56374-B
鵓 鹁	70-56401-B
鵓鴿 鹁鸽	70-56434-B
鵙	70-56472-S
鵙 鵙	70-56472-B
鵜 鹈	70-56502-B
鵜鶘 鹈鹕	70-56531-B
鵝 鹅	70-56570-B
鵝卵石 鹅卵石	70-56596-B
鵝喉羚 鹅喉羚	70-56658-B
鵝毛大雪 鹅毛大雪	70-56753-B
鵝膏蕈 鹅膏蕈	70-56843-B
鵝膏蕈素 鹅膏蕈素	70-56921-B
鵠 鹄	70-56982-B
鵡 鹉	70-57021-B
鵩	70-57049-S
鵩 鵩	70-57049-B
鵪 鹌	70-57074-B
鵪鶉 鹌鹑	70-57101-B
鵫	70-57139-S
鵫 鵫	70-57139-B
鵬 鹏	70-57171-B
鵯 鹎	70-57214-B
鵰 雕	70-57279-B
鵰具座 雕具座	70-57315-B
鵲 鹊	70-57382-B
鵲橋 鹊桥	70-57411-B
鵵	70-57591-S
鵵 鵵	70-57591-B
鵷	70-57630-S
鵷 鵷	70-57630-B
鵻	70-57662-S
鵻 鵻	70-57662-B
鶂	70-57703-S
鶂 鶂	70-57703-B
鶇 鸫	70-57729-B
鶉 鹑	70-57775-B
鶊	70-57804-S
鶊 鶊	70-57804-B
鶏	70-57834-S
鶏 鶏	70-57834-B
鶒	70-57883-S
鶒 鶒	70-57883-B
鶖	70-57926-S
鶖 鶖	70-57926-B
鶖鷺 鹙鹭	70-57954-B
鶗	70-58029-S
鶗 鶗	70-58029-B
鶘 鹕	70-58065-B
鶚 鹗	70-58094-B
鶡	70-58142-S
鶡 鶡	70-58142-B
鶦	70-58194-S
鶦 鶦	70-58194-B
鶩	70-58223-S
鶩 鶩	70-58223-B
鶬	70-58254-S
鶬 鶬	70-58254-B
鶯 莺	70-58284-B
鶯歌鎮 莺歌镇	70-58321-B
鶯鳥 莺鸟	70-58394-B
鶱	70-58441-S
鶱 鶱	70-58441-B
鶲	70-58469-S
鶲 鶲	70-58469-B
鶴 鹤	70-58512-B
鶴佬人 鹤佬人	70-58539-B
鶴壁 鹤壁	70-58595-B
鶴壁市 鹤壁市	70-58662-B
鶴山 鹤山	70-58740-B
鶴峰 鹤峰	70-58804-B
鶴崗 鹤岗	70-58865-B
鶴慶 鹤庆	70-58932-B
鶵	70-58994-S
鶵 鶵	70-58994-B
鶸	70-59033-S
鶸 鶸	70-59033-B
鶹	70-59062-S
鶹 鶹	70-59062-B
鶺	70-59101-S
鶺 鶺	70-59101-B
鶻 鹘	70-59135-B
鶼 鹣	70-59178-B
鶿	70-59241-S
鶿 鶿	70-59241-B
鷀 鹚	70-59272-B
鷁	70-59347-S
鷁 鷁	70-59347-B
鷂 鹞	70-59389-B
鷃	70-59440-S
鷃 鷃	70-59440-B
鷄	70-59478-S
鷄 鷄	70-59478-B
鷇	71-0-S
鷇 鷇	71-0-B
鷊	71-33-S
鷊 鷊	71-33-B
鷏	71-63-S
鷏 鷏	71-63-B
鷓 鹧	71-96-B
鷓鴣 鹧鸪	71-150-B
鷕	71-192-S
鷕 鷕	71-192-B
鷖 鹥	71-234-B
鷗 鸥	71-277-B
鷙 鸷	71-310-B
鷞	71-346-S
鷞 鷞	71-346-B
鷟	71-396-S
鷟 鷟	71-396-B
鷥 鸶	71-438-B
鷦 鹪	71-465-B
鷦鷯 鹪鹩	71-501-B
鷩	71-541-S
鷩 鷩	71-541-B
鷫	71-579-S
鷫 鷫	71-579-B
鷭	71-629-S
鷭 鷭	71-629-B
鷯 鹩	71-671-B
鷯哥 鹩哥	71-707-B
鷲 鹫	71-769-B
鷲科 鹫科	71-845-B
鷲鳥 鹫鸟	71-910-B
鷳	71-952-S
鷳 鷳	71-952-B
鷴	71-997-S
鷴 鷴	71-997-B
鷸 鹬	71-1083-B
鷸蚌相爭 鹬蚌相争	71-1127-B
鷸蚌相爭漁翁得利 鹬蚌相争渔翁得利	71-1255-B
鷹 鹰	71-1425-B
鷹嘴星雲 鹰嘴星云	71-1466-B
鷹派 鹰派	71-1554-B
鷹潭 鹰潭	71-1597-B
鷹潭市 鹰潭市	71-1672-B
鷹爪翻子拳 鹰爪翻自拳	71-1758-B
鷺 鹭	71-1874-B
鷽	71-1901-S
鷽 鷽	71-1901-B
鷾	71-1942-S
鷾 鷾	71-1942-B
鸂	71-1973-S
鸂 鸂	71-1973-B
鸂鶒	71-2033-S
鸂鶒 鸂鶒	71-2033-B
鸇	71-2113-S
鸇 鸇	71-2113-B
鸏	71-2155-S
鸏 鸏	71-2155-B
鸑	71-2190-S
鸑 鸑	71-2190-B
鸒	71-2226-S
鸒 鸒	71-2226-B
鸓	71-2267-S
鸓 鸓	71-2267-B
鸕 鸬	71-2305-B
鸕鷀 鸬鹚	71-2344-B
鸚 鹦	71-2407-B
鸚鵡 鹦鹉	71-2437-B
鸚鵡學舌 鹦鹉学舌	71-2477-B
鸚鵡熱 鹦鹉热	71-2578-B
鸚鵡螺 鹦鹉螺	71-2660-B
鸛 鹳	71-2744-B
鸝 鹂	71-2779-B
鸞 鸾	71-2815-B
鸟	70-49367-S
鸟儿	70-49395-S
鸟兽	70-50071-S
鸟兽散	70-50129-S
鸟卵	70-49432-S
鸟嘌呤	70-49478-S
鸟嘴	70-49547-S
鸟尽弓藏	70-50338-S
鸟屋	70-49586-S
鸟巢	70-49629-S
鸟机	70-49956-S
鸟松乡	70-49676-S
鸟枪	70-49757-S
鸟枪换炮	70-49821-S
鸟澡盆	70-50017-S
鸟疫	70-50208-S
鸟疫衣原体	70-50252-S
鸟瞰	70-50420-S
鸟禽	70-50489-S
鸟窝	70-50528-S
鸟笼	70-50662-S
鸟篆	70-50573-S
鸟类	70-51202-S
鸟类学	70-51242-S
鸟粪	70-50706-S
鸟羽	70-50761-S
鸟胺酸	70-50801-S
鸟虫书	70-50856-S
鸟语花香	70-50916-S
鸟道	70-51070-S
鸟铳	70-51155-S
鸠	70-51399-S
鸠摩罗什	70-51464-S
鸡	67-6952-S
鸡丁	67-6986-S
鸡东	67-7362-S
鸡冠	67-7038-S
鸡奸	67-7087-S,67-7152-S
鸡尾酒	67-7203-S
鸡巴	67-7255-S,71-2854-S
鸡巴 鸡巴	71-2854-B
鸡年	67-7300-S
鸡毛店	67-7430-S
鸡泽	67-7526-S
鸡犬升天	67-7583-S
鸡皮疙瘩	67-7763-S
鸡眼	67-7839-S
鸡翅	67-7878-S
鸡肉	67-7936-S
鸡脚	67-7981-S
鸡蛋	67-8027-S
鸡蛋壳儿	67-8083-S
鸡蛋炒饭	67-8143-S
鸡血石	67-8213-S
鸡西	67-8288-S
鸡西市	67-8351-S
鸡霍乱	67-8419-S
鸢	70-53198-S
鸢尾花	70-53239-S
鸣	70-52799-S
鸣叫	70-52840-S
鸣枪	70-52892-S
鸣禽	70-52950-S
鸣角鴞	70-52993-S
鸣谢	70-53065-S
鸣鸟	70-53152-S
鸥	71-277-S
鸦	70-53786-S
鸦片	70-53812-S
鸦片战争	70-53851-S
鸦雀无声	70-53951-S
鸨	70-53644-S
鸨母	70-53692-S
鸩	70-53455-S
鸩羽	70-53553-S
鸪	70-54900-S
鸫	70-57729-S
鸬	71-2305-S
鸬鹚	71-2344-S
鸭	70-55025-S
鸭嘴兽	70-55051-S
鸭子	70-55104-S
鸭子汤	70-55139-S
鸭绿江	70-55191-S
鸯	70-54988-S
鸱	70-54795-S
鸲	70-54734-S
鸳	70-54319-S
