qing xian deng lu	58-42333-B
qing zhong	13-63687-S,25-15226-B,61-12758-B,67-57465-B
qing zhong dao zhi	61-13058-B
qing zhong huan ji	61-13271-B
qing zhong zhu ci	61-12846-B
qing zhou	61-50797-S
qing zhu	6-48182-B,25-52399-B,67-58764-B
qing zhu hui	25-52443-B
qing zhu nan shu	50-49972-B
qing zhuang	25-15058-B
qing zhuang nian	67-54216-B
qing zhuo li	56-40631-S
qing zi	61-9919-B,67-57243-B
qing zui	58-43182-B
qing zuo pin	53-44732-S
qing1	1-26011-S,2-17389-S,3-68-S,3-3336-S,4-27614-S,6-46034-B,6-56813-S,7-46650-S,8-16632-S,8-24904-S,8-56280-S,9-14059-S,9-32066-S,9-39811-S,11-28303-B,11-51102-S,11-70852-S,12-22960-S,15-1644-B,15-2625-S,15-2778-S,17-17175-S,20-29846-S,21-2130-S,22-10449-S,22-32561-S,22-49672-S,22-50470-S,23-23430-S,23-24061-S,24-4335-S,24-27665-S,27-7474-S,30-19832-S,32-69367-S,33-2119-S,34-27975-S,34-29125-S,34-49476-S,35-47618-S,36-24636-S,36-33726-B,36-35620-S,36-64001-S,38-58446-B,39-1122-S,39-65717-S,39-65837-S,40-5307-S,40-12412-S,40-15563-S,42-28578-S,42-32995-S,44-16810-S,45-37533-S,45-38877-S,45-65043-S,46-10765-S,46-21236-S,46-23931-S,47-5102-S,47-16983-S,48-3423-S,50-45476-S,52-745-S,52-3368-S,52-33309-S,52-60376-S,53-48782-S,54-14237-S,54-43897-S,55-39923-S,56-5965-B,56-27003-S,58-20927-S,60-45420-S,61-5898-B,61-9559-B,61-12708-S,63-7636-S,63-10415-S,63-61034-S,64-7204-S,65-5238-S,65-17207-S,65-48949-S,65-56090-S,67-15029-S,67-53678-B,67-53725-B,67-61349-S,68-44649-S,70-17105-S,70-23777-S,70-44212-B
qing1 bai2	38-63834-B
qing1 bian4	61-9671-B
qing1 bo2	61-12123-B
qing1 cai4	67-57835-B
qing1 cang1 cha2 ku4	38-58806-B
qing1 cao3	67-57795-B
qing1 ce4	6-46302-B,38-59039-B
qing1 cha2	38-61968-B,38-64562-B
qing1 chai1	38-60661-B
qing1 chai1 hu4	38-60738-B
qing1 chang2	38-58897-B
qing1 chang4	38-59793-B
qing1 chao2	6-47487-B
qing1 chao2 er2 chu1	6-47614-B
qing1 che4	38-63385-B
qing1 chen2	38-61479-B
qing1 cheng2	6-47257-B,38-63342-B
qing1 chu1 yu2 lan2	67-53906-B
qing1 chu2	38-65608-B,47-33055-S
qing1 chu2 ji4	53-10546-S
qing1 chu3	45-16626-S,68-39256-S
qing1 chu5	11-71081-S,38-62096-B
qing1 chun1	67-55515-B
qing1 chun1 dou4	67-55634-B,67-55685-B
qing1 chun1 qi1	67-55569-B
qing1 cong1	67-58218-B
qing1 cui4	38-64354-B,61-11836-B,67-57407-B
qing1 da3	61-10238-B
qing1 da4 ma2 fen1	14-51285-S
qing1 dan1	38-59878-B,57-54983-S
qing1 dan4	36-34046-B,38-63060-B
qing1 dang3	38-66281-B
qing1 dao3	6-46172-B
qing1 dao4	6-46239-B,38-64995-B
qing1 dao4 fu1	38-65122-B
qing1 di2	61-10599-B
qing1 dian3	38-66219-B
qing1 dian4 shi4	70-17262-S
qing1 dong4	6-46433-B
qing1 dui4	38-65663-B
qing1 dun4	38-63492-B
qing1 er2 yi4 ju3	61-11682-B
qing1 er3	6-48727-B,27-47689-S
qing1 er3 er2 ting1	6-48779-B
qing1 fan3 ge2 ming4 fen4 zi3	52-3407-S
qing1 feng1	7-47755-S,38-65837-B,61-13531-B
qing1 feng1 jing4 jie2	38-65996-B
qing1 feng1 liang3 xiu4	38-65905-B
qing1 feng1 ming2 yue4	38-66088-B
qing1 fu2	4-2392-S,6-48139-B,61-11285-B
qing1 fu2 suan1	36-34101-B
qing1 fu4	6-49091-B,27-4045-S
qing1 gai4	6-49006-B
qing1 ge2	27-26659-S
qing1 gong1 ye4	61-9959-B
qing1 guang1 yan3	67-53850-B
qing1 gui3	61-12575-B
qing1 hao1 su4	67-58117-B
qing1 hong2 bang1	38-64280-B,67-57169-B
qing1 hong2 zao4 bai2	1-71812-S
qing1 hua1	67-57634-B
qing1 hua1 cai4	67-57695-B
qing1 hua4	22-49772-S,36-33846-B
qing1 hua4 he2 wu4	46-31948-S
qing1 hua4 qing2	36-33894-B
qing1 ji1 bang4	61-10452-B
qing1 ji1 guan1 qiang1	61-10872-B
qing1 ji1 hui4 zhu3 yi4	21-57879-S
qing1 ji1 qiang1	61-10808-B
qing1 ji1 qiu2	61-10511-B
qing1 ji1 qu1	61-10388-B
qing1 ji1 zhuo2	28-45128-S
qing1 jia1	6-46364-B
qing1 jia1 dang4 chan3	6-47391-B
qing1 jian4	36-35159-B
qing1 jiao1	67-55828-B
qing1 jiao1 niu2 liu3	67-55892-B
qing1 jiao3	6-49185-B,38-59096-B
qing1 jiao4 tu2	38-60993-B
qing1 jie2	38-63171-B,61-10287-B
qing1 jie2 ji4	38-63218-B
qing1 jie2 qi4	38-63290-B
qing1 jie4 la4	67-57557-B
qing1 jin1 shi2	67-58818-B
qing1 jing4	38-65716-B
qing1 jing4 he2 cheng2 you2	36-33760-B
qing1 jiu3	38-65422-B
qing1 jiu4 shu2	69-49464-S
qing1 ju3 wang4 dong4	61-11979-B
qing1 kan4	61-11630-B
qing1 ke1	67-57077-B
qing1 kuai4	61-10092-B
qing1 kuang2	61-11343-B
qing1 lai4	67-56895-B
qing1 lang3	38-61576-B
qing1 lang4 fu2 bo2	61-11207-B
qing1 li3	38-63609-B
qing1 li3 dui4 wu3	38-63670-B
qing1 lian2	38-60470-B
qing1 lian3 zhong3	71-52376-S
qing1 liang4 ji2	61-13394-B
qing1 ling2	54-15730-S,56-5999-B
qing1 ling2 mu4	56-6053-B
qing1 long2	67-60066-B
qing1 lu:4 suan1	36-34998-B
qing1 man4	61-10193-B
qing1 mei2	2-45013-S
qing1 mei2 su4	67-59711-B,67-60011-B
qing1 mie4	61-12081-B
qing1 mu4	6-47909-B
qing1 mu4 xiu4	45-36041-S
qing1 na4	46-32434-S
qing1 nang2	6-47169-B
qing1 nei4 rong2	63-58453-S
qing1 nian2	3-163-S,67-55263-B
qing1 nian2 bao4	10-28484-S
qing1 nian2 qi1	67-55458-B
qing1 nian2 ren2	67-55304-B
qing1 ning2	67-56148-B
qing1 ning2 meng2	38-62163-B
qing1 nu:3	63-62586-S
qing1 pan2	38-63969-B
qing1 pei4	6-46120-B
qing1 pen2	6-48343-B
qing1 pen2 da4 yu3	6-48408-B
qing1 piao1 piao1	61-13584-B
qing1 qi4	36-34168-B,40-12466-S
qing1 qing1	61-12708-B
qing1 qing1 wo3 wo3	11-28395-B
qing1 qu2	38-63785-B
qing1 quan2	38-62889-B
qing1 ran3	61-10714-B
qing1 ren2	22-49713-S
qing1 ren2 yi4 zhong4	47-9333-S
qing1 rou2	61-10754-B
qing1 ru2 yan4	60-57283-S
qing1 sao3	38-60848-B
qing1 se4	67-57508-B
qing1 shan1	17-40192-S
qing1 shan1 lu:4 shui3	67-54766-B
qing1 shan1 zhou1	67-54494-B
qing1 shang1	61-9752-B
qing1 shao4 nian2	67-54404-B
qing1 she2	48-3509-S,51-19287-S
qing1 sheng1	61-11431-B,61-11759-B
qing1 sheng5	61-11582-B
qing1 shi2	17-54814-S
qing1 shi3	12-54992-S
qing1 shi4	61-12186-B
qing1 shou4	38-63743-B
qing1 shu4	8-16673-S
qing1 shuai4	61-11389-B
qing1 shuang3	38-63557-B
qing1 shui3	61-10981-B
qing1 shui3 fan3 ying4 dui1	61-11112-B
qing1 si1	67-57283-B
qing1 si4 liao4	67-59766-B
qing1 song1	61-13650-B,67-55736-B
qing1 su4	6-49335-B
qing1 suan1	46-24017-S
qing1 suan4	38-64171-B,67-58057-B
qing1 tai2	67-57749-B
qing1 tan2	6-49410-B,67-55973-B
qing1 tan2 shu4	67-56055-B
qing1 tang1	38-63109-B
qing1 teng2	22-32608-S
qing1 teng2 ba1 xiao4	22-32660-S
qing1 tian1 pi1 li4	67-54289-B
qing1 ting1	6-48856-B
qing1 ting1 zhe3	6-48951-B
qing1 ting2	56-6106-B
qing1 ting2 dian3 shui3	56-6398-B
qing1 ting2 han4 shi2 zhu4	56-6180-B
qing1 ting2 mu4	56-6345-B
qing1 tong2	67-58924-B
qing1 tong2 qi4	67-58966-B
qing1 tong2 qi4 shi2 dai4	67-59063-B
qing1 tu3	6-46553-B
qing1 tu3 xiong1 yi4	6-46675-B
qing1 tu3 zhong1 chang2	6-46755-B
qing1 tuan2	8-135-S
qing1 tui2	6-49591-B
qing1 wa1	67-58726-B
qing1 wei1	61-10019-B
qing1 wo3 wo3	11-28395-S
qing1 wu3	63-59624-S
qing1 xi1	38-61528-B
qing1 xi1 du4	70-17162-S
qing1 xi3	38-62937-B,47-32973-S
qing1 xian4	6-48673-B,6-49514-B,36-51969-S,36-64153-S
qing1 xiang1	67-57902-B
qing1 xiang1 dao3 qie4	6-48547-B
qing1 xiang1 zi5	67-57975-B
qing1 xiang4	6-46901-B
qing1 xiang4 xing1	6-46964-B
qing1 xiang4 xing4	6-47045-B
qing1 xiang4 yu2	6-47114-B
qing1 xiao1	6-49464-B
qing1 xie2	6-47969-B
qing1 xie2 du4	6-48033-B
qing1 xie4	6-46478-B,6-48230-B,6-48284-B,21-30987-S
qing1 xin1	1-20264-S,6-47737-B,28-12829-S,38-61046-B
qing1 xin1 tu3 dan3	6-47818-B
qing1 xing3	38-65482-B
qing1 xiu4	38-64117-B
qing1 xiu4 suan1	36-35092-B
qing1 ya4	6-5076-B
qing1 yan2 xi4 yu3	61-12265-B
qing1 yan3	67-56769-B
qing1 yan3 zhong3	71-52242-S
qing1 yang3	36-34216-B
qing1 yang3 gen1	36-34771-B
qing1 yang3 gen1 li2 zi3	36-34841-B
qing1 yang3 hua4	36-34286-B
qing1 yang3 hua4 gai4	36-34524-B
qing1 yang3 hua4 jia3	36-34619-B
qing1 yang3 hua4 lu:3	36-34696-B
qing1 yang3 hua4 na4	36-34433-B
qing1 yang3 hua4 wu4	36-34367-B
qing1 yang3 li2 zi3	36-34925-B
qing1 yao3	61-9878-B
qing1 ye3	16-3723-S
qing1 yi1 se4	38-58537-B
qing1 yi4	38-64770-B,38-64944-B,61-10659-B
qing1 yin1	38-65776-B
qing1 yin1 yue4	61-13474-B
qing1 ying2	61-11492-B
qing1 you2	9-56839-S
qing1 you2 kuang4	40-15615-S
qing1 you3 wei2	22-49859-S
qing1 yu2	67-59925-B
qing1 yuan2 su4	61-9819-B
qing1 yuan2 zi3 he2	36-33974-B
qing1 yun2	67-59290-B
qing1 yun2 zhi2 shang4	67-59368-B
qing1 zang4 gong1 lu4	67-58317-B
qing1 zang4 tie3 lu4	67-58476-B
qing1 zang4 tie3 lu4 xian4	67-58554-B
qing1 zang4 xian4	67-58405-B
qing1 zao3	1-14008-S,17-25585-S,38-61244-B,67-55776-B
qing1 zhen1	38-64015-B
qing1 zhen1 si4	38-64065-B
qing1 zheng1	38-64717-B
qing1 zhi4 shi2 you2	61-12335-B
qing1 zhi4 shi2 you2 chan3 pin3	61-12441-B
qing1 zhong3	67-57465-B
qing1 zhong4	13-63687-S,61-12758-B
qing1 zhong4 dao4 zhi4	61-13058-B
qing1 zhong4 huan3 ji2	61-13271-B
qing1 zhong4 zhu3 ci4	61-12846-B
qing1 zhu4	6-48182-B,67-58764-B
qing1 zhuang4 nian2	67-54216-B
qing1 zi3	61-9919-B,67-57243-B
qing2	1-5684-S,1-20420-S,2-33223-S,3-30697-S,4-9478-S,4-43038-S,6-30959-S,6-35937-S,7-28430-S,8-14284-S,8-23656-S,9-40459-S,9-66877-B,9-69259-S,11-43133-S,11-52620-S,12-47632-S,15-8726-S,16-25259-S,18-42896-S,21-47574-S,23-28857-S,24-32980-S,24-45531-S,24-54650-S,24-61868-S,25-2178-S,25-11747-B,25-34802-S,25-41205-S,26-31683-S,26-36137-S,26-36492-S,26-67316-S,28-56008-S,28-56755-S,29-3132-S,29-22143-B,29-55501-S,31-55159-B,32-29839-S,32-33174-S,33-44304-S,34-4339-S,35-12490-B,35-60477-S,35-61858-B,36-33894-S,36-35682-S,36-37095-B,38-50039-S,39-23874-S,40-4840-S,40-27125-S,40-52113-S,40-61310-S,41-19200-S,43-49879-S,44-5925-S,44-10142-S,44-28868-S,45-5111-S,45-8392-S,45-36367-S,45-42112-S,45-63634-S,46-2496-S,46-57586-S,47-12466-S,49-46885-S,50-10734-S,50-28932-S,51-35558-S,53-437-S,53-44679-S,53-46186-S,55-18653-S,56-32398-S,56-44544-S,57-39063-S,58-16928-S,58-31878-S,58-37369-S,60-65023-S,61-30250-S,62-4074-S,63-124-S,63-30125-S,63-37012-S,64-51507-S,64-51591-S,65-48352-S,66-27803-S,66-45777-S,66-47774-S,67-12988-S,67-14838-S,68-3761-S,68-25384-S,68-34526-S,68-54242-S,70-37140-S,71-43670-B
qing2 ai4	25-13940-B
qing2 an1 hua4 gai4	36-37433-B
qing2 bao4	25-12843-B,26-63464-S,33-57641-S,60-62819-S
qing2 bao4 bu4	25-13131-B
qing2 bao4 bu4 men2	25-13195-B
qing2 bao4 chu4	25-13062-B
qing2 bao4 guan1 yuan2	25-12918-B
qing2 bao4 ju2	25-12998-B
qing2 bie2 xu4	67-9885-S
qing2 bu4 ke3 que4	25-11804-B
qing2 bu4 zi4 jin4	25-11896-B
qing2 cao1	25-14238-B
qing2 chang3	25-13270-B
qing2 chi1	25-15165-B
qing2 di2	25-14312-B
qing2 diao4	25-15744-B
qing2 fen4	25-12427-B
qing2 fu4	25-13478-B
qing2 gan1	36-37582-B
qing2 gan3	25-14017-B
qing2 ge1	25-14791-B
qing2 hao3	31-55373-B
qing2 he2 li3	12-33391-S
qing2 hua4	25-15620-B,36-37144-B
qing2 hua4 jia3	36-37302-B
qing2 hua4 na4	36-37238-B
qing2 hua4 wu4	36-37186-B
qing2 hua4 wu4 zhong1 du2	24-58527-S
qing2 huai2	25-14089-B
qing2 ji1 su4	9-69455-S
qing2 ji1 xi4 jun1	36-37365-B
qing2 ji2	25-13604-B
qing2 ji2 liao3	25-13727-B
qing2 ji2 zhi1 xia4	25-13645-B
qing2 ji2 zhi4 sheng1	25-13805-B
qing2 jia3 yi4	55-51749-S
qing2 jie2	5-32178-S,25-15298-B,25-15351-B,26-3958-S
qing2 jing3	25-14359-B
qing2 jing4	25-13347-B
qing2 jing4 mo2 xing2	25-13403-B
qing2 jing4 xing2	45-21189-S
qing2 kong1 wan4 li3	31-55487-B
qing2 kuan3 kuan3	38-50110-S
qing2 kuang2	53-44951-S
qing2 kuang4	25-14906-B,42-50178-S
qing2 kuang4 xia4	15-34511-S,25-14983-B
qing2 lang2	25-15893-B
qing2 lang3	31-55432-B
qing2 li3	25-15119-B
qing2 liang3 yuan4	7-45285-S
qing2 liu4 chu4	60-65177-S
qing2 lu:3	25-12375-B
qing2 ma4 qiao4	26-43949-S
qing2 mian4	25-15960-B
qing2 mo4 mo4	39-21634-S
qing2 qi1	9-69376-S,44-28948-S
qing2 qu4	25-15811-B
qing2 quan2 he2 zhang3	29-22182-B
qing2 ren2	25-12062-B
qing2 ren2 jie2	25-12225-B
qing2 ren2 jie2 kuai4 le4	25-12286-B
qing2 ren2 yan3 li3 chu1 Xi1 Shi1	25-12113-B
qing2 ren2 zhong1 cheng2 juan4 shu3	32-33225-S
qing2 se4	25-15523-B
qing2 sha1	25-14834-B
qing2 shi1	25-15576-B,26-67369-S
qing2 shi2 yi4	45-42172-S
qing2 shi4	25-11990-B,25-12489-B
qing2 shi4 gu4	4-9601-S
qing2 shu1	25-14420-B
qing2 shuo1 ai4	58-41353-S
qing2 si4 shui3	33-44372-S
qing2 suan1	36-37639-B
qing2 suan1 mei2	46-24079-S
qing2 suan1 na4	3-38651-S
qing2 suan1 yan2	36-37686-B,46-24146-S
qing2 tian1	31-55203-B
qing2 tian1 pi1 li4	31-55258-B
qing2 tong2 gu3 rou4	25-12729-B
qing2 tong2 shou3 zu2	25-12546-B
qing2 tou2 yi4 he2	25-14138-B
qing2 wei4 r5	4-9728-S
qing2 wu2 yi4	40-52184-S
qing2 wu3 chu4	60-65079-S
qing2 xi3 ju4	25-34872-S
qing2 xia2 gu3	33-44475-S
qing2 xiao3 shuo1	53-44807-S
qing2 xin1	32-30957-S
qing2 xing5	25-13546-B
qing2 xiu4 jia3 ben3	36-37506-B
qing2 xu4	25-15406-B,36-21120-S
qing2 xu4 hua4	25-15457-B
qing2 yao4 zuo4	3-30760-S
qing2 ye4	53-44894-S
qing2 yi4	25-15688-B
qing2 yong4 shi4	25-41345-S
qing2 you2	1-71658-S
qing2 you3 du2 zhong1	25-14550-B,25-14644-B
qing2 you3 ke3 yuan2	25-14466-B
qing2 yu3 biao3	31-55636-B
qing2 yu4	25-14738-B
qing2 yuan4	1-8241-S,1-15485-S,2-10107-S,7-44484-S,7-47152-S,24-35412-S,25-16073-B
qing2 zhi1 qing3	2-9976-S
qing2 zhong4	25-15226-B
qing2 zhuang4	25-15058-B
qing2 zhuo2 li3	56-40631-S
qing2 zuo4 pin3	53-44732-S
qing3	1-8366-S,2-9976-S,5-31175-S,7-65945-S,13-8424-S,19-60229-S,23-5862-B,23-18543-S,27-43642-S,28-42446-S,43-44016-S,49-8103-S,51-53223-S,53-64879-B,58-42117-B,63-8507-S,68-21088-B
qing3 bian4	58-42209-B
qing3 biao3	43-44205-S
qing3 duo1 guan1 zhao4	58-42620-B
qing3 jia4	58-42282-B
qing3 jian3	58-42961-B
qing3 jiao4	58-42918-B
qing3 jin4	58-43255-B
qing3 kan4	1-64389-S,58-43073-B
qing3 ke4	58-42762-B
qing3 ke4 jian1	68-21232-B
qing3 ma2	53-64962-B
qing3 qiu2	58-43031-B
qing3 ren2	43-44091-S
qing3 shi4	58-43127-B
qing3 shu1	43-44147-S
qing3 tie3	58-42849-B
qing3 wen4	58-42573-B
qing3 wu4 da3 rao3	58-42497-B
qing3 wu4 xi1 yan1	58-42412-B
qing3 xian1 deng1 lu4	58-42333-B
qing3 yuan4	58-43304-B
qing3 yuan4 shu1	58-43373-B
qing3 zui4	58-43182-B
qing4	14-28152-S,15-8831-S,16-6706-S,17-18137-S,18-53794-S,19-29062-S,21-41843-S,23-17482-S,23-47088-S,24-26587-S,25-51814-B,35-31949-S,35-66052-B,46-27186-B,46-41258-B,48-23515-B,48-28880-S,50-20522-S,50-49924-B,52-4498-S,56-29639-S,57-37762-B,62-40080-S,63-58759-S,68-12911-S,69-15848-S,70-58932-S
qing4 Da4 xue2	63-58810-S
qing4 Zang4 zu2 zi4 zhi4 zhou1	61-50896-S
qing4 da4 mei2 su4	25-52026-B
qing4 di4 qu1	19-29133-S,52-4577-S
qing4 dian3	25-51915-B
qing4 gong1	25-51964-B
qing4 he4	25-52544-B
qing4 jia5	57-38683-B
qing4 jie2	15-9019-S
qing4 lin2	59-53946-S
qing4 ri4	15-8886-S
qing4 shan1	17-30106-S
qing4 shi4	17-18198-S,19-27612-S,52-4665-S,63-58888-S
qing4 xian4	23-17547-S,70-52308-S
qing4 xing4	6-4334-S,25-52239-B
qing4 zhou1	61-50797-S
qing4 zhu2 nan2 shu1	50-49972-B
qing4 zhu4	25-52399-B
qing4 zhu4 hui4	25-52443-B
qing5	3-68332-S
qiong	2-23155-S,8-4134-S,8-4202-S,11-63569-S,13-46717-S,21-24845-S,25-26643-B,40-58653-S,41-5405-B,42-54230-S,43-3596-B,43-7605-B,45-58900-B,47-44508-B,47-56934-B,48-13836-B,48-17128-B,50-26784-S,55-3707-S,56-1161-B,59-36417-S,60-40961-B,63-15176-B,64-31213-B
qiong bu la	22-16936-S
qiong cai jin	36-22525-S
qiong cang	47-44823-B
qiong chou	47-57231-B
qiong chou liao dao	47-57313-B
qiong ding	47-44901-B
qiong e	47-57780-B
qiong ge	4-29091-S
qiong jiang yu ye	43-8016-B
qiong jie fa	47-57465-B
qiong jin	47-57411-B
qiong ku	47-57645-B
qiong kun	47-57029-B
qiong lei	47-44771-B
qiong liao dao	59-36470-S
qiong long	47-44712-B
qiong lu	47-44603-B
qiong qiu	41-13929-S,47-44563-B
qiong ren	47-56973-B
qiong shan e shui	47-57091-B
qiong tu mo lu	47-57702-B
qiong xiao	40-58719-S
qiong xing	47-44657-B
qiong yao	43-8162-B
qiong yuan	61-57971-S
qiong yuan dian	40-58810-S
qiong zhi	43-8302-B
qiong zhi duan	4-15336-S
qiong zhou hai xia	43-7744-B
qiong1	64-31213-B
qiong2	2-23155-S,8-4134-S,8-4202-S,11-63569-S,13-46717-S,21-24845-S,25-26643-B,40-58653-S,41-5405-B,42-54230-S,43-3596-B,43-7605-B,45-58900-B,47-44508-B,47-56934-B,48-13836-B,48-17128-B,50-26784-S,55-3707-S,56-1161-B,59-36417-S,60-40961-B,63-15176-B
qiong2 bu4 la1	22-16936-S
qiong2 cai2 jin4	36-22525-S
qiong2 cang1	47-44823-B
qiong2 chou2	47-57231-B
qiong2 chou2 liao2 dao3	47-57313-B
qiong2 ding3	47-44901-B
qiong2 e4	47-57780-B
qiong2 ge2	4-29091-S
qiong2 jiang1 yu4 ye4	43-8016-B
qiong2 jie2 fa3	47-57465-B
qiong2 jin4	47-57411-B
qiong2 ku3	47-57645-B
qiong2 kun4	47-57029-B
qiong2 lei4	47-44771-B
qiong2 liao2 dao3	59-36470-S
qiong2 long2	47-44712-B
qiong2 lu2	47-44603-B
qiong2 qiu1	41-13929-S,47-44563-B
qiong2 ren2	47-56973-B
qiong2 shan1 e4 shui3	47-57091-B
qiong2 tu2 mo4 lu4	47-57702-B
qiong2 xiao3	40-58719-S
qiong2 xing2	47-44657-B
qiong2 yao2	43-8162-B
qiong2 yuan2	61-57971-S
qiong2 yuan3 dian3	40-58810-S
qiong2 zhi1	43-8302-B
qiong2 zhi4 duan3	4-15336-S
qiong2 zhou1 hai3 xia2	43-7744-B
qiu	1-60241-S,2-42782-B,2-76974-S,3-11924-S,3-21269-S,4-21767-B,4-41391-S,4-43178-S,4-47120-S,5-21976-S,5-22103-S,5-22600-S,5-23290-S,5-30821-S,5-32481-B,5-41860-S,6-37731-S,7-26210-S,7-26653-S,7-38792-S,7-49388-S,7-63802-S,8-19095-S,9-16949-S,9-46783-S,10-29120-S,10-44784-S,10-45456-S,10-59195-S,10-68053-S,11-37404-B,12-7640-S,12-19651-S,12-43820-S,13-1945-S,13-7576-S,13-32164-S,13-57628-S,14-45270-B,15-24501-S,15-42807-S,15-54214-B,15-69552-S,16-30607-S,16-31636-S,16-34285-S,17-2404-S,17-36686-S,17-51246-S,17-63638-S,18-12233-S,18-33091-S,18-36660-S,19-22771-S,20-32379-S,20-45534-S,20-60334-S,21-1605-S,21-58976-S,22-1336-B,23-44500-S,24-23450-S,25-58372-S,26-34900-S,26-46926-S,26-50615-S,27-38269-S,28-13459-S,28-17740-S,28-23198-S,28-27068-S,29-19847-S,29-26260-S,29-26504-S,29-26644-S,29-27787-S,29-32881-S,30-35967-S,30-57137-S,31-1151-S,31-15050-S,31-30896-S,31-34166-S,31-44377-S,32-4951-S,32-28370-S,33-15821-S,33-23881-S,33-30715-S,33-30977-S,34-5200-S,34-18836-S,34-20836-S,34-36642-B,34-44059-S,35-339-S,35-6454-S,36-4218-S,36-8908-S,36-17049-B,36-29294-S,36-41637-S,36-44309-S,36-53489-B,37-4672-S,37-14558-S,37-28185-B,38-56665-S,39-10619-S,40-3199-S,40-25493-S,40-40345-S,41-5944-S,41-13929-S,41-19933-S,42-3243-B,42-51378-B,43-3249-B,43-6363-S,43-45604-S,43-47485-S,44-25320-S,44-31533-S,44-45988-S,45-39122-S,45-50129-S,46-13522-S,46-24215-S,46-49557-S,46-51863-S,47-14193-B,47-44563-S,47-61675-S,47-63560-S,48-41992-S,48-42044-S,48-61872-B,49-13068-S,49-50379-S,49-55585-B,50-6306-S,50-36099-S,50-53486-S,51-6724-S,51-6808-S,51-15807-S,54-3330-S,54-42650-B,54-63524-S,55-33128-S,55-56798-B,55-58678-B,56-7638-B,56-18065-S,56-27280-S,56-56102-B,57-13590-S,57-26552-S,57-45367-S,57-53633-B,58-4549-S,58-18476-S,58-43031-S,58-51113-S,58-54728-S,59-14022-S,59-28774-S,59-56190-B,60-32623-S,61-10511-S,61-58919-S,62-2796-B,62-49335-B,63-19455-B,63-36674-B,64-24166-S,64-33437-B,64-56209-S,65-23203-S,65-38946-S,66-10975-S,66-45900-S,66-59151-S,67-16783-S,67-39499-S,67-41648-S,67-50569-S,68-8267-B,68-21291-B,69-40344-S,70-18215-S,70-43808-B,70-45719-B,70-46995-B,70-57926-B,71-28941-S,71-40718-S,71-52795-B
qiu Hang kong	66-11074-S
qiu Lian he hui	3-61229-S,15-18775-S,15-19717-S
qiu Xie hui	51-68621-S
qiu Zhan guo shi dai	31-34761-S
qiu Zong hui	69-28196-S
qiu Zuo shi zhuan	31-34526-S
qiu ai	36-54076-B
qiu bang	42-52030-B
qiu bao zi jun	11-36808-S
qiu bao zi jun bing	42-51638-B
qiu bian nuan	7-39804-S
qiu biao mian	32-28412-S
qiu bo	31-63228-S,47-14727-B
qiu cai	47-15942-B
qiu cha	42-51723-B
qiu chang	8-19145-S,33-7900-S,36-44354-S,42-51476-B,48-42088-S,50-6347-S,60-32739-S,70-18283-S,70-18432-S
qiu chang hui guan	42-51563-B
qiu che	32-28503-S
qiu cheng	24-59123-S
qiu ci	13-5675-S
qiu da	48-61921-B
qiu da qi	15-42971-S
