服务业	32-43144-S
朝鲜日报	32-50448-S
朝鲜核谈	32-50516-S
朝鲜民主主义人民共和国	32-50611-S
朝鲜筝	32-50796-S
朝鲜语	32-50878-S
期	32-50939-S
期 期	32-50939-B
期刊	32-51021-S
期刊 期刊	32-51021-B
期待	32-51064-S
期待 期待	32-51064-B
期攷	32-51136-S
期攷 期攷	32-51136-B
期望	32-51192-S
期望 期望	32-51192-B
期望值	32-51242-S
期望值 期望值	32-51242-B
期末	32-51301-S
期末 期末	32-51301-B
期权	32-51344-S
期權 期权	32-51344-B
期满	32-51384-S
期滿 期满	32-51384-B
期盼	32-51455-S
期盼 期盼	32-51455-B
期票	32-51562-S
期票 期票	32-51562-B
期終 期终	32-51615-B
期终	32-51615-S
期考	32-51669-S
期考 期考	32-51669-B
期許 期许	32-51725-B
期许	32-51725-S
期貨 期货	32-51789-B
期货	32-51789-S
期間 期间	32-51840-B
期间	32-51840-S
期限	32-51912-S
期限 期限	32-51912-B
朠	32-51979-S
朠 朠	32-51979-B
朢	32-52020-S
朢 朢	32-52020-B
朣	32-52078-S
朣 朣	32-52078-B
朦	32-52128-S
朦 朦	32-52128-B
朦朧 朦胧	32-52170-B
朦朧詩 朦胧诗	32-52210-B
朦胧	32-52170-S
朦胧诗	32-52210-S
朧 胧	32-52268-B
木	32-52303-S
木 木	32-52303-B
木乃伊	32-52334-S
木乃伊 木乃伊	32-52334-B
木乃伊化	32-52401-S
木乃伊化 木乃伊化	32-52401-B
木偶	32-52479-S
木偶 木偶	32-52479-B
木兰	32-54271-S,32-54324-S
木兰纲	32-54386-S
木兰花	32-54519-S
木制	32-54741-S
木刻	32-52517-S
木刻 木刻	32-52517-B
木剑	32-52556-S
木劍 木剑	32-52556-B
木匠	32-52602-S
木匠 木匠	32-52602-B
木器	32-52646-S
木器 木器	32-52646-B
木块	32-52693-S
木塊 木块	32-52693-B
木塔	32-52732-S
木塔 木塔	32-52732-B
木头	32-55348-S
木子美	32-52790-S
木子美 木子美	32-52790-B
木工	32-52841-S
木工 木工	32-52841-B
木料	32-52914-S
木料 木料	32-52914-B
木星	32-52961-S
木星 木星	32-52961-B
木本植物	32-53011-S
木本植物 木本植物	32-53011-B
木杆	32-53395-S
木材	32-53076-S
木材 木材	32-53076-B
木村	32-53113-S
木村 木村	32-53113-B
木板	32-53175-S
木板 木板	32-53175-B
木柴堆	32-53224-S
木柴堆 木柴堆	32-53224-B
木柵 木栅	32-53298-B
木栅	32-53298-S
木桶	32-53357-S
木桶 木桶	32-53357-B
木桿 木杆	32-53395-B
木棉	32-53456-S
木棉 木棉	32-53456-B
木棉花	32-53496-S
木棉花 木棉花	32-53496-B
木炭	32-53547-S
木炭 木炭	32-53547-B
木版	32-53588-S
木版 木版	32-53588-B
木犀	32-53632-S
木犀 木犀	32-53632-B
木琴	32-53672-S
木琴 木琴	32-53672-B
木瓜	32-53714-S
木瓜 木瓜	32-53714-B
木瓦	32-53753-S
木瓦 木瓦	32-53753-B
木筏	32-53792-S
木筏 木筏	32-53792-B
木管乐器	32-53844-S
木管樂器 木管乐器	32-53844-B
木糖	32-53918-S
木糖 木糖	32-53918-B
木糖醇	32-53974-S
木糖醇 木糖醇	32-53974-B
木耳	32-54027-S
木耳 木耳	32-54027-B
木聚糖	32-54077-S
木聚糖 木聚糖	32-54077-B
木莓	32-54126-S
木莓 木莓	32-54126-B
木薯	32-54168-S
木薯 木薯	32-54168-B
木薯淀粉	32-54208-S
木薯澱粉 木薯淀粉	32-54208-B
木蘭 木兰	32-54271-B,32-54324-B
木蘭綱 木兰纲	32-54386-B
木蘭花 木兰花	32-54519-B
木虱	32-54571-S
木蝨 木虱	32-54571-B
木裡藏族自治縣 木里藏族自治县	32-54613-B
木製 木制	32-54741-B
木訥 木讷	32-54780-B
木訥寡言 木讷寡言	32-54870-B
木訥老人 木讷老人	32-54979-B
木讷	32-54780-S
木讷寡言	32-54870-S
木讷老人	32-54979-S
木質 木质	32-55064-B
木質素 木质素	32-55103-B
木質部 木质部	32-55152-B
木质	32-55064-S
木质素	32-55103-S
木质部	32-55152-S
木酮糖	32-55200-S
木酮糖 木酮糖	32-55200-B
木里藏族自治县	32-54613-S
木釘 木钉	32-55270-B
木鋸 木锯	32-55307-B
木钉	32-55270-S
木锯	32-55307-S
木頭 木头	32-55348-B
木香	32-55428-S
木香 木香	32-55428-B
木馬 木马	32-55490-B
木馬病毒 木马病毒	32-55576-B
木馬計 木马计	32-55667-B
木马	32-55490-S
木马病毒	32-55576-S
木马计	32-55667-S
木骨都束	32-55749-S
木骨都束 木骨都束	32-55749-B
木魚 木鱼	32-55845-B
木鱼	32-55845-S
未	32-55920-S
未 未	32-55920-B
未了	32-56000-S
未了 未了	32-56000-B
未亡人	32-56080-S
未亡人 未亡人	32-56080-B
未來 未来	32-56189-B
未來學 未来学	32-56265-B
未來業績 未来业绩	32-56324-B
未便	32-56406-S
未便 未便	32-56406-B
未免	32-56503-S
未免 未免	32-56503-B
未冠	32-56594-S
未冠 未冠	32-56594-B
未决定	32-58618-S
未几	32-57858-S
未出貨 未出货	32-56645-B
未出货	32-56645-S
未删节版	32-56708-S
未刪節版 未删节版	32-56708-B
未卜	32-56797-S
未卜 未卜	32-56797-B
未卜先知	32-56873-S
未卜先知 未卜先知	32-56873-B
未发货	32-58671-S
未受精	32-56988-S
未受精 未受精	32-56988-B
未可	32-57047-S
未可 未可	32-57047-B
未可同日而語 未可同日而语	32-57086-B
未可同日而语	32-57086-S
未嘗 未尝	32-57275-B
未央	32-57318-S
未央 未央	32-57318-B
未娶	32-57403-S
未娶 未娶	32-57403-B
未娶妻	32-57463-S
未娶妻 未娶妻	32-57463-B
未婚	32-57530-S
未婚 未婚	32-57530-B
未婚夫	32-57573-S
未婚夫 未婚夫	32-57573-B
未婚妻	32-57624-S
未婚妻 未婚妻	32-57624-B
未孵	32-57676-S
未孵 未孵	32-57676-B
未完成	32-57718-S
未完成 未完成	32-57718-B
未定	32-57785-S
未定 未定	32-57785-B
未尝	32-57275-S
未幾 未几	32-57858-B
未必	32-57907-S
未必 未必	32-57907-B
未成	32-57965-S
未成 未成	32-57965-B
未成冠	32-58067-S
未成冠 未成冠	32-58067-B
未成年人	32-58131-S
未成年人 未成年人	32-58131-B
未成年者	32-58218-S
未成年者 未成年者	32-58218-B
未找到	32-58297-S
未找到 未找到	32-58297-B
未折现	32-58392-S
未折現 未折现	32-58392-B
未提及	32-58461-S
未提及 未提及	32-58461-B
未曾	32-58517-S
未曾 未曾	32-58517-B
未来	32-56189-S
未来业绩	32-56324-S
未来学	32-56265-S
未武装	32-58564-S
未武裝 未武装	32-58564-B
未決定 未决定	32-58618-B
未發貨 未发货	32-58671-B
未知	32-58739-S
未知 未知	32-58739-B
未知数	32-58780-S
未知數 未知数	32-58780-B
未签字者	32-58841-S
未簽字者 未签字者	32-58841-B
未經 未经	32-58910-B
未經證實 未经证实	32-58954-B
未经	32-58910-S
未经证实	32-58954-S
未置可否	32-59024-S
未置可否 未置可否	32-59024-B
未羊	32-59120-S
未羊 未羊	32-59120-B
未能	32-59161-S
未能 未能	32-59161-B
未遂	32-59210-S
未遂 未遂	32-59210-B
未雨綢繆 未雨绸缪	32-59309-B
未雨绸缪	32-59309-S
末	32-59385-S
末 末	32-59385-B
末世	32-59434-S
末世 末世	32-59434-B
末了	32-59489-S
末了 末了	32-59489-B
末代	32-59533-S
末代 末代	32-59533-B
末代皇帝	32-59582-S
末代皇帝 末代皇帝	32-59582-B
末伏	32-59654-S
末伏 末伏	32-59654-B
末后	32-59833-S
末年	32-59711-S
末年 末年	32-59711-B
末底改	32-59774-S
末底改 末底改	32-59774-B
末後 末后	32-59833-B
末愿	32-60224-S
末日	32-59873-S
末日 末日	32-59873-B
末期	32-59951-S
末期 末期	32-59951-B
末梢神經 末梢神经	32-60022-B
末梢神经	32-60022-S
末端	32-60096-S
末端 末端	32-60096-B
末药	32-60139-S
末藥 末药	32-60139-B
末願 末愿	32-60224-B
本	32-60330-S
本 本	32-60330-B
本义	32-65908-S
本乡	32-67218-S
本事	32-60452-S
本事 本事	32-60452-B
本人	32-60530-S
本人 本人	32-60530-B
本人的觀點 本人的观点	32-60649-B
本人的观点	32-60649-S
本份	32-60737-S
本份 本份	32-60737-B
本位	32-60781-S
本位 本位	32-60781-B
本位主义	32-60852-S
本位主義 本位主义	32-60852-B
本位制	32-60955-S
本位制 本位制	32-60955-B
本位貨幣 本位货币	32-61017-B
本位货币	32-61017-S
本体	32-67517-S
本体论	32-67655-S
本來 本来	32-61123-B
本來面目 本来面目	32-61218-B
本傑明 本杰明	32-61299-B
本傑明・富蘭克林 本杰明・富兰克林	32-61367-B
本分	32-61493-S
本分 本分	32-61493-B
本初子午線 本初子午线	32-61599-B
本初子午线	32-61599-S
本周	32-61702-S,32-66828-S
本周 本周	32-61702-B
本周一	32-66872-S
本周三	32-66928-S
本周二	32-66988-S
本周五	32-67045-S
本周六	32-67101-S
本周四	32-67160-S
本固枝榮 本固枝荣	32-61746-B
本固枝荣	32-61746-S
本国	32-61845-S
本國 本国	32-61845-B
本土	32-61896-S
本土 本土	32-61896-B
本土化	32-61972-S
本土化 本土化	32-61972-B
本土化軟件 本土化软件	32-62040-B
本土化软件	32-62040-S
本土派	32-62129-S
本土派 本土派	32-62129-B
本地	32-62235-S
本地 本地	32-62235-B
本地人	32-62287-S
本地人 本地人	32-62287-B
本地化	32-62358-S
本地化 本地化	32-62358-B
本地管理界面	32-62450-S
本地管理界面 本地管理界面	32-62450-B
本垒	32-62760-S
本報 本报	32-62558-B
本報記者 本报记者	32-62606-B
本壘 本垒	32-62760-B
本子	32-62803-S
本子 本子	32-62803-B
本字	32-62856-S
本字 本字	32-62856-B
本家	32-62915-S
本家 本家	32-62915-B
本尼迪	32-63019-S
本尼迪 本尼迪	32-63019-B
本屆 本届	32-63099-B
本届	32-63099-S
本岛	32-63150-S
本島 本岛	32-63150-B
本州	32-63195-S
本州 本州	32-63195-B
本币	32-63237-S
本幣 本币	32-63237-B
本年度	32-63337-S
本年度 本年度	32-63337-B
本底	32-63408-S
本底 本底	32-63408-B
本底計數 本底计数	32-63451-B
本底調查 本底调查	32-63521-B
本底计数	32-63451-S
本底调查	32-63521-S
本底輻射 本底辐射	32-63601-B
本底辐射	32-63601-S
本影	32-63675-S
本影 本影	32-63675-B
本征值	32-63715-S
本征向量	32-63813-S
本徵值 本征值	32-63715-B
本徵向量 本征向量	32-63813-B
本性	32-63933-S
本性 本性	32-63933-B
本意	32-64009-S
本意 本意	32-64009-B
本报	32-62558-S
本报记者	32-62606-S
本拉登	32-64077-S
本拉登 本拉登	32-64077-B
本文	32-64147-S
本文 本文	32-64147-B
本族語 本族语	32-64222-B
本族语	32-64222-S
本星期	32-64294-S
本星期 本星期	32-64294-B
本月	32-64348-S
本月 本月	32-64348-B
本朝	32-64410-S
本朝 本朝	32-64410-B
本期	32-64464-S
本期 本期	32-64464-B
本末	32-64546-S
本末 本末	32-64546-B
本末倒置	32-64677-S
本末倒置 本末倒置	32-64677-B
本本主义	32-64887-S
本本主義 本本主义	32-64887-B
本来	32-61123-S
本来面目	32-61218-S
本杰明	32-61299-S
本杰明・富兰克林	32-61367-S
本源	32-64966-S
本源 本源	32-64966-B
本溪	32-65014-S
本溪 本溪	32-65014-B
本溪县	32-65405-S
本溪市	32-65134-S
本溪市 本溪市	32-65134-B
本溪满族自治县	32-65265-S
本溪滿族自治縣 本溪满族自治县	32-65265-B
本溪縣 本溪县	32-65405-B
本生灯	32-65503-S
本生燈 本生灯	32-65503-B
本田	32-65564-S
本田 本田	32-65564-B
本着	32-66457-S
本票	32-65620-S
本票 本票	32-65620-B
本科	32-65670-S
本科 本科	32-65670-B
本笃十六世	32-65746-S
本篤十六世 本笃十六世	32-65746-B
本罪	32-65846-S
本罪 本罪	32-65846-B
本義 本义	32-65908-B
本职	32-65971-S
本職 本职	32-65971-B
本能	32-66014-S
本能 本能	32-66014-B
本色	32-66057-S,32-66163-S
本色 本色	32-66057-B,32-66163-B
本茨	32-66211-S
本茨 本茨	32-66211-B
本草	32-66277-S
本草 本草	32-66277-B
本草綱目 本草纲目	32-66369-B
本草纲目	32-66369-S
本著 本着	32-66457-B
本行	32-66554-S
本行 本行	32-66554-B
本質 本质	32-66620-B
本質上 本质上	32-66703-B
本质	32-66620-S
本质上	32-66703-S
本身	32-66770-S
本身 本身	32-66770-B
本週 本周	32-66828-B
本週一 本周一	32-66872-B
本週三 本周三	32-66928-B
本週二 本周二	32-66988-B
本週五 本周五	32-67045-B
本週六 本周六	32-67101-B
本週四 本周四	32-67160-B
本鄉 本乡	32-67218-B
本金	32-67285-S
本金 本金	32-67285-B
本錢 本钱	32-67336-B
本钱	32-67336-S
本領 本领	32-67378-B
本題 本题	32-67437-B
本领	32-67378-S
本题	32-67437-S
本體 本体	32-67517-B
本體論 本体论	32-67655-B
札	9-40106-S,32-67707-S
札 札	32-67707-B
札幌	32-67740-S
札幌 札幌	32-67740-B
札格拉布	32-67783-S
札格拉布 札格拉布	32-67783-B
札达	32-67863-S
札達 札达	32-67863-B
札馬剌丁 札马剌丁	32-67922-B
札馬魯丁 札马鲁丁	32-68028-B
札马剌丁	32-67922-S
札马鲁丁	32-68028-S
朮	32-68134-S,32-68192-S
朮 朮	32-68134-B,32-68192-B
术	56-36276-S
术语	56-36315-S
术赤	56-36364-S
朱	32-68308-S,46-21579-S
朱 朱	32-68308-B
朱云折槛	32-69711-S
朱儁 朱隽	32-68352-B
朱元璋	32-68400-S
朱元璋 朱元璋	32-68400-B
朱利亚尼	32-68461-S
朱利亞尼 朱利亚尼	32-68461-B
朱子	32-68563-S
朱子 朱子	32-68563-B
朱容基	32-68605-S
朱容基 朱容基	32-68605-B
朱广沪	32-68756-S
朱庇特	32-68694-S
朱庇特 朱庇特	32-68694-B
朱廣滬 朱广沪	32-68756-B
朱德	32-68821-S
朱德 朱德	32-68821-B
朱棣	32-68872-S
朱棣 朱棣	32-68872-B
朱温	32-68950-S
朱溫 朱温	32-68950-B
朱熔基	32-69001-S
朱熔基 朱熔基	32-69001-B
朱熹	32-69090-S
朱熹 朱熹	32-69090-B
朱砂	32-69152-S
朱砂 朱砂	32-69152-B
朱粉	32-69215-S
朱粉 朱粉	32-69215-B
朱紅 朱红	32-69269-B
朱紅色 朱红色	32-69313-B
朱红	32-69269-S
朱红色	32-69313-S
朱自清	32-69367-S
朱自清 朱自清	32-69367-B
朱莉娅	32-69434-S
朱莉婭 朱莉娅	32-69434-B
朱諾 朱诺	32-69489-B
朱诺	32-69489-S
朱迪亚	32-69529-S
朱迪亞 朱迪亚	32-69529-B
朱鎔基 朱镕基	32-69577-B
朱镕基	32-69577-S
朱隽	32-68352-S
朱雀	32-69639-S
朱雀 朱雀	32-69639-B
朱雲折檻 朱云折槛	32-69711-B
朱鷺 朱鹭	32-69843-B
朱鹭	32-69843-S
朱鹮	32-69942-S
朱鹮 朱鹮	32-69942-B
朳	32-70029-S
朳 朳	32-70029-B
朴	32-70055-S,34-60161-S
朴 朴	32-70055-B
朴子	32-70106-S
朴子 朴子	32-70106-B
朴实	34-60205-S
朴素	34-60263-S
朵	32-70164-S
朵 朵	32-70164-B
朶	32-70248-S
朶 朶	32-70248-B
机	35-2191-S
机不可失	35-2239-S
机会	35-3534-S
机会主义	35-3594-S
机体	35-6127-S
机关	35-5634-S
机关报	35-5683-S
机关枪	35-5768-S
机关车	35-5853-S
机制	35-2362-S,35-4946-S
机务段	35-2683-S
机动	35-2404-S
机动性	35-2495-S
机动车	35-2552-S
机动车辆	35-2610-S
机变	35-5146-S
机器	35-2743-S
机器人	35-2782-S
机器翻译	35-2848-S
机场	35-2920-S
机场大厦	35-2971-S
机头	35-6063-S
机宜	35-3044-S
机密	35-3125-S
机密文件	35-3188-S
机尾	35-3258-S
机床	35-3321-S
机库	35-3377-S
机敏	35-3426-S
机智	35-3466-S
机杼	35-3670-S
机构	35-4347-S
机枪	35-4411-S
机械	35-3709-S
机械化	35-3770-S
机械工程	35-3823-S
机械性	35-3903-S
机械码	35-3958-S
机械翻译	35-4013-S
机械能	35-4086-S
机械装置	35-4148-S
机械语言	35-4215-S
机械钟	35-4285-S
机油	35-4457-S
机灵	35-5908-S
机率	35-4500-S
机理	35-4567-S
机电	32-70285-S
机电 机电	32-70285-B
机票	35-4608-S
机箱	35-4669-S
机组	35-4738-S
机缘	35-4794-S
机翼	35-4854-S
机能	35-4904-S
机警	35-5061-S
机诈	35-5019-S
机身	35-5222-S
机身宽大	35-5304-S
机车	35-5392-S
机轴	35-5460-S
机遇	35-5499-S
机长	35-5580-S
机顶盒	35-5961-S
朽	32-70359-S
朽 朽	32-70359-B
朽坏	32-70388-S
朽壞 朽坏	32-70388-B
朾	33-0-S
朾 朾	33-0-B
朿	33-31-S
朿 朿	33-31-B
杀	35-66090-S
杀一儆百	35-66143-S
杀人	35-66319-S
杀人不过头点地	35-66390-S
杀人案	35-66498-S
杀人案件	35-66567-S
杀人犯	35-66631-S
杀人狂	35-66693-S
杀伤	35-66756-S
杀害	36-0-S
杀富济贫	36-40-S
杀彘教子	36-127-S
杀戮	36-268-S
杀手	36-319-S
杀手级应用	36-360-S
杀掉	36-458-S
杀死	36-500-S
杀毒软件	36-540-S
杀气	36-615-S
杀灭	36-662-S
杀生	36-710-S
杀真菌	36-757-S
杀绝	36-812-S
杀草快	36-860-S
杀菌	36-912-S
杀菌作用	36-971-S
杀菌剂	36-1041-S
杀虎斩蛟	36-1099-S
杀虫剂	36-1262-S
杀螺剂	36-1206-S
杀鸡儆猴	36-1329-S
杀鸡吓猴	36-1517-S
杀鸡给猴看	36-1705-S
杀鸡警猴	36-1880-S
杂	67-3486-S
杂七杂八	67-3542-S
杂乱	67-3654-S
杂乱无章	67-3692-S
杂交	67-3812-S
杂件	67-3854-S
杂件儿	67-3907-S
杂凑	67-5049-S
杂剧	67-3969-S
杂剧四大家	67-4038-S
杂务	67-4127-S
杂噪	67-4186-S
杂多	67-4233-S
杂婚	67-4294-S
杂家	67-4341-S
杂居	67-4478-S
杂工	67-4569-S
杂录	67-6477-S
杂志	67-5820-S
杂感	67-4626-S
杂戏	67-4693-S
杂技	67-4766-S
杂拌儿	67-4808-S
杂文	67-4886-S
杂沓	67-4924-S
杂流	67-4986-S
杂烩	67-5132-S
杂牌	67-5199-S
杂牌儿	67-5270-S
杂环	67-5350-S
杂盐	67-6827-S
杂税	67-5403-S
杂粮	67-5517-S
杂糅	67-5471-S
杂耍	67-5589-S
杂色	67-5644-S
杂草	67-5694-S
杂记	67-5732-S
杂说	67-5861-S
杂谷脑	67-5958-S
杂谷脑镇	67-6025-S
杂货	67-6119-S
杂货商	67-6181-S
杂货店	67-6233-S
杂货摊	67-6300-S
杂质	67-6436-S
杂费	67-6371-S
杂集	67-6548-S
杂音	67-6604-S
杂项	67-6642-S
杂食	67-6690-S
杂食动物	67-6764-S
权	35-18253-S
权利	35-18298-S
权利声明	35-18353-S
权力	35-18431-S
权力斗争	35-18550-S
权力纷争	35-18478-S
权势	35-18622-S
权威	35-18672-S
权威性	35-18749-S
权宜	35-18828-S
权杖	35-18871-S
权柄	35-18915-S
权益	35-18960-S
权能	35-19013-S
权衡	35-19054-S
权证	35-19113-S
权重	35-19167-S
权钥	35-19210-S
权限	35-19262-S
杅	33-57-S
杅 杅	33-57-B
杆	33-87-S,34-8756-S
杆 杆	33-87-B
杆弟	34-8836-S
杆秤	34-8882-S
杆菌	34-8949-S
杇	33-114-S
杇 杇	33-114-B
杈	33-156-S,33-203-S
杈 杈	33-156-B,33-203-B
杉	33-259-S,33-285-S
杉 杉	33-259-B,33-285-B
杉山彬	33-315-S
杉山彬 杉山彬	33-315-B
杉林乡	33-377-S
杉林鄉 杉林乡	33-377-B
杌	33-456-S
杌 杌	33-456-B
李	33-487-S
李 李	33-487-B
李世民	33-524-S
李世民 李世民	33-524-B
李丽珊	33-6319-S
李代数	33-577-S
李代數 李代数	33-577-B
李代桃僵	33-640-S
李代桃僵 李代桃僵	33-640-B
李会昌	33-3542-S
李伯元	33-810-S
李伯元 李伯元	33-810-B
李俊	33-908-S
李俊 李俊	33-908-B
李先念	33-947-S
李先念 李先念	33-947-B
李光耀	33-1016-S
李光耀 李光耀	33-1016-B
李公朴	33-1111-S
李公樸 李公朴	33-1111-B
李冰	33-1172-S
李冰 李冰	33-1172-B
李劼人	33-1279-S
李劼人 李劼人	33-1279-B
李卜克內西 李卜克内西	33-1344-B
李卜克内西	33-1344-S
李叔同	33-1436-S
李叔同 李叔同	33-1436-B
李后主	33-2451-S
李商隐	33-1504-S
李商隱 李商隐	33-1504-B
李嘉誠 李嘉诚	33-1574-B
李嘉诚	33-1574-S
李大釗 李大钊	33-1643-B
李大钊	33-1643-S
李娃传	33-1707-S
李娃傳 李娃传	33-1707-B
李子	33-1775-S
李子 李子	33-1775-B
李宁	33-1923-S
李安	33-1810-S
李安 李安	33-1810-B
李宗仁	33-1856-S
李宗仁 李宗仁	33-1856-B
李宝嘉	33-1964-S
李寧 李宁	33-1923-B
李寶嘉 李宝嘉	33-1964-B
李小龍 李小龙	33-2052-B
李小龙	33-2052-S
李岚清	33-2119-S
李嵐清 李岚清	33-2119-B
李希霍芬	33-2174-S
李希霍芬 李希霍芬	33-2174-B
李广	33-2264-S
李廣 李广	33-2264-B
李延壽 李延寿	33-2317-B
李延寿	33-2317-S
李建成	33-2382-S
李建成 李建成	33-2382-B
李开复	33-5914-S
李後主 李后主	33-2451-B
李德	33-2517-S
李德 李德	33-2517-B
李德林	33-2571-S
李德林 李德林	33-2571-B
李成桂	33-2632-S
李成桂 李成桂	33-2632-B
李成江	33-2746-S
李成江 李成江	33-2746-B
李振藩	33-2807-S
李振藩 李振藩	33-2807-B
李敏勇	33-2861-S
李敏勇 李敏勇	33-2861-B
李斯	33-2924-S
李斯 李斯	33-2924-B
