庆历新政	25-52292-S
庫姆塔格沙漠 库姆塔格沙漠	22-66036-B
庫存 库存	22-66124-B
庫存現金 库存现金	22-66195-B
庫工黨 库工党	22-66276-B
庫布裡克 库布里克	22-66354-B
庫房 库房	22-66413-B
庫爾 库尔	22-66486-B
庫爾勒 库尔勒	22-66544-B
庫爾德 库尔德	22-66616-B
庫爾德人 库尔德人	22-66670-B
庫爾德工人黨 库尔德工人党	22-66747-B
庫爾德斯坦 库尔德斯坦	22-66850-B
庫爾斯克 库尔斯克	22-66922-B
庫爾特・瓦爾德海姆 库尔特・瓦尔德海姆	22-66986-B
庫珀帶 库珀带	22-67113-B
庫納南 库纳南	22-67214-B
庫藏 库藏	23-0-B
庫裡提巴 库里提巴	23-65-B
庫車 库车	23-142-B
庫頁島 库页岛	23-204-B
庬	23-299-S
庬 庬	23-299-B
庭	23-327-S
庭 庭	23-327-B
庭园	23-366-S
庭園 庭园	23-366-B
庭外	23-415-S
庭外 庭外	23-415-B
庭审	23-475-S
庭審 庭审	23-475-B
庭長 庭长	23-524-B
庭长	23-524-S
庭院	23-576-S
庭院 庭院	23-576-B
庳	23-621-S
庳 庳	23-621-B
庴	23-658-S
庴 庴	23-658-B
庵	23-690-S
庵 庵	23-690-B
庶	23-754-S
庶 庶	23-754-B
庶子	23-785-S
庶子 庶子	23-785-B
庶室	23-849-S
庶室 庶室	23-849-B
庶民	23-892-S
庶民 庶民	23-892-B
康	23-990-S
康 康	23-990-B
康乃馨	23-1065-S
康乃馨 康乃馨	23-1065-B
康乐	23-2547-S
康乾宗迦峰	23-1120-S
康乾宗迦峰 康乾宗迦峰	23-1120-B
康乾盛世	23-1219-S
康乾盛世 康乾盛世	23-1219-B
康保	23-1354-S
康保 康保	23-1354-B
康健	23-1417-S
康健 康健	23-1417-B
康县	23-3181-S
康复	23-2161-S
康多莉扎・賴斯 康多莉扎・赖斯	23-1464-B
康多莉扎・赖斯	23-1464-S
康奈尔	23-1618-S
康奈尔大学	23-1686-S
康奈爾 康奈尔	23-1618-B
康奈爾大學 康奈尔大学	23-1686-B
康定	23-1770-S
康定 康定	23-1770-B
康平	23-1819-S,23-1896-S
康平 康平	23-1819-B,23-1896-B
康平县	23-1952-S
康平縣 康平县	23-1952-B
康广仁	23-2041-S
康廣仁 康广仁	23-2041-B
康強 康强	23-2102-B
康强	23-2102-S
康復 康复	23-2161-B
康德	23-2242-S
康德 康德	23-2242-B
康思維恩格 康思维恩格	23-2301-B
康思维恩格	23-2301-S
康斯坦察	23-2395-S
康斯坦察 康斯坦察	23-2395-B
康有为	23-2478-S
康有為 康有为	23-2478-B
康桥	23-2608-S
康樂 康乐	23-2547-B
康橋 康桥	23-2608-B
康泰	23-2660-S
康泰 康泰	23-2660-B
康涅狄格	23-2711-S
康涅狄格 康涅狄格	23-2711-B
康涅狄格州	23-2791-S
康涅狄格州 康涅狄格州	23-2791-B
康熙	23-2869-S
康熙 康熙	23-2869-B
康熙字典	23-2922-S
康熙字典 康熙字典	23-2922-B
康生	23-3050-S
康生 康生	23-3050-B
康科德	23-3109-S
康科德 康科德	23-3109-B
康縣 康县	23-3181-B
康衢	23-3237-S
康衢 康衢	23-3237-B
康馬 康马	23-3298-B
康马	23-3298-S
庸	23-3359-S
庸 庸	23-3359-B
庸人	23-3398-S
庸人 庸人	23-3398-B
庸人自扰	23-3448-S
庸人自擾 庸人自扰	23-3448-B
庸俗	23-3568-S
庸俗 庸俗	23-3568-B
庸俗作品	23-3623-S
庸俗作品 庸俗作品	23-3623-B
庸俗化	23-3689-S
庸俗化 庸俗化	23-3689-B
庸医	23-4014-S
庸庸碌碌	23-3758-S
庸庸碌碌 庸庸碌碌	23-3758-B
庸才	23-3831-S
庸才 庸才	23-3831-B
庸碌	23-3876-S
庸碌 庸碌	23-3876-B
庸碌无能	23-3934-S
庸碌無能 庸碌无能	23-3934-B
庸醫 庸医	23-4014-B
庹	23-4063-S
庹 庹	23-4063-B
庾	23-4115-S
庾 庾	23-4115-B
庾信	23-4166-S
庾信 庾信	23-4166-B
廁 厕	23-4215-B
廁所 厕所	23-4262-B
廂 厢	23-4310-B
廂式車 厢式车	23-4361-B
廃	23-4411-S
廃 廃	23-4411-B
廄 厩	23-4461-B
廆	23-4495-S
廆 廆	23-4495-B
廈 厦	23-4557-B,23-4593-B
廈門 厦门	23-4629-B
廈門大學 厦门大学	23-4669-B
廈門市 厦门市	23-4741-B
廉	23-4792-S
廉 廉	23-4792-B
廉价	23-4850-S
廉價 廉价	23-4850-B
廉恥 廉耻	23-4899-B
廉政	23-4965-S
廉政 廉政	23-4965-B
廉政公署	23-5026-S
廉政公署 廉政公署	23-5026-B
廉江	23-5127-S
廉江 廉江	23-5127-B
廉洁	23-5197-S
廉潔 廉洁	23-5197-B
廉直	23-5283-S
廉直 廉直	23-5283-B
廉署	23-5364-S
廉署 廉署	23-5364-B
廉耻	23-4899-S
廉頗 廉颇	23-5445-B
廉颇	23-5445-S
廊	23-5499-S
廊 廊	23-5499-B
廊坊	23-5528-S
廊坊 廊坊	23-5528-B
廊坊地区	23-5603-S
廊坊地區 廊坊地区	23-5603-B
廊坊市	23-5700-S
廊坊市 廊坊市	23-5700-B
廋	23-5786-S
廋 廋	23-5786-B
廌	23-5831-S
廌 廌	23-5831-B
廎	23-5862-S
廎 廎	23-5862-B
廏	23-5901-S
廏 廏	23-5901-B
廐	23-5942-S
廐 廐	23-5942-B
廑	23-5983-S
廑 廑	23-5983-B
廒	23-6017-S
廒 廒	23-6017-B
廓	23-6046-S
廓 廓	23-6046-B
廕	23-6083-S
廕 廕	23-6083-B
廖	23-6111-S
廖 廖	23-6111-B
廖沫沙	23-6147-S
廖沫沙 廖沫沙	23-6147-B
廚 厨	23-6214-B
廚司 厨司	23-6244-B
廚子 厨子	23-6281-B
廚師 厨师	23-6317-B
廚師長 厨师长	23-6355-B
廚房 厨房	23-6426-B
廛	23-6468-S
廛 廛	23-6468-B
廝	23-6587-S
廝 厮	23-6504-B
廝 廝	23-6587-B
廝守 厮守	23-6616-B
廝打 厮打	23-6689-B
廝搏 厮搏	23-6755-B
廝殺 厮杀	23-6823-B
廝混 厮混	23-6895-B
廝熟 厮熟	23-6974-B
廝纏 厮缠	23-7032-B
廝鑼 厮锣	23-7106-B
廞	23-7149-S
廞 廞	23-7149-B
廟 庙	23-7213-B
廟塔 庙塔	23-7253-B
廟號 庙号	23-7306-B
廠 厂	23-7386-B
廠主 厂主	23-7476-B
廠史 厂史	23-7525-B
廠商 厂商	23-7576-B
廠址 厂址	23-7626-B
廠子 厂子	23-7683-B
廠家 厂家	23-7727-B
廠工 厂工	23-7785-B
廠房 厂房	23-7844-B
廠牌 厂牌	23-7928-B
廠礦 厂矿	23-7984-B
廠禮拜 厂礼拜	23-8041-B
廠絲 厂丝	23-8101-B
廠規 厂规	23-8149-B
廠長 厂长	23-8204-B
廡 庑	23-8258-B
廢 废	23-8287-B
廢人 废人	23-8342-B
廢品 废品	23-8409-B
廢墟 废墟	23-8494-B
廢寢忘食 废寝忘食	23-8532-B
廢寢忘餐 废寝忘餐	23-8657-B
廢弛 废弛	23-8782-B
廢掉 废掉	23-8844-B
廢料 废料	23-8897-B
廢棄 废弃	23-8961-B
廢止 废止	23-9040-B
廢氣 废气	23-9127-B
廢水 废水	23-9185-B
廢液 废液	23-9240-B
廢然 废然	23-9286-B
廢物 废物	23-9338-B
廢物箱 废物箱	23-9408-B
廢紙 废纸	23-9472-B
廢置 废置	23-9517-B
廢舊 废旧	23-9582-B
廢藩置縣 废藩置县	23-9654-B
廢話 废话	23-9812-B
廢銅爛鐵 废铜烂铁	23-9910-B
廢鐵 废铁	23-9993-B
廢除 废除	23-10037-B
廢除軍備 废除军备	23-10094-B
廢黜 废黜	23-10156-B
廣 广	23-10208-B
廣九 广九	23-10270-B
廣九鐵路 广九铁路	23-10342-B
廣傳 广传	23-10428-B
廣元 广元	23-10475-B
廣元市 广元市	23-10554-B
廣南 广南	23-10644-B
廣博 广博	23-10710-B
廣告 广告	23-10754-B
廣告商 广告商	23-10815-B
廣告條幅 广告条幅	23-10883-B
廣告片 广告片	23-10961-B
廣告牌 广告牌	23-11044-B
廣告設計師 广告设计师	23-11123-B
廣域網 广域网	23-11213-B
廣域網路 广域网路	23-11281-B
廣場 广场	23-11359-B
廣場恐懼 广场恐惧	23-11442-B
廣場恐懼症 广场恐惧症	23-11540-B
廣大 广大	23-11651-B
廣安 广安	23-11700-B
廣安地區 广安地区	23-11776-B
廣安市 广安市	23-11874-B
廣安門 广安门	23-11961-B
廣宗 广宗	23-12077-B
廣寧 广宁	23-12144-B
廣島 广岛	23-12215-B
廣州 广州	23-12260-B
廣州市 广州市	23-12418-B
廣州日報 广州日报	23-12587-B
廣平 广平	23-12660-B
廣度 广度	23-12727-B
廣德 广德	23-12769-B
廣播 广播	23-12832-B
廣播劇 广播剧	23-12890-B
廣播和未知服務器 广播和未知服务器	23-12946-B
廣播員 广播员	23-13075-B
廣播地址 广播地址	23-13141-B
廣播室 广播室	23-13214-B
廣播網 广播网	23-13277-B
廣播網路 广播网路	23-13331-B
廣播電影電視總局 广播电影电视总局	23-13405-B
廣昌 广昌	23-13600-B
廣昌縣 广昌县	23-13679-B
廣東 广东	23-13770-B
廣東人 广东人	23-13852-B
廣東省 广东省	23-13909-B
廣東話 广东话	23-14004-B
廣水 广水	23-14070-B
廣河 广河	23-14136-B
廣泛 广泛	23-14199-B
廣漢 广汉	23-14255-B
廣硯 广砚	23-14321-B
廣義 广义	23-14389-B
廣義相對論 广义相对论	23-14457-B
廣袤 广袤	23-14574-B
廣西 广西	23-14614-B
廣西壯族自治區 广西壮族自治区	23-14691-B
廣西省 广西省	23-14828-B
廣角鏡 广角镜	23-14918-B
廣角鏡頭 广角镜头	23-14982-B
廣豐 广丰	23-15064-B
廣豐縣 广丰县	23-15143-B
廣遊 广游	23-15234-B
廣闊 广阔	23-15327-B
廣電 广电	23-15372-B
廣電總局 广电总局	23-15540-B
廣靈 广灵	23-15730-B
廣饒 广饶	23-15798-B
廧	23-15866-S
廧 廧	23-15866-B
廨	23-15895-S
廨 廨	23-15895-B
廩 廪	23-15924-B
廪	23-15924-S
廬 庐	23-15965-B
廬山 庐山	23-15990-B
廬山區 庐山区	23-16066-B
廬江 庐江	23-16152-B
廱	23-16215-S
廱 廱	23-16215-B
廳 厅	23-16249-B
廳堂 厅堂	23-16296-B
延	23-16336-S
延 延	23-16336-B
延会	23-17829-S
延伸	23-16400-S
延伸 延伸	23-16400-B
延发	23-18008-S
延吉	23-16454-S
延吉 延吉	23-16454-B
延吉市	23-16510-S
延吉市 延吉市	23-16510-B
延壽 延寿	23-16577-B
延安	23-16662-S
延安 延安	23-16662-B
延安地区	23-16751-S
延安地區 延安地区	23-16751-B
延安市	23-16845-S
延安市 延安市	23-16845-B
延宕	23-16944-S
延宕 延宕	23-16944-B
延寿	23-16577-S
延展	23-17014-S
延展 延展	23-17014-B
延展性	23-17100-S
延展性 延展性	23-17100-B
延川	23-17158-S
延川 延川	23-17158-B
延平乡	23-17225-S
延平鄉 延平乡	23-17225-B
延年益寿	23-17304-S
延年益寿 延年益寿	23-17304-B
延庆	23-17482-S
延庆县	23-17547-S
延性	23-17438-S
延性 延性	23-17438-B
延慶 延庆	23-17482-B
延慶縣 延庆县	23-17547-B
延接	23-17632-S
延接 延接	23-17632-B
延揽	23-17737-S
延搁	23-17679-S
延擱 延搁	23-17679-B
延攬 延揽	23-17737-B
延會 延会	23-17829-B
延期	23-17884-S
延期 延期	23-17884-B
延津	23-17947-S
延津 延津	23-17947-B
延發 延发	23-18008-B
延綿 延绵	23-18055-B
延緩 延缓	23-18112-B
延續 延续	23-18205-B
延续	23-18205-S
延绵	23-18055-S
延缓	23-18112-S
延聘	23-18258-S
延聘 延聘	23-18258-B
延聘招揽	23-18319-S
延聘招攬 延聘招揽	23-18319-B
延見 延见	23-18404-B
延见	23-18404-S
延誤 延误	23-18465-B
延請 延请	23-18543-B
延误	23-18465-S
延请	23-18543-S
延边	23-18701-S
延边地区	23-18869-S
延边州	23-19057-S
延边朝鲜族自治州	23-19237-S
延迟	23-18623-S
延遲 延迟	23-18623-B
延邊 延边	23-18701-B
延邊地區 延边地区	23-18869-B
延邊州 延边州	23-19057-B
延邊朝鮮族自治州 延边朝鲜族自治州	23-19237-B
延長 延长	23-19422-B
延長線 延长线	23-19487-B
延长	23-19422-S
延长线	23-19487-S
延頸企踵 延颈企踵	23-19574-B
延颈企踵	23-19574-S
延髓	23-19707-S
延髓 延髓	23-19707-B
廷	23-19807-S
廷 廷	23-19807-B
廷巴克图	23-19847-S
廷巴克圖 廷巴克图	23-19847-B
廷布	23-19955-S
廷布 廷布	23-19955-B
廷試 廷试	23-20016-B
廷试	23-20016-S
廸	23-20068-S
廸 廸	23-20068-B
廹	23-20104-S
廹 廹	23-20104-B
建	23-20176-S
建 建	23-20176-B
建三江	23-20253-S
建三江 建三江	23-20253-B
建业	23-21524-S
建交	23-20341-S
建交 建交	23-20341-B
建党	23-23077-S
建制	23-20410-S
建制 建制	23-20410-B
建功立业	23-20469-S
建功立業 建功立业	23-20469-B
建国	23-20544-S
建國 建国	23-20544-B
建基	23-20657-S
建基 建基	23-20657-B
建始	23-20709-S
建始 建始	23-20709-B
建宁	23-20856-S
建安	23-20772-S
建安 建安	23-20772-B
建寧 建宁	23-20856-B
建平	23-20922-S
建平 建平	23-20922-B
建平县	23-20999-S
建平縣 建平县	23-20999-B
建康	23-21088-S
建康 建康	23-21088-B
建德	23-21151-S
建德 建德	23-21151-B
建成	23-21214-S
建成 建成	23-21214-B
建文帝	23-21266-S
建文帝 建文帝	23-21266-B
建昌	23-21344-S
建昌 建昌	23-21344-B
建昌县	23-21428-S
建昌縣 建昌县	23-21428-B
建构	23-21581-S
建构正义理论	23-21648-S
建業 建业	23-21524-B
建構 建构	23-21581-B
建構正義理論 建构正义理论	23-21648-B
建水	23-21748-S
建水 建水	23-21748-B
建湖	23-21814-S
建湖 建湖	23-21814-B
建瓯	23-21877-S
建甌 建瓯	23-21877-B
建白	23-21923-S
建白 建白	23-21923-B
建立	23-21995-S
建立 建立	23-21995-B
建立正式外交关系	23-22080-S
建立正式外交關係 建立正式外交关系	23-22080-B
建立者	23-22222-S
建立者 建立者	23-22222-B
建筑	23-22349-S
建筑业	23-22532-S
建筑学	23-22405-S
建筑师	23-22477-S
建筑材料	23-22274-S
建筑材料 建筑材料	23-22274-B
建筑物	23-22594-S
建築 建筑	23-22349-B
建築學 建筑学	23-22405-B
建築師 建筑师	23-22477-B
建築業 建筑业	23-22532-B
建築物 建筑物	23-22594-B
建設 建设	23-22647-B
建設性 建设性	23-22729-B
建議 建议	23-22805-B
建议	23-22805-S
建设	23-22647-S
建设性	23-22729-S
建造	23-22908-S
建造 建造	23-22908-B
建都	23-22958-S
建都 建都	23-22958-B
建阳	23-23012-S
建陽 建阳	23-23012-B
建黨 建党	23-23077-B
廾	23-23127-S
廾 廾	23-23127-B
廿	23-23163-S
廿 廿	23-23163-B
开	65-29583-S
开三次方	65-29737-S
开业	65-37754-S
开交	65-29825-S
开价	65-30212-S
开伙	65-29927-S
开会	65-37438-S
开会祈祷	65-37530-S
开例	65-30021-S
开倒车	65-30075-S
开关	65-43716-S
开凿	65-43349-S
开刀	65-30283-S
开列	65-30383-S
开创	65-30538-S
开创性	65-30604-S
开初	65-30430-S
开到	65-30492-S
开办	65-42767-S
开动	65-30663-S
开化	65-30761-S
开区间	65-30875-S
开卷	65-30947-S
开卷有益	65-31013-S
开原	65-31143-S
开原市	65-31228-S
开县	65-40324-S
开发	65-39144-S
开发人员	65-39234-S
开发区	65-39299-S
开发周期	65-39652-S
开发商	65-39488-S
开发环境	65-39561-S
开发过程	65-39743-S
开发银行	65-39819-S
开口	65-31324-S
开口子	65-31388-S
开台	65-40864-S
开吊	65-34366-S
开后门	65-34530-S
开启	65-31511-S
开国	65-31551-S
开国元勋	65-31719-S
开国功臣	65-31873-S
开地	65-32032-S
开场	65-32434-S
开场白	65-32486-S
开垦	65-32586-S
开城	65-32112-S
开城市	65-32187-S
开埠	65-32273-S
开堂	65-32354-S
开壶	65-32678-S
开夜车	65-32731-S
开天辟地	65-32969-S
开天避地	65-32821-S
开头	65-44189-S
开始	65-33115-S
开始以前	65-33178-S
开学	65-33263-S
开导	65-33682-S
开封	65-33373-S
开封县	65-33612-S
开封地区	65-33446-S
开封市	65-33528-S
开小差	65-33728-S
开尔文	65-38724-S
开展	65-33779-S
开工	65-33866-S
开幕	65-33982-S
开幕式	65-34051-S
开幕词	65-34111-S
开平	65-34186-S
开店	65-34252-S
开庭	65-34299-S
开张	65-34443-S
开心	65-34683-S
开心果	65-34780-S
开快车	65-34839-S
开怀	65-35012-S
开恩	65-34940-S
开戒	65-35089-S
开战	65-35194-S
开户	65-35240-S
开房间	65-35302-S
开打	65-35384-S
开拍	65-35460-S
开拓	65-35517-S
开拓性	65-35671-S
开拓者	65-35742-S
开拔	65-35794-S
开挖	65-35895-S
开掘	65-35963-S
开支	65-36133-S
开放	65-36192-S
开放式系统	65-36317-S
开放式网络	65-36399-S
开放源码软件	65-36480-S
开放系统	65-36587-S
开放系统互连	65-36655-S
开敞	65-36766-S
开斋节	65-44538-S
开方	65-36811-S
开旷	65-37319-S
开明	65-36870-S
开春	65-36942-S
开普勒	65-37015-S
开普勒定律	65-37085-S
开普敦	65-37189-S
开曼群岛	65-37368-S
开朗	65-37595-S
开本	65-37687-S
开机	65-37869-S
开枪	65-37806-S
开步	65-38005-S
开水	65-38061-S
开江	65-38122-S
开河	65-38189-S
开河期	65-38271-S
开源节流	65-38362-S
开满	65-38581-S
开演	65-38634-S
开火	65-38678-S
开炮	65-40019-S
开犁	65-38789-S
开玩笑	65-38863-S
开球	65-38946-S
开畅	65-37265-S
开疆	65-39057-S
开眼	65-39891-S
开眼界	65-39967-S
开矿	65-40065-S
开禁	65-40123-S
开端	65-40187-S
开笔	65-40237-S
开罗	65-40380-S
开罗大学	65-40438-S
开脱	65-40509-S
开脱罪责	65-40579-S
开脸	65-40767-S
开膛手杰克	65-40684-S
开船	65-40945-S
开花	65-40992-S
开花儿	65-41124-S
开花衣	65-41197-S
开荒 開荒	23-23193-B
开荤	65-41265-S
开药	65-41386-S
开裂	65-41441-S
开裆裤	65-41607-S
开襟	65-41525-S
开讲	65-42387-S
开设	65-41699-S
开诚布公	65-41782-S,65-42002-S
开诚相见	65-42222-S
开课	65-42311-S
开路	65-42461-S
开车	65-42507-S
开车人	65-42555-S
开辟	65-42631-S
开辟者	65-42702-S
开远	65-42946-S
开通	65-42835-S
开道	65-42896-S
开都河	65-43009-S
开采	65-36055-S
开金	65-43075-S
开销	65-43166-S
开锁	65-43254-S
开锅	65-43209-S
开镰	65-43294-S
开门	65-43398-S
开门见山	65-43447-S
开间	65-43568-S
开阔	65-43653-S
开阳	65-43981-S
开除	65-43778-S
开除党籍	65-43895-S
开除学籍	65-43820-S
开集	65-44083-S
开霁	65-44132-S
开饭	65-44232-S
开鲁	65-44278-S
开黑店	65-44346-S
弁	23-23262-S
弁 弁	23-23262-B
异	43-59841-S
异丁苯丙酸	43-59956-S
异义	43-62926-S
异乡	43-63808-S
异乡人	43-63875-S
异事	43-60089-S
