恩 恩	25-1539-B
恶浪	25-22268-S
恶煞	25-22347-S
恶狠	25-22390-S
恶狠狠	25-22440-S
恶疾	25-22494-S
恶病质	25-22556-S
恶癖	25-22661-S
恶相	25-22701-S
恶神	25-22770-S
恶臭	25-22992-S
恶臭扑鼻	25-23030-S
恶舌	25-23114-S
恶行	25-23175-S
恶补	25-23230-S
恶言	25-23316-S
恶言伤人	25-23374-S
恶誓	25-23480-S
恶语	25-23521-S
恶语中伤	25-23577-S
恶语伤人	25-23672-S
恶贯满盈	25-23777-S
恶辣	25-24000-S
恶运	25-24039-S
恶迹	25-23957-S
恶霸	25-24079-S
恶骂	25-22824-S
恶鬼	25-24180-S
恶魔	25-24229-S
恸	25-48787-S
恹	25-62647-S
恺	25-44257-S
恺彻	25-44291-S
恺撒	25-44349-S
恻	25-27364-S
恼	25-24559-S
恼人	25-24594-S
恼怒	25-24656-S
恼恨	25-24717-S
恼火	25-24798-S
恼羞成怒	25-24885-S
恽	25-25005-S
恿	25-5869-S
恿 恿	25-5869-B
悁	25-5904-S,25-5937-S
悁 悁	25-5904-B,25-5937-B
悃	25-5970-S
悃 悃	25-5970-B
悄	25-6000-S
悄 悄	25-6000-B
悄悄	25-6033-S
悄悄 悄悄	25-6033-B
悄悄地	25-6076-S
悄悄地 悄悄地	25-6076-B
悄然	25-6145-S
悄然 悄然	25-6145-B
悄然无声	25-6187-S
悄然無聲 悄然无声	25-6187-B
悅 悦	25-6261-B
悅納 悦纳	25-6291-B
悆	25-6342-S
悆 悆	25-6342-B
悉	25-6369-S
悉 悉	25-6369-B
悉尼	25-6408-S
悉尼 悉尼	25-6408-B
悊	25-6446-S
悊 悊	25-6446-B
悌	25-6531-S
悌 悌	25-6531-B
悍	25-6587-S
悍 悍	25-6587-B
悍勇	25-6668-S
悍勇 悍勇	25-6668-B
悍妇	25-6729-S
悍婦 悍妇	25-6729-B
悍然	25-6781-S
悍然 悍然	25-6781-B
悍然不顧 悍然不顾	25-6841-B
悍然不顾	25-6841-S
悐	25-6971-S
悐 悐	25-6971-B
悒	25-7000-S
悒 悒	25-7000-B
悔	25-7035-S
悔 悔	25-7035-B
悔恨	25-7064-S
悔恨 悔恨	25-7064-B
悔悟	25-7116-S
悔悟 悔悟	25-7116-B
悔改	25-7158-S
悔改 悔改	25-7158-B
悔罪	25-7209-S
悔罪 悔罪	25-7209-B
悔过	25-7253-S
悔过自新	25-7300-S
悔過 悔过	25-7253-B
悔過自新 悔过自新	25-7300-B
悖	25-7419-S
悖 悖	25-7419-B
悖論 悖论	25-7470-B
悖论	25-7470-S
悖逆	25-7519-S
悖逆 悖逆	25-7519-B
悚	25-7560-S
悚 悚	25-7560-B
悛	25-7594-S
悛 悛	25-7594-B
悜	25-7627-S
悜 悜	25-7627-B
悝	25-7659-S,25-7690-S
悝 悝	25-7659-B,25-7690-B
悟	25-7715-S
悟 悟	25-7715-B
悠	25-7747-S
悠 悠	25-7747-B
悠久	25-7796-S
悠久 悠久	25-7796-B
悠哉游哉	25-7846-S
悠哉遊哉 悠哉游哉	25-7846-B
悠悠	25-7961-S
悠悠 悠悠	25-7961-B
悠扬	25-8108-S
悠揚 悠扬	25-8108-B
悠閒 悠闲	25-8164-B
悠闲	25-8164-S
患	25-8213-S
患 患	25-8213-B
患处	25-8422-S
患病	25-8314-S
患病 患病	25-8314-B
患者	25-8371-S
患者 患者	25-8371-B
患處 患处	25-8422-B
患难	25-8471-S
患難 患难	25-8471-B
悦	25-6261-S
悦纳	25-6291-S
悧	25-8529-S
悧 悧	25-8529-B
您	25-8577-S
您 您	25-8577-B
您好	25-8612-S
您好 您好	25-8612-B
您是不是要查	25-8660-S
您是不是要查 您是不是要查	25-8660-B
悩	25-8767-S
悩 悩	25-8767-B
悪	25-8817-S
悪 悪	25-8817-B
悫	25-44065-S
悬	26-1919-S
悬垂	26-1966-S
悬壶济世	26-2010-S
悬岩	26-2123-S
悬崖	26-2163-S
悬崖勒马	26-2206-S
悬念	26-2360-S
悬挂	26-2415-S
悬殊	26-2491-S
悬浮	26-2576-S
悬浮物	26-2647-S
悬疑	26-2745-S
悬空	26-2840-S
悬空寺	26-2882-S
悬索桥	26-2986-S
悬而未决	26-3050-S
悬荡	26-2787-S
悬赏	26-3147-S
悭	25-51720-S
悮	25-8865-S
悮 悮	25-8865-B
悯	25-57062-S
悰	25-8916-S
悰 悰	25-8916-B
悱	25-8943-S
悱 悱	25-8943-B
悲	25-8987-S
悲 悲	25-8987-B
悲伤	25-9034-S
悲傷 悲伤	25-9034-B
悲切	25-9083-S
悲切 悲切	25-9083-B
悲剧	25-9125-S
悲剧性	25-9165-S
悲剧缺陷	25-9216-S
悲劇 悲剧	25-9125-B
悲劇性 悲剧性	25-9165-B
悲劇缺陷 悲剧缺陷	25-9216-B
悲叹	25-9496-S,25-10383-S
悲哀	25-9306-S
悲哀 悲哀	25-9306-B
悲喜交集	25-9356-S
悲喜交集 悲喜交集	25-9356-B
悲喜剧	25-9442-S
悲喜劇 悲喜剧	25-9442-B
悲嘆 悲叹	25-9496-B
悲壮	25-9552-S
悲壯 悲壮	25-9552-B
悲声载道	25-10673-S
悲天悯人	25-9626-S
悲天憫人 悲天悯人	25-9626-B
悲怆	25-9851-S
悲恸	25-10073-S
悲悯	25-10171-S
悲悼	25-9744-S
悲悼 悲悼	25-9744-B
悲惨	25-9901-S
悲惨世界	25-9951-S
悲愁	25-9806-S
悲愁 悲愁	25-9806-B
悲愤	25-10116-S
悲愴 悲怆	25-9851-B
悲慘 悲惨	25-9901-B
悲慘世界 悲惨世界	25-9951-B
悲慟 悲恸	25-10073-B
悲憤 悲愤	25-10116-B
悲憫 悲悯	25-10171-B
悲戚	25-10237-S
悲戚 悲戚	25-10237-B
悲欢离合	25-10455-S
悲歌	25-10278-S
悲歌 悲歌	25-10278-B
悲歎 悲叹	25-10383-B
悲歡離合 悲欢离合	25-10455-B
悲泣	25-10573-S
悲泣 悲泣	25-10573-B
悲痛	25-10621-S
悲痛 悲痛	25-10621-B
悲聲載道 悲声载道	25-10673-B
悲觀 悲观	25-10800-B
悲观	25-10800-S
悲鳴 悲鸣	25-10846-B
悲鸣	25-10846-S
悴	25-10903-S
悴 悴	25-10903-B
悵 怅	25-10957-B
悶 闷	25-11015-B,25-11085-B
悶悶不樂 闷闷不乐	25-11129-B
悶熱 闷热	25-11212-B
悸	25-11290-S
悸 悸	25-11290-B
悻	25-11318-S
悻 悻	25-11318-B
悼	25-11347-S
悼 悼	25-11347-B
悼念	25-11382-S
悼念 悼念	25-11382-B
悼襄王	25-11426-S
悼襄王 悼襄王	25-11426-B
悼詞 悼词	25-11509-B
悼词	25-11509-S
悼辞	25-11564-S
悼辭 悼辞	25-11564-B
悽	25-11621-S
悽 悽	25-11621-B
悾	25-11661-S
悾 悾	25-11661-B
惄	25-11706-S
惄 惄	25-11706-B
情	25-11747-S
情 情	25-11747-B
情不可却	25-11804-S
情不可卻 情不可却	25-11804-B
情不自禁	25-11896-S
情不自禁 情不自禁	25-11896-B
情书	25-14420-S
情事	25-11990-S
情事 情事	25-11990-B
情人	25-12062-S
情人 情人	25-12062-B
情人眼裡出西施 情人眼里出西施	25-12113-B
情人眼里出西施	25-12113-S
情人節 情人节	25-12225-B
情人節快樂 情人节快乐	25-12286-B
情人节	25-12225-S
情人节快乐	25-12286-S
情侣	25-12375-S
情侶 情侣	25-12375-B
情况	25-14906-S
情况下	25-14983-S
情分	25-12427-S
情分 情分	25-12427-B
情势	25-12489-S
情勢 情势	25-12489-B
情同手足	25-12546-S
情同手足 情同手足	25-12546-B
情同骨肉	25-12729-S
情同骨肉 情同骨肉	25-12729-B
情场	25-13270-S
情報 情报	25-12843-B
情報官員 情报官员	25-12918-B
情報局 情报局	25-12998-B
情報處 情报处	25-13062-B
情報部 情报部	25-13131-B
情報部門 情报部门	25-13195-B
情場 情场	25-13270-B
情境	25-13347-S
情境 情境	25-13347-B
情境模型	25-13403-S
情境模型 情境模型	25-13403-B
情妇	25-13478-S
情婦 情妇	25-13478-B
情形	25-13546-S
情形 情形	25-13546-B
情怀	25-14089-S
情急	25-13604-S
情急 情急	25-13604-B
情急之下	25-13645-S
情急之下 情急之下	25-13645-B
情急了	25-13727-S
情急了 情急了	25-13727-B
情急智生	25-13805-S
情急智生 情急智生	25-13805-B
情愛 情爱	25-13940-B
情感	25-14017-S
情感 情感	25-14017-B
情愿	25-16073-S
情懷 情怀	25-14089-B
情投意合	25-14138-S
情投意合 情投意合	25-14138-B
情报	25-12843-S
情报处	25-13062-S
情报官员	25-12918-S
情报局	25-12998-S
情报部	25-13131-S
情报部门	25-13195-S
情操	25-14238-S
情操 情操	25-14238-B
情敌	25-14312-S
情敵 情敌	25-14312-B
情景	25-14359-S
情景 情景	25-14359-B
情書 情书	25-14420-B
情有可原	25-14466-S
情有可原 情有可原	25-14466-B
情有独钟	25-14644-S
情有独锺	25-14550-S
情有獨鍾 情有独锺	25-14550-B
情有獨鐘 情有独钟	25-14644-B
情杀	25-14834-S
情欲	25-14738-S
情欲 情欲	25-14738-B
情歌	25-14791-S
情歌 情歌	25-14791-B
情殺 情杀	25-14834-B
情況 情况	25-14906-B
情況下 情况下	25-14983-B
情爱	25-13940-S
情状	25-15058-S
情狀 情状	25-15058-B
情理	25-15119-S
情理 情理	25-15119-B
情痴	25-15165-S
情癡 情痴	25-15165-B
情种	25-15226-S
情種 情种	25-15226-B
情節 情节	25-15298-B
情結 情结	25-15351-B
情緒 情绪	25-15406-B
情緒化 情绪化	25-15457-B
情结	25-15351-S
情绪	25-15406-S
情绪化	25-15457-S
情色	25-15523-S
情色 情色	25-15523-B
情节	25-15298-S
情詩 情诗	25-15576-B
情話 情话	25-15620-B
情誼 情谊	25-15688-B
情調 情调	25-15744-B
情诗	25-15576-S
情话	25-15620-S
情调	25-15744-S
情谊	25-15688-S
情趣	25-15811-S
情趣 情趣	25-15811-B
情郎	25-15893-S
情郎 情郎	25-15893-B
情面	25-15960-S
情面 情面	25-15960-B
情願 情愿	25-16073-B
惆	25-16153-S
惆 惆	25-16153-B
惆怅	25-16203-S
惆悵 惆怅	25-16203-B
惇 敦	25-16261-B
惊	69-59319-S
惊世骇俗	69-59387-S
惊人	69-59494-S
惊人之举	69-59540-S
惊动	69-59639-S
惊厥	69-59694-S
惊叫	69-59747-S
惊叹	69-60117-S
惊叹不已	69-60195-S
惊叹号	69-60276-S
惊吓	69-60339-S
惊呆	69-59801-S
惊呼	69-59854-S
惊喜	69-59906-S
惊喜若狂	69-59963-S
惊天动地	69-60447-S
惊奇	69-60531-S
惊师动众	69-60570-S
惊师动衆	69-60672-S
惊异	69-62514-S
惊弓之鸟	69-60774-S
惊心	69-60903-S
惊心动魄	69-60946-S
惊怕	69-61085-S
惊怖	69-61137-S
惊急	69-61182-S
惊怪	69-61235-S
惊怯	69-61280-S
惊恐	69-61337-S
惊恐翼龙	69-61400-S
惊悉	69-61501-S
惊悚	69-61579-S
惊悟	69-61638-S
惊悸	69-61724-S
惊惧	69-62233-S
惊惶失措	69-61806-S
惊愕	69-61934-S
惊慌	69-62016-S
惊慌失措	69-62058-S
惊慌失色	69-62143-S
惊扰	69-62279-S
惊梦	69-60389-S
惊涛	69-62392-S
惊涛骇浪	69-62438-S
惊痫	69-62557-S
惊羡	69-62703-S
惊群动众	69-62601-S
惊蛰	69-62789-S
惊觉	69-62847-S
惊讶	69-62905-S
惊赏	69-62993-S
惊起	69-63079-S
惊跳	69-63160-S
惊车	69-63225-S
惊逃	69-63316-S
惊遽	69-63362-S
惊醒	69-63414-S
惊错	69-63515-S
惊险	69-63582-S
惊雷	69-63638-S
惊颤	69-63726-S
惊风	69-63778-S
惊飞	69-63889-S
惊马	69-63957-S
惊骇	69-64005-S
惊魂	69-64046-S
惊鸟	69-64111-S
惊鸿	69-64174-S
惋	25-16296-S
惋 惋	25-16296-B
惋惜	25-16325-S
惋惜 惋惜	25-16325-B
惌	25-16419-S
惌 惌	25-16419-B
惎	25-16467-S
惎 惎	25-16467-B
惏	25-16502-S
惏 惏	25-16502-B
惑	25-16542-S
惑 惑	25-16542-B
惑星	25-16572-S
惑星 惑星	25-16572-B
惓	25-16613-S
惓 惓	25-16613-B
惔	25-16644-S
惔 惔	25-16644-B
惕	25-16675-S
惕 惕	25-16675-B
惕然	25-16715-S
惕然 惕然	25-16715-B
惘	25-16760-S
惘 惘	25-16760-B
惙	25-16792-S
惙 惙	25-16792-B
惚	25-16834-S
惚 惚	25-16834-B
惛	25-16866-S
惛 惛	25-16866-B
惜	25-16913-S
惜 惜	25-16913-B
惜別 惜别	25-16980-B
惜别	25-16980-S
惝	25-17030-S,25-17067-S
惝 惝	25-17030-B,25-17067-B
惟	25-17103-S
惟 惟	25-17103-B
惟一	25-17135-S
惟一 惟一	25-17135-B
惟妙惟肖	25-17181-S
惟妙惟肖 惟妙惟肖	25-17181-B
惟有	25-17287-S
惟有 惟有	25-17287-B
惟独	25-17325-S
惟獨 惟独	25-17325-B
惠	25-17384-S
惠 惠	25-17384-B
惠东	25-18142-S
惠來 惠来	25-17433-B
惠农	25-18338-S
惠子	25-17498-S
惠子 惠子	25-17498-B
惠安	25-17560-S
惠安 惠安	25-17560-B
惠州	25-17621-S
惠州 惠州	25-17621-B
惠州市	25-17698-S
惠州市 惠州市	25-17698-B
惠文王	25-17795-S
惠文王 惠文王	25-17795-B
惠施	25-17874-S
惠施 惠施	25-17874-B
惠普	25-17931-S
惠普 惠普	25-17931-B
惠普公司	25-17979-S
惠普公司 惠普公司	25-17979-B
惠更斯	25-18052-S
惠更斯 惠更斯	25-18052-B
惠来	25-17433-S
惠東 惠东	25-18142-B
惠民	25-18209-S
惠民 惠民	25-18209-B
惠水	25-18273-S
惠水 惠水	25-18273-B
惠灵顿	25-18568-S
惠農 惠农	25-18338-B
惠阳	25-18403-S
惠阳地区	25-18469-S
惠陽 惠阳	25-18403-B
惠陽地區 惠阳地区	25-18469-B
惠靈頓 惠灵顿	25-18568-B
惠顧 惠顾	25-18649-B
惠顾	25-18649-S
惡 恶	25-18696-B,25-18726-B,25-18802-B
惡事 恶事	25-18841-B
惡事傳千里 恶事传千里	25-18892-B
惡人 恶人	25-19037-B
惡人先告狀 恶人先告状	25-19103-B
惡仗 恶仗	25-19226-B
惡作劇 恶作剧	25-19287-B
惡俗 恶俗	25-19364-B
惡兇兇 恶凶凶	25-19426-B
惡劣 恶劣	25-19479-B
惡勢力 恶势力	25-19542-B
惡化 恶化	25-19613-B
惡叉白賴 恶叉白赖	25-19651-B
惡口 恶口	25-19748-B
惡名 恶名	25-19803-B
惡名兒 恶名儿	25-19860-B
惡名昭彰 恶名昭彰	25-19932-B
惡唑啉 恶唑啉	25-19999-B
惡唑啉酮 恶唑啉酮	25-20051-B
惡報 恶报	25-20115-B
惡夢 恶梦	25-20158-B
惡婦 恶妇	25-20200-B
惡少 恶少	25-20243-B
惡徒 恶徒	25-20310-B
惡德 恶德	25-20356-B
惡心 恶心	25-20411-B,25-20481-B
惡性 恶性	25-20541-B
惡性循環 恶性循环	25-20658-B
惡性瘧原蟲 恶性疟原虫	25-20728-B
惡性腫瘤 恶性肿瘤	25-20838-B
惡性通貨膨脹 恶性通货膨胀	25-20907-B
惡恨 恶恨	25-21002-B
惡惡實實 恶恶实实	25-21050-B
惡意 恶意	25-21113-B
惡意中傷 恶意中伤	25-21165-B
惡意代碼 恶意代码	25-21245-B
惡感 恶感	25-21332-B
惡戰 恶战	25-21379-B
惡損 恶损	25-21439-B
惡搞 恶搞	25-21482-B
惡搞文化 恶搞文化	25-21577-B
惡有惡報 恶有恶报	25-21703-B
惡果 恶果	25-21887-B
惡棍 恶棍	25-21961-B
惡歲 恶岁	25-22000-B
惡毒 恶毒	25-22061-B
惡氣 恶气	25-22101-B
惡水 恶水	25-22170-B
惡浪 恶浪	25-22268-B
惡煞 恶煞	25-22347-B
惡狠 恶狠	25-22390-B
惡狠狠 恶狠狠	25-22440-B
惡疾 恶疾	25-22494-B
惡病質 恶病质	25-22556-B
惡癖 恶癖	25-22661-B
惡相 恶相	25-22701-B
惡神 恶神	25-22770-B
惡罵 恶骂	25-22824-B
惡習 恶习	25-22872-B
惡聲 恶声	25-22917-B
惡臭 恶臭	25-22992-B
惡臭撲鼻 恶臭扑鼻	25-23030-B
惡舌 恶舌	25-23114-B
惡行 恶行	25-23175-B
惡補 恶补	25-23230-B
惡言 恶言	25-23316-B
惡言傷人 恶言伤人	25-23374-B
惡誓 恶誓	25-23480-B
惡語 恶语	25-23521-B
惡語中傷 恶语中伤	25-23577-B
惡語傷人 恶语伤人	25-23672-B
惡貫滿盈 恶贯满盈	25-23777-B
惡跡 恶迹	25-23957-B
惡辣 恶辣	25-24000-B
惡運 恶运	25-24039-B
惡霸 恶霸	25-24079-B
惡鬥 恶斗	25-24121-B
惡鬼 恶鬼	25-24180-B
惡魔 恶魔	25-24229-B
惦	25-24271-S
惦 惦	25-24271-B
惦記 惦记	25-24303-B
惦记	25-24303-S
惧	26-3362-S
惧怕	26-3391-S
惧高症	26-3435-S
惨	25-46765-S
惨不忍睹	25-46843-S
惨不忍闻	25-46988-S
惨事	25-47128-S
惨况	25-47582-S
惨剧	25-47170-S
惨变	25-48430-S
惨境	25-47228-S
惨怛	25-47281-S
惨无人道	25-47875-S
惨景	25-47372-S
惨杀	25-47470-S
惨案	25-47421-S
惨毒	25-47536-S
惨淡	25-47649-S
惨淡经营	25-47723-S
惨烈	25-47825-S
惨然	25-47971-S
惨状	25-48023-S
惨痛	25-48091-S
惨白	25-48158-S
惨祸	25-48204-S
惨笑	25-48267-S
惨绝人寰	25-48314-S
惨败	25-47332-S
惨遭	25-48493-S
惨遭不幸	25-48533-S
惨重	25-48628-S
惩	25-62879-S
惩前毖后	25-62921-S
惩办	25-63288-S
惩戒	25-63111-S
惩罚	25-63170-S
惩罚性	25-63233-S
惪	25-24370-S
惪 惪	25-24370-B
惫	25-54208-S
惬	25-38625-S
惬意	25-38666-S
惭	25-48674-S
惭愧	25-48704-S
惮	25-56335-S
惯	25-50786-S
惯例	25-50831-S
惯常	25-50877-S
惯性	25-50929-S
惯性系	25-50972-S
惯用语	25-51060-S
惯量	25-51148-S
惰	25-24406-S
惰 惰	25-24406-B
惰性	25-24433-S
惰性 惰性	25-24433-B
惰性气体	25-24473-S
惰性氣體 惰性气体	25-24473-B
惱 恼	25-24559-B
惱人 恼人	25-24594-B
惱怒 恼怒	25-24656-B
惱恨 恼恨	25-24717-B
惱火 恼火	25-24798-B
惱羞成怒 恼羞成怒	25-24885-B
惲 恽	25-25005-B
想	25-25039-S
想 想	25-25039-B
想不到	25-25118-S
想不到 想不到	25-25118-B
想像	25-25243-S
想像 想像	25-25243-B
想像力	25-25298-S
想像力 想像力	25-25298-B
想入非非	25-25368-S
想入非非 想入非非	25-25368-B
想到	25-25494-S
想到 想到	25-25494-B
想家	25-25571-S
想家 想家	25-25571-B
想得美	25-25615-S
想得美 想得美	25-25615-B
想念	25-25692-S
想念 想念	25-25692-B
想方設法 想方设法	25-25773-B
想方设法	25-25773-S
想法	25-25890-S
想法 想法	25-25890-B
想睡	25-25996-S
想睡 想睡	25-25996-B
想要	25-26046-S
想要 想要	25-26046-B
想象	25-26141-S
想象 想象	25-26141-B
想象力	25-26198-S
想象力 想象力	25-26198-B
想起	25-26257-S
想起 想起	25-26257-B
想起來 想起来	25-26301-B
想起来	25-26301-S
惴	25-26366-S
惴 惴	25-26366-B
惶	25-26405-S
惶 惶	25-26405-B
惶恐	25-26440-S
惶恐 惶恐	25-26440-B
惶惑	25-26486-S
惶惑 惶惑	25-26486-B
惷	25-26586-S
惷 惷	25-26586-B
惸	25-26643-S
惸 惸	25-26643-B
惹	25-26682-S
惹 惹	25-26682-B
惹事	25-26737-S
惹事 惹事	25-26737-B
惹恼	25-26786-S
惹惱 惹恼	25-26786-B
惹是生非	25-26828-S
惹是生非 惹是生非	25-26828-B
惹火	25-26903-S
惹火 惹火	25-26903-B
惹火烧身	25-27008-S
惹火燒身 惹火烧身	25-27008-B
惹祸	25-27123-S
惹禍 惹祸	25-27123-B
惹草拈花	25-27194-S
惹草拈花 惹草拈花	25-27194-B
惹起	25-27282-S
惹起 惹起	25-27282-B
惺	25-27321-S
惺 惺	25-27321-B
惻 恻	25-27364-B
愀	25-27395-S
愀 愀	25-27395-B
愁	25-27443-S
愁 愁	25-27443-B
愁眉苦脸	25-27478-S
愁眉苦臉 愁眉苦脸	25-27478-B
愁緒 愁绪	25-27585-B
愁绪	25-27585-S
愃	25-27629-S
愃 愃	25-27629-B
愆	25-27663-S
愆 愆	25-27663-B
愈	25-27706-S,44-20870-S
愈 愈	25-27706-B
愈加	25-27770-S
愈加 愈加	25-27770-B
愈合	25-27833-S
愈合 愈合	25-27833-B
愈复	44-20896-S
愉	25-27872-S
愉 愉	25-27872-B
愉快	25-27901-S
愉快 愉快	25-27901-B
愉悅 愉悦	25-28008-B
愉悦	25-28008-S
愊	25-28066-S
愊 愊	25-28066-B
愍	25-28106-S
愍 愍	25-28106-B
愎	25-28144-S
愎 愎	25-28144-B
意	25-28184-S
意 意	25-28184-B
意下如何	25-28307-S
意下如何 意下如何	25-28307-B
意中人	25-28392-S
意中人 意中人	25-28392-B
意义	25-29984-S
意义变化	25-30036-S
意向	25-28493-S
意向 意向	25-28493-B
意味	25-28539-S
意味 意味	25-28539-B
意味着	25-28597-S
意味著 意味着	25-28597-B
意图	25-28658-S
意圖 意图	25-28658-B
意境	25-28731-S
意境 意境	25-28731-B
意外	25-28809-S
意外 意外	25-28809-B
意外事故	25-28868-S
意外事故 意外事故	25-28868-B
意大利	25-28930-S
意大利 意大利	25-28930-B
意大利語 意大利语	25-28985-B
意大利语	25-28985-S
意式浓缩咖啡	25-29055-S
意式濃縮咖啡 意式浓缩咖啡	25-29055-B
意志	25-29168-S
意志 意志	25-29168-B
意念	25-29229-S
意念 意念	25-29229-B
意思	25-29267-S
意思 意思	25-29267-B
意想不到	25-29330-S
意想不到 意想不到	25-29330-B
意愿	25-30673-S
意指	25-29418-S
意指 意指	25-29418-B
意料	25-29467-S
意料 意料	25-29467-B
意气相投	25-29540-S
意气风发	25-29605-S
意氣相投 意气相投	25-29540-B
意氣風發 意气风发	25-29605-B
意犹未尽	25-29685-S
意猶未盡 意犹未尽	25-29685-B
意符	25-29799-S
意符 意符	25-29799-B
意第緒語 意第绪语	25-29916-B
意第绪语	25-29916-S
意義 意义	25-29984-B
意義變化 意义变化	25-30036-B
意見 意见	25-30108-B
意見不合 意见不合	25-30185-B
意见	25-30108-S
意见不合	25-30185-S
意識 意识	25-30258-B
意識形態 意识形态	25-30358-B
意識流 意识流	25-30422-B
意譯 意译	25-30505-B
意识	25-30258-S
意识形态	25-30358-S
意识流	25-30422-S
意译	25-30505-S
