of gravity	23-14457-S,59-60092-S,63-58683-S
of japan	14-47457-S,17-51672-S,31-8895-S,31-9128-S,31-9671-S,33-7452-S,51-7060-S,56-55981-S
of japan by huan zunxian 黃遵憲 黄遵宪	31-8787-S
of japan from 1550 1850	24-25544-S
of japan or korea	16-45023-S
of japan or uk etc	69-23078-S
of japan southwest of tōkyō	21-30476-S
of japanese moon space probe	32-26090-S
of japanese poetry	13-23584-S
of jeconiah	29-7295-S
of jeremiah	51-40294-S,51-40384-S
of jesus	51-41595-S,51-41668-S,51-42152-S,51-48183-S
of jesus christ of latter day saints	51-41109-S,51-41275-S
of jesus christ with god and the holy spirit	56-11272-S
of jewelry	69-9122-S
of jewels	42-37126-S,42-41273-S,42-41342-S
of jewish and islamic mythology	35-58882-S
of ji an city 吉安市	12-39918-S,12-39991-S,67-53988-S,67-54065-S
of jialing river 嘉陵江 in sichuan	39-1383-S
of jialing river 嘉陵江 in sichuan through chongqing	39-1485-S
of jiangsu	12-69194-S
of jiangxi province	6-27830-B
of jiangxi province 江西省 in southeast china	10-72121-S,10-72269-S
of jiaozhou shandong province	52-48710-S
of jilin city 吉林市	31-21384-S,31-21459-S,53-38334-S,53-38413-S,59-20944-S,59-21019-S,71-60577-S,71-60652-S
of jin 697 628 bc	31-43722-S
of jin emperor huai 晋怀帝	36-49570-S
of jingdezhen city 景德鎮市 景德镇市	31-20922-S,31-21024-S,42-44783-S
of jinzhou city 錦州市 锦州市	8-26139-S,8-26224-S,12-1509-S,12-1590-S,17-57228-S,17-57338-S
of jiujiang city 九江市	23-15990-S,23-16066-S,39-63829-S,39-63907-S
of job in imperial bureaucracy	19-40723-S
of job in the old testament	49-3916-S,49-3992-S
of job responsibility	59-40579-S
of joel	49-6007-S
of jogyakarta	2-75925-S
of johor between the malaysian peninsula and singapore	33-44038-S
of jonah	49-5172-S
of joram	40-38544-S
of jordan	19-29832-S
of jordan river	57-16482-S
of joshua	49-5540-S
of josiah	51-40624-S
of jotham	3-58331-S
of joy	39-40366-S
of joy and expectations	53-23015-S
of joy and plenty sim utopia	2-38163-S,2-38318-S,34-3116-S,34-3498-S
of joy may lead to sluggishness of vital energy traditional chinese medicine	14-7343-S
of joy 成语 saw	14-8688-S
of joyful news	14-7615-S
of judah	37-29668-S,58-56801-S
of judgement	45-39717-S,58-30556-S
of judges	16-36056-S
of judgment	60-12749-S
of judo	33-44723-S
of jujube plum	34-59992-S
of july	8-67963-S
of july and first ten days of august	2-49271-S
of june 1942	2-82502-S
of june 1967 between israel and her arab neighbors	7-67631-S
of june 626 in early tang	42-27932-S
of junk	23-9910-S,34-20298-S
of justice	4-26032-S,4-42116-S,8-14284-S,8-14713-S,8-14977-S,12-24220-S,15-17743-S,31-62024-S,35-29629-S,37-32721-S,37-32825-S,40-52184-S,64-48121-S
of justice hong kong	23-66498-S
of jute	71-15642-S
of kagoshima prefecture in kyushu	55-24564-S
of kaifeng 開封 开封	36-64793-S
of kampuchea or cambodia	45-44445-S
of kangxi	1-40816-S
of keeping with	1-77863-S
of kenya	7-30816-S
of khan king in persian	36-56208-S
of kin	45-23120-S
of king	42-32892-S
of king helu of wu	65-52272-S
of king helu of wu from 6th century bc	65-52176-S
of king or emperor	19-57571-S,21-44992-S,69-49194-S
of king or feudal warlord	19-63874-S
of king sihanouk of cambodia	27-25996-S
of kingdom lu	70-40126-S
of kingdoms and dynasties at different periods	34-9061-S
of kings	8-67083-S,8-67160-S,8-67236-S,8-67313-S,46-58119-S,61-29198-S,61-29315-S
of kiribati	16-17286-S
of knowledge	1-15758-S
of korea	68-11542-S,68-11762-S
of korea north korea	32-50611-S
of korea south korea	17-40331-S
of korean choson dynasty	2-38496-S
of korean yi dynasty	33-2632-S
of kroraina or loulan on the silk road near lop nor 羅布泊 罗布泊	34-51662-S
of kyrgyzstan	36-9102-S
of labor	8-52098-S,9-28860-S,43-31973-S
of laborers	29-40806-S
of lack of practice	27-28249-S
of lackey of the ruling class in revolutionary writing	60-12458-S
of ladder	34-3773-S
of lading	28-38284-S,28-42640-S
of lady du qiu	33-9851-S
of lamp	41-25659-S
of land	15-38617-S,52-11302-S,54-9557-S,66-32332-S
of land in geography	15-47648-S
of land opened up for cultivation	21-27936-S
of language	17-67461-S
of languages	11-20357-S
of languages incl arabic	65-25051-S
of laos	36-52185-S
of laozi or lao tze 老子 c 500 bc and zhuangzi 莊子 庄子 369 286 bc	62-50494-S
of large ant	55-58051-S
of large army	28-19435-S
of large building	45-62121-S
of large headed atractylodes atractylodes macrocephaia	44-40218-S
of large intestine	10-53581-S,35-9535-S,66-17566-S
of last month	22-59972-S
of last shang emperor	18-36903-S
of last year	11-38058-S
of lasting importance	17-35403-S
of late 1942	43-9574-S
of later han dynasty	33-24119-S
of later han from 184	71-19079-S,71-19195-S,71-19324-S,71-19453-S
of latitude	50-24049-S,50-24150-S,50-24215-S
of latter day saints	51-41109-S,51-41275-S
of latvia	57-1550-S
of laughter	13-26159-S,13-35954-S,35-22793-S,41-34916-S
of laundry	50-48321-S
of law	4-12847-S,7-59199-S,9-2711-S,19-54036-S,37-31375-S,37-35290-S
of law or treaty	34-13801-S
of laws	15-18306-S,23-8782-S
of le a	13-66256-S
of leader	32-7010-S
of learning	19-17182-S,19-18257-S,19-18458-S,19-18931-S
of learning to write	28-36152-S
of learning 成语 saw	19-18347-S
of leather	68-7588-S,68-7948-S
of leaves into lobes	51-16378-S
of lebanon	59-30834-S
of lectures	58-54550-S
of leek	54-27929-S
of leg	52-31806-S,52-38084-S,60-38819-S
of legend	40-22722-S
of legendary emperor fu xi 伏羲	18-56674-S
of legendary emperor gu	68-17025-S
of legendary emperor shun	53-31927-S
of legislative body	1-63075-S
of legs on each segment	5-54643-S
of leiden	54-41007-S
of length	20-31427-S
of length equal to 0 3048 m 	54-2986-S
of length equal to 0 914 m 	46-34237-S
of length equal to 1 609 km 	54-4691-S
of length equal to 2 54 cm 	54-2912-S
of length equivalent to 0 33 cm	8-48969-S
of length used for rooms	65-43568-S
of lens	8-31302-S,66-64027-S
of lent	14-50636-S,51-48607-S
of lesotho	54-41082-S,69-35468-S
of letter from sb of lower status to higher status	30-11777-S
of letter sequences	19-5684-S
of letters	30-27188-S,30-27326-S
of letters in an alphabet	19-5599-S
of leukocytes under chemical stimulus	60-31222-S
of level country	21-49953-S
of lhasa 1904 between british empire and tibet	27-25491-S
of liang of the southern dynasties	34-9691-S
of liao river 遼河 辽河	12-6368-S,63-5011-S
of liaoning	10-32864-S
of liaoning province	63-5011-S,63-5309-S
of liaoning province 遼寧省 辽宁省 in northeast china	37-5565-S,40-13247-S
of liaoyuan city 遼源市 辽源市	57-15540-S,57-15873-S,71-58557-S,71-58677-S
of liberation 1945 49	57-49587-S
of liberia	54-63861-S
of liberty	53-11388-S
of libido	24-61220-S
of libya	44-59366-S
of liechtenstein	43-10906-S
of lies	1-13879-S,23-51055-S
of life	2-37568-S,3-19538-S,8-10069-S,8-25622-S,11-34523-S,11-36486-S,12-29920-S,12-29989-S,12-30483-S,16-37226-S,16-38458-S,16-39482-S,25-10455-S,28-54741-S,30-62649-S,32-8929-S,32-16545-S,38-44993-S,43-19310-S,43-19310-S,43-19476-S,43-19606-S,43-20621-S,43-22488-S,43-22644-S,55-13126-S,60-16659-S,66-42000-S,69-8223-S
of life and death	19-7317-S,24-61541-S,43-21551-S,57-26289-S
of life and property	4-16429-S
of life in buddhism	37-34796-S
of life or death	10-52209-S,57-26464-S
of lifelong import esp marriage	49-37014-S
of light	4-4227-S,4-4227-S,6-12408-S,7-8026-S,7-11035-S,7-12996-S,7-13383-S,7-13436-S,8-50048-S,23-51277-S,41-7320-S,45-61721-S,65-25373-S,67-50765-S
of light around the sun or moon	31-7780-S
of light diesel fuel	10-44917-S
of light flux	38-3733-S
of lights	45-46479-S
of lijiang 麗江 丽江 in northwest yunnan	33-18153-S
of lily magnolia wood	55-45945-S
of limbs	26-35533-S,44-15138-S,63-42652-S
of limitation	61-59773-S
of lines of verse written vertically down the sides of a doorway	20-54845-S
of lion	70-25554-S
of liquid	38-38059-S,39-35081-S,39-65717-S,39-65837-S,71-38769-S
of litchi or lychee in traditional chinese medicine	54-18895-S
of literacy	30-29469-S
of literary and art circles cflac	2-58773-S
of literary phrases	39-35763-S
of literary work	68-42990-S
of literature	30-27260-S,30-28212-S,30-30569-S,63-22531-S,70-5468-S
of literature consisting mainly of short sketches	48-15964-S
of lithuania	50-4115-S
of little value	1-69059-B
of liu bei 劉備 刘备 during the three kingdoms	56-2134-S
of liu gongquan	33-50792-S
of liu yi	33-49912-S
of livadia crimea of 1879 between russia and qing china	63-55025-S
of livestock	5-58683-S,55-29620-S
of livestock animal	52-53246-S
of living	43-22716-S
of local governor in tang dynasty administration	50-34248-S
of locality	63-11219-S
of lock	48-39279-S
of loess plateau	16-22385-S
of logicians from the pre han period	12-55609-S
of logs	48-20107-S
of logs or boards	28-15128-S
of london capital of united kingdom	14-45072-S
of long departed people 成语 saw	32-17116-S,32-17315-S
of long expedition	23-64678-S
of long standing	51-24509-B
of longevity	16-38622-S
of longitude	49-58650-S,49-62031-S,50-28297-S
of longyan city 龍岩市 龙岩市	30-53965-S
of looking at a thing	45-38806-S
of loose ends	10-52421-S
of lord brahma	61-37529-S
of lost property	17-64200-S
of lost souls	71-32313-S
of lotus	55-32060-S
of louse	56-17844-S
of love	24-35533-S,25-15620-S,35-60477-S,40-60156-S,66-1866-S
of love in translation	25-37091-S
of love 成语 saw	58-41353-S
of lovers	18-31353-S
of lovers in fiction	26-37448-S
of low water level winter in north china	33-38639-S
of lower status to higher status	30-11777-S
of loyalty	4-26032-S
of loyalty and self sacrifice	51-13357-S
of lu who declined to employ confucius	70-40248-S
of luck	5-62067-S,35-5499-S
of luminosity	15-50049-S
of lunar calendar	19-11592-S,19-11789-S,19-12074-S,41-25328-S
of lunar month	8-67837-S,32-44587-S
of lunar new year	22-48043-S
of lute or guitar	13-34140-S
of luxury	49-23181-S,64-15617-S
of lyric poetry	34-48388-S
of m	28-15417-S
of mac	71-11086-S
of macao	40-3905-S
of machine	3-4456-S,17-68188-S,63-37495-S
of machinery	9-54884-S
of madagascar	16-18126-S
of magazine	41-56513-S
of magnet	46-36401-S
of magnetic flux	46-34800-S,46-35460-S
of magnitude	30-24404-S
of mahjong tiles etc	13-49934-S
of mail	20-3059-S,29-40094-S,44-26148-S
of maize	34-20479-S
of making a living	8-6822-S,69-5520-S
of malacca or melaka	69-33836-S
of malachi	43-1084-S
of malawi	9-8041-S
of malayan peninsula	33-43880-S
of malaysia	23-57190-S
of malaysia at south of malayan peninsula	33-43880-S
of male opera singer in puberty	5-55410-S
of malefactor	60-10009-S
of mali	22-10933-S
of mali and the sahara	34-6885-S
of malice esp of crime	37-60655-S
of malleus handle of hammer bone	64-43715-S
of malnutrition	49-9284-S
of malta	43-11487-S
of malware boobytrap	66-49291-S
of mammals	60-38156-S
of man	4-8023-S,23-53366-S
of manasseh	3-57853-S
of manhattan	13-39772-S
of manila	69-36142-S
of mankind	25-9626-S
of manpower	10-50654-S
of mantis	56-5401-S,56-13505-S,56-18637-S
of many countries	15-8886-S
of many different kinds	50-37015-B
of many kinds 成语 saw	12-57366-S
of many kingdoms or dynasties with varying roles	2-45332-S
of many people eating	14-26539-S
of mao zedong	36-13320-S
of maoming city 茂名市	54-5764-S,54-5839-S,54-6360-S,54-6437-S
of marital relations	55-44438-S
of market	65-57787-S
of market price	56-32398-S
of marriage	20-56064-S
of marriageable age	62-64866-B
of married man	25-13478-S
of married woman	69-11278-S
of mars	40-24412-S
of martaban	54-25184-S
of martial art sports some claiming spiritual development	35-48337-S
of marx and engels communist manifesto	1-2375-S
of mass destruction	17-35277-S
of match	48-9538-S,48-11709-S
of material desires buddh 	41-53435-S
of material precipitated from liquid	49-50195-S,49-50281-S
of material to come in essay or story	4-54199-S
of materialism	13-55033-S
of matte	64-52193-S
of matteo ricci	37-48524-S
of matter solid	25-45902-S
of mauritania	9-62243-S
of mauritius	60-42825-S
of may	3-48053-S
of may 2008	36-65208-S
of may 2008 that killed 80	36-65100-S
of meal	61-64217-S
of meaning	25-30036-S
of measure	14-16752-S,57-60770-S
of measurement	22-11880-S
of measuring	36-11859-S
of meat	51-24509-B,52-6740-S,52-11302-S,52-50242-S
of meat animal	21-12219-S
of media companies	18-50631-S
of medical condition	63-63074-S
of medical herbs 1596	32-66369-S
of medical operation	54-54426-S
of medical patient	8-22366-S
of medical procedure	5-12150-S
of medicine	9-44488-S,46-2140-S,63-49568-S,63-49714-S
of medicine to be taken in solution	37-13401-S
of medway of june 1942	2-82502-S
of meizhou city 梅州市	34-11171-S,34-11250-S
of melon	43-9410-S
of men and horses 成语 saw	10-50654-S
of mencius	4-22046-S,61-5763-S
of merchandise	5-23210-S,5-56958-S
of mesosphere	2-75003-S
of metal	41-21487-S,64-21336-S,64-50831-S,65-5656-S
of metal plating	64-53304-S
of metals	64-43862-S
of metaphysics also translated 形而上學 形而上学	42-27474-S
of meteorite	42-52476-S
of mexico	16-29757-S,16-29843-S,71-61408-S
of micah	23-51957-S
of michigan	20-4732-S
of microsoft	55-6359-S
of middle ear	2-79033-S,13-31031-S,46-15642-S,64-43645-S,65-967-S
of military expedition	65-35794-S
of military force	35-44240-S
of military products trade sbmpt	15-7438-S
of military unit	43-57848-S
of military urgency	26-6811-S
of millet	47-26042-S
of mimela lucidula	56-13132-S
of minaret	42-57650-S
of mind	16-14984-S,24-31560-S,24-32980-S,24-36874-S,24-37338-S,24-37389-S,24-37892-S,24-38094-S,24-55789-S,46-57466-S,48-19639-S,60-46585-S
of mind often abnormal	46-62696-S
of minds	55-44294-S
of miners	46-4134-S,46-6616-S,46-11677-S,46-11881-S,46-11974-S,46-21918-S
of ming emperor 1573 1619	54-45837-S
of ming emperor yongle	31-23866-S
of minister of war in pre han chinese states	12-24920-S
of minors	18-49962-S
of misconceptions	58-58538-S
of misconduct in official task	23-47405-S
of misgivings	8-19934-B
of missionaries	6-36701-S
of mist	44-45067-B
of mistake or sth bad	42-2184-S
of mistakes of speech or article	39-44617-S
of mistakes of speech or written article	46-19461-S
of modern china by jonathan d spence 史景遷 史景迁	61-56868-S
of modern developments	53-22111-S
of modern life	50-14817-S
of modern 英里	13-44436-S
of mohist school	16-29468-S
of moisture in the soil and whether it can support a crop	16-25259-S
of mold	48-46664-S
of moldova	29-1722-S
of molecules in a mole	65-66477-S,65-66615-S
of molluscs etc with a respiratory function similar to hemoglobin	56-29282-S
of mollusks including snails	52-45246-S,52-45324-S
of molten steel	64-41382-S
of money	1-5095-S,21-62499-S,26-31552-S,29-11724-S,30-24468-S,35-24627-S,43-50141-S,43-50258-S,46-20391-S,48-14041-S,48-16911-S,50-49570-S,52-42707-S,64-22958-S,67-21708-S
of money equal to 0 1 yuan	57-44040-S
of money laundering	64-44842-S
of money raised in a share subscription	66-59661-S
of money to the family of the deceased	18-11361-S
of mongolia	2-67285-S,40-38365-S
of mongolia from 1924	54-61843-S
of mongolian lamas from 17th century	37-63520-S
of monkey	42-11260-S
of monks	5-49607-S
of monstrous crimes	25-23777-S
of month	32-26000-S,32-26594-S,32-27468-S
of month lunar calendar	32-52020-S
of mood	13-66256-S
of mood heavy	37-5496-B
of moon	32-28598-S
of mormon	29-2830-S
of morocco	27-22614-S,47-37936-S,67-65413-S
of mortals	1-61781-S,1-61781-S
of moses	8-37584-S,9-6914-S,9-34807-S,29-2553-S,36-20869-S,43-42849-S
of moses in the old testament	29-2440-S
of mosquito	12-10638-S,19-2468-S,44-19377-S,56-4034-S
of most prc provinces	15-39275-S
of mother s brother	18-35300-S,53-21622-S
of mother s sister	18-43244-S,18-43332-S,18-43766-S
of motion	1-58436-S,62-39184-S
of mountain	21-32291-S,21-44505-S,21-47124-S,21-48054-S,21-49312-S,21-49439-S,21-49914-S,66-23477-S
of mountain and sea	21-31102-S
of mountain range	62-23750-S
of mountain ranges	50-12425-S
of mountain scenery	37-28572-S
of mountains etc	67-52310-S
of mountains 成语 saw	21-25215-S,63-58084-S
of mourning	39-37830-S,39-39032-S,47-7851-S
of mouth	6-36505-S,13-28001-S
of movable type	43-54294-S
of movements in martial arts	18-10506-S
of movie	41-44603-S
of movies	23-53009-S,23-59237-S,64-25806-S,64-27542-S,67-30174-S
of moving water	38-55990-S
of mozambique	69-38802-S
of mr dongguo and the ungrateful wolf by ma zhongxi 馬中錫 马中锡	2-70137-S
of mud and stones	37-43597-S
of mulberry	34-26793-S,54-56611-S,54-56651-S
of multiplication	3-13869-S,47-38278-S
of murder	56-29692-S
of muscle	53-30954-S
of muscle or organ	54-42088-S
of music	1-53469-S,2-68169-S,12-56379-S,14-4720-S,34-49601-S,58-64330-S
of music ethereal	22-55512-B
of music for stringed instrument	67-12029-S
of music four beats in the bar 成语 saw	1-11876-S
of music two beats in the bar 成语 saw	1-11646-S
of musical comedy	67-3969-S
of musical instrument	23-34097-S,29-19461-S,49-37529-S
of muskmelon	13-38062-S,13-40128-S
of muslim lunar calendar	12-3790-S
of mutual coexistence	7-71622-S
of mutual comprehension	66-40750-S
of mutual hostility	9-43838-S
of my humble service and pay me a little more	70-15112-S
of myanmar	7-17918-S,7-18002-S,50-23867-S,50-23943-S
of myanmar burma	55-1122-S
of myth and legend	1-38373-S
of mythical ape	42-13682-S
of mythology	3-18724-S
