yù pén	38-14919-B
yú	1-27690-S,1-27924-S,1-34952-S,1-55358-S,1-65638-S,1-66471-S,1-66676-S,2-17430-S,2-23746-S,2-26586-S,2-27535-S,3-28672-B,3-44200-B,4-19358-S,4-23857-S,4-38417-S,4-66558-S,4-67127-S,5-29433-S,5-41921-B,5-41990-B,6-47114-S,6-49950-S,6-57985-S,7-51114-S,8-4474-S,8-12730-S,8-40055-S,9-6857-S,9-29943-S,9-53078-S,9-56647-S,9-60533-S,9-63364-S,9-66297-S,11-64162-S,12-8674-S,12-34662-S,12-65362-S,13-13546-S,13-56676-B,13-57209-S,14-3567-S,14-16536-S,14-18581-S,14-29150-S,14-63676-S,15-33090-S,15-35114-S,15-68873-S,16-5787-S,16-18700-S,16-30045-S,16-55973-S,16-58375-S,17-0-S,17-18002-S,17-19942-S,17-20304-S,17-20517-S,17-23577-S,17-41297-S,17-42672-S,18-36220-B,18-50111-S,18-50559-B,18-51293-B,19-29778-S,19-35825-S,19-45642-S,20-1144-S,20-6536-S,20-11031-S,20-28076-S,20-44565-S,20-51102-S,20-65109-S,21-18152-S,21-27542-S,21-32470-S,21-45667-B,21-46287-B,21-46588-B,22-29538-S,22-45246-S,23-47614-S,24-45889-S,24-46596-S,24-47132-S,24-59074-S,25-27872-B,25-30958-B,26-10487-S,26-50732-S,26-55652-S,26-56635-S,28-5775-S,28-35335-B,29-26848-S,29-39887-S,29-53078-S,30-6634-S,30-28370-S,30-33266-S,30-58103-S,30-64786-B,31-4273-B,32-13607-S,32-30547-S,32-39687-S,32-41677-S,32-55845-S,33-57-B,33-4444-S,34-10120-S,34-15809-S,34-33446-S,34-34019-B,34-38130-B,35-25386-B,35-30832-S,35-31418-B,35-53228-S,35-54243-S,35-63715-S,36-8681-S,36-11458-S,36-44072-S,37-14506-S,38-174-S,38-26354-S,38-43719-S,38-52185-S,38-54113-S,39-1383-B,39-7964-S,39-42094-B,39-44860-S,39-44979-S,40-14477-S,40-29355-S,41-18870-S,42-3275-S,42-8632-B,42-37364-B,42-61204-B,43-7411-B,43-16279-S,43-29785-S,43-34006-S,43-38789-S,43-42561-S,43-57173-S,43-59722-B,44-15643-S,44-49694-S,44-58305-S,45-1469-B,45-2507-S,45-13599-S,46-6370-S,46-11091-S,46-26638-S,47-10293-B,47-50970-S,47-56898-B,47-62474-S,47-64354-S,48-3606-S,48-3702-B,48-18767-S,48-27778-S,48-61761-S,48-62679-S,49-23575-S,49-36132-S,49-44830-S,50-24287-B,50-49790-S,50-52898-S,51-1874-S,51-14560-B,52-23405-S,52-44141-B,53-18367-S,53-21211-B,53-21415-B,53-21847-B,53-39004-B,54-10165-S,54-13249-S,54-15928-S,54-48742-B,55-14386-B,55-49982-S,55-54728-B,56-559-S,56-6967-B,56-7401-S,57-7727-B,57-37456-B,58-35000-S,58-45116-B,59-21750-S,60-2537-S,60-5451-S,60-6585-S,60-21564-S,60-31555-S,60-48451-B,60-65484-S,61-4173-S,61-19967-B,61-31515-B,61-52410-S,62-10099-S,62-34674-B,62-45986-S,63-14887-B,64-11410-S,64-17835-S,64-19735-S,64-20297-B,64-29543-S,65-6700-S,65-53775-S,65-55545-S,66-12229-S,66-18770-S,66-32248-S,66-37154-B,66-37218-B,66-55920-S,67-15331-B,67-59925-S,68-3365-S,69-1052-S,69-14715-B,69-14886-B,70-15715-S,70-36581-B,70-39597-B,70-39624-S,70-41592-S,70-42321-S,70-42960-S,70-43986-S,70-44050-S,70-44136-S,70-44491-S,70-44830-S,70-45018-S,70-45492-S,70-46623-S,70-46924-S,70-47331-S,70-47423-S,70-47689-S,70-47811-S,70-47882-S,70-48506-S,70-48974-S,70-49058-S,70-52092-S,71-2226-B,71-23186-S,71-25240-S,71-33979-S,71-56684-S,71-56844-B
yú biào	70-39007-B
yú bèn	25-31989-B
yú bù kě jí	25-30986-B
yú bù lún	29-27702-S
yú bù rú tuì ér jié wǎng	52-60230-S
yú bǐng	70-38724-B
yú chuán	39-42714-B,70-38270-B
yú chén yàn yǎo	70-37347-B
yú chéng	55-54962-B
yú chì	70-37691-B
yú chì tāng	70-37733-B
yú chí	69-13007-S,70-37230-B
yú chí xiāng	70-37271-B
yú chā	70-36649-B
yú chōng shù	40-10384-S
yú chǎng	39-42177-B
yú chǐ	54-24351-S
yú chǔn	25-32028-B
yú cài	21-29523-S
yú cì	34-38772-B
yú cí	58-45145-B
yú cāng	70-38339-B
yú dà xué	34-33513-S
yú dé shuǐ	18-32123-S
yú dì	43-52896-S,69-15193-B
yú dìng lǐ	2-54850-S,9-30065-S
yú dù bái	70-37879-B
yú dēng tiān	67-12719-S
yú dū	30-65080-B
yú dū xiàn	30-65148-B
yú dǎng	69-17600-B
yú dǎo	64-19797-S
yú dǐng	33-42986-S
yú dǔ	70-37792-B
yú fàng shè xìng	9-30143-S
yú fáng fàn	44-2538-S
yú fèng chéng	66-12279-S
yú fù	39-42267-B
yú fú shè	9-30235-S
yú fēi mìng	35-57708-S
yú fěn	70-37543-B
yú fū	39-42226-B,70-36751-B
yú gé sōng	38-15633-S
yú gān	69-15447-B,70-37422-B
yú gān xiàn	69-15518-B
yú gān yóu	70-37991-B
yú gāng	69-13060-S,70-37630-B
yú gē	69-15021-B
yú gōng yí shān	25-31263-B
yú gōu	39-42808-B,70-38408-B
yú gū	35-57830-S
yú gǎng	39-42487-B
yú gǔ	39-42849-B,70-38931-B,70-39180-B
yú gǔ xī	22-49995-S
yú huái	51-42788-S
yú huáng	53-39041-B,69-16668-B
yú háng	69-16043-B
yú hé zhǒng yuán yīn	2-21039-S
yú hóng	3-44232-B
yú hóng qū	3-44318-B
yú hú	69-15707-B
yú hú dǐ	4-47461-S
yú hěn dà qī wàng	20-1235-S
yú hǔ	53-65325-S
yú jià zhí	9-29995-S
yú jiàn	25-32074-B
yú jiào shòu	34-42021-S
yú jiào yù	34-33713-S
yú jiā	42-61251-B,42-61288-B
yú jiāng	69-16106-B
yú jiāng xiàn	69-16180-B
yú jiǎo	69-17181-B
yú jì	24-33838-S,69-15802-B
yú jì yì	32-30618-S
yú jìn	69-16310-B
yú jí	69-17403-B
yú jù	39-42133-B
yú kuài	2-10303-S,25-27901-B,62-27684-S
yú liàng	69-17274-B
yú liáng	69-16868-B
yú liè	39-42533-B
yú liú	69-16348-B
yú liú shì wù	69-16443-B
yú liú wú fú hào shù	69-16516-B
yú luò yàn	37-5748-S,37-7950-S
yú lán	67-53906-S
yú lè	5-13693-S,18-50586-B
yú lè chǎng	18-50758-B
yú lè zhōng xīn	18-50631-B
yú lèi	61-4252-S,70-38630-B
yú lèi xué	70-38669-B
yú léi	70-38450-B
yú léi tǐng	70-38490-B
yú lì	2-35364-S,56-33675-S
yú lìng	56-49417-S
yú lín	34-38293-B,70-39053-B
yú lín dì qū	34-38374-B
yú lín shì	34-38467-B
yú lòu	25-32150-B
yú lóng	39-42609-B,70-39301-B
yú lóng hùn zá	70-39346-B
yú lùn	61-20015-B
yú lùn diào chá	61-20124-B
yú lùn jiè	61-20062-B
yú lún	39-42761-B
yú lāo	39-42310-B
yú lǔ	25-32258-B
yú mèi	25-31703-B
yú mèi wú zhī	25-31755-B
yú méng	25-31884-B,25-31936-B
yú mín	25-31841-B,39-42433-B
yú mù nǎo ké	34-38218-B
yú mǎ	69-16778-B
yú mǐ zhī xiāng	70-37466-B
yú nián	69-15601-B
yú niè	69-15315-B
yú nuò	25-31602-B
yú nòng	25-31472-B
yú nù	69-15756-B
yú piàn	43-30818-S,48-62764-S
yú pái	70-37097-B
yú qiàn	66-35936-S
yú qián	69-17356-B
yú qiú	5-22103-S,5-23290-S
yú qiú chéng	24-59123-S
yú qiē	69-14968-B
yú quān	70-49163-S
yú quān qū	70-49260-S
yú quē	69-17074-B
yú qìng	69-15848-B
yú qí	70-38972-B
yú qín	34-32835-S
yú rè	69-16266-B
yú rén	18-57952-S,25-31055-B
yú rén jié	25-31111-B
yú rén jié kuài lè	25-31171-B
yú shuǐ	39-1485-B,56-27146-S
yú shuǐ qíng	70-37140-B
yú shuǐ qū	39-1633-B
yú shè	34-38829-B
yú shì	4-13833-S,7-64532-S,30-58174-S,30-64938-B,40-56130-S,54-55336-S
yú shì nán	55-54783-B
yú shì wú bǔ	30-64868-B
yú shí yí	12-31509-S
yú shù	34-38559-B,34-38595-B,69-15911-B
yú shù dìng lǐ	69-15967-B
yú shù shì	34-38678-B
yú shùn	55-55082-B
yú shēng	9-62724-S
yú shǒu	13-5998-S
yú sè	14-7954-S,23-54873-S,24-52537-S
yú tián	30-65016-B
yú tiān	11-60608-S
yú tiān bái	5-42022-B
yú tài shān	63-60421-S
yú tái	47-41835-S,64-19918-S,70-36689-B
yú tóu	70-38547-B
yú wàng	25-31419-B
yú wàng quán	24-9528-S
yú wán	25-32204-B,70-36607-B
yú wán shàn	53-21047-S
yú wén bào	5-42085-B
yú wù	35-63890-S
yú wēng dé lì	71-1255-S
yú wěi	70-36902-B
yú wěi bǎn	70-36943-B
yú wěi wén	70-37021-B
yú wǎng	39-42661-B,70-37585-B
yú wǒ zhà	41-43222-S
yú xià	69-14926-B
yú xiàn	17-41365-S,26-55714-S,45-1504-B,62-10165-S
yú xián	66-66322-S,69-15656-B
yú xióng biàn	3-30289-S
yú xiāng ròu sī	70-38807-B
yú xiǎng xiàng	20-7475-S
yú xiǎo jie	4-19415-S
yú xù	69-16916-B,69-16995-B
yú xīn sǐ	13-32621-S,25-37522-S
yú xǐ	55-54847-B
yú yuè	1-77655-S,25-28008-B,62-34758-B
yú yuè jié	62-34800-B
yú yáo	69-15238-B
yú yè	39-42377-B
yú yì	25-31528-B
yú yìng lóng	55-55025-B
yú yòng jù	64-19856-S
yú yùn dòng	43-18976-S
yú yú	70-39624-B
yú yī yì	43-54130-S
yú yīn	69-17552-B
yú yīng	70-39097-B
yú yǒng kě gǔ	69-15072-B
yú yǔ xióng zhǎng	70-38048-B
yú yǔ xióng zhǎng bù kě jiān dé	70-38138-B
yú zhuō	25-31652-B
yú zhèn	69-17494-B
yú zhù rén	34-48665-S
yú zhān rǎn	35-63812-S
yú zhāng	32-13910-S
yú zhě	34-33803-S,60-2736-S,69-17128-B
yú zhōng	34-38155-B
yú zuò	9-44395-S,11-5698-S,67-2679-S,69-1096-S,70-44869-S
yú zǐ	70-36799-B
yú zǐ jiàng	70-36851-B
yú ài hǎo zhě	34-33633-S
yú ér lì bù zú	24-33952-S
yú ěr	70-38766-B
yún	1-25854-S,1-40417-S,2-2494-S,2-21497-S,3-44414-B,4-4556-S,4-5939-S,4-28475-S,4-57277-B,8-27055-S,10-12025-B,11-26604-S,11-27240-S,11-46932-S,12-20247-S,15-47524-S,17-48173-S,20-6322-S,21-25561-S,21-25722-S,21-59657-S,25-52848-S,28-7651-S,28-8025-S,31-17717-B,31-32068-S,31-61431-S,33-60495-S,37-3915-B,37-40879-S,39-23808-B,40-519-B,40-16698-S,40-18251-S,40-23151-S,40-38812-S,41-11810-B,41-23293-S,42-24542-S,43-47290-B,44-5095-S,44-27896-S,44-47752-S,46-42454-S,46-63581-S,47-40596-S,47-40659-S,48-22320-B,48-32597-B,49-3307-S,49-24493-B,50-25283-S,51-38018-S,51-38525-B,53-62703-B,53-62754-S,55-1534-B,55-14557-B,55-43732-S,58-24843-S,58-36190-S,60-30339-S,63-26834-S,63-31541-B,64-35043-B,66-30284-S,67-14228-S,67-17799-B,67-29339-S,67-59290-S,68-58667-S,69-42844-S,69-44326-S,70-13642-S,70-19065-S,70-23684-S,71-1466-S
yún biàn huàn	68-58845-S
yún biǎo	31-32109-S
yún cai	67-18274-B
yún chuāng wù kǎn	67-18846-B
yún chèn	10-12273-B
yún céng	67-18227-B
yún dāng	55-1586-B
yún dāng hú	55-1652-B
yún fù yǔ	51-23712-S
yún fú	67-18546-B
yún fú shì	67-18619-B
yún guì chuān	67-18982-B
yún guì gāo yuán	67-19035-B
yún gǎng	62-26107-S
yún gǎng shì	62-26198-S
yún hé	67-18047-B
yún jiàn rì	29-12887-S
yún jìng	10-12178-B
yún jī chǎng	44-47858-S
yún liu	10-12225-B
yún lián	48-22357-B
yún lóng	67-19472-B
yún mèng	67-18109-B
yún mǔ	44-36147-S,67-18509-B
yún nán	67-17898-B
yún nán shěng	67-17966-B
yún pǔ	67-59521-S
yún pǔ qū	67-59611-S
yún què	67-19202-B
yún rén wù	68-58730-S
yún shi	10-12077-B
yún shì	63-26888-S,67-18172-B
yún shí	44-47941-S
yún shān	9-43366-S,67-18427-B
yún sàn	41-2530-S,68-55959-S
yún sàn fēng liú	67-18351-B
yún sù	10-12337-B
yún tuō yuè	40-41434-S
yún tái	53-62797-B,53-63084-B
yún tái shǔ	53-63016-B,53-63143-B
yún tái zǐ	53-62854-B
yún tī	67-18468-B
yún wù	67-19312-B
yún wù jìng jì	67-19360-B
yún wù zhōng	16-30454-S
yún xiàn	20-6389-S,63-31586-B,67-18927-B
yún xiāo	67-19248-B
yún xìng	15-47591-S
yún xī	63-31640-B
yún yán	44-47797-S
yún yáng	67-19137-B
yún yì yún	4-5939-S
yún yún	53-62754-B
yún yān	67-18796-B
yún yǒng	67-18712-B,68-57465-S
yún zhí shàng	67-59368-S
yún zhòng shēng	55-14623-S
yún zhē kǎn	32-69711-S
yún zhěng	10-12122-B
yā	2-48331-B,4-68224-S,4-69481-S,10-27113-S,13-41222-S,13-52833-S,13-62342-S,13-64137-B,15-33375-B,15-46596-S,16-18840-S,16-18931-S,16-32332-B,17-23785-S,17-26693-S,19-64963-S,19-65005-S,21-24980-S,23-47685-S,24-38337-S,24-38630-S,26-53732-S,27-14677-S,27-16236-B,27-38554-S,29-41025-S,29-42098-S,30-65420-S,33-29124-S,33-31515-S,33-38274-S,34-25888-B,35-23403-S,36-27869-S,36-40259-S,36-45477-S,38-37415-S,39-242-S,39-19922-S,39-32688-S,40-39798-S,40-42630-S,41-0-B,45-9155-S,45-48669-S,47-38984-S,47-42029-S,48-18150-S,50-63821-S,52-29483-S,53-31010-S,56-24599-S,57-48519-S,59-31443-S,60-7418-S,63-57348-S,64-4673-S,64-53985-S,65-9023-S,65-55442-S,67-27230-S,70-12653-S,70-21408-S,70-53786-B,70-55025-B,71-25342-S
yā biǎn	16-33102-B
yā biǎo	36-27941-S
yā bā 5r	2-48363-B
yā chā	2-48419-B
yā de tóu shé	23-46265-S
yā diàn	70-12779-S
yā dài kuǎn	27-14818-S
yā dàn	71-4580-S
yā dào xìng	16-32566-B
yā dī	16-32457-B
yā dǎo	16-32511-B
yā guǎn	2-65392-S
yā huài	16-33017-B
yā huán	2-48481-B,2-48657-B,2-48741-B
yā huā	16-33805-B
yā jià	16-32623-B
yā jì	2-48604-B,36-27994-S,56-24646-S,67-27271-S
yā jīn	27-16512-B
yā jǐn	16-33351-B
yā lì	9-35324-S,16-32722-B,17-23847-S,21-61154-S
yā lì guō	16-32908-B
yā lì qiáng dù	16-32831-B
yā lì róng qì	16-32762-B
yā lì wěn luàn	9-35415-S
yā lù jiāng	70-55191-B
yā lǜ tóu yā	19-65005-S
yā mái	16-32967-B
yā piàn	70-53812-B
yā piàn zhàn zhēng	70-53851-B
yā píng shēng yùn	27-16295-B
yā pò	16-33920-B
yā pǐn	27-14717-S
yā qiáng	16-33059-B,17-23919-S
yā qiān jīn	47-34936-S
yā qiān jīn dǐng	38-37465-S
yā què wú shēng	70-53951-B
yā qì	59-7642-S
yā shé bǎn	16-33737-B
yā shì	16-22273-S
yā shā lóng	27-16460-B
yā shān	67-2771-S
yā suàn qì	16-33864-B
yā suì	16-33313-B
yā suì qián	16-33225-B
yā suō	9-8531-S,12-12354-S,16-33505-B,30-22218-S,32-33891-S,57-48626-S
yā suō bǐ	16-33677-B
yā suō jī	16-33614-B
yā suō qì	16-33561-B
yā tóu	2-48554-B
yā xiàn	16-33392-B,48-18216-S,48-19315-S,70-12711-S
yā xìng	67-67453-S
yā yì	16-33150-B
yā yùn	16-33970-B
yā zhì	16-32673-B
yā zhōng duān	13-64316-B
yā zi	29-6128-S,70-55104-B
yā zi tāng	70-55139-B
yā zuò	40-40061-S
yā zuǐ	40-39840-S
yā zuǐ shòu	70-55051-B
yān	1-14073-S,4-14172-S,6-49658-B,8-11221-S,9-21977-S,10-34396-S,11-1834-S,11-26868-S,13-4032-S,13-30822-B,14-154-B,14-4800-S,17-26801-S,17-72066-B,18-59610-B,21-44885-B,25-62647-B,26-14084-S,27-17403-S,27-17742-S,30-11668-S,33-26608-S,33-30582-S,35-65605-B,37-10028-S,38-40452-B,38-55865-B,39-7372-S,39-14143-B,40-7186-S,40-42006-S,40-43860-S,40-44121-B,40-56451-S,41-1785-B,41-28289-B,42-10321-S,43-62535-S,46-23034-S,47-1132-S,48-30570-S,49-22640-S,52-23338-B,52-53560-B,54-18048-S,54-38028-B,58-42412-S,62-47007-S,63-32568-B,63-45958-B,65-50293-B,65-50585-B,67-17077-S,67-18796-S,67-63837-S,69-28805-S,71-51098-S,71-51595-S
yān bù xiáng	58-26240-S
yān chén	41-2173-B
yān cōng	38-50475-S,41-2086-B
yān cǎo	41-4024-B
yān dài	41-4110-B
yān dé hǔ zǐ	1-70353-S
yān dì	54-38124-B
yān guǐ	41-4416-B,51-29200-S
yān gāng	41-2853-B
yān gē	65-50324-B
yān gǔ guǎn	13-31031-B
yān huáng guā	63-46352-B
yān huò	52-36549-B,63-46311-B
yān huā	39-57011-S,41-2895-B
yān huā bù	41-3481-B
yān huā chǎng	41-3043-B
yān huā fēng yuè	41-3933-B
yān huā fěn dài	41-3570-B
yān huā liáo luàn	41-3690-B
yān huā liǔ xiàng	41-3405-B
yān huā nǚ	41-3120-B
yān huā shì	41-3338-B
yān huā wù	33-50232-S
yān huā xiàng	41-3273-B
yān huā xíng yuàn	41-3769-B
yān huā zhài	41-2972-B,41-3197-B
yān huā zhèn	41-3857-B
yān huī	41-2684-B
yān huī gāng	41-2731-B
yān huǒ	41-2626-B
yān hóng	18-25983-S
yān hóu	13-30946-B,51-40013-S
yān hú	71-51633-S
yān hǎi	38-10420-S,41-2482-B
yān jiǎn	41-4475-B,54-38171-B,54-38241-B
yān juǎn 5r	41-2342-B
yān jìng	41-2297-B
yān jīng	41-28362-B
yān jīng jiǔ	41-28574-B
yān jīng jiǔ pí jiǔ	41-28647-B
yān jīng pí jiǔ	41-28404-B
yān líng	63-32625-B
yān méi	32-36375-S,40-56571-S
yān mín	41-2441-B
yān mò	38-55943-B
yān mù	41-2236-B
yān pào	63-46075-B
yān qiāng	41-2395-B,51-29111-S
yān quān	41-2128-B
yān qí	40-44153-B
yān qí huí zú zì zhì xiàn	40-44210-B
yān qí pén dì	40-44338-B
yān qí xiàn	40-44431-B
yān qū	13-4073-S
yān rán	18-59644-B
yān ròu	63-46175-B
yān shuō	63-22219-S
yān shì	13-4128-S
yān shān	41-28932-B
yān suān	41-4156-B
yān sì qǐ	40-43948-S,42-10399-S
yān sǐ	38-55902-B
yān tài zǐ dān	41-28742-B
yān tàn	40-56513-S
yān tái	41-1831-B
yān tái dì qū	41-1905-B
yān tái shì	41-2001-B
yān wù	18-30395-S,41-4297-B
yān wù jì	41-4357-B
yān xiá	41-4259-B
yān xiāo yún sàn	41-2530-B
yān xī shǎo	4-14230-S
yān yán	13-30986-B
yān yè	41-4065-B
yān yòng niú dāo	9-34347-S
yān yún	33-60495-S
yān yān yī xī	18-42-B
yān yī xī	18-42-S
yān yǐn	41-2784-B
