嚭	14-40989-S
四 四	14-45451-B
四一二	14-45479-S
四一二 四一二	14-45479-B
四一二事变	14-45618-S
四一二事變 四一二事变	14-45618-B
四一二反革命政变	14-45708-S
四一二反革命政變 四一二反革命政变	14-45708-B
四一二惨案	14-45852-S
四一二慘案 四一二惨案	14-45852-B
四下	14-46021-S
四下 四下	14-46021-B
四世同堂	14-46064-S
四世同堂 四世同堂	14-46064-B
四个小时	14-46330-S
四个现代化	14-46395-S
四乙基鉛中毒 四乙基铅中毒	14-46152-B
四乙基铅中毒	14-46152-S
四书	14-50796-S
四人帮	14-46254-S
四人幫 四人帮	14-46254-B
四会	14-50881-S
四個小時 四个小时	14-46330-B
四個現代化 四个现代化	14-46395-B
四分之一	14-46565-S
四分之一 四分之一	14-46565-B
四分五裂	14-46630-S
四分五裂 四分五裂	14-46630-B
四化	14-46833-S
四化 四化	14-46833-B
四十	14-46943-S
四十 四十	14-46943-B
四十三	14-46984-S
四十三 四十三	14-46984-B
四十二章經 四十二章经	14-47042-B
四十二章经	14-47042-S
四十六	14-47162-S
四十六 四十六	14-47162-B
四十多	14-47218-S
四十多 四十多	14-47218-B
四千	14-47274-S
四千 四千	14-47274-B
四号电池	14-52727-S
四合院	14-47326-S
四合院 四合院	14-47326-B
四周	14-47413-S
四周 四周	14-47413-B
四国	14-47457-S
四國 四国	14-47457-B
四境	14-47537-S
四境 四境	14-47537-B
四声	14-52391-S
四处	14-52646-S
四大佛教名山	14-47586-S
四大佛教名山 四大佛教名山	14-47586-B
四大发明	14-47992-S
四大名著	14-47745-S
四大名著 四大名著	14-47745-B
四大天王	14-47845-S
四大天王 四大天王	14-47845-B
四大發明 四大发明	14-47992-B
四大盆地	14-48086-S
四大盆地 四大盆地	14-48086-B
四大美女	14-48176-S
四大美女 四大美女	14-48176-B
四大须生	14-48269-S
四大鬚生 四大须生	14-48269-B
四天	14-48358-S
四天 四天	14-48358-B
四子王旗	14-48401-S
四子王旗 四子王旗	14-48401-B
四季	14-48496-S
四季 四季	14-48496-B
四季荳 四季豆	14-48540-B
四季豆	14-48540-S
四季豆腐	14-48594-S
四季豆腐 四季豆腐	14-48594-B
四小龍 四小龙	14-48667-B
四小龙	14-48667-S
四川	14-48804-S
四川 四川	14-48804-B
四川大学	14-48885-S
四川大學 四川大学	14-48885-B
四川日報 四川日报	14-48959-B
四川日报	14-48959-S
四川盆地	14-49028-S
四川盆地 四川盆地	14-49028-B
四川省	14-49097-S
四川省 四川省	14-49097-B
四平	14-49191-S
四平 四平	14-49191-B
四平八稳	14-49300-S
四平八穩 四平八稳	14-49300-B
四平地区	14-49426-S
四平地區 四平地区	14-49426-B
四平市	14-49519-S
四平市 四平市	14-49519-B
四年	14-49639-S
四年 四年	14-49639-B
四年制的大学	14-49683-S
四年制的大學 四年制的大学	14-49683-B
四年前	14-49778-S
四年前 四年前	14-49778-B
四库	14-49845-S
四库全书	14-49928-S
四庫 四库	14-49845-B
四庫全書 四库全书	14-49928-B
四強 四强	14-50046-B
四强	14-50046-S
四德	14-50091-S
四德 四德	14-50091-B
四捨五入 四舍五入	14-50208-B
四散	14-50311-S
四散 四散	14-50311-B
四方	14-50384-S
四方 四方	14-50384-B
四方区	14-50437-S
四方區 四方区	14-50437-B
四方步	14-50532-S
四方步 四方步	14-50532-B
四旁	14-50588-S
四旁 四旁	14-50588-B
四旬斋	14-50700-S
四旬節 四旬节	14-50636-B
四旬节	14-50636-S
四旬齋 四旬斋	14-50700-B
四書 四书	14-50796-B
四會 四会	14-50881-B
四月	14-50943-S
四月 四月	14-50943-B
四月十七号	14-50994-S
四月十七號 四月十七号	14-50994-B
四次	14-51067-S
四次 四次	14-51067-B
四氟化硅	14-51124-S
四氟化硅 四氟化硅	14-51124-B
四氟化鈾 四氟化铀	14-51204-B
四氟化铀	14-51204-S
四氢大麻酚	14-51285-S
四氫大麻酚 四氢大麻酚	14-51285-B
四氯乙烯	14-51376-S
四氯乙烯 四氯乙烯	14-51376-B
四氯化碳	14-51447-S
四氯化碳 四氯化碳	14-51447-B
四海皆准	14-51521-S
四海皆准 四海皆准	14-51521-B
四海飄零 四海飘零	14-51661-B
四海飘零	14-51661-S
四湖乡	14-51768-S
四湖鄉 四湖乡	14-51768-B
四溅	14-51842-S
四濺 四溅	14-51842-B
四环素	14-51907-S
四环路	14-51963-S
四環素 四环素	14-51907-B
四環路 四环路	14-51963-B
四百万	14-52086-S
四百亿	14-52033-S
四百億 四百亿	14-52033-B
四百萬 四百万	14-52086-B
四級 四级	14-52142-B
四維時空 四维时空	14-52205-B
四維空間 四维空间	14-52304-B
四级	14-52142-S
四维时空	14-52205-S
四维空间	14-52304-S
四聲 四声	14-52391-B
四肢	14-52471-S
四肢 四肢	14-52471-B
四脚朝天	14-52530-S
四腳朝天 四脚朝天	14-52530-B
四舍五入	14-50208-S
四處 四处	14-52646-B
四號電池 四号电池	14-52727-B
四角号码	14-52949-S
四角形	14-52803-S
四角形 四角形	14-52803-B
四角柱体	14-52862-S
四角柱體 四角柱体	14-52862-B
四角號碼 四角号码	14-52949-B
四諦 四谛	14-53058-B
四谛	14-53058-S
四起	14-53119-S
四起 四起	14-53119-B
四輪馬車 四轮马车	14-53190-B
四輪驅動 四轮驱动	14-53251-B
四轮马车	14-53190-S
四轮驱动	14-53251-S
四边	14-53483-S
四边形	14-53527-S
四近	14-53322-S
四近 四近	14-53322-B
四通八达	14-53361-S
四通八達 四通八达	14-53361-B
四邊 四边	14-53483-B
四邊形 四边形	14-53527-B
四邻	14-53697-S
四郊	14-53586-S
四郊 四郊	14-53586-B
四部曲	14-53646-S
四部曲 四部曲	14-53646-B
四鄰 四邻	14-53697-B
四重奏	14-53753-S
四重奏 四重奏	14-53753-B
四門轎車 四门轿车	14-53825-B
四门轿车	14-53825-S
四面	14-53898-S
四面 四面	14-53898-B
四面体	14-54168-S
四面八方	14-53941-S
四面八方 四面八方	14-53941-B
四面楚歌	14-54038-S
四面楚歌 四面楚歌	14-54038-B
四面體 四面体	14-54168-B
囝	14-54223-S
囝 囝	14-54223-B
回	14-54252-S
回 回	14-54252-B
回京	14-54456-S
回京 回京	14-54456-B
回來 回来	14-54515-B
回信	14-54564-S
回信 回信	14-54564-B
回击	14-55661-S
回到	14-54614-S
回到 回到	14-54614-B
回升	14-54657-S
回升 回升	14-54657-B
回去	14-54730-S
回去 回去	14-54730-B
回合	14-54776-S
回合 回合	14-54776-B
回响	14-58301-S
回回	14-54862-S
回回 回回	14-54862-B
回国	14-54962-S
回國 回国	14-54962-B
回報 回报	14-55027-B
回声	14-57270-S
回声定位	14-57310-S
回复	14-55184-S
回头	14-58416-S
回家	14-55136-S
回家 回家	14-55136-B
回应	14-55435-S
回归	14-56359-S
回归中国	14-56479-S
回归年	14-56572-S
回归线	14-56692-S
回復 回复	14-55184-B
回忆	14-55331-S
回忆录	14-55386-S
回想	14-55268-S
回想 回想	14-55268-B
回憶 回忆	14-55331-B
回憶錄 回忆录	14-55386-B
回應 回应	14-55435-B
回扣	14-58012-S
回报	14-55027-S
回拜	14-55486-S
回拜 回拜	14-55486-B
回採 回采	14-55541-B
回擊 回击	14-55661-B
回收	14-55739-S
回收 回收	14-55739-B
回教	14-55784-S
回教 回教	14-55784-B
回敬	14-55832-S
回敬 回敬	14-55832-B
回文	14-55911-S
回文 回文	14-55911-B
回旋	14-55955-S
回旋 回旋	14-55955-B
回旋加速器	14-56015-S
回旋加速器 回旋加速器	14-56015-B
回族	14-56113-S
回族 回族	14-56113-B
回族人	14-56186-S
回族人 回族人	14-56186-B
回条	14-56290-S
回来	14-54515-S
回條 回条	14-56290-B
回歸 回归	14-56359-B
回歸中國 回归中国	14-56479-B
回歸年 回归年	14-56572-B
回歸線 回归线	14-56692-B
回波	14-56744-S
回波 回波	14-56744-B
回溯	14-56809-S
回溯 回溯	14-56809-B
回火	14-56863-S
回火 回火	14-56863-B
回眸	14-56940-S
回眸 回眸	14-56940-B
回禀	14-57062-S
回程	14-57015-S
回程 回程	14-57015-B
回稟 回禀	14-57062-B
回答	14-57129-S
回答 回答	14-57129-B
回紋針 回纹针	14-57174-B
回絕 回绝	14-57230-B
回纹针	14-57174-S
回绝	14-57230-S
回聲 回声	14-57270-B
回聲定位 回声定位	14-57310-B
回肠	14-57381-S
回腸 回肠	14-57381-B
回良玉	14-57511-S
回良玉 回良玉	14-57511-B
回荡	14-57623-S
回蕩 回荡	14-57623-B
回見 回见	14-57691-B
回視 回视	14-57740-B
回见	14-57691-S
回视	14-57740-S
回訪 回访	14-57784-B
回访	14-57784-S
回車 回车	14-57839-B
回車鍵 回车键	14-57893-B
回车	14-57839-S
回车键	14-57893-S
回避	14-57954-S
回避 回避	14-57954-B
回采	14-55541-S
回釦 回扣	14-58012-B
回鍋肉 回锅肉	14-58121-B
回锅油	14-58183-S
回锅油 回锅油	14-58183-B
回锅肉	14-58121-S
回響 回响	14-58301-B
回頁首 回页首	14-58344-B
回頭 回头	14-58416-B
回顧 回顾	14-58498-B
回顧歷史 回顾历史	14-58553-B
回页首	14-58344-S
回顾	14-58498-S
回顾历史	14-58553-S
回饋 回馈	14-58630-B
回馈	14-58630-S
回首	14-58672-S
回首 回首	14-58672-B
回駁 回驳	14-58738-B
回驳	14-58738-S
囟	14-58780-S
囟 囟	14-58780-B
囟脑门	14-58856-S
囟腦門 囟脑门	14-58856-B
囟門 囟门	14-58954-B
囟门	14-58954-S
因	14-59041-S
因 因	14-59041-B
因为	14-60970-S
因人成事	14-59084-S
因人成事 因人成事	14-59084-B
因人而异	14-59228-S
因人而異 因人而异	14-59228-B
因利乘便	14-59355-S
因利乘便 因利乘便	14-59355-B
因势利导	14-59462-S
因勢利導 因势利导	14-59462-B
因变量	14-62201-S
因噎废食	14-59606-S
因噎廢食 因噎废食	14-59606-B
因地制宜	14-59805-S
因地制宜 因地制宜	14-59805-B
因如此	14-59919-S
因如此 因如此	14-59919-B
因子	14-59977-S
因子 因子	14-59977-B
因应	14-60399-S
因式	14-60016-S
因式 因式	14-60016-B
因式分解	14-60088-S
因式分解 因式分解	14-60088-B
因循	14-60157-S
因循 因循	14-60157-B
因循守旧	14-60267-S
因循守舊 因循守旧	14-60267-B
因應 因应	14-60399-B
因数	14-60484-S
因數 因数	14-60484-B
因斯布魯克 因斯布鲁克	14-60548-B
因斯布鲁克	14-60548-S
因时制宜	14-60620-S
因時制宜 因时制宜	14-60620-B
因材施教	14-60739-S
因材施教 因材施教	14-60739-B
因果	14-60852-S
因果 因果	14-60852-B
因此	14-60908-S
因此 因此	14-60908-B
因為 因为	14-60970-B
因父之名	14-61034-S
因父之名 因父之名	14-61034-B
因特網 因特网	14-61138-B
因特網提供商 因特网提供商	14-61191-B
因特網聯通 因特网联通	14-61300-B
因特网	14-61138-S
因特网提供商	14-61191-S
因特网联通	14-61300-S
因由	14-61388-S
因由 因由	14-61388-B
因祸得福	14-61468-S
因禍得福 因祸得福	14-61468-B
因紐特 因纽特	14-61639-B
因紐特人 因纽特人	14-61758-B
因素	14-61818-S
因素 因素	14-61818-B
因緣 因缘	14-61865-B
因纽特	14-61639-S
因纽特人	14-61758-S
因缘	14-61865-S
因而	14-62011-S
因而 因而	14-62011-B
因袭	14-62086-S
因襲 因袭	14-62086-B
因變量 因变量	14-62201-B
因陀罗	14-62266-S
因陀羅 因陀罗	14-62266-B
因陋就简	14-62332-S
因陋就簡 因陋就简	14-62332-B
因﹍之故	14-62520-S
因﹍之故 因﹍之故	14-62520-B
囡	14-62578-S
囡 囡	14-62578-B
囡囡	14-62615-S
囡囡 囡囡	14-62615-B
团	15-28529-S,49-1007-S
团伙	15-28590-S
团体	15-29469-S
团体行	15-29526-S
团员	15-28656-S
团圆	15-28711-S
团契	15-28764-S
团子	49-1039-S
团年	15-28819-S
团结	15-28885-S
团结就是力量	15-28946-S
团结工会	15-29090-S
团聚	15-29182-S
团长	15-29244-S
团队	15-29320-S
团队精神	15-29359-S
団	14-62668-S
団 団	14-62668-B
囤	14-62719-S,14-62755-S
囤 囤	14-62719-B,14-62755-B
囤积	14-62792-S
囤積 囤积	14-62792-B
囥	14-62910-S
囥 囥	14-62910-B
囧	14-62947-S
囧 囧	14-62947-B
囪 囱	14-62986-B
囪門 囱门	14-63024-B
囫	14-63073-S
囫 囫	14-63073-B
园	15-22431-S
园丁	15-22461-S
园地	15-22505-S
园林	15-22550-S
园艺	15-22614-S
囮	14-63112-S
囮 囮	14-63112-B
囯	14-63138-S
囯 囯	14-63138-B
困	14-63179-S,45-54220-S,49-57530-S
困 困	14-63179-B
困境	14-63234-S
困境 困境	14-63234-B
困惑	14-63294-S
困惑 困惑	14-63294-B
困惑不解	14-63356-S
困惑不解 困惑不解	14-63356-B
困扰	14-63428-S
困擾 困扰	14-63428-B
困窘	14-63489-S
困窘 困窘	14-63489-B
困苦	14-63538-S
困苦 困苦	14-63538-B
困难	14-63603-S
困难在于	14-63676-S
困難 困难	14-63603-B
困難在於 困难在于	14-63676-B
囱	14-62986-S
囱门	14-63024-S
囲	14-63748-S
囲 囲	14-63748-B
図	14-63798-S
図 図	14-63798-B
围	15-21267-S
围住	15-21311-S
围兜	15-21364-S
围剿	15-21401-S
围困	15-21550-S
围场	15-21780-S
围坐	15-21594-S
围城	15-21673-S
围堰	15-21735-S
围墙	15-22180-S
围巾	15-21937-S
围拢	15-21982-S
围攻	15-22032-S
围栏	15-22124-S
围棋	15-22077-S
围篱	15-22225-S
围绕	15-22270-S
围裙	15-22345-S
囵	15-1197-S
囶	14-63847-S
囶 囶	14-63847-B
囷	14-63896-S
囷 囷	14-63896-B
囹	14-63926-S
囹 囹	14-63926-B
囹圄	14-63967-S
囹圄 囹圄	14-63967-B
囹圉	14-64007-S
囹圉 囹圉	14-64007-B
固	14-64047-S
固 固	14-64047-B
固件	14-64141-S
固件 固件	14-64141-B
固体	15-744-S
固体溶体	15-781-S
固体热容激光器	15-849-S
固原	14-64183-S
固原 固原	14-64183-B
固原地区	14-64254-S
固原地區 固原地区	14-64254-B
固原市	14-64336-S
固原市 固原市	14-64336-B
固執 固执	14-64403-B
固始	14-64455-S
固始 固始	14-64455-B
固始县	14-64525-S
固始縣 固始县	14-64525-B
固守	14-64607-S
固守 固守	14-64607-B
固安县	14-64647-S
固安縣 固安县	14-64647-B
固定	15-0-S
固定 固定	15-0-B
固定收入	15-51-S
固定收入 固定收入	15-51-B
固定点	15-296-S
固定虚拟连接	15-119-S
固定虛擬連接 固定虚拟连接	15-119-B
固定資產 固定资产	15-228-B
固定资产	15-228-S
固定點 固定点	15-296-B
固形物	15-371-S
固形物 固形物	15-371-B
固态	15-440-S
固態 固态	15-440-B
固执	14-64403-S
固有	15-492-S
固有 固有	15-492-B
固然	15-550-S
固然 固然	15-550-B
固鎮 固镇	15-613-B
固镇	15-613-S
固阳	15-674-S
固陽 固阳	15-674-B
固體 固体	15-744-B
固體溶體 固体溶体	15-781-B
固體熱容激光器 固体热容激光器	15-849-B
国	15-1684-S
国中之国	15-1748-S
国乐	15-10097-S
国书	15-9178-S
国事访问	15-1826-S
国产	15-11820-S
国会	15-9309-S
国会大厦	15-9367-S
国会山	15-9429-S
国会议员	15-9487-S
国会议长	15-9573-S
国债	15-1894-S
国共	15-2382-S
国共合作	15-2463-S
国内	15-1944-S
国内外	15-2016-S
国内战争	15-2106-S
国内生产总值	15-2192-S
国内线	15-2302-S
国力	15-2576-S
国务卿	15-2625-S
国务委员	15-2688-S
国务次卿	15-2778-S
国务院	15-2857-S
国务院台湾事务办公室	15-2944-S
国势	15-3087-S
国势日衰	15-3159-S
国史	15-3232-S
国号	15-12932-S
国名	15-3299-S
国君	15-3349-S
国土	15-3390-S
国土安全	15-3456-S
国土安全部	15-3528-S
国境	15-3629-S
国外	15-3688-S
国大党	15-3764-S
国奥会	15-3830-S
国姓乡	15-3974-S
国威	15-4054-S
国子监	15-4105-S
国字	15-4179-S
国学	15-4248-S
国宝	15-8316-S
国家	15-4375-S
国家一级保护	15-4429-S
国家主义	15-4539-S
国家代码	15-4601-S
国家体委	15-8103-S
国家元首	15-4668-S
国家公园	15-4739-S
国家军品贸易局	15-7438-S
国家军品贸易管理委员会	15-7572-S
国家发展和改革委员会	15-6250-S
国家发展计划委员会	15-6417-S
国家图书馆	15-4810-S
国家地震局	15-4893-S
国家宇航和太空署	15-5023-S
国家安全	15-5173-S
国家广播电影电视总局	15-5246-S
国家开发银行	15-7771-S
国家文物委员会	15-5463-S
国家文物局	15-5591-S
国家文物鉴定委员会	15-5708-S
国家机密	15-5966-S
国家标准码	15-5884-S
国家火山公园	15-6032-S
国家环保总局	15-6136-S
国家级	15-6572-S
国家经济贸易委员会	15-6652-S
国家航天局	15-6805-S
国家航空公司	15-6931-S
国家计划委员会	15-7023-S
国家计委	15-7140-S
国家质量监督检验检疫总局	15-7223-S
国家队	15-7871-S
国家食品药品监督管理局	15-7933-S
国宾馆	15-13326-S
国富论	15-8200-S
国庆	15-8831-S
国庆日	15-8886-S
国庆节	15-9019-S
国库	15-8473-S
国库券	15-8552-S
国度	15-8433-S
国徽	15-8610-S
国情	15-8726-S
国教	15-9077-S
国旗	15-9126-S
国有	15-9650-S
国有企业	15-9732-S
国有化	15-9828-S
国术	15-13013-S
国标	15-10171-S
国标码	15-10233-S
国标舞	15-10292-S
国棋	15-9888-S
国槐	15-9956-S
国槐树	15-10021-S
国歌	15-10376-S
国民	15-10424-S
国民党	15-11017-S
国民党军队	15-11109-S
国民收入	15-10466-S
国民政府	15-10560-S
国民生产总值	15-10692-S
国民警卫队	15-10825-S
国民革命军	15-10923-S
国法	15-11195-S
国泰	15-11240-S
国泰民安	15-11308-S
国泰航空	15-11417-S
国父	15-11636-S
国王	15-11735-S
国玺	15-11774-S
国画	15-11988-S
国界线	15-11894-S
国立	15-12051-S
国立台北科技大学	15-12109-S
国立台湾技术大学	15-12245-S
国立显忠院	15-12394-S
国策	15-12513-S
国籍	15-12563-S
国粹	15-12607-S
国美	15-12690-S
国耻	15-8672-S
国花	15-12748-S
国菜	15-12827-S
国营	15-11489-S
国营企业	15-11560-S
国葬	15-12884-S
国语	15-13059-S
国语罗马字	15-13119-S
国贸	15-13262-S
国都	15-13388-S
国队	15-14262-S
国防	15-13437-S
国防利益	15-13488-S
国防工业	15-13571-S
国防现代化	15-13644-S
国防科技工业委员会	15-13746-S
国防语言学院	15-13884-S
国防部	15-14007-S
国防部长	15-14099-S
国防预算	15-14191-S
国际	15-14309-S
国际主义	15-14355-S
国际互联网络	15-14425-S
国际体操联合会	15-21096-S
国际先驱论坛报	15-14511-S
国际公制	15-14627-S
国际共产主义运动	15-14696-S
国际关系	15-20267-S
国际关系学院	15-20345-S
国际刑事警察组织	15-14843-S
国际刑警组织	15-14996-S
国际劳动节	15-15127-S
国际劳工组织	15-15201-S
国际化	15-15310-S
国际医疗中心	15-20049-S
国际协会	15-15394-S
国际单位	15-16050-S
国际单位制	15-16123-S
国际原子能机构	15-15474-S
国际原子能结构	15-15596-S
国际和平基金会	15-15726-S
国际商业机器	15-15939-S
国际商会	15-15843-S
国际外交	15-16218-S
国际大赦	15-16288-S
国际太空站	15-16384-S
国际奥委会	15-16479-S
国际奥林匹克委员会	15-16575-S
国际性	15-16714-S
国际文传通讯社	15-16789-S
国际日期变更线	15-16900-S
国际机场	15-17429-S
国际标准	15-17097-S
国际标准化组织	15-17176-S
国际标准组织	15-17311-S
国际棋联	15-17012-S
国际歌	15-17506-S
国际民间组织	15-17567-S
国际法	15-17683-S
国际法庭	15-17743-S
国际海事组织	15-17828-S
国际清算银行	15-17939-S
国际特赦	15-18053-S
国际特赦组织	15-18128-S
国际电信联盟	15-20460-S
国际电报电话咨询委员会	15-20582-S
国际电话	15-20721-S
国际电话电报谘询委员会	15-20795-S
国际社会	15-18224-S
国际私法	15-18306-S
国际级	15-18375-S
国际组织	15-18445-S
国际网络	15-18525-S
国际网络公司	15-18589-S
国际网络门户	15-18683-S
国际羽毛球联合会	15-18775-S
国际联盟	15-18907-S
国际航空联合会	15-18981-S
国际航空运输协会	15-19118-S
国际见闻	15-19258-S
国际象棋	15-19348-S
国际货币基金	15-19409-S
国际货币基金组织	15-19517-S
国际贸易	15-19644-S
国际足球联合会	15-19717-S
国际足联	15-19857-S
国际跳棋	15-19965-S
国际金融公司	15-20156-S
国际音标	15-21009-S
图	15-25269-S
图书	15-26470-S
图书管理员	15-26536-S
图书馆	15-26612-S
图书馆员	15-26664-S
图们	15-25328-S
图们市	15-25473-S
图们江	15-25629-S
图像	15-25732-S
图像互换格式	15-25788-S
图像处理	15-26004-S
图像用户介面	15-25896-S
图克	15-26076-S
图卢兹	15-27710-S
图卢斯	15-27651-S
图坦卡门	15-26157-S
图尔	15-27241-S
图尔库	15-27295-S
图形	15-26222-S
图形卡	15-26304-S
图形用户界面	15-26361-S
图木舒克	15-26730-S
图木舒克市	15-26871-S
图林根	15-27023-S
图标	15-27141-S
图样	15-27190-S
图案	15-27095-S
图灵奖	15-28412-S
图片	15-27360-S
图片报	15-27418-S
图版	15-27475-S
图瓦卢	15-27555-S
图画	15-27603-S
图章	15-27777-S
图签	15-27822-S
图纸	15-27871-S
图腾	15-28471-S
图表	15-27946-S
图解说明	15-27993-S
图谋	15-28060-S
图谱	15-28101-S
图象	15-28163-S
图辑	15-28211-S
图钉	15-28280-S
图阿雷格	15-28323-S
囿	15-975-S
囿 囿	15-975-B
圀	15-1025-S
圀 圀	15-1025-B
圂	15-1074-S
圂 圂	15-1074-B
圃	15-1121-S
圃 圃	15-1121-B
圄	15-1157-S
圄 圄	15-1157-B
圆	15-22671-S
圆光	15-22796-S
圆函数	15-22870-S
圆周	15-22943-S
圆周率	15-22992-S
圆图	15-23113-S
圆圈	15-23071-S
圆场	15-23158-S
圆寂	15-23228-S
圆屋顶	15-23291-S
圆弧	15-23341-S
圆形	15-23403-S
圆形木材	15-23453-S
圆形面包	15-23513-S
圆心	15-23575-S
圆括号	15-23626-S
圆拱	15-23702-S
圆明园	15-23751-S
圆柱	15-23811-S
圆柱体	15-23919-S
圆柱形	15-23861-S
圆桌会议	15-23983-S
圆润	15-24176-S
圆滑	15-24062-S
圆满	15-24129-S
圆珠	15-24265-S
圆珠形离子交换剂	15-24319-S
圆珠笔	15-24443-S
圆球	15-24501-S
圆盘	15-24553-S
圆石头	15-24592-S
圆腹鲱	15-24644-S
圆舞曲	15-24702-S
圆规	15-24751-S
圆规座	15-24804-S
圆轨道	15-24874-S
圆锥	15-24969-S
圆锥体	15-25179-S
圆锥形	15-25044-S
圆锥曲线	15-25108-S
圆顶	15-25229-S
圇 囵	15-1197-B
圈	15-1228-S,15-1270-S,15-1310-S
圈 圈	15-1228-B,15-1270-B,15-1310-B
圈套	15-1381-S
圈套 圈套	15-1381-B
圈子	15-1420-S
圈子 圈子	15-1420-B
圈状物	15-1464-S
圈狀物 圈状物	15-1464-B
圉	15-1516-S
圉 圉	15-1516-B
圉人	15-1592-S
圉人 圉人	15-1592-B
圊	15-1644-S
圊 圊	15-1644-B
國 国	15-1684-B
國中之國 国中之国	15-1748-B
國事訪問 国事访问	15-1826-B
國債 国债	15-1894-B
國內 国内	15-1944-B
國內外 国内外	15-2016-B
國內戰爭 国内战争	15-2106-B
國內生產總值 国内生产总值	15-2192-B
國內線 国内线	15-2302-B
國共 国共	15-2382-B
國共合作 国共合作	15-2463-B
國力 国力	15-2576-B
國務卿 国务卿	15-2625-B
國務委員 国务委员	15-2688-B
國務次卿 国务次卿	15-2778-B
國務院 国务院	15-2857-B
國務院台灣事務辦公室 国务院台湾事务办公室	15-2944-B
國勢 国势	15-3087-B
國勢日衰 国势日衰	15-3159-B
國史 国史	15-3232-B
國名 国名	15-3299-B
國君 国君	15-3349-B
國土 国土	15-3390-B
國土安全 国土安全	15-3456-B
國土安全部 国土安全部	15-3528-B
國境 国境	15-3629-B
國外 国外	15-3688-B
國大黨 国大党	15-3764-B
國奧會 国奥会	15-3830-B
國姓鄉 国姓乡	15-3974-B
國威 国威	15-4054-B
國子監 国子监	15-4105-B
國字 国字	15-4179-B
國學 国学	15-4248-B
國家 国家	15-4375-B
國家一級保護 国家一级保护	15-4429-B
國家主義 国家主义	15-4539-B
國家代碼 国家代码	15-4601-B
國家元首 国家元首	15-4668-B
國家公園 国家公园	15-4739-B
國家圖書館 国家图书馆	15-4810-B
國家地震局 国家地震局	15-4893-B
國家宇航和太空署 国家宇航和太空署	15-5023-B
國家安全 国家安全	15-5173-B
國家廣播電影電視總局 国家广播电影电视总局	15-5246-B
國家文物委員會 国家文物委员会	15-5463-B
國家文物局 国家文物局	15-5591-B
國家文物鑒定委員會 国家文物鉴定委员会	15-5708-B
國家標準碼 国家标准码	15-5884-B
