fe3o4	25-45399-S,42-28226-S,46-45107-S
feeder	30-35308-S,69-7147-B
feeding	17-37662-S,28-11905-S,36-3540-S,69-18699-B,71-52633-S
feeding as a teaching method	16-22273-S
feeding bottle	18-24297-S
feeding trough	69-6937-B
feeds	51-53877-S
feeds you	18-23992-S
feel	25-38714-S,25-39135-S,25-43043-S,25-43128-B,27-70909-B,32-32698-S,54-53041-S,57-41048-B,57-41179-S,57-54216-S,58-21041-S
feel a sense of pride	53-14210-B
feel a twinge of guilt	7-30193-S
feel anxiety	25-62785-B
feel anxious	42-371-S,54-54068-B
feel anxious about sth	42-556-S
feel apologetic	2-34403-B,27-13330-B
feel ashamed	19-59758-S,27-13120-B,45-59191-S
feel ashamed to ask and learn from one s subordinates	2-9764-S
feel at home in a hotel	59-55739-S
feel attached to	26-3701-S
feel bad	2-14428-B
feel beleaguered	54-14773-S
feel cold as symptom	39-32262-S
feel compassion for	13-31995-B,65-47307-B
feel contented with	19-29778-S
feel deeply	38-50237-B
feel deeply attached to	25-35162-S
feel deeply concerned	35-61332-S
feel disappointed	28-11107-S
feel discouraged	37-59762-S
feel disheartened	14-12807-S
feel dizzy	45-49460-S
feel embarrassed	2-3813-B,46-38372-S
feel embarrassment	44-32479-S
feel for language	58-25488-S
feel for the ball	42-51878-B
feel giddy on heights	31-58931-S
feel grateful to sb	68-34526-B
feel gratitude mixed with shame	25-41517-S
feel guilty	25-43892-S
feel happy	65-34683-S
feel happy or elated	65-40992-S
feel helpless	32-46573-S,40-47343-S
feel homesick for one s relatives	24-56217-S
feel hopelessly worried or get in trouble for imaginary fears	23-3448-S
feel hurt	25-46339-B
feel inferior to others	53-5973-S
feel injured and resentful	25-54403-B
feel insecure	54-60881-B
feel it beneath one s dignity	2-6805-S
feel like	25-26046-S
feel like eating	12-26251-S
feel nervous	26-50869-S,44-29144-S,60-17097-S
feel no qualms	40-52527-S
feel obliged to speak out candidly	70-3051-S
feel one s pulse	29-3565-S
feel oppressed	25-54330-B
feel out	58-12828-S
feel overwhelming joy or sorrow	64-34453-S
feel perplexed	14-63356-S
feel pleased	14-6828-S,24-48119-B
feel pulse	52-30362-S
feel puzzled	61-54345-S
feel relieved	19-28722-S,63-53426-B
feel remorse	25-61994-B,26-3198-B
feel sb s pulse	8-62650-S
feel sb s pulse and body as part of a medical examination	8-63075-S
feel scared	44-29288-S
feel sentiments	25-41974-S
feel shame often with a negative	58-63150-S
feel sick	25-20411-S
feel sorry	67-13654-B
feel sorry for a person over sth that should have happened	25-16325-S
feel sth	4-33981-S
feel strongly about	41-21648-S
feel suffocated or oppressed	25-54403-B
feel take the pulse	27-63162-B
feel tenderness toward	25-54694-S
feel through the senses	25-39646-S
feel uncomfortable	2-26181-B,2-26734-S
feel under the weather	2-9264-B
feel unsure about sth	44-4360-S
feel unwell	67-11834-S
feel vexed	41-9993-S,47-56251-S
feel well	2-8660-S,41-41718-S,41-41899-S
feel with the hand	29-3565-B
feel wronged	18-41608-S,18-41608-S,21-19597-B,27-12969-B
feeler	57-55230-B
feelers	57-55338-B
feeling	4-9311-S,24-55870-B,25-11747-B,25-14017-B,25-15406-B,25-39646-S,25-40209-S,25-41205-B,25-43043-B,38-50039-S,38-57019-S,44-25775-S
feeling after a few drinks	68-61851-S
feeling at separation 成语 saw	67-9885-S
feeling better	18-26927-B
feeling for sth affection	25-14550-S,25-14644-S
feeling ill	2-26734-B
feeling inferior	53-3258-B
feeling of nostalga	26-1584-B
feeling of resentment	25-2099-B
feeling of shame	51-10149-S
feeling of swaying	45-46399-B
feeling of togetherness	49-51927-B
feeling or intentions	2-36247-S
feeling or sense of justice	40-52184-S
feeling relief after the task is done	1-4444-B
feeling surprised at sth	43-62535-B
feeling that	25-39135-S
feeling that sth is genuine	45-41690-S
feeling upbeat	3-13938-B
feeling useless	40-47265-B,40-47343-B
feeling well	53-31274-B
feelings	6-35937-S,6-36026-S,6-46553-S,11-43133-S,23-54873-S,24-33087-S,25-11990-B,25-14089-B,25-15960-S,25-41129-S,25-43261-S,29-3132-S,33-44304-S,36-21120-S,38-7601-S,39-21634-S,43-49879-S,43-61029-S,45-42172-S,49-46885-S,52-25928-S,52-52069-B,55-42437-S,56-44544-S,56-48917-S,68-1850-B,69-47308-S
feelings and chivalrous disposition 成语 saw	33-44475-S
feelings and sensibilities	25-15960-B
feelings of grief and joy	25-9356-S
feelings such as anger	4-33981-S
feelings towards sb	25-13940-S
feelings well up in one s heart	44-53965-S
feels bad	2-3646-S
feels like we have known each other all along	45-30751-S
feels obliged to speak out about	70-2779-S
feels or knows etc in his bones derog 	70-0-S
fees	58-5197-S
feet	1-29407-S,6-60354-S,26-49060-S,27-49992-S,28-14757-S,47-63054-S,50-42100-S,51-29937-S,51-30769-S,53-12814-S,55-8833-S,60-33277-S,60-33352-S,60-45994-S,61-10287-S,67-570-S,67-7981-S,68-33091-S,70-37021-S,70-52499-S
feet and strive to become stronger	53-5523-S
feet as punishment	8-65612-S
feet crippled	60-52673-S
feet firmly planted on the ground 成语 saw	52-43686-S
feet in anger	60-44963-S
feet of ducks	60-52323-S
feet of shoes or socks	12-37252-S
feet perfectly	60-38229-S
feet splayed outwards	7-50541-S
feet square	30-61426-S,30-61426-S
feet the feet perfectly	60-38229-S
feet to fit the shoes 成语 saw	9-17159-S
feet trip 成语 saw	26-35712-S
feet when danger arises 成语 saw	52-57896-S
feet with calluses	60-33436-B
feet without ever having burned incense 成语 saw	27-12591-S
feet 成语 saw	13-35409-S,25-12546-S,28-8706-S,58-8413-S
fei	30-32084-S,59-46155-S,68-12982-S
fei 1051 1107	48-46216-S
fei 1103 1142	21-38088-S
fei 168 221	23-42053-S
fei county in shandong	59-47806-B
fei hung	71-24769-S
fei or fi	30-32084-S
fei xiaotong	59-46718-B
feicheng city in shandong	52-11077-S
feidong place in anhui	52-11498-S
feign	6-9211-S,6-13941-S,6-24678-S,8-10643-S,14-15720-S,39-45913-S,46-1976-S,56-60523-S
feign ignorance	56-61553-S
feign madness	57-254-S
feigned death	6-8709-B
fein	30-55664-S
feinstein us senator from california	48-31144-S
feint	66-48317-S
feint attack to mislead the enemy	44-4921-S
feixi place in anhui	52-12315-S
feixiang place in hebei	52-12374-S
feizi c 280 233 bc pre han dynasty legalist philosopher	68-13023-S
feizi 韓非子 韩非子	26-17900-S
feldspar felspar	65-18474-B
felicitations	27-45332-S
felicity	46-52125-B,46-65387-B,47-6628-B
felidae the cat family	59-28249-B
felix	59-46273-B
felix klein 1849 1925	7-18111-B
felix klein s erlangen program 1872 on geometry and group theory	15-59655-B
felix name	54-37010-B
fell	4-54853-S,28-20738-B
fell down a well 成语 saw	27-667-S,54-49049-S
fell swoop	1-17915-S
fell trees	34-27010-B,34-45422-S
felling	4-54947-S
fellow	4-56992-B,6-27950-S,6-45858-S,12-45563-B,20-60571-S,20-62946-S,23-56464-S,25-63696-S
fellow citizen or countryman	12-51194-B
fellow classmate	12-46443-B
fellow countryman	63-29806-S
fellow countryman from the same village	12-52308-B,63-30526-B
fellow disrespectful	51-31489-S
fellow enthusiast	24-44570-B
fellow enthusiasts	7-64377-S
fellow insult	25-63792-S
fellow of an academy	66-20214-S
fellow official	20-28277-B
fellow residents of a village	63-30744-B
fellow students who are successful in the imperial examinations	22-47473-S
fellow sufferers empathize with each other 成语 saw	12-50154-B
fellow townsman	51-31295-B
fellow traveler	12-52228-B
fellow villager	51-31295-B,63-29742-S
fellow worker	12-45797-B
fellow workers	12-46651-B
fellowship	11-43262-B
felon	63-62260-B
felony	63-63727-B
felspar	65-18474-S
felt	30-68001-B,36-14348-B,36-15711-B,36-17654-B,38-48735-S
felt but not mawkish 成语 saw	13-32526-S
felt by lady	65-48352-S
felt marker	69-33509-B
felt pain	8-62770-S
fem 	18-36956-S
fema	51-64039-B
female	18-19099-B,18-20130-B,36-3377-B,41-49734-B,43-45132-S,43-46282-S,47-64489-S,66-61001-B,66-61081-B,66-61340-S
female baby	18-20085-B
female brothel keeper	70-53692-B
female charms	18-22205-B
female clothing	49-9171-S
female component of nut and bolt	56-13598-S,56-14394-S
female connector	66-61121-B
female court officials	18-61634-B
female cousin	16-2748-S,56-43842-S
female cousin sharing paternal grandfather	16-2661-S,16-2845-S
female cousin via female line	56-43770-S,56-43937-S
female cousins via female line	56-44007-B
female dancer	53-32224-B
female deer	71-8855-B
female dog	36-4130-B
female entertainer	55-32493-S
female external genitalia anat 	66-25296-B
female farm worker	61-40123-B
female flight attendant	47-46147-B
female flower	66-61255-B
female friend	18-21046-B
female genitalia	44-45585-S
female genitalia in pornography	66-24849-B
female hemp plant cannabis sativa	47-34116-S,54-5151-S
female immortal	4-28858-B
female in chinese opera	53-56663-S
female infertility	2-4428-B
female line	16-46885-S,56-43235-S,56-43305-S,56-43584-S,56-43770-S,56-43937-S,56-44007-S,56-44342-S
female maid	18-19231-B
female mammals	44-28868-S,44-28948-S
female mammals producing progesterone	71-25014-S
female name	25-37367-S
female of chinese unicorn	71-9188-B
female of domestic animals	41-55645-B
female of the household who goes out to work	26-43566-S
female organ of flower	53-57539-S
female pig	59-22872-B
female posture	69-64174-S
female reproducing without fertilization	19-13898-S
female revolutionary and martyr	23-39544-S
female role in a chinese opera	35-37287-S
female servant	51-27185-S
female sex	18-20605-S
female sex hormone in bees	33-9374-S,33-9469-S
female shaman	21-62674-B
female sheep	41-43611-B
female singer	18-21178-B
female students	18-21326-B
female suffering absence or atresia of vagina as birth defect	20-12671-B,46-5487-B
female tennis star	54-22162-S
female unicorn	71-10718-B
females	18-25814-S,56-43022-S
females in a family	7-30377-S,18-21829-S
feminine	22-34618-B,66-23523-B,66-24274-B,68-54420-B,68-59179-S
feminine name	18-36988-B,18-51371-B,18-54381-B
femininity	18-22205-B
feminism	18-20661-B
femoralis	56-11896-S,56-22804-S
femur	52-10821-B
fen	37-21006-S
fen river	37-2148-B
fence	15-22124-B,15-22225-B,15-51688-S,33-51406-B,33-51434-B,33-54868-B,34-50365-B,34-58955-S,35-17949-B,48-3211-B,48-3890-B,48-44915-S,55-35420-B,62-5116-S,69-52532-S
fence esp of bamboo or wood railings	48-44944-B
fence for defense	55-35308-S
fence serving as partition	66-40416-S
fencer i e sportsman involved in fencing	9-43693-B,29-19285-B
fencing	5-10157-S,9-39357-S,9-43693-S,9-44290-B,15-22124-B,29-19285-S,53-54556-S,63-56555-S
fencing sport	29-19236-B
fend off	26-49201-S,29-37165-S
fenestra cochleae in middle ear	56-9661-B
fenestra vestibuli of inner ear	9-19873-B
feng	54-59402-S,59-19457-S,63-36233-S,69-44875-S,70-51574-S
feng 1940 1962	67-24122-S
feng cheng taiwan minister of the interior	33-35121-S
feng chia 1864 1912	2-43314-S
feng county in jiangsu	59-21634-B
feng county in shaanxi	70-52607-B
feng menglong 1574 1646	69-44911-B
feng menglong 馮夢龍 冯梦龙	12-328-S
feng river in shaanxi 陝西 陕西	40-17269-B,40-17356-B
feng yuxiang 1882 1948	69-44984-B
feng 董奉	33-6563-S
fengcheng county level city in yichun 宜春	59-19968-B,59-20049-B
fengcheng manzu autonomous county in liaoning	70-52010-B
fengdu place in sichuan	59-22045-S
fengfengkuang area in hebei	21-40031-S
fenggang place in guizhou	70-52241-S
fenghua county level city in ningbo prefecture	18-3134-B
fenghuang county in hunan	70-51873-B
fengjia or ch’iu feng chia 1864 1912	2-43314-S
fengjie place in sichuan	18-4144-S
fengkai place in guangdong	20-34329-S
fenglin town in taiwan	70-52381-S
fengman district of jilin city 吉林市	59-20944-B,59-21019-B
fengnan city in hebei	59-19714-S
fengning manchurian autonomous county in hebei	59-20376-B,59-20512-B
fengning manzu autonomous county in hebei	59-20299-B
fengpin village in taiwan	59-21167-S
fengqing county in yunnan	70-52308-B
fengqiu place in henan	20-32379-S
fengrun place in hebei	59-21104-S
fengshan city in taiwan	70-52144-S
fengshan place in guangxi	70-52144-S
fengshui	1-27924-S,68-55283-B
fengshui describing good or bad locations	15-44296-S
fengshun county in meizhou 梅州	59-22298-B,59-22367-B
fengtai district in south beijing	59-19890-B
fengtai place in anhui	70-51947-S
fengtian clique of northern warlords	18-4209-B,18-4281-B
fengtian clique warlord	23-38381-S
fengtian 奉天	37-5565-S,40-13247-S
fengtien in northeast china	63-4612-S,63-4915-S
fengxian place in shanghai	18-4668-S
fengxiang place in shaanxi	70-52665-S
fengxin county in yichun 宜春	18-3624-B,18-3690-B
fengyang place in anhui	70-52734-S
fengyuan city in taiwan	59-19825-S
fengzhen city in inner mongolia	59-22164-S
fennel	20-70102-B,20-70102-S,54-10377-B,54-10513-B
fennel seed	54-10574-B
fenugreek	52-22704-B
fenugreek leaves	54-60219-B
fenxi place in shanxi	37-2190-S
fenyang place in shanxi	37-2250-S
fenyi country in xinyu 新餘 新余	8-51259-B,8-51328-B
fenyuan village in taiwan	53-53409-S
feral child	64-3371-B
ferdinand foch 1851 1929	47-5287-B
ferdinand name	23-32877-B
ferdinand von richthofen 1833 1905	33-2174-B,63-54722-B
ferenc franz liszt 1811 1886	33-2977-B
ferghana valley in modern uzbekistan	59-47228-S
ferghana valley in uzbekhistan	59-47029-S,59-47118-S
fermat 1601 1665	59-47343-S
fermat s last theorem	59-47414-B
ferment	44-35118-B,63-44225-B,63-51258-S,63-51773-B
ferment alcohol	63-51218-S
fermentation	63-43926-B
fermented beans	59-18594-S
fermented soybeans	49-17806-S,53-17563-S
fermenting grain	49-1097-B
fermentogen	63-44262-B
fermiana platanifolia	34-15430-S
fermion	59-47756-B
fermium	65-1245-B
fermium fm100	65-1275-B
fern	55-15576-B,55-27887-B,55-43051-S
ferocious	7-1680-B,7-2212-B,8-30894-B,11-37024-B,25-6587-B,42-11827-S,42-11882-B
ferocious appearance	7-2395-B
ferocious appearance 成语 saw	7-2453-S
ferocious beast	42-12168-B
ferocious mythological animal	69-20417-B
ferox	53-52017-S
ferrari	37-31730-B
ferret	42-15235-S,67-17326-B
ferret out	28-49316-S,33-46369-S,33-46544-B
ferret out undesirable elements	38-61968-S
ferric chloride fecl3	1-36874-B
ferric oxide fe2o3	60-7329-B
ferris wheel	29-539-B
ferrous	3-64887-B
ferrous metals	32-39151-S
ferrous metals all metals excluding iron	32-39292-S
ferrous metals i e iron	71-32741-B
ferrous sulfate	46-24847-B
ferrous sulfate feso4 7h2o	44-58620-S,49-65833-S
ferruginea	60-7418-S,71-25342-S
ferry	3-14025-S,29-30250-B,37-4307-S,39-2024-S,39-2145-B,39-2250-B,39-2290-S,40-8922-B,62-46720-S
ferry bridge	37-58714-S
ferry crossing	37-58491-S
ferry ship	39-2330-B
ferry terminal	17-47823-S
ferrying passengers between train stations on two different rail lines	28-28699-S
fertile	16-60355-B,37-2824-B,52-10923-B,52-11023-B,52-11561-B,52-12016-B,52-44141-B,59-22448-S
fertile agricultural land	49-113-S
fertile arable soil of loess plateau	16-22385-B
fertile isotope	12-17163-B
fertile land	37-2984-B,37-3826-B,53-42304-B,59-21750-S
fertile of land	52-11302-B
fertile soil	16-6882-B,37-3028-B,37-3770-S
fertility	17-46138-S,18-62950-S,19-809-S,43-21693-B,43-29201-B
fertility of soil	52-10971-B,61-15534-S
fertilization	19-13898-S,70-6249-S
fertilize	30-66626-B,37-3870-S
fertilize land by flooding	38-44221-S
fertilized	11-63610-B
fertilized ovum	11-63686-B
fertilized ovum to the uterus	39-27828-S
fertilizer	10-24509-B,52-11384-S,52-11446-B,52-11601-S,61-59417-S,69-10082-S,69-10666-S
fertilizer i e organic farming	40-62544-S
fervent	25-52958-B,29-3021-B,40-22605-B,41-17619-B,41-17953-B
fervor	25-10278-S,40-4840-B,41-21844-B
fes third largest city of morocco	67-65413-B
feso4 7h2o	44-58620-S,49-65833-S
fester	39-64383-S
festering boil	38-5513-B
festival	1-27400-S,1-27453-S,1-48103-S,2-76974-S,6-61672-S,20-9857-S,21-23768-S,22-49111-S,28-10642-S,29-41878-S,32-29138-S,38-61380-S,41-43168-S,46-47609-S,48-28185-B,48-28880-B,48-29155-B,54-47087-S,61-45733-S,62-37974-S,62-48136-S,64-2372-S,64-2422-S,67-4693-S,67-30323-S,68-14529-S,69-24970-S
festival 15th of first month of lunar calendar	41-25328-S
festival 5th day of 5th lunar month	47-65334-S,63-55641-S,63-56737-S
festival and awards	64-17714-S
festival at thai new year 13th 15th april	39-56895-S
festival celebrating the holy spirit	51-49306-S
festival chinese new year	31-35217-S
festival couplets	31-35351-S
festival entertainment lion dance	46-50017-B
festival family reunion	15-28819-S
festival forty days after easter	51-40842-S
festival is over	62-48136-S
festival of sacrifice on tenth of twelfth month of muslim lunar calendar	12-3790-S
festival on 15th april marking sakyamuni s birthday	55-24118-S
festival on 15th august	51-47876-S
festival on 15th day of 7th moon	2-50380-S,2-50457-S
festival on 15th of 8th lunar month	2-77033-S
festival on 25th march	17-43830-S
festival on 2nd february	51-48687-S
festival on 2nd november	54-48411-S
festival on lunar 15th august	32-26708-S,53-56819-S
festival on second thursday after whit sunday	16-281-S,51-52794-S
festival one week before easter	34-21219-S
festival or yogurt banquet	63-44716-S,67-17516-S,67-17589-S
festival picture	22-49033-S
festival poem by tang wang wei s 王維 王维	3-19248-S
festival season	48-29204-B
festival the 5th day of the 5th lunar month	3-51082-S,47-65421-S
festival travel season	31-35664-S
festival 元宵節 元宵节	31-34043-S,53-58238-S
festival 清明節 清明节	20-9857-S
festive day	5-11314-B
festive day tang poet wang wei s 王維 王维 remembering his brother	36-6518-S
festoon	49-41371-S,53-55691-S
festooned for celebration	53-61050-S
fetch	11-57709-S,26-40322-S
fetch the scriptures	11-58801-S
fetched	41-63423-S
fetched analogies	47-52464-S
fetched and hard to believe	41-63504-S
fetched interpretation	32-46090-S
fetish	26-4086-S
fetishism	27-46104-B
fetishist	26-4143-S
fetoprotein afp	43-39938-S
fetter	64-20442-S
fetter for punishment	33-39813-S
fetter lock to restrain horse	64-59335-B
fettered by fame and locked up by riches 成语 saw	12-59425-S
fetters	33-12225-B,33-39904-S,34-5371-B,34-12997-B,52-44088-B,64-20442-B,64-32672-B
fettling	56-57693-B
fetus	39-24544-S,52-19085-B,52-19162-B,52-19754-B,52-38990-S
fetus to uterus before the development of the placenta	11-25908-S
fetus with deformity	24-65762-B
feud	2-37686-B,4-21698-B,19-66352-B,49-40025-S,59-13018-B
feudal	10-56373-S,20-33156-B
feudal and semi colonial the official marxist description of china in the late qing and under the guomindang	10-56431-S
feudal chief	67-48785-B
feudal china	8-2849-S,11-6449-S,19-58401-S,56-36821-S
feudal chinese ministry of revenue	26-25381-B
feudal court	52-54011-S
feudal estate	20-670-B
feudal fiefdom	20-32762-B
feudal han and introduce modern prefectures refers to reorganization during meiji japan	23-9654-S
feudal land	54-21368-B
feudal lord	17-9450-S
feudal noble	15-64442-S,63-52312-S
feudal official	19-41604-B
feudal overlord and you control his vassals	28-1416-S
feudal overlord and you control the whole country	28-1260-S
feudal princes	58-47484-B
feudal ruler	20-33198-B
feudal society	20-32762-S,20-33389-B
feudal society 封建社會 封建社会 in marxist theory	18-23321-S
feudal state	33-10887-S,63-19398-S,63-20345-S,63-20489-S,63-20737-S,63-21526-S,63-21732-S,63-31541-S,63-31740-S,63-32568-S,63-33609-S,63-35841-S
feudal system	8-51708-S
feudal tenant corvée	22-103-S
feudal term of praise for ruler	51-49238-B
feudal times	5-51057-S
feudal vassal	58-47484-B
feudal view esteeming men above women	63-62586-S
feudal warlord	19-63874-S
feudal yamen	22-103-S
feudalism	20-33257-B,20-33323-B
feudatories rebellion against qing 1673 1681 during the reign of kangxi	1-40816-S
feuerbach 1804 1872	59-46948-S
feuilles	56-8977-S
fever	8-5728-S,8-45034-S,9-31899-S,11-70092-S,14-5127-S,15-41445-S,18-824-S,22-16247-S,25-32-S,26-18215-S,30-32762-S,37-40807-S,38-31219-S,38-31306-S,41-21129-B,41-26069-B,42-13364-S,43-33024-S,43-33024-S,44-8267-S,44-25408-S,44-25408-S,44-31118-S,44-45775-S,46-42203-S,52-40352-S,53-59133-S,53-59216-S,55-29502-S,57-51277-S,57-53767-B,61-62521-S,68-56299-S,70-17763-S,70-17803-B,70-17803-S,70-17952-B,71-2578-S,71-21335-S,71-50236-S
fever bilharzia or schistosomiasis	50-60366-S
fever dhf	8-44926-S
fever in chinese medicine	57-50723-S
fever or mediterranean fever	22-16247-S
fever reaching a certain temperature	41-26189-S
fever up to 38 c	4-68534-S,4-68591-S
fever virus	56-55306-S,71-21394-S
fever with renal syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
feverish	44-31015-B
few	1-1610-S,2-6572-S,3-57436-B,7-43173-S,8-28908-S,16-6797-B,18-28128-S,20-11226-B,20-11644-S,20-11691-S,20-60249-B,21-3250-B,21-4176-B,21-5161-S,21-7682-B,22-55842-S,22-56877-S,30-19756-S,62-44463-S,67-20647-S,70-43034-B
few and far between	20-11778-B
few branches	21-4777-S
few days	2-13735-S,11-24647-S,22-57566-S,31-16142-S,61-48167-S,61-48167-S,62-5361-S
few days ago	31-5898-S
few days time	2-13735-S
few drinks	68-61851-S
few months	22-56997-S
few terms	68-46118-S
few words	7-44012-S,32-54870-S,71-41423-S,71-41576-S
few words to clinch the point	43-59492-S,71-41034-S
few years	22-57632-S,32-21361-S,61-48099-S
few years ago	12-7775-S,12-7775-S
fi	30-32084-S
fiancé	32-57573-B
fiancée	32-57624-B
fiat	54-36912-B
fiat currency	37-30844-B
fiber	2-44840-S,4-17088-S,7-8420-S,7-11992-S,7-12669-S,10-14261-S,10-23082-S,10-24460-S,12-33881-S,14-19329-S,16-59120-S,39-27979-S,42-42192-S,46-32826-S,50-47278-B,50-47776-S,50-47828-S,51-55870-S,52-48192-S,63-47356-S,71-13912-S
fiber bundle math 	50-47318-B
fiber by fluffing	23-49892-S
fiber distributed data interface	7-12072-B,7-12222-B,7-12360-B
fiber optic	7-11992-B
fiber used for rope or sacks	71-25761-S
fiberglass	42-42192-B,42-42269-B
fibers in the brain	52-39972-S
fibers like horse s tail applies to various plants	69-36225-S
fibers of hemp	49-55510-S
fibers or branches	64-28661-S
fibre	52-35921-S,60-61170-S
fibre flour	4-68863-S
fibre made of jute	71-15642-S
fibril	11-35163-B
fibrillation	24-33563-S
fibromyalgia	50-47581-B
fibrosis	50-47385-S
fibrous	50-47471-B
fibrous plant	54-22480-B
fibrous protein	50-47704-B
