aftermath	9-63364-B,24-56-B
against emperor wu of han 漢武帝 汉武帝	21-63021-S
against epidemic	65-62518-S
against espionage	11-55582-S
against evil spirits	48-6859-S
against expectations	6-11306-B
against fire	65-62203-S
against floods	27-5889-S
against fraud	23-51142-S
against honest people	40-33077-S
against humanity	11-43867-S,11-43999-S
against injustice	2-7425-S
against it 成语 saw	5-2623-S
against japan 1937 1945	27-5101-S
against liang of the southern dynasties 南朝梁 in 548	5-26431-S
against mao s line during the 1930s	8-12007-S
against natural disasters	6-29577-S,27-5947-S,65-62427-S
against one s conscience	31-36619-B,31-36775-S
against one s own convictions	62-57055-S
against one s will	2-8746-S,62-56960-B
against one way traffic regulation	61-68100-S
against orders	27-4346-B,62-55687-S
against poison	65-61053-S
against poison gas	65-61053-S
against pornography	28-11570-S,28-11634-S
against public order	7-55875-S
against qing 1673 1681 during the reign of kangxi	1-40816-S
against rule	62-57528-S
against sb	13-8923-S,13-55399-S,20-44732-S,21-34372-S,35-14143-S,35-49775-S,50-61840-S,51-22762-S,58-29886-S
against sb and show no mercy 成语 saw	11-52620-S,61-30250-S
against sb s life	58-50668-S
against sb with a manager	13-9193-S
against siege	11-46026-S
against sth	10-11030-S
against the alveolar ridge	9-26190-S
against the bristles brush movement in painting	27-9803-B
against the communists	9-38657-S,14-45852-S
against the communists from 1930 onwards	15-21401-S
against the communists in shanghai	14-45479-S
against the current	61-67384-B
against the current 成语 saw	61-67446-S
against the government	1-68297-S
against the guomindang s encircle and annihilate campaign	11-45906-S
against the idea	51-11461-S
against the law	68-20879-S
against the law or discipline	2-32741-B
against the opinion of the masses 成语 saw	9-46557-S
against the people of soldiers	47-15074-S
against the qing of 1670s	1-40950-S
against the rules	45-63852-S
against the soft palate	24-3194-S
against the state	18-24874-S,18-25354-S,58-50307-S
against the stream	61-67581-B
against the tide 成语 saw	5-60574-S,61-68194-S
against the treaty of versailles	3-48098-S,3-48299-S
against the trend	61-67581-S
against the wind	61-68766-S,68-20879-B
against the wind sailing	28-62680-S
against time	13-23133-S,53-22339-S
against using the personal names of emperors or one s elders	63-7483-S
against war	6-28640-S
against wear and tear	51-37182-S
against wind	14-23522-B
against women	38-33701-S
against yuan shikai	59-4575-S
against yuan shikai and for the republic	11-53542-S
against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
agallocha	37-7847-S
agamemnon	3-59609-B
agape and tongue tied 成语 saw	23-37900-B
agar	37-51942-B
agar plant jelly from seaweed gelidium amansii	43-8302-B
agarwood tree aquilaria agallocha	37-7847-B
agate	42-61069-B,43-636-B,43-1405-B,46-12543-B,50-26080-S
agave americana poisonous desert plant of mexico	71-61408-B
agcl	64-26073-S
agder	32-15168-S,34-100-S,65-66892-S
age	1-707-B,1-28440-S,2-37414-B,2-37519-S,2-78833-S,3-47162-S,4-22156-S,4-30112-B,5-44596-S,7-37165-S,7-37290-S,8-17723-S,8-18028-S,8-18477-S,8-18540-S,10-59352-S,11-22258-S,12-52957-S,16-39105-S,16-39105-S,18-54203-S,19-19794-S,22-47102-B,22-47192-S,22-48982-S,22-48982-B,22-49210-B,22-49377-B,22-50739-S,22-62001-B,30-49320-S,30-53031-S,30-53341-S,31-17174-B,31-34166-S,31-39189-B,31-65482-S,31-65545-S,32-44015-S,32-59434-S,42-48858-S,42-50269-S,43-64796-S,43-64882-S,43-64997-S,43-65728-S,44-48250-S,44-63136-S,44-63362-S,45-4138-S,46-5067-S,49-2425-B,49-44883-S,51-26107-S,51-28301-S,53-28904-S,54-50672-S,56-48342-S,56-48342-S,62-64866-S,66-29902-S,67-59063-S,69-10433-S,69-16916-S,69-16995-S,70-12836-S,70-12836-S,71-46974-S,71-56116-B,71-56562-S
age a girl s fifteenth birthday	11-42687-S
age and experience	22-49569-B
age at death	49-35454-B
age ceremony at 20 years	9-51588-S
age in conjugal bliss	44-48302-S,44-48490-S
age insurance	69-12273-S
age limit	22-50403-B
age movement	30-53341-S
age music music genre	30-53411-S
age number of years old	35-50693-B
age of cattle	11-70754-B
age of five	69-63778-S
age of one s mother	4-58819-S
age of person or object	51-25935-S
age of qing dynasty from kang xi to qian long emperors	23-1219-S
age of service to the party	71-45685-B
age old	12-4985-B
age or number	14-497-S
age person	30-43737-S
age reckoning	55-53240-S
age to age	2-37519-S
age 成语 saw	20-28882-S,44-48302-S,44-48490-S
aged	2-70562-S,3-163-S,22-49338-B,22-50071-B,22-63406-S,30-12239-S,30-68101-B,51-24999-S,51-31066-B,51-32047-B,51-34647-B,51-34797-B,55-3809-B
aged and elderly people	2-78899-S
aged and respected	22-48171-B
aged enzyme	51-26010-B
aged gentleman dialect	51-26566-B
ageing population	51-32096-B
agence france presse	37-31974-B
agencies	16-51752-S
agency	2-40533-S,2-60789-S,2-66646-S,15-6136-S,15-6805-S,15-15474-S,15-16789-S,19-21358-S,25-12998-S,25-13131-S,25-13195-S,27-43033-S,30-55005-S,30-55137-S,30-56068-S,30-68610-S,32-47459-S,32-50113-S,35-4347-B,37-31974-S,38-15501-S,47-3118-S,51-60906-S,51-64039-S,53-11833-S,60-43839-S,60-43893-S,60-65079-S,61-34798-B,68-11638-S,68-12751-S
agency abbr 	2-71774-S
agency and nobel laureate	22-6078-S
agency caea	2-55335-S
agency iaea	15-15596-S
agency japan	59-724-S
agency kcna	32-49987-S
agency of russia	16-17427-S
agency taiwan	2-67471-S
agenda	8-65919-S,9-3923-S,19-30355-S,59-3688-B
agendas	12-46834-S
agent	3-8539-B,4-32475-B,4-33720-S,5-14794-S,5-39919-S,7-41842-S,9-13274-S,9-69024-B,10-22166-S,11-30910-B,16-27300-S,27-56250-S,28-22556-S,30-65313-S,31-53147-S,31-61376-S,32-35652-S,36-6943-S,36-32315-S,37-53287-S,37-53531-S,40-8527-S,41-57330-S,43-23743-S,43-24736-S,43-24736-S,46-59590-S,47-54804-S,49-61747-B,52-34143-S,52-54571-S,53-19434-S,57-61065-S,62-16933-S,63-9774-S
agent blue	55-29743-B
agent computer	2-49219-B
agent e g adjusting acidity of food	2-52366-S
agent e g adjusting taste of medicine	46-2140-S
agent e g peppermint in toothpaste	46-2140-S,58-36395-S
agent for a production unit or firm	10-19174-S
agent in detergents	40-43110-S
agent orange	35-1769-B,35-1978-B,35-2035-B
agent provocateur on forums etc	50-6090-S,50-7789-S,50-9640-S
agent squad	9-3302-S
agent white	44-44603-B
agents	30-18046-S,38-53635-S
agents in our midst	30-18106-S
ages	2-48957-S,10-49827-S,23-66860-S,25-7961-S,54-42939-S,58-2811-S
ages before civilization	39-8323-S
ages immemorial	51-14984-S
ages over the last 180	48-13034-S
ages suitable for getting married	62-64926-B
aggie	53-47198-B
agglomerate ore by burning	41-27406-S
agglutinate	71-28519-S
agglutination	8-28690-B
agglutinative	8-28737-B
agglutinative language e g turkish and japanese	71-28686-B
agglutinin	8-28793-B
aggravate	9-52586-S,25-24798-S,59-9647-S,62-34248-S
aggravate a situation	40-19642-S,40-19806-S
aggregate	51-54031-B,66-57127-B,66-58288-B
aggregate demand	50-36099-B
aggregate profit	50-32817-B
aggregate return	50-33286-B
aggregate risk	50-36429-B
aggregate sand or gravel used in concrete 混凝土	70-318-B
aggregate social demand	46-49557-B
aggregate supply	50-31761-B
aggregation	8-28153-B
aggression	3-44483-S,7-28483-S,16-47759-S
aggressive	13-21082-B,24-49809-B,32-40024-B,36-26676-B
aggressors	5-27768-B,61-66699-S
agile	9-7851-B,28-50565-B,61-10092-B,61-10287-B,67-51504-B,67-52407-B,67-52454-B
agile of mind	24-55789-B
agilis	42-13484-S
agility	35-3426-B,60-56455-B
agio charge for changing currency	59-48329-B
agitate	29-36803-S,40-4618-S,45-14367-S,69-62279-S,71-40529-S,71-47822-S
agitate for	71-47943-S
agitated	4-46161-B,6-17914-B,24-47402-B,25-44583-B,44-29144-S
agitated wind	37-48984-B
agitatedly	9-65595-B
agitation	29-31371-B
agkistrodon acutus	44-44914-S
agnes smedley 1892 1950	12-21871-B,53-47522-B
agnosia	58-21926-B
agnosticism	1-77066-B
agnus dei section of catholic mass	66-6259-B
ago	1-38228-S,1-43159-S,1-49767-S,1-66101-S,2-72538-S,2-76192-S,3-10742-B,3-39607-S,3-41884-S,4-36353-B,5-21400-S,6-61320-S,9-17803-B,9-19644-S,9-27486-S,9-28640-S,10-49364-S,12-2632-S,12-4052-S,12-7775-S,12-7775-S,15-60488-S,17-56714-S,17-56809-S,18-17004-S,18-38499-S,20-9526-S,22-47711-S,24-44979-S,31-5898-S,31-13560-S,32-8103-S,32-15821-S,37-43507-S,39-55385-S,44-37935-S,46-8870-S,48-10262-S,51-28677-S,53-40533-S,54-44986-S,60-37108-S,65-15381-S,67-40305-S,68-21088-S
agonist	3-16474-S
agonist used in treating asthma	37-14372-S
agonize	41-10122-B
agonized	45-57212-S,53-67703-B
agony	41-10122-B
agoraphobia	24-69370-B
agoraphobia fear of wide open spaces	23-11442-B,23-11540-B
agr immature soil	43-19845-B
agraphia	32-10527-B
agree	12-47705-S,13-59203-S,18-6236-S,26-61212-S,27-948-S,39-60810-B,48-20395-B,48-20728-S,51-19046-B,52-12974-S,54-13616-B,57-56606-S,71-63972-S
agree among the part	45-28700-S
agree implicitly	8-15453-S,31-60674-S
agree on a meeting place	45-30313-S
agree on the right choice	54-26244-S
agree or tally with	2-23276-S
agree tacitly	71-36939-S
agree to and sign a treaty etc	48-40985-S
agree to differ	36-53676-S
agree to pay compensation	58-22228-S
agree to x than y	25-16073-S
agree with	20-55111-S,48-6114-S
agree with a glance	45-52361-S
agree with one another	62-25127-S
agree with sb	47-38518-S
agree with that	20-46297-S
agree with you	58-29577-S
agree without prior consultation	2-29887-B
agree 成语 saw	54-4910-S
agreeable	18-51249-B,18-52857-S,27-2297-B,47-34624-B,56-10725-B,62-65203-B,68-24000-B,68-27014-B
agreeable news	2-79118-S
agreed to hand back yili province to qing china in exchange for compensation payment and unequal treaty rights	29-45849-S
agreeing	23-46757-S
agreeing with	18-6236-B
agreeing with one another	45-28919-B
agreement	6-16862-S,7-63445-S,10-64305-B,10-64495-S,10-64939-B,10-65409-B,12-37889-S,12-44876-S,16-64092-S,18-6236-B,18-6525-B,18-53337-S,19-46898-S,21-26204-S,21-26473-S,25-59056-S,33-55944-S,48-40928-S,49-3835-B,49-8170-S,50-18671-S,52-18252-S,53-29067-S,57-33917-S,57-53116-S,58-31704-S,58-39214-S,60-47142-S,62-53513-S,62-58231-S,62-68298-S,71-36055-S
agreement between different parties	16-64092-S
agreement between people and new dynastic government	49-5886-S
agreement e g paying one s bill in a restaurant	49-4909-S
agreement of 1978 brokered by president jimmy carter between israel and egypt	17-34511-S
agreement of 1991	2-49971-S
agreement with	2-23276-S,12-51574-S
agreement yes	13-49611-S
agrees with anything	18-27661-S
agregé holder of teaching certificate	32-22821-S
agressiveness	67-49307-B
agricultural activities	61-39476-B
agricultural affairs	36-19134-B
agricultural bank of china	2-64206-B
agricultural chemical	61-42652-B
agricultural experience for city intellectuals	1-48934-S
agricultural fertilizer i e organic farming	40-62544-S
agricultural land	49-113-S,53-42304-S
agricultural land to forest	61-62722-S
agricultural machinery	61-41484-B,61-41966-B
agricultural pest gryllotalpa	15-31755-S,17-53423-S
agricultural produce	61-42388-B
agricultural producers cooperative	61-41657-B
agricultural producers cooperative etc	12-32022-S
agricultural region	61-41304-B
agricultural science	61-40207-B
agricultural slave	51-37858-B
agricultural worker	61-40491-B
agriculturalists pre han school of thought	61-39754-B
agriculture	2-82346-S,10-11529-S,10-11634-S,16-30828-S,23-23193-S,27-32583-S,29-41768-S,41-27599-S,49-462-S,61-39394-B,61-41071-S,61-41251-B,61-41561-S,61-41783-S,61-42607-B,61-42722-S,65-35517-S
agriculture disastrous policy of communist russia around 1930 and china in the 1950s	4-11991-S
agriculture in ancient philosophy	1-56309-S,64-1540-S
agriculture in han dynasty	10-11692-S
agriculture in marxist theory	61-40953-S,61-41367-S
agriculture products	61-42319-B
agriculture under communism	61-41852-S,66-60439-S
agrypnotic	28-41051-B,28-41205-B
agrégation exam for teaching diploma in french universities	32-22959-B
agunnaryd	19-49280-S
ah	13-62025-B
ahaz	22-21942-S
ahaz son of jotham	3-58331-B
ahead	1-15414-S,9-21084-B,9-24921-S,9-26017-B,9-26083-B,21-22216-S,25-29467-S,41-8712-S,41-30084-S,45-54309-S,55-49299-S,60-47348-S,62-29311-S,62-64661-S,68-30412-S
ahead assertion	35-34597-S
ahead esp in the face of difficulties	61-44692-S
ahead in the face of hardships and danger	29-31872-S
ahead in work or study	56-30838-S
ahead of his time	43-18074-B
ahead of schedule	28-39873-B
ahead regardless of the danger	18-18001-S
ahead vigorously	48-58546-S
ahead whatever happens of an arrangement or plan	67-23076-S
aheqi place in xinjiang	65-68868-S
ahmadinejad 1956 	7-32369-S,53-46873-S
ahmadinejad or ahmadinezhad persian name	53-46873-B
ahmadinezhad persian name	53-46873-S
ahmed name	53-46717-B
ahmedabad	53-46782-B
ai	4-8883-S,53-46578-S
ai 238 bc	18-60142-S
ai qing 1910 1996	53-48782-B
ai 嫪毐	36-6786-S
aibi in xinjiang	53-47747-S
aichi japanese prefecture around nagoya	25-36956-B
aichi prefecture	25-37030-B
aichih 346 407	68-49428-S
aid	4-17476-S,4-17558-S,9-36000-S,10-63976-B,16-47940-S,22-35549-B,24-58936-S,27-48029-S,28-50876-S,28-50973-S,28-50973-B,29-63686-B,29-64977-S,40-8922-B,45-28420-S,57-2550-S,59-50871-S,59-54506-S,59-54630-S,60-62954-S
aid agency	2-40533-S
aid and support	61-18044-S
aid committee of prc ministry of civil affairs 民政部	29-64721-S
aid in government	59-52142-S
aid loan	63-18262-S
aid north korea in 1950	2-53067-S
aid of	28-51207-S
aid office	24-58998-S
aid to urgent 成语 saw	50-22471-S
aide	57-37989-S,61-8868-S
aide george stephanopoulos	30-41597-S
aide memoire	6-28556-B
aided design	57-60287-S,67-35476-S
aided design and drawing	67-35574-S
aided engineering	67-35264-S
aided instruction	67-35371-S
aids	53-47820-B
aids acquired immune deficiency syndrome	25-36074-S
aids and advisors of top official	22-34220-B
aids antibody	53-47947-B
aids loan word	53-48475-B
aids patient	53-47868-B
aids virus	25-36172-S,53-48026-S,53-48130-B
aig	11-43498-S
aigun	43-3975-S
aijing 1945 	68-12224-S
aikido japanese martial art	12-34912-B
ail	53-67551-B
ailanthoides	34-59817-S,55-32123-S
ailment	19-67545-S,25-22494-S,44-7066-B,44-8360-B,44-11907-B
ailuropoda melanoleuca	17-26974-S
aim	11-6045-B,19-39885-B,20-52459-B,26-8098-S,31-12756-B,34-55223-B,44-59049-B,45-17986-B,45-57987-S,61-31367-S
aim a weapon at a target	45-58017-S
aim at	64-18702-S
aim for a higher standard	45-58017-S
aim gun	41-8202-S
aim if you try hard without giving up	36-43354-S,39-33050-S,39-33298-S
aim low	38-56665-S
aim to get by	38-56665-S
aim 成语 saw	40-57922-S
aimag province of mongolia	2-67285-S
aimed at the masses	36-23189-S
aiming for the best result	9-46939-B
aimless	45-19998-B
aimlessly	5-45223-S,57-63266-S,70-31726-S
aimlessly all over the place 成语 saw	14-51661-S
aimlessly with no tenured position	42-59084-S
aims	17-17619-S
aims but modest ability 成语 saw	45-52491-S
ain t what they used to be	4-23224-S
ainu	25-33583-B,25-33619-B
air	7-23398-S,10-59562-S,10-59562-S,12-67865-S,15-2302-S,20-9677-S,29-7752-S,30-34996-S,31-57876-S,32-2431-S,34-59369-B,36-24125-B,36-24927-B,36-28238-B,36-28910-S,39-6439-S,39-6513-S,40-16516-S,40-57922-S,41-2530-S,41-22752-S,41-42480-S,45-16023-S,47-44965-B,47-45059-S,47-47591-S,47-48018-B,47-48423-S,47-49454-S,49-16613-S,49-16876-S,53-36255-S,55-16876-S,58-33549-S,62-12359-S,65-42835-S,68-56703-B,68-59859-S,68-60641-S,68-61155-S,68-63289-S,68-64468-S
air and breathe in fresh 成语 saw	12-60195-S
air balloon	41-19933-S
air base	47-50141-B
air bladder of fish	70-47025-B
air block	36-27632-B
air blower	71-48850-B
air bottle	36-29334-B
air bridge	44-24138-B
air bubble	36-28045-B
air cavity	20-66259-S
air chief marshal	1-48603-B
air commodore	47-50044-B
air conditioned vehicle	47-49716-B
air conditioner	8-21570-B,47-48564-B
air conditioning	47-49664-B
air conditioning used in taiwan	8-21503-B
air craft fire	20-53840-S
air cushion as on hovercraft	36-27728-B
air cushion vehicle	36-27792-B
air defense	47-50480-B
air distance	53-34951-S
air dose	47-48066-B
air drop	47-47591-B
air duct	36-29453-B,36-30982-B
air flow	47-47965-B
air force	38-23049-S,47-50000-B,47-50044-S,47-50480-B
air force plaaf	2-53680-S
air france	37-30077-B,37-30144-B,37-33175-B
air from a tyre	37-60178-S
air gun	36-28548-S
air hostess	47-45200-B,47-46147-B
air india	11-19681-B
air india abbr 	11-21193-B
air intake vent	7-26090-B
air into	13-5837-S
air lock	47-48485-B
air mail	53-36537-B
air mail etc	22-37398-S
air marshal	2-69148-B
air military base	38-23113-S
air missile	15-40310-S,47-46334-S,47-46421-S
air nozzle	68-53825-S
air nuclear explosion	47-45282-B
air of a functionary	26-42825-S,26-42953-S
air of arrogance	6-32819-B
air of complacency	24-7914-S,24-8132-S
air of thickly falling snowflakes	49-24409-S
air operated	36-26236-B
air or sea voyage	53-34440-S
air or sea voyages	53-34334-S
air or shipping route	53-36114-B
air or water tight	14-41266-B
air outlet	8-40384-S,8-47360-B
air passage	36-30982-B
air pipe	36-29732-B
air pipe used to aerate granary	36-29732-S
air piracy	9-63008-B
air pollution	41-2173-B,47-48355-B
air pump	36-28823-B
air raid	47-49454-B
air raid shelter	16-34049-B,65-62836-B
air sac	36-27575-B
air sampler	47-48278-B
air sampling	47-48210-B
air self defense force	53-35835-B
air space	68-34975-S
air sucked between the teeth	14-32748-S
air taiwanese airline	65-15734-S
air tank diving	36-29334-B
air temperature	36-29013-B
air terminal	53-35775-B,53-36049-B
air ticket	35-4608-B
air to air missile	47-46334-B,47-46421-B
air transport	47-50204-B
air transport association	15-19118-S
air vent	8-47360-B,62-16010-B,62-16089-B,68-53825-B
air vice marshal	21-3707-B
air war	47-47258-B
air warfare	47-47258-B
air with fog	40-16516-S
air 成语 saw	47-45389-S
airborne	47-50537-B
airborne or space operation	15-46401-S
airburst	47-45282-S
airbus aircraft company	47-45117-B
aircraft	6-20475-S,10-64189-S,14-36813-S,15-55205-S,15-55525-S,26-18703-S,26-20599-S,29-47747-S,30-4091-S,33-62864-S,35-4854-S,35-5304-S,36-28910-S,37-42276-S,46-453-S,50-22235-S,53-35282-B,60-65746-S,61-31830-S,68-582-S
aircraft boarding bridge	44-24138-B,44-24483-B
aircraft carrier	21-2822-S,26-20662-S,33-55772-S,53-34500-B,53-35462-B,53-35536-S
aircraft company	47-45117-S
aircraft defense	11-52095-S,65-62779-S
aircraft gun	70-13391-S
aircraft hangar	35-3377-B
aircraft parking ground	6-16535-B
aircraft take off and landing gear	60-18095-B
aircraft type	70-31348-S
aires capital of argentina	22-14623-S
airfield	35-2920-B,53-35709-B,60-17957-B
airflow	36-28910-B
airflow orifice	62-10348-B
airline	15-11240-S,53-35201-B,65-15734-S,66-11074-S
airline company	53-35201-B
airline emblem	53-34049-B
airline jal	31-9593-S,31-11745-S
airline or company vehicle	16-18749-S
airliner	42-47154-B
airlines	51-5061-S,51-5136-S,51-60661-S,51-63055-S,57-13380-S
airlines dragon air	39-6439-S,39-6513-S
airlock	36-27632-B
airmail	53-35983-B
airmail letter	53-35140-B
airplane	3-12712-S,42-47154-B,53-39420-S,60-18976-S,68-63639-B
airplane affectionate	64-27690-B
airplane black box	71-29158-B
airplane cabin door	68-63733-B
airplane crash	16-25958-B
airplane meal gm	68-63808-B
airplane or ship	68-38936-S
airport	6-16414-S,6-16535-S,8-41124-S,13-64859-S,15-17429-S,22-20398-S,22-20694-S,28-26451-S,35-2920-B,36-57871-S,39-28568-S,39-29504-S,40-3801-S,41-32293-S,44-24483-S,51-16115-S,55-57185-S,66-67090-S,67-10207-S,67-59831-S,68-63680-B,69-23892-S,69-24007-S
airport and city	20-40886-S
airport check in	44-24231-B
airport departure terminal	5-62555-B,5-62626-B
airport ground crew	15-39198-B
airport guangzhou	44-47858-S
airport pek	69-24007-S
airport shanghai	38-9871-S,55-57298-S
airport terminal	44-24420-B,53-36049-B
airport tokyo	26-10818-S,26-10916-S
airport workers	28-26451-S
airports	19-23833-S
airs	6-8283-S,19-42024-S,29-30092-S,29-30092-S,46-2658-S,53-13585-S,56-60983-S
airs and offend others	53-16747-S
airship	68-64739-B,68-64792-B
airsick	31-58484-S
airtight	2-33553-B,20-5859-B
airtight door	20-6211-B
airvent	28-16753-S,62-10348-S
airways aa	51-2184-S
airways ana	7-37552-S
airy	6-49794-B,55-54519-S,62-15921-B
airy feeling after a few drinks	68-61851-S
aisin gioro manchu golden clan	25-35539-B
aisle	60-11160-B,68-582-S
aisle referring to seats on a plane etc	68-670-S
aisle seat on aircraft	68-582-B
aisle vaulting in the nave of a church	27-48426-S
aiwan pavilion	25-35667-B
ajna	45-36847-S
ak	66-55268-S
ak 47 assault rifle	11-14263-S
aka tinea versicolor	53-56254-S
akasagarbha bodhisattva	55-53511-B
akbar hashemi rafsanjani	27-22010-B
akershus	24-24274-S
aketao place in xinjiang	65-67442-S
aketedu county in xinjiang on the border with kyrghizstan	65-67514-B
akihabara	47-15993-B
akihito	31-22001-B
akira	33-315-S
akira 1910 1998 japanese movie director	71-31312-S
akita prefecture in japan	47-15684-B
akita prefecture in north of honshū island	47-15594-B
akshobhya buddha	65-67892-B
aksobhya	66-13614-B
aksu district district in xinjiang	65-67268-S
aksu place in xinjiang	65-67199-S
aksu prefecture	33-47750-S,66-9521-S
aksu river in xinjiang	65-67369-B
al	64-34682-S
al amin	66-5836-B
al and other authors	48-17202-S
al azha festival of sacrifice on tenth of twelfth month of muslim lunar calendar	12-3790-S
al bashir of the sudan	22-5378-S
al dente	23-49184-B
al din ibn muhammad al najjari 13th century	32-67922-S,32-68028-S,49-30511-S,49-30616-S
al din 紮馬剌丁 扎马剌丁	54-45055-S
al fresco	67-46749-B
al gore 1948 	26-4685-B
al husseini 1929 2004	3-63858-S,66-4378-S
al jazeera arabic language news network	10-57018-B
al jazeera television	10-57353-B
al maliki c 1950 prime minister iraq from 2006	69-34254-S
al maliki name	69-34254-S
al mansur	32-15046-B
al mansur 712 775	32-15046-S
al najjari 13th century	32-67922-S,32-68028-S,49-30511-S,49-30616-S
al qaeda	15-67751-B
al qaeda 基地組織 基地组织	15-67626-S
al qudwa al husseini 1929 2004	3-63858-S,66-4378-S
al sadat	55-26525-S
al saud of saudi arabia	66-9604-S
ala	2-44180-S
ala manchu yellow rock	60-7959-S
alabama	3-59288-B,3-59347-B
alabama us state	66-3959-B
alacrity	41-42819-S,44-14638-S
aladdin	66-2477-B
alamein	66-11811-S
alamo	66-4101-B
alan	66-12036-B
alan tam 1950 	58-64083-B
alangium	7-52774-B
alanine ala	2-44180-B
alarm	14-32700-S,16-12225-S,16-12328-S,17-66329-S,40-24488-S,40-43618-S,42-10321-S,55-54588-S,59-409-S,59-409-B,59-1681-B,69-59319-B,69-59639-B,69-61337-S,69-62279-S
alarm bell	59-1992-B,59-2050-B
alarm clock	19-46016-B,70-29794-B,70-29842-B,70-29912-B
alarm e g a burglar or fire alarm	16-12328-S
alarm everyone	69-60570-S,69-60672-S,69-62601-S
alarm signal over long distance	40-43860-S
alarmed	6-17914-B,24-54168-B,54-54279-B,69-61085-B
alarming	17-4218-B
alarming is happening	37-9879-S
alarmist talk	11-23295-B
alas	13-49689-B,14-25803-S
alashan youqi place in gansu	66-3611-S
alashan zuoqi place in ningxia	66-3709-S
alaska	19-23239-S,19-23310-S,44-36320-S,52-14372-S,66-4193-B,66-4251-B
alaska almost down to kamtchatka	66-9774-S
alaska and british columbia	37-38456-S
alata kinampay or aromatic purple yam	11-40199-S
alatas	66-3875-S
alatas 1932 	66-3875-S
alba	64-27057-S
albacete	66-8600-B
albania	15-40859-S,63-27348-S,66-7859-B
albanian person	66-7927-B
albany	18-15463-B
albedo	11-51432-B
albert einstein 1879 1955	25-33076-B
albert name	66-7415-B
alberta province	66-7348-B
alberto ken ya fujimori 1938 	55-32953-B
albiflora	70-43612-S
albiflora or lactiflora	53-49275-S
albinism	44-36913-B,44-36967-B
albright us secretary of state	18-15521-S
album	6-50446-B,20-41513-B,33-31920-S,35-17898-S,41-62314-B,43-58192-S,54-39131-S,55-32206-S
albumen	55-60710-B
albumin	44-45833-B,55-60818-B
albuterol	37-14372-S,53-30631-B,66-1429-B
albuterol also known as proventil	33-48793-B
alcatel	66-7603-B
alcedo bengalensis	70-54279-B
alchemist	41-1072-B
alchemist s art	41-173-S
alchemy	41-1019-B
alcohol	6-1608-S,14-10587-S,26-6258-S,26-14267-S,43-41863-S,43-41863-S,47-1594-S,47-1662-S,63-40405-B,63-46478-B,63-51218-S
alcohol and sex 成语 saw	37-6297-S
alcohol c2h5cooh	3-32729-S
alcohol c3h7oh	2-45117-S
alcohol c4h9oh	1-25790-S
alcohol content	63-46478-S
alcohol poisoning	43-41952-S
