xīn xì xiàn	30-51633-B
xīng dǎo	31-29392-B
xīng dǎo háng xì tǒng	7-39609-S
xīng dǎo rì bào	31-29434-B
xīng dǒu	31-29604-B
xīng fèn	5-15453-S,53-23763-B
xīng fèn gāo cháo	53-23892-B
xīng fèn jì	11-52763-S,53-23816-B
xīng guó	47-19285-S,53-23344-B,53-23404-B
xīng guó xiàn	53-23478-B
xīng guāng	31-28759-B
xīng gé	70-33031-S
xīng gé lā dé bā hè	65-23656-S
xīng gāo cǎi liè	53-26121-B,53-26242-B
xīng gāo zhào	47-4655-S
xīng huà	53-23210-B
xīng huá rì bào	30-55905-B
xīng huì	54-35929-S
xīng huǒ	24-58146-S
xīng hàn	31-30841-B
xīng hào	31-31626-B
xīng hé	53-23274-B
xīng hóng	42-13321-B
xīng hóng qí	3-50719-S
xīng hóng rè	42-13364-B
xīng hóng sè	42-13423-B
xīng hǎi	8-24079-S,53-24871-B
xīng jiàn	53-24548-B
xīng jiā	11-12415-S,31-29217-B
xīng jì	24-67308-S,31-32007-B,56-33561-S
xīng jí	3-50820-S
xīng jí jiǔ diàn	3-50881-S
xīng jí tuán	1-35489-S
xīng jīng jì guó jiā	30-55542-S
xīng kuài chē	40-21628-S
xīng kōng	31-31253-B
xīng kǎi cì páng pí	53-23104-B
xīng liú diàn jī	31-30531-B
xīng liú tíng jī	31-30686-B
xīng luó qí bù	31-31406-B
xīng lì	31-29828-B
xīng lóng	43-20521-S,53-25779-B,53-25846-B
xīng lóng tái	53-25907-B
xīng lóng tái qū	53-26009-B
xīng mén	24-15819-S
xīng mìng jiā	31-28850-B
xīng míng	31-28805-B
xīng mù	66-52266-S
xīng mǎ tóu	17-47823-S
xīng nián	24-67186-S
xīng níng	53-24246-B
xīng níng shì	53-24326-B
xīng píng	53-24482-B
xīng qiú	31-30896-B
xīng qiú dà zhàn	31-30958-B
xīng qí	49-8292-S
xīng qún	31-31565-B
xīng qī	1-46411-S,1-50185-S,1-58503-S,1-60361-S,7-45720-S,31-29945-B,32-64294-S
xīng qī jǐ	31-30345-B
xīng qī liù	31-30188-B
xīng qī rì	31-30410-B
xīng qī sì	31-30241-B
xīng qī sān	31-30033-B
xīng qī tiān	31-30293-B
xīng qī wǔ	31-30138-B
xīng qī yī	31-29983-B
xīng qī èr	31-30087-B
xīng qū	17-32770-S,30-55467-S
xīng qǐ	53-25406-B
xīng rén	16-48431-S,40-21575-S,53-22950-B,64-11165-S
xīng róng	53-24819-B
xīng shuāi	53-25318-B
xīng shèng	53-24936-B
xīng shèng yú	60-21564-S
xīng shì	14-28797-S,24-28120-S,49-34670-S
xīng shí dài	24-15670-S
xīng shù	11-12529-S
xīng shān	53-24417-B
xīng shēng mìng	16-48506-S
xīng shī	11-12472-S
xīng tuán	31-28965-B
xīng tàn	4-39986-S,32-46573-S
xīng tú	31-28921-B,56-37450-S
xīng tú xiàng	56-37510-S
xīng tǐ	31-32226-B,38-3893-S,68-47733-S
xīng wàng	53-24664-B
xīng wáng	53-22879-B
xīng wèi ài	30-63941-S
xīng wén	53-24599-B
xīng xing	31-29644-B,42-13277-B
xīng xing zhī huǒ	31-29694-B
xīng xiàn	18-39097-S,53-24988-B
xīng xiàng	31-31717-B
xīng xiàng shī	31-31138-B
xīng xiàng tú	31-31024-B,31-31779-B
xīng xiàng xué	31-31081-B
xīng xiàng è yào	31-31869-B
xīng xiù	31-29281-B
xīng xiù hǎi	31-29336-B
xīng xiāng	1-35409-S,24-15741-S,47-5822-S
xīng xiāng shù	31-31196-B
xīng xué	11-12359-S
xīng xì	4-28602-S,4-28782-S,31-0-S,31-31366-B,34-20563-S,37-19659-S
xīng xíng wǎng	31-29013-B
xīng xīn cūn	2-79477-S
xīng xīng	17-27527-S,71-31571-S
xīng yào	31-29881-B
xīng yè mèi	16-52636-S
xīng yè yín háng	53-24742-B
xīng yì	53-25045-B
xīng yì shì	53-25102-B
xīng yún	1-40417-S,4-4556-S,4-28475-S,11-46932-S,31-32068-B,31-61431-S,40-16698-S,42-24542-S,44-27896-S,46-42454-S,69-42844-S,69-44326-S,71-1466-S
xīng yún biǎo	31-32109-B
xīng yǔ	38-3835-S
xīng zhōng huì	53-22811-B
xīng zhōu	18-47274-S
xīng zhōu rì bào	31-30460-B
xīng zuò	4-28689-S,10-43097-S,31-29556-B
xīng zǐ	31-29073-B
xīng zǐ xiàn	31-29139-B
xīng ān	53-23975-B
xīng ān lǐn dì qū	17-32866-S
xīng ān méng	53-24054-B
xīng ān yùn hé	53-24114-B
xū	2-14755-S,2-44104-S,3-14099-S,4-52912-S,5-23586-S,6-15625-S,11-27335-S,12-25972-B,12-28818-S,13-5442-S,13-15908-B,14-6357-S,14-34149-B,16-28143-B,16-36625-S,18-60562-B,18-62060-B,22-62496-S,23-8494-S,23-41323-S,24-38723-S,24-41944-S,24-42069-S,24-60336-S,26-5462-S,26-6304-B,26-30052-S,27-63512-S,28-8399-S,29-60107-S,31-17095-B,35-22739-B,35-31061-B,35-66014-S,36-27277-S,38-51200-S,40-64073-S,40-64226-S,41-62526-S,42-28370-S,43-40044-S,45-19324-B,47-49392-S,50-25066-B,50-42526-B,51-34982-S,52-23253-B,55-50714-B,57-55338-S,57-63906-B,58-53696-S,61-1139-S,63-6878-S,65-6217-B,67-39436-B,67-65058-S,68-27494-B,68-44936-S,70-27785-S,70-28144-B
xū biàn fǎ	26-5949-S
xū bào	55-51169-B
xū chuán	12-53496-S
xū chū bǎn	27-63573-S
xū cǐ xíng	2-27385-S
xū diàn lù	3-69660-S,36-48626-S,55-54457-B
xū fà	70-28230-B
xū fēn pèi	27-63647-S
xū gòu	12-62705-S,55-53134-B
xū gòu xiǎo shuō	55-53176-B
xū gǒu	26-6355-B
xū huàn	55-51375-B
xū huái ruò gǔ	55-51851-B
xū huǎng	55-54309-B
xū hán wèn nuǎn	14-34182-B
xū hè	35-10501-S
xū jiǎ	55-50866-B
xū jīng	55-54588-B
xū jǐng	55-54349-B
xū kōng zàng pú sà	55-53511-B
xū lí	60-8924-S,66-12887-S,66-12993-S
xū màn rén	22-18549-S
xū máo	70-28180-B
xū méi	2-31504-S
xū míng	55-51119-B
xū nǐ	55-51917-B
xū nǐ huán jìng	55-52129-B
xū nǐ jī	55-52072-B
xū nǐ lián jiē	15-119-S,55-52511-B
xū nǐ shì jiè	55-51979-B
xū nǐ tōng dào biāo zhì fú	55-52274-B
xū nǐ tōng dào lián jiē	55-52403-B
xū nǐ wǎng luò	55-52204-B
xū piāo piāo	55-54519-B
xū pǐn	24-41999-S,43-22403-S
xū qiú	46-49557-S,50-36099-S,67-39499-B
xū quē hào	55-53645-B
xū qíng jiǎ yì	55-51749-B
xū ruò	55-51427-B
xū róng	55-53043-B
xū róng xīn	55-53083-B
xū shí	55-51276-B
xū shí shí	55-54110-S
xū shù	55-52584-B
xū shēng	14-34262-B,14-48269-S,44-27270-S
xū suì	55-53240-B
xū tuō	55-53767-B
xū wàn	55-53836-B
xū wàng	55-51232-B
xū wán	68-27536-B
xū wèi yǐ dài	55-50775-B
xū wéi xīn	26-5808-S
xū wén	55-52633-B
xū wén fú lǐ	55-52717-B
xū wú	55-53297-B
xū wú piǎo miǎo	55-53401-B
xū wú zhǔ yì	55-53340-B
xū wěi	55-50923-B
xū wěi lèi zhēn	55-50990-B
xū xiàn	55-53600-B
xū xiàng	55-51071-B
xū xí yǐ dài	55-54020-B
xū xīn	55-51543-B
xū xīn shǐ rén jìn bù jiāo ào shǐ rén luò hòu	55-51582-B
xū xīng	55-52785-B
xū xū	14-6357-S,36-27277-S
xū xū shí shí	55-54110-B
xū yào	15-69704-S,67-39558-B,68-27674-B
xū yán	55-54197-B
xū yí xiàn	45-19370-B
xū yù	55-54394-B
xū yǎng liàng	10-23343-S
xū yǒu	54-27164-S
xū yǒu qí biǎo	55-52848-B
xū yǔ wēi shé	55-53901-B
xū zhà	55-54253-B
xū zhèng biàn	26-5663-S
xū zhāng shēng shì	55-51479-B
xū zhī	68-27583-B
xū zuò jiǎ	23-24351-S
xū zào	12-62774-S
xū ér rù	3-14163-S
xūn	6-61125-S,6-61236-S,9-47990-S,10-3688-B,10-10058-B,10-10101-B,16-21376-B,16-32219-B,28-12177-S,32-2355-B,40-44078-B,41-12650-B,41-33797-B,42-22720-B,47-56112-B,50-43558-B,52-53214-B,53-17122-S,55-26899-B,55-27150-B,63-51597-B,65-31626-S,65-31719-S,69-28934-S,69-30653-S
xūn fēng	41-13204-B
xūn jué	10-10135-B
xūn jì	10-10211-B
xūn kǎo	41-12854-B
xūn liáo fǎ	69-28975-S
xūn ròu	41-33843-B
xūn rǎn	41-12758-B
xūn tiān	40-6504-S
xūn táo	41-12973-B
xūn táo chéng xìng	41-13067-B
xūn xūn	53-17122-S
xūn yī cǎo	41-12921-B,55-27245-B
xūn zhì	41-12696-B
xūn zhāng	10-3722-B,17-30625-S
xūn zhēng	41-33882-B
xūn zhēng jì	41-33926-B
xǐ	3-24894-S,9-63061-S,11-62439-S,12-12179-S,12-46072-S,14-6828-B,14-16005-S,14-44714-B,15-11774-S,16-9625-S,17-10381-S,19-59053-S,19-64155-S,21-24694-B,22-51134-S,24-9724-B,25-3777-S,25-4587-S,25-45523-S,27-19460-S,29-26313-S,30-5825-S,30-65899-S,31-60777-S,33-39259-B,35-22149-S,35-31682-S,36-21351-S,37-13599-S,37-26317-S,37-52715-B,38-27376-S,38-42449-S,38-62937-S,42-4151-S,43-7498-B,44-38812-S,45-12715-S,46-29707-S,47-7059-B,47-32973-S,48-35192-B,50-28258-B,50-47999-B,51-36594-S,51-48317-S,51-57094-S,51-57365-S,54-60881-B,55-9371-B,55-54847-S,56-17752-B,56-26416-S,57-34947-S,60-50359-B,61-23325-S,61-23554-S,62-69622-S,64-24741-B,66-64437-S,68-34733-S,69-59906-S
xǐ bào	14-7615-B
xǐ bù zì jīn	14-7026-B
xǐ bù zì shèng	14-6931-B
xǐ chē	14-9430-B
xǐ chōng chōng	14-9247-B
xǐ chū wàng wài	14-7241-B
xǐ cóng tiān jiàng	14-8065-B
xǐ dà chén	28-14442-S
xǐ dàn	14-9198-B
xǐ dé	14-8212-B
xǐ dì	35-31722-S
xǐ dí	37-53481-B
xǐ dí jì	37-53531-B
xǐ fà fěn	37-55209-B
xǐ fà jì	37-54992-B
xǐ fà lù	37-55266-B
xǐ fà shuǐ	37-55041-B
xǐ fà shuǐ 5r	37-55099-B
xǐ fà zào	37-55159-B
xǐ fā cái	25-3836-S
xǐ guò wàng	17-10423-S
xǐ guān	28-14560-S
xǐ huan	14-8566-B
xǐ huān	36-12257-S
xǐ huān chǎo jià	14-8620-B
xǐ hào	14-7675-B
xǐ hēi qián	37-55315-B
xǐ jié	17-43830-S
xǐ jié jì	37-53597-B
xǐ jiāo jí	25-9356-S
xǐ jiǎn chuī	37-53019-B
xǐ jiǔ	14-9508-B
xǐ jìng	37-53434-B
xǐ jù	14-7521-B,25-9442-S,25-34872-S
xǐ liǎn	37-54287-B
xǐ liǎn pán	37-54498-B
xǐ liǎn pén	37-54338-B
xǐ liǎn pén xǐ pén	37-54424-B
xǐ liǎn tái	37-54555-B
xǐ lái dēng	14-7174-B
xǐ lè	14-8531-B
xǐ lín mén	66-64569-S
xǐ lǎng	34-23654-S
xǐ lǐ	37-53991-B
xǐ miàn	37-54942-B
xǐ mǎ lā yǎ	14-9735-B
xǐ mǎ lā yǎ shān	14-9800-B
xǐ mǎ lā yǎ shān mài	14-9873-B
xǐ nián	10-49771-S
xǐ nù āi lè	14-8271-B
xǐ nǎo	37-54245-B
xǐ pén	37-54424-S
xǐ qián	37-54892-B
xǐ què	14-9957-B
xǐ qì yáng yáng	14-8688-B
xǐ qún fēi	14-9035-B
xǐ ruò kuáng	35-22187-S,69-59963-S
xǐ shuā	37-52969-B
xǐ shì	14-7119-B
xǐ shǒu jiān	37-53132-B
xǐ shǒu yè	37-53072-B
xǐ tiē	14-7842-B
xǐ tài hòu	25-45607-S
xǐ táng	14-8955-B
xǐ wén lè jiàn	14-9089-B
xǐ wǎn	37-53822-B
xǐ wǎn chí	37-53935-B
xǐ wǎn jī	37-53882-B
xǐ xiāo	37-53238-B
xǐ xiāo chǎng	37-53366-B
xǐ xiāo jì	13-4808-S,37-53287-B
xǐ xíng yú sè	14-7954-B
xǐ xùn	14-9327-B
xǐ xīn yàn jiù	14-8456-B
xǐ yuè	14-8341-B,14-9382-B
xǐ yuān	37-52753-B
xǐ yuān jí lù	37-52863-B
xǐ yuē hàn	30-65939-S
xǐ yáng	14-9586-B
xǐ yáng yáng	14-8780-B
xǐ yín yín	14-7559-B
xǐ yíng yíng	14-8897-B
xǐ yù	37-53202-B
xǐ yī	19-57675-S,37-54622-B
xǐ yī diàn	37-54661-B
xǐ yī fáng	37-54712-B
xǐ yī fěn	37-54832-B
xǐ yī jī	37-54768-B
xǐ yǔ	14-9667-B
xǐ zhàng	14-7893-B
xǐ zhào piàn	37-53764-B
xǐ zhě ruò hàn	37-54030-B
xǐ zhě yuē hàn	30-66010-S
xǐ zi	14-7765-B,56-17782-B
xǐ zé qì huǎn	14-7343-B
xǐ zī zī	14-8842-B
xǐ zǎo	37-53649-B
xǐ zǎo jiān	37-53690-B
xǐ ài	14-8386-B,32-19542-S,62-3560-S
xǐ ěr gōng tīng	37-54104-B
xǐn	4-47325-B
xǐng	11-51886-S,12-9782-S,14-6703-S,28-42738-S,29-25719-B,31-27060-S,38-65482-S,43-33750-S,45-33026-B,45-55546-S,55-41719-S,57-41330-S,59-1945-S,63-47987-B,69-63414-S
xǐng chá	45-33984-B
xǐng fú wù	12-9850-S
xǐng lái	63-48129-B
xǐng mù	63-48287-B
xǐng qīn	45-34701-B
xǐng rén shì	2-20473-S
xǐng shì	45-34758-B
xǐng shì héng yán	63-48043-B
xǐng shēn	66-28824-S
xǐng wù	28-42813-S,45-34158-B,63-48169-B
xǔ	1-70993-S,2-29398-S,3-21681-S,3-57492-S,6-60629-S,8-12328-B,8-25409-S,14-10759-B,14-28952-S,18-37706-B,19-65908-S,24-39338-S,25-61254-S,26-14792-S,32-51725-S,33-54105-B,33-54142-S,39-10073-B,41-61623-S,48-59575-B,58-2712-B,58-2744-B,58-12033-B,58-45222-B,60-3915-S,62-13843-S,63-47942-B,71-36838-S
xǔ chāng	58-3918-B
xǔ chāng dì qū	58-3997-B
xǔ chāng shì	58-4092-B
xǔ duō	58-3388-B
xǔ hé	58-3341-B
xǔ hūn	58-3439-B
xǔ jià	58-3514-B
xǔ jiǔ	58-2811-B
xǔ jīng yíng	41-61726-S
xǔ kě	32-12454-S,58-3158-B
xǔ kě xié yì	58-3208-B
xǔ kě zhèng	58-3268-B
xǔ nuò	58-4244-B
xǔ pèi	58-4291-B
xǔ qín fù	58-3088-B,58-3604-B
xǔ qīn	58-4182-B
xǔ rú shēng	33-54179-S
xǔ shèn	58-3667-B
xǔ wàng xì bāo	58-3807-B
xǔ xiān	58-2868-B
xǔ xìn liáng	58-3028-B
xǔ xǔ	33-54142-B
xǔ xǔ rú shēng	33-54179-B
xǔ yuàn	20-32974-S,58-4365-B
xǔ zhuàng	41-61673-S
xǔ zhòng lín	58-2918-B
xǔ zì	58-3563-B
ya	1-29824-S,1-66616-S,1-72182-S,2-48331-B,2-49070-S,3-22610-S,3-57533-B,3-57582-B,3-60305-S,3-63154-S,3-63643-S,3-64175-S,4-36140-S,4-38100-S,4-49790-S,4-57316-B,4-65562-S,4-68224-S,4-69481-S,5-952-S,5-3377-S,5-24986-S,5-25071-S,5-34790-S,6-5076-S,6-8788-S,6-9818-S,6-32076-S,6-58655-S,7-17610-S,7-18785-S,8-6053-S,8-11598-S,8-29788-S,8-62081-S,9-5979-S,9-7066-S,9-7113-S,9-12281-S,9-51879-S,9-52441-S,9-52526-S,9-57285-S,9-59518-S,9-60284-S,9-62124-S,10-27113-S,10-37164-S,11-8377-S,11-10486-S,11-13363-S,11-15123-S,11-18939-S,11-28970-S,11-29070-B,13-7104-B,13-7104-B,13-29102-S,13-37326-S,13-41222-S,13-42429-S,13-42781-S,13-52833-S,13-62342-S,13-64137-B,13-64168-B,14-9735-S,14-15134-S,14-32946-S,15-33375-B,15-46596-S,15-53082-S,15-57859-S,15-64228-B,16-17356-S,16-18840-S,16-18931-S,16-19573-S,16-20273-S,16-20791-S,16-32332-B,16-32408-B,17-23785-S,17-26693-S,17-39509-S,17-44932-S,17-44932-S,17-49541-S,18-14830-S,18-46884-S,18-55174-B,19-18458-S,19-32109-S,19-64963-S,19-65005-S,20-3485-S,20-11090-S,20-60498-S,21-1797-S,21-6117-S,21-13626-S,21-14177-S,21-14585-S,21-15237-S,21-24980-S,21-29430-S,21-35499-S,21-44153-B,22-3171-S,22-3296-S,22-5139-S,22-6785-S,22-9994-S,22-16788-S,22-17898-S,22-55512-S,22-57135-S,23-47685-S,23-49184-S,23-51907-S,24-38337-S,24-38630-S,24-65833-S,24-67753-S,25-35947-S,26-2163-S,26-7293-S,26-53732-S,27-14677-S,27-16236-B,27-24834-S,27-25228-S,27-38554-S,27-69538-S,28-18831-B,28-47232-B,29-8601-S,29-41025-S,29-42098-S,30-450-S,30-31452-S,30-39762-S,30-39846-S,30-41525-S,30-45348-S,30-45435-S,30-48276-S,30-52487-S,30-56342-S,30-58049-S,30-65420-S,31-48221-S,31-50401-S,32-5516-S,32-69434-S,32-69529-S,33-14547-S,33-15947-S,33-29124-S,33-30633-S,33-31515-S,33-32301-B,33-38274-S,34-347-S,34-25888-B,35-23403-S,36-9067-S,36-9869-S,36-15459-S,36-27869-S,36-35208-B,36-40259-S,36-45477-S,37-14854-S,37-17787-S,37-37583-S,37-38356-S,37-38930-S,37-39517-S,37-62219-S,38-22275-S,38-37139-B,38-37415-S,39-242-S,39-19922-S,39-23199-S,39-27538-S,39-32688-S,40-2737-S,40-38544-S,40-39798-S,40-40169-S,40-40282-S,40-42630-S,41-0-B,41-22209-S,41-37310-S,41-43419-S,41-46374-B,42-41707-S,42-41778-S,42-61398-S,43-673-S,43-1025-S,43-1996-S,43-2050-S,43-22965-S,44-33298-S,45-9155-S,45-23708-S,45-46034-S,45-48669-S,45-54407-B,46-13072-B,46-39975-S,47-38984-S,47-42029-S,47-53316-S,48-4538-S,48-18150-S,48-46320-S,48-49045-S,49-5484-S,49-7798-S,49-16096-S,49-17363-S,49-18824-S,49-27597-S,49-27862-S,49-27910-S,50-2094-S,50-63215-S,50-63821-S,51-8443-S,51-40624-S,51-48183-S,51-49095-S,51-49867-S,51-68819-S,52-13444-S,52-29483-S,52-36283-S,53-31010-S,53-63719-B,54-3061-S,54-10055-S,54-10110-S,54-22058-S,54-41444-S,54-58163-S,54-63045-S,54-63861-S,55-21417-S,55-24646-S,55-28901-S,55-58355-B,56-24599-S,56-36762-B,56-57733-S,57-568-S,57-12553-B,57-12866-S,57-13811-S,57-17179-S,57-20139-S,57-20502-S,57-21899-S,57-23580-S,57-48519-S,58-405-B,58-16565-S,58-49068-S,58-49105-S,59-17597-S,59-24035-S,59-31443-S,59-55200-S,59-55825-S,60-3722-S,60-7166-S,60-7418-S,60-8472-S,60-60855-B,61-49311-B,62-53248-S,63-57348-S,64-4673-S,64-42962-B,64-53985-S,65-9023-S,65-17410-S,65-45891-S,65-55442-S,65-68744-S,66-1255-S,66-5012-S,66-6580-S,66-7661-S,66-7859-S,66-8097-S,66-9986-S,66-54229-B,67-27230-S,69-32105-S,69-32486-S,69-34195-S,69-43967-S,69-62905-S,70-12653-S,70-21408-S,70-23628-S,70-53786-B,70-55025-B,71-12656-S,71-25342-S,71-36681-S,71-55710-S
ya Bi shao	22-57184-S
ya Da xue	9-51952-S,59-55275-S
ya Da xue Luo shan ji fen xiao	9-52060-S
ya Gong he guo	7-17670-S
ya Hai	9-60345-S
ya Li gong Xue yuan	9-52289-S
ya Lu ka	22-4989-S
ya Min zhu dang	16-20463-S
ya Xin Ji nei ya	22-5139-S
ya Yin hang	33-14590-S
ya an	51-55941-S
ya ba	13-64250-B
ya ba lang	3-59006-B
ya ba r	2-48363-B
ya bai	41-46770-B
ya ban dao	4-49870-S
ya bao gan jun	52-5844-S
ya bian	16-33102-B
ya biao	36-27941-S
ya bin	30-39122-S
ya bin si ke	60-60401-S
ya bing du	18-914-S,22-14741-S
ya cai	59-17641-S
ya cha	2-48419-B
ya chang	60-60939-B
ya chi	41-47262-B
ya chuan qi	49-16144-S
ya chuang	41-46677-B
ya ci gui ze	3-64103-B
ya ci hui dan yuan	3-64021-B
ya da jiao tang	51-49957-S
ya da lu	35-27070-S
ya da xue	13-42512-S
ya dai kuan	27-14818-S
ya dan	71-4580-S
ya dan di mao	66-54258-B
ya dan wei	3-58462-B
ya dao	16-32511-B,50-2357-S,51-49161-S,61-51021-S
ya dao che	60-61450-B
ya dao he Nan Sang wei qi	10-68590-S
ya dao ji	60-61396-B
ya dao xing	16-32566-B
ya de	9-8114-S
ya de tou she	23-46265-S
ya di	16-32457-B
ya dian	70-12779-S
ya er fa he ao mi jia	3-61703-B
ya er si ke	7-16231-S
ya fa	66-55626-B
ya fu	3-61610-B
ya fu hao mo xing	3-62998-B
ya gai ya	3-64175-B
ya gang	3-63290-B,50-2585-S,57-20622-S
ya gao	41-47021-B
ya ge	51-45310-S,66-55410-B,66-56125-B
ya gong yuan	50-2156-S
ya gu	13-64427-B
ya guan	2-36099-S,2-65392-S,13-29180-S
ya guang bo gong si	13-42605-S
ya guo	33-16006-S
ya guo jia lian meng	33-16076-S
ya hai	3-59120-S
ya hai an	59-24131-S
ya hai jiao	17-49596-S
ya he	21-14621-S
ya hu	50-2666-S
ya hua	16-33805-B
