one s means	64-4838-S,64-6912-S
one s own nest	43-29895-S
one s own old broom	30-5968-S
one s own people	53-5158-B
one s own pocket	47-12255-B
one s own profession	32-66554-B
one s own profit 成语 saw	23-65428-S
one s own respective	8-4315-B
one s own school	42-19607-S
one s own selfish interest	47-11996-B
one s own success	12-59425-S
one s own throat	53-1402-S
one s own trumpet	53-3557-S
one s own use	6-622-S
one s own volition	60-55228-S
one s own way	1-8894-B,42-21881-S
one s own wife	51-26720-B
one s own wishes or interests to serve sb else s	61-45062-S
one s own wishful thinking	1-8241-B,1-15485-B
one s palm	11-49457-S,26-51252-S
one s palms together in obeisance	29-22182-S
one s palms together in prayer	12-34451-S
one s pants in terror 成语 saw	21-17653-S
one s parent term of respect	3-40803-B
one s parents	5-23637-S,14-50091-S,19-9302-S,24-56217-S,26-61509-S,45-34701-S
one s parents but give them a rich funeral	55-20465-S
one s parents generously	11-29964-S
one s parents meanly	55-20465-S
one s part	32-61493-S
one s party	11-66579-S
one s past errors	24-56513-S
one s paternal grandfather	32-16063-S
one s patience	24-43266-S
one s pay	6-51-S
one s peak	11-42837-S
one s pen	41-4987-S
one s person	4-16688-S,66-45029-S
one s personal benefit 成语 saw	28-52200-S
one s personal interests	7-63952-S
one s personal rights	4-16747-B
one s personal view	32-60649-B
one s physical state	60-56879-B,60-56948-B,70-7634-B
one s physique tall or short	70-18779-B
one s piece	24-57906-S
one s place	19-24558-S
one s place and meddle in other people s affairs	60-25771-S
one s plans	66-49962-S
one s pocket	6-47169-S
one s pockets	3-646-S,69-8034-S
one s pockets with public funds	3-495-S
one s point of view	29-45428-S
one s position	4-4679-S,5-36937-S,28-29668-S,56-44877-S
one s position or intentions	53-12327-S
one s position to bully others	42-7048-S
one s possessions	38-58274-S
one s possessions for a journey	33-12398-S
one s post	67-8719-S,67-11047-S
one s posterity	19-688-B
one s poverty	13-46717-S
one s power or authority	24-16755-S
one s power or influence	29-29056-S
one s powers	9-46175-S
one s prayers	46-52057-S,47-9749-S
one s predestined life span is up	16-38519-S
one s presence	16-3065-S,67-48105-S
one s present position	16-44425-S
one s previous remark	29-43846-S
one s prime	62-67494-S,65-567-S
one s principles	55-48971-B,55-49115-B
one s profession	61-25107-S
one s professional position	51-68858-B
one s promise	52-18252-S,58-23208-S,58-33313-S
one s proper duties	1-73670-S
one s proper occupation	1-73670-S
one s proper surroundings	18-32123-S
one s property	58-22621-S,59-11660-S
one s property or rights to sb else	8-45279-S
one s property stolen	17-66676-S
one s protection	22-58833-S
one s proximity to the powerful to obtain favor	61-48430-S
one s psyche	24-33192-S
one s pulse	29-3565-S
one s purpose	11-3659-S
one s purse	57-48318-S
one s pursuit	19-32936-S
one s qi resides	3-2991-S
one s qi vital breath	14-7343-S
one s queue	51-20623-S
one s ration cards	3-71048-S
one s regards to	13-62617-S
one s regular work	10-59833-S
one s relatives	24-56217-S
one s remaining years	69-15601-B
one s remarkable skill or prowess	17-40811-S
one s remit	8-50106-S
one s reputation	25-38346-S
one s reputation swept away	60-56650-S
one s residence	24-9724-S
one s respect	27-45879-S
one s respects	13-62542-S,13-62691-S,58-52103-S
one s responsibilities	28-30300-S,28-32176-S
one s responsibility or job	4-44683-S
one s right mind	46-55396-S
one s right to vote	34-18371-S
one s role	32-61493-B
one s roots	35-54338-S
one s rounds	21-50968-S
one s sail to the wind	66-45313-S
one s satisfaction	39-38411-S
one s scope	29-28877-S
one s seat	7-24693-S,59-13817-S,60-27556-S
one s seat for sb	59-13886-S
one s self to do sth	46-26333-S
one s senior or superior	27-46438-S
one s seventies age	1-28440-S
one s sex appeal	53-437-S
one s share of a gift price	4-44762-B
one s share of the action	1-11524-B
one s shift	28-26870-S
one s shortcoming	59-5244-S
one s shoulder	26-53176-S,28-51487-S
one s shoulders	11-27594-S,28-60159-S,51-67579-S
one s side	6-19745-S,35-16484-S,42-56035-S,60-57404-S
one s silver money when traveling	67-47360-S
one s situation	45-64832-S
one s skill	50-24380-S
one s skills	67-46431-S
one s skin	14-39738-S,56-29015-S
one s skin 成语 saw	24-42815-S,24-43744-S
one s sleep	17-2216-S,17-2996-S,29-6740-S,58-22943-S
one s sleep and meals	23-8532-S,23-8657-S
one s sleeve	31-62373-S,52-24832-S
one s sleeve and leave 成语 saw	28-45562-S
one s sleeve then go 成语 saw	27-18423-S
one s slight skill before an expert	42-48260-S
one s social role	20-55444-S
one s socks up	44-27477-S
one s son becomes a dragon 成语 saw	32-45750-S
one s sorrows in alcohol	6-1608-S
one s soul	53-3894-S
one s special ability or strong points	41-62435-B
one s speech or writing with literary allusions	61-24943-S
one s spirit	17-26839-S
one s spirits	27-70315-S
one s spirits dampened	28-11107-S
one s spouse literary	2-48262-S
one s stage debut	26-47417-S
one s standing	60-56650-S
one s state for open discussion	53-4184-S
one s status lowered	28-12924-S
one s steed have his head	60-53835-S
one s step	30-24823-S
one s stomach	24-37105-S,60-33050-S
one s stool	5-30093-S
one s strength	5-13126-S,5-14948-S,7-34261-S,43-34344-S,64-5164-S,69-12081-S
one s strengths and bide one s time	68-13305-S
one s studies	24-14220-S,43-34429-S,61-14538-S
one s stuff	32-30028-S
one s subordinates	2-9764-S,12-10157-S
one s success in exams	31-36208-S
one s success 成语 saw	60-53133-S
one s sunday best	45-6066-B
one s superior	5-34852-S,14-57062-S,20-44383-B,47-31576-S,47-31637-S
one s superiors	1-47996-S
one s surname	33-42186-S
one s surprise	2-13472-S,21-18970-S
one s tail between one s legs	17-71542-S
one s talent	40-29753-S
one s talent to the fullest	4-14809-S,4-14927-S
one s talents	11-63294-S,32-3251-S,38-51200-S
one s taste	20-54965-S
one s taste of food	68-22488-S,68-22764-S,68-22887-S
one s tastes	14-7675-B
one s teacher	27-44712-S,34-32537-B
one s teeth	13-15469-S,13-29102-S,71-55807-S,71-55865-S
one s teeth and bear the pain	13-29180-S
one s teeth during sleep	46-39975-S
one s teeth fall out 成语 saw	37-12202-S,37-12381-S
one s teeth in anger	8-63761-S,24-53438-S
one s teeth 成语 saw	46-38799-S
one s temper	38-30863-S
one s temperament and interests	25-15811-B
one s tether	40-61520-S,40-62269-S
one s thanks	48-21433-S
one s theory 成语 saw	54-54670-S
one s thighs	28-53309-S
one s thoughts	24-30819-S,24-36222-B,25-28392-S,26-28552-B,50-52785-S
one s thoughts and feelings	25-43261-B
one s thoughts fly to a longed for place or person	24-40583-B
one s thoughts in a whirl 成语 saw	24-30982-B
one s thoughts or feelings	38-7601-S
one s throat and sing loudly 成语 saw	23-28297-S
one s throat 成语 saw	70-3051-S
one s ticket after the normal time	56-58219-S
one s time	2-9198-S,68-13305-S
one s time away	40-53454-S
one s time forming the right decision	53-40808-S
one s tongue	4-70830-S,13-20834-S,14-30023-S,14-30149-S
one s tongue in wonder	13-20994-S
one s traces	30-24969-S
one s tracks	62-67005-S
one s trade secrets	43-48410-S
one s treasure away so that no one knows about it 成语 saw	38-51200-S
one s treasures 谚语 proverb 	32-31814-S
one s troops	58-23296-S
one s true colors	67-47479-S
one s true colors after a stern test	44-7683-S,44-7881-S
one s true heart	57-11291-B
one s true love	25-28392-B
one s true nature derog 	68-50403-S
one s true self	35-54757-S
one s trump card	29-7067-S
one s trunks 成语 saw	6-48547-S
one s turn	28-27616-S
one s turn on duty	28-24729-S
one s turn to do sth	61-15672-B
one s understanding	29-24876-B
one s unrecognized talents 成语 saw	26-590-S
one s unshrinkable responsibility	59-40996-S
one s utmost	1-60769-S,2-35364-S,27-50972-S,27-52050-S,27-52196-B,45-7863-S,45-8143-S,47-65054-S,47-65146-S
one s valuables inadvertently	67-47360-S
one s vanity by passing off as what one is not	26-48362-S
one s version of events	58-32879-B
one s view	58-31559-S
one s viewpoint	61-21164-S
one s views known	17-31308-S
one s vigilance	29-25932-S
one s vigor thoroughly restored	48-56618-B
one s village	63-30406-S
one s visit to china	15-36270-S
one s voice	16-32457-S
one s voice coll 	21-34927-S
one s wares	12-30629-S,12-30965-S
one s way	18-17526-S,61-54788-S,61-55427-S
one s way into	29-25510-S,65-8433-S
one s way through	65-8433-S,65-53055-S
one s way through an inkstone 成语 saw	46-40428-S
one s way 成语 saw	17-50257-S
one s weak points	46-134-B
one s weak points 成语 saw from mencius	11-59061-S
one s wealth	29-31032-S
one s wealth inadvertently	67-46984-S
one s whole body and soul into a book	4-40149-S
one s whole face	39-41686-S
one s whole heart	39-38329-B
one s whole life	32-36521-S
one s whole lifetime	1-707-B
one s wife	26-23858-S,26-26081-S
one s wife and children	19-63527-B
one s wife or husband	67-9281-S
one s will	2-8746-S,62-56960-S
one s wine cup	26-65909-S
one s wing	22-58833-S
one s wishes	18-30607-S,47-34681-S,66-43747-S
one s wit s end	40-61520-S
one s wits	4-39986-S,7-68796-S,14-13343-S,14-40106-S,69-61806-S,70-33233-S
one s wits end	2-21606-S
one s wits in panic	69-62058-S
one s wits 成语 saw	14-13916-S
one s word	11-45809-S,19-21628-S,49-7964-B,52-18252-S,69-4081-S
one s words	11-70502-S,26-21358-S,69-4081-S
one s words 成语 saw	8-41537-S
one s work	61-23943-S
one s work or study	54-17522-S
one s work style	34-0-B
one s workplace	14-16752-S
one s youth	22-54261-B
one s zither then play it	23-35110-S
one says	57-56285-S,58-31194-S,58-33313-S
one says and what one does	57-55956-S
one scale and half a claw 成语 saw	1-23039-S
one scholar	42-3529-S
one sees	26-29712-S
one sees and hears	57-30720-S
one sees fit	5-28970-S
one sees the coffin 成语 saw	2-28312-S
one seventh	1-26806-B
one shouldn t take it too seriously	43-66415-S,43-66574-S
one side	1-5549-B,1-22098-B,1-22513-B,1-22700-B,1-69346-S,6-11178-S,6-19603-S,6-20088-B,6-46302-S,30-61117-B,30-67012-B
one side and water on the other	5-24520-S
one side of sth	10-61003-B
one sided	1-17078-B,1-22555-B,6-11178-B,14-17128-B,41-44547-B
one sided lovesickness	10-65654-B
one sixth	7-66176-B
one sixtieth of a degree	47-21774-S
one size fits all	68-40655-B
one small item in a big scheme	1-10270-S
one spot on a leopard	47-58451-S
one spot on a leopard 成语 saw	47-58539-S
one spot on the leopard	1-10270-S
one stage at a time	62-60067-S
one stalk	2-47441-S
one stands	56-44877-S
one state protected species	15-4429-S
one state to another	68-51240-S
one step	1-13043-B
one step beyond the prescribed limit	2-13180-S
one step further	62-28438-B
one string short	30-59005-S
one stroke	1-16636-S,1-16717-S,1-17915-S,43-54130-S,68-40655-S
one stroke under par in golf	11-9886-S
one strong beat and one weak beats in a measure of music two beats in the bar 成语 saw	1-11646-S
one strong beat and three weak beats in a measure of music four beats in the bar 成语 saw	1-11876-S
one supplementary medicine	25-23230-S
one syllable	43-56589-S
one taiwan policy	1-1062-S
one ten thousandth part	54-43681-B
one tenth	10-45208-B,26-7394-B
one tenth dan 石	30-33642-S
one tenth dou 斗	10-52837-S
one tenth of a peck	12-31102-B
one tenth of certain units	8-48969-B
one tenth of sheng 升 or liter	12-31102-S
one thing	12-8282-S,12-8282-S,12-8886-S,23-60704-S
one thing and he understands everything	51-56550-S
one thing but mean another	11-67094-S
one thing for another	33-640-S
one thing nor the other	1-65506-S
one thing starts where the other leaves off	13-2280-B
one thing to stand for another	5-63756-S
one thinks	24-35759-S,24-35876-S,26-28504-S
one third	1-31049-B,3-10311-B
one third of a meter	21-11555-B
one thirtieth km or 33 33 meters	22-12856-S
one thousand	1-3285-B
one thousand and one nights	1-3691-S
one thousand in gold 成语 saw	1-20949-S,10-51965-S,10-52099-S
one thousandth	11-29191-B,36-15744-B,64-7168-B
one thousandth of a millimeter or 10 6 meter	24-20747-S
one thread	1-17482-B
one thread loose 成语 saw	1-17703-S
one thread 成语 saw	1-17545-S
one throw 成语 saw	1-9947-S,10-51803-S
one time	1-399-B,1-8173-S,1-8173-B,1-12737-B,62-42226-B
one time all the way through	1-21980-B
one tiny clue reveals the general trend 成语 saw	57-29726-B,57-35272-B
one tiny crucial item	12-8147-S
one to do	40-12776-S
one to glance back 成语 saw	51-13678-S
one to inherit	49-47217-S
one to many correspondence	1-5602-B
one to one correspondence	1-254-B
one to rely on	7-69294-S
one to rely on 成语 saw	40-46343-S
one to the core 成语 saw	10-2698-S,69-60946-S
one to warn a hundred 成语 saw	35-66143-S
one touches	39-37464-S
one track mind	35-57409-S
one track path	49-50978-S
one turnip	1-2577-S
one twelfth	10-42582-B
one two	21-58180-S
one two or ace deuce smallest throw at dice	22-53372-B
one type of	1-16268-B
one unambiguous spoken form when spelling out numbers	22-53269-B
one understands	8-54277-S
one unit of money	1-5095-B
one unit to another	61-30120-S
one used to do formerly	23-62124-S
one variable from equations	38-29037-S
one volume	66-56925-S
one volume edition	12-37444-B
one wants	18-30607-S,65-10751-S
one wants to or not	68-45248-S
one wants 成语 saw	31-63841-S
one was not trained for	10-60459-S
one was searching for	26-59145-S
one watch i e two hour period during night	32-8545-B
one way road	14-21348-B
one way street	14-21407-B
one way ticket	14-19942-B
one way traffic	14-21164-B
one way traffic regulation	61-68100-S
one ways	44-56270-S
one weak beats in a measure of music two beats in the bar 成语 saw	1-11646-S
one week	1-4659-B
one week before easter	34-21219-S
one week national holiday in prc starting 1st may and 1st oct	65-11850-S
one who died unjustly	8-15304-S
one who doesn t know that	54-24271-S
one who follows a villain	42-7539-S
one who has made the pilgrimage to mecca	13-37531-S
one who has mastered the sutras	37-31142-B
one who is not extravagant	54-24351-S
one who leads prayer in a muslim mosque	4-49673-S
one who leads the prayers in a muslim mosque	4-52557-S
one who parrots sb	6-39161-B
one who pretends to have high moral standards	6-5571-B
one who relies on specious arguments	58-15309-B
one who talks big	17-29393-B
one whole	12-36818-S
one wing	70-59178-S
one wishes	66-42940-S,66-43747-S,68-26932-S
one would expect or what would be normal	6-11306-S
one would prefer to or not to 	20-16690-B
one would wish	9-44949-S
one writes	48-14170-S
one wrong step causes thousand hatred 成语 saw	1-6114-S
one year	1-8019-S
one yuan or less	16-14232-B
one 成语 saw	24-31251-S,45-16023-S
onerous	50-38449-B
ones	63-7636-S
ones at each festive day tang poet wang wei s 王維 王维 remembering his brother	36-6518-S
ones breath away	69-62703-S
ones heart and mind	24-39284-S
ones name	29-43942-S
oneself	1-9124-S,1-73004-S,2-26384-S,4-36415-S,4-53149-S,4-61312-S,5-5561-S,5-28266-S,5-40506-S,5-52560-B,6-14428-S,8-36012-S,8-41047-S,8-46220-S,8-58873-S,8-63224-S,10-7207-S,10-24632-S,11-54824-S,12-43656-S,12-45068-S,13-9314-S,13-56542-S,14-15720-S,14-19609-S,14-30717-S,16-8663-S,17-9611-S,18-17965-S,18-33530-S,18-60961-S,19-24558-S,19-54987-S,21-18317-S,22-1372-B,24-7752-S,24-7752-S,24-7914-S,24-8132-S,25-29685-S,26-15259-S,26-28197-S,26-54681-S,26-58900-S,27-44849-S,28-33509-S,29-18149-S,29-30386-S,29-43846-S,30-24726-S,31-62711-S,32-60530-B,33-12481-S,35-24684-S,35-31273-S,35-31327-S,37-51036-S,41-21958-S,42-18139-S,42-39722-S,42-40459-S,43-44484-S,45-12041-S,45-33984-S,45-34158-S,45-63273-S,46-40595-S,46-40595-S,50-25347-S,50-53311-S,51-23366-S,52-62992-B,53-0-S,53-214-S,53-3894-S,53-4294-S,53-4887-S,53-6091-S,53-6252-S,53-6345-S,53-6345-S,53-6345-S,53-6845-S,53-7165-S,53-7215-S,53-7387-S,53-8478-S,53-10035-S,53-10035-S,53-12475-S,53-12531-S,53-12747-S,53-12814-S,53-13053-S,53-13161-S,53-13227-S,53-13815-S,53-14746-S,53-14852-S,53-14922-B,53-15765-S,56-18458-S,57-29882-S,57-40580-B,57-52040-S,58-51168-S,59-45151-S,59-46331-S,60-31892-S,60-55228-S,60-57757-B,61-1406-S,61-37774-S,61-37920-S,62-4141-S,62-16543-S,62-37323-S,62-37645-S,63-48169-S,66-51881-S,67-47849-S,68-50403-S,69-8816-S,69-57302-S,70-10711-S,70-33233-S
oneself a way out	43-49677-S
oneself against	1-21651-S,5-6480-S
oneself airs	53-13585-S
oneself airs and offend others	53-16747-S
oneself and act accordingly 成语 saw	53-295-S
oneself and forget to go home	38-7004-S
oneself and suffer the consequence	53-796-S
oneself as	53-8478-S
oneself as being not as good as the others	53-4008-S
oneself as hopeless and act crazily	46-18974-S
oneself as one pleases	5-45830-S
oneself as sb else	6-8183-S
oneself at a fire	40-41883-S
oneself at every step	35-42696-S
oneself because of illness	58-56911-S
oneself by a fire etc	11-58389-S
oneself by accepting criticism from outside	4-25249-S
oneself by an ignorant blunder	67-47105-S
oneself by excessive ambition	43-59073-S
oneself by meditation	5-47670-S,40-1179-S
oneself by practice	46-40341-S
oneself clever	53-684-S
oneself critically	45-33026-S
oneself dishonestly	69-8034-S
oneself down with a wet towel	29-26356-S
oneself facing the fire	12-63472-S
oneself for an examination	16-11997-S
oneself for love	35-60477-S
oneself for one s country	24-46639-S
oneself from	29-30386-S,56-18458-S
oneself from a difficult situation	53-6845-S
oneself from a meeting	61-62148-S
oneself from loneliness	28-18135-S
oneself from melancholy	30-8040-S
oneself from the masses and from reality and act blindly	65-28919-S
oneself go	4-43038-S
oneself hegemon	47-35354-S
oneself i e one s natural child	57-39861-S
oneself i e one s natural parent	57-39861-S
oneself i e use the toilet	57-49063-S
oneself in	15-61126-S
oneself in a just cause	35-60827-S
oneself in extravagance	41-26338-S
oneself in sb else s shoes	70-6815-S
oneself in society	55-48908-S
oneself in veneration	4-53552-S
oneself in work 成语 saw	15-61237-S
oneself into sth	27-3517-S
oneself is better than hearing from many others	44-55966-S
oneself leeway 成语 saw	20-26125-S
oneself of	3-12362-S,60-19166-S
oneself of emperor	57-38946-S
oneself of strong feelings	6-46553-S
oneself off as	8-10643-S
oneself on	25-54949-S,29-16242-S
oneself on the ground in admiration	3-55815-S
oneself open to attack	23-29475-S,23-29630-S,23-31361-S
oneself or one s plans	66-49962-S
oneself physically	43-34344-S
oneself rather than sb else	11-50999-S
oneself scarce	29-6128-S
oneself sth unpleasant	53-6707-S
oneself to	2-12003-S,5-25850-S,42-26355-S,53-14033-S
oneself to a task	24-43001-S
oneself to adversity 成语 saw	61-65870-S
oneself to be	2-10536-S
oneself to be a gift to the opposite sex	53-437-S
oneself to be clever	53-214-S
oneself to be sth positive	53-3820-S
oneself to changes	25-61555-S
oneself to despair	53-6985-S
oneself to fate	51-70036-S
oneself to loss	35-57269-S
oneself to progress	48-58546-S
oneself to sb s level	1-19510-S
oneself to the enemy	58-22059-S
oneself to the full	45-8447-S,62-47434-S
oneself to the service of one s country	16-9760-S
oneself trouble with superfluous action	40-57763-S
oneself unexcelled in the world	1-75354-S
oneself up	26-48362-S,27-70315-S,28-63821-S,29-31872-S,53-15585-S
oneself up against sb	13-55399-S
oneself up and ponder over one s mistakes	65-28666-S
oneself when not ill	40-57763-S
oneself with	42-26064-S,49-43005-S,49-44516-S
oneself with a start	69-61638-S
oneself with joy	69-61501-S
oneself with panic	7-68796-S
oneself with sb	18-6236-S
oneself with trumpet and drum 成语 saw	53-3557-S
oneself 成语 saw	2-13082-S,5-8584-S,10-18713-S,12-60842-S,24-7914-S,37-51133-S,37-51249-S,45-63445-S,53-13585-S,53-15053-S,62-18834-S
one’s days	62-46039-S
one’s judgment	3-6012-B
one’s limited power humble expr 	50-12234-B
one’s native place	67-10589-S
one’s predecessor	24-1970-S
one’s true nature	67-46603-S,67-48446-S
ong choy ipomoea aquatica	36-46073-S,47-46922-S,55-17373-S,55-17441-S
ongniud banner or ongnuud khoshuu	51-17038-B,51-17116-B
ongnuud khoshuu	51-17038-S,51-17116-S
onigiri japanese rice ball snack	69-5601-B
onion	37-51981-B,55-12707-S,55-12904-S,55-13066-B,55-13066-S
onions	17-34122-B
onions or leeks	68-13781-S
online	1-54954-S,1-54954-S,15-36153-B,50-16248-B
online advertising	50-7195-B
online analysis processing olap	51-61711-B
online aol	51-3811-S
online broadcast	50-5300-B
online dictionary	50-21787-S
online encyclopedia	44-53604-S
online game	50-8644-B
online games	50-10207-B
online search	50-16291-B
online shop	50-5660-B
online version of the people s daily 人民日报	4-12944-B
only	1-69989-S,1-75244-S,2-1999-S,2-10262-S,2-18552-S,2-18592-S,2-34293-B,3-8758-B,4-64505-B,6-49828-B,6-49869-B,7-6723-B,10-55258-S,12-7732-B,12-8053-B,12-8109-B,12-8362-S,12-8447-S,12-54372-S,13-54577-B,13-54641-B,14-587-S,14-16236-B,14-16326-B,21-8874-B,25-17103-B,25-17135-S,25-17287-B,25-17325-B,28-46521-S,35-60240-B,38-44504-B,40-64176-B,42-17727-B,46-51647-B,46-51780-S,47-25749-B,67-62938-S,69-4893-S
only a bird can manage	70-51070-S
only a few years ago	12-7775-B
only a small piece of the big picture	56-18065-S
only able to see isolated details	12-8499-S
only after the horse has bolted 成语 saw	29-53474-S
only an outstanding talent can recognize current trends 成语 saw a wise man submits to circumstances	58-62673-B
only but also	51-35051-S
only but also 	1-67829-S
only by 	6-49950-S
only chicken feathers to sleep on	67-7430-S
only child	42-20116-S
only computing	13-55106-S
only daughter	42-20055-S
only for show	71-41721-B
only for the purpose of examination	25-61307-S
only half conscious	61-54718-B
only have to lift a finger	53-27031-S
only if	26-37150-B
only if 	66-22912-B
only in mainland china	23-65093-S
only in name	32-31078-S,32-31208-S
only in the evening	65-14402-S
only it were possible to 	4-64844-S
only judge a person s merits or demerits after death	55-5582-S,55-5802-S
only knows words of one syllable	43-56589-B
only lead to disaster	69-11675-S,69-11878-S
only looking for an overview	2-16755-B
only makes matters worse	25-53456-S
only master a subject by assiduous study	34-32835-S
only memory	12-14004-S
only met with once every hundred years drought	44-53213-B
only natural	43-67747-B
only natural mencius 6a 4 	69-3795-S
only nine meals 成语 saw	1-35002-S
only odd bits and pieces	1-23039-B
only one	1-69989-S
only one aspect	12-8886-S
only one hand	19-13127-S
only one ingredient	38-58537-B
only one leaf	26-31302-S
only one meaning	14-18188-S
only one tiny crucial item	12-8147-S
only out of absolute necessity	54-42826-S
only part of its normal route	10-41545-S
only possible with diligence	34-32835-S
only proper course to take	1-66512-S
only son	42-18830-B
only spend what you earn	64-4838-S
only tea without food	38-64562-B
only that	1-69743-S
only the target language in a language school	58-27601-S
only then	26-37150-B,30-61117-B,30-63840-S
only this and nothing more	6-49869-B
only this one	1-69667-S
only to 	6-49950-S
only to be forced to drink a forfeit	30-12804-S
only to fall into a well	63-6336-S
only to father	3-61610-S
only to find another cropping up	27-61868-S
only visible at microscopic scale	24-19366-S
only way	1-66512-S,24-41621-S
only when in trouble	27-12591-S,52-57896-S
only 之 and 无	43-56589-S
only 成语 saw	49-47105-S
onomat	9-40969-S,14-0-B,14-32213-B,14-37976-B,14-38128-B,14-38289-B,26-57016-S,29-16737-B,64-56857-B
onomat 	12-66998-B,13-31205-B,13-44315-B,13-64137-B,13-66214-B,14-782-B,14-4254-B
onomat atchoo	65-69072-B
onomat babble	13-53678-B
onomat bang	3-12168-B,14-444-B,14-31734-B
onomat bang bang car	60-51069-S
onomat bubbling noise	14-350-B
onomat chattering or giggling	13-53520-B
onomat chirp	14-31955-B
onomat chirping of insects	13-53461-B
onomat clang	13-41433-B,13-41580-B,43-66351-B
onomat clank	14-1247-B
onomat clatter	13-26503-B
onomat clatter of mahjong tiles etc	13-49934-B
onomat clattering	14-38030-B
onomat click	14-1789-B
onomat clink of jewels	42-41342-B
onomat clunk	13-26570-B,14-1834-B
onomat coarse crowing	14-32946-B
onomat crack and rattle	67-50190-B
onomat crash	13-41491-B
onomat crashing sound	14-31238-B,35-23651-B
onomat cuckoo	22-17803-B
onomat ding a ling	42-37126-B
onomat dong	14-39272-B
onomat drip	39-33784-B
onomat endless mumbling	13-44656-B
onomat flopping sound	14-26197-B
onomat for crack	14-39396-B
onomat for humming	14-24243-B
onomat for sound of arrows	70-4306-B
onomat for sound of bell	1-25915-B
onomat for sound of bell arch 	65-6086-B
onomat giggling noise	13-53604-B,14-32062-B
onomat gurgle	13-29521-B
onomat hum and clatter	14-37907-B
onomat kaboom	14-38080-B
onomat laughing sound	13-37611-B
onomat meow	14-22905-B
onomat muttering	13-15207-B
onomat ping	3-11838-B
onomat pouring rain	39-31168-B
onomat quack	13-16541-B,14-29494-B
onomat rolling around	70-1303-B
onomat rumbling	61-32049-B
onomat slam	46-15956-B
onomat sound of a crash	14-31033-B
onomat sound of panting	13-18447-B
onomat sound of rain	38-40257-B
onomat thud	13-27488-B
