涵	38-38222-S
淋巴細胞 淋巴细胞	38-40901-B
淋巴結 淋巴结	38-40965-B
淋巴细胞	38-40901-S
淋巴结	38-40965-S
淋巴腺	38-41035-S
淋巴腺 淋巴腺	38-41035-B
淋浴	38-41106-S
淋浴 淋浴	38-41106-B
淋湿	38-41256-S
淋漓尽致	38-41162-S
淋漓盡致 淋漓尽致	38-41162-B
淋濕 淋湿	38-41256-B
淌	38-41303-S
淌 淌	38-41303-B
淑	38-41347-S
淑 淑	38-41347-B
淑人君子	38-41423-S
淑人君子 淑人君子	38-41423-B
淑女	38-41508-S
淑女 淑女	38-41508-B
淑静	38-41602-S
淑靜 淑静	38-41602-B
淒	38-41650-S
淒 淒	38-41650-B
淒慘 凄惨	38-41690-B
淒涼 凄凉	38-41751-B
淓	38-41794-S
淓 淓	38-41794-B
淖	38-41833-S
淖 淖	38-41833-B
淘	38-41877-S
淘 淘	38-41877-B
淘宝网	38-42038-S
淘客	38-41954-S
淘客 淘客	38-41954-B
淘寶網 淘宝网	38-42038-B
淘析	38-42090-S
淘析 淘析	38-42090-B
淘气	38-42151-S
淘氣 淘气	38-42151-B
淘汰	38-42195-S
淘汰 淘汰	38-42195-B
淘汰賽 淘汰赛	38-42341-B
淘汰赛	38-42341-S
淘河	38-42409-S
淘河 淘河	38-42409-B
淘洗	38-42449-S
淘洗 淘洗	38-42449-B
淘神	38-42489-S
淘神 淘神	38-42489-B
淘箩	38-42546-S
淘籮 淘箩	38-42546-B
淘选	38-42605-S
淘選 淘选	38-42605-B
淘金	38-42663-S
淘金 淘金	38-42663-B
淙	38-42726-S
淙 淙	38-42726-B
淚 泪	38-42764-B
淚光 泪光	38-42792-B
淚水 泪水	38-42848-B
淚液 泪液	38-42897-B
淚珠 泪珠	38-42945-B
淚腺 泪腺	38-42989-B
淜	38-43038-S
淜 淜	38-43038-B
淝	38-43083-S
淝 淝	38-43083-B
淞	38-43121-S
淞 淞	38-43121-B
淟	38-43160-S
淟 淟	38-43160-B
淠	38-43196-S
淠 淠	38-43196-B
淡	38-43245-S
淡 淡	38-43245-B
淡光	38-43340-S
淡光 淡光	38-43340-B
淡化	38-43383-S
淡化 淡化	38-43383-B
淡季	38-43429-S
淡季 淡季	38-43429-B
淡水	38-43493-S
淡水 淡水	38-43493-B
淡水湖	38-43583-S
淡水湖 淡水湖	38-43583-B
淡水鎮 淡水镇	38-43644-B
淡水镇	38-43644-S
淡水魚 淡水鱼	38-43719-B
淡水鱼	38-43719-S
淡淡	38-43780-S
淡淡 淡淡	38-43780-B
淡薄	38-43841-S
淡薄 淡薄	38-43841-B
淡黃 淡黄	38-43899-B
淡黄	38-43899-S
淢	38-43947-S
淢 淢	38-43947-B
淤	38-43987-S,44-16456-S
淤 淤	38-43987-B
淤伤	44-16569-S
淤塞	38-44054-S
淤塞 淤塞	38-44054-B
淤泥	38-44112-S
淤泥 淤泥	38-44112-B
淤滞	38-44160-S,44-16612-S
淤滯 淤滞	38-44160-B
淤灌	38-44221-S
淤灌 淤灌	38-44221-B
淤积	38-44291-S
淤積 淤积	38-44291-B
淤血	44-16700-S
淤血斑	38-44348-S
淤血斑 淤血斑	38-44348-B
淤青	44-16810-S
淥 渌	38-44416-B
淦	38-44466-S
淦 淦	38-44466-B
淨 净	38-44504-B
淨值 净值	38-44549-B
淨化 净化	38-44587-B
淨土 净土	38-44628-B
淨現值 净现值	38-44682-B
淨盡 净尽	38-44752-B
淩	38-44808-S
淩 淩	38-44808-B
淪 沦	38-44858-B
淪亡 沦亡	38-44887-B
淪喪 沦丧	38-44993-B
淪沒 沦没	38-45042-B
淪沒喪亡 沦没丧亡	38-45091-B
淪浹 沦浃	38-45164-B
淪滅 沦灭	38-45237-B
淪肌浹髓 沦肌浃髓	38-45291-B
淪落 沦落	38-45409-B
淪陷 沦陷	38-45519-B
淪陷區 沦陷区	38-45605-B
淫	38-45670-S
淫 淫	38-45670-B
淫乐	38-46057-S
淫书	38-45999-S
淫乱	38-45728-S
淫亂 淫乱	38-45728-B
淫亵	38-46537-S
淫妇	38-45843-S
淫威	38-45774-S
淫威 淫威	38-45774-B
淫婦 淫妇	38-45843-B
淫径	38-45906-S
淫徑 淫径	38-45906-B
淫慾 淫欲	38-45962-B
淫書 淫书	38-45999-B
淫樂 淫乐	38-46057-B
淫欲	38-45962-S
淫水	38-46115-S
淫水 淫水	38-46115-B
淫猥	38-46167-S
淫猥 淫猥	38-46167-B
淫画	38-46223-S
淫畫 淫画	38-46223-B
淫秽	38-46272-S
淫穢 淫秽	38-46272-B
淫羊藿	38-46320-S
淫羊藿 淫羊藿	38-46320-B
淫荡	38-46375-S
淫蕩 淫荡	38-46375-B
淫行	38-46452-S
淫行 淫行	38-46452-B
淫褻 淫亵	38-46537-B
淫賤 淫贱	38-46578-B
淫贱	38-46578-S
淫辱	38-46626-S
淫辱 淫辱	38-46626-B
淫鬼	38-46701-S
淫鬼 淫鬼	38-46701-B
淬	38-46750-S
淬 淬	38-46750-B
淬火	38-46797-S
淬火 淬火	38-46797-B
淮	38-46877-S
淮 淮	38-46877-B
淮北	38-46916-S
淮北 淮北	38-46916-B
淮北市	38-46989-S
淮北市 淮北市	38-46989-B
淮南	38-47073-S
淮南 淮南	38-47073-B
淮南子	38-47146-S
淮南子 淮南子	38-47146-B
淮南市	38-47245-S
淮南市 淮南市	38-47245-B
淮安	38-47329-S
淮安 淮安	38-47329-B
淮安市	38-47403-S
淮安市 淮安市	38-47403-B
淮河	38-47488-S
淮河 淮河	38-47488-B
淮海战役	38-47534-S
淮海戰役 淮海战役	38-47534-B
淮滨	38-47627-S
淮滨县	38-47701-S
淮濱 淮滨	38-47627-B
淮濱縣 淮滨县	38-47701-B
淮阳	38-47948-S
淮阴	38-47787-S
淮阴地区	38-47851-S
淮陰 淮阴	38-47787-B
淮陰地區 淮阴地区	38-47851-B
淮陽 淮阳	38-47948-B
淯	38-48013-S
淯 淯	38-48013-B
淯水	38-48097-S
淯水 淯水	38-48097-B
淰	38-48193-S
淰 淰	38-48193-B
深	38-48227-S
深 深	38-48227-B
深不可测	38-48264-S
深不可測 深不可测	38-48264-B
深井	38-48426-S
深井 深井	38-48426-B
深信	38-48492-S
深信 深信	38-48492-B
深信不疑	38-48544-S
深信不疑 深信不疑	38-48544-B
深入	38-48676-S
深入 深入	38-48676-B
深切	38-48735-S
深切 深切	38-48735-B
深刻	38-48806-S
深刻 深刻	38-48806-B
深化	38-48864-S
深化 深化	38-48864-B
深厚	38-48915-S
深厚 深厚	38-48915-B
深县	38-51096-S
深圳	38-48963-S
深圳 深圳	38-48963-B
深圳健力宝	38-49039-S
深圳健力寶 深圳健力宝	38-49039-B
深圳市	38-49140-S
深圳市 深圳市	38-49140-B
深圳河	38-49227-S
深圳河 深圳河	38-49227-B
深坑乡	38-49288-S
深坑鄉 深坑乡	38-49288-B
深处	38-51393-S
深夜	38-49369-S
深夜 深夜	38-49369-B
深奥	38-49421-S
深奧 深奥	38-49421-B
深层文字	38-49493-S
深层正字法	38-49597-S
深层阅读障碍	38-49682-S
深層文字 深层文字	38-49493-B
深層正字法 深层正字法	38-49597-B
深層閱讀障礙 深层阅读障碍	38-49682-B
深度	38-49775-S
深度 深度	38-49775-B
深度非詞 深度非词	38-49814-B
深度非词	38-49814-S
深思	38-49884-S
深思 深思	38-49884-B
深思熟慮 深思熟虑	38-49939-B
深思熟虑	38-49939-S
深情	38-50039-S
深情 深情	38-50039-B
深情款款	38-50110-S
深情款款 深情款款	38-50110-B
深愛 深爱	38-50191-B
深感	38-50237-S
深感 深感	38-50237-B
深成岩	38-50283-S
深成岩 深成岩	38-50283-B
深水	38-50357-S
深水 深水	38-50357-B
深沉	38-50402-S
深沉 深沉	38-50402-B
深泽	38-50868-S
深浅	38-50649-S
深海烟囱	38-50475-S
深海煙囪 深海烟囱	38-50475-B
深深	38-50559-S
深深 深深	38-50559-B
深淵 深渊	38-50608-B
深淺 深浅	38-50649-B
深渊	38-50608-S
深港	38-50737-S
深港 深港	38-50737-B
深源地震	38-50795-S
深源地震 深源地震	38-50795-B
深澤 深泽	38-50868-B
深灰色	38-50929-S
深灰色 深灰色	38-50929-B
深爱	38-50191-S
深空	38-50983-S
深空 深空	38-50983-B
深紅色 深红色	38-51043-B
深縣 深县	38-51096-B
深红色	38-51043-S
深蓝	38-51152-S
深藍 深蓝	38-51152-B
深藏若虚	38-51200-S
深藏若虛 深藏若虚	38-51200-B
深處 深处	38-51393-B
深談 深谈	38-51469-B
深謀 深谋	38-51572-B
深謀遠略 深谋远略	38-51618-B
深谈	38-51469-S
深谋	38-51572-S
深谋远略	38-51618-S
深谷	38-51713-S
深谷 深谷	38-51713-B
深远	38-51818-S
深造	38-51765-S
深造 深造	38-51765-B
深遠 深远	38-51818-B
深邃	38-51884-S
深邃 深邃	38-51884-B
深重	38-51966-S
深重 深重	38-51966-B
深長 深长	38-52030-B
深长	38-52030-S
深閉固拒 深闭固拒	38-52084-B
深闭固拒	38-52084-S
淳	38-52142-S
淳 淳	38-52142-B
淳于	38-52185-S
淳于 淳于	38-52185-B
淳化	38-52248-S
淳化 淳化	38-52248-B
淳安	38-52313-S
淳安 淳安	38-52313-B
淳朴	38-52378-S
淳樸 淳朴	38-52378-B
淵 渊	38-52445-B
淵博 渊博	38-52474-B
淵源 渊源	38-52556-B
淶 涞	38-52618-B
淶水 涞水	38-52653-B
淶源縣 涞源县	38-52716-B
混	38-52788-S,38-52859-S
混 混	38-52788-B,38-52859-B
混世魔王	38-52991-S
混世魔王 混世魔王	38-52991-B
混乱	38-53095-S
混亂 混乱	38-53095-B
混交	38-53145-S
混交 混交	38-53145-B
混交林	38-53202-S
混交林 混交林	38-53202-B
混入	38-53260-S
混入 混入	38-53260-B
混凝土	38-53317-S
混凝土 混凝土	38-53317-B
混号	38-55182-S
混合	38-53370-S
混合 混合	38-53370-B
混合体	38-53773-S
混合失語症 混合失语症	38-53418-B
混合失语症	38-53418-S
混合感染	38-53498-S
混合感染 混合感染	38-53498-B
混合模型	38-53568-S
混合模型 混合模型	38-53568-B
混合毒剂	38-53635-S
混合毒劑 混合毒剂	38-53635-B
混合物	38-53723-S
混合物 混合物	38-53723-B
混合體 混合体	38-53773-B
混名	38-53822-S
混名 混名	38-53822-B
混名儿	38-53865-S
混名兒 混名儿	38-53865-B
混战	38-53932-S
混戰 混战	38-53932-B
混杂	38-55709-S
混杂物	38-55745-S
混氧燃料	38-54033-S
混氧燃料 混氧燃料	38-54033-B
混水摸魚 混水摸鱼	38-54113-B
混水摸鱼	38-54113-S
混汞	38-54294-S
混汞 混汞	38-54294-B
混沌	38-54362-S
混沌 混沌	38-54362-B
混沌学	38-54486-S
混沌學 混沌学	38-54486-B
混浊	38-54925-S
混淆	38-54551-S
混淆 混淆	38-54551-B
混淆視聽 混淆视听	38-54625-B
混淆视听	38-54625-S
混淆黑白	38-54784-S
混淆黑白 混淆黑白	38-54784-B
混混儿	38-54867-S
混混兒 混混儿	38-54867-B
混濁 混浊	38-54925-B
混矇 混蒙	38-54978-B
混紡 混纺	38-55034-B
混編 混编	38-55096-B
混纺	38-55034-S
混编	38-55096-S
混茫	38-55136-S
混茫 混茫	38-55136-B
混蒙	38-54978-S
混號 混号	38-55182-B
混蛋	38-55224-S
混蛋 混蛋	38-55224-B
混血	38-55321-S
混血 混血	38-55321-B
混血儿	38-55361-S
混血兒 混血儿	38-55361-B
混行	38-55416-S
混行 混行	38-55416-B
混跡 混迹	38-55532-B
混进	38-55662-S
混迹	38-55532-S
混進 混进	38-55662-B
混雜 混杂	38-55709-B
混雜物 混杂物	38-55745-B
混飯 混饭	38-55811-B
混饭	38-55811-S
淹	38-55865-S
淹 淹	38-55865-B
淹死	38-55902-S
淹死 淹死	38-55902-B
淹沒 淹没	38-55943-B
淹没	38-55943-S
淺 浅	38-55990-B,38-56035-B
淺嘗 浅尝	38-56066-B
淺嘗者 浅尝者	38-56158-B
淺嚐 浅尝	38-56232-B
淺嚐者 浅尝者	38-56324-B
淺學 浅学	38-56398-B
淺層文字 浅层文字	38-56474-B
淺層正字法 浅层正字法	38-56577-B
淺希近求 浅希近求	38-56665-B
淺易 浅易	38-56770-B
淺水 浅水	38-56838-B
淺浮雕 浅浮雕	38-56887-B
淺海 浅海	38-56943-B
淺淡 浅淡	38-57019-B
淺灘 浅滩	38-57088-B
淺灘指示浮標 浅滩指示浮标	38-57145-B
淺白 浅白	38-57265-B
淺短 浅短	38-57325-B
淺礁 浅礁	38-57412-B
淺耕 浅耕	38-57466-B
淺色 浅色	38-57528-B
淺薄 浅薄	38-57573-B
淺見 浅见	38-57618-B
淺說 浅说	38-57684-B
淺近 浅近	38-57746-B
淺陋 浅陋	38-57787-B
淺露 浅露	38-57867-B
淺顯 浅显	38-57932-B
淺鮮 浅鲜	38-57987-B
淺黃色 浅黄色	38-58036-B
添	38-58099-S
添 添	38-58099-B
添加	38-58154-S
添加 添加	38-58154-B
添加剂	38-58207-S
添加劑 添加剂	38-58207-B
添置	38-58274-S
添置 添置	38-58274-B
添补	38-58354-S
添補 添补	38-58354-B
淼	38-58406-S
淼 淼	38-58406-B
清	38-58446-S
清 清	38-58446-B
清一色	38-58537-S
清一色 清一色	38-58537-B
清丰	38-64831-S
清仓查库	38-58806-S
清代	38-58640-S
清代 清代	38-58640-B
清代通史	38-58713-S
清代通史 清代通史	38-58713-B
清倉查庫 清仓查库	38-58806-B
清偿	38-58897-S
清償 清偿	38-58897-B
清党	38-66281-S
清兵	38-58976-S
清兵 清兵	38-58976-B
清冊 清册	38-59039-B
清册	38-59039-S
清军	38-64896-S
清剿	38-59096-S
清剿 清剿	38-59096-B
清华大学	38-64630-S
清单	38-59878-S
清原	38-59169-S
清原 清原	38-59169-B
清原县	38-59391-S
清原满族自治县	38-59244-S
清原滿族自治縣 清原满族自治县	38-59244-B
清原縣 清原县	38-59391-B
清史列传	38-59478-S
清史列傳 清史列传	38-59478-B
清史稿	38-59598-S
清史稿 清史稿	38-59598-B
清史館 清史馆	38-59677-B
清史馆	38-59677-S
清唱	38-59793-S
清唱 清唱	38-59793-B
清單 清单	38-59878-B
清城	38-59926-S
清城 清城	38-59926-B
清城区	38-60008-S
清城區 清城区	38-60008-B
清太宗	38-60100-S
清太宗 清太宗	38-60100-B
清太祖	38-60209-S
清太祖 清太祖	38-60209-B
清宛县	38-60319-S
清宛縣 清宛县	38-60319-B
清实录	38-60402-S
清實錄 清实录	38-60402-B
清廉	38-60470-S
清廉 清廉	38-60470-B
清廷	38-60524-S
清廷 清廷	38-60524-B
清徐	38-60599-S
清徐 清徐	38-60599-B
清扫	38-60848-S
清拆	38-60661-S
清拆 清拆	38-60661-B
清拆戶 清拆户	38-60738-B
清拆户	38-60738-S
清掃 清扫	38-60848-B
清政府	38-60927-S
清政府 清政府	38-60927-B
清教徒	38-60993-S
清教徒 清教徒	38-60993-B
清新	38-61046-S,38-61096-S
清新 清新	38-61046-B,38-61096-B
清新县	38-61164-S
清新縣 清新县	38-61164-B
清早	38-61244-S
清早 清早	38-61244-B
清明	38-61317-S
清明 清明	38-61317-B
清明節 清明节	38-61380-B
清明节	38-61380-S
清晨	38-61479-S
清晨 清晨	38-61479-B
清晰	38-61528-S
清晰 清晰	38-61528-B
清朗	38-61576-S
清朗 清朗	38-61576-B
清朝	38-61694-S
清朝 清朝	38-61694-B
清末	38-61764-S
清末 清末	38-61764-B
清末民初	38-61881-S
清末民初 清末民初	38-61881-B
清柠檬	38-62163-S
清查	38-61968-S
清查 清查	38-61968-B
清楚	38-62096-S
清楚 清楚	38-62096-B
清檸檬 清柠檬	38-62163-B
清水	38-62215-S
清水 清水	38-62215-B
清水河	38-62280-S
清水河 清水河	38-62280-B
清水鎮 清水镇	38-62366-B
清水镇	38-62366-S
清江	38-62444-S
清江 清江	38-62444-B
清汤	38-63109-S
清河	38-62505-S
清河 清河	38-62505-B
清河区	38-62590-S
清河區 清河区	38-62590-B
清河門 清河门	38-62685-B
清河門區 清河门区	38-62782-B
清河门	38-62685-S
清河门区	38-62782-S
清泉	38-62889-S
清泉 清泉	38-62889-B
清洁	38-63171-S
清洁剂	38-63218-S
清洁器	38-63290-S
清洗	38-62937-S
清洗 清洗	38-62937-B
清流	38-62996-S
清流 清流	38-62996-B
清涧	38-63425-S
清淡	38-63060-S
清淡 清淡	38-63060-B
清湯 清汤	38-63109-B
清潔 清洁	38-63171-B
清潔劑 清洁剂	38-63218-B
清潔器 清洁器	38-63290-B
清澄	38-63342-S
清澄 清澄	38-63342-B
清澈	38-63385-S
清澈 清澈	38-63385-B
清澗 清涧	38-63425-B
清炖	38-63492-S
清点	38-66219-S
清燉 清炖	38-63492-B
清爽	38-63557-S
清爽 清爽	38-63557-B
清理	38-63609-S
清理 清理	38-63609-B
清理队伍	38-63670-S
清理隊伍 清理队伍	38-63670-B
清瘦	38-63743-S
清瘦 清瘦	38-63743-B
清癯	38-63785-S
清癯 清癯	38-63785-B
清白	38-63834-S
清白 清白	38-63834-B
清皇朝	38-63882-S
清皇朝 清皇朝	38-63882-B
清盘	38-63969-S
清盤 清盘	38-63969-B
清真	38-64015-S
清真 清真	38-64015-B
清真寺	38-64065-S
清真寺 清真寺	38-64065-B
清秀	38-64117-S
清秀 清秀	38-64117-B
清算	38-64171-S
清算 清算	38-64171-B
清紅幫 清红帮	38-64280-B
清红帮	38-64280-S
清脆	38-64354-S
清脆 清脆	38-64354-B
清苑	38-64497-S
清苑 清苑	38-64497-B
清茶	38-64562-S
清茶 清茶	38-64562-B
清華大學 清华大学	38-64630-B
清蒸	38-64717-S
清蒸 清蒸	38-64717-B
清議 清议	38-64770-B
清议	38-64770-S
清豐 清丰	38-64831-B
清軍 清军	38-64896-B
清迈	38-65377-S
清远	38-65199-S
清远市	38-65278-S
清逸	38-64944-S
清逸 清逸	38-64944-B
清道	38-64995-S
清道 清道	38-64995-B
清道夫	38-65122-S
清道夫 清道夫	38-65122-B
清遠 清远	38-65199-B
清遠市 清远市	38-65278-B
清邁 清迈	38-65377-B
清酒	38-65422-S
清酒 清酒	38-65422-B
清醒	38-65482-S
清醒 清醒	38-65482-B
清鎮 清镇	38-65542-B
清镇	38-65542-S
清队	38-65663-S
清除	38-65608-S
清除 清除	38-65608-B
清隊 清队	38-65663-B
清静	38-65716-S
清靜 清静	38-65716-B
清音	38-65776-S
清音 清音	38-65776-B
清風 清风	38-65837-B
清風兩袖 清风两袖	38-65905-B
清風勁節 清风劲节	38-65996-B
清風明月 清风明月	38-66088-B
清风	38-65837-S
清风两袖	38-65905-S
清风劲节	38-65996-S
清风明月	38-66088-S
清點 清点	38-66219-B
清黨 清党	38-66281-B
渇	38-66335-S
渇 渇	38-66335-B
済	38-66380-S
済 済	38-66380-B
渉	38-66429-S
渉 渉	38-66429-B
渊	38-52445-S
渊博	38-52474-S
渊源	38-52556-S
渋	38-66475-S
渋 渋	38-66475-B
渌	38-44416-S
渍	39-53352-S
渎	40-12776-S
渎职	40-12828-S
渐	39-55315-S,39-55344-S
渐变	39-55728-S
渐新世	39-55385-S
渐新统	39-55482-S
渐次	39-55552-S
渐渐	39-55606-S
渐行渐远	39-55651-S
渐近	39-55778-S
渐进	39-55826-S
渑	40-673-S
渑池	40-725-S
渓	38-66524-S
渓 渓	38-66524-B
渔	39-42094-S
渔业	39-42377-S
渔具	39-42133-S
渔场	39-42177-S
渔夫	39-42226-S
渔妇	39-42267-S
渔捞	39-42310-S
渔民	39-42433-S
渔港	39-42487-S
渔猎	39-42533-S
渔笼	39-42609-S
渔网	39-42661-S
渔船	39-42714-S
渔轮	39-42761-S
渔钩	39-42808-S
渔鼓	39-42849-S
渖	40-13208-S
渗	39-31873-S
渗入	39-31923-S
渗凉	39-32262-S
渗出	39-31968-S
渗出物	39-32023-S
渗坑	39-32075-S
渗析	39-32121-S
渗水	39-32163-S
渗沟	39-32342-S
渗流	39-32212-S
渗滤	39-32432-S
渗滤壶	39-32477-S
渗漏	39-32382-S
渗碳	39-32538-S
渗色	39-32586-S
渗透	39-32628-S
渗透压	39-32688-S
渙 涣	38-66569-B
渚	38-66622-S
渚 渚	38-66622-B
減 减	38-66655-B
減低 减低	38-66733-B
減低速度 减低速度	38-66785-B
減價 减价	38-66856-B
減免 减免	38-66943-B
減刑 减刑	39-0-B
減半 减半	39-92-B
減去 减去	39-144-B
減噪	39-192-S
減噪 減噪	39-192-B
減壓 减压	39-242-B
減小 减小	39-303-B
減少 减少	39-372-B
減弱 减弱	39-448-B
減慢 减慢	39-504-B
減掉 减掉	39-551-B
減排 减排	39-595-B
減數分裂 减数分裂	39-649-B
減核 减核	39-713-B
減法 减法	39-769-B
減災 减灾	39-814-B
減產 减产	39-877-B
減稅 减税	39-972-B
減緩 减缓	39-1015-B
減肥 减肥	39-1073-B
減輕 减轻	39-1122-B
減退 减退	39-1189-B
減速 减速	39-1252-B
減速器 减速器	39-1330-B
渝	39-1383-S
渝 渝	39-1383-B
渝水	39-1485-S
渝水 渝水	39-1485-B
渝水区	39-1633-S
渝水區 渝水区	39-1633-B
渟	39-1726-S
渟 渟	39-1726-B
渠	39-1764-S
渠 渠	39-1764-B
渠县	39-1856-S
渠沟	39-1817-S
渠溝 渠沟	39-1817-B
渠縣 渠县	39-1856-B
渠道	39-1910-S
渠道 渠道	39-1910-B
渠魁	39-1951-S
渠魁 渠魁	39-1951-B
渡	39-2024-S
渡 渡	39-2024-B
渡假	39-2079-S
渡假 渡假	39-2079-B
渡口	39-2145-S
渡口 渡口	39-2145-B
渡渡鳥 渡渡鸟	39-2183-B
渡渡鸟	39-2183-S
渡船	39-2250-S
渡船 渡船	39-2250-B
渡輪 渡轮	39-2290-B
渡輪船 渡轮船	39-2330-B
渡轮	39-2290-S
渡轮船	39-2330-S
渡过	39-2386-S
渡過 渡过	39-2386-B
渢	39-2445-S
渢 渢	39-2445-B
渣	39-2485-S
渣 渣	39-2485-B
渣打銀行 渣打银行	39-2542-B
渣打银行	39-2542-S
渣滓	39-2621-S
渣滓 渣滓	39-2621-B
渤	39-2681-S
渤 渤	39-2681-B
渤海	39-2716-S
渤海 渤海	39-2716-B
渤海湾	39-2796-S
渤海灣 渤海湾	39-2796-B
渥	39-2849-S
渥 渥	39-2849-B
渥太华	39-2885-S
渥太華 渥太华	39-2885-B
渦 涡	39-2955-B,39-2993-B
渦旋 涡旋	39-3029-B
渦核 涡核	39-3074-B
渦輪 涡轮	39-3121-B
渦輪噴氣發動機 涡轮喷气发动机	39-3161-B
渦輪軸發動機 涡轮轴发动机	39-3255-B
渦陽 涡阳	39-3342-B
渧	39-3405-S
渧 渧	39-3405-B
渨	39-3434-S
渨 渨	39-3434-B
温	39-19358-S
温习	39-23044-S
温压	39-19922-S
温厚	39-19541-S
温县	39-22990-S
温和	39-19612-S
温和性	39-19666-S
温和派	39-19721-S
温哥华	39-19781-S
温哥华岛	39-19851-S
温存	39-19979-S
温室	39-20055-S
温室废气储存	39-20099-S
温室效应	39-20204-S
温室气体	39-20279-S
温家宝	39-20347-S
温宿	39-20410-S
温宿县	39-20467-S
温尼伯	39-20536-S
温岭	39-20587-S
温州	39-20652-S
温州市	39-20728-S
温差	39-20815-S
温布尔登	39-19416-S,39-20874-S
温布尔登网球公开赛	39-20953-S
温布尔顿	39-21099-S
温带	39-21162-S
温床	39-21210-S
温度	39-21313-S
温度梯度	39-21357-S
温度表	39-21430-S
温度计	39-21486-S
温得和克	39-21552-S
温情脉脉	39-21634-S
温故知新	39-21725-S
温故而知新	39-21826-S
温斯顿	39-21937-S
温暖	39-21995-S
温柔	39-22034-S
温标	39-22090-S
温江	39-22142-S
温江地区	39-22209-S
温泉	39-22308-S,39-22475-S
温泉县	39-22601-S
温泉城	39-22542-S
温热	39-22817-S
温煦	39-22780-S
温网	39-22855-S
温蔼	39-23096-S
温血	39-23144-S
温雅	39-23199-S
温顺	39-23246-S
温饱	39-23292-S
温馨	39-23382-S
温驯	39-23446-S
渫	39-3463-S
渫 渫	39-3463-B
測 测	39-3516-B
測地曲率 测地曲率	39-3582-B
測地線 测地线	39-3652-B
測地線曲率 测地线曲率	39-3723-B
測地線量學 测地线量学	39-3805-B
測天 测天	39-3880-B
測孕 测孕	39-3946-B
測定 测定	39-3996-B
測度 测度	39-4052-B
測徑器 测径器	39-4099-B
測控 测控	39-4151-B
測知 测知	39-4208-B
測算 测算	39-4259-B
測繪 测绘	39-4327-B
測良 测良	39-4385-B
測試 测试	39-4441-B
測距儀 测距仪	39-4532-B
測量 测量	39-4602-B
測驗 测验	39-4665-B
測驗結果 测验结果	39-4710-B
渭	39-4776-S
渭 渭	39-4776-B
渭南	39-4865-S
渭南 渭南	39-4865-B
渭南地区	39-4955-S
渭南地區 渭南地区	39-4955-B
渭南市	39-5050-S
渭南市 渭南市	39-5050-B
渭水	39-5151-S
渭水 渭水	39-5151-B
渭河	39-5252-S
渭河 渭河	39-5252-B
渭源	39-5347-S
渭源 渭源	39-5347-B
渮	39-5410-S
渮 渮	39-5410-B
港	39-5442-S
港 港	39-5442-B
港交所	39-5501-S
港交所 港交所	39-5501-B
港人	39-5600-S
港人 港人	39-5600-B
港元	39-5661-S
港元 港元	39-5661-B
港务局	39-5713-S
港務局 港务局	39-5713-B
港区	39-5771-S
港區 港区	39-5771-B
港口	39-5844-S
港口 港口	39-5844-B
港台	39-6384-S
港埠	39-5890-S
港埠 港埠	39-5890-B
港币	39-5947-S
港幣 港币	39-5947-B
港府	39-6016-S
港府 港府	39-6016-B
港弯	39-6070-S
港彎 港弯	39-6070-B
