and broad view	44-25630-S,70-18635-S
and dishes in complete disorder 成语 saw	33-13788-S
and disinfectant	12-63888-S,36-33025-S
and dislikes	14-8271-S,25-41205-S
and dislikes 成语 saw	12-29750-S
and dismal	8-24258-S
and dismiss	4-42201-S
and disordered	70-4420-S
and disorderly	49-24075-S
and disorganized soldiers	30-7165-S
and disoriented	31-58847-S
and dispel melancholy 成语 saw	38-30133-S
and disregarding all rules	45-17733-S
and dissipated	69-57376-S
and dissorderly	41-10426-S
and distant	57-40119-S
and distant past	39-16104-S
and distant relatives	57-40056-S,62-63747-S
and distribute	11-21301-S
and dive	38-13702-S
and divide	3-14509-S
and divide the earth	65-32821-S
and divination	63-49513-S
and do no work	69-8637-S
and do not reward too generously	63-63836-S
and dock area in shanghai	13-952-S
and documents	32-11403-S
and does not return	36-38454-S
and dog fly heavenwards 成语 saw	67-7583-S
and dogs	59-24334-S
and done	9-9555-S,35-54520-S,39-38702-S,43-55088-S,47-44284-S,49-36490-S
and dong autonomous prefecture in guizhou	71-34948-S
and dot in the eyes 成语 saw	43-59492-S
and down	1-45369-S,4-68165-S
and downs	60-15773-S,60-17873-S
and downs of life	66-42000-S
and downs success or failure	70-11362-S
and drabs	71-43396-S
and dragon sabre	5-63326-S
and dragons coil 成语 saw	55-47824-S,55-47958-S
and dragons mixed in together 成语 saw	70-39346-S
and drama college	55-32662-S
and draw	39-4327-S
and drawbacks	9-6586-S
and drawing	67-35574-S
and drift	38-12940-S
and drill 成语 saw	57-30307-S
and drink	12-26848-S,69-6670-S
and drink a toast	46-55185-S
and drink gluttonously	52-20869-S
and drink wine	54-13012-S
and drinking to excess	42-5473-S
and drip gall 成语 saw	27-11833-S
and dropping off	28-28306-S
and drug administration	15-7933-S,55-34928-S,69-2233-S
and drug administration authority fda	69-2785-S
and drug administration sda	69-2105-S
and drum	68-16978-S
and drum 成语 saw	53-3557-S
and drums 成语 saw	31-4042-S,63-59343-S
and dukes	42-33343-S
and dull	33-38732-S
and dull in conversation	61-43967-S
and durable	16-5888-S
and dust	41-2173-S
and duty 成语 saw	34-47338-S
and dvd	23-59867-S
and dwell on the trivial	63-7636-S
and dyeing	11-20103-S
and dynasties at different periods	34-9061-S
and dynasties at several different periods	71-53176-S
and early	2-52092-S
and early 20th century china	31-45217-S
and early 20th century leading up to 1911 xinhai revolution 辛亥革命	11-51102-S
and early chinese linguistics	2-52165-S
and early han	71-21976-S
and early ming	6-62603-S
and early qing	31-24949-S
and early republic	38-61881-S
and early wei roughly	36-54804-S
and earnest wishes	58-27901-S
and ears	13-27647-S
and ears glued 成语 saw	5-50462-S
and earth	2-21246-S,3-24295-S,17-45187-S,17-45514-S,27-45442-S,44-60297-S,54-46662-S
and earth by bride and groom in a old fashioned wedding ceremony	27-45189-S
and earth s principle 成语 saw	17-52669-S
and earth were split apart in the creation	65-32969-S
and earth 成语 saw	12-20247-S,30-69909-S
and easily understood	8-10470-S
and eastern han	7-46770-S
and easy	28-50565-S,40-18533-S,53-11541-S
and easy to see 成语 saw	68-52159-S
and easy to use	68-24499-S,68-24576-S
and eat	69-8816-S
and eat it	2-46276-S
and eat wildly set phrase	42-5379-S
and eccentric	19-12748-S
and economic cooperation moftec	20-48647-S
and economic status be in harmony	65-23355-S
and economics	20-48499-S,59-34118-S,69-24120-S
and economize on expenditure	65-38362-S
and edict	50-22165-S
and edit	50-19647-S,50-19842-S,50-21427-S,50-22106-S
and educate	58-39292-S,58-39359-S
and education	47-19285-S
and effect	5-58479-S,14-60852-S,14-61865-S,32-64677-S
and eggplant family	54-7021-S
and egypt	17-34511-S
and elaborate	50-37969-S
and elderly people	2-78899-S
and electric hand torch	26-36886-B
and electricity supply	16-54375-S
and electronic engineers	67-31416-S
and elegant	22-55512-S,30-58049-S,38-64944-S,47-54568-S,47-54988-S
and elegant calligraphy	68-61074-S
and elevations	43-58776-S
and eliminate	61-56375-S
and eliminate the roots 成语 saw	30-38497-S
and eloquent 成语 saw	4-60975-S
and employ him accordingly 成语 saw	64-5925-S
and employer	10-6246-S,10-6297-S
and emulate	57-42693-S
and emulate classic works	12-2515-S
and encamp somewhere	47-59135-S
and end of a reel	41-44603-S
and ends	30-6930-S,41-54542-S,67-21075-S,67-21884-S
and energy	1-59642-S
and engels 1848	7-72442-S
and engels communist manifesto	1-2375-S
and engineering	42-54501-S
and engineering as academic subjects abbr for 理科	42-54405-S,42-54632-S
and english two way translation	39-50876-S
and enjoy	57-43567-S
and enlarge	16-27573-S
and enlarged edition	16-27627-S
and enquire	50-18314-S
and entrench oneself at every step	35-42696-S
and entry	46-20746-S
and environmental	68-54242-S
and epitome of pseudo apollodorus	32-10848-S
and er than	36-8397-S
and errors	9-50603-S
and erudite	11-9379-S
and essential breath 血氣 血气 of traditional chinese medicine	4-15449-S
and eu	51-7333-S
and eurasia in geological history	22-61153-S
and europe	3-59673-S,35-26980-S
and europe golf team competition	54-39840-S
and europe of 1871	21-35836-S
and evaluate	39-3996-S,51-34200-S,58-7045-S
and evasive	15-24062-S
and even	3-9224-B,18-242-S
and even tempered 成语 saw	24-31913-S
and evening	31-14210-S
and every	5-53174-S,44-59452-S
and every inch	57-30450-S
and every month	31-7491-S
and everyone connected	25-33806-S,25-33955-S
and evil	18-25071-S,18-25586-S
and evil person	18-24595-S
and evil 成语 saw	23-58150-S
and exalt virtue	28-45128-S,40-5307-S
and examine	46-13522-S
and example	25-39302-S
and exasperated	36-28100-S
and exchange commission sec	19-24283-S,51-5233-S,58-59762-S
and excited 成语 saw	35-32128-S,53-26121-S,53-26242-S
and excitement	41-22844-S
and execution	20-22549-S,30-38177-S
and exhausted	42-10647-S
and exit	8-35281-S
and exit door	8-35559-S
and expectation	32-51455-S
and expectations	53-23015-S
and expecting the worst	33-11667-S,33-11757-S,33-11847-S
and expenditure	29-41194-S,29-41279-S
and experience	22-49569-S,57-31110-S,58-62261-S,58-63419-S
and experienced	11-8882-S,11-9379-S
and exploratory mission to us and europe of 1871	21-35836-S
and export	62-29016-S
and export without processing	1-19803-S
and expose vice	23-58150-S
and expression of a person	23-55614-S
and extending into switzerland	5-21303-S
and extort from the peasant	11-26321-S
and extort levies 成语 saw	35-8064-S
and extravagant	29-31032-S
and eyebrows come and go 成语 saw	45-35301-S
and eyelashes	45-36473-S
and eyes dark 成语 saw	68-37864-S
and eyes 成语 saw	28-33271-S
and face	25-15960-S,37-54338-S,52-52308-S,68-39398-S
and faint	68-37562-S
and fair	12-33391-S,12-56605-S,17-6657-S
and fairly 成语 saw	65-41782-S,65-42002-S
and fall	4-68165-S,27-21200-S,28-63656-S,37-37654-S,39-54326-S,45-5990-S,53-22879-S,53-25318-S,56-47922-S,60-17873-S
and fall from grace	60-56650-S
and fall guy 捧哏 peng3 gen2	20-47769-S
and fall of a body floating in water	26-66596-S
and fall of stock in one day s trading	39-53993-S
and fallen	67-21407-S
and falling pitch	26-66596-S
and family	8-7004-S,57-39487-S
and famine	54-17739-S
and far between	20-11778-S
and far esp of fame	62-49170-S
and far reaching	21-33595-S
and far 成语 saw	51-57006-S
and farsighted	45-57890-S
and fast	5-29223-S,5-29277-S
and fat	52-47166-S
and father of achim in matthew 1 13	29-8000-S
and father of zadok in matthew 1 13 14	3-59195-S
and fauna	10-285-S,54-14948-S
and fawning	18-24657-S
and fawning 成语 saw	66-12279-S
and fearful	25-26486-S
and fearing to be last 成语 saw	41-38100-S
and feathers etc	57-45930-S
and feeble	44-6353-S,47-30702-S,59-35621-S
and feed on	28-5694-S
and feelings	25-43261-S
and feet	27-49992-S,28-14757-S
and feet trip 成语 saw	26-35712-S
and feet 成语 saw	25-12546-S
and female	66-61340-S
and fengshui	1-27924-S
and ferocious	42-11827-S
and fertile	59-22448-S
and fertile soil	37-3770-S
and fetus	39-24544-S
and few	67-20647-S
and fiber	63-47356-S
and field athletics	43-37429-S
and field competition	43-37492-S
and field sports	43-37566-S
and fields	21-33321-S
and fierce	9-38469-S,9-66498-S
and fight against	27-6090-S
and fight at night 成语 saw	27-65772-S
and fighting 成语 saw	57-55397-S
and filled with evil 成语 saw	25-23777-S
and film recent usage	35-48337-S
and filter	38-42090-S
and filthy	10-62170-S
and final	68-17534-S
and final of a chinese syllable excluding initial consonant and tone	68-17732-S
and find out	33-46122-S
and fine	42-41342-S
and fine textured	16-5418-S
and finish work	1-45643-S
and fire	41-2626-S
and firm fleshed limbs	52-11883-S
and firm voice	4-69124-S
and first king of korean yi dynasty	33-2632-S
and first of 12 earthly branches 地支	43-39749-S
and first ten days of august	2-49271-S
and five emperors 五帝 of myth and legend	1-38373-S
and five righteous one	1-30531-S
and five virtues 成语 saw	1-39604-S
and fix a motor	35-12601-S
and fixed	63-50-S
and flatter	13-5284-S
and flee	11-66405-S
and flesh 成语 saw	70-1679-S
and flirtatious	18-34569-S,18-34955-S
and flora	40-14224-S
and flourishing vegetation	50-38150-S
and flowers	53-61711-S
and flows far 成语 saw	68-64268-S
and fluent	6-65171-S
and fluent speaker 成语 saw	11-70949-S
and fluently 成语 saw	20-54313-S
and fly	18-18966-S
and fly into space	1-48200-S
and fodder	49-392-S
and follow it 成语 saw	29-18794-S
and follow virtue	29-44350-S
and food	23-8532-S,23-8657-S,56-42919-S
and foolish	8-13741-S
and foot	3-53837-S,26-35533-S
and for all	66-22392-S
and for behaviour at school	13-33678-S
and for the republic	11-53542-S
and force	61-3379-S
and force people into service	27-20471-S
and force sb to give back the spoils	61-59306-S
and forceful	42-56035-S,45-65925-S
and forcefully	46-25431-S
and forehead	68-35637-S
and foreign	7-27569-S,16-23378-S
and foreign aggression	7-28483-S
and foreign minister	64-11746-S
and foreign relations	35-61026-S
and forests	54-14701-S
and forget home and duty 成语 saw	34-47338-S
and forget to go home	38-7004-S
and forgetful	69-35592-S
and forgiving	17-16864-S
and fork	8-48232-S
and form a judgment	20-21207-S
and former county in yunnan	31-19611-S
and forth	5-10643-S,5-17354-S,9-18085-S,23-60349-S,23-61936-S,23-62912-S,23-66214-S,23-66257-S,24-9768-S,29-29869-S,60-38863-S,60-53029-S
and forth again and again	5-17460-S
and forward	26-57989-S,28-55170-S
and forwards	5-17556-S
and four imaginary stars in astrology and fengshui	1-27924-S
and four of his sons zhuan xu 顓頊 颛顼	3-49838-S
and fowl of savages	54-12666-S
and fragmentary	8-26974-S,47-28127-S,67-21075-S
and fragrant	39-23382-S
and fragrant flowers 成语 saw	70-50916-S
and fraud 成语 saw	23-65532-S
and free	59-24781-S
and free the falsely accused defendant	11-46092-S
and freeze the heart 成语 saw	46-19827-S
and freezing	69-4610-S,69-19831-S
and frightening	71-30815-S
and fro	3-45685-S,5-17354-S,6-57006-S,9-18085-S,23-61534-S,23-62912-S,29-29351-S,62-35444-S
and fro between two sides	27-26206-S
and fro with hand	29-12188-S
and from administrative post	67-2267-S
and from reality and act blindly	65-28919-S
and frost	68-58952-S
and frugal	10-8363-S,10-9389-S
and fruit	69-26092-S
and fujian	35-25575-S
and full	15-24176-S
and full of care	47-57231-S
and full of enthusiasm	48-55736-S
and full of grievances	25-24717-S
and full of life	55-13126-S
and future	24-54266-S
and future effect 成语 saw	24-54266-S
and fuzzy sight	8-25045-S
and gain the upper hand 成语 saw	7-3039-S
and gansu	44-40909-S
and gansu provinces	46-51121-S,66-19412-S
and gas	37-22671-S
and gasfields	37-22715-S
and gaze into the distance	25-55619-S
and generosity	55-18175-S
and generous	39-19541-S,48-33481-S
and generous to the needy	4-26250-S
and gentlemen	8-65725-S,58-47409-S,58-47670-S
and gentlemen on radio	12-28335-S
and gentlemen on tv	12-28442-S
and germany	51-6880-S
and gesticulating for joy	26-35712-S
and get burnt expr 	25-27008-S
and get burnt 成语 saw	42-39839-S
and get more	16-54673-S
and get on with one s pursuit	19-32936-S
and get sth in return	28-46041-S
and ghosts	18-35174-S
and giddy	68-38080-S
and giggling 成语 saw	18-60793-S
and give birth late	31-44868-S
and give medical treatment	29-64432-S
and give people peace 成语 saw	66-22240-S
and give to sb else	61-21012-S
and give to the poor	64-36020-S,66-22240-S
and glaziers	37-42816-S
and gloomy	31-46582-S
and gloomy forest	71-30815-S
and glory	7-10273-S,20-43546-S
and go	5-17800-S,13-44550-S,21-26320-S,62-45148-S
and go ashore	1-49098-S
and go 成语 saw	45-35301-S
and goblins	46-62931-S,70-34004-S
and goblins hold no fears for me	57-29958-S
and gods at work 成语 saw	70-31065-S
and going alone 成语 saw	42-18139-S
and gold 成语 saw	49-23181-S,64-15617-S
and golden age of qing dynasty from kang xi to qian long emperors	23-1219-S
and gomorrah	26-28034-S,26-28096-S,49-26404-S,56-1775-S
and good	51-2540-S
and good faith	62-55804-S
and good looking 成语 saw	26-38859-S
and government	60-65284-S
and government administration	71-44703-S
and government circles	29-57354-S
and grabbing	27-109-S
and graceful	58-46147-S,61-11492-S
and graceful like a swallow	60-57283-S
and grain	22-14971-S,46-50228-S
and grammar	58-52216-S
and grandeur	66-52977-S
and grass	36-45774-S
and great rivers	12-55919-S
and great seal 大篆	47-25003-S,48-31522-S,48-31790-S
and green	67-57407-S
and green leafy vegetable	55-60959-S
and green traffic light	49-12231-S
and green waters	67-54766-S
and green willow	53-59418-S
and grenadines	51-47164-S
and grey sunken cheeks 成语 saw	44-63362-S
and groom as traditional wedding ceremony	3-70313-S
and groom in a old fashioned wedding ceremony	27-45189-S,27-45442-S
and group theory	15-59655-S
and guangdong	4-3037-S,35-47347-S,35-49086-S
and guangdong modern wu river 武水	40-16033-S,40-16119-S
and guangxi	7-44682-S
and guangxi in qing times	7-44586-S
and guide	57-64774-S
and guileless	51-27588-S
and guizhou plateau in southwest china	67-19035-S
and guns	29-37208-S
and guts cut to pieces 成语 saw	52-9457-S
and gynecology	19-4022-S
and hair	44-65787-S
and half	20-47570-S
and half a claw 成语 saw	1-23039-S
and half a dozen of the other	11-50697-S
and half false	10-59406-S
and half unwilling 成语 saw	10-58009-S
and han	22-9400-S
and han 206 bc 220 ad dynasties	47-24544-S
and han river 汉水 valley	47-24151-S
