dalian	31-7865-S
dangchang place in gansu	19-39289-S
danger	2-35581-S,8-46665-S,8-46665-S,10-9467-S,11-21925-B,11-23081-S,11-23520-S,11-23622-B,15-47009-B,18-18001-S,19-25057-S,25-8213-B,28-51207-S,29-31872-S,35-59343-S,40-14061-S,52-34561-S,54-64374-S,61-64498-S,62-35936-S,63-7865-S,66-45513-B
danger appears	8-46665-S
danger area	15-50613-S
danger arises 成语 saw	52-57896-S
danger bravely	2-35456-S
danger concealed within sth	66-47656-S
danger in one s own backyard	59-10542-S
danger of anything going wrong	44-54922-S
danger to life	11-22046-S
dangerous	2-4696-B,7-2852-B,11-23622-B,21-43529-S,21-43614-S,35-60240-B,53-44013-S,65-65394-B,65-65427-B,66-38255-B,66-45513-B,66-45841-B
dangerous and difficult path	66-46070-B
dangerous ball in soccer	66-45900-B
dangerous circumstance	66-45777-B
dangerous enemy from his external appearance	13-28660-S
dangerous housing	11-22956-B
dangerous road	11-23575-B,70-51070-S
dangerous sea cliff	46-38102-B
dangerous situation	11-22258-B
dangerous state	11-22330-S
dangers	2-35581-S,8-11660-S
dangers calmly	57-29958-S
dangers with assurance	52-58825-S
dangle	12-44352-B,15-54430-B,35-7319-B,50-41037-B
dangling	12-43087-B,50-47999-B
dangling ornament worn by women	35-42422-B
dango japanese dumpling	49-1039-B
dangshan place in anhui	46-30468-S
dangtu place in anhui	43-67625-S
dangxiong place in tibet	43-68350-S
dangyang city in hubei	43-68286-S
daniel	4-64611-S
daniel name	3-2102-B
daniel o connell 1775 1847	18-13708-B
daning place in shanxi	17-15220-S
danjiangkou city in hubei	3-2697-S
danleng county in sichuan	3-3200-B
dante alighieri	4-64561-B
dantu place in jiangsu	3-2293-S
danube	16-60192-S,16-60236-B
danyang city in jiangsu	3-3272-S
danzhai place in guizhou	3-1971-S
dao	1-1662-S,62-50632-S,62-52307-S
dao 276 339	42-34564-S
dao according to laozi 老子	42-26982-S
dao by laozi or lao tze	62-50958-S
dao chinese poet	10-30849-S
dao county in hunan	62-51654-B
dao4	30-58873-S
daocheng place in sichuan	47-35750-S
daofu place in sichuan	62-50273-S
daoguang emperor	62-49729-B
daohan	36-64390-S
daoism	1-29155-S,1-34806-S,1-34868-S,1-44800-S,1-44864-S,5-49503-S,17-60923-S,62-50334-S,62-51263-S
daoism and buddhism	42-27653-S
daoism chinese system of beliefs	62-51187-B
daoism god of the north sky	42-27749-S
daoism in tang and song times	62-50334-S
daoist	5-435-S,7-25719-S,31-28850-S,62-50814-B,62-51263-S
daoist abbot	30-61426-S
daoist adept	69-52910-S
daoist and confucian ideals	42-27474-S
daoist classic zhuangzi 莊子 庄子	23-27144-S
daoist deities heart 心	7-68706-S
daoist doctrine of inaction	40-56204-S
daoist immortal	4-27991-B,5-48520-S,46-55687-S,51-15546-S,71-38410-S
daoist immortal etc	45-41433-S
daoist immortals	67-45094-S
daoist magic	62-50334-B
daoist monk or nun	37-34260-S
daoist nun	62-50230-B
daoist priest	20-43160-S,51-15663-B,62-50143-S,62-52244-B
daoist priest or buddhist monk	23-15234-S
daoist priests	39-42849-S,70-39180-S
daoist school or religion of laozi or lao tze 老子 c 500 bc and zhuangzi 莊子 庄子 369 286 bc	62-50494-B
daoist scripture	62-51852-B
daoist success	68-62785-S,68-63529-S
daoist talisman	67-52888-S
daoist temple	62-51903-B
daoist to fast	71-54477-S
daoists namely mt tai 泰山 in shandong	3-48479-S,3-49734-S
daoji	40-8960-B
daoud khalil ashrawi 1946 	65-66137-S
daoxiang of zhao 趙國 赵国	25-11426-S
daoyuan sanctuary of the dao	62-52307-B
daphne	42-62987-S,53-53155-S
daphne daphne genkwa	53-53103-S
daphne genkwa	53-53103-S,53-53155-B
daqian	23-38167-S
daqing city in heilongjiang	17-18137-B,17-18198-B
dar es salaam city in tanzania	62-54869-B
dare	2-12841-S,30-6316-B
dare not accept the honor	2-12885-S
dare not go one step beyond the prescribed limit	2-13180-B
dare to	9-66297-S,30-6634-B
daredevil	56-23177-B
darfur	62-54427-B
darfur rebels	59-53751-S
darfur western province of sudan	62-54615-B
dari place in qinghai	62-54039-S
daring	17-32371-B,33-36681-S,36-30814-S,52-50625-B,70-33655-B
daring to act and courageous enough to take responsibility for it	30-6343-B
daring to act for oneself 成语 saw	2-13082-S
daring vanguard	24-57498-B
dark	8-15420-B,25-47649-B,29-3774-S,31-36584-B,31-46541-B,31-60422-B,31-60469-S,31-63589-B,40-57922-S,45-61209-S,47-54931-B,47-58249-S,50-13985-B,71-28837-B,71-30309-B,71-30815-S,71-37556-B,71-43615-S,71-43731-B,71-45791-B
dark adaptation	31-63387-B
dark ages before civilization	39-8323-S
dark and gloomy	31-46582-B
dark and gloomy forest	71-30815-B
dark and quiet	33-26561-B
dark and swarthy	71-28941-B
dark and uninhabited 成语 saw	33-26608-B
dark black color	71-37556-B
dark blue	40-37635-B,46-29969-B,55-2676-B
dark brown horse	69-57704-B
dark brown sugar	49-12099-B
dark clouds	32-1577-B
dark color	57-7130-S
dark gray	38-50929-B,50-479-B
dark green	46-29798-B,67-58218-B,71-37517-B
dark green leaf	53-62854-S
dark horse	71-33578-B
dark line spectrum	31-62636-B
dark moon	32-26838-B
dark nebula visible as a shadow	31-61431-B
dark orange	35-1856-B
dark red	35-65605-B,50-15706-B
dark red color of silk product	50-598-B
dark side	66-26052-B
dark society	71-32220-B
dark 成语 saw	68-13305-S,68-37864-S
darken	59-9552-B,59-12833-B
darken the sky 成语 saw	68-58368-S
darkly	71-30309-B
darkness	17-953-S,31-62024-S,71-30309-B
darkroom	31-61114-B
darling	14-62615-S,20-28517-B,20-29317-B,20-30676-B,24-37809-B,57-39245-S
darling name	62-52689-B
darling river system in south australia	16-29346-S
darn clothing	50-27298-S
darned	4-25180-S
daro	28-65333-S
dart	27-1114-B,45-62854-B,64-58393-B,68-63079-S
dart frog	48-27678-S
dartmouth college	62-54776-B
dartmouth place name	62-54701-B
darts	65-7233-B
dartsendo	23-1770-S
daruan or bass lute	17-38312-B
daruqachi	62-53028-S,62-55544-S
darussalam	30-30710-S
darwin	62-54554-B
darwin 1809 1882	62-54485-S
darwin s origin of species	41-54451-S
darwin s theory of evolution	62-29197-B
darya	64-46506-S,66-853-S
das kapital	59-51974-B
dash	7-41788-S,39-30354-S,40-5596-S,40-5693-S,44-55828-S,46-17541-B,47-52686-S,56-39069-S,64-33227-B
dash against	37-12703-S,56-38985-B
dash ahead regardless of the danger	18-18001-S
dash run fast	68-63079-S
dash ── punct	46-17541-S
dashan	17-16264-B
dashed hopes	15-49160-S,15-49273-S
dashi 1087 1143	51-40713-S
dashing of water	40-10250-B
dashing of waves	39-15299-B
dashing over rooftops of robbers and pursuing knight errant 俠客 侠客 in fiction	60-54554-B
dashing waves	38-43038-S,39-53622-S
dashiqiao county level city in yingkou 營口 营口	17-29144-S,17-29263-S
dashu or great heat	17-20652-B
dasz ice cream	13-38922-S
data	10-39159-S,12-21691-S,15-70239-B,20-58146-S,23-52911-S,23-53228-S,30-16007-S,30-21941-B,30-22021-B,30-23640-S,30-28212-S,33-7056-B,38-32624-S,43-35415-S,49-53429-S,54-61116-S,54-61218-S,58-30682-S,59-50935-B,59-51381-S,61-6989-S,67-28243-S
data communication	30-22617-B
data compression	30-22218-B
data delivery service	59-51229-B
data direct in lan emulation	45-21849-B
data e g from a database	10-37881-S
data for astrological purposes	43-30163-S
data from compressed file	57-48519-S
data in a box on a questionnaire or web form	16-21799-S
data interface	7-12072-S,7-12222-S,7-12360-S,30-22074-B,30-22423-B,59-51004-B
data into memory	20-44977-S
data link	30-22691-B
data link connection identifier	30-22837-B
data link layer	30-22755-B,59-51444-B
data network	30-22549-B
data segment	30-22492-B
data structure	16-6439-S
data to a model	29-27499-S
data transmission	22-795-S,22-795-S,30-22144-B,59-51154-B
data warehouse comp 	59-51075-B
database	10-37881-S,30-22288-B,59-51329-B
database search	28-56618-B
database software	30-22339-B
date	5-40294-S,9-9920-S,9-9986-S,21-32470-S,21-55534-S,28-37621-S,29-18903-S,31-5051-B,31-6721-S,31-8263-B,32-34167-S,32-34411-S,40-32619-S,45-30938-B,51-33592-S,61-44298-S,62-46395-S,63-25739-S
date a rich guy	6-26497-S
date customs	53-28827-S
date from	61-59008-S
date in the future e g for repayment	62-61350-S
date line	15-16900-S
date of birth	8-42529-B
date of document	17-65573-S
date of issue of document	48-40744-B
date of military expedition	65-35794-S
date of use on foodstuffs	5-40294-B
date tree	34-21950-B
date with intention to marry	45-30938-S
date ziziphus jujuba var spinosa	63-45067-S
dates	34-21806-B,34-21841-B,49-10228-B,56-4850-B,68-21088-S
dates of birth and death of historical figure	43-18778-B
dates unknown	55-35786-S
datian county in fujian province	17-28386-B
dating back to song and yuan periods	22-44990-S,58-7862-S
dative case	53-22486-B
datong	22-38798-S
datong in shanxi province	22-59776-S
datong prefecture	67-50633-S
datura stramonium	32-15232-S
daub	9-12096-S,16-18446-B,16-18621-S,28-57695-B,38-27896-B
daughter	10-51659-S,14-62578-B,16-46973-S,16-47050-S,16-48984-S,16-48984-S,18-19455-B,18-19495-S,18-20216-B,18-37317-S,18-43975-S,18-44119-S,18-61863-B,19-9985-S,19-14663-S,19-14724-S,35-20502-S,42-20055-S,43-33456-S,58-3439-S,65-48288-B,69-10759-S
daughter cell	19-1918-B
daughter honorific	18-61816-S
daughter humble	20-62465-S
daughter in law	7-22182-B,18-56974-B,18-57011-B,18-57090-B
daughter in law or son in law	57-38683-S
daughter of duke mu of qin 秦穆公	42-29584-S
daughter of fiery emperor 炎帝 who turned into bird jingwei 精衛 精卫 after drowning	18-19721-S
daughter of pai ping ping	44-40017-S
daughter s daughter	16-46973-B,16-47050-S
daughter s husband	16-49072-S,18-44032-S,19-14796-S
daughter s husband／son in law	18-19856-B
daughter s son	16-46885-B
daughters	7-22041-S,16-2748-S,19-629-S,56-43842-S
daunting and vigorous momentum	18-31059-B
dauntless	18-18181-B,25-6587-B,25-6668-B,36-30129-S,64-33108-B
daur ethnic minority	62-53866-B
daur ethnic minority of inner mongolia and heilongjiang	62-53930-B
david	26-24252-S,40-24308-S,56-20569-S,62-52905-S
david 1748 1825	17-34434-S
david agreement of 1978 brokered by president jimmy carter between israel and egypt	17-34511-S
david clive wilson	56-37336-B
david hilbert 1862 1943	22-21012-B,22-21576-B
david hume 1711 1776	4-56302-B
david name	17-34434-B,62-52860-B
davidianus	2-57612-S,18-50111-S
davidianus davidianus	2-57612-S
davidovich trotsky 1879 1940	57-65525-S
davies english name	26-24074-S
davis	9-59045-S
davis cup international tennis team competition	26-24148-B
davis or davies english name	26-24074-B
davis us state department arms control expert	42-58699-S
davos swiss ski resort	62-54232-B
davos world economic forum wef	62-54232-B,62-54331-B
dawa county in panjin 盤錦 盘锦	17-29899-B,17-29966-B
dawdle	16-39908-S,28-7512-B,37-36891-S,46-40980-S
dawdling	27-37287-B,68-27463-B,68-48627-B
dawn	1-5821-S,5-27448-S,6-26234-B,17-47783-B,31-12669-B,31-16751-B,31-17095-B,31-20072-B,31-28598-B,31-46220-B,31-46694-B,32-1702-B,32-2161-B,32-2248-B,32-3757-S,37-18240-B,45-61721-B,55-18787-S,55-18933-S,59-60317-S,71-26973-B
dawn of a new epoch metaphor	32-2161-S
dawn of a new era	32-2248-S
dawn of time	32-2769-S
dawn sky	70-37879-S
dawns upon one	57-41330-S
dawu place in hubei	17-17795-S
daxian city in sichuan	62-54974-S
daxin place in guangxi	17-19646-S
daxing anling prefecture in northwest heilongjiang province	17-32866-B
daxing county level district of beijing municipality	17-32770-B
daxing place in beijing	17-32707-S
daxue or great snow	17-40099-B
day	1-5991-S,1-6032-S,1-33352-S,1-77193-S,4-4679-S,5-11314-S,6-8423-S,6-16245-S,6-62028-S,7-22495-S,7-35958-S,7-48398-S,7-50427-S,7-51013-S,8-67837-S,9-18756-S,9-18919-S,10-5156-S,10-56150-S,10-61611-S,11-23171-S,11-24647-S,12-40124-S,12-40124-S,12-47988-S,15-9019-S,15-15127-S,16-11024-S,17-10568-S,17-43064-B,17-43830-S,17-45795-S,17-53104-S,17-61313-S,18-26866-S,18-53900-S,22-41708-S,24-50204-S,24-50204-S,25-12225-S,25-12286-S,25-31111-S,25-41069-S,29-44551-S,29-44551-S,30-2426-S,31-5051-B,31-5898-S,31-6552-S,31-6721-B,31-7186-S,31-7370-S,31-10767-S,31-10767-S,31-10944-S,31-12280-S,31-12669-B,31-16421-S,31-32605-S,31-38593-S,31-39520-S,31-41040-S,31-41697-S,31-55203-S,31-59368-S,32-3723-S,32-34770-S,35-19985-S,35-20890-S,36-4518-S,36-5265-S,40-3302-S,41-41385-S,43-66975-S,43-66975-S,43-67343-S,43-67343-S,44-38274-S,44-38274-B,47-39927-S,47-40041-S,48-11116-S,49-2968-S,49-36023-S,49-58724-S,51-17510-S,53-40708-S,53-40708-S,53-56819-S,55-2218-S,57-49674-S,60-25601-S,61-61611-S,62-5067-S,62-22438-S,63-16569-S,63-16569-S,65-34443-S,66-23847-S,68-36554-S,68-55421-S,69-20305-S,70-50916-S
day 25 april commemorating the anzac landing at gallipoli in 1915	40-3302-S
day after day	62-22438-B
day after tomorrow	23-67912-B
day and come out at night	31-45960-S
day and do no work	69-8637-S
day and every month	31-7491-S
day and month	31-7491-B
day and night	31-6607-B,31-46061-B,37-9689-B,65-15099-S,70-33373-S
day and night to toil	11-11411-B
day before	1-48200-S,9-19212-S
day before an event	9-17876-S
day before new year s eve	21-1723-S
day before yesterday	9-19322-S,9-21135-B
day break	31-12669-B,32-2315-S
day by day	31-10767-B,31-12280-B
day christian festival forty days after easter	51-40842-S
day christian festival on 2nd november	54-48411-S
day difference 成语 saw	17-45514-S
day division of the month during tang dynasty	38-9178-S
day drags past like a year 成语 saw	22-63768-S
day dream	44-39882-B
day duty	6-4788-S
day eating i e not doing any work	69-8525-S
day generally of laborers	29-40806-S
day glare	40-29597-S
day holiday periods at new year 春節 春节	71-24132-S,71-24371-S
day in banking	3-69953-S
day in christian mythology	32-59873-S
day labor	30-7822-B
day laborer	52-57824-B
day lighting	28-20779-B
day lily hemerocallis	64-16078-B
day lily hemerocallis flava	54-48509-S
day lily hemerocallis fulva	64-15926-S,71-22507-S
day long	1-6032-S,26-9311-S,30-14982-S,49-36204-S
day may day	10-5156-S
day o clock	71-42498-S
day october 1	10-41760-S
day of 5th lunar month	47-65334-S,63-55641-S,63-56737-S
day of 7th moon	2-50380-S,2-50457-S
day of a month	3-33371-S,3-33683-S,3-34326-S,3-34689-S,3-54421-S,10-42163-S,55-55154-B
day of atonement jewish holiday	60-4779-S
day of celebration after ramadan	65-44538-S
day of celebration marking the end of ramadan	17-38030-S,52-5436-S
day of commemoration	49-2968-B
day of each lunar month	32-44830-S,32-46281-S
day of each month	32-27406-S
day of early chinese and babylonian time keeping and astronomy	10-43224-S
day of issue	69-22343-S
day of lent	51-48607-S
day of lunar month	8-67837-S,32-44587-S
day of many countries	15-8886-S
day of month lunar calendar	32-52020-S
day of the 5th lunar month	3-51082-S,47-65421-S
day of the lunar month	32-44910-S
day of the month	1-20022-S,3-34127-S,3-41297-S,7-69181-S,31-5051-B
day of the week	31-30345-S
day off work	23-8041-B
day on 8th march	1-30903-S
day on oct 10	15-8886-S
day on oct 1st	15-8886-S
day or double shift school	10-58495-S
day or month inserted into the lunar or solar calendar such as february 29	65-44788-S
day or night	37-9689-S
day or two	1-3921-S
day period	31-16691-S
day periods of hot season	68-36248-S
day quite soon	31-14007-S
day s march 成语 saw	61-62965-S
day s trading	39-53993-S
day saints	51-41109-S,51-41275-S
day shift	44-42274-B
day tang poet wang wei s 王維 王维 remembering his brother	36-6518-S
day that is named but not numbered on ethnic calendar	47-47706-B
day to day	49-58724-B
day war of june 1967 between israel and her arab neighbors	7-67631-S
day 成语 saw	1-76013-S,7-7890-S,12-48043-S,32-57086-S
daya bay	17-5066-B
dayan pagoda in xi an	17-39445-B
dayao county in yunnan	17-13718-B
dayao place in yunnan	17-13658-S
daybreak	6-26234-B,31-46694-B,31-63617-B,32-1702-B,32-2161-B,38-61244-S,46-17881-B,71-26973-B
daydream	44-27030-B,45-50704-S,47-47095-B
daye city in hubei	17-6724-S
dayi county in chengdu 成都 prefecture	17-36602-B
dayi place in sichuan	17-36543-S
dayi tongzhi	17-4082-S,17-6216-S
daylight	7-7890-S,17-43745-B
daylight robbery	65-44346-B,71-29935-B
daylight saving time	16-40175-B,16-40784-B,31-5555-B
dayong city in hunan	17-17052-S
days	1-32065-S,1-33307-S,2-13735-S,3-48752-S,7-44140-S,7-50427-S,11-24647-S,12-2839-S,14-48358-S,17-20780-S,17-20780-S,22-57520-S,22-57566-S,23-62061-S,23-62454-S,23-62606-S,31-15984-S,31-16142-S,31-16142-S,31-16214-S,31-16256-S,31-16322-S,31-16490-S,31-28482-S,43-67136-S,53-28295-S,53-28359-S,61-48167-S,61-48167-S,62-5361-S,62-46039-S,63-16772-S,66-63716-S
days after easter	51-40842-S
days after the winter solstice	1-29671-S
days ago	31-5898-S
days and months slip away	31-7939-B
days around the qingming festival 清明節 清明节	20-9857-S
days before easter	14-50700-S,17-42899-S
days by jules verne 儒勒·凡爾納 儒勒·凡尔纳	7-49388-S
days in succession	62-20502-S
days later	17-47037-S
days of august	2-49271-S,32-59654-S
days of july	8-67963-S
days of july and first ten days of august	2-49271-S
days of one s life	22-48859-B,31-6721-B
days of summer	4-53149-S
days only nine meals 成语 saw	1-35002-S
days reform 百日維新 百日维新	26-5949-S
days running	62-22438-S
days time	2-13735-S
days 成语 saw	1-33352-S
daytime	31-12394-B,31-45929-B,44-38274-B,44-39975-B
dayton city in ohio	4-33852-B
dayu county in ganzhou 贛州 赣州	17-41297-B,17-41365-B
dayuan dayi tongzhi	17-4082-B,17-6216-B
daze	31-58604-B,48-60384-S,48-60494-S,61-55356-S
dazed	31-26839-B,45-48245-B,61-54718-B
dazhai	17-15282-B
dazhou prefecture level city in sichuan	62-53303-B,62-53376-B
dazhu place in sichuan	17-30045-S
dazi place in tibet	62-53136-S
dazu place in sichuan	17-35849-S
dazzle	31-43004-B,32-2393-B,40-29711-B,41-11402-B,51-24413-B
dazzle coll 	65-26124-S
dazzle the eyes	18-17675-B
dazzled	45-46271-B,45-46695-B,45-51618-S
dazzling	7-8887-B,32-38812-B,41-3690-S,41-8979-B,41-13254-B,43-3073-B,45-46479-B,49-48907-B
dazzling line up	42-58917-S
dazzling riot of colors	45-18895-S
dazzling sight e g royal palace	64-13284-S
dazzling with paper and gold 成语 saw	49-23181-S,64-15617-S
ddos form of internet attack	8-49549-S
ddt	39-33586-B
de	12-17483-B
de 1886 1976	32-68821-S
de 219	71-63241-S
de absorb	57-47990-S
de an county in jiujiang 九江	24-24966-B,24-25029-B
de balzac	22-8468-S
de coulomb 1736 1806	22-65370-S
de facto	3-30175-B,55-55525-B
de facto marriage	3-30414-B
de fermat 1601 1665	59-47343-S
de france	37-34169-S
de gaulle 1890 1970	26-24308-S
de guadarrama mountain range across iberia	43-9767-S,43-9870-S
de gymnastique	15-21096-S
de janeiro	63-55392-S
de la crème	63-47572-S
de la méthode by rené descartes 笛卡兒 笛卡儿	30-63510-S
de loup	42-9527-S
de nuclearize	40-54725-S
de sac	35-59196-S
de saint exupéry	51-46758-S
de secondat	19-10685-S
de villepin french name	24-27945-S
de5	4-62734-S
de5 or shi5 de5	4-62734-S
deacon	15-64681-B
dead	2-2228-S,5-21790-S,5-32845-S,5-58124-S,5-60246-S,6-8709-S,13-47183-S,15-56977-S,17-31983-S,18-11298-S,19-32499-S,23-27034-S,29-19735-S,35-25284-S,35-57830-S,35-59140-S,35-60364-S,35-60737-S,37-8668-S,40-48390-S,43-62592-S,44-49465-S,49-23318-S,54-54426-S,54-60290-S,57-26380-S,58-18060-S,59-62987-S,60-17020-S,66-23377-S,66-62949-S,66-63023-S,70-513-S,70-723-S
dead and buried	16-19193-B
dead and injured	35-56770-B
dead and wounded	35-56832-B
dead animal	52-19427-S
dead body	21-20800-B,21-20858-B,35-57106-S
dead bomb i e not exploding on impact	53-16672-B
dead bullet i e not firing	53-16546-B
dead burnt at funerals	23-26720-S
dead but will not close the eyes 成语 saw	35-55881-B,35-56041-B
dead cannot testify 成语 saw	35-58308-S
dead cantonese slang puk1 gaai1	6-50960-S
dead drunk	41-36565-B
dead end	35-57159-B,35-59196-B,35-59279-B,60-11844-S
dead horse 成语 saw	35-59864-S
dead human remains	63-3980-B,63-4032-B
dead language	35-57630-B
dead letter	55-52633-B
dead men tell no tales	35-58308-B
dead of batteries	37-12143-B
dead of night	4-8066-S
dead of torment	10-58847-S
dead person	35-56579-B,63-4085-S
dead person of deceased s partner	66-23279-S
dead sea palestine	35-58087-B
dead than alive	57-26380-S
dead weight	61-8178-B
dead 成语 saw	19-63585-S
deadline	26-16066-B,27-62408-S,31-16421-S,32-20601-B,32-51912-B,66-18815-B
deadline etc	20-27970-S
deadlock	6-52496-B,6-52701-B
deadlock in negotiations	44-13013-B
deadlocked	6-52752-S
deadly	35-56293-B,53-19163-B,53-19328-B
deadly earnest	1-11374-S
deadly mushrooms	70-56843-S
deadly nightshade atropa belladonna	64-4510-B,68-46547-B
deadly rodent borne viruses responsible for hemorrhagic fever with renal syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
deadly urgent	57-26289-B
deadpan	1-11374-B
deaf	51-67690-S,51-67690-B,52-2380-B
deaf ear	7-118-S
deaf ear to	50-53210-S
deaf ears	20-52736-S
deaf mute	57-568-S
deaf mute person	52-2408-S
deafen	5-15341-B
deafening	67-40732-B
deal	1-20861-S,3-69756-S,7-48255-S,11-48269-S,20-12972-S,26-7549-S,33-28007-B,51-21590-S,65-34530-S
deal in	41-30716-S,59-38330-B
deal in cash	7-20062-S
deal in liquors	63-41973-S
deal is off	27-21200-S
deal of	18-26545-S,58-47817-S
deal sincerely and fairly 成语 saw	65-41782-S,65-42002-S
deal with	9-12755-S,11-37024-S,13-12129-B,18-2351-S,20-46890-S,23-64931-S,24-10189-S,25-58821-S,44-5002-S,47-44380-S,55-48615-S,55-49051-S,55-50218-S,61-34549-S,67-11322-S,67-13206-S,68-48800-S
deal with a matter	55-49195-S
deal with sth	37-215-S
deal with the subject just mentioned	9-51084-S
dealer	3-69826-B,3-70020-B,5-59148-S,53-9982-B,59-38489-B,67-19944-B
dealers automated quotations	49-16437-S
dealing	4-30474-S,7-28234-S,7-59461-S,15-53464-S,27-17642-S,41-31903-S
dealing in illegal foreign currency of money laundering	64-44842-S
dealing with	26-40675-S
dealing with a situation	20-54437-S
dealing with concrete issues	10-3556-B
dealing with hijacking	41-60878-S
dealings	23-61936-B,23-62984-B,59-45498-S
dean	66-20498-B
dear	13-49689-S,57-38035-S,57-39199-B,57-39245-S
dear leader of north korea	64-11500-S
dear listeners 	12-28335-B
dear ones at each festive day tang poet wang wei s 王維 王维 remembering his brother	36-6518-S
dear or beloved way of starting a letter	57-39124-B
dear viewers 	12-28442-B
dearly	24-35533-S,31-38414-S,44-6671-S
dearly lover	64-51507-S
