melt.	33-3440-S
mitigation, solace, refreshment.	5-1932-S
mitigation, solace.	5-1986-S
mitigation.	5-1882-S
mitre .	10-4842-S
mitre.	9-5638-S
mix properly, temper, regulate, mitigate.	34-6468-S
mix, blend /confound, confuse, trouble.	35-3676-S
mix, mingle, blend.	34-6521-S
mix.	33-5816-S
mixed fodder for cattle, mash /mishmash, medley, mixture.	18-5193-B
mixed, indiscriminate /commonplace, usual.	18-5259-B
mixture /confounding, confusion, disorder.	18-4795-S
mixture.	18-5193-S
mnster.	18-5323-B
moan.	6-6056-S,14-3963-S
moat.	11-878-S,20-5534-S
mob, crowd, multitude.	40-3989-S
mob, rabble, mass, multitude.	26-5125-S
mob.	18-5345-B,21-3517-S
mock, cheat.	34-6565-S
mock, deride.	34-103-S
mock, make fun of, ridicule.	34-6588-S
mock, ridicule.	34-138-S
mock, to scorn.	3-2221-S
mock.	34-6642-S
mockery.	18-5356-B,18-5377-S
mocking grimace, mockery.	18-5377-B
mode, way.	18-3039-S
model, example .	20-6396-S
model, example.	18-246-S
model, pattern, original, prototype, book to copy.	18-5409-B
model.	5-4988-S
moderate, control oneself.	6-4340-S
moderate, diminish, direct, govern.	34-6660-S
moderate, mediocre.	20-3336-S
moderate, or some size.	1-4154-S
moderate, restrained.	20-3213-S
moderate, within bounds, limited, undistinguished.	18-5469-B
moderate.	1-4249-S,18-5527-B,25-1931-S
moderately, economically.	18-5546-B
moderately.	18-5578-B
moderation, self-control, temprance.	18-5596-B
moderation, spare,.	1-1793-S
moderation, temper.	26-2740-S
moderation.	18-5645-B
modest.	6-4030-S
modest. chaste.	18-5666-B
modestly.	15-4669-S
modesty, bashfulness.	18-5690-B
modesty, shame, disgrace.	22-5538-S
moist, soaked, boiled, soft, drunk, dyed, steeped.	41-3504-S
moist.	18-5718-B
moisten, get wet / wash away.	39-1256-S
moisture, rainwater from the eaves.	11-2292-S
moisture.	18-5733-B
molest.	34-6707-S
moleste fero i take annoyance.	26-2625-S
molten metal), melt, cast.	35-3768-S
moment, crisis.	2-7057-S
moment, in that matter.	16-612-S
moment, opportunity.	12-4647-S
moment.	13-2460-S
monarchy.	18-5747-B
monastery in which he was intered.	2-3377-S
monastery) is well-built.	2-6555-S,2-6612-S
monastery, abbey, convent.	18-5767-B
monastery.	4-3134-S,19-3078-S
monastic life.	38-5798-S,41-1670-S
monastic mess hall.	22-5673-S
monastic oath.	30-2832-S
monastic profession of vows/ oath of canonical obedience.	18-5806-B
monastic rule.	18-5874-B,23-4309-S
monastic vows.	15-487-S
monastic) prior.	2-4918-B
monastic, liturgical.	18-5899-B
money /slander someone.	38-2511-S
money box, coffin, cell.	8-2532-S
money lent /interest.	40-4401-S
money) by means of which he lived.	2-4102-S
money).	9-6278-S
money, a small property.	3-2657-S
money, prize-money.	21-760-S
money.	4-646-S,18-1288-S,18-5932-B,21-760-S,24-4314-S
monk's cowl.	8-2302-S
monk's garb, nun's veil, mantle.	9-4077-S
monk.	18-5947-B
monks/nuns.	12-4898-S
mons.	18-5962-B
monster	18-5978-B
monster), to whom the cattle belonged.	2-6303-S
monster, unnatural thing.	21-6211-S
monster.	21-3574-S
monsters) were fat.	2-5631-S,2-5696-S
monstrous, remarkable.	19-5876-S
monstrous.	18-5998-B
month.	18-6017-B
months.	24-5016-S
moon	18-6038-B
moon.	18-6054-B
moons	18-6065-B
moral bravery.	21-1252-S
moral purity.	18-6083-B
moral virtue, virtuousness,manhood, power.	40-4707-S
morally bound to, to be bound by.	35-678-S
morally clean, unpolluted.	8-2250-S
morally clean.	22-2144-S
morally corrupt.	13-4753-S
morally crooked).	5-5396-S
morals.	41-1718-S
more (than).	1-1021-S
more advanced, more remote.	12-3900-S
more emphatic and emotional than sed).	1-7623-S
more expensive.	2-1537-S,2-1592-S
more numerous, several, many.	18-6109-B,18-6145-B
more or much.	31-386-S
more remote.	12-3900-S
more shortly.	18-6182-B
more sick, fail.	33-7298-S
more than usually	3-490-S
more than you? i do!.	1-3600-S
more than.	4-5565-S,6-1109-S
more true.	18-6207-B
more truly.	18-6227-S
more veracious, more truly.	18-6227-B
more, rather more.	25-1218-S
more, the greater.	4-6435-S
more, to a greater extent, rather, for preference.	18-6265-B
more.	5-947-S,7-4658-S,19-0-B,25-1218-S
moreover, also.	7-4603-S
moreover, as indeed it is.	4-5991-S
moreover, but.	1-5508-S
moreover, henceforth, indeed, just, further.	19-11-B
moreover, remaining.	1-5599-S
moreover.	4-6270-S,41-4915-S
moris/ will, inclination/ custom, wont, usage, rule.	19-60-B
morning, early in the morning, early.	19-117-B
morning, early.	19-117-S
morning.	23-3074-S
morrow, the morrow.	19-6132-S
morrow.	1-5663-S,19-6132-S
morsel, grain /small loaf.	9-5887-S
mortal, deadly, fatal.	19-160-B
mortal.	10-1481-S,19-191-B
mortal/ death, a dying.	27-927-S
mortally, fatally.	19-208-B
mortgage.	14-1693-S
mortion, impel, urge on.	37-455-S
most abundantly, most fruitfully.	19-237-S
most agreeable, pleasantest.	11-3547-S
most distinguished, first.	13-397-S
most fruitfully.	19-237-S
most luxuriantly, most abundantly, most fruitfully.	19-237-B
most of all.	1-5015-S
most part, generally, commonly, mostly.	13-2694-S
most, not more than.	6-1109-S
most, very many.	19-298-B
mostly.	13-2694-S
mother.	19-324-B,19-341-B
motherland	19-362-B
motion (earth quake).	18-276-S
motion, move, rouse.	35-6681-S
motion, quickened.	35-6773-S
motion, restlessness.	9-471-S
motion, whirlwind, whirlpool.	41-4444-S
motion/ impulse, passion, force.	6-1680-S
motive, pretext /interest.	8-734-S
motive.	25-4524-S
mould anew.	32-4433-S
mould.	34-6726-S
mound, grave, heap of earth.	19-386-B
mound, heap up, increase.	34-4310-S
mound.	7-4037-S
mount, go up.	28-1199-S
mount.	15-3534-S,19-470-S
mountain	19-423-B
mountain ash.	19-450-B
mountain crest, ridge, promontory.	20-6801-S
mountain, mount.	19-470-B
mountainous.	19-500-B
mourn, be in mourning, grieve/(tans,) to lament, bewail.	34-6743-S
mourn.	19-521-B,37-6655-S
mournful, baleful.	23-5227-S
mournful, plaintive.	23-5104-S
mournful, shedding tears,.	26-3491-S
mournful, sowerful.	23-5071-S
mournful.	17-1360-S,19-533-B
mournfully, wretchedly.	23-5169-S
mourning, grief, sorrow.	19-552-B
mourning, grief.	17-1395-S
mourning, grieve/(tans,) to lament, bewail.	34-6743-S
mourning, weeping.	17-1432-S
mouse	19-590-B
mouse.	19-606-B
mouth	19-624-B
mouth, opening, source / a mask.	19-639-B
move ahead, advance.	22-2481-S
move along, progress.	33-663-S
move away, remove, take away.	34-6809-S
move away, remove, take out, shift.	34-6849-S
move forward.	34-6895-S
move rapidly / brandish, wave.	1-6512-S
move rapidly, come quickly.	33-2819-S
move rapidly.	32-3825-S
move to and fro, wander.	9-5601-S
move to, bring up, apply.	34-6919-S
move towards, suggest.	27-5572-S
move towards/ [passive] to land.	31-4440-S
move violently, disturb, shake /excite, upset.	34-6956-S
move violently, stir up, excite, arouse.	34-7015-S
move, arouse, affect, influence.	34-7067-S
move, rouse.	35-6681-S
move.	31-6851-S,35-4905-S
moved, aroused.	28-5496-S
moved, gentle.	25-493-S
moved.	10-6646-S
movement down.	3-6472-S
movement inland / milit. marching inland.	3-6283-S
movement.	9-3449-S,12-3491-S
movement/assault.	11-6035-S
moving through.	19-681-B
mow, reap, browse.	24-3098-S
much (+ comp. adj. or adv.).	7-5066-S
much afraid.	29-37-S
much as in me lies.	5-6560-S
much as you like.	1-7431-S
much as you will, as great as you will.	5-6601-S
much as, the more, the greater.	4-6435-S
much as.	5-6362-S,15-4315-S
much else.	29-6770-S
much frequented, respected.	4-3772-S
much of .. as.	1-2337-S
much spoken of, renowned /notorious, infamous /libellous.	19-703-B
much!, as much as.	15-4315-S
much, a lot.	19-769-B
much, although/ as much as you like.	1-7431-S
much, approve highly.	35-3905-S
much, as great as.	15-4226-S
much, at what price.	13-2541-S
much, by far, by a great deal, by a lot.	7-5174-S
much, exceedingly.	40-5608-S
much, extremely, greatly.	16-4370-S
much, great.	19-803-B
much, greatly.	19-823-B
much, just as far as.	4-6225-S
much, overmuch, excessively.	1-5700-S,1-5746-S,4-6731-S
much, so long, etc.	1-6016-S
much, soothe.	37-6171-S
much.	4-6883-S,31-386-S,37-6208-S,40-5642-S,40-5847-S
much? how many?.	1-2372-S
much?, how much!, as much as.	15-4315-S
mud.	19-845-B
muffle up.	34-7120-S
mulct.	22-1797-S
multicolored	19-856-B
multiplication by two, ambiguity, duplicity.	19-917-B
multiplied.	19-973-B
multiply by five.	1-6646-S
multitude /celebration /fame, renown.	9-5476-S
multitude, host.	20-7091-S
multitude.	26-5125-S,40-3989-S
munificent, generous.	19-999-B
murder, slaughter, gore.	7-990-S
murder, slay.	33-6684-S
murderer.	19-1031-B
murmuring.	23-3383-S
muscular, powerful.	19-1049-B
musical context.	14-5809-S
musical instrument.	16-4270-S
must be endured.	2-5888-S
must die!.	2-844-S
must have.	2-5232-S
mutilate, mangle /imperfect, not whole, missing a part.	18-951-S
mutilate.	6-5799-S,30-5498-S,34-7142-S
mutilated, defective /gelded.	24-3607-S
mutilated.	39-3994-S
mutilating.	4-831-S
mutiny, rising.	11-391-S
mutter.	33-1984-S
mutual.	22-5184-S
mutually, each other.	20-1104-S
mutually, reciprocal / reciprocity.	16-4676-S
my heart belongs to daddy. that old gang of mine.	19-1080-S
my part.	1-4542-S
my right arm for this (cookie).	2-5045-S
my right arm for those (cookies).	2-5109-S
my, mine /my heart belongs to daddy. that old gang of mine.	19-1080-B
my.	19-1144-B
mysteries, orgy.	3-4582-S
n) a bone.	2-4959-B
n, foolish, insane.	19-1153-B
n, harmonious.	4-5378-S
n, heretical.	19-1181-B
n, martyrdom.	19-1206-B
n, messenger.	19-1230-B
n, ridiculous.	19-1254-B
n. cellarer.	4-5511-S
n.) flax, flaxen, made of flax.	2-7251-S
n.pl.) hopes.	2-4981-B
name in abl. or gen.) up to, down to as far as.	1-6076-S
name invite.	29-5805-S
name, call, pronounce.	1-8478-S
name, expressly.	7-5224-S
name, mention, cite, quote.	35-3951-S
name, nick-name.	26-1393-S
name, summon.	29-5695-S
name.	16-79-S,19-1279-B,19-3271-S,26-1393-S,37-1440-S
namely, that is to say.	19-1291-B
namely.	16-5703-S,24-890-S
namur.	15-4984-S,19-1324-B
nap, a doze, forty winks.	3-6336-S
nap.	37-2661-S
napkin.	17-4524-S
nare, navi) to swim, float, fly, sail.	2-5002-B
narrate.	30-5130-S,34-5322-S
narration) and so; (with adj. or adv.) so, so very.	2-2199-S
narrow pass.	3-4899-S
narrow, contracted, small.	19-1341-B
narrow, limited, strait, tight, constricted.	19-1380-B
narrow.	36-1236-S
nation, "people".	19-1434-B
nation, crowd, multitude, host.	20-7091-S
nation, people, tribe.	8-3276-S
nation, people.	19-1457-B
nation, race, people, breed /pagan people.	19-1479-B
native country, homeland.	12-4301-S
