as soon as possible.	primum, quam primum
belonging to a household / friendly, intimate.	familiaris
below, beneath, underneath.	subter supter
below, under, southern.	inferus
bemoan, moan.	moere
bench, stool.	scamnum
bending, curving.	inflexus
beneficial.	profuturus
beneficial.	utilis
benefit, favor, service, privilege, right.	beneficium
benevolence, kindness, good will.	benevolentia
benevolence, offering.	charitas
bereavement, loss of children, loss of parents.	orbitas
berry, pearl.	bacca
berry-bearing.	bacifer
besides, further, hereafter.	praeterea, preterea
best	maximus, -a, -um[Adjective]
best	maxime[Adverb]
best of all, chief, principal.	potissimus
bestower of gifts.	munificator
betrayal, treason.	proditio
betrayal.	traditio
betrothal gift.	sponsalia
better	melior[Adjective]
better	meliorius[Adverb]
better.	melior
