in fact, truly, indeed.	enim
inferior, bad, wicked, persistent, perverse, bold.	improbus
infirm, decrepit.	decrepitus
infirmity.	infirmitas
inflation, flatulence.	inflatio
informant.	intentor
ingenious, adroit, skilled, ready, well-disposed.	solers
ingenuity.	sollertia
ingenuity.	versutia
inhabitants of a district, country-folk, peasants.	pagenses
inhabitants.	commorantes
inheritance, often simply "property.".	hereditas
inhospitable.	inhospitalis
inhospitable.	inhospitus
inhumanly.	inhumane
injury, damage, hurt /injustice, wrong.	iniuria
injustice, iniquity, unfairness.	iniquitas
innate character, talent, nature.	ingenium
inner feeling, secret heart.	sinus
innocent, without blame, guiltless.	inculpatus
innocent.	indemnis
innocent.	innocuus
innundation /scouring /discharge.	proluvier
inquire, interrogate, investigate.	percontor percunctor
insane, mad, out of one's mind, foolish.	demens, dementis 
insanity, irrationality, madness, folly.	insania
inscribe, entitle, enlist.	inscribo
inside the walls of the town.	per moenia urbis
insignia of office, headband, fillet.	infula
insignificant, very small.	pusillus
insolence, incivility.	importunitas
insolent.	contumax
insolently.	contumeliose
inspired, raging, furious.	furibundus
instantly, immediately.	statim
instructed.	aspersus
instruction, injunction, command, precept.	praeceptum, preceptum
instruction, teaching / knowledge, learning.	eruditio
instructor, teacher, schoolmaster.	magister
instrument, musical instrument.	organum
insult.	vituperium
integrity.	integritas
intelligence.	nous
intensely, very much, extremely, greatly.	valde
intensely.	valde
intention, declaration.	propositum
intention, plan, aim, design, purpose.	intentio
intentionally, on purpose, designedly.	consilio
intercession by saint with god, church province.	suffragium
intercessor, one who pleads on behalf.	deprecator
interchanged, mutually, reciprocal / reciprocity.	mutuus
internal, inner.	intestinus
interrogation, inquiry.	interrogatio
interval, space.	intercapedo
interval.	interpolatio
interval.	spatium
intimacy, nearness, closeness.	propinquitas
intricate, thorny.	scrupulosa
inundation.	eluvio
invader.	pervasor
invaluable.	inaestimandus
invective, scolding.	invectio
investigate, ask, inquire/ vote, ordain, resolve.	scisco
investigation, interrogation.	quaesitio, quesitio
investigation.	indagatio
invigorating.	vegetabilis
invocation, an invoking.	invocatio
inward, inner, internal, interior.	penitus
Irish.	Hirenses, Irenses
iron	ferrum, -i (n.) (as the metal)[Noun]
iron implement.	ferramentum
iron, sword.	ferrum
iron-clad.	ferratus
ironically, with a smile.	irrisorie
ironically.	ironice
irrational.	insensatus
irregularly, in a disorderly manner.	incomposite
irremediable.	desperata
irreproachable, chaste.	integer
island.	insula
it causes shame.	pudet
it is agreed, it is resolved, it seems good.	placet
it is certain.	constat
it is clear/ (adv.) clearly, plainly, namely.	videlicet
it is finished /right away, immediately.	ilicet
it is fitting, it is proper, reasonable, becoming.	oportet
it is needful, it behooves.	oportet
it is proper, one should, one ought.	oportet
it is raining, a shower is falling.	pluit, pluvit
it is right, it is fitting, it is lawful.	fas est 
it is seemly, comely, suitable, proper.	decet
it is worthwhile.	operae pretium est
javelin, spear, arrow, bolt, dart.	telum
jaw.	mala
jay, magpie.	pica
jealousy.	zelus
joke, jest, jape, gag.	iocus
joy, delight, happiness.	gaudium
joy, gladness, delight.	laetitia
joy, rejoicing.	tripudium
joyous, glad.	laetabilis letabilis
judge, juror.	iudex
judge.	censor
judgment, case/ plea, litigation / defense.	placitum
judgment, decision, opinion, trial.	iudicium
judgment.	arbitrium
judicial investigation.	quaestio
just as if.	proinde quasi, proinde ac si
just as many.	totidem
just as, in whatever manner/way.	qualiter
just as.	proinde ut, proinde quam
just short of.	iuxta
just so.	secus, non secus, haud secus
just, right, equitable, fair, lawful, proper.	iustus
justice, fairness, equity.	aequitas, equitas
justice, fairness, equity.	iustitia
justice, law, right /broth, soup.	ius iuris
jutting out, standing out /a projection.	prominens
keen scenter, sharp nosed.	odorus
