offshoot, germ.	germen
outside, without, out of doors / + dare = to publish.	foras
outspread.	diffusus
outward, external/ strange, unrelated, foreign.	extrarius
outwardly, externally, from the outside.	extrinsecus
oven, furnace, kiln.	fornax, fornacis
oven, furnace/ tray for bread making.	clibanus
over there /along that path, in that direction.	illac
overbearing, arrogant, haughty, proud.	superbus
overflowing, redundancy.	redundantia
overflowing.	proluvies
over-hasty, precipitate.	praeproperus, preproperus
overlook, dispise, look down upon.	despecto
ownership.	proprietas
P.P. of sequor, ensuing, following.	subsequens
pace, gait.	incessus
pace, the ability to walk.	gressus
pacemaker	No Translation[Noun]
paid out, valued.	pensus
pain, grief. misery, pain, suffering.	dolor
pain, punishment, penalty	poena
painfully.	dolens
pains, labor, task, pursuit.	negotium
painted / of cloth, embroidered.	picturatus
painter.	pictor
pale, stake /swamp, bog, marsh.	palus
pale, wan, pale yellow, pale green /weak, drooping.	pallens
pale, wan; causing paleness.	pallidus
paleness, fading.	pallor
palisade, earthen wall, entrenchment, rampart.	vallum
palisaded rampart, ditch, moat.	vallum
palm.	palma
panelled ceiling.	lacunar
panther, leopard.	pardus
parent.	parens, parentis
part, share /direction.	pars, partis
partaker, partner, sharer, comrade.	particeps
particularly.	praecipue
partly /some.	partim
partly cloudy, somewhat cloudy.	subnubilus
partner, comrade, associate, ally, fellow.	socius
partnership, company .	consortio
passing through, penetrating / internal, inner /.	penetralis
passion, desire, wantining, yearning, longing.	cupido
passion.	perturbatio
passionate fire.	aestus
past tense of eo.	ivi
past.	praeteritus, preteritus
pastery, cookie.	crustulum
pasture.	pastus
paternal aunt.	amita
paternal uncle.	patruus
patience, suffering, endurance.	patientia
patient /(+ gen.) capable of enduring.	patiens
patient.	longaminus
patiently.	patienter
patron, protector.	patronus
patronage.	patrocinium
pattern, model, example .	exemplum
paved road.	calceata
paved, made firm.	interfixus
pawn, pledge, token, (in pl.) persons in pledges of.	pignus
pay, reward, recompense, compensation.	merces mercedis
payment of dues, military service, service.	servitium
payment, expenditure.	erogatio
payment, tribute.	tributum
peace, truce, treaty.	pax pacis
peace.	pax pacis
peaceably.	pacifice
peace-making.	pacificus
peak, mountain crest, ridge, promontory.	promontorium
pear tree.	pirus
pear.	pirum
pearl barley, barley groats.	polenta
pebble, stone.	calculus
peck, bushel.	modius
pelt .	pellis
penance.	penitentia
penetrable.	forabilis
penetrating.	perspicax
penurious, poor, poverty-stricken.	penuriosus
people, the people, nation, crowd, multitude, host.	populus
people.	populi
