'bout cindy.	1-8111-S
a family, ancestor.	13-4901-S
a father, paternal, native.	19-5500-S,19-5539-S
a fermented fish sauce.	3-4552-B
a festival of mysteries, orgy.	3-4582-B
a few, some.	12-5754-S
a few.	2-5349-S
a field by agrimensores.	3-1048-S
a fiftieth part.	12-6007-S
a filty manner.	13-4820-S
a fine	17-5788-S
a fine, charge, tax, amercement.	3-4619-B
a fishing net, seine / a clean sweep.	3-4662-B
a flogging.	3-4712-B
a flowing over, flood, innundation.	3-4736-B
a following.	3-3758-S
a fool parted from his money.	4-646-S
a fool.	13-2114-S
a force /nature.	2-9242-S
a foreign manner.	6-3663-S
a foreigner, stranger.	3-4780-B
a foreigner/ not greek or roman/ outlander.	3-4813-B
a forge, large hearth.	3-4868-B
a fork, pitchfork /narrow pass.	3-4899-B
a form, figure, after the fashion of, like.	3-4937-B
a formation.	5-5815-S
a former time.	19-5579-S
a former, fashioner, maker.	3-4988-B
a fortress, castellan.	22-6220-S
a fortress.	14-849-S
a foundation.	29-4849-S
a future time.	20-1075-S
a gang of.	40-6517-S
a gathering together, a summing up, a uniting.	3-5025-B
a goblet with handles /top of a mast /scuttle.	3-5083-B
a god, dweller in heaven.	15-1363-S
a god.	4-443-S
a going back, retreat /place of retreat, quiet place.	3-5141-B
a good deal.	2-6813-S
a grain measure, a bushel basket.	3-5204-B
a grand-daughter.	15-4903-S
a grander scale.	39-3791-S
a great deal, by a lot.	7-5174-S
a great number, a large part, the greater part.	40-5539-S
a great value.	2-1928-S
a greater extent, rather, for preference.	18-6265-S
a green twig, rod, stick, wand, broom, streak, stripe.	3-5244-B
a greenish-yellow color.	3-5305-B
a growing up, increase, crop, yield, or issue.	3-5339-B
a hairband.	3-5426-S
a half times.	20-1165-S
a half.	20-1046-S,20-1194-S
a halter on a horse.	33-2183-S
a hammer, invent, devise.	32-4482-S
a handle.	3-5396-B
a hangman, execution /torture.	27-1287-S
a harp.	3-5411-B
a head-dress, a hairband.	3-5426-B
a heap, accumulate, amass.	27-5468-S
a heap, mass.	3-5460-B
a herd.	4-134-S
a higher price, of a great value.	2-1928-S
a higher tribunal / ecc. apostle.	2-2862-S
a hinge /pole or pivot.	2-2584-S
a hint.	32-5988-S
a holding fast.	24-1313-S
a hole, empty space /pond, pool /deficiency, loss.	3-5482-B
a hole, penetrate.	29-2604-S
a hollow /lake, pool, pond, troough, tank, tub.	3-5540-B
a hollow, hole, cavity, pit, excavation, depression.	3-5594-B
a holy place.	4-882-S
a horse.	33-2183-S
a hostile manner, belligerently.	15-6438-S
a house).	41-671-S
a household / friendly, intimate.	6-5924-S
a household, pl. household retinue.	23-882-S
a joining, joint /rekationship, combination.	3-5653-B
a journey , a journey /money, prize-money.	21-760-S
a journey /money, prize-money.	21-760-S
a killing.	12-2541-S
a kind of crab.	2-2072-S
a kind of.	3-3294-S
a kind, such.	19-6104-S
a kindly, friendly manner.	9-3746-S
a king, royal, regal.	19-5603-S
a kiss, being kissed, a kiss.	26-4794-S
a kiss.	3-5707-B,26-4794-S
a knight's service.	15-136-S
a lamenter.	3-5722-B
a large concourse, population, numerous assembly.	3-5743-B
a large number, quantity, a force /nature.	2-9242-S
a large part, the greater part.	40-5539-S
a late hour, late.	6-747-S
a laudable fashion.	1-4500-S
a laurel branch, crown of laurel.	3-5804-B
a law).	22-1590-S
a leader.	42-1151-S
a leather bag, purse, bellows, puffed-out cheeks.	3-5847-B
a legion.	4-1872-S,10-3548-S
a letter or ambassador.	28-889-S
a life is enriched by these (friendships).	2-257-S,2-321-S
a like manner, likewise.	4-6097-S
a limit to.	23-1690-S
a line limiting a field by agrimensores.	3-1048-S
a little box, casket.	3-5904-B
a little knife.	3-5939-B
a little lip /a small washing vessel.	3-5965-B
a little or small work, a small book.	3-6012-B
a little slow.	22-4145-S
a little while, for a bit.	13-2483-S
a little while, for a short time.	13-2355-S
a little, a bit.	17-4767-S
a little.	15-1082-S
a loan.	3-6060-B,12-1900-S,34-4282-S
a long time ago.	7-4875-S
a long time now.	6-1358-S
a long time, a long time ago.	7-4875-S
a long time, enduring, long-lived.	17-1916-S
a long time, of long duration.	17-1968-S
a long time.	4-6571-S,13-2615-S,19-4536-S,19-4568-S,19-4596-S,26-262-S
a long while ago, some time ago.	13-2403-S
a long while, a long while ago, some time ago.	13-2403-S
a long while, long time, for a long time.	4-6571-S
a lord.	42-1034-S
a lot.	7-5174-S,19-769-S
a lying down, rest.	3-6076-B
a man who prunes grape vines).	40-6569-S
a man's child.	26-5551-S
a manuscript.	18-5090-S
a mare.	3-6113-B
a mark upon, adorn, distinguish.	35-6267-S
a mask.	19-639-S
a mass.	30-744-S
a mast /scuttle.	3-5083-S
a master or mistress.	22-6267-S
a master, of property.	28-4726-S
a meal.	4-2039-S
a meeting, association.	3-6126-B
a meeting.	3-6161-B
a mercenary / to rob, steal.	1-8335-S
a message, refer.	29-3696-S
a message.	36-2000-S
a metal helmet.	3-6181-B,3-6205-B
a milkmaid.	2-3098-S
a mimic.	3-6228-B
a miracle play.	3-6247-B
a missile), cast.	28-1793-S
a moment, crisis.	2-7057-S
a moment.	13-2460-S
a monastic oath.	30-2832-S
a mound, heap up, increase.	34-4310-S
a movement inland / milit. marching inland.	3-6283-B
a name in abl. or gen.) up to, down to as far as.	1-6076-S
a nap, a doze, forty winks.	3-6336-B
a natural science.	3-6378-B
a net, trap, snare, spider's web.	3-6409-B
a net, trapped.	8-698-S
a new thing.	19-4471-S
a no, rejection.	19-2045-S
a nobleman.	3-6450-B,5-3371-S
a nod to, give a sign to.	32-6013-S
a nod, command, will / gravitation, movement down.	3-6472-B
a nodding, nod, command, will.	3-6529-B
a noise /sing /celebrate/ (of words) to mean.	34-4353-S
a nourishing one.	3-6566-B
a pact, federate.	27-6767-S
a painter's brush, pencil, stylus.	3-6589-B
a pair /bond, union /slavery.	42-3443-S
a part.	18-951-S,27-5327-S
a pattern.	5-5893-S
a peasant manner.	1-4413-S
a penitent.	2-7411-S
a period of three days.	3-6635-B
a period of time).	17-5495-S
a person as chosen).	35-5109-S
a person joy, congratulate (+dat.), give thanks.	39-2562-S
a person).	30-2214-S,36-794-S
a person, entreat successfully.	35-4736-S
a person, to add something.	28-365-S
a person= take care of, provide for.	3-2045-S
a pike, pale /a stylus for writing /writing.	3-6667-B
a pimple.	3-6719-B
a pit, trap for game, pitfall.	3-6736-B
a place / foreign resident.	23-939-S,23-1001-S
a place, attach oneself to.	29-4774-S
a place.	13-6074-S
a place].	21-2427-S,21-2536-S
a plain.	13-955-S
a plant blight.	3-6773-B
a plant, christ's thorn.	3-6795-B
a plow with wheels.	8-276-S
a point, spot, place.	3-6939-S
a point, such an extent, so far, so long.	37-7452-S
a pot or jar.	3-6829-B
a pound's weight /weight, mass, load /heavy body.	3-6848-B
a pouring form, effusion.	3-6905-B
a practice of.	28-3452-S
a predecessor.	25-905-S
a price, to offer to buy, bid, proffer, tender.	34-7951-S
a prick, little hole, puncture /a point, spot, place.	3-6939-B
a priest), insignia.	15-831-S
a prince.	2-1474-S
a private person.	21-5971-S
a projection.	16-6933-S
a promise, oath.	35-6576-S
a promise.	3-7001-B,3-7022-B,22-66-S
a promiser, suretor, guarantor.	3-7043-B
a protector, without a lord.	42-1034-S
a public building for law cases, etc./ a church, cathedral.	3-7085-B
a public crier, to herald, proclaim.	28-3016-S
a public statement / to declare oneself.	34-4412-S
a purchase.	3-3088-S
a question) actually? really? in truth?.	1-7096-S
a question) yes, certainly.	1-6139-S
a quiver.	3-7154-B
a race / take refuge.	36-5087-S
a race course.	27-881-S
a race, a running, race course, race track, course.	3-7173-B
a rad to beat children with.	26-5719-S
a rash.	26-5891-S
a rattle.	3-7232-B
a reader.	1-8657-S
a register) /assign to a cause.	35-6447-S
a relation in the male line.	3-7255-B
a relative, kinsman.	1-4327-S
a religious procession).	34-1243-S
a request, deny something to someone.	30-7057-S
a responsibility.	29-6055-S
a resting place / sleep / a dream.	22-3258-S
a result.	9-217-S
a retreat, withdrawal / departure, leavin.	3-7292-B
