grant.	33-3410-S
guard.	14-4254-B,14-4268-B,20-610-S,33-2012-S,35-4385-S
guard/ one who goes bond, suretor.	20-1670-S
guard/spy.	14-4283-S
guardian, keeper, watchman, attendant, guard/spy.	14-4283-B
guardian, overseer.	14-4350-B
guardian.	14-4378-B
guardianship, tutelage.	22-1197-S
guardianship.	14-4398-B
guards, wardens.	14-4421-B
guess, conclude.	38-3369-S
guess, reckon.	31-6600-S
guest chambers, inn.	15-3685-S
guest, host, stranger.	14-4457-B
guidance.	23-4531-S
guide, commander, general, duke.	17-2669-S
guide, govern, direct, to rule.	33-2031-S
guide, manage, mitigate, measure.	33-2085-S
guide, serve (food).	33-2130-S
guide.	14-1076-S,33-2165-S
guider, leader, director, ruler, master.	14-4487-B
guile, treachery, a trap.	13-5560-S
guilt, crim.	5-3153-S
guilt, with blood, etc.	35-3288-S
guilt.	14-4535-B
guiltless, innocent.	14-4549-B
guiltless.	16-3480-S
guilty, convict.	11-182-S
gulf.	10-135-S
gullet.	19-1924-S
gulp down, carry away, engross.	38-674-S
gulp down.	38-727-S
gum.	6-3402-S
gush, stream.	35-3489-S
gut.	31-1325-S
guts, intestines.	14-4586-B
gymnasium, wrestling school.	14-4608-B
haberdasher	14-4646-B
haberdashery	14-4681-B
habit	14-4716-B
habit /intimacy, familiar acquaintance.	10-319-S
habit of using.	28-5253-S
habit of, make a practice of.	28-3452-S
habit, customs.	18-1748-S
habit.	10-251-S,11-2239-S
habitation	14-4749-B
habitual	14-4786-B
habitual, ordinary, customary.	4-4922-S
habitually	14-4822-B
habituate.	27-5155-S
hack, hew /to ruin.	32-650-S
had four of these (gates).	2-655-S
had four of those (gates).	2-720-S
hailstorm.	14-4849-B
hair /a trifle.	4-103-S
hair /old age.	14-3881-S
hair of the head, leaves, rays of light.	14-4872-B
hair, locks.	14-4918-B
hair.	14-4938-B,14-4953-B,14-4966-B,14-5019-S,15-3588-S,27-4440-S,37-1228-S
hair/ tail of comet, rays of sun.	14-4978-B
hairband.	3-5426-S
haired, curly / trembling, quivering, shaking.	10-49-S
haired.	17-5415-S
hairy, covered with hair.	14-5019-B
half and half.	39-6589-S
half of that (the cost).	2-6438-S
half of this (the cost).	2-9184-S
half of which was ill.	2-3440-S
half times.	20-1165-S
half-.	21-5254-S
half.	14-5053-B,20-1046-S,20-1194-S,39-6589-S
hall.	9-3500-S,22-5673-S
hallow, render inviolable or irrevocable.	36-38-S
halt, be lame, to hobble.	34-2683-S
halt, cease /stay, remain.	37-5414-S
halt, turn back /silence.	29-7478-S
halt, withstand, make a stand, oppose.	36-3422-S
halt, withstand.	36-3480-S
halter on a horse.	33-2183-S
halter, harness, mazzle.	14-5068-B
halter, put a halter on a horse.	33-2183-S
halter, snare, trap.	19-3304-S
hames.	14-5103-B
hamlet, court, hof.	40-6353-S
hammer in, drive in, fasten.	32-3067-S
hammer, invent, devise.	32-4482-S
hand /surely, for it is certain.	7-4544-S
hand over /transmit, teach.	26-1452-S
hand over, carry down, communicate, offer, refer.	33-2228-S
hand over, disclose.	10-3122-S
hand over, surrender.	33-4804-S
hand to hand, in close combat.	14-5125-B
hand, attend.	30-1470-S
hand, band, handwriting.	14-5165-B
hand, be under, be subject.	28-5523-S
hand, begin, commence.	38-1469-S
hand, but if, if..or if.	8-7028-S
hand, however, moreover, also.	7-4603-S
hand, in close combat.	14-5125-S
hand, in return, back, again.	20-786-S
hand, left side, left-handed.	27-97-S
hand, surpass, conquer, overcome.	28-3333-S
hand, visible, apparent.	22-4863-S
hand.	16-816-S,27-584-S,27-2065-S,32-4323-S
hand/ to come.	38-3728-S
handed down from one's forefathers.	14-5202-B
handed.	27-97-S,36-6876-S
handedly, awkwardly.	17-3017-S
handle / hilt of a sword.	8-4161-S
handle /treat, discuss, deal with.	31-3197-S
handle, feel.	38-4649-S
handle, manage, perform.	33-2288-S
handle.	3-5396-S
handles /top of a mast /scuttle.	3-5083-S
hands	14-5246-B
hands full, have enough to do.	15-321-S
handsome, fine, fair.	6-4610-S
handsome, imposing / specious plausible.	6-4668-S
handsome.	6-4730-S
handsomely, charmingly.	21-5724-S
handsomely.	6-4809-S
handwriting /written charter.	6-2375-S
handwriting.	14-5165-S
hang onto.	33-6406-S
hang over, be imminent, threaten.	33-2325-S
hang over, lie heavily upon / dwell in / watch over.	33-2370-S
hang over, threaten, menace, be imminent.	33-2433-S
hang to, stick to, adhere.	33-2487-S
hang, depend, be suspended /be uncertain, undecided.	33-2525-S
hang.	38-618-S
hanging around /chair, seat.	24-4937-S
hanging.	14-5258-B
hangman, execution /torture.	27-1287-S
hangman.	12-1611-S
hannonia.	39-5338-S
happen to mention.	33-2588-S
happen to, befall.	1-7794-S
happen, befall, occur.	38-4510-S
happen, befall.	2-9932-S,30-1332-S
happen, come about, come to pass /arise.	30-957-S
happen, occur / to hack, hew /to ruin.	32-650-S
happen, occur, come about, befall.	1-9046-S
happen, occur.	32-913-S
happen, take place.	31-5060-S
happen.	34-7914-S
happen/go away, withdraw.	33-730-S
happily.	13-4349-S,13-5991-S,14-5276-B
happiness, felicity, blessedness.	14-5295-B
happiness.	14-1877-S,14-5338-B,16-6245-S
happy as us.	1-3506-S
happy, fortunate.	14-5359-B
happy, to bless, to prosper.	34-5209-S
happy.	1-3014-S,13-4313-S,17-6248-S
harass, attack.	33-2630-S
harass, disturb / mention / complete, accomplish.	1-8820-S
harass, push around.	1-6567-S
harass, tease.	42-2428-S
harass, torment.	33-2657-S
harbinger, omen, token.	13-3380-S
harbor.	14-5383-B
hard at.	28-2742-S
hard stone, sharp, rock, flint.	14-5398-B
hard, harsh, tough, strong,enduring, / rough, rude, uncouth.	14-5460-B
hard, persist, endure, last, hold out.	28-4779-S
hard, pierce, transfix /shock.	37-6479-S
hard, troublesome.	10-5166-S
hard, unfeeliing, cruel, unbending.	18-487-S
hard-working.	16-2513-S
hard.	14-5527-B,29-104-S,37-6612-S
harden, freeze.	30-3305-S
harden, last, endure.	33-2684-S
hardened by age, of long-standing.	14-5540-B
hardip, fatigue, distress.	14-5587-B
hardly, scarcely, with difficulty, laboriously.	1-5095-S
hardly, with difficulty, barely.	23-6251-S
hardness, sterness.	25-4487-S
hardship, exertion.	14-5620-B
hardship, tribulation.	39-3522-S
hardy, robust.	14-5646-B
hare, rabbit.	14-5670-B
hark!.	14-5690-B
harlot.	22-1005-S
harm to, inflict injury, hurt.	1-1851-S
harm, inflict injury.	11-1098-S
harm.	31-2836-S,39-3134-S
harmful, hostile.	14-5702-B
harmless, impotent, without strength.	10-2524-S
harmonious, united.	14-5729-B
harmonious.	4-5378-S,14-5759-B
harmoniously .	14-5782-B
harmonize, unite.	33-2714-S
harmony in musical context.	14-5809-B
harmony, agreement.	8-6111-S
harmony, cooperation /plot, conspiracy.	5-1422-S
harness /to mate.	33-6218-S
harness, mazzle.	14-5068-S
harnessed, bearing arms.	7-3215-S
harp.	3-5411-S
harrass, disturb.	37-4184-S
harrass.	35-1438-S,39-275-S
harrowing.	14-5841-B
harsh, severe.	23-3953-S
harsh, tough, strong,enduring, / rough, rude, uncouth.	14-5460-S
harsh.	14-3804-S,25-4441-S,26-4435-S
harshly.	14-5860-B
harshness, bitterness, anguish.	14-5879-B
harshness, fierceness.	23-3981-S
harvest, in-bringing, crop.	26-5633-S
harvester.	22-5053-S
has me in its spell.	1-3734-S
hashness, cruelty, frightfulness, barbarity, horror.	14-5921-B
hasnon.	14-5984-B
haste.	25-2232-S,30-1135-S,34-5254-S
hasten / accelerate, speed up.	33-2744-S
hasten, hurry, speed.	33-2786-S
hasten, rush.	14-2480-S
hasten, speed /accelerate.	35-7245-S
hasten, speed, move rapidly, come quickly.	33-2819-S
hasten, urge on.	31-6961-S
hasten.	30-4026-S,33-2873-S,36-5421-S
hastening, hasty.	14-6002-B
hastily, quickly, rapidly.	15-0-B
hastily.	15-34-B,22-3682-S
hasty, precipitate.	20-4851-S
hasty.	14-6002-S
hatchet, battle-axe.	6-2880-S
hate, despite, hold in contempt, dislike strongly.	33-2892-S
hate, detest, abominate.	27-4677-S
hate.	38-2886-S
hated exceedingly.	15-55-B
hated, hateful.	15-81-B
hateful.	15-81-S,15-105-B
hating, despising.	17-5080-S
hatred /censure.	11-6370-S
hatred.	15-122-B
hauberk [a coat of chain mail], a knight's service.	15-136-B
haughtiness.	7-1290-S,15-195-B,15-215-B,15-240-B,21-5891-S,24-84-S
haughty, proud.	20-4743-S
haughty.	11-4477-S,21-5650-S,33-1381-S
haunt, frequent /besiege, invest.	37-2444-S
have a bad odor, stink.	33-2951-S
have a responsibility.	29-6055-S
have an aversion to, loathe.	31-2036-S
have been.	35-1303-S
have charge of.	28-6143-S
have compassion.	37-7622-S
have confidence in, be confident of, rely upon.	15-265-B
have dealings with.	28-2073-S
have done.	29-4285-S
have ears to hear .	2-194-S
have enough to do.	15-321-S
have eyes to see..	2-3497-S
have frequently /dwell, reside /take possession.	33-2984-S
have influence.	28-3228-S
have no hope, despair, give up.	33-3043-S
have on show.	33-3086-S
have one's hands full, have enough to do.	15-321-B
have power, be effective.	33-3150-S
have power, be well.	28-6475-S
have power.	35-4790-S
have read, display, have on show.	33-3086-S
have recourse to, take refuge.	32-3394-S
have recourse to.	38-1758-S
have regard for.	34-3325-S
have strength, have power, be effective.	33-3150-S
have the benefit of, to enjoy.	33-3200-S
have the habit of, make a practice of.	28-3452-S
have the upper hand, surpass, conquer, overcome.	28-3333-S
have, bear.	33-3240-S
have, hold, possess /consider, regard.	33-3260-S
have.	2-5232-S
having a beard.	6-4440-S
having a set or standard form, / formal.	15-370-B
having been brought.	15-420-B
having borne.	8-67-S
having inherited, been bequeathed.	25-853-S
having large lips.	15-459-B
having professed monastic vows.	15-487-B
having to do with dice or dice-playing.	15-529-B
having wings.	42-0-S,42-29-S
hay-field.	18-2921-S
hay.	15-578-B
haye.	15-1584-S
hazard, gamble, dare.	23-3159-S
hazard.	10-4917-S,10-5034-S
hazardous, dangerous.	15-597-B
he accused of treachery.	2-3319-S
he ate that (fruit).	2-4335-S
he ate this (fruit).	2-4381-S
he died.	2-5952-S
he gave plenty for that (field).	2-4165-S
he gave plenty for this (field).	2-4222-S
he lived.	2-4102-S
he owed his crown.	2-59-S
he says.	15-631-B
he sent for that (doctor).	2-4426-S
he sent for this (doctor).	2-4477-S
he struggled.	2-0-S
he was attacked when old.	2-3251-S
he was executed.	2-5287-S
he was intered.	2-3377-S
he who lives by that (the sword)..	2-958-S
he who lives by this (the sword)..	2-1016-S
he who was born of the word (christ).	15-644-B
he won rome.	2-5175-S
he, she, it says.	15-692-B
he, she, it.	26-4701-S,27-2838-S,27-2872-S
he, she, or it begins, begins to speak.	15-717-B
head (of cattle).	24-4663-S
head / top, summit /chief /capital /leader, captain.	15-763-B
head for.	28-2329-S
head of cattle, especially a sheep/ a herd.	4-134-S
head of, be in charge of.	28-3837-S
head, leaves, rays of light.	14-4872-S
head-dress, a hairband.	3-5426-S
headband (worn by a priest), insignia.	15-831-B
headband, fillet.	16-3856-S
headed, vain, silly.	11-5136-S
headlong fall.	15-877-B
headlong.	8-398-S,12-3449-S
headstrong.	15-905-B
heal, cure.	33-3322-S
heal.	33-3345-S
heale, hearty.	25-4851-S
healing, curing.	6-1842-S
health, bad health.	15-923-S
health, good health, bad health.	15-923-B
health, safety, well-being, salvation /salutation.	15-965-B
health, soundness of mend, sanity.	15-1022-B
health, wellness, wholeness.	23-5424-S
health.	8-6417-S,15-923-S,15-1065-B,28-7260-S,39-1338-S
healthy /able, worthwhile.	25-4657-S
healthy, sane.	25-1652-S
heap of earth.	19-386-S
