independence / frankness, candor.	13-5873-S
into.	28-2702-S,30-5397-S,32-5729-S,37-6541-S,39-638-S
intoxicate.	33-5880-S
intoxication, drunkenness.	41-5955-S
intrans) to come near, draw near, approach.	2-2660-B
intrans.) to work, toil, suffer, be afflicted, be troubled.	2-2715-B
intransigeant.	25-4157-S
intransitive) to happen, befall, occur.	38-4510-S
intricate, thorny.	16-4912-B
introduce, induce, influence.	34-690-S
introduce, induce, persuade / decide.	7-3591-S
introduce.	34-754-S
intrust, join.	35-2260-S
inundation.	13-1467-S,16-4942-B
inure, habituate.	27-5155-S
invader.	16-4961-B
invalid, in vain, useless, ineffectual.	41-201-S
invalidate, annull/disprove.	39-1467-S
invalidating.	41-1859-S
invaluable.	16-4979-B
invasion.	8-3316-S
invective, scolding.	16-5005-B
invent, devise.	32-4482-S
invent, find again.	32-5670-S
invent.	34-4518-S
invention.	33-5902-S
inventor, discoverer.	9-2408-S
invest.	7-901-S,37-2444-S
investigate, ask, inquire/ vote, ordain, resolve.	16-5035-B
investigate, root up.	31-6706-S
investigate.	16-3609-S,38-4781-S
investigation, interrogation.	16-5092-B
investigation, judgement, decision.	39-5483-S
investigation.	16-5142-B,16-6524-S,24-951-S
invigorate.	33-5927-S
invigorating.	16-5167-B
inviolable or irrevocable.	36-38-S
invite, summon.	33-5949-S
invite.	29-5805-S
invocation, an invoking.	16-5193-B
invoke.	29-1361-S
invoking.	16-5193-S
inward, inner, internal, interior.	16-5228-B
inward.	10-2268-S
ionis) attack.	2-2783-B
irish.	16-5271-B
irksome.	16-1613-S
iron	16-5296-B
iron /a blacksmith /iron mines.	19-5938-S
iron /hard, unfeeliing, cruel, unbending.	18-487-S
iron implement.	16-5338-B
iron mines.	19-5938-S
iron, horseshoe.	26-2084-S
iron, or shod with iron.	39-3834-S
iron, sickel, sword.	25-4121-S
iron, sword.	16-5366-B
iron-clad.	16-5386-B
iron.	4-382-S,39-3834-S
ironical).	19-5755-S
ironically) of course, to be sure.	1-4679-S
ironically, with a smile.	16-5406-B
ironically.	16-5442-B
irrational.	16-5462-B
irrationality, madness, folly.	16-3724-S
irregularly, in a disorderly manner.	16-5485-B
irremediable.	16-5534-B
irreproachable, chaste.	16-5558-B
irreverent, unpatriotic /wicked.	42-1421-S
irrevocable.	36-38-S
irritate /shake, toss/ harrass.	39-275-S
irritate, exasperate, excite.	33-5975-S
irritate, make worse, embitter.	27-6259-S
irritate.	33-6015-S
irritated with, fume.	40-5925-S
irritated.	28-5289-S
is a statue in that (abbey).	1-9228-S
is a statue in this (abbey).	1-9285-S
is agreed, it is resolved, it seems good.	16-5628-S
is allowed, one may or can.	14-3278-S
is certain.	7-4544-S,16-5680-S
is clear/ (adv.) clearly, plainly, namely.	16-5703-S
is curved backward.	3-4119-S
is enriched by these (friendships).	2-257-S,2-321-S
is entrusted.	40-715-S
is falling.	16-5947-S
is filthy.	2-3156-S,2-3204-S
is finished /right away, immediately.	16-5759-S
is fitting, it is lawful.	16-5997-S
is fitting, it is proper, reasonable, becoming.	16-5807-S
is just.	23-2865-S
is lawful.	16-5997-S
is left, leavings.	23-110-S
is more expensive.	2-1537-S,2-1592-S
is more.	7-4658-S
is needful, it behooves.	16-5866-S
is of importance.	3-729-S
is on his guard/ one who goes bond, suretor.	20-1670-S
is one's by right.	41-3634-S
is proper, one should, one ought.	16-5902-S
is proper, reasonable, becoming.	16-5807-S
is raining, a shower is falling.	16-5947-S
is resolved, it seems good.	16-5628-S
is right, it is fitting, it is lawful.	16-5997-S
is right, just.	15-5731-S
is right.	25-353-S,41-3677-S
is seemly, comely, suitable, proper.	16-6048-S
is so, that is right.	25-353-S
is stated).	37-4907-S
is to say.	19-1291-S
is well-built.	2-6555-S,2-6612-S
is worthwhile.	16-6094-S
is woven, cloth, tissue.	4-1593-S
is) a slope, decline.	2-2811-B
is) bread.	2-2843-B
is.	4-5991-S
island.	16-5590-B
isolate, separate, set aside.	36-2580-S
isolated, removed.	11-495-S
isolation,loneliness, solitude.	10-3775-S
isolation.	11-450-S
issue, appear, come forward.	36-4620-S
issue, result, occurrence, experience.	9-148-S
issue.	3-5339-S,31-3529-S
it begins, begins to speak.	15-717-S
it behooves.	16-5866-S
it by these (her deeds).	2-5413-S,2-7907-S
it causes shame.	16-5605-B
it concerns, it makes a difference.	2-2105-S
it is agreed, it is resolved, it seems good.	16-5628-B
it is allowed, one may or can.	14-3278-S
it is certain.	7-4544-S,16-5680-B
it is clear/ (adv.) clearly, plainly, namely.	16-5703-B
it is finished /right away, immediately.	16-5759-B
it is fitting, it is lawful.	16-5997-S
it is fitting, it is proper, reasonable, becoming.	16-5807-B
it is just.	23-2865-S
it is lawful.	16-5997-S
it is needful, it behooves.	16-5866-B
it is proper, one should, one ought.	16-5902-B
it is proper, reasonable, becoming.	16-5807-S
it is raining, a shower is falling.	16-5947-B
it is resolved, it seems good.	16-5628-S
it is right, it is fitting, it is lawful.	16-5997-B
it is right, just.	15-5731-S
it is seemly, comely, suitable, proper.	16-6048-B
it is worthwhile.	16-6094-B
it is.	4-5991-S
it makes a difference.	2-2105-S
it says.	15-692-S
it seems good.	16-5628-S
it shall be, reasonable, necessary.	15-5766-S
it to these (policemen).	2-6667-S
it to those (marines).	2-3797-S
it were /a sort of.	5-6442-S
it were the case!.	15-5270-S
it were, (+verb in subj.) just as if.	6-141-S
it will be made.	12-2844-S
it, a holy place.	4-882-S
it.	26-4701-S,27-2838-S,27-2872-S
it?.	2-4528-S
itch, mange, a rash.	26-5891-S
itch.	33-6037-S
iterate.	36-3063-S
its kind, solitary /machless, unique. .	5-2420-S
its spell.	1-3734-S
its, their own.	2-9014-S
itself, =se.	15-2363-S
itself.	15-2399-S,15-2441-S,37-5153-S
jab.	35-4965-S
jagged edge.	23-3914-S
jail, dungeon.	21-5920-S
james.	25-3251-S
jammed, crammed.	25-5932-S
jammed.	25-5864-S
jape, gag.	16-6216-S
jar.	3-6829-S
javelin /cooking spit.	21-3059-S
javelin man, spear thrower.	4-1069-S
javelin, short spear.	10-1073-S
