fruitful.	uber
hardship, exertion.	labor
hardy, robust.	robustus
hare, rabbit.	lepus
hark!.	heus
harmful, hostile.	obnoxius
harmonious, united.	concordis
harmonious.	multicanus
harmoniously .	congruenter
harmony in musical context.	pax
harrowing.	occatio
harshly.	severiter
harshness, bitterness, anguish.	acerbitas
hashness, cruelty, frightfulness, barbarity, horror.	atrocitas
Hasnon.	Hasnonium
hastening, hasty.	festinus
