word, dictate.	42-2108-B
write beneath, sign /prosecute,.	39-3235-S
write down, place on record.	39-3307-S
write down, till.	39-3280-S
write on a wax tablet.	35-2795-S
write out, write down, place on record.	39-3307-S
write underneath.	34-5951-S
write, compose.	39-3360-S
writer, author, scribe.	42-2945-B
writing /writing.	3-6667-S
writing tablet / list.	42-2978-B
writing tablet.	42-3007-B
writing, revoke, anull.	9-3964-S
writing.	3-6667-S,42-3031-B
written charter.	6-2375-S
written down.	36-5980-S
written reply, answering letter.	4-1826-S
wrong	41-5152-S
wrong (morally crooked).	5-5396-S
wrong to, injure, hurt, harm.	31-2836-S
wrong, err, sin, go astray.	31-2881-S
wrong, sin.	42-3047-B
wrong.	16-3311-S
wrongful, acting unlawfully.	42-3065-B
wrongful.	42-3103-B
wrongly, badly, not as one would wish.	42-3122-B
wrongly, falsely.	42-3167-B
wrongly.	6-3203-S
wthout resources.	21-3374-S
x the better (quod celior = the faster the.	1-1374-S
y, not quite, generally.	5-2361-S
yard, enclosure /troop, 1/10 of a legion.	4-1872-S
yarn).	37-4132-S
yea, indeed.	42-3194-B
yeah, talkin' 'bout cindy.	1-8111-S
year.	42-3218-B
yearly produce, grain crop / price of grain / cost of living.	42-3230-B
yearn after.	37-2033-S
yearn for, desire, want, covet.	32-5402-S
yearn.	28-4897-S
yearning, longing.	20-5976-S
years from 38 bc (spain).	3-2315-S
years old.	13-801-S
years).	26-4860-S
years, years from 38 bc (spain).	3-2315-S
years.	5-1004-S,17-2017-S
yellow color.	3-5305-S
yellow, golden, saffron-colored, of saffron.	42-3299-B
yellow, pale green /weak, drooping.	20-5357-S
yellow, saffron-colored / saffron oil.	42-3352-B
yellow, saffron-colored.	9-5102-S
yellow.	6-4378-S
yerga, tergam] turn, retreat/ exchange.	3-880-S
yes, certainly.	1-6139-S
yes, that is so, that is right.	25-353-S
yes-man.	13-993-S
yet (beginning a sentence)/ though.	19-2600-S
yet .. not.	5-4131-S
yet, still / even, also, besides.	6-65-S
yet, still, for all that.	19-4175-S
yet, still, until now.	42-3400-B
yet, still.	1-7567-S
yet.	5-4075-S,19-4008-S,19-4089-S,27-3664-S
yield obedience to.	39-3404-S
yield to	42-813-S
yield up.	36-2114-S
yield, allow, grant, withdraw, give up.	30-2385-S
yield, or issue.	3-5339-S
yield/ withdraw.	33-974-S
yoke /a team of oxen, a pair /bond, union /slavery.	42-3443-B
yoke beneath, join, attach, subdue, subjugate.	39-3434-S
yoke, harness /to mate.	33-6218-S
yoke.	33-6287-S
you	42-3501-B
you (pl) /i'll fight you all, then; bring me giants!.	1-3790-S
you (pl) /you can't catch me, i'm the gingerbread man.	42-3509-B
you /i can't give you anything but love, baby.	1-8052-S
you /i got you, babe.	1-3855-S
you /i'm talkin' to you, yeah, talkin' 'bout cindy.	1-8111-S
you /no one's sweeter than you.	1-3558-S
you /who knows more than you? i do!.	1-3600-S
you all, then; bring me giants!.	1-3790-S
you anything but love, baby.	1-8052-S
you are the finest.	42-3568-B
you can't catch me, i'm the gingerbread man.	42-3509-S
you cannot drink dry.	2-6146-S
you give it?.	2-4528-S
you going or are you staying?".	1-5401-S
you like.	1-7431-S,5-4727-S
you live?.	2-1238-S
you may be.	1-3187-S
you may sing about your pretty gals.	42-3835-S
you please, however great.	5-6313-S
you say.	42-3599-B
you staying?".	1-5401-S
you will, all, any.	5-4603-S
you will, as great as you will.	5-6601-S
you will.	5-6601-S,19-6323-S,39-2289-S
you wish, are willing, want, prefer.	1-3133-S
you wish.	41-4258-S
you'll do fine with me, baby.	1-3462-S
you, babe.	1-3855-S
you, yeah, talkin' 'bout cindy.	1-8111-S
you.	1-3558-S,42-3615-B
you? i do!.	1-3600-S
young animal /chicken, chick.	42-3623-B
young birds.	19-2536-S
young girl.	18-841-S
young man, coming to maturity,.	42-3660-B
young man, youth, lad.	42-3703-B
young man, youth.	42-3737-B
young men, signs of manhood.	42-3763-B
young recruit.	19-2802-S
young, inexperienced, revived, refreshed.	19-2835-S
young, little /very small, tiny.	8-2682-S
young, progeny.	42-3798-B
young.	26-4276-S,40-4122-S,42-3821-B
your letter that said, dear john.	42-3899-S
your pretty gals.	42-3835-S
your yours/ you may sing about your pretty gals.	42-3835-B
your, yours /i read your letter that said, dear john.	42-3899-B
your, yours.	2-7863-S
yours /i read your letter that said, dear john.	42-3899-S
yours.	2-7863-S
yours/ you may sing about your pretty gals.	42-3835-S
youth (20-40 years).	26-4860-S
youth (between 20 and 45).	42-3957-B
youth).	2-1132-S,2-1186-S
youth, lad.	42-3703-S
youth.	42-3737-S,42-3993-B,42-4013-B
youthful.	42-4028-B,42-4058-B
zeal.	1-7326-S,11-3373-S
zealous.	25-4935-S,42-4077-B,42-4094-B
zealously, do, accomplish.	39-3050-S
zealously.	42-4113-B
zodiac.	27-1379-S
zone, region.	11-815-S
